//Sentences
"Fish are, in fact, not a risk factor, as fishmeal is not a vector for TSE.", "Fisk utgör faktiskt inte någon riskfaktor eftersom den inte kan bära TSE-smitta."
"Contrary to the Commission' s proposal, the report refers to instant tests, which are being used to detect TSE, by name.", "Mot kommissionens förslag nämns i betänkandet de snabbtest som används för fastställandet av TSE."
"Legislation on Transmissible Spongiform Encephalopathies (TSE) and on related feed and food controls (", "Lagstiftning om transmissibel spongiform encefalopati (TSE) och om foder- och livsmedelskontroller i samband därmed ("
"That is the main lesson to be learnt from the TSE business.", "Och det är den stora lärdomen av TSE."
"Thus I support the essence of the TSE structures endorsed in this report.", "Därför stöder jag på det hela taget de strategier för att hantera transmissibel spongiform encefalopati (TSE) som föreslås i detta betänkande."
"Firstly, it makes sense to include regionalisation and regional differentiation in the goal-oriented fight against TSE.", "För det första, regionaliseringen och den regionala differentieringen är bra för en målinriktad bekämpning av TSE."
"She has produced a very good report and I know that she has worked very hard on TSE and BSE for many years on behalf of this Parliament.", "Hon har gjort ett utmärkt betänkande, där hon behandlar det ämne som nu diskuteras allra flitigast."
"more_vert open_in_new Link to European Parliament warning Request revision With the plethora of new TV channels, with digital TV, have we got anywhere with a Parliamentary TV channel?", "expand_more Har vi med överutbudet av nya TV kanaler, med digital TV någonstans en parlamentets TV kanal?"
"more_vert open_in_new Link to statmt.org warning Request revision Det finns redan kontrollorgan för radio och tv i allmänhetens tjänst, nämligen radio- och tv-råd.", "expand_more There are already controlling bodies for public broadcasting: the broadcasting councils."
"more_vert open_in_new Link to European Parliament warning Request revision Har vi med överutbudet av nya TV kanaler, med digital TV någonstans en parlamentets TV kanal?", "expand_more With the plethora of new TV channels, with digital TV, have we got anywhere with a Parliamentary TV channel?"
"more_vert open_in_new Link to European Parliament warning Request revision TV-direktivet t.ex., innehåller ingen definition av könsdiskriminering.", "expand_more Television guidelines, for instance, give no definition of gender discrimination."
"He also said that if he were here with me... he wouldn't be concerned with TV.", "Han sa också att om du var här med mig... skulle jag inte bry mig om den där TVn."
"Such a requirement should, I believe, be included in TV companies' licence agreements.", "Jag tycker att detta borde inkluderas i de olika kanalernas sändningstillstånd."
"Such a requirement should, I believe, be included in TV companies ' licence agreements.", "Jag tycker att detta borde inkluderas i de olika kanalernas sändningstillstånd."
"As the rapporteur has stressed, parental control must not end with TV.", "Såsom föredraganden betonade får inte föräldrakontrollen sluta vid televisionen."
"Digital TV is the only convergent technology without basic interoperability.", "Digital television är den enda konvergenta tekniken utan grundläggande förmåga att samverka."
"This will ensure the continued success of culturally diverse free TV.", "På så sätt garanteras fortsatt framgång för kulturell mångfald i den fria televisionen."
"This creates tensions with single market principles for pay-TV services.", "T.o.m. digitala " free-to-air " tjänster håller på att krypteras."
"Some other TV repeaters will be closed in the coming months.", "Under de kommande månaderna kommer även andra signalförstärkare att stängas."
"For example, we are currently addressing the issue of mobile TV: the problem of Nokia versus LG standardisation.", "Ett annat exempel är tilldelning av frekvenser på det linjära / digitala området."
"The Olympic Games and the European Cup Final, for example, must be on free TV for every citizen.", "Olympiska spelen och Europacupfinalen, t.ex. måste visas i den fria televisionen för alla medborgare."
"Secondly, the relationship between TV and sport.", "För det tredje, och det har vi pratat om, idrottens sociala funktion."
"It looks bad on TV; it is a hundred times worse when you stand amongst it, when people are in such dire situations.", "Jag såg familjer som bodde i grottor som dröp av fukt, och jag hörde febersjuka barn hosta."
"Secondly, the relationship between TV and sport.", "För det andra, förhållandet mellan televisionen och idrotten."
"First, there is enough ill treatment of copyright: pay-TV services only buy the rights for a particular Member State.", "Mottagandet av krypterade digitala televisionstjänster över gränserna väcker åtskilliga svåra frågor."
"Our main objection to the proposal, however, is that it threatens to overturn the Swedish ban on TV advertising aimed at children.", "Jag är mycket stolt över att denna viktiga lagstiftning faller under mitt ansvarsområde."
"Footnote: Curious about TV production?", "I fyrtio år har de funnits med överallt och i alla sammanhang."
"The news is now interpreted into sign language in Sweden, as is live TV coverage of important debates in the Riksdag.", "I Sverige finns det i dag nyhetsprogram på teckenspråk."
"Honey, there's gonna be satellite TV in the hotel.", "Älsklig, det kommer finnas kabeltv på hotellet."
"The TV feature that was sent on the 16th of February 2012.", "Inslaget sändes den 16 februari 2012."
"We voted in favour of the report on the application of Articles 4 and 5 of the ‘TV without Frontiers’ directive.", ".– Vi röstade för betänkandet om tillämpningen av artiklarna 4 och 5 i direktivet ”Television utan gränser”."
"Big American firms can afford TV advertising, press, billboard and so on.", "Stora amerikanska företag har råd med TV-reklam, press, affischtavlor osv."
"There are more and more TV channels, and advertising is taking greater and greater liberties.", "Det blir fler och fler TV-kanaler, reklamen tar sig större och större friheter."
"It has also been used to ban TV advertising and indirect advertising.", "Det har också tillämpats för att förbjuda TV-reklam och indirekt reklam."
"Advertising on TV for alcohol and tobacco products are a part of this directive's concerns.", "skriftlig. (EN) Tv-reklam för alkohol och tobaksprodukter är en del av det som behandlas i detta direktiv."
"Our main objection to the proposal, however, is that it threatens to overturn the Swedish ban on TV advertising aimed at children.", "Jag är mycket stolt över att denna viktiga lagstiftning faller under mitt ansvarsområde."
"I believe that we should be embarking upon a concerted TV advertising campaign across the whole of the European Community.", "Jag tycker att vi skall genomföra en gemensam TV-reklamkampanj som visas i hela Europeiska gemenskapen."
"Besides, subjects are covered which are already regulated in existing EC legislation, such as TV advertising and product labelling.", "Dessutom behandlas ämnen som redan regleras i existerande EG-lagstiftning, såsom t.ex. TV-reklam och märkning av varor."
"Our main objection to the proposal, however, is that it threatens to overturn the Swedish ban on TV advertising aimed at children.", "Vår viktigaste invändning mot förslaget är dock att det riskerar att stjälpa vårt förbud mot tv-reklam som är riktad till barn."
"For example, protection of children and children' s safety may be compromised by lack of regulation of services such as Internet and TV advertising.", "Skydd av barn och barnsäkerhet kommer ofta i andra hand p.g.a. brist på reglering av tjänster som t.ex. Internet och TV-reklam."
"First of all, I would like to say that I'm really amazed at how easily kids are led to believe all the marketing and advertising on TV, at public schools and pretty much everywhere else you look.", "Först skulle jag vilja säga att jag är förvånad över hur lätt man får barn att tro på all reklam och annonsering på TV, i skolorna och i princip överallt."
"Is the question of abolishing advertising on public TV and transferring the advertising revenue to private channels still covered by the principle of subsidiarity?", "Gäller subsidiaritetsprincipen fortfarande i frågan om huruvida reklamen i tv i allmänhetens tjänst ska avskaffas eller inte och reklamintäkterna ska överföras till de privata kanalerna?"
"An important step now would be to set up an Estonian TV channel broadcasting in Russian.", "Ett viktigt steg vore nu att införa en estnisk TV-kanal på ryska."
"In the EU there is not nor will there ever be one single language nor one single television network broadcasting identical TV programmes to one and all.", "EU har inte och kommer inte att ha ett enda gemensamt språk eller ett TV-programutbud som alla på lika villkor kan ta emot."
"This termination allegedly followed commercial threats by the People’s Republic of China to withdraw the Beijing 2008 Olympic TV broadcasting contracts.", "Denna uppsägning lär vara en följd av kommersiella hot från Kina om att annullera kontrakten om TV-sändningar från de olympiska spelen i Peking 2008."
"This termination allegedly followed commercial threats by the People’ s Republic of China to withdraw the Beijing 2008 Olympic TV broadcasting contracts.", "Denna uppsägning lär vara en följd av kommersiella hot från Kina om att annullera kontrakten om TV-sändningar från de olympiska spelen i Peking 2008."
"The directive seeks to protect for the citizen the TV broadcasting of major events such as sporting competitions on a TV channel accessible to all.", "Med direktivet avser man att trygga, att storevenemang såsom idrottstävlingar via TV sänds till medborgarna över en televisionskanal, som är tillgänglig för alla medborgare."
"I voted against in the final vote on TV broadcasting, because I believe that programmes will be overrun by advertisements as a result of this report.", "skriftlig. (EN) Jag röstade nej i den slutliga omröstningen om tv-sändningar, eftersom jag anser att programmen kommer att översvämmas av reklam som en följd av detta betänkande."
"This situation was guaranteed, at least until 2003, by agreements freely adopted by the various TV companies with broadcasting rights negotiated with the clubs.", "Detta förhållande hade garanterats fram till åtminstone år 2003, genom frivilligt ingångna avtal mellan de olika televisionsföretag som förhandlat till sig sändningsrätten med klubbarna."
"There is a similar problem at the commercial TV station Channel 5.", "Liknande problem uppges förekomma vid den kommersiella TV-stationen kanal 5."
"The idea behind Internet television is for Parliament to have its own TV channel.", "Idén bakom webb-tv är att parlamentet ska ha en egen tv-kanal."
"An important step now would be to set up an Estonian TV channel broadcasting in Russian.", "Ett viktigt steg vore nu att införa en estnisk TV-kanal på ryska."
"Subject: Break in transmission of the Chinese TV channel NTDTV", "Angående: Sändningsstopp för den kinesiska TV-kanalen NTDTV"
"With the plethora of new TV channels, with digital TV, have we got anywhere with a Parliamentary TV channel?", "Har vi med överutbudet av nya TV kanaler, med digital TV någonstans en parlamentets TV kanal?"
"The Radio Caracas TV Channel in Venezuela (vote)", "TV-kanalen ”Radio Caracas Televisión” i Venezuela (omröstning)"
"The Radio Caracas TV Channel in Venezuela", "TV-kanalen ”Radio Caracas Televisión” i Venezuela"
"Regarding a Parliamentary TV channel, the Commission would not object if Parliament proposed such an activity.", "Vad gäller en TV kanal för parlamentet kommer kommissionen inte att motsätta sig ett förslag från parlamentet till en dylik aktivitet."
"We had a Dutch TV channel for five years at a stretch in the other building and suddenly we find that we no longer have one.", "I den förra byggnaden hade vi i fem års tid en nederländsk TV-kanal, men nu har vi plötsligt inte någon nederländsk kanal längre."
"Mr President, last month, the Catalan Public Television channel (TV3) was shut down in Valencia by the regional Valencian government.", "(EN) Herr talman! Förra månaden stängdes den katalanska statliga tv-kanalen TV3 i Valencia ned av den regionala regeringen."
"Mr President, Mr Lamassoure's report reminds me of the film on the TV channel Arte about the 'European bubble' and the 'Europe addicts'.", "Herr talman! Betänkandet av Lamassoure påminner mig om TV-kanalen Artes film om den ?europeiska bubblan? och de ?drogade i Europa?."
"This very topic was, however, given plenty of air time on the Belgian TV channel VRT that evening, so it seems that it had been leaked.", "Just den här frågan ägnades dock massor av sändningstid i den belgiska tv-kanalen VRT samma kväll, så det verkar som om det hela hade läckt ut."
"Mr President, Mr President-in-Office, indeed we know that the MED-TV channel and the newspaper Özgür Politika provide very in-depth information.", "Herr ordförande, ärade herr rådsordförande! Vi känner ju till att MED-TV och tidningen Özgur Politika har ett stort informationsutbud."
"For many years, we ourselves have had to pay for being able to watch a Danish TV channel.", "Vi har under en lång följd av år själva fått betala för att kunna se en dansk TV-kanal och nu är denna avstängd både här och i Bryssel."
"I do not mean one for following the plenary part-session but an actual TV channel such as Nederland 1,2,3 or RTL 4, as we had last time.", "Jag menar inte en för att följa plenarsammanträdena utan en riktig TV-kanal, såsom Nederland 1, 2, 3 eller RTL 4 som vi hade i den förra parlamentsbyggnaden."
"But in the previous Parliament building, one of them was a Dutch TV channel, which meant that we Dutch MEPs could follow the news as well.", "Vi har tjugo kanaler. I det förra parlamentet fanns det däremot en nederländskspråkig kanal också så att även vi nederländska parlamentsledamöter kunde följa nyheterna."
"The directive seeks to protect for the citizen the TV broadcasting of major events such as sporting competitions on a TV channel accessible to all.", "Med direktivet avser man att trygga, att storevenemang såsom idrottstävlingar via TV sänds till medborgarna över en televisionskanal, som är tillgänglig för alla medborgare."
"The calls for a European Parliament TV channel are unrealistic. It is better to have fair conditions for public service television and tougher rules to combat media concentration.", "Kraven på en egen TV-kanal är inte realistiskt – det är bättre att ha rimliga villkor för public service-TV och hårdare regler mot mediakoncentration."
"In Sweden, for example, we have banned advertisements aimed at children, but TV 3 and Channel 5 are nonetheless able to get around these rules by broadcasting from Great Britain.", "I Sverige har vi t.ex. förbjudit reklam som riktar sig till barn, men TV 3 och Kanal 5 kan ändå kringgå dessa regler genom att sända från Storbritannien."
"Mr President, last night, we were faced with the unwelcome news on EDF (German TV channel) that Mr Hombach, the EU Balkans Envoy, has been placed under investigation again by the Public Prosecutor.", "Herr talman! Vi fick i går på nyheterna på tyska kanal 1 veta att åklagarmyndigheten återigen har inlett en förundersökning mot EU:s ombud på Balkan, herr Hombach."
"There are more and more TV channels, and advertising is taking greater and greater liberties.", "Det blir fler och fler TV-kanaler, reklamen tar sig större och större friheter."
"We produced that, and it was broadcast by several TV channels and was also used in the school visits.", "Vi producerade det och det sändes av flera tv-kanaler och användes även vid skolbesöken."
"With the plethora of new TV channels, with digital TV, have we got anywhere with a Parliamentary TV channel?", "Har vi med överutbudet av nya TV kanaler, med digital TV någonstans en parlamentets TV kanal?"
"TV channels must decide for themselves how they make their programmes and the music they want to play available.", "TV-kanaler måste själva välja hur de tillhandahåller sina program och den musik som de vill spela."
"Madam President, I do not think that Mrs Banotti should be cock-a-hoop today because she has laid on two Dutch TV channels.", "Fru talman! Jag tycker inte att Banotti skall jubla i dag, därför att hon har skaffat två nederländska kanaler."
"What measures will the Commission be taking to ensure the continued transmission of independent TV channels in China?", "Vilka åtgärder tänker kommissionen vidta för att program från oberoende TV-kanaler ska kunna fortsätta att sändas i Kina?"
"Can the Commission take steps to induce the relevant cable companies to include regional TV channels from across the border in their packages?", "Kan kommissionen ta initiativ till att få berörda kabeloperatörer att inkludera regionala sändare från andra sidan gränsen i sitt utbud?"
"To receive national TV channels by satellite outside their country of origin, it is necessary to obtain either an illegal decoder or a pirate card.", "För att få in nationella TV-kanaler via satellit utanför det egna hemlandet måste man antingen ha en olaglig dekoder eller ett piratkort."
"When it comes to advertising breaks, in a world of multi-channelled TV with thousands of channels and hundreds of devices, we should leave this to the market.", "I en värld med flerkanalstelevision med tusentals kanaler och hundratals sorters apparater bör vi överlåta frågan om reklamavbrott till marknaden."
"The dream, of course, is that one day there will no longer be any borders and that citizens, wherever they are, can receive whatever TV channels they want.", "Drömmen är naturligtvis att det en dag inte längre ska finnas några gränser och att medborgarna, oavsett var de är, ska kunna ta emot de tv-kanaler de vill."
"This January President Chávez ordered off the air RCTV International and five other cable and satellite TV channels who failed to broadcast his official speech.", "I januari i år beordrade han stängning av RCTV International och fem andra kabel- och satellittv-stationer som inte hade sänt hans officiella anförande."
"We must be clear that, in our contemporary world with its TV channels, the very poorest people also know that there are very large inequalities in the world.", "Vi skall ha klart för oss att i den värld vi i dag lever i med alla dess TV-kanaler vet också de allra fattigaste att det är mycket stora skillnader i världen."
"If we produced timely and newsworthy stories for journalists, then the headlines, websites, new TV channels and public-sphere debates will follow.", "Om vi producerar nyheter som kommer lägligt och som har nyhetsvärde för journalister, då kommer det att åtföljas av rubriker, webbplatser, nya TV-kanaler och offentliga debatter."
"Unfortunately, I am not of the same mind as Mr Vander Taelen when he states that it should be compulsory for TV channels to invest a proportion of their turnover in the film industry.", "Jag håller tyvärr inte med Vander Taelen när han säger att TV-kanalerna måste göras skyldiga att investera en del av sin omsättning i filmindustrin."
"The model used in the visual mass media sector, where TV channels mention the minimum age at which the relevant film or programme is allowed to be watched, needs to be adapted too for online media.", "Den modell som används för visuella medier, där tv-kanalerna anger lämpliga åldersgränser för filmer eller program som visas, behöver anpassas till onlinemedierna."
"Cable distributors in the Belgian and Dutch parts of Limburg do not include any regional TV channels from the other side of the border in their digital packages of radio and TV channels.", "Kabeloperatörer i de belgiska och nederländska provinserna med namnet Limburg tar inte med några regionala tv‑kanaler från andra sidan gränsen i sina digitalpaket med radio- och tv‑kanaler."
"The news is now interpreted into sign language in Sweden, as is live TV coverage of important debates in the Riksdag.", "I Sverige finns det i dag nyhetsprogram på teckenspråk."
"You can do it when you know that you are going to get 17 times more TV coverage than all the other three candidates put together.", "Det går, om man vet att man får 17 gånger mer tv-tid än alla de andra tre kandidaterna tillsammans."
"Of more concern has been the harassment of opposition print media and impeded access to state and private TV coverage.", "Presidentvalet den 31 oktober och den andra valomgången några veckor senare spelar en viktig roll i sammanhanget."
"Of more concern has been the harassment of opposition print media and impeded access to state and private TV coverage.", "Allvarligare är att man har trakasserat oppositionens press och lagt hinder i vägen för statlig och privat TV-bevakning."
"TV4 News Luleå Thursday 31 January made a feature about EICs projects Renewing Health.", "TV4 Nyheterna Luleå har torsdagen den 31 januari gjort ett inslag om EICs projekt Renewing Health."
"However, the TV news bulletins showing the Middle East are still full of bloodshed and despair this morning.", "I morse var dock TV-nyheterna från Mellanöstern återigen genomsyrade av blod och desperation."
"We had millions see them on TV and on TV news.", "Miljoner såg dem på TV och på TV-nyheterna."
"the abrupt closure of a television news programme (TV1 Jornal de Sexta), and the replacement of the channel's director-general.", "Ett nyhetsprogram i tv (Jornal de Sexta, tvI) har dessutom plötsligt upphört och kanalens vd har bytts ut."
"Local TV news looms large, and unfortunately only dedicates 12 percent of its coverage to international news.", "Lokala TV-kanaler får mycket uppmärksamhet, men avsätter tyvärr bara 12 procent av sin bevakning till internationella nyheter."
"All too often we hear on the TV news that such-and-such a product from a country outside the European Union poses a risk to safety or health.", "Alltför ofta hör vi på tv-nyheterna att den och den produkten från ett land utanför EU utgör en säkerhets- eller hälsorisk."
"The ban on the TV news station GEO News needs to be lifted and the government television channel PTV needs to be more balanced in its news and the information it conveys to the public.", "Förbudet mot nyhets-tv-stationen GEO News måste hävas och den statliga tv-kanalen PTV måste vara mer balanserad i sin nyhetsrapportering och sin information till tittarna."
