//Sentences
"The Commission does not consider it appropriate to undertake a study of this matter.", "Kommissionen ser inga fördelar med att vidare utreda frågan."
"My group does support paragraph 6 of the resolution in which the Commission is called upon to undertake a study into the effect of the ageing of the population on the pension system.", "Min grupp stöder punkt 6 i resolutionen där kommissionen uppmanas genomföra en undersökning om vilken effekt befolkningens åldrande har på pensionssystemen."
"When pushed, they are prepared to undertake a study, only a very limited one, on sustainability, but nothing to do with the preservation of our economic and social identities.", "Man skall företa en undersökning i all hast, men den kommer bara att vara en delundersökning om hållbarheten, men inte alls om bevarandet av våra ekonomiska och sociala identiteter."
"These factors undermine the trust that is necessary for judicial cooperation.", "Dessa faktorer undergräver det förtroende som krävs för ett rättsligt samarbete."
"However, we must not proceed too quickly and so undermine our competitiveness.", "Men vi får inte gå för snabbt fram och därmed underminera vår konkurrenskraft."
"Weakness and equivocation merely strengthen those who seek to undermine democracy.", "Svaghet och tvetydighet stärker endast dem som försöker undergräva demokratin."
"Resolutions of this kind undermine the credibility of the European institutions.", "Sådana resolutioner bidrar till att undergräva trovärdigheten hos EU:s institutioner."
"You remove that cornerstone and you undermine the very foundations of the Union.", "Om man tar bort den hörnstenen underminerar man själva grunden för unionen."
"Accordingly, if they are part of it, surely they cannot be said to undermine it?", "Om de är en del av den, kan de väl ändå inte sägas undergräva den, eller?."
"The Commission proposal, however, will undermine these prospects for a long time.", "Kommissionens förslag innebär att dessa förhållanden spolieras för lång tid framöver."
"It would only undermine superior national regulations in many EU Member States.", "Det skulle bara underminera överordnade nationella bestämmelser i många medlemsstater."
"The text you have read to us manages to undermine the entire Barnier proposal.", "Den text ni har relaterat för oss lyckas äventyra hela förslaget från Michel Barnier."
"If we fail to do so, we shall simply undermine Europe's credibility further still.", "Om vi inte gör det, då blir Europa ännu mindre trovärdigt hos de vanliga människorna."
"I am afraid that some Member States may undermine the purpose of the EU Blue Card.", "Jag är rädd att vissa medlemsstater kan undergräva syftet med detta kort."
"We cannot allow competition to undermine the protection of workers' rights.", "Vi får inte låta konkurrensen urholka skyddet av arbetstagarnas rättigheter."
"Needless to say, the EIB’s activities must be consistent and not undermine each other.", "Självfallet måste EIB:s aktiviteter vara konsekventa och inte underminera varandra."
"This would seriously undermine the capacity of the Commission to apply this measure.", "Detta skulle allvarligt undergräva kommissionens möjlighet att tillämpa denna åtgärd."
"It will seriously undermine the confidence of WTO members in that system.", "Det kommer allvarligt att undergräva WTO-medlemmarnas förtroende för detta system."
"We must not undermine this process by adding far too many new questions.", "Vi får inte urholka denna process genom att tillföra alltför många nya frågor."
"So be really careful to try and avoid the screw-ups that can undermine your brand.", "Så var mycket försiktig och försök undvika misstagen som kan underminera ditt varumärke."
"Otherwise, I think we shall undermine an endeavour which augurs very well for the future.", "I annat fall tror jag att vi undergräver ett försök som bådar gott för framtiden."
"Trade policy should not undermine the dynamic of the EU agricultural sector.", "Handelspolitiken bör inte underminera dynamiken inom EU:s jordbrukssektor."
"They would fundamentally undermine the capital standards for our industry.", "Dessa skulle på ett grundläggande sätt undergräva kapitalstandarderna för branschen."
"Only an ambitious and joint approach can preserve the uniqueness of European culture.", "Endast en ambitiös och gemensam strategi kan bevara europeisk kulturs unika karaktär."
"In conclusion, Mr President, let me emphasise the uniqueness of this instrument.", "Låt mig avslutningsvis betona att detta är ett unikt instrument."
"It is important to note the uniqueness of this particular resolution.", "Det är viktigt att notera den unika karaktären hos just denna resolution."
"It requires the ability to have insight into the uniqueness and universality of human consciousness.", "Det kräver insikt i att det mänskliga medvetandet är unikt och universellt."
"Here we are trying to protect the individuality of products and the uniqueness of local ingredients.", "Här försöker vi skydda produkternas egenart och de lokala ingrediensernas unika särdrag."
"The Black Sea strategy must be based on the uniqueness of the area.", "Svartahavsstrategin måste baseras på områdets unika karaktär."
"Here we are trying to protect the individuality of products and the uniqueness of local ingredients.", "Hur kan vi påstå att våra ingredienser är lokala om alla dessa har modifierats i ett laboratorium?"
"The multilingualism of Europe emphasises its cultural pluralism, which is evidence of its uniqueness.", "Flerspråkigheten inom EU betonar unionens kulturella mångfald, vilket är ett bevis för dess unika egenskaper."
"The European Union must, in my opinion, seize this opportunity to assert its cultural uniqueness and encourage creativity.", "EU måste enligt min åsikt gripa detta tillfälle att hävda sin kulturella egenart och uppmuntra kreativiteten."
"Every human being has the right to uniqueness.", "Varje människa har rätt att vara unik."
"We need to recognise the uniqueness of the European Parliament in having simultaneous interpretation in 21 different languages, soon to be 23.", "Vi måste erkänna att Europaparlamentet är unikt med simultan översättning till 21 olika språk, snart 23."
"They must also have sufficient autonomy to enable the operation of programmes for children with uniqueness and creativity.", "De måste även vara tillräckligt självständiga för att det ska vara möjligt att genomföra programmen för barn på ett unikt och kreativt sätt."
"The Community must assert itself, uphold its uniqueness and be proud of the guiding role it continues to have in this process.", "Det är gemenskapens skyldighet att hävda och försvara sin särart och vara stolt över den vägledande roll den fortsätter att spela i denna process."
"The French Canadians of course, but also the Anglo-Saxons who, as Ottawa cuts the links with London, lose all uniqueness.", "De franska kanadensarna självfallet, men också anglosaxerna som i takt med att Ottawa klipper av förbindelserna med London, förlorar sin specifika karaktär."
"What we regard as central is the inalienable value of all human beings, in all their uniqueness, along with their dignity and freedom.", "Det som vi betraktar som centralt är alla människors oförytterliga värde, i hela deras unika situation, tillsammans med deras värdighet och frihet."
"I firmly believe that only through discussions with citizens will we renew their faith in the uniqueness of the European project.", "Jag är fast övertygad om att det bara är genom att diskutera med medborgarna som vi kan återerövra deras tilltro till det unika i det europeiska projektet."
"This kind of aid is important in social and economic terms and guarantees consumers the uniqueness of a local cuisine based on fresh fish.", "Denna typ av stöd är viktig i sociala och ekonomiska avseenden och garanterar konsumenterna det unika med lokal kokkonst som baseras på färsk fisk."
"They will decide purely on market grounds and not on the basis of the uniqueness of health care as a non-market universal service.", "De kommer att fatta beslut som enbart grundas på marknaden och inte på sjukvårdens unika karaktär som en samhällsomfattande tjänst som inte är marknadsstyrd."
"Why has the Member States' ability to intervene in safeguarding their uniqueness and defending their productive and business fabric been limited?", "Varför har man begränsat medlemsstaternas möjligheter att ingripa för att trygga sin unika karaktär och försvara sina produktions- och affärssystem?"
"The uniqueness of what the European Union has been about is that it has striven to find common ground between very different and varying interests.", "Det unika som Europeiska unionen hållit på med ligger i att unionen har ansträngt sig för att hitta en gemensam grund för mycket olika och varierande intressen."
"The programme draws a clear distinction between illegal content and unwanted content.", "I programmet görs en klar åtskillnad mellan olagligt innehåll och oönskat innehåll."
"Not only illegal content, but also ‘unwanted’ and ‘harmful’ content are prohibited.", "Det är inte bara olagligt innehåll som är förbjudet, utan även ”oönskat” och ”skadligt” innehåll."
"The programme draws a clear distinction between illegal content and unwanted content.", "Många Internetanvändare, i synnerhet föräldrar, är helt omedvetna om vilka risker barnen löper på Internet."
"Concerning the question about filters for unwanted content, here again it is a question of informing parents.", "När det gäller filter för oönskat innehåll är även detta en fråga om information till föräldrarna."
"Not only illegal content, but also ‘ unwanted’ and ‘ harmful’ content are prohibited.", "Det är samhället, med sin allt sämre moral som innebär ett trivialiserande av alla former av avvikande beteende, som måste förändras."
"Measures are therefore required to promote their safer use and to protect the end-user from unwanted content.", "Det krävs därför åtgärder för att främja en säker användning och för att skydda slutanvändaren från oönskat innehåll."
"It will never be possible to completely remove all unwanted content from the Internet, nor is that entirely desirable.", "Det kommer aldrig att vara möjligt att helt få bort allt oönskat innehåll från Internet, vilket inte heller är önskvärt."
"One result of a lack of protection of Internet users’ own computers is a deluge of unwanted content with which they are confronted.", "En konsekvens av bristen på skydd för Internetanvändarnas egna datorer är den störtflod av oönskat innehåll som möter dem."
"One result of a lack of protection of Internet users’ own computers is a deluge of unwanted content with which they are confronted.", "Jag hoppas på ett liknande stöd i kammaren så att Safer Internet Plus-programmet kan sjösättas med vind i seglen den 1 januari 2005."
"In addition, the programme offers Internet users the means of protecting themselves against unwanted content, for example by filtering it.", "Programmet erbjuder dessutom Internetanvändare medel för att skydda sig mot oönskat innehåll genom att till exempel filtrera det."
"Mr President, children must be able to make use of the Internet and other new media in safety, without being confronted with illegal and unwanted content.", ". – Herr talman! Barn måste tryggt kunna använda Internet och andra nya medier utan att mötas av olagligt eller oönskat innehåll."
"I welcome this report, stressing the importance of continued action needed to safeguard children from harmful and unwanted content that is being disseminated via the internet.", ".– Jag välkomnar det här betänkandet där man betonar vikten av fortsatta åtgärder för att skydda barn från skadligt och oönskat innehåll som sprids via Internet."
"A lack of technical protection of the computer can also result in Internet users spreading illegal or unwanted content without them knowing, with all the consequences that this entails.", "Bristen på tekniskt skydd av datorn kan också göra att Internetanvändare sprider olagligt eller oönskat innehåll utan att själva veta om det, med alla konsekvenser som det medför."
"Has the Commission any up-to-date statistics by Member State as to how much this would cost?", "Har kommissionen någon aktuell statistisk från medlemsstaterna om hur mycket detta skulle kosta?"
"For governments, the most up-to-date statistics possible will be available for the usual Energy Councils held each spring.", "För regeringarna kommer den mest aktuella statistiken att finnas tillgänglig för de möten i rådet (energi) som hålls varje vår."
"The rapporteur rightly expresses surprise at the fact that it is not possible to obtain up-to-date statistics on a matter which affects citizens ' rights to such an extent.", "Liksom föredraganden finns det skäl att förvåna sig över, att det i en sådan här fråga, som i så hög grad berör medborgarnas rättigheter, inte finns aktuell statistik att tillgå."
". - I welcome this report, which reveals current problems relating to the situation of women in the Balkans, such as the lack of up-to-date statistics about gender equality.", "skriftlig. - (EN) Jag välkomnar detta betänkande som beskriver de rådande problem som rör kvinnornas situation på Balkan, som exempelvis bristen på uppdaterad jämställdhetsstatistik."
"There is absolutely no reason for the Union to take upon itself another political area.", "Det finns därför ingen anledning för unionen att lägga under sig ytterligare ett politikområde."
"The single market means that we have a 90 % common economy and are therefore dependent upon one another.", "Den inre marknaden innebär att vi har en till 90 % gemensam ekonomi och därför är beroende av varandra."
"lf you bring another plague upon us, it is not your god but I who will turn the Nile red with blood.", "Om du låter något ont drabba oss igen så är det inte din gud utan jag som kommer att färga Nilen röd av blod."
"These areas are mutually dependent upon one another.", "Dessa områden är ömsesidigt beroende av varandra."
"Savings systems, which are dependent in one way or another upon the capital markets, constitute a much more unstable project.", "Sparsystem som innebär att man på ett eller annat sätt blir beroende av kapitalmarknaderna är ett mycket mer instabilt projekt."
"I would also like to touch upon another problem connected with this, which might perhaps warrant a joint initiative by the Member States.", "Jag vill ta upp ett annat problem som hör ihop med detta och som kanske är värt ett gemensamt initiativ för medlemsstaterna."
"The way in which every issue is now rapidly globalised obliges us to embark upon another period, which is just as challenging, not to say just as exciting.", "I dag, när alla frågor globaliseras direkt, tvingas vi in i ytterligare en period, som är precis lika utmanande, för att inte säga lika spännande."
"A parallel development could create new political openings and constitute progress, because the various interests would be directly dependent upon one another.", "En parallell utveckling skulle kunna skapa nya politiska öppningar och gå framåt, eftersom de olika intressena skulle bli direkt beroende av varandra."
"The report also touches upon another important aspect - that we must combat the budget deficit without damaging growth, particularly as far as generating the economy is concerned.", "Betänkandet tar även upp andra viktiga aspekter, som att vi måste bekämpa budgetunderskott utan att skada tillväxten, särskilt när det gäller att stimulera ekonomin."
"Should we state in advance that legislation is not needed in this area, bordering as it does upon another area in which the EU already has legislation, namely that of health and safety?", "Skall vi på förhand säga att lagstiftning inte behövs på detta område, eftersom det har anknytning till ett område där EU redan idag lagstiftar, nämligen området för hälsa och säkerhet?"
"The fight against this shameful crime deserves urgent and specific attention.", "Kampen mot detta skamliga brott förtjänar brådskande och speciell uppmärksamhet."
"He says 'I wish to bring to your urgent attention the civilian deaths in Sri Lanka.", "Han säger: ”Jag vill omedelbart uppmärksamma er på de civila dödsoffren i Sri Lanka."
"Secondly, the issue of the seat of the European Parliament requires urgent attention.", "För det andra: Frågan om Europaparlamentets säte måste tas upp så snart som möjligt."
"This legislation needs urgent attention, and more common sense is needed.", "Lagstiftningen kräver uppmärksamhet snarast och det behövs mer sunt förnuft."
". - The tragic situation in Burma demands urgent attention.", "skriftlig. - (EN) Den tragiska situationen i Burma måste skyndsamt uppmärksammas."
"This requires the most urgent attention of everyone in this Parliament.", "Denna fråga kräver den största uppmärksamhet från alla i detta parlament."
"Finally, the issue of energy security once again demands our urgent attention.", "Energisäkerhetsfrågan kräver slutligen vår fulla uppmärksamhet."
"This is a matter that needs urgent attention, as Mr Berend pointed out.", "Detta är ett problem som kräver omedelbar uppmärksamhet, något som påpekades av Rolf Berend."
"The authors of this oral question are right: they require Europe's urgent attention.", "Författarna till denna muntliga fråga har rätt: dessa fall måste omedelbart uppmärksammas inom EU."
"I welcome the Commission ’ s urgent attention to the crisis.", "Jag välkomnar kommissionens omedelbara uppmärksammande av krisen."
"Young farmers do indeed need urgent attention.", "Det är riktigt att en speciell uppmärksamhet bör ägnas åt de unga jordbrukarna."
"I welcome the Commission’s urgent attention to the crisis.", "Jag välkomnar kommissionens omedelbara uppmärksammande av krisen."
"I would also ask for urgent medical attention to be provided.", "Jag ber också om att man bidrar med akut medicinsk vård."
"But the conference did contribute to identifying issues which need further and urgent attention.", "Men konferensen bidrog till att lyfta fram frågor som behöver ägnas ytterligare och omedelbar uppmärksamhet."
"Therefore, urgent attention is needed in this area.", "Därför är det ytterst angeläget att uppmärksamma detta område."
"I understand that it will have her urgent attention.", "Såvitt jag förstår kommer hon att ta itu med saken omgående."
"Madam President, the present situation of children in central and eastern Europe demands our urgent attention.", "Fru ordförande! Situationen för barnen idag i Central- och Östeuropa kräver brådskande uppmärksamhet."
"We agreed to give urgent attention to that.", "Vi enades om att behandla denna fråga som ett brådskande ärende."
"Please, Commissioner, can you reassure us that you will give this matter your urgent and serious attention?", "Herr kommissionsledamot! Kan ni vänligen försäkra oss om att ni snabbt kommer att ge denna fråga noggrann uppmärksamhet?"
"This situation in Chad requires urgent attention, not only from the European Union, but also from the international community.", "Situationen i Tchad kräver brådskande uppmärksamhet, inte bara från EU, utan även från världssamfundet."
"Are these the criteria used to make someone an undesirable person in Russia?", "Är det dessa kriterier som används för att klassificera någon som oönskad i Ryssland?"
"Tricks are often used to make access to the labour market more difficult.", "Trick används ofta för att försvåra tillgången till arbetsmarknaden."
"whether such taxes could be used to make the financial system long-term oriented;", "Skulle en sådan beskattning kunna användas för att göra finanssystemen långsiktiga?"
"In this project an optical method is used to make these characterizations.", "I detta projekt används en optisk metod för att göra detta."
"But the crisis is not always used to make a new beginning.", "Men det är inte alltid som krisen utnyttjas till att börja om på nytt."
"What we do not want is for global payments to small farms to be used to make savings.", "Det vi inte accepterar i denna bestämmelse om ett schablonbelopp är att en besparing skall göras på de små företagen."
"Each country could really do with its own programme, which could be used to make progress towards the objectives.", "I själva verket behöver varje land sitt eget program, inom vars ram man kan gå fram mot målen."
"They are called phthalates, and are used to make PVC soft.", "De kallas ftalater och används för att göra PVC mjuk."
"This is the silk that's used to make the frame and radii of an orb web, and also the safety trailing dragline.", "Det är silket som används för att göra ramen och radierna i nätet, men används också till ankartråden."
"These were used to make those kinds of packing slips.", "De här användes för att göra sådana följesedlar."
"" Crib Malt Liquor, just like Mama used to make "?", "" Crib Malt Liquor, Precis vad mamma brukar göra "?"
"Man, they sure did used to make it sound nice.", "De gick verkligen in för att det skulle låta trevligt."
"What is more, each Member State's financial contribution is subject to the criterion used to make the calculations.", "Staternas finansiella balans beror dessutom på vilket kriterium som har valts för att göra uträkningarna."
"It seems to me that these new procedural techniques could also be used to make appreciable progress in schools.", "Jag kan föreställa mig att man med denna nya processteknik också skulle kunna göra tydliga framsteg i skolorna."
"For example, the Commission used to make a lump-sum payment to the Technical Assistance Office to cover payment of grants.", "Till exempel betalade kommissionen tidigare en viss engångssumma till kontoret som tekniskt stöd för betalningar."
"And the numbers are used to make decisions.", "Och sifforna används för att göra beslut."
"Extracting companies must be forced to recultivate the land they have used, to make it possible for forests to grow there again one day.", "Utvinningsföretag måste tvingas att återplantera den mark de har använt, så att skogen en dag kan växa där."
"We think that's because the dragline silk, which is used to make the frame and radii for a web, needs to be very strong.", "Vi tror att detta beror på att ankartrådsilket, vilket används för att göra ramen och radierna i nätet, behöver vara mycket starkt."
"As already indicated, the proceeds of the noise charges will be used to make investments intended to reduce noise nuisance.", "Liksom tidigare angivits skall avkastningen från bulleravgifterna användas till investeringar för att minska bullerstörningarna."
"For instance, in the summer it would perhaps be possible to set up surveillance operations to detect the flimsy craft used to make the crossing.", "Beträffande likkistorna kan till exempel vissa bevakningsåtgärder igångsättas, åtgärder som är genomförbara under sommaren."
"It was also very useful for me to see how we can take this work further.", "Det var också mycket värdefullt för mig att få en uppfattning om hur vi kan gå vidare med arbetet."
"I think it would be useful for me to explain the background of the question to the Commissioner.", "Jag tror att det vore bra om jag förklarade vad som ligger bakom frågan till kommissionären."
"It is a very self-centred thing to say, but it has been useful to me.", "Det är väldigt egoistiskt, men det har varit nyttigt för mig."
"It does not seem useful to me to have continual discussions about the definitions of waste and prevention.", "Det är inte meningsfullt, i mitt tycke, att föra ständiga diskussioner om definitionerna av avfall och förebyggande."
"I am grateful for the advice that it may be useful for me to go there once again, and we will consider that.", "Jag är tacksam för rådet att det kanske skulle vara lämpligt om jag besökte platsen återigen, och vi kommer att överväga detta."
"It seems to me, given the issues involved, that it would be useful for me to benefit from the advice and guidance of the House.", "Jag anser att det med hänsyn till de berörda frågorna vore till nytta för mig att få kammarens råd och vägledning."
"The word was perhaps ill chosen, but starting a debate on the alternatives when they are all already negotiating does not seem very useful to me.", "Ordet var kanske illa valt, men att inleda en debatt om alternativen när alla redan förhandlar tycker jag inte verkar särskilt fruktbart."
"It is useful for me as a Member of the European Council, and having been so involved in the Constitution, just to hear those points.", "Det är nyttigt för mig som medlem av Europeiska rådet att bara lyssna till dessa påpekanden, särskilt efter att ha varit så pass delaktig i utarbetandet av konstitutionen."
"We kept in contact on an on-going basis, enabling an exchange of views and information, which proved to be extremely useful to me in my capacity as a negotiator.", "Vi har hela tiden behållit kontakten, vilket möjliggjort utbyte av information och åsikter något som visat sig extremt användbart för mig som förhandlare."
"That is what I wanted to say at the end of a debate that has been very interesting and useful for me and on which I will report to the Member States and their ministers.", "Detta är vad jag ville säga i slutet av denna debatt som varit mycket intressant och användbar för mig, och som jag kommer att rapportera om till medlemsstaterna och deras ministrar."
"It was very useful for me as President of the Council to hear your observations and we will certainly take them on board in our further discussions on this topic right up until Christmas.", "Jag vill också påpeka att Nederländerna i hög grad kan sympatisera med vissa av era frågor, framför allt de som handlar om ursprungsregler, produkttäckning och förmånsmarginaler."
"This enables you to work abroad while remaining covered by the social security system of the country where you usually work.", "Då fortsätter du att omfattas av socialförsäkringen i det land där du vanligen arbetar."
"Income replacement for any time off is paid by your insurance authority (in the country where you usually work).", "Ett eventuellt inkomstbortfall ska ersättas av din försäkringskassa (i landet där du vanligen arbetar)."
"This type of information is usually available for Council work, but is not passed on to us in Parliament.", "Denna sorts information är vanligtvis tillgänglig för arbete i rådet men förs inte vidare till oss i parlamentet."
"Diploma work is usually performed in cooperation with companies or in research projects conducted in the research subject group.", "Examensarbeten utförs oftast i samarbete med företag eller i forskningsprojekt som bedrivs i forskningsämnesgruppen."
"I might also add, of course, that such electronic processes can usually work out cheaper in practice.", "Till detta kan man naturligtvis anmärka att det ligger i sakens natur att sådana elektroniska förfaranden ändå för det mesta kan vara billigare."
"By doing this, you can work abroad but remain in the system of the country where you usually work — for a maximum of 2 years.", "På så vis kan du jobba utomlands men fortsätta att tillhöra försäkringskassan i det land där du vanligen jobbar, i högst två år."
"Contact your national liaison office to find out which authority can issue this document in the country where you usually work.", "Kontakta din nationella kontaktpunkt för att ta reda på vilken myndighet som utfärdar intyget i landet där du vanligtvis arbetar."
"She usually does work which the nationals of the various countries do not want, but which are necessary for the economy to operate properly.", "De brukar ta sådana arbeten som den inhemska befolkningen inte vill ha, men som är nödvändiga för att ekonomin skall fungera."
"That kind of work is usually organised on an informal basis, with no trade union representation, works council, premium payment or collective labour agreement.", "Det arbetet regleras främst informellt utan fackförening, företagsråd, premiebetalning eller kollektivavtal."
"If you are posted to work in another EU country, you'll remain covered by the laws of the country where you usually work for up to 2 years.", "Om du utstationeras till ett annat EU-land fortsätter du att omfattas av socialförsäkringen i det land där du vanligen arbetar, i upp till två år."
"(EL) Mr President, the persecution and slaughter of Christians in the Middle East is usually the work of fanatical and terrorist organisations.", "(EL) Herr talman! Förföljelse och massakrer på kristna i Mellanöstern brukar vara något som utförs av fanatiska organisationer och terrorristorganisationer."
"This super team, led by Monika Strasser, was not just competent and professional, but was also more than usually interested in its work.", "Medlemmarna av detta fantastiska team, som leddes av Monika Strasser, har inte bara varit kompetenta och professionella utan också ovanligt intresserade av sitt arbete."
"They usually cause problems at work because people do not understand the way they reduce the capacity of sufferers and make them unfit for work.", "Vanligtvis orsakar de problem i arbetet, eftersom människor omkring inte förstår hur sjukdomarna minskar de drabbades kapacitet och gör det svårt för dem att arbeta."
"Aviation noise probably has the highest profile today in Europe, while locally noise from road traffic and sources such as trains and construction work is usually the biggest problem.", "Det buller som man talar mest om i Europa i dag är förmodligen flygbullret, medan lokalt buller från vägtrafik och källor som tåg och byggnadsarbete vanligtvis utgör det största problemet."
