//Sentences
"GUILAD SHALIT, AUNG SAN SUU KYI, LUIS MENDIETA, ALAN JARA, JORGE TRUJILLO, FORERO,...", "Guilad Shalit, Aung San Suu Kyi, Luis Mendieta, Alan Jara, Jorge Trujillo, Forero ..."
"Question No 38 by Luis Marinho (H-0772/97)", "Fråga nr 38 från Luis Marinho (H-0772/97):"
"Examples of such a policy are reintegration projects, which I had the pleasure of discussing with Commissioner Luis Michel.", "Exempel på en sådan politik är projekt för återintegrering, som jag hade nöjet att diskutera med kommissionsledamot Louis Michel."
"Spanish film directors such as Pedro Almodóvar, Alejandro Amenábar and Luis Buñuel have received several international prizes.", "Flera spanska filmskapare har fått internationella utmärkelser, däribland Pedro Almodóvar, Alejandro Amenábar och Luis Buñuel."
"At the outset I would like to thank Luís Queiró for his report on a subject so important to the future of transport in Europe.", "Så här i början vill jag tacka Luís Queiró för hans betänkande om en fråga som är så viktig för transportsektorns framtid i EU."
"Motion for a resolution (B5-0658/2000) by Mr Luís Queiró, on behalf of the Union for a Europe of Nations Group, on EU external action priorities", "Resolutionsförslag (B5-0658/2000) av Luís Queiró för UEN-gruppen om EU:s prioriteringar för de externa åtgärderna"
"José Luis RODRÍGUEZ ZAPATERO", "José Luis RODRIGUEZ ZAPATERO"
"Mr President, I was delighted to be able to support Mr Luís Queiró's report on proportionality and subsidiarity of small airports.", "(EN) Herr talman! Det gladde mig att kunna stödja Luís Queirós betänkande om proportionalitet och subsidiaritet när det gäller små flygplatser."
"(B5-0569/2003) by Cristiana Muscardini and Luís Queiró, on behalf of the UEN Group, on the end of the moratorium on the death penalty in the Philippines.", "(B5-0569/2003) av Cristiana Muscardini och Luís Queiró, för UEN, om upphävandet av moratoriet för dödsstraff i Filippinerna."
". - (LV) I have been in touch with beekeeping organisations in Latvia.", "skriftlig. - (LV) Jag har varit i kontakt med biodlarorganisationer i Lettland."
"(LV) Mr President, it was not really clear on which report I could speak now.", "(LV) Herr talman! Det var inte helt klart om vilket betänkande jag kunde tala nu."
". - (LV) Thank you, Madam President and Mrs Grybauskaitė.", "för UEN-gruppen. - (LV) Tack, fru talman och kommissionsledamot Grybauskaitė!"
"LV - 1019 Riga Tel.: + 371 67 114 300 Fax: +371 67 144 333 E-mail: ltab[at]ltab.lv", "LV - 1019 Riga Tel.: + 371 67 114 300 Fax: +371 67 144 333 E-mail: ltab[at]ltab.lv"
". - (LV) I voted in favour of the final version of Mrs Fajon's report.", "skriftlig. - (LV) Jag röstade ja till den slutliga versionen av Tanja Fajons betänkande."
". - (LV) Are they competitors or partners, cunning players or dependent simpletons?", ". - (LV) Är de konkurrenter eller partner, skickliga aktörer eller beroende dumbommar?"
". - (LV) Thank you, Mr President, Mrs Ferrero-Waldner and Mrs Lehtomäki.", ". - (LV) Herr talman, fru Ferrero-Waldner och fru Lehtomäki - tack så mycket!"
"(LV) Prime Minister, both you and we expect a lot of Europe's future.", "(LV) Herr statsminister! Såväl ni som vi förväntar oss mycket av Europas framtid."
"(LV) Mr President, I should like to ask you what the expression 'test pilot' means?", "(LV) Herr talman! Jag vill fråga dig vad uttrycket ”testpilot” innebär?"
". - (LV) I fully supported this proposal for a resolution.", "skriftlig. - (LV) Jag ger mitt fulla stöd till detta förslag till resolution."
"(LV) Ladies and gentlemen, today's summit meeting is focused on offering assistance to Georgia.", "(LV) Mina damer och herrar! Dagens toppmöte gäller främst bistånd till Georgien."
". - (LV) Thank you, Mr President, Commissioner.", "för UEN-gruppen. - (LV) Tack herr talman, tack herr kommissionsledamot!"
"(LV) Mr President, I should like to draw the attention of this House to social cohesion.", "(LV) Herr talman! Jag skulle vilja uppmärksamma kammaren på den sociala sammanhållningen."
"Nomination of a member of the Court of Auditors - Mr Igors Ludborzs (LV) (", "Nominering av en ledamot av revisionsrätten - Igors Ludboržs (LV) ("
". - (LV) Thank you, Mr President, Commissioner.", "för UEN-gruppen. - (LV) Tack, herr talman, herr kommissionsledamot!"
". - (LV) Mr President, Commissioner, we are all lazy.", "för PPE-gruppen. - (LV) Herr talman, herr kommissionsledamot!"
". - (LV) Thank you, Mr President, Commissioner.", "UEN-gruppen. - (LV) Tack herr talman och herr kommissionsledamot!"
"LV – 1026, Rīga, Tel: +371 67219 263, E-mail: kanceleja[at]iem.gov.lv", "LV – 1026, Rīga, Tel: +371 67219 263, E-mail: kanceleja[at]iem.gov.lv"
"(LV) Madam President, I am one of those people who largely support the adoption of this document.", "(LV) Fru talman! Jag tillhör dem som i stort sett stöder antagandet av detta dokument."
"- (LV) Mr President, I would like to congratulate the Portuguese Presidency on its achievements.", "(LV) Herr talman! Jag vill gratulera det portugisiska ordförandeskapet för dess insatser."
"Europeans from La Palma, the Canaries and the rest of Europe are waiting for answers on this.", "Européer från La Palma, Kanarieöarna och övriga Europa väntar på svar."
"He's a biologist at Veta La Palma.", "Han är biolog på Veta La Palma."
"The European Parliament was unanimous in its support for locating it in La Palma and I am grateful for that, but what did the Council do?", "Europaparlamentet var enhälligt i sitt stöd för att placera det i La Palma, och det är jag tacksam för, men vad gjorde rådet?"
"I had the misfortune to live very close to this tragedy, to the fire that took place this summer on the island of La Palma in the Canaries.", "Jag hade oturen att bo mycket nära denna tragedi, nära elden som utbröt denna sommar på ön La Palma i ögruppen Kanarieöarna."
"Mention has already been made of the devastating fire on the island of La Palma, in the outermost region of the Canaries, a Spanish autonomous community where I was born and where I live.", "Man har redan nämnt den förödande branden på ön La Palma, i det yttersta randområdet Kanarieöarna, en autonom region i Spanien där jag är född och där jag fortfarande bor."
"more_vert open_in_new Link to European Parliament warning Request revision I was in La Paz and Santa Cruz de la Sierra just a month ago, sent by the Spanish Government to assess the situation and to propose possible initiatives.", "expand_more Jag befann mig i La Paz och Santa Cruz de la Sierra för bara en månad sedan, utsänd av den spanska regeringen för att bedöma situationen och föreslå möjliga initiativ."
"more_vert open_in_new Link to European Parliament warning Request revision Jag befann mig i La Paz och Santa Cruz de la Sierra för bara en månad sedan, utsänd av den spanska regeringen för att bedöma situationen och föreslå möjliga initiativ.", "expand_more I was in La Paz and Santa Cruz de la Sierra just a month ago, sent by the Spanish Government to assess the situation and to propose possible initiatives."
"Mrs Van der Laan, I understand that you would like the quorum to be checked.", "Fru Van der Laan! Jag förstår att ni begär fastställande av beslutförhet."
"B5-0416/ 2002, by Mr Van der Laan, on behalf of the ELDR Group, on homosexuals in Egypt;", "B5-0416 / 2002 av Van der Laan för ELDR-gruppen om de homosexuella i Egypten,"
"Commissioner Patten has made this very clear, as has Mrs van der Laan.", "Kommissionär Patten sade det mycket tydligt och även Van der Laan slog fast detta."
"B5-0416/2002, by Mr Van der Laan, on behalf of the ELDR Group, on homosexuals in Egypt;", "B5-0416/2002 av Van der Laan för ELDR-gruppen om de homosexuella i Egypten,"
"Mrs Van der Laan spoke about the proposal made by the Bureau to the Conference of Presidents.", "Van der Laan talade om det förslag som presidiet lagt fram till talmanskonferensen."
"I will not be repeating what my fellow MEPs, Mrs van der Laan and Mrs Maij-Weggen, have said.", "Jag skall inte upprepa det som kollegerna Van der Laan och Maij-Weggen sagt."
"I just wanted to ask whether Mrs van der Laan is here or have I missed her as well?", "Jag ville bara fråga om min kollega van der Laan är närvarande eller om jag har missat även henne?"
"B5-0300/ 2001 by Mrs Van der Laan and Mrs Dybkjær, on behalf of the ELDR Group,", "B5-0300 / 2001 av Van der Laan och Dybkjær för ELDR-gruppen,"
"Mr President, ladies and gentlemen, Mrs van der Laan, the Commission welcomes your report.", "Herr talman, ärade ledamöter, ärade fru Van der Laan! Kommissionen välkomnar ert betänkande."
"B5-0300/2001 by Mrs Van der Laan and Mrs Dybkjær, on behalf of the ELDR Group,", "B5-0300/2001 av Van der Laan och Dybkjær för ELDR-gruppen,"
"Mrs Van der Laan, my sentiments are shared by many other women in the Christian-Democrat group.", "Fru Van der Laan, detta gör jag liksom många andra kvinnor i den kristdemokratiska gruppen."
"Mrs Malmström and Mrs van der Laan have asked me specifically to mention them in this connection.", "Fru Malmström och fru van der Laan har bett mig att särskilt nämna dem i detta sammanhang."
"If we do not do both, we are not living in the twenty-first century, as Mrs van der Laan said.", "Om vi inte kan åstadkomma båda kommer vi inte att gå vidare in i nästa sekel, såsom Laan just sagt."
"The points Mrs van der Laan made earlier should be included, and I am pleased to say that we agree about that.", "Dit hör det som van der Laan sade förut - och det är vi helt överens om."
"Mr President, perhaps Mrs van der Laan meant a separate vote for each paragraph and not a split vote.", "Herr talman! Van der Laan menade kanske separat omröstning för varje artikel och inte delad omröstning."
"We can all see, Mrs Van der Laan, that you are here.", "Vi kan allesammans se, fru Van der Laan, att ni är här."
"Many of the general points raised in our committee's report have been covered in Mrs van der Laan's report.", "Många av de generella punkter som tas upp i vårt utskotts betänkande omfattas av van der Laans betänkande."
"I would like to congratulate Lousewies van der Laan.", "Jag skulle vilja gratulera Lousewies van der Laan."
"The scheme for whistle-blowers, much applauded by Mrs van der Laan, leaves a great deal to be desired.", "Den av kollega Van der Laan så bejublade ordningen för rapportering av oegentligheter lämnar mycket i övrigt att önska."
"Anyway, I can read to Mrs van der Laan what Mrs Borst has written back to Mr Liese because I have a copy.", "Jag kan för övrigt läsa upp för Van der Laan vad Borst skriver tillbaka till Peter Liese - jag har nämligen en kopia."
"Laboratorio Zeta is the only accommodation centre in Palermo for refugees and asylum‑seekers.", "Laboratorio Zeta är den enda förläggningen för flyktingar och asylsökande i staden Palermo."
"Consequently, on Tuesday 19 January 2010, police forcibly cleared Laboratorio Zeta.", "Som en följd av detta utrymdes Laboratorio Zeta tisdagen den 19 januari 2010 av tungt beväpnad polis."
"Since then, the refugees have been sleeping in tents in front of Laboratorio Zeta's offices, and depend on help from volunteers.", "Flyktingarna sover därför i tält framför Laboratorio Zeta-byggnaden och lever endast tack vare volontärers insatser."
"‘Laboratorio Zeta’ is the only reception centre for refugees and asylum-seekers in Palermo and in nine years has provided shelter for over 400 political refugees.", "”Laboratorio Zeta” är det enda mottagningscentret för flyktingar och asylsökande i Palermo."
"On 19 January the police, who had been called in to clear the Laboratorio Zeta premises, burst in and — quite needlessly — violently charged the occupants.", "När lokalerna skulle utrymmas den 19 januari bröt sig polisen in i Laboratorio Zeta, där man utan anledning angrep de boende med våld."
"Laboratorio Zeta started as a squat, and in recent years its work has been praised by the authorities and Palermo Council has regularly covered its utility bills.", "Det har under de senaste åren fått beröm från offentliga myndigheter och kommunen i Palermo har vanligtvis stått för dess kostnader."
"The IACP has now lost interest in the social public service provided by Laboratorio Zeta and has transferred the building to a private organisation for commercial activities.", "IACP bryr sig uppenbarligen inte om Laboratorio Zetas sociala roll utan har överlåtit byggnaden till ett privat företag för vinstdrivande verksamhet."
"more_vert open_in_new Link to statmt.org warning Request revision The International Labour Organization adopted the Maritime Labour Convention in 2006.", "expand_more Internationella arbetsorganisationen antog konventionen om arbete till sjöss år 2006."
"more_vert open_in_new Link to statmt.org warning Request revision The free movement of labour is an important priority for the European Union.", "expand_more Fri rörlighet för arbetskraft är en viktig prioritering för Europeiska unionen."
"more_vert open_in_new Link to European Parliament warning Request revision Yet we cannot get enough workers for our own labour-intensive industries in Ireland.", "expand_more Ändå kan vi inte få tillräckligt med arbetare till våra egna arbetsintensiva industrier i Irland."
"more_vert open_in_new Link to European Parliament warning Request revision After long and painful labour, Mr Tsatsos and Mr Méndez de Vigo heard new demands rising on all sides.", "expand_more Efter lång och djupgående möda har Tsatsos och Méndez de Vigo sett kraven öka från alla håll."
"more_vert open_in_new Link to European Parliament warning Request revision This social problem must be wiped out in view of efforts to integrate more women into the labour market.", "expand_more Detta sociala problem måste undanröjas med hänsyn till ansträngningarna att integrera fler kvinnor på arbetsmarknaden."
"more_vert open_in_new Link to European Parliament warning Request revision The Europe of 'free movement ' cannot withstand action by ships ' crews fighting to prevent their labour rights from being reduced to third-world levels.", "expand_more Det " fria rörlighetens " Europa kan inte tåla aktiviteterna som genomförs av arbetarna inom sjöfarten, vilka kämpar emot begränsningar i sin arbetsrätt efter förebilder i tredje världen."
"more_vert open_in_new Link to European Parliament warning Request revision On 26 February, an activist of the EMEP, the Turkish Labour Party, was shot.", "expand_more Den 26 februari sköts en EMEP-aktivist, det turkiska arbetarpartiet."
"more_vert open_in_new Link to European Parliament warning Request revision I commit myself to women getting the same opportunities as men in the labour market.", "expand_more Jag vill arbeta för att kvinnor skall få samma möjligheter på arbetsmarknaden som män."
"more_vert open_in_new Link to statmt.org warning Request revision The main function of the organisation is to establish international labour and social standards.", "expand_more Organisationens huvuduppgift är att utarbeta internationella arbetsnormer och sociala normer."
"more_vert open_in_new Link to statmt.org warning Request revision If we are to go on securing a well-educated and skilful labour force, we must be able to offer effective and universal health care.", "expand_more Om vi skall fortsätta att sträva efter en välutbildad och skicklig arbetskraft måste vi kunna erbjuda effektiv och allmän hälso- och sjukvård."
"more_vert open_in_new Link to statmt.org warning Request revision Other outstanding weak points are legal certainty, the fight against corruption and the position of women in the labour market - areas in which Croatia must make greater efforts.", "expand_more En annan svaghet är fortfarande rättssäkerheten, korruptionsbekämpningen och kvinnors ställning på arbetsmarknaden - områden där Kroatien måste anstränga sig mer."
"It is a major step forward that labour ministers are meeting in the G20 context.", "Det är ett stort framsteg att arbetsmarknadsministrarna träffas i G20-sammanhang."
"I speak on behalf of myself and my 28 colleagues from the British Labour Party.", "Jag talar på min och mina 28 kollegor från det brittiska arbetarpartiets vägnar."
"The other topic of debate is the reduced VAT rate for labour-intensive services.", "Det andra debattämnet handlar om den sänkta momsen på arbetsintensiva tjänster."
"Is it socially acceptable for people at 58 to be taken out of the labour market?", "Är det socialt acceptabelt att 58-åringar inte ges tillträde till arbetsmarknaden?"
"The following links can help you to find your way in the Estonian labour market.", "Följande länkar kan hjälpa dig att hitta rätt på den estniska arbetsmarknaden."
"Again, the problems relating to child labour might also be cause for reflection.", "Återigen kan det också finnas anledning att fundera över problemen med barnarbete."
"They apply to statistics on active or passive measures for labour market policy.", "Det gäller statistik över aktiva och passiva åtgärder för arbetsmarknadspolitiken."
"The third error relates to the harmonisation of labour and social legislation.", "Det tredje misstaget gäller harmoniseringen av arbets- och sociallagstiftningen."
"In short, it must be focused on those who are furthest from the labour market.", "Kort sagt måste det riktas mot dem som befinner sig längst från arbetsmarknaden."
"Forced labour is the order of the day, and children are conscripted into the army.", "Tvångsarbete hör till ordningen för dagen och barn tvångsrekryteras till armén."
"The economy benefits when more migrant women participate in the labour market.", "Det är bra för ekonomin att fler invandrarkvinnor kommer ut på arbetsmarknaden."
"Mr President, 25 years ago I was working here illegally, doing manual labour.", "– Herr talman! För 25 år sedan arbetade jag här illegalt, som hantverkare."
"These guidelines are based on the reduction of labour costs and they hamper growth.", "Dessa riktlinjer grundar sig på minskade arbetskostnader och bromsar tillväxten."
"Labour MEPs support the strategy to control mercury proposed by the Commission.", "Kvicksilver är ett mycket giftigt ämne som måste underställas sträng kontroll."
"I have a second reservation to raise in relation to the factor of labour costs.", "Jag har ytterligare en reservation när det gäller faktorn arbetskraftskostnad."
"We have to do more on the labour market and, as you say, front-load investments.", "Vi måste göra mer på arbetsmarknaden och, som ni säger, tidigarelägga investeringar."
"Not for nothing did we in Europe plan to enhance the labour participation of women.", "Inte för inte har vi i EU beslutat att öka kvinnornas andel på arbetsmarknaden."
"It proposes increased flexibility in the markets, starting with the labour market.", "Man föreslår en ökad flexibilitet för marknaderna, och börjar med arbetsmarknaden."
"It will also require measures to increase participation in the labour market.", "Det kommer också att kräva åtgärder för att öka deltagandet på arbetsmarknaden."
"My country is competitive in European terms in relation to indirect labour cost.", "Mitt land kan konkurrera i Europa med avseende på indirekta arbetskostnader."
"The Slovak Government will fuel unemployment and increase poverty with this Labour Code.", "Med denna arbetsmarknadslag kommer den slovakiska regeringen att späda på arbetslösheten och öka fattigdomen."
"Trade unions have taken to the streets to voice their opposition to the Labour Code amendment.", "Fackföreningar har gått ut på gatorna för att visa sitt motstånd mot ändringarna i arbetsmarknadslagstiftningen."
"The whole idea is to reduce the level of protection offered by the Social Security Code and the Labour Code.", "Hela tanken är att sänka den skyddsnivå som erbjuds av socialförsäkringslagen och arbetsmarknadslagen."
"I voted in favour of this report as I agree that there is a need to draw up a first Universal Maritime Labour Code.", "Jag röstade för betänkandet eftersom jag instämmer i behovet av dessa första allmänt gällande regler för arbete till sjöss."
"A labour code is a piece of legislation under which a state provides a system of fundamental social rights for workers.", "En arbetsmarknadslag är en lag där en stat upprättar ett system med grundläggande sociala rättigheter för de anställda."
"In some States, the Labour Code stipulates that every illegal contract must be re-classed as a full-time, permanent contract.", "I vissa stater anger arbetslagen att alla illegala arbetskontrakt måste omvandlas till tillsvidarekontrakt på heltid."
"(RO) Mr President, the Romanian Government has adopted, by establishing liability, a new Labour Code which infringes Romanians' right to social protection.", "(RO) Herr talman! Den rumänska regeringen har antagit, genom att fastställa ansvar, en ny arbetsrätt som bryter mot rumäners rätt till socialt skydd."
"(RO) Mr President, the recent amendments made to the Labour Code in Romania will exacerbate further the situation of employees, already hit hard by recession.", "(RO) Herr talman! De senaste ändringsförslagen till Rumäniens arbetslag kommer att förvärra situationen ytterligare för de arbetstagare som redan har drabbats hårt av konjunkturnedgången."
"Ratification of the ILO's 2006 Consolidated Maritime Labour Convention (vote)", "Ratificering av ILO:s konvention om sysselsättning till sjöss från 2006 (omröstning)"
"The International Labour Organization adopted the Maritime Labour Convention in 2006.", "Internationella arbetsorganisationen antog konventionen om arbete till sjöss år 2006."
"Ratification of the ILO's 2006 Consolidated Maritime Labour Convention (debate)", "Ratificering av ILO:s konsoliderade konvention om sysselsättning till sjöss från 2006 (debatt)"
"Thirdly, EC law must not contravene the International Labour Organisation Convention.", "För det tredje får EG-rätten inte bryta mot ILO-konventionen."
". - I support this resolution on the proposed International Labour Organisation convention on domestic workers.", "Jag stöder denna resolution om den föreslagna ILO-konventionen om hushållsarbetare."
"However, the first and the most important step is the ratification of this ILO Maritime Labour Convention.", "Det första och viktigaste steget är emellertid att ratificera ILO-konventionen om arbete till sjöss."
"I therefore welcome this International Labour Organisation convention, which warns of problems involving domestic work.", "Jag välkomnar därför denna ILO-konvention, där man larmar om problemen inom hushållsarbete."
"Maritime Labour Convention (", "Arbetstidens organisation för sjömän 2006 (förfaranden beträffande den sociala dialogen) ("
"A positive sign recently is that other countries will probably ratify the ILO Worst Forms of Child Labour Convention No 182.", "En positiv signal på senare tid är att fler länder förmodligen kommer att ratificera ILO: s avtal nr."
"Authorisation to ratify the Work in Fishing Convention, 2007, of the International Labour Organisation (Convention 188) (", "Bemyndigande för att ratificera ILO:s konvention om arbete i fiskenäringen från 2007 (konvention nr 188) ("
"Authorisation to ratify the Work in Fishing Convention, 2007, of the International Labour Organisation (Convention 188) (debate)", "Bemyndigande för att ratificera ILO:s konvention om arbete i fiskenäringen från 2007 (konvention nr 188) (debatt)"
"For this reason, the initiative in this International Labour Organisation (ILO) Convention is very welcome and deserves our support.", "Därför är initiativet i denna konvention från Internationella arbetsorganisationen (ILO) mycket välkommen och förtjänar vårt stöd."
"The International Labour Organisation (ILO) convention, supplemented by a recommendation on domestic workers, could be another step in the right direction.", "ILO:s konvention kompletterad av en rekommendation om hushållsarbetare kan vara ännu ett steg i rätt riktning."
"A positive sign recently is that other countries will probably ratify the ILO Worst Forms of Child Labour Convention No 182.", "En positiv signal på senare tid är att fler länder förmodligen kommer att ratificera ILO:s avtal nr. 182 om de värsta formerna av barnarbete."
"With this in mind, the Member States must urgently ratify the International Labour Organisation's 2006 Maritime Labour Convention.", "Med detta i åtanke måste medlemsstaterna snarast möjligt ratificera Internationella arbetsorganisationens sjöarbetskonvention från 2006."
"First of all, the Chilean Government has not yet ratified International Labour Organisation Convention 169 on indigenous peoples.", "För det första har den chilenska regeringen ännu inte ratificerat Internationella arbetsorganisationens avtal 169 om ursprungsbefolkningar."
"The ILO has worked out a plan of action that relies on the Maritime Labour Convention coming into force in 2010 and, at the latest, in 2011.", "ILO har utarbetat en handlingsplan som är beroende av att konventionen om arbete till sjöss träder i kraft 2010 och allra senast 2011."
"The 2006 Maritime Labour Convention of the International Labour Organisation (ILO) is aimed at guaranteeing decent living and working conditions on board vessels.", "ILO-konventionen från 2006 om arbete till sjöss syftar till att säkerställa goda arbets- och levnadsvillkor ombord på fartyg."
". - Mr President, 'the ILO Maritime Labour Convention is the best thing that has ever been developed in the maritime labour field.'", "föredragande. - (EN) Herr talman! "ILO-konventionen om arbete till sjöss är det bästa som någonsin har utarbetats när det gäller arbete till sjöss.""
"This European Parliament resolution addresses the proposed International Labour Organisation (ILO) convention, supplemented by a recommendation on domestic workers.", "Denna resolution från Europaparlamentet handlar om den föreslagna ILO-konventionen kompletterad av en rekommendation om hushållsarbetare."
