//Sentences
"Mr President, crying over spilt milk will not solve the problem of unemployment in Europe.", "Herr ordförande, allmänt gnäll räcker inte för att lösa arbetslöshetsproblemen i Europa."
"US policy is characterised by unilaterality and ever changing coalitions.", "USA:s politik kännetecknas av ensidighet och ständigt föränderliga koalitioner."
"Overall, Mr Bonde’ s amendments have to be characterised as ill thought-out.", "På det hela taget måste Jens-Peter Bondes ändringsförslag anses vara illa genomtänkta."
"Europe is seeking a public domain characterised by transparency and trust.", "EU söker en offentlig identitet, som karakteriseras av öppenhet och tillit."
"Overall, Mr Bonde’s amendments have to be characterised as ill thought-out.", "På det hela taget måste Jens-Peter Bondes ändringsförslag anses vara illa genomtänkta."
"The EU is still characterised by its under-utilisation of human resources.", "EU präglas fortfarande av att mänskliga resurser inte utnyttjas till fullo."
"It would say that the European Union is characterised by a lack of territorial continuity.", "Jag skulle vilja hävda att EU kännetecknas av bristen på territoriell kontinuitet."
"A process that will also have to be characterised by good contacts with your Parliament.", "En process som också måste kännetecknas av goda kontakter med ert parlament."
"Therefore, I say yes to investment, but within the confines of the Stability Pact.", "Vi är alltså positiva till investeringar, men inom ramen för stabilitetspakten."
"Proper legislation frees and liberates; bad law cabins, cribs and confines.", "Riktig lagstiftning befriar och frigör. Dålig lagstiftning stänger in och inskränker."
"This is about as much as we can hope for within the confines of the common fisheries policy.", "Det är allt vi kan hoppas på inom ramen för den gemensamma fiskeripolitiken."
"It confines itself to reproducing the findings of the Intergovernmental Panel on Climate Change.", "Man begränsar sig till att upprepa slutsatserna från FN:s panel för klimatförändringar."
"On all these subjects, the Brok report confines itself to discussing adaptation and reform.", "När det gäller alla dessa frågor envisas man i Broks betänkande med att tala om anpassning, om reformer."
"We have talked too about the importance of the relationship beyond the confines of the transatlantic community.", "Vi har också talat om förbindelsernas betydelse utanför det transatlantiska området."
"We should be legally entitled to obtain documents when they are no longer within the confines of the Commission.", "Vi måste ställa rättsliga krav på att vi kan få ta del av dokument när de lämnat kommissionen."
"This proposal confines itself to merely codifying the existing texts, without any change in their substance.", "Förslaget avser endast en kodifiering av de befintliga texterna, utan några innehållsmässiga ändringar."
"He hardly confines himself to formalistic replies.", "Han begränsar sig knappast till formalistiska svar."
"While I welcome this White Paper, I regret that it confines itself to a catalogue of questions and principles.", "Jag välkomnar denna vitbok, men beklagar att den reducerar sig själv till en katalog över frågor och principer."
"I am going to depart somewhat from the question of the Amsterdam Treaty, depart from the confines of Parliament and depart from Strasbourg.", "Jag lämnar fördraget litet grand, jag lämnar detta parlament och jag lämnar Bryssel."
"The report does not, however, dispute the policy which produces the hardships, which it confines itself to describing.", "I betänkandet ifrågasätts likväl inte den politik som orsakar det lidande man nöjer sig med att beskriva."
"If a proposal is no longer within the confines of the Commission, then the latter ought not to be able to refuse to let us see it.", "När ett förslag finns utanför kommissionen, bör kommissionen inte hindra oss från att ta del av det."
"For the most part, this report confines itself to general considerations without putting forward any practical decisions.", "I detta betänkande nöjer man sig huvudsakligen med allmänna beaktanden, men man föreslår inga konkreta beslut."
"So this report confines itself to the question of Turkey's participation in the education and training programmes.", "Det aktuella betänkandet har därför begränsats till frågan om huruvida Turkiet skall tas med i utbildningsprogrammen."
"For the most part, this report confines itself to general considerations without putting forward any practical decisions.", ". (FR) I detta betänkande nöjer man sig huvudsakligen med allmänna beaktanden, men man föreslår inga konkreta beslut."
"- (DE) Despite the fact that it confines itself to refugees under the Geneva Convention, I intend to vote in favour of this report.", "skriftlig. (DE) Trots begränsningen till flyktingar enligt Genèvekonventionen röstar jag för detta betänkande."
"In the United States, where they are used, it has been discovered that they are disseminated in the environment beyond the confines of animal production.", "I USA, där de används, har det upptäckts att de sprids i miljön utanför djurproduktionen."
"This report confines itself to smoothing out some of what it considers to be the more repulsive aspects of the French initiatives.", "I betänkandet nöjer man sig med att stryka de aspekter som befinns vara mest upprörande i de franska initiativen."
"However, the resolution proposed does not attack these Mafia practices and confines itself too much to observations.", "I resolutionsförslaget angriper man emellertid inte denna maffiapraxis, utan man håller sig för mycket till rena observationer."
"It deserves a great degree of admiration, above all, for your continuous advocacy of dialogue.", "Det förtjänar beundran, framför allt för hans oupphörliga försvar för dialog."
"How much longer do we need to go on demanding continuous dialogue between the institutions?", "Hur mycket längre måste vi fortsätta att kräva en fortlöpande dialog mellan institutionerna?"
"The Commission will maintain a continuous dialogue with the European Parliament in all the above fields of action.", "Kommissionen kommer att föra en fortgående dialog med Europaparlamentet inom alla de nämnda åtgärdsområdena."
"In this challenging environment, the Commission continues to promote reforms through a continuous dialogue with the authorities.", "I denna utmanande miljö fortsätter kommissionen att främja reformer genom en kontinuerlig dialog med myndigheterna."
"The Commission will maintain a continuous dialogue with the European Parliament in all the above fields of action.", "Inom ramen för denna gemensamma enhet har två center inrättats för att samordna de gemensamma åtgärder som skall vidtas till sjöss och i hamnarna."
"We must maintain a continuous dialogue on bilateral issues and also on global issues, and try to ensure the most coordinated action possible.", "Vi måste föra en ständig dialog om bilaterala frågor och likaså om globala frågor, och försöka vidta en så samordnad åtgärd som möjligt."
"The Commission also maintains a continuous dialogue with the Russian Federation to ensure that safety rules are applied coherently in the Baltic Sea.", "Kommissionen för också en kontinuerlig dialog med Ryssland för att se till att säkerhetsåtgärderna tillämpas enhetligt i Östersjön."
"As a result, I can tell you that there was a continuous dialogue behind the scenes in order for the parties to better understand and trust one another.", "Resultatet har varit en löpande dialog bakom kulisserna med syfte att få parterna att förstå varandra bättre och lita mer på varandra."
"I understand that there will also be a continuous dialogue between Parliament and the Commission to ensure that we get a good and reliable information system in place.", "För att få så bra synpunkter som möjligt för förenklingen av lagstiftningen måste vi involvera alla aktörer, inklusive SMF."
"The promises about a continuous dialogue between the executive board of the European Central Bank and this Parliament strike me as a good and happy example of this.", "Löftet om en kontinuerlig dialog mellan Europeiska centralbankens direktion och parlamentet synes mig vara ett utmärkt exempel på detta."
"The participants agreed that the exchange of experiences and an open, continuous dialogue are a prerequisite for improvements in the area of animal welfare.", "Deltagarna var överens om att utbyte av erfarenheter och en öppen, ständigt pågående dialog är en förutsättning för förbättringar på djurskyddsområdet."
"I am also extremely pleased that Parliament is conveying Europe's voice to the United States through continuous dialogue with the US Congress and Government.", "Jag är också oerhört nöjd med att parlamentet för EU:s talan i samtalen med Förenta staterna, genom en ständig dialog med den amerikanska kongressen och regeringen."
"I believe that with targeted checks and reporting, and a continuous dialogue between those involved at all levels, we can all once again sleep soundly - including me.", "Genom målinriktade kontroller och rapportering och en ständig dialog mellan de berörda parterna på samtliga nivåer kan vi, tror jag, sova lugnt igen, även jag."
"The Northern Dimension should not only be project-oriented, it should ensure a continuous policy dialogue on the various challenges and opportunities.", "Den nordliga dimensionen bör inte bara vara inriktad på projekt utan även vara ett sätt att se till att den politiska dialogen om de olika utmaningarna och möjligheterna fortsätter."
"We build this bridge when we engage in continuous, honest and open dialogue in which we listen to each other, exchange our opinions frankly and develop mutual understanding.", "Denna bro bygger vi genom att föra en fortlöpande, ärlig och öppen dialog där vi lyssnar på varandra, utbyter raka åsikter och utvecklar en ömsesidig förståelse."
"I understand that there will also be a continuous dialogue between Parliament and the Commission to ensure that we get a good and reliable information system in place.", "Jag förstår att det också kommer att finnas en fortlöpande dialog mellan parlamentet och kommissionen för att se till att vi får ett bra och pålitligt informationssystem."
"On the one hand, we were engaged in continuous dialogue with both countries, watching their efforts and attempting to help them find ways to get a better recognition of their efforts.", "Å ena sidan har vi haft en löpande dialog med båda länderna, iakttagit deras arbete och försökt hjälpa dem att hitta bättre sätt att få erkännande för sitt arbete."
"These initiatives are intended to foster a continuous political dialogue that can deepen ties between member countries and enable Europe to accompany them along the path to reform.", "Initiativen syftar till att främja en fortlöpande politisk dialog som kan fördjupa banden mellan medlemsländerna och se till att EU kan hjälpa dem på vägen mot reformer."
"Thirdly, co-operation between governments in the Baltic region needs to be supplemented by a continuous parliamentary dialogue between the European Union and the parliaments of the Baltic States.", "För det tredje måste regeringssamarbetet i Östersjöområdet kompletteras med en stående parlamentarisk dialog mellan Europeiska unionen och Östersjöstaternas parlament."
"I am particularly grateful to you, Mr President, and to your office and your Secretariat for your combined efforts and for the continuous formal and informal dialogue with our Presidency.", "Jag vill särskilt tacka er, herr talman, och ert kontor och sekretariat, för era gemensamma insatser och för den kontinuerliga formella och informella dialogen med vårt ordförandeskap."
"Thus, a need for appropriate analytical methods of control will have to be considered.", "Man måste sålunda bedöma behovet av lämpliga analytiska kontrollmetoder."
"The methods of control will be strengthened along the entire food chain.", "Kontrollresurserna i hela livsmedelskedjan kommer att förstärkas."
"Automatic Control covers theory, methods and techniques for the study of dynamical systems.", "Reglerteknik omfattar teori, metoder och teknik för studium av dynamiska system och deras styrning."
"Finally, we trust the traditional control methods will combine transparency with interchangeability.", "Vi hoppas slutligen på öppna traditionella kontrollmetoder och ett utbyte av erfarenheter."
"I have a supplementary question on control methods.", "Jag skulle gärna vilja ställa en tilläggsfråga, och den gäller mer kontrollmetoden."
"4) The protection of minors using new programme control methods.", "4) Att minderåriga skyddas med nya metoder för programkontroll."
"This means common control methods and technical and administrative organisation and support.", "Detta betyder gemensamma kontrollmetoder och en teknisk och administrativ organisation och assistans."
"Such a new approach implies new working and control methods and a future customs risk management strategy.", "Ett sådant nytt synsätt innebär nya arbets- och kontrollmetoder och en förvaltningsstrategi för framtida tullrisker."
"Firstly, conclusions concerning control methods, conclusions concerning responsibility, but also conclusions concerning future policy.", "Det rör sig om slutsatser om kontrollmetoderna, om ansvarstagade, men också om den framtida politiken."
"Such a new approach implies new working and control methods and a common risk management strategy for all EU customs services.", "Ett sådant nytt perspektiv innebär nya arbets- och kontrollmetoder och en gemensam riskhanteringsstrategi för alla EU:s tulltjänster."
"On an operational level, we see the agency as a means of strengthening the tools and methods of control undertaken by Member States.", "På en operativ nivå ser vi kontrollorganet som ett sätt att förstärka de kontrollverktyg och metoder som medlemsstaterna använder."
"However, a good many binding rules are going to compete with the Member States’ prerogatives, such as their control over funding methods.", "Ganska många bindande bestämmelser kommer dock att konkurrera med medlemsstaternas företrädesrätt, som t.ex. kontrollen över finansieringsmetoderna."
"This Directive contains a set of general provisions for EC model approval, initial verification procedures and metrological control methods.", "Direktivet innehåller en uppsättning allmänna bestämmelser för EG-typgodkännande, första EG-verifikationsförfaranden och metrologiska kontrollmetoder."
"China, Iran, North Korea, Syria, Nepal, Cuba and Belarus are using increasingly sophisticated methods to control and restrict freedom of speech.", "Kina, Iran, Nordkorea, Syrien, Nepal, Kuba och Vitryssland använder sig av allt mer sofistikerade metoder för att kontrollera och begränsa yttrandefriheten."
"The Commission services are increasingly applying common standards for control methods, ensuring improved coordination and sharing of the results.", "Kommissionens tjänsteavdelningar använder sig i allt högre grad av gemensamma kontrollmetodnormer, vilket leder till bättre samordning och spridning av resultaten."
"Of course we must bring swine fever under control, but extermination methods that require mass slaughter are no longer really accepted by public opinion.", "Det är naturligtvis så att vi måste få svinpesten under kontroll, men utrotningsmetoder som fordrar masslakter accepteras egentligen inte längre enligt den allmänna opinionen."
"In addition, it is important to emphasise that other control methods, including documentary checks, should be used to check the origin and traceability of products.", "Dessutom är det viktigt att betona att andra kontrollmetoder, däribland dokumentarisk kontroll, bör tillämpas för att kontrollera produkters ursprung och spårbarhet."
"If a satisfactory balance is to be reached the control methods used have to be modernised and the level of cooperation strengthened between the different services and economic operators.", "För att uppnå en tillfredsställande balans måste de kontrollmetoder som används moderniseras och samarbetet mellan de olika myndigheterna och ekonomiska aktörerna stärkas."
"more_vert open_in_new Link to statmt.org warning Request revision Veterinary and phytosanitary matters (C5-100, C5-101 and C5-102/1999)", "expand_more Veterinära frågor och växtskyddsfrågor (C5-0100, C5-0101 och C5-0102/1999)"
"more_vert open_in_new Link to statmt.org warning Request revision Veterinary and phytosanitary matters (C5-100, C5-101 and C5-102/1999)", "expand_more Veterinära frågor och växtskyddsfrågor (C5-0100, C5-0101 och C5-0102/1999)"
"more_vert open_in_new Link to statmt.org warning Request revision Veterinära frågor och växtskyddsfrågor (C5-0100, C5-0101 och C5-0102/1999)", "expand_more Veterinary and phytosanitary matters (C5-100, C5-101 and C5-102/1999)"
"more_vert open_in_new Link to statmt.org warning Request revision Veterinära frågor och växtskyddsfrågor (C5-0100, C5-0101 och C5-0102/1999)", "expand_more Veterinary and phytosanitary matters (C5-100, C5-101 and C5-102/1999)"
"The Interreg II C programme was developed to promote regional cooperation.", "För att främja det regionala samarbetet har man tagit fram Interreg IIC-programmet."
"Biofuels have, apart from the positive C02 effect, other environmental effects too.", "Vid sidan om den positiva koldioxideffekten har biobränslen också andra miljöeffekter."
"The consequences of failing to meet the 2 °C target may be particularly serious.", "Följderna om vi inte lyckas uppnå tvågradersmålet kan bli mycket svåra."
"So I put a big C stamp on your forehead and then I say, "Here's a unicycle."", "Och så får du ett godkäntmärke i pannan. ~~~ sen säger jag, "Här har du en enhjuling.""
"Now when they introduced O.C. spray in Queensland, they were really explicit.", "När de introducerade pepparspray i Queensland, var de mycket precisa."
"" - or what would have led to this desperate akt. " " Act " is spelled with a C.", "" eller varför man gör någos sånnt här " - " Något " heter det."
"Except they can if they hack into a foreign C.A. and issue rogue certificates.", "Undantaget om de kan hacka sig in på en utländskt certifikatutdelare och ge ut falska certifikat."
"C.", "Hallå, här är jag, Mays Gilliam, kommunalrådet från Washington, DC."
"The goal of limiting temperature gains to 2°C is still achievable - just!", "Målet att begränsa temperaturökningen till 2 grader Celsius är fortfarande uppnåeligt - så när!"
"I have thus proposed that the frost rating be lowered to -40ºC.", "Således föreslår jag att köldgränsen skall sänkas till minus fyrtio grader."
"They're not obeying the directions that we're giving them, so we'll give them a shot of the O.C. spray.", "De lyder inte de order som vi ger dem, så vi ger dem en salva av pepparsprayen."
"That is not possible, as we could never then deliver on the 2 °C target.", "Det är ohållbart, eftersom vi då aldrig kan nå tvågradersmålet."
"And the first words that I spoke were in Washington, D.C., on the 20th anniversary of Earth Day.", "Och de var de första ord som jag yttrade i Washington, DC, på 20-årsdagen av Jordens Dag."
"I would like to ask the Commissioner if he can guarantee at this stage that C-sugar will be abolished.", "Jean-Claude Fruteau gjorde rätt i att säga att 40 miljoner är oacceptabelt."
"In many ways, the 'C' in CFSP still only means 'convenient'.", "På många sätt står ”G” i GUSP fortfarande för den ”gamla vanliga visan”."
"Two years later, she comes back with stage three C ovarian cancer.", "Två år senare kommer hon tillbaka med äggstockscancer, stadium 3."
"(DE) Mr President, Mr President-in-Office of the Council, Commissioner: 'Le nationalisme, c'est la guerre!'", "(DE) Herr talman, herr rådsordförande, fru kommissionsledamot! ”Nationalism är krig!”"
"The lecture will be held at 12.15-13.00 in C2 on Campus Valla.", "Marie Jonsson har i sin avhandling sökt och funnit några orsaker."
"It has predicted an average temperature increase of 2°C to 5°C over the 21st century.", "IPCC förutspår en genomsnittlig temperaturhöjning på två till fem grader Celsius under det 21:a århundradet."
"I regret the Council’ s decision not to bite the bullet as far as abolishing C-sugar is concerned.", "Kan ni bekräfta att den inte kommer att ha en fördröjande verkan?"
