//Sentences
"Select this option if you already have address data on an LDAP server.", "Välj det här alternativet om du redan använder en adressbok på en LDAP-server."
"Lea, she's so sweet, but, you...", "Lea, hon är så söt, men, du..."
"In my country we are already seeing the consequences, with delays in the intended LFA payments.", "I mitt land ser vi redan följderna i form av förseningar av de planerade betalningarna till mindre gynnade områden."
"LFA aid and environmental aid, in particular, are important in many less favoured agricultural areas.", "I synnerhet stödet till mindre gynnat område och miljöstödet är viktiga inom många ogynnsamma jordbruksområden."
". - We should remember that 54% of farmed land in the EU currently falls into a LFA classification.", "Vi bör komma ihåg att 54 procent av den brukade marken i EU för närvarande omfattas av en klassificering som mindre gynnade områden."
"Department of Facilities Management (LFA) Premises planning, new construction and re-modelling, furnishing, rental agreements and internal premises fees.", "Lokalförsörjningsavdelning (LFA) Lokalplanering, ny- och ombyggnader, inredning, hyresavtal och intern lokalavgift."
"As a result of the application of the new criteria, areas may no longer qualify for LFA status and farmers located in these areas may no longer be eligible for the intermediate LFA payment.", "Ni har rätt i att vissa kommer att förlora, men jag är helt säker på att en del också kommer att vinna på förslaget."
"Is the Council aware that little is known about the long-term impacts of LFA and other high-intensity active sonars on marine life or ecological processes?", "Konsekvenserna över tid för den marina miljön och dess biologiska processer av LFAS och andra typer av högintensivt aktivt sonar är mycket litet kända."
"Is the Council aware that the noise pollution emitted by LFA and other high-intensity sonars violates the U.N.", "Är rådet medvetet om att den ljudförorening som LFAS och andra typer av högintensivt sonar ger upphov till strider mot Förenta nationernas havsrättskonvention (UNCLOS)."
"Is the Commission aware that little is known about the long-term impacts of LFA and other high-intensity active sonars on marine life or ecological processes?", "Konsekvenserna över tid för den marina miljön och dess biologiska processer av LFAS och andra typer av högintensivt aktivt sonar är mycket litet kända."
"Is the Commission aware that the noise pollution emitted by LFA and other high-intensity sonars violates the U.N.", "Är kommissionen medveten om att den ljudförorening som LFAS och andra typer av högintensivt sonar ger upphov till strider mot Förenta nationernas havsrättskonvention (UNCLOS)."
"For example, we are currently addressing the issue of mobile TV: the problem of Nokia versus LG standardisation.", "Ett annat exempel är tilldelning av frekvenser på det linjära / digitala området."
"For example, we are currently addressing the issue of mobile TV: the problem of Nokia versus LG standardisation.", "Till exempel behandlar vi för närvarande frågan om mobil-tv – problemet med Nokias kontra LG:s standard."
"LG: Here -- you see some are missing?", "LG: Här... ~~~ Ser du att några kort saknas?"
"LG: Ah.", "Du sa spader? ~~~ (Publik: Ja.)"
"LG: OK, I'll take another group.", "LG: Ok, jag tar en annan hög."
"LG: But you see the hand.", "LG: Men ni ser handen."
"LG: Queen of hearts, yeah.", "LG: Hjärter dam, ja."
"LG: Ten of diamonds, yeah.", "LG: Ruter tio, ja."
"My name is Azita Hedayati and now works as Nordic Sales Director of Business Unit Air Conditioning and Energy Solutions, LG Electronics.", "Mitt namn är Azita Hedayati och jobbar idag som Nordisk Säljdirektör för affärsenheten Air Conditioning and Energy Solution på LG Electronics."
"LG: Jack of spades.", "LG: Spader knekt."
"LG: Seven of diamonds.", "LG: Ruter sju."
"LG: Five of clubs.", "LG: Klöver fem."
"LG: Diamonds, good.", "LG: Ruter."
"LG: Very good.", "LG: Mycket bra."
"LG: Queen, yes.", "LG: Damen, ja."
"LG: Pardon?", "LG: Ursäkta?"
"LG: Queen of?", "LG: Dam?"
"LG: Yeah.", "LG: Ja!"
"S&D and ALDE amendments were all adopted (LGBT, death penalty/lethal injection).", "Samtliga ändringsförslag från S&D och ALDE antogs (LGBT, dödsstraff/dödliga injektioner)."
"Also to be presented at the session is a cross-regional statement on LGBT rights.", "Vid mötet ska man även lägga fram en tvärregional förklaring om HBT-personers rättigheter."
"We have discussed the violation of LGBT rights in Lithuania, Hungary, and Poland.", "Vi har diskuterat kränkningarna av hbt-gruppernas rättigheter i Litauen, Ungern och Polen."
"His death also reminds us of the volatile situation for LGBT people in Uganda and elsewhere.", "Genom hans död påminns vi om den osäkra situationen för hbt-personer i Uganda och på annat håll."
"In practice, this proposed legislation risks making any information about LGBT issues illegal.", "I praktiken innebär detta lagförslag att all information om hbt-frågor riskerar att bli olaglig."
"Uganda: the Bahati Bill and discrimination against the LGBT population", "Uganda: Bahati-lagen och diskriminering av hbt-personer"
"As Vice-President of the Intergroup on LGBT rights at the European Parliament, I am delighted at that.", "Det gläder mig som vice ordförande i Europaparlamentets tvärgrupp för HBT-personers -rättigheter."
"Paragraph 21 on the 'LGBT minority', which is as controversial as it is useless, was introduced in plenary.", "Punkt 21 om HBT-minoriteter, som är lika kontroversiell som meningslös, infördes i kammaren."
"We must condemn LGBT discrimination across the world, including in Europe and even in this House.", "Vi måste fördöma diskrimineringen av hbt-personer i hela världen, även i Europa, och t.o.m. i Europaparlamentet."
"There is therefore no reason to suspect that Croatia is a nation hostile to the LGBT minority.", "Därför finns det ingen anledning att misstänka att Kroatien är en nation som är fientligt inställd till HBT-minoriteter."
"I should also like to express congratulations on the adoption by the Council in 2009 of the LGBT toolkit.", "Jag gläder mig också åt att rådet under 2009 antagit ett dokument om verktygslådan för HBT-personers rättigheter."
"The protection of LGBT people is fundamental to the European Union, and Hungary cannot disregard that.", "Inom Europeiska unionen är skyddet för hbt-människor en grundläggande rättighet, och Ungern kan inte bortse ifrån det."
"We have had a long fight across Europe for LGBT rights, and we cannot allow Hungary to take this retrograde step.", "Vi har kämpat länge runtom i hela EU för hbt-rättigheter, och vi kan inte låta Ungern få ta detta steg tillbaka."
"The death penalty could be used, while association and expression of LGBT issues would be effectively banned.", "Dödsstraffet skulle kunna tillämpas, samtidigt som samband med och uttryck för hbt-frågor fullständigt skulle förbjudas."
"This is, basically, the LGBT population.", "Det är HBT-gruppen (homo-, bi- och transsexuella)."
"I hope that, if there is no amnesty for people being prosecuted for LGBT offences, we would withdraw all aid.", "Jag hoppas att vi, om det inte finns någon amnesti för människor som åtalas för hbt-brott, kommer att dra tillbaka allt stöd."
"I can assure Members that the matter of discrimination against LGBT people is on the Swedish Presidency's agenda.", "Jag kan försäkra ledamöterna att frågan om diskriminering av hbt-personer finns på det svenska ordförandeskapets dagordning."
"The new bill will increase the climate of fear and hostility in a country where persecution of LGBT people is already under way.", "Den nya lagen kommer att öka rädslan och fientligheten i ett land där förföljelse av hbt-personer redan pågår."
"It was with great concern that I learnt about the death of human and LGBT rights activist David Kato Kisule in Uganda.", "skriftlig. - (RO) Med stor oro tog jag emot beskedet om att människorätts- och hbt-aktivisten David Kato Kisule i Uganda var död."
"It is very sad that the current Presidency of the European Union, the Hungarians, have decided to ban an LGBT pride march this June.", "Det är mycket sorgligt att EU:s nuvarande ordförandeskap, Ungern, har beslutat att förbjuda en Prideparad i juni detta år."
"David Kato was a courageous human rights defender and fearless LGTB rights activist.", "David Kato var en modig människorättsförsvarare och en orädd förkämpe för hbt-personers rättigheter."
"As a leading voice on LGTB rights, his life was under threat.", "Som en ledande röst för hbt-personers rättigheter var hans liv i fara."
"The EU position on LGTB rights is very clear.", "EU:s ståndpunkt när det gäller hbt-rättigheter är mycket tydlig."
"Furthermore, I appeal once again to the Turkish Government to ensure freedom of association and put an end to the systematic attempts to close down LGTB organisations.", "Jag vädjar också än en gång till Turkiets regering att säkra föreningsfriheten och sätta stopp för de systematiska försöken att stänga hbt-organisationer."
"The EU delegation will shortly meet with a protection organisation for human rights defenders to discuss ways of supporting their work for LGTB activists.", "EU-delegationen kommer inom kort att sammanträda med en skyddsorganisation för människorättsförsvarare för att diskutera olika sätt att stödja deras arbete för hbt-aktivister."
"I am responsible on the LIBE committee for the long-term budget for the drugs programme.", "Jag är i LIBE-utskottet ansvarig för långtidsbudgeten för drogprogrammet."
"I voted for the LIBE committee's position, but against the overall resolution.", "Detta har forcerats fram av det brittiska rådsordförandeskapet."
"This meant that there was some purpose to our work in the LIBE Committee.", "Följaktligen är nu de åtgärder som utformas för att bekämpa denna 2000-talets plåga särskilt viktiga."
"As we are already working on this matter in the JURI and LIBE Committees, there was no need for such a resolution.", "Eftersom vi redan arbetar med denna fråga i JURI- och LIBE-utskotten behövs denna resolution inte."
"Notably the Council declined to participate in the hearing jointly held by the ECON and LIBE committees.", "I synnerhet rådet har utmärkt sig härvidlag genom att avstå från att delta i ECON:s och LIBE:s gemensamma utfrågning."
"We therefore voted against the proposal, as we did in the LIBE Committee.", "Således röstade vi emot förslaget, såsom vi gjorde i utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor."
"The LIBE hearing considered the following:", "Vid utskottet LIBE:s hearing behandlades följande:"
"The strong consensus obtained in the LIBE Committee was crucial and should be reiterated here and now.", "Den stora enighet som uppnåddes i utskottet för medborgerliga fri- och rättigheter var avgörande och bör upprepas här i dag."
"The LIBE Committee took a very constructive and practical approach in its work.", "Utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor antog en väldigt konsekvent och praktisk strategi i sitt arbete."
"This meant that there was some purpose to our work in the LIBE Committee.", "Detta innebar att det fanns en riktning för vårt arbete i utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor."
"My thanks go to Parliament, Mr Fava and the LIBE Committee.", "Jag vill tacka parlamentet, Giovanni Fava och utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor."
"I voted for the LIBE committee's position, but against the overall resolution.", ". – Jag röstade för ståndpunkten från utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor men mot resolutionen som helhet."
"Mr President, next week a LIBE Committee delegation will visit Algeria.", "(EN) Herr talman! Nästa vecka kommer en delegation från utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor att besöka Algeriet."
"Once again, the LIBE Committee proposes the increase of the budget lines thought to be politically more important.", "Återigen föreslår utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor att en ökning av medlen till budgetposterna är politiskt viktigare."
". - (IT) I wish to compliment my LIBE Committee colleagues on the compromise struck with the Council.", "skriftlig. - (IT) Jag vill gratulera mina kolleger i utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor till den kompromiss med rådet man nått fram till."
"Currently, we are working with the target date of Christmas 2003, the date that I set when I last spoke to the LIBE Committee.", "Vi arbetar för närvarande med måldatumet julen 2003, det datum jag fastställde när jag senast talade med utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor."
"I would like to give specific thanks to the rapporteur, Baroness Ludford, and the whole LIBE Committee for their excellent work on this file.", "Jag vill särskilt tacka föredraganden Sarah Ludford och hela utskottet för medborgerliga fri- och rättigheter samt rättsliga och inrikes frågor för deras utmärkta arbete med detta ärende."
". - In line with our position during the vote in the LIBE Committee (the lead committee), we in the Verts/ALE Group decided to vote against this proposal.", "skriftlig. - (EN) I linje med vår ståndpunkt vid omröstningen i LIBE-utskottet (det ansvariga utskottet) beslutade vi i Verts/ALE-gruppen att rösta emot det här förslaget."
"In June the Director-General of DG JLS told the LIBE committee that a 'no-fly ' list is simply a list of people the US has decided it does not want entering its territory.", "När det gäller detta kriterium håller kommissionen på att försöka klargöra det tillsammans med de amerikanska myndigheterna, för att förhindra att personer tas upp på listan av misstag i framtiden."
