//Sentences
"Cathrine Reineholm - Master in public health and a bachelor in social science.", "Cathrine Reineholm - Magister i folkhälsovetenskap samt kandidatexamen i pedagogik."
"MEVA Energy welcome the university programme Bachelor programme in Energy Engineering at LTU.", "Detta gör att vi på MEVA Energy välkomnar utbildningen till Energiingenjör på LTU, denna utbildning bereder mark för oss när vi framöver skall rekrytera ny personal."
"Malin Sibelius from Falkenberg studies Bachelor programme in Professional Experience Production at Luleå universtiet and see the future of culture.", "Malin Sibelius från Falkenberg läser Upplevelseproduktion på Musikhögskolan i Piteå, vid Luleå tekniska universtiet och ser framtiden inom kulturen."
"To further spread power-engineering knowledge, Luleå University of technology started 2011 a Bachelor of Science programme (180 credits) in Electrical Power Engineering.", "För att ytterligare sprida kunskap on elkraftteknik startade Luleå tekniska universitet 2011 ett högskoleingenjörsprogram (180 hp) i elkraftteknik."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision Daniel Dackemo is aiming for a bachelor's degree and studies at a distance.", "expand_more Daniel Dackemo siktar mot en kandidatexamen och läser utbildningen på distans."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision Daniel Dackemo is aiming for a bachelor's degree and studies at a distance.", "expand_more Daniel Dackemo siktar mot en kandidatexamen och läser utbildningen på distans."
"Successfully completed a basic engineering program or a Bachelor´s degree with a minimum of 180 ECTS in the areas of natural science, engineering or technology.", "Kandidat- eller ingenjörsexamen om minst 180 hp inom naturvetenskap eller ingenjörsvetenskap."
"And in those two years, I graduated with my first degree -- a bachelor’s degree.", "Och efter två år så fick jag min första examen, en kandidatexamen."
"He said, "Listen, we’re really proud of you son, but what are you going to do with a bachelor’s degree?", "Han sade, "Hör på, vi är verkligen stolta över dig, men vad ska du göra med en kandidatexamen?"
"Bachelors degree of minimum 180 ECTS in the area of music.", "Konstnärlig kandidatexamen i musik eller motsvarande kunskaper.Generell dispens för kunskaper i svenska medges."
"Monica Johansson has a bachelor’s degree in mathematics and geography, and a PhD in mathematics education.", "Monica Johansson har en kandidatexamen i matematik och geografi och är filosofie doktor i Matematik och lärande (LTU)."
"For a Bachelor’s degree, students must carry out a degree project equivalent to fifteen study credits in their main subject.", "För att ta kandidatexamen krävs att studenterna gör ett examensarbete omfattande 15 poäng i sitt huvudämne."
"Successfully completed a basic engineering program or a Bachelor´s degree with a minimum of 180 ECTS in the areas of natural science, engineering or technology.", "Kandidat- eller ingenjörsexamen om minst 180 hp inom naturvetenskap eller ingenjörsvetenskap."
"Bachelors degree of minimum 180 ECTS with at least 60 ECTS in the area of civil engineering or architecture and 22,5 ECTS in Mathematics at university level is required.", "Akademisk examen om minst 180 hp med inriktning väg- och vattenbyggnad eller arkitektur, samt minst 22,5 hp i matematik."
"Bachelors degree of minimum 180 ECTS with at least 60 ECTS in the area of mechanical engineering, material science, physics or chemistry.", "Akademisk examen om minst 180 hp i vilket ingår kurser om minst 60 hp i något av följande huvudområden: Maskinteknik, Materialvetenskap, Fysik eller Kemi, samt minst 22,5 hp i matematik."
"Bachelors degree of minimum 180 ECTS with at least 60 ECTS in the area of mining technology, constructions technology or nature resource technology.", "Akademisk examen om minst 180 hp i vilken ingår kurser om minst 60 hp i något av de följande ämnena: gruvteknik, anläggningsteknik, naturresursteknik, samt minst 22,5 hp i matematik."
"Bachelors degree of minimum 180 ECTS with at least 60 ECTS in the area of chemistry, chemistry engineering, rock- and mineral technology, material engineering or metallurgy.", "Akademisk examen om minst 180 högskolepoäng i vilken ingår kurser om minst 60 hp i något av följande ämnen: kemi, kemiteknik, berg- och mineralteknik, materialteknik eller metallurgi."
"(SV) Mr President, Commissioner, let me especially welcome Mrs Bachelot-Narquin.", "Herr talman! Fru kommissionsledamot och speciellt välkommen till fru Bachelot."
"I do not wish to go back over what Mrs Bachelot-Narquin ably summarised.", "Jag vill inte upprepa det som Roselyne Bachelot-Narquin redan har sammanfattat."
"I want to thank Roselyne Bachelot-Narquin for her excellent levels of cooperation.", "Jag vill tacka Roselyne Bachelot-Narquin för hennes utmärkta samarbete."
"(EL) Mr President, first let me congratulate rapporteur Mrs Bachelot-Narquin on her work.", "(EL) Herr talman! Först vill jag gratulera föredraganden Roselyne Bachelot-Narquin till hennes arbete."
"Indeed, my colleague Mrs Bachelot-Narquin has been very active in this regard and I thank her for that.", "Min kollega Roselyne Bachelot-Narquin har varit mycket aktiv i detta hänseende, och det tackar jag henne för."
"Mrs Bachelot-Narquin, you mention a right to diversity, and I once again reply that we are already working on it.", "Fru Bachelot-Narquin! Ni nämnde rätten till mångfald och jag svarar återigen att vi redan arbetar med detta."
"Mrs Bachelot believed she could say – and this is a widespread opinion – that I had spoken in the heart of the university.", "Roselyne Bachelot trodde att hon kunde säga – och det är en vida spridd uppfattning – att jag hade talat i hjärtat av universitetet."
"Mrs Bachelot believed she could say – and this is a widespread opinion – that I had spoken in the heart of the university.", "Roselyne Bachelot trodde att hon kunde säga – och det är en vida spridd uppfattning – att jag hade talat i hjärtat av universitetet."
"Mrs Bachelot-Narquin, to quote Jean Giraudoux, 'No poet has ever interpreted nature as freely as a lawyer interprets the truth.'", "(FR) Fru Bachelot-Narquin! För att citera Jean Giraudoux: ”Ingen poet har någonsin tolkat naturen så fritt som en advokat tolkar sanningen.”"
"- (LT) Mr President, ladies and gentlemen, I would first like to congratulate Mrs Bachelot for preparing this complex report.", "- (LT) Herr talman, mina damer och herrar! Jag vill först gratulera Roselyne Bachelot-Narquin för att hon har framställt detta komplexa betänkande."
"Once again, I should like to thank you and in particular Mrs Bachelot for your efforts in getting this fund off the ground at the beginning of 2007.", "Jag vill än en gång tack er och särskilt Roselyne Bachelot-Narquin för ert arbete för att få igång denna fond i början av 2007."
"I voted in favour of Mrs Bachelot-Narquin's report because it provides an initial response to the legitimate worries of European workers.", "Jag röstade för Roselyne Bachelot-Narquins betänkande eftersom det innebär ett första gensvar på de europeiska arbetstagarnas berättigade oro."
"I should also like to pay tribute to the work of Mrs Descamps and of Mrs Bachelot, who are both members of the French delegation.", "Jag skulle också vilja ge mitt erkännande till det arbete som Marie-Hélène Descamps och Roselyne Bachelot-Narquin, båda ledamöter av den franska delegationen, har utfört."
"I take this opportunity to thank Mrs Bachelot-Narquin for the support and the chance she gave me to discuss this issue at length with the ministers.", "Jag vill ta tillfället i akt att tacka Roselyne Bachelot-Narquin för hennes stöd och möjligheten hon gav mig att ingående diskutera frågan med ministrarna."
"I would extend warm thanks to Mrs Bachelot, as well as the Committee on Budgets and my own Committee on Employment and Social Affairs for this.", "Jag vill uttrycka mitt varma tack till Roselyne Bachelot-Narquin, samt till budgetutskottet och mitt eget utskott för sysselsättning och sociala frågor för detta."
"As Mrs Bachelot said on behalf of her group, I would say, on behalf of my group, that there is a good chance, a very good chance, that we will support you.", "Som Roselyne Bachelot sa, på sin grupps vägnar, skulle jag på min grupps vägnar vilja säga att det finns en god chans, en mycket god chans, att vi stöder er."
". - (FR) I am hesitating over a term with which to describe Mrs Bachelot-Narquin's report on the European Globalisation Adjustment Fund.", "skriftlig. - (FR) Jag funderar över vilket ord som bäst beskriver Roselyne Bachelot-Narquins betänkande om Europeiska fonden för justering för globaliseringseffekter."
"As Mrs Bachelot said on behalf of her group, I would say, on behalf of my group, that there is a good chance, a very good chance, that we will support you.", "Som Roselyne Bachelot sa, på sin grupps vägnar, skulle jag på min grupps vägnar vilja säga att det finns en god chans, en mycket god chans, att vi stöder er."
"Our fellow Member Mrs Bachelot, with whom I worked on this fund along with Mr Cottigny, persuaded us to take some extremely important decisions.", "Vår kollega Roselyn Bachelot, som jag arbetade tillsammans med när det gäller den här fonden, liksom Jean Louis Cottigny, övertygade oss om att fatta vissa oerhört viktiga beslut."
"We have managed to improve the original proposal, thanks to Roselyn Bachelot, so that, in its present form, it is already acceptable, even if it is of mainly symbolic significance.", "Vi har lyckats förbättra det ursprungliga förslaget, tack vare Roselyne Bachelot-Narquin, så att det i sin nuvarande form redan kan godtas, trots att det främst har en symbolisk betydelse."
"Back in April, I promised you a report on the financing of transport security.", "I april lovade jag er en rapport om hur transportsäkerheten skulle finansieras."
"The customers and I come back to that word increasingly want that 'one-stop shop'.", "Kunderna, – ett ord jag återkommer till, – vill allt oftare göra en engångsaffär."
"Mr Whitehead then asked if I would come back again when I have more information.", "Whitehead frågade sedan om jag skulle återkomma när jag hade mer information."
"So back in 1982 I said, "Well perhaps the elephant had an aquatic ancestor."", "Så 1982 sa jag, "Kanske hade elefanten en förfader som levde i en vattenmiljö.""
"You back this mission and I'll sign over a fair percentage of any application --", "Stöder du idén, så skriver jag över en rimlig del av alla vinsten... 75 %."
"First of all, however, and before looking back, I wish to take a look into the future.", "Först vill jag dock kasta en blick in i framtiden innan jag gör en tillbakablick."
"If, after I come back, this marshmallow is here, you will get another one.", "Om denna marshmallow är kvar när jag kommer tillbaks, kommer du att få en till."
"Mr President, with regard to safety standards, I refer back to what I just said.", "(ES) Herr talman! När det gäller säkerhetsnormerna hänvisar jag till det jag just sade."
"This does not mean that I take back what I have said on the subject in past years.", "Detta betyder inte att jag tar tillbaka det jag har sagt i frågan under de gångna åren."
"But I go back to the effect of these costs, if they have to rise in peripheral areas.", "Men jag återgår till effekterna av dessa kostnader, om de måste stiga i randområden."
"I will not go back over hedge funds; I have already said that they need to be regulated.", "Jag ska inte tala om hedgefonderna igen. Jag har redan sagt att de måste regleras."
"Back in 1989, I wore a badge bearing the Chinese words for freedom and democracy.", "När det begav sig 1989 bar jag ett märke med de kinesiska orden för frihet och demokrati."
"I think we all deserve a pat on the back, and I wish you a merry Christmas.", "Jag anser att vi alla förtjänar en klapp på axeln och önskar er en god jul."
"I am quite glad that Mrs Mann has come back as I felt quite alone when she went away.", "Jag är glad över att Mann har dykt upp igen. Jag kände mig så ensam när hon försvann."
"You're not gonna remember a damn thing in school if you suck 'em back like I do.", "Du kommer inte komma ihåg ett skit, om du suger i dig som som jag gör."
"I would like to come back, too, but I do not know whether or not that will happen.", "Jag skulle också vilja komma tillbaka, men jag vet inte om det blir så."
"Mr President, may I come back to your statement in reply to my previous question.", "Herr ordförande! Låt mig få kommentera ert svar på min tidigare fråga."
"I'm not going to have anything nice to say about this place when I get back.", "Jag kommer inte att ha något bra att säga - om det här stället när jag kommer tillbaks."
"Mr President, I apologise for coming back to the issue I raised before.", "Herr talman! Ursäkta att jag än en gång återkommer till mitt tidigare inlägg."
"Despite everything already being signed and sealed he came back and said: I cannot.", "Trots att allt redan var undertecknat och förseglat kom han tillbaka och sa: jag kan inte."
