//Sentences
"We have just obtained the same recognition for the DCI.", "Vi har just uppnått samma erkännande för instrumentet för utvecklingssamarbete."
"DCI has formalised structures, recognising the important function that Parliament should play in its role as overseer and adviser.", "Med DCI har vi formaliserat strukturer i vilka den betydelsefulla funktion som parlamentet bör fylla i sin roll som övervakare och rådgivare erkänns."
"It assesses the financing instrument for development cooperation (DCI), but I note the importance of the mechanism that should succeed it this year.", "Jag röstar ja till det här betänkandet, där finansieringsinstrumentet för utvecklingssamarbete utvärderas."
"It is time to assess how the financing instrument for development cooperation (DCI) has been used, now that it has been in place for four years.", "Det är nu dags att utvärdera hur finansieringsinstrumentet för utvecklingssamarbete har utnyttjats, nu när det har varit på plats i fyra år."
"On these kinds of activities, we agree with you on the need to have legislation to cover measures which promote EU concerns in DCI countries.", "När det gäller denna typ av verksamhet håller vi med om att det behövs en lagstiftning som omfattar åtgärder som främjar EU-frågor i DCI-länder."
"We also feel that there is little or no information on the extent to which the DCI financed these strategy papers.", "Vi anser också att det finns lite eller ingen information alls om i vilken omfattning instrumentet för utvecklingssamarbete användes för att finansiera dessa strategidokument."
"Various alternatives to DCM-based strippers are already available on the market.", "Olika alternativ till DCM-baserade färgborttagningsmedel finns redan på marknaden."
"This agreement will not, I am sad to say, mean a total ban on the professional use of DCM.", "Denna överenskommelse innebär tyvärr inget totalförbud för professionell användning av DCM."
"The other 95% of the volume of DCM used is used within industry.", "De övriga 95 procent av volymen DCM som används, används inom industrin."
"Some Member States, such as Sweden, Denmark and Austria, have already introduced a ban on DCM.", "Vissa länder har redan infört ett förbud mot DCM, till exempel Sverige, Danmark och Österrike."
"We know that 90% of paint strippers use DCM, so we had to look at the balance of this.", "Vi vet att 90 procent av de som tar bort färg använder diklormetan, så vi behövde titta på balansen här."
"It is a great thing that the issue of DCM is now on the agenda.", "Det är utmärkt att frågan om DCM nu kommer upp på dagordningen."
"What we are discussing is dichloromethane (DCM), a paint stripper.", "Vi talar alltså om diklormetan, ett färgborttagningsmedel."
"DCM is one of these substances and must be taken out of circulation.", "DCM är ett av dessa ämnen och det måste tas ur omlopp."
"If this is done, DCM will phase itself out sufficiently quickly.", "Då kommer DCM att fasa ut sig självt tillräckligt snabbt."
"DCM is used in the manufacture of pharmaceuticals and as a paint stripper and degreaser, amongst other uses.", "DCM används bland annat för att producera läkemedel och som borttagare av färg och klistermärken."
"It is even better that this agreement will mean a total ban on DCM when it comes to ordinary consumers.", "Det är ännu bättre att denna överenskommelse innebär ett totalförbud mot DCM bland vanliga konsumenter."
"According to the Commission, between 1989 and 2007, 18 deaths caused by the use of DCM were recorded in the EU.", "Enligt kommissionen har 18 dödsfall till följd av användning av DCM registrerats i EU mellan 1989 och 2007."
"Withdrawing DCM from general circulation therefore seems to be the most sensible and responsible solution.", "Att se till att DCM inte längre har en allmän spridning vore därför den vettigaste och mest ansvarsfulla lösningen."
"DCM is a noxious chemical in that it is carcinogenic, has a narcotic effect and has harmful effects on health.", "Det är en lurig kemikalie på så sätt att den är cancerframkallande, den har narkotisk effekt, den är hälsoskadlig."
"It deals with dichloromethane (DCM), which is a colourless chemical compound with a sweet, pleasant and penetrating smell, similar to ether.", "Den gäller diklormetan (DCM), som är en färglös kemisk förening med en stickande eterliknande eller mild, sötaktig lukt."
"One of these substances is dichloromethane (DCM), which is generally used for manufacturing pharmaceuticals, solvents and other products.", "Ett av dessa ämnen är diklormetan (DCM) som vanligen används vid framställning av läkemedel, lösningsmedel och andra produkter."
"We prohibited DCM, dichloromethane, for example - a matter that I was responsible for - precisely because it affects the health of workers.", "Vi har förbjudit till exempel DCM (diklormetan) - ett ärende som jag var ansvarig för - just för att det påverkade arbetares hälsa."
"I agree fundamentally with the objective of the proposal: to reduce the risks of the use of dichloromethane (DCM) by the general public and by professionals.", "Jag är i grund och botten ense med förslagets syfte, att minska riskerna med diklormetan (DCM) för allmänheten och arbetstagare."
"By the time you smell DCM, you have already exceeded the safety limit by a factor of three, which makes it extremely difficult to protect yourself against.", "När man känner doften av den har man nämligen redan överskridit gränsvärdet trefaldigt. Därför är det extremt svårt att skydda sig."
"A further argument in favour of banning DCM should be the fact that, as experts have pointed out, we cannot ensure that consumers will use DCM safely.", "Ytterligare ett argument för ett förbud mot DCM är det faktum, liksom experter har betonat, att vi inte kan garantera att DCM används på ett säkert sätt."
"The first sublevel will be titled DT2 for the title and DD2 for the text.", "Rubriken på första undernivån får formatet DT2 och texten får formatet DD2."
"The first level will be titled DT1; the corresponding glossary text will be titled DD1.", "Första nivån definieras som första ordlistetemat med DT1 och tillhörande text definieras med DD1."
"Say you have a date field, which is saved in " DD.MM.YY " format in the database (e.g.", "Anta att Du har ett datumfält som har sparats med formatet " DD.MM.ÅÅ " (t ex 17.02.65) i databasen."
"DT1 is left justified, DD1 is indented once, DT2 is indented like DD1, etc.", "Indragen görs så att DT1 står längst till vänster, DD1 dras in ett steg, DT2 dras in till samma nivå som DD1 osv."
"The third level will be formatted using DT3 and DD3.", "Tredje nivån får på motsvarande sätt formatet DT3 och DD3."
"British Vehicle Rental and Leasing Association River Lodge River Lodge Badminton Court - Amersham UK - Bucks HP7 0DD Tel.: +44 1494 434747 E-mail: info[at]bvrla.co.uk", "British Vehicle Rental and Leasing Association River Lodge River Lodge Badminton Court - Amersham UK - Bucks HP7 0DD Tel.: +44 1494 434747 E-mail: info[at]bvrla.co.uk"
".: +49 351 47385-0 E-Mail: dd[at]kba.de", "Office address (Office Dresden) Kraftfahrt-Bundesamt Federal Motor Transport Authority Office Dresden Bernhardstraße 62 D - 01187 Dresden Tel.: +49 351 47385-0 E-Mail: dd[at]kba.de"
"The report recognises the central importance of the Doha Development Agenda (DDA).", "I betänkandet erkänns den centrala betydelsen av utvecklingsagendan från Doha."
"We are doing that and we will keep doing that in the DDA negotiations.", "Vi gör det och vi kommer att fortsätta att göra det under Dohaförhandlingarna."
"I wish you: Nadolig Llawen a Blwyddyn Newydd Dda - a Happy Christmas and a Happy New Year.", "Jag önskar er Nadolig Llawen a Blwyddyn Newydd Dda - en God jul och ett Gott Nytt År."
"Since I took office, I have made every effort to advance the DDA and to keep it on track.", "Förra veckan hölls flera informella WTO-handelsministermöten i Paris."
"However, it will take more than that to get the DDA back on track.", "Det kommer emellertid att krävas mer än så för att utvecklingsagendan från Doha ska återupptas."
"Here, we attach great importance to successful completion of the Doha Development Agenda (DDA).", "Här är en av våra prioriteringar ett framgångsrikt slutförande av utvecklingsagendan från Doha."
"However, it was enough to avoid failure and to prevent the DDA train from derailing.", "Det var emellertid tillräckligt för att undvika ett misslyckande och för att förhindra att DDA-förhandlingarna spårade ur."
"Failure of the DDA would have severe consequences, not least for the developing countries.", "Ett misslyckande för utvecklingsagendan från Doha skulle få allvarliga konsekvenser, inte minst för utvecklingsländerna."
"Since I took office, I have made every effort to advance the DDA and to keep it on track.", "Sedan jag tillträdde min tjänst har jag gjort allt för att föra utvecklingsagendan från Doha framåt och hålla den på rätt spår."
"Within the DDA, the EU is keen to see countries contributing according to their capacities and levels of development.", "Inom utvecklingsagendan från Doha vill EU gärna se att länder bidrar efter sin kapacitet och utvecklingsnivå."
"If there is no agreement on modalities in the autumn, an early conclusion of the DDA becomes very unlikely.", "Om vi inte har ett avtal om bestämmelserna till hösten är det mycket osannolikt att det blir en tidig avslutning av Dohaagendan."
"The warning bell is ringing on the DDA.", "Varningsklockan ringer för Dohaagendan."
"We must put our eggs in the DDA basket first and foremost, and anything else should be seen as a digression from that.", "Vi måste först och främst koncentrera oss på utvecklingsagendan från Doha, och allt annat bör ses som en avvikelse från det."
"This is not, however, an alternative to the DDA: it is an extension of a successfully concluded end to this round.", "Detta är dock inte ett alternativ till utvecklingsagendan från Doha: det är resultatet av ett framgångsrikt avslutande av denna runda."
"Some will ask how it is that suspension of the DDA will affect our broader trade policy stance.", "Vissa kommer att fråga sig hur det kommer sig att uppskjutande av utvecklingsagendan från Doha kommer att påverka vår allmänna ståndpunkt i handelspolitiken."
"India and the Union will continue to collaborate closely on mutual interests and to play leading roles regarding the DDA.", "Indien och EU kommer att fortsätta att samarbeta om ömsesidiga intressen och spela ledande roller när det gäller utvecklingsagendan från Doha."
"I have no crystal ball to see where the multilateral talks in the DDA will go from where we left them in July.", "Jag har ingen kristallkula där jag kan se hur det kommer att gå med de multilaterala samtalen i utvecklingsagendan från Doha, sedan vi lämnade dem i juli."
"The successful outcome of the DDA multilateral trade negotiations remains their foremost trade-policy priority.", "Ett lyckat resultat av de multilaterala förhandlingarna inom ramen för utvecklingsagendan från Doha är fortfarande deras främsta prioritet inom handelspolitiken."
"Your report welcomes the announcement of a signalling conference on services as part of the DDA ministerial negotiations.", "I ert betänkande välkomnas tillkännagivandet av en konferens om tjänster som en del av utvecklingsagendan från Doharundans förhandlingar på ministernivå."
"Can the Commission provide an assessment of the current situation and of the likelihood of the DDA negotiations resuming at a later stage?", "Hur bedömer kommissionen den nuvarande situationen och sannolikheten för att förhandlingarna i Doharundan kommer att återupptas i ett senare skede?"
"A DDE link is inserted as a matrix formula and can only be modified as a whole.", "En DDE-länk infogas som matrisformel och kan således bara ändras som helhet."
"Decline the update if you do not want to establish a connection to the DDE server.", "Du kan svara Nej på detta om Du inte vill att DDE-servern ska anropas."
"With DDE, objects are linked via file reference, but not embedded.", "Vid DDE infogas ett objekt i en fil enbart som referens och blir inte " inbäddat "."
"If the link extends to other documents, a DDE link is automatically created.", "Om länkningen går utanför dokument skapas automatiskt en DDE-länk."
"In this field you can change the application if the DDE link refers to another application.", "I det här fältet kan Du växla program, om DDE-länken hänför sig till ett annat program."
"If the check box Link is marked, you can also create a link via DDE.", "Om du har aktiverat rutan Länka, kan du också skapa en länk via DDE."
"In this dialog you can view and modify the current parameters for the selected DDE link.", "I den här dialogrutan visas de aktuella parametrarna för den markerade DDE-länken och du kan ändra dem."
"When loading files that contain DDE links, you will be asked whether or not you want to update the links.", "Vid laddningen av filer som innehåller DDE-länkar får Du en fråga om länken ska uppdateras."
"These changes (with the exception if a DDE link) are made in a standard File Selection dialog.", "Sökvägen respektive filen ändras med en standarddialog för val av filer (med undantag för DDE-länkar)."
"For an existing DDE link return to the Modify Link dialog.", "Vid en befintlig DDE-länk kommer Du till dialogrutan Ändra länk."
"Mr President, Mr Castagn&#x010D;de is right, the reserves are not only necessary for settling international payments.", "Herr ordförande! Castagnède har rätt, reserverna är inte bara nödvändiga för att reglera internationella betalningar."
"Returns the result of a DDE-based link.", "Returnerar resultatet för en DDE-operator."
"Mode is an optional parameter that controls the method by which the DDE server converts its data into numbers.", "Läge är en valfri parameter som styr hur data omvandlas till tal av DDE-servern. (Denna parameter är ny."
"Insert a DDE link, which you can insert and update in the document as often as desired via the field code you determined.", "Infogar en DDE -länk som Du kan infoga i dokumentet och uppdatera så ofta Du vill via det fältnamn som Du har definierat."
"Additionally, you can create a link for a section to another file or a named section in the other file, or via DDE.", "Vidare kan du skapa en länk för ett område till en annan fil eller ett namngivet område i den andra filen eller skapa den via DDE."
"Under Windows you can also use the DDE method to keep inserted sections up to date with the current status of the original files.", "Under Windows kan du även använda DDE-mekanismen för att ständigt uppdatera infogade områden så att de har samma status som ursprungsfilerna."
"ADDRESS, AREAS, DDE, ERRORTYPE, INDEX, INDIRECT, COLUMN, COLUMNS, VLOOKUP, SHEET, SHEETS, MATCH, OFFSET, LOOKUP, STYLE, CHOOSE, HLOOKUP, ROW, and ROWS.", "ADRESS, OMRÅDEN, DDE, FELTYP, INDEX, INDIREKT, KOLUMN, KOLUMNER, LETARAD, TABELL, TABELLER, PASSA;, FÖRSKJUTA, LETAUPP, FORMATMALL, VÄLJ, LETAKOLUMN, RAD och RADER."
"more_vert open_in_new Link to European Parliament warning Request revision Let me give you an example: it was rather ridiculous that the German Federal Land of Bavaria, following the fall of the Iron Curtain, did not want to recognize the DDR Abitur.", "Östtyskland."
"Europe should make a financial contribution to implement the DDR Programme.", "Europa måste ekonomiskt bidra till DDR-programmets genomförande."
"Being of DDR origin, the developments in eastern Germany are of course particularly hard for me to bear.", "Utvecklingen i det östra Tyskland känns för mig, som kommer från DDR, givetvis särskilt bitter."
"In which DDR operations has it been involved, in which regions, in cooperation with which international partners, and what was the financial cost thereof?", "Jag undrar om kommissionen skulle vara berett att lämna följande uppgifter:"
"How is the issue of DDR incorporated into the EU strategy to combat the illicit accumulation and trafficking of SALW and ammunition for such weapons?", "Jag undrar om rådet skulle vara berett att lämna följande uppgifter:"
"How does the Council cooperate with the Member States and with the Commission in order to ensure maximum efficiency in the field of DDR?", "Hur är frågan om nedrustnings- avmobiliserings- och återintegreringsprogram integrerad i EU:s strategi för bekämpning av olaglig hantering av handeldvapen, lätta vapen och ammunition?"
"The new Member States will be plagued by the problems of the former DDR on the one hand, and of Mexico, which serves as the US's poor backyard, on the other.", "De nya medlemsstaterna kommer å ena sidan att drabbas av de problem som fanns i det forna DDR, och å andra sidan av de problem som finns i Mexiko som är Förenta staternas fattiga bakgård."
"The new Member States will be plagued by the problems of the former DDR on the one hand, and of Mexico, which serves as the US' s poor backyard, on the other.", "De nya medlemsstaterna kommer å ena sidan att drabbas av de problem som fanns i det forna DDR, och å andra sidan av de problem som finns i Mexiko som är Förenta staternas fattiga bakgård."
"To what extent are DDR programmes developed and managed as an integrated component of EU ESDP missions, e.g. in DRC, Bosnia/Herzegovina, Sudan and Aceh?", "I vilken utsträckning har nedrustnings-, avmobiliserings- och återintegreringsprogrammen utvecklats och förvaltats som en integrerad delav EU:s försvars- och säkerhetspolitiska uppdrag i t.ex.."
"I would have liked to see the same outrage in Europe when the socialists were prepared to make common cause with the successors to the misanthropic and persecutory regime in the DDR.", "Jag skulle ha önskat mig samma häftiga europeiska protest när socialisterna såg sig redo att göra gemensam sak med efterföljarna till den människoföraktande och människoförföljande regimen i DDR."
"more_vert open_in_new Link to statmt.org warning Request revision It will be an environmental disaster, with PCBs, DDT and chemical pesticides on the seabed.", "expand_more Det kommer att bli en miljökatastrof med PCB, DDT och kemiska stridsmedel på botten."
"more_vert open_in_new Link to statmt.org warning Request revision Det kommer att bli en miljökatastrof med PCB, DDT och kemiska stridsmedel på botten.", "expand_more It will be an environmental disaster, with PCBs, DDT and chemical pesticides on the seabed."
"Each time we have come up against a serious problem, for example PCBs, DDT or CFCs – we have been taken completely by surprise.", "Den kompromiss som nåtts i elfte timmen när det gäller registreringen är inte perfekt."
"However, the first conference must find ways to help limit the reliance on DDT, such as by promoting research into alternative means and providing technical and financial support.", "Eftersom de är resistenta förs POP vidare från generation till generation och förorenar den mat vi äter, den luft vi andas och det vatten vi dricker."
"more_vert open_in_new Link to statmt.org warning Request revision Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande.", "expand_more The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning."
"Säkerhetsbiblioteket har påträffat ett felaktigt formateratDER-kodat meddelande.", "The security library has encountered an improperly formattedDER-encoded message."
"O sonho europeo, den europeiska drömmen, der Europäische Traum!", "(DE) Mr President, o sonho europeo, the European dream, der Europäische Traum!"
"Jag tar också upp punkten om vad vi försöker göra när der gäller att skydda jobben.", "I also take the point about what we are trying to do in terms of protection of jobs."
"Som Feuerbach sade: " der Mensch ist, was er isst ", människan är vad hon äter.", "As Feuerbach said: " der Mensch ist, was er isst ", man is what he eats."
"Fru Van der Laan! Jag förstår att ni begär fastställande av beslutförhet.", "Mrs Van der Laan, I understand that you would like the quorum to be checked."
"B5-0416 / 2002 av Van der Laan för ELDR-gruppen om de homosexuella i Egypten,", "B5-0416/ 2002, by Mr Van der Laan, on behalf of the ELDR Group, on homosexuals in Egypt;"
"Kommissionär Patten sade det mycket tydligt och även Van der Laan slog fast detta.", "Commissioner Patten has made this very clear, as has Mrs van der Laan."
"B5-0416/2002 av Van der Laan för ELDR-gruppen om de homosexuella i Egypten,", "B5-0416/2002, by Mr Van der Laan, on behalf of the ELDR Group, on homosexuals in Egypt;"
"Låt mig upprepa två av mina företrädares filosofi: von der Vrings och Samlands.", "Let me reiterate the philosophy of two of my predecessors: Mr von der Vring and Mr Samland."
"Van der Laan talade om det förslag som presidiet lagt fram till talmanskonferensen.", "Mrs Van der Laan spoke about the proposal made by the Bureau to the Conference of Presidents."
"Daniël van der Stoep, alla dessa kommentarer finns i protokollet så att du kan kontrollera dem.", "Mr van der Stoep, all these remarks will be in our record, so you can check them."
"Kommissionären van der Broek besökte båda delarna av Cypern helt nyligen.", "Commissioner Van den Broek visited both parts of Cyprus very recently."
"Jag skall inte upprepa det som kollegerna Van der Laan och Maij-Weggen sagt.", "I will not be repeating what my fellow MEPs, Mrs van der Laan and Mrs Maij-Weggen, have said."
"Jag vill ställa en fråga till Daniël van der Stoep.", "(NL) Mr President, I would like to put a question to Mr van der Stoep."
"Jag ville bara fråga om min kollega van der Laan är närvarande eller om jag har missat även henne?", "I just wanted to ask whether Mrs van der Laan is here or have I missed her as well?"
"B5-0300 / 2001 av Van der Laan och Dybkjær för ELDR-gruppen,", "B5-0300/ 2001 by Mrs Van der Laan and Mrs Dybkjær, on behalf of the ELDR Group,"
"Herr talman, ärade ledamöter, ärade fru Van der Laan! Kommissionen välkomnar ert betänkande.", "Mr President, ladies and gentlemen, Mrs van der Laan, the Commission welcomes your report."
"/ Larsson, Andreas ; Larsson, Tobias ; Leifer, Larry ; Van der Loos, Machiel ; Feland, John.", "/ Larsson, Andreas ; Larsson, Tobias ; Leifer, Larry ; Van der Loos, Machiel ; Feland, John."
"/ Leifer, Larry ; Larsson, Andreas ; Larsson, Tobias ; Van der Loos, Machiel ; Feland, John.", "/ Leifer, Larry ; Larsson, Andreas ; Larsson, Tobias ; Van der Loos, Machiel ; Feland, John."
"Van Der Vaals...", "I assume the maggot hole put us on Earth, during the Ice Age."
"I discovered this yesterday evening and notified DG1 of the fact this morning.", "På de utdelade ändringsförslagen 36 och 37 har jag noterats som medförslagsställare."
"She has set up a special unit at DG XII, and should be congratulated and supported.", "Hon har satt upp en speciell enhet på GD XII, och bör gratuleras och stödjas."
"Is the Commission really not prepared to review this proposal which DG IV has given?", "Är kommissionen verkligen inte beredd att ompröva det förslag som GD IV har givit?"
"Two separate directorates of the Commission were there - the then DG XXIV and DG VI.", "Två skilda kommissionsdirektorat var närvarande - dåvarande GD XXIV och GD VI."
"The same applies, incidentally, to the Health and Consumer Protection DG.", "Detsamma gäller för övrigt för Generaldirektoratet för hälsa och konsumentskydd."
"Lists of operations and amounts are published on the DG Environment website.", "Förteckningar över verksamhet och belopp publiceras på GD Miljös webbplats."
"That would imply far closer coordination between DG XXI and the activities of UCLAF.", "Det innebär ett mycket tätare samarbete mellan DG XXI och UCLAF: s arbete."
"My services, working together with DG XI, have now drawn up an improved testing document.", "Mina kontor har nu utvecklat ett förbättrat kontrollblad i samarbete med GD XI."
"I discovered this yesterday evening and notified DG1 of the fact this morning.", "Jag upptäckte detta i går kväll och meddelade GD 1 detta i förmiddags."
"But I have to say that DG V gives an enormous amount of its time to promoting the dialogue.", "Men jag måste säga att GD V lägger ner en enorm massa tid på att främja dialogen."
"Will the staff of the Development DG be represented in the new EU delegations?", "Kommer det att finnas personalrepresentanter från GD Utveckling i de nya EU-delegationerna?"
"The Commission ’ s DG Fisheries should insist that Ireland should do so.", "Kommissionens generaldirektorat för fiske bör insistera på att Irland ska göra detta."
"DG VI has been at its protectionist worst and everyone knows that is very bad indeed.", "GD VI har visat sin värsta protektionistiska sida och alla vet att detta inte bådar gott."
"I can assure him that work has been undertaken under the DG Research programme.", "Jag kan försäkra honom att arbetet har påbörjats inom generaldirektoratets forskningsprogram."
"It would require DG Environment and DG Development to work closely together.", "För detta krävs ett nära samarbete mellan GD Miljö och GD Utveckling."
"The Commission’s DG Fisheries should insist that Ireland should do so.", "Kommissionens generaldirektorat för fiske bör insistera på att Irland ska göra detta."
"This was clearly stated in a note on the subject from DG TAXUD to DG TRADE;", "Detta framgår tydligt i ett meddelande i frågan från GD Skatter och tullar till GD Handel."
"When will the social dialogue next be on the agenda, for example in DG V?", "När kommer den sociala dialogen att stå på föredragningslistan nästa gång, t.ex. i GD V?"
"I should like to thank the Austrian presidency and DG XXIV for their work on this.", "Jag vill tacka det österrikiska ordförandeskapet och GD XXIV för deras arbete med denna fråga."
"I must emphasise that the problem is particularly crucial with regard to DG VIII and ECHO.", "Och jag vill betona att problemet är särskilt kritiskt när det gäller GDVIII och ECHO."
"This was clearly stated in a note on the subject from DG TAXUD to DG TRADE;", "Detta framgår tydligt i ett meddelande i frågan från GD Skatter och tullar till GD Handel."
"Which direction will the new Commission’s DG Trade take?", "I vilken riktning kommer generaldirektoratet för handel i den nya kommissionen att gå när det gäller detta?"
"We will be monitoring the conduct of the Commission and DG Trade very closely in the coming weeks.", "Vi kommer att vara mycket uppmärksamma på hur kommissionen och generaldirektoratet för handel går tillväga under de närmaste veckorna."
"If that is the case, then how does this sit with DG Trade’s description of this as being the absolute role model?", "Om så är fallet, hur går då detta ihop med att generaldirektoratet för handel beskrivit detta som den absoluta förebilden?"
"If that is the case, then how does this sit with DG Trade’ s description of this as being the absolute role model?", "Om så är fallet, hur går då detta ihop med att generaldirektoratet för handel beskrivit detta som den absoluta förebilden?"
"DG Trade's press release announcing the EU-GATS offers says they are all about helping developing countries.", "GD Handels pressmeddelande i vilket tillkännages att EU-GATS erbjudanden handlar helt och hållet om att hjälpa utvecklingsländer."
"Unless a contributor requests anonymity, we are publishing all responses to the Green Paper on the website of DG Trade.", "Om inte en bidragsgivare begär anonymitet publicerar vi alla svar om grönboken på generaldirektoratet för handels webbplats."
"DG Trade has recently started to analyse the impact of trade defence measures on certain companies and sectors.", "Generaldirektoratet för handel har nyligen börjat analysera vilken inverkan handelsskyddsåtgärderna har på vissa företag och områden."
"First we objected to the Council's reductions from the preliminary draft budget in terms of staffing for DG Trade.", "För det första invände vi mot rådets nedskärningar i det preliminära budgetförslaget i fråga om bemanning för Generaldirektoratet för handel."
"On the question of resources, I am grateful for the additional staff that the budgetary authorities have allocated to DG Trade.", "När det gäller resurser är jag tacksam över den ytterligare personal som budgetmyndigheterna har beviljat generaldirektoratet för handel."
"First we objected to the Council's reductions from the preliminary draft budget in terms of staffing for DG Trade.", "Jag är mycket nöjd att kunna konstatera att budgetutskottet var överens med oss och genom det generella ändringsförslaget har återställt dessa nedskärningar."
"To help the DG for Enterprise and Trade carry out this task, it is important that tourism be specifically mentioned in the Treaty, as is now the case.", "För att underlätta för GD Näringsliv och GD Handel att utföra denna uppgift är det viktigt att turism särskilt omnämns i fördraget, vilket också nu är fallet."
"DG Trade has, on its own initiative, quite simply suspended some of the established principles of interinstitutional cooperation in recent months.", "Under de senaste månaderna har generaldirektoratet för handel på eget initiativ helt enkelt upphävt några av det interinstitutionella samarbetets etablerade principer."
"The criticism that I am about to make is clearly aimed at the appearance of a representative of DG Trade at a hearing of the Committee on Development.", "Den kritik jag tänker framföra syftar på ett framträdande som en företrädare för Generaldirektoratet för handel gjorde vid en utfrågning i utskottet för utveckling."
"I regret the initial lack of interest - even if it was only initial - shown by DG Trade when negotiating Economic Partnership Agreements (EPAs).", "Jag beklagar det bristande intresse som generaldirektoratet för handel visade i början, även om det bara var inledningsvis, i samband med avtalen om ekonomiskt partnerskap."
"Among the many positive signals that this report gives to DG Trade for their negotiations with Ukraine on a free trade agreement, I would like to highlight four points in particular.", "Av de många positiva signaler som det här betänkandet ger GD Handel inför förhandlingarna om ett frihandelsavtal med Ukraina vill jag särskilt framhålla fyra."
"I think we need to say that this is politically unacceptable and we hope that the Trade DG will keep in mind that Parliament will need to give its assent to any final results of the negotiations.", "Jag tycker att vi måste säga att detta är politiskt oacceptabelt och att vi hoppas att GD Handel kommer ihåg att parlamentet slutgiltigt måste godkänna slutresultatet av förhandlingarna."
