//Sentences
"Mrs Prets has suggested that the Union should sponsor radio or television programmes.", "Christa Prets har föreslagit att EU bör stödja radio- eller tv-program."
"Literacy is still unbelievably low, with only a 10% to 15% literacy rate among women.", "Läs- och skrivkunnigheten är fortfarande otroligt låg, med endast 10 till 15 procent läs- och skrivkunniga kvinnor."
"Literacy is still unbelievably low, with only a 10 % to 15 % literacy rate among women.", "Läs- och skrivkunnigheten är fortfarande otroligt låg, med endast 10 till 15 procent läs- och skrivkunniga kvinnor."
"There is a high birth rate among the Roma population as well as high rates of adult and infant mortality.", "Den romska befolkningen har höga födelsetal, men också höga siffror för vuxen- och barnadödlighet."
"The Europe 2020 Strategy aims at an employment rate of 75% among men and women aged between 20-64.", "EU 2020-strategin har en sysselsättningsgrad på 75 procent för män och kvinnor i åldern 20-64 år som mål."
"The unemployment rate among young people is, in fact, unacceptable.", "Arbetslösheten bland ungdomar är oacceptabel."
"The high mortality rate currently observed among bee families is having a negative effect on agricultural production.", "Den höga dödligheten som observerats bland bina har en negativ effekt på jordbruksproduktionen."
"We also know that the rate of HIV among male prisoners is 15 times higher than among the general population.", "Dessutom vet vi att antalet hivsmittade bland manliga interner är 15 gånger högre än bland befolkningen i övrigt."
"Secondly, the growing rate of infection among women is not simply down to their fragile nature or to bad luck.", "För det andra beror den ökande infektionsfrekvensen hos kvinnor inte enbart på att de är mer mottagliga eller har otur."
"One of the targets of the Europe 2020 strategy is to raise the employment rate among people aged 20-64 to 75%.", "Ett av målen i EU 2020-strategin är att öka sysselsättningsgraden till 75 procent bland personer i åldersgruppen 20-64 år."
"Even so, the overall employment rate among women is only 55%, whilst that of men is as high as 71%.", "Trots detta är den totala sysselsättningen bland kvinnor endast 55 procent, medan motsvarande siffra för män är så hög som 71 procent."
"The rate of unemployment amongst young people: Romania ranks second at Union level, with an unemployment rate of 21% among young people.", "Ungdomsarbetslösheten: Rumänien ligger på andra plats i gemenskapen med en ungdomsarbetslöshet på 21 procent."
"In 2009 the rate of Internet access among households was 38% in Romania, the second lowest in Europe after Bulgaria.", "År 2009 var andelen hushåll som hade tillgång till Internet 38 procent i Rumänien, den näst lägsta siffran i Europa efter Bulgarien."
"The rate of employment among women is low because of child rearing, so that women's pensions are lower than those of men.", "Sysselsättningsgraden bland kvinnor är lägre på grund av barnuppfostran, och därför är kvinnors pensioner också lägre än männens."
"At the same time, a very serious problem is the unemployment rate among young people, which is higher than in any other age group.", "Samtidigt är den höga arbetslösheten bland ungdomar ett allvarligt problem, och den är högre än i någon annan åldersgrupp."
"Mr President, Commissioner, he who sows the wind shall inevitably reap the whirlwind.", "Herr talman, herr kommissionär! Den som sår vind får utan tvivel skörda storm."
"He who sows the wind shall reap the whirlwind: I am not the first person to say that.", "Den som sår vind skördar storm: jag är inte den förste som säger det."
"In our beautiful language, Mr President, there is a phrase "they have sown the wind and they shall reap the whirlwind' .", "På vårt underbara språk finns det, herr ordförande, en fras som säger: " Den som sår vind, skördar storm" ."
"In our beautiful language, Mr President, there is a phrase " they have sown the wind and they shall reap the whirlwind '.", "På vårt underbara språk finns det, herr ordförande, en fras som säger: " Den som sår vind, skördar storm "."
"I believe, therefore, that we can be reasonably satisfied with the outcome.", "Jag tror därför att vi kan vara relativt nöjda."
"I am reasonably satisfied with the ISD Directive.", "Jag är tämligen nöjd med investeringstjänstedirektivet."
"We can, in my opinion, be reasonably satisfied.", "Jag menar att vi kan vara ganska nöjda."
"I believe that the opposite is, in actual fact, true in this case, that is to say that most people are reasonably satisfied with the result.", "Jag tror att det i detta fall faktiskt är tvärtom, dvs. att de flesta är rimligt nöjda med resultatet."
"I am not happy with the result of the compromise of the Committee on Agriculture and Rural Development, but I am reasonably satisfied.", "skriftlig. - (DE) Jag är inte nöjd med resultatet av kompromissen i utskottet för jordbruk och landsbygdsutveckling, men jag är någorlunda nöjd."
"I am reasonably satisfied that the German authorities, and the Commissioner and his team, took reasonable, appropriate and swift action when they were aware that there was a problem.", "Jag är någorlunda tillfreds med att de tyska myndigheterna samt kommissionsledamoten och hans arbetslag vidtog rimliga, välvalda och snabba åtgärder när de fick kännedom om problemen."
"Out of these EUR 43 million, EUR 31 million have already been paid out, which is clearly positive and enables us to be reasonably satisfied about the problem of equal distribution of the burden.", "Av dessa 43 miljoner euro har 31 miljoner redan betalats ut, vilket är klart positivt och gör att vi kan vara relativt lugna när det gäller problemet med en rättvis fördelning av bördan."
"I do not actually receive a pension although I am the representative of the Pensioners ' Party in Italy.", "Trots att jag företräder Pensionärspartiet i Italien har jag faktiskt ingen pension."
"If you do not receive a pension or any other income from the country where you live, 2 situations are possible:", "Om du inte får pension eller någon annan inkomst från landet du bor i finns det två möjligheter:"
"In Italy alone, by 2050, young people will receive a pension of only one third of their final salary.", "Enbart i Italien kommer de unga människorna 2050 att få en pension som bara utgör en tredjedel av deras slutlön."
"For three years, my group has been working to ensure that those who work in the European institutions receive a pension.", "I tre års tid har min grupp arbetat med frågan att säkra pensionerna för dem som är anställda vid de europeiska institutionerna."
"As you are aware, during the course of their working life, one reason why many people take out life assurance is in order to receive a pension when they are older.", "Ni vet att många människor under sin yrkesverksamma tid tecknar livförsäkringar även för att kunna lyfta en pension vid en viss ålder."
"Policyholders commencing employment need to be sure that they will receive a pension, provided they meet certain requirements and a set amount of time has passed.", "Försäkringshavare som påbörjar en anställning måste vara säkra på att de kommer att få en pension om de uppfyller vissa krav och en viss tid har förflutit."
"This question of mutual recognition of professional qualifications is not just a one-off.", "Frågan om ömsesidigt erkännande av yrkeskvalifikationer är inte en isolerad fråga."
"Is there free movement of goods and persons and recognition of professional qualifications?", "Har vi fri rörlighet för varor och personer och erkännande av yrkeskvalifikationer?"
"These enquiries often relate to the recognition of professional qualifications.", "Dessa frågor handlar ofta om erkännande av yrkeskvalifikationer."
"(FR) Mr President, much has been said about the mutual recognition of professional qualifications.", "(FR) Herr talman! Mycket har sagts om ömsesidigt erkännande av yrkeskvalifikationer."
"In this sense, the example of the Directive on the recognition of professional qualifications is symbolic.", "I det sammanhanget är exemplet med direktivet om erkännande av yrkeskvalifikationer symboliskt."
"Mutual recognition of professional qualifications (debate)", "Ömsesidigt erkännande av yrkeskvalifikationer (debatt)"
"To find out about these rules, contact the Swiss contact point for recognition of professional qualifications.", "Om du vill veta mer kan du vända dig till den schweiziska kontaktpunkten för yrkeskvalifikationer."
"The Directive on the recognition of professional qualifications is not the only directive which is causing problems.", "Direktivet om erkännande av yrkeskvalifikationer är inte det enda direktiv som orsakar problem."
"We already have legal instruments, such as the directives on the mutual recognition of professional qualifications.", "Rättsakter har vi redan, till exempel direktivet om ömsesidigt erkännande av yrkeskvalifikationer."
"All you need to do is to agree to them, and we will have a good directive on the recognition of professional qualifications.", "Om ni bara antar dem kommer vi att få ett bra direktiv om erkännande av yrkeskvalifikationer."
"We recommend you to contact the Portuguese contact point for recognition of professional qualifications to find out this.", "Vi rekommenderar dig att kontakta den portugisiska kontaktpunkten för yrkeskvalifikationer English."
"We must improve the recognition of professional qualifications, possibly by means of the European professional card.", "Vi måste förbättra erkännandet av yrkeskvalifikationer, eventuellt med hjälp av ett europeiskt yrkeskort."
"One of the key directives, closely linked to the Service Directive, is the directive on mutual recognition of professional qualifications.", "Den fria rörligheten för yrkesutövare är ett viktigt steg i uppnåendet av Lissabonmålen."
"Finally, the directive on the recognition of professional qualifications is the consequence of the directive on the liberalisation of services.", "Slutligen är direktivet om erkännande av yrkeskvalifikationer en följd av tjänstedirektivet."
"I should like to mention another point that has always concerned me in connection with the recognition of professional qualifications.", "Låt mig gå in på en andra punkt, som alltid har berört mig i samband med erkännandet av yrkesexamina."
"Recognition of professional qualifications", "Så får du dina yrkeskvalifikationer erkända"
"Check with the Finnish contact point for recognition of professional qualifications whether your profession is regulated in Finland.", "Vänd dig till kontaktpunkten för yrkeskvalifikationer i Finland och fråga om ditt yrke är reglerat där."
"Recognition of professional qualifications", "Erkännande av yrkeskvalifikationer"
"Finally I should also mention the directive of the European Parliament and the Council on the recognition of professional qualifications.", "Slutligen borde jag också nämna Europaparlamentets och rådets direktiv om erkännande av yrkeskvalifikationer."
"Mr President, ladies and gentlemen, the directive on the recognition of professional qualifications could open up new opportunities.", "Det som framkommit av trepartsmötena är en omfattande och bra kompromiss, en som även vi inom De gröna gärna rekommenderar."
"One Member asked if I could redress the balance with written information.", "En kollega till mig tyckte att jag kanske borde upprepa det igen skriftligen."
"More extensive and vigorous efforts are needed to redress the balance.", "Det behövs mer omfattande och kraftigare ansträngningar för att återställa balansen."
"It is therefore to be hoped that the MEDIA 2007 programme will help to redress the balance.", "Man får därför hoppas att programmet Media 2007 bidrar till att återställa balansen."
"Secondly, we must redress the balance between the rights and obligations of investors.", "För det andra måste det gälla att jämna ut en bestående obalans mellan rätter och plikter för investerarna."
"I think that those issues are worthwhile and that they can redress the balance in PROGRESS to some extent.", "Jag tycker att dessa är värdefulla frågor som till viss del kan återställa balansen i PROGRESS."
"It is up to you to redress the balance, Commissioner!", "Herr kommissionär! Det ankommer på er att återställa ordningen."
"If this was just a man-made crisis, the other oil producers could redress the balance.", "Om det bara var fråga om en kris som framkallats på konstgjord väg, skulle den kunna utjämnas med hjälp av de andra oljeproducenterna."
"That has helped to redress the balance somewhat.", "Det har hjälpt till att något återställa balansen."
"So only an ambitious 'protein' plan will redress the balance and satisfy consumers' demands for traceability.", "Endast en ambitiös "proteinplan" kan alltså återupprätta ordningen och bemöta våra konsumenters krav på spårbarhet."
"So only an ambitious 'protein ' plan will redress the balance and satisfy consumers ' demands for traceability.", "Endast en ambitiös " proteinplan " kan alltså återupprätta ordningen och bemöta våra konsumenters krav på spårbarhet."
"By introducing a dozen amendments against Cyprus, in the view that this is the way to redress the balance.", "Genom att lägga fram ett stort antal ändringsförslag mot Cypern för att man tror att detta är rätt väg att återställa balansen."
"Since I know, however, that you are a man who is capable of learning, I am fairly sure you will redress the balance a little.", "Eftersom jag vet att ni är läraktig är jag dock tämligen säker på att ni kommer att återställa balansen något."
"We must therefore redress the balance.", "Detta måste vi alltså balansera litet."
"How can we redress the balance?", "Hur kan vi rätta till det?"
"Quotas and other mechanisms designed to redress the balance, currently necessary for women, may become necessary for men.", "Kvoter och andra mekanismer avsedda att återställa balansen, vilket i dag är nödvändigt för kvinnorna, kan komma att bli nödvändigt för männen."
"And to redress the balance, we launch Europe into a downwards spiral of repression that better consensus at the start would have prevented.", "Och för att höja ribban driver man alltså Europa in i en repressionsspiral, som man med ett bättre samförstånd från början hade undvikit."
"- by fundamentally reducing working times, so that workers can regain their creative spirit and redress the balance lost between work and family life.", "– Genom att radikalt minska arbetstiden, så att arbetstagarna kan återvinna sin kreativitet och återställa den förlorade balansen mellan arbete och familjeliv."
"We need to redress the balance between the rights of business and the rights of workers because, after all, it is workers who are the backbone of any economy.", "Vi måste skapa en balans mellan företagens och arbetstagarnas rättigheter, eftersom det när allt kommer omkring är arbetstagarna som är varje ekonomis ryggrad."
"The FTT provides an opportunity to redress the balance and the damage caused by the austerity measures, the deficit and the measures adopted to repay it.", "Den ger oss en möjlighet att återställa balansen och åtgärda de skador som orsakats av åtstramningsåtgärderna, underskottet och de åtgärder som vidtagits för att täcka underskottet."
"There were clear safeguards built in back in 2002 - not that long ago in the cycle of car distribution - to redress the balance of power between independent dealers and manufacturers.", "Under 2002 - för inte så länge sedan i bildistribueringens cykel - inrättades tydliga garantier för att återställa maktbalansen mellan oberoende bilhandlare och tillverkare."
"The crisis in Côte d'Ivoire should now serve as an example to all those who refuse to give up power despite electoral defeat.", "Krisen i Elfenbenskusten bör nu tjäna som ett avskräckande exempel för alla som vägrar att ge upp trots att de förlorat ett val."
"Some refuse to give up and hold on to the bitter end, while others can't take it anymore and crumble in a fit of dramatic passion.", "En del vägrar ge upp och håller ut till det bittra slutet, medan andra inte orkar längre och faller samman i anfall av dramatisk passion."
"Yet I refuse to give up hope because in life there is always room to act and to change things.", "Jag skall akta mig för att uttrycka min pessimism - fast jag vägrar att förtvivla, för i livet finns det alltid ett utrymme för handling, för att "få saker och ting att förändras"."
"This is true of small butchers and specialist butchers, who refuse to give up their right to remove bones in their shops when they only work with healthy carcasses.", "Det gäller slaktare och charkuterister som vägrar att acceptera att man tar ifrån dem rätten att bena ur kött, trots att de bara arbetar med friska kroppar."
"As regards health, we have been told that there is pharmaceutical package.", "När det gäller hälsoområdet har vi fått höra att ett läkemedelspaket har tagits fram."
"In that sense I support the rapporteur’s action, particularly as regards reproductive health.", "Därför stöder jag föredraganden, särskilt när det gäller den reproduktiva hälsan."
"The figures on the situation as regards health in developing countries are tragically eloquent.", "Siffrorna för hälsosituationen i utvecklingsländer talar sitt eget tragiska språk."
"In my opinion, an important point as regards the shortage of health workers is being obscured.", "Jag anser att man döljer en viktig punkt när det gäller bristen på sjukvårdspersonal."
"(PT) The figures on the situation as regards health in developing countries are tragically eloquent.", "(PT) Siffrorna för hälsosituationen i utvecklingsländer talar sitt eget tragiska språk."
"Prudence as regards those effects on health is essential.", "Försiktighet beträffande dessa effekter på hälsan är nödvändig."
"What I am proposing is that this commitment should now be implemented urgently as regards transport and health.", "Mitt förslag är att detta åtagande nu snabbt bör genomföras, när det gäller transport och hälsa."
"We also need to check here the gaps and shortcomings that exist as regards human health and the environment.", "Vi måste också kontrollera de luckor och brister som finns när det gäller människors hälsa och miljön."
"As regards public health, we should focus on the problems facing EU citizens in the area of health care.", "När det gäller folkhälsan bör vi inrikta oss på de problem som EU-medborgarna står inför på området hälsovård."
"The outcome will be beneficial to the citizens of the European Union, especially as regards their life and health.", "Resultatet kommer att vara fördelaktigt för EU:s medborgare, särskilt när det gäller deras liv och hälsa."
"I gather that there are indeed certain plans afoot, but what is the situation as regards human health?", "Jag drar slutsatsen att det verkligen är vissa planer på gång, men hur är situationen när det gäller människors hälsa?"
"As regards health, we are all aware that the question of hormones as a cause of cancer raises major doubts.", "När det gäller folkhälsan, vet vi alla att hormonfrågan ur cancersynpunkt ger anledning till största möjliga tvivel."
"Can we achieve a radical improvement as regards our health without placing too heavy a burden on small and medium enterprises?", "Kan vi förbättra vår hälsa radikalt utan att lägga en alltför tung börda på de små och medelstora företagen?"
"As regards public health, the World Trade Organisation has just decided in favour of access to generic medicines.", "På folkhälsoområdet fattade Världshandelsorganisationen nyligen ett beslut som främjar tillgång till generiska läkemedel."
"As regards the inclusion of health care professionals in the agreement, I see a risk of deregulation of the health care sector.", "Jag ser en risk för avreglering av sjukvårdssektorn i och med inbegripandet av sjukvårdspersonal i överenskommelsen."
"They are well informed of the dangers and threats as regards health matters and have the facility to consult doctors regularly and in time.", "De är väl informerade om olika hälsofaror och har möjlighet att konsultera läkare regelbundet och i tid."
"The European Union must insist that all food products comply with its production standards, especially as regards health and safety.", "EU måste kräva att alla livsmedelsprodukter följer EU:s tillverkningsnormer, särskilt när det gäller hälsa och säkerhet."
"Indeed, the EU needs to insist that all food products comply with its production standards, especially as regards health and safety.", "EU måste faktiskt kräva att alla livsmedelsprodukter uppfyller dess produktionsstandarder, särskilt inom hälsa och säkerhet."
"The same is true for the principle of equality with national citizens as regards access to health care for people with specific needs.", "Samma sak gäller för jämlikhetsprincipen med inhemska medborgare för tillgång till hälsovård för personer med särskilda behov."
"On the contrary, women are in a far more difficult position in top-level sport, especially as regards the health of women athletes.", "Tvärtom befinner sig kvinnorna i en mycket svårare sits inom elitidrotten, inte minst i fråga om de kvinnliga elitidrottarnas hälsa."
". - (SK) Food production is related to people's health and safety.", "skriftlig. - (SK) Livsmedelsproduktion hör ihop med människors hälsa och säkerhet."
"This excellent report throws some more light on gender-related health issues.", "Detta är ett mycket bra betänkande som tydligt belyser de genusrelaterade hälsoproblemen."
"Special preferences must be arranged for medicines and health care related issues.", "Det måste skapas särskilda preferenser för frågor som rör läkemedel och hälso- och sjukvård."
"It is also important for gender issues to be incorporated into policies related to health.", "Det är också viktigt att jämställdhetsfrågor införlivas i hälsopolitiken."
"White Paper on Nutrition, Overweight and Obesity-related health issues (debate)", "Vitbok om hälsofrågor som rör kost, övervikt och fetma (debatt)"
"This is a crucial topic because work-related health problems are becoming more and more common.", "Det här är en viktig fråga eftersom arbetsrelaterade hälsoproblem blir allt vanligare."
"No single health effect related to depleted uranium has been observed.", "Ingen hälsoeffekt som har att göra med utarmat uran har iakttagits."
"This agency cannot be a pro-nuclear agency and be independent on related health issues.", "Denna byrå får inte vara kärnkraftsvänlig och vara oberoende när det gäller relaterade hälsofrågor."
"It bans health-related labelling on alcoholic drinks.", "I förordningen förbjuds hälsorelaterad information på alkoholhaltiga drycker."
"Part of the problems of mothers' health are related to financing.", "Delar av problemen med mödrahälsan har att göra med finansiering."
"White Paper on Nutrition, Overweight and Obesity-related health issues (", "Vitbok om hälsofrågor som rör kost, övervikt och fetma ("
"Expenditure on transport-related health problems is enormous.", "Utgifterna för transportrelaterade hälsoproblem är enormt höga."
"Mr President, the HIV epidemic so far has very often been described primarily as a health-related problem.", "Herr talman! Hiv-epidemin har hittills mycket ofta beskrivits i huvudsak som ett hälsorelaterat problem."
"Support will also be given to studies on cancer, age-related diseases and women's health problems.", "Stöd kommer också att ges till studier av cancer samt åldersrelaterade sjukdomar och hälsoproblem bland kvinnor."
"We want to address health-related issues in detail.", "Vi har för avsikt att ägna oss intensivt åt hälsofrågor."
"We do not have a Sports Ministers' Council, but in fact the main reason is that it is related to public health.", "Vi har inget råd för idrottsministrar, men huvudskälet till detta är faktiskt att det är en folkhälsofråga."
"Injury prevention - rare diseases - pollution-related diseases - health protection - Alzheimer's", "Förebyggande av personskador - Ovanliga sjukdomar - Sjukdomar orsakade av miljöföroreningar - Hälsoskyddskrav - Alzheimers sjukdom"
"Their role as institutions mainly involves issues related to education, health, the environment and entrepreneurship.", "Deras roll som institutioner avser främst frågor som hör samman med utbildning, hälsa, miljön och företagande."
"Let me simply remind Members of the regulation on health-related information that we adopted in this House last year.", "Jag vill påminna ledamöterna om förordningen om hälsorelaterad information som vi antog i parlamentet förra året."
"It is not only a health-related question.", "Det här är inte bara en hälsofråga."
