//Sentences
"To what do I owe the pleasure?", "Så vad kan jag stå till tjänst med?"
"This offers a great opportunity to say much more on this, but I am against the establishment of another agency or a European WADA.", "Den blir ett ypperligt tillfälle att tala mer om detta, men jag är emot att det inrättas ännu ett organ eller ett europeiskt WADA."
"Thirdly, this 47.5% funding must also be matched by appropriate representation on the WADA' s board of management.", "För det tredje måste denna finansiering på 47,5 procent också motsvara en lämplig representation inom Internationella antidopningsbyråns styrelse."
"Thirdly, this 47.5 % funding must also be matched by appropriate representation on the WADA's board of management.", "För det tredje måste denna finansiering på 47,5 procent också motsvara en lämplig representation inom Internationella antidopningsbyråns styrelse."
"Some of the world's largest retailers, such as Carrefour and Wal-Mart, have already banned Brazilian beef on the grounds of the deforestation the industry is responsible for.", "Några av världens största detaljhandlare, som Carrefour och Wal-Mart, har redan förbjudit brasilianskt nötkött på grund av den avskogning som industrin gör sig skyldig till."
"The volume of WEEE items is estimated to grow to 12.3 million tonnes by 2020.", "Mängden elektriskt och elektroniskt avfall uppskattas öka till 12,3 miljoner ton till 2020."
"WEEE arisings are estimated to grow to 12.3 million tonnes by 2020.", "Mängden elektriskt och elektroniskt avfall uppskattas öka med 12,3 miljoner ton till 2020."
"WEEE arisings are estimated to grow to 12.3 million tonnes by 2020.", "Mängden sådant avfall beräknas växa till 12,3 miljoner ton till 2020."
"There are important scarce raw materials in WEEE that we should retrieve to lower the need for imports.", "I WEEE finns en del begärliga råvaror som vi kan utvinna för att sänka importbehovet."
"WEEE waste can also be put into it upon payment of a special fee.", "Till den kan man även föra WEEE-avfall mot en särskild avgift."
"WEEE is a complex waste stream, including several hazardous substances.", "Elektriskt och elektroniskt avfall är en komplex avfallsström, som inbegriper ett flertal farliga ämnen."
"1. waste electrical and electronic equipment (WEEE)", "1. avfall som utgörs av eller innehåller elektriska eller elektroniska produkter (WEEE)"
"Colleagues have indicated the rate at which WEEE is growing.", "Mina kolleger har nämnt den takt med vilken detta avfall ökar."
"Unfortunately, my country Lithuania currently lags far behind the EU average as regards the disposal of WEEE.", "Mitt hemland Litauen ligger för närvarande långt under EU-genomsnittet för hantering av WEEE."
"Waste electrical and electronic equipment (WEEE) belongs to the fastest growing waste stream in the EU.", "Avfall från elektriska och elektroniska produkter (WEEE) tillhör den snabbast växande avfallsströmmen i EU."
"The final destiny of large quantities of waste electrical and electronic equipment (WEEE) remains unclear.", "Den slutliga destinationen för en stor mängd av det elektriska och elektroniska avfallet förblir oklart."
"Echoing Ms Van Brempt, I also want to mention needs in relation to small WEEE.", "Precis som Kathleen Van Brempt vill jag också nämna behoven när det gäller avfall från små elektriska och elektroniska produkter."
"We must ensure that the burden to take back WEEE rests with the manufactures, not the retailers.", "Vi måste se till att ansvaret för att ta tillbaka detta avfall (WEEE) förblir hos tillverkarna, inte återförsäljarna."
"Finally, a total of 82 amendments have been tabled on the WEEE directive and 18 on the RoHS directive.", "Tills sist är det så att totalt 82 ändringsförslag har lagts fram till WEEE-direktivet och 18 till RoHS-direktivet."
"Eight kilos of WEEE waste per person is collected.", "Där samlar man in åtta kilo WEEE-avfall per person."
"The WEEE Directive states that exported electronic items must be in working order.", "Direktivet om avfall från elektriska och elektroniska produkter fastställer att exporterade elektroniska föremål måste vara i användbart skick."
"Waste electrical and electronic equipment (WEEE) represents the fastest-growing waste stream in the EU.", "Avfall som utgörs av eller innehåller elektriska eller elektroniska produkter är det snabbast växande avfallsflödet inom EU."
"WEEE product marking – what to look for", "WEEE och produktmärkning - vad du ska titta efter"
"Concerning the scope of the directive, it is proposed that the link between derogations to the WEEE Directive be abolished.", "När det gäller direktivets räckvidd föreslås att kopplingen mellan undantag och detta direktiv ska avskaffas."
"I believe that the proper disposal of waste electrical and electronic equipment (WEEE) is exceptionally important.", "Det är mycket viktigt att avfall som utgörs av eller innehåller elektriskt och elektroniskt avfall (WEEE) bortskaffas korrekt."
"The integration of the WEU into the EU is not a realistic proposition in the near future.", "Integrationen av VEU i EU är inte ett realistiskt förslag inom en nära framtid."
"The individual EU countries are members of NATO and the WEU, or else are non-aligned.", "De enskilda EU-länderna är medlemmar av Nato och VEU eller är alliansfria."
"The WEU has already taken the decision to allow the EU direct access to these structures.", "VEU har redan beslutat att ge unionen direkt tillgång till dessa strukturer."
"We think that the EU should be a civil organisation and that the WEU should be dissolved.", "Vi anser att EU skall vara en civil organisation och att VEU borde upplösas."
"The remit of the WEU and the NATO Partnership for Peace are largely similar.", "VEU: s uppgiftsspektrum och Natos partnerskap för fred är i stor utsträckning kongruenta."
"The WEU is going to transfer its assets to the European Union, or certain parts.", "Jag vet inte. Ni ställer frågan till fel person - jag vet inte."
"It is true that we need a closer relationship between the EU and the WEU.", "Det är sant att vi behöver en närmare förbindelse mellan EU och VEU."
"Nevertheless, European defence cooperation within the WEU has lacked strength.", "Ändå har europeiskt försvarssamarbete inom VEU saknat kraft."
"The WEU depends on NATO capacities and NATO logistics in many respects.", "VEU är i flera hänseenden beroende av Natos kapacitet och logistik."
"We must not develop the WEU in such a way that it becomes an integral part of the Union.", "Vi får inte utveckla denna Västeuropeiska union på ett sådant sätt att den integreras i unionen."
"It is appealing for the participation of the WEU in a Petersberg-type mission in the area.", "Kommissionen hoppas innerligt på ett VEU-deltagande i ett uppdrag av Petersbergstypen i området."
"On the WEU: clearly, we still have to work on that relationship.", "När det gäller VEU måste vi fortsätta att arbeta med den förbindelsen."
"Of course, it would have been more appropriate to use the WEU.", "Naturligtvis hade det varit bättre om vi hade kunnat klara oss med VEU."
"In the Spencer Report as it stands today there is the wish to integrate the WEU into the Union.", "I betänkandet av Spencer som det ser ut i dag finns en önskan om att integrera VEU i unionen."
"So the WEU really must be merged into the Union without further delay.", "En snabb och fullständig integrering av VEU i unionen kan således verkligen inte skjutas upp längre."
"What should be the relationship between the European Union and the WEU?", "Frågan om förbindelserna mellan Europeiska unionen och VEU."
"1) The report calls for the abolition of the Assembly of the Western European Union (WEU).", "1) Betänkandet uppmanar till avskaffandet av Västeuropeiska unionens parlamentariska församling (VEU)."
"However, the rapid unification of the WEU and NATO is not to the liking of the Finnish social democrats.", "Men ett snabbt införlivande av VEU med NATO passar inte de finländska socialdemokraterna."
"Paragraph 10 on the integration of the WEU into the EU cannot be supported because of a Danish reservation.", "Punkt 10 om integrering av VEU i EU kan inte stödjas på grund av ett danskt förbehåll."
"In that context, the Commission will take over the WEU police mission in Albania.", "I detta sammanhang kan sägas att kommissionen kommer att ta över Västeuropeiska unionens polisuppdrag i Albanien."
"At 5 p.m. in room WIC 100, we will celebrate the fifteenth anniversary of the Sakharov Prize in the presence of many of the previous winners.", "Klockan 17.00, i sal WIC 100, kommer vi att högtidlighålla Sacharovprisets femtonde årsdag i närvaro av många av de tidigare vinnarna."
"At 5 p. m. in room WIC 100, we will celebrate the fifteenth anniversary of the Sakharov Prize in the presence of many of the previous winners.", "Klockan 17.00, i sal WIC 100, kommer vi att högtidlighålla Sacharovprisets femtonde årsdag i närvaro av många av de tidigare vinnarna."
"., there will be a special exhibition on the fifteen years of the Prize which will take place in the area outside room WIC 100.", "Klockan 18.30, efter denna ceremoni, kommer en särskild utställning om prisets femtonåriga historia att äga rum utanför sal WIC 100."
"., there will be a special exhibition on the fifteen years of the Prize which will take place in the area outside room WIC 100.", "Klockan 18.30, efter denna ceremoni, kommer en särskild utställning om prisets femtonåriga historia att äga rum utanför sal WIC 100."
