//Sentences
"We have learned the new vocabulary of e-coli, salmonella and listeria and so on.", "Vi har lärt oss en ny vokabulär med e-kolibakterier, salmonella och listeria och så vidare."
"Mr Putin, the Russian Prime Minister, has already announced that Russia will not lift the ban until the European Union has provided details on the source of the E coli infection.", "Rysslands premiärminister Vladimir Putin har redan meddelat att Ryssland inte kommer att upphäva förbudet förrän EU har tillhandahållit uppgifter om källan till E. coli-smittan."
"Similar challenges are posed by climate change, unexpected deficits of raw materials and biological threats, for example, the recent developments concerning E coli bacteria in vegetables.", "Klimatförändringarna, oönskade underskott av råmaterial och biologiska hot, som den senaste utvecklingen när det gäller E.coli-bakterien i grönsaker, utgör liknande utmaningar."
"Signs must be clear and easy to understand (E.U./NON E.U.).", "Skyltarna måste vara tydliga och lättbegripliga (E.U./NON E.U.)."
"Only eight out of fifteen Member States in the E.U. have nation-wide breast cancer screening programmes.", "Bara åtta av 15 medlemsstater i Europeiska unionen har landsomfattande screeningprogram avseende bröstcancer."
"Only eight out of fifteen Member States in the E. U. have nation-wide breast cancer screening programmes.", "Bara åtta av 15 medlemsstater i Europeiska unionen har landsomfattande screeningprogram avseende bröstcancer."
"I welcome the allocation of EUR 400 million for cancer research under the Sixth E.U.", "Jag välkomnar tilldelningen av 400 miljoner euro till cancerforskning inom ramen för Europeiska unionens sjätte ramprogram för forskning."
"U. Framework Research Programme.", "Jag välkomnar tilldelningen av 400 miljoner euro till cancerforskning inom ramen för Europeiska unionens sjätte ramprogram för forskning."
"The E.U. currently has a trade deficit with the U.S. of over USD 8 billion per year in the audiovisual sector.", "EU har för närvarande ett handelsunderskott i förhållande till Förenta staterna på över 8 miljarder US-dollar per år inom den audiovisuella sektorn."
"Each E.U. Member State must guarantee that women aged between 50 and 70 receive a mammography every two years based on European guidelines.", "Alla medlemsstater skall erbjuda kvinnor mellan 50 och 70 år en mammografiundersökning vartannat år enligt europeiska riktlinjer."
"Each E. U. Member State must guarantee that women aged between 50 and 70 receive a mammography every two years based on European guidelines.", "Alla medlemsstater skall erbjuda kvinnor mellan 50 och 70 år en mammografiundersökning vartannat år enligt europeiska riktlinjer."
"This should be implemented through improving the existing E.U. legislation and directives involving consumer protection especially to ensure:", "Detta bör genomföras genom att man förbättrar den befintliga EU-lagstiftningen och direktiven om konsumentskydd, bland annat för att uppnå"
"The E.U. has been involved in financing education and vocational programmes for a considerable period of time – this is an involvement I very much welcome.", ". – Europeiska unionen har länge engagerat sig i finansiering av utbildnings- och yrkesprogram – detta är ett engagemang som jag verkligen välkomnar."
"U.", "Att införa initiativ för att lösa den sociala utslagningen och för att ge de mindre gynnade i vårt samhälle möjligheter måste vara en huvudsaklig policy för varje regering inom EU."
"U. and third countries.", "Det är ett faktum att ett Europa utan gränser bidragit till att antalet äktenskap mellan personer av olika nationalitet har ökat, både från Europeiska unionen och från tredje land."
"EC-EAC Partner States Economic Partnership Agreement (vote)", "Avtal om ekonomiskt partnerskap EG-EAC:s partnerstater (omröstning)"
"This section deals with documentation and standards such as ISO standards, OAIS, Dublin Core, METS, Premise, EAC, EAD, XML, etc..", "Detta kapitel behandlar dokumentation och standarder, som till exempel ISO-standarder, OAIS, Dublin Core, METS, PREMIS, EAC, EAD, XML osv."
"Does the Council expect that the Interim Economic Partnership Agreement (IEPA) will enhance the integration of the EAC States in regional and international trade?", "Väntar sig rådet att interimsavtalet om ekonomiskt partnerskap kommer att förstärka integrationen av staterna i Östafrikanska gemenskapen i regional och internationell handel?"
"Does the Commission expect that the Interim Economic Partnership Agreement (IEPA) will enhance the integration of the EAC States in regional and international trade?", "Väntar sig kommissionen att interimsavtalet om ekonomiskt partnerskap kommer att förstärka integrationen av staterna i Östafrikanska gemenskapen i regional och internationell handel?"
"f) While government procurement must be transparent, its openness to European contractors must kick in at an appropriate level suitable for the needs of EAC States?", "f) Samtidigt som det måste ges insyn i offentliga upphandlingar, ska dessa vara öppna för europeiska avtalsparter i en omfattning som är anpassad efter behoven i staterna i Östafrikanska gemenskapen."
"Does the Council believe that the agreement will allow further regional integration, through the creation of a common market and a monetary union, as planned by the EAC States by 2012?", "Tror rådet att avtalet kommer att möjliggöra ytterligare regional integration genom en gemensam marknad och en monetär union, såsom staterna i Östafrikanska gemenskapen har planerat till 2012?"
"EADS has been widely criticised and doubts have been raised as regards both its seriousness and its reliability.", "EADS har fått mycket kritik, och det råder tvivel om hur seriöst och pålitligt det är."
"I refer to the German firms Diehl, Rheinmetall and EADS.", "Jag tänker på de tyska företagen Diehl, Rheinmetall och EADS."
"The approach taken by the top management at EADS is, as we all know, no longer an isolated incident.", "Inställningen hos den högsta ledningen för EADS är som vi alla vet inte längre någon isolerad händelse."
"Defence companies such as EADS and BAE Systems will be able to have a decisive say in how funds are used.", "Försvarsföretag som EADS och BAE Systems kommer att ha ett avgörande inflytande över hur anslagen används."
"It is outrageous that EADS loses a billion euro every time the dollar falls 10 cents against an ideological euro.", "Det är skandalöst att EADS förlorar en miljard euro varje gång dollarn faller med 10 cent mot en ideologisk euro."
"The systems implemented with the support of the Franco-German group EADS are the most state-of-the-art in the European Union.", "De system som införts med stöd av den fransk-tyska koncernen EADS är de mest avancerade i Europeiska unionen."
"I firmly believe that the only way of guaranteeing the future of Airbus is to make EADS the first European majority public company.", "Jag är fast övertygad om att det enda sättet att säkra Airbus framtid är att omvandla EADS till det första majoritetsägda offentliga företaget på EU-nivå."
"I am pleased that, together with President Obama, we have obtained reciprocity in relation to the EADS project for supply aircraft.", "Jag är glad över att vi tillsammans med president Barack Obama har uppnått ömsesidighet i förhållande till EADS-projektet för tillhandahållande av flygplan."
"There is a misperception that Northrop Grumman and the EADS North America have somehow lost or that the Boeing award has been reversed.", "Det är en missuppfattning att Northrop Grumman och EADS North America skulle ha förlorat på något sätt eller att kontraktet med Boeing skulle ha rivits upp."
"Northrop Grumman and EADS North America remain under contract, albeit under a stop-work order, which places on hold the work under contract.", "Northrop Grumman och EADS North America har kvar sina kontrakt, visserligen under order om att ställa in arbetet, vilket gör att det avtalade arbetet ligger på is."
"Not only does Galileo subsidise the aerospace and armaments firm EADS, but the system is also being introduced too late in the day to be a success.", "Galileo subventionerar inte bara vapentillverkaren och rymdteknikföretaget EADS, utan systemet införs också i ett alltför sent skede för att kunna bli en framgång."
". - (FR) Mr President, this business with EADS is symptomatic of what we regard as the fraudulent nature of the idea of European integration.", "för IND/DEM-gruppen. - (FR) Herr talman! Frågan rörande EADS är typisk för vad vi anser vara bedrägligt med idén om den europeiska integrationen."
"The US Air Force has determined that the plane offered by Northrop Grumman and the EADS is superior to the Boeing and is the best tanker to meet its needs.", "US Air Force har kommit fram till att det plan som offererats av Northrop Grumman och EADS är överlägset Boeing och är det tankflygplan som bäst motsvarar behoven."
"The incompetence and weakness demonstrated by EADS' two main private shareholders are proof of this.", "Den inkompetens och svaghet som flygplanstillverkaren EADS två största privata aktieägare har visat är ett bevis på detta, och problemen med Galileo är likaså ett tydligt tecken."
"Within the space of ten years, 30% of EADS' staff are going to be retiring; if their know-how is not to be lost, a massive plan for recruitment and training is called for.", "Inom loppet av tio år kommer 30 procent av EADS personal att gå i pension. Om deras kompetens inte ska förloras måste en massiv plan för rekrytering och utbildning upprättas."
"I shall finish with a comment on the EADS, which is the European Aeronautics Defence and Space Company, the second largest aerospace and defence company in the world.", "Jag skall avsluta med en kommentar om flygindustrikoncernen EADS (European Aeronautics Defence and Space Company), världens näst största tillverkare av rymd- och försvarsutrustning."
"The United States has criticised the way in which the EU and the Member States involved in the EADS consortium have subsidised the introduction of new large aircraft over the last 20 years.", "Förenta staterna har kritiserat det sätt som EU och de medlemsstater som ingår i EADS konsortium har subventionerat införandet av nya stora flygplan på i över 20 år."
"I shall finish with a comment on the EADS, which is the European Aeronautics Defence and Space Company, the second largest aerospace and defence company in the world.", "Detta har alltid erkänts enligt artikel 296 i EG-fördraget, som, skulle jag vilja påminna er om, behålls i samma form i artikel 342 i den tredje delen av utkastet till europeisk konstitution."
"Things promptly proceeded to go wrong, and I shall conclude by saying that I believe that if anything has been proved to be bankrupt it is the idea of integration as represented by EADS.", "Saker och ting gick snabbt fel, och jag ska avsluta med att säga att jag anser att om någonting har visat sig vara helt åt skogen, så är det den integrationsidé som EADS företräder."
"Recently, the European aerospace company, EADS Astrium, announced the launch of a similar programme to build solar collectors in space with a view to beaming the energy collected down to earth.", "Nyligen meddelade det europeiska rymdföretaget EADS Astrium att man startar ett motsvarande program för att bygga solfångare i rymden, med syfte att överföra den energi som fångas till jorden."
"It is part of the Community' s fifth Environmental Action Programme or EAP.", "Det går inom ramen för gemenskapens femte åtgärdsprogram för miljön."
"It is part of the Community's fifth Environmental Action Programme or EAP.", "Det går inom ramen för gemenskapens femte åtgärdsprogram för miljön."
"The evaluation of the Fifth EAP has clearly shown that we are up a blind alley.", "Av utvärderingen av det femte miljöhandlingsprogrammet framgår det tydligt att vi hamnat i en återvändsgränd."
"Let us now focus on the actual implementation of the Fifth EAP.", "Herr talman! Låt oss nu fortsätta med ett verkligt genomförande av det femte miljöhandlingsprogrammet."
"In the meantime, Belarus was invited in May 2009 to join the multilateral dimension of the EAP.", "Under tiden bjöds Vitryssland in i maj 2009 att ansluta sig till den multilaterala dimensionen i det östliga partnerskapet."
"As far as traffic is concerned, the Sixth EAP stressed the decoupling of transport goals and GDP goals.", "När det gäller trafik betonas frikopplingen av målen för transport från målen för bruttonationalprodukten i det sjätte miljöhandlingsprogrammet."
"Partly because many Member States have failed to implement environmental legislation, the objectives of the Fifth EAP have not been achieved.", "Bland annat på grund av att många medlemsstater inte genomför miljölagstiftningen så har målen i det femte miljöhandlingsprogrammet inte uppnåtts."
"The Eastern Partnership (EaP) is a meaningful political framework for deepening relations with partner countries, based on principles of shared ownership and responsibility.", "Det östliga partnerskapet utgör en meningsfull politisk ram för att skapa fördjupade förbindelser med och bland partnerländerna utifrån principer om delaktighet och ansvar."
"Will the Situation Centre be subordinated to the EAS in future?", "Kommer lägescentralen i framtiden att vara underordnad EAS?"
"The EAS representative there said that it was spent on reforms.", "EAS-företrädaren där sade att de hade gått till reformer."
"Yes, it should be monitored; yes, we need expertise; but it is not down to just a few people within the EAS.", "Ja, vi behöver expertis, men det handlar inte om några få personer inom Europeiska utrikestjänsten."
"I asked to have references to the EAS removed during the drafting stage, but other political groups refused.", "Jag bad om att hänvisningarna till den europeiska avdelningen för yttre åtgärder skulle strykas under utarbetandet men andra politiska grupper vägrade."
"The EAS should be based on the Community method with the clear involvement of the Commission and the European Parliament.", "Europeiska avdelningen för yttre åtgärder bör baseras på gemenskapsmetoden, med ett tydligt engagemang från kommissionen och Europaparlamentet."
"Fair representation of all Member States in the EU institutions is a core principle, and the EAS should be no exception.", "Ett rättvist företrädande i EU:s institutioner av alla medlemsstater är en kärnprincip, och den europeiska avdelningen för yttre åtgärder bör inte utgöra något undantag."
"That means that he or she has to be responsible for the EAS administrative budget, but also for the appointing authorities.", "Det innebär att han eller hon måste vara ansvarig för den administrativa budgeten för avdelningen för yttre åtgärder, men samtidigt också för tillsättningsmyndigheterna."
"The EAS is a direct product of the Treaty of Lisbon, a treaty I do not approve of and one which has no democratic legitimacy.", "Den europeiska avdelningen för yttre åtgärder är en direkt produkt av Lissabonfördraget, ett fördrag som jag inte stöder och som inte har någon demokratisk legitimitet."
"Secondly, could the Commission spell out for the wider public its vision of how the foreign affairs of Member States will be conducted once the EAS is in place?", "Kan kommissionen för det andra informera den bredare allmänheten om hur den har tänkt att medlemsstaternas utrikespolitik skall skötas när EEAS väl har inrättats?"
"I am implementing this mandate with the clear objective of having the decision to establish the EAS adopted as soon as possible after the entry into force of the Treaty.", "Jag genomför detta mandat med det tydliga målet att få beslutet om att inrätta den europeiska avdelningen för yttre åtgärder antaget så snart som möjligt sedan fördraget trätt i kraft."
"The EASA is different: if the EASA has no money, human lives are put at risk.", "Men EASA är annorlunda: om EASA inte har några pengar sätts människoliv på spel."
"Since then the EASA has not proved itself competent, even in this area of work.", "Jag förstår inte varför den ska få extra befogenheter, med tanke på detta misslyckande."
"Since then the EASA has not proved itself competent, even in this area of work.", "Sedan dess har byrån för luftfartssäkerhet inte visat sig vara kompetent ens på detta arbetsområde."
"From an operational perspective, an approach has been developed in close cooperation with the EASA.", "Ur ett operativt perspektiv har en strategi tagits fram i nära samarbete med Easa."
"Is it not true that the task of the EASA is to ensure high safety standards?", "Har EASA inte som uppgift att garantera en hög säkerhetsnivå?"
"In my view, this also means that the funding of EASA must be put on a stable long-term basis.", "Detta innebär också enligt min åsikt att EASA:s finansiering måste vara stabil och långsiktig."
"In my own report I will be discussing at length the EASA’s functions and areas of responsibility.", "I min egen rapport kommer jag att ingående diskutera EASA:s funktioner och ansvarsområden."
"The EASA remains in contact with the Danish authorities in an attempt to clarify this question.", "EASA håller fortsatt kontakt med de danska myndigheterna för att försöka klargöra situationen."
"The EASA will soon be involved in coordinating inspection activities for these aircraft.", "EASA kommer snart att få i uppgift att samordna inspektionsverksamheten när det gäller dessa luftfartyg."
"I hope EASA, the new safety agency, will urgently examine this.", "Jag hoppas att EASA, den nya byrån för luftfartssäkerhet, omedelbart kommer att undersöka detta."
"As I said, I wish to speak mainly about EASA.", "Som jag redan sagt vill jag främst tala om EASA, byrån för luftfartssäkerhet."
"In this particular case I think that the EASA has done exactly what is necessary to ensure safety.", "I detta specifika fall anser jag att EASA har gjort precis vad som krävs för att garantera säkerheten."
"In this context, including third-country aircraft in the scope of EASA actions is particularly important.", "I detta sammanhang är det särskilt viktigt att införliva tredjeländers flygplan i EASA:s åtgärder."
"If so, what role does the EASA play in establishing the test requirements?", "Om så är fallet, vilken roll spelar EASA (Europeiska byrån för luftfartssäkerhet) vid fastställandet av dessa testkrav?"
"I honestly believe the EASA's track record has been positive.", "Jag anser verkligen att EASA:s meriter är positiva."
"I think these wider competences we have decided will make things easier for the EASA in future.", "Jag anser att de utökade befogenheter som vi har fattat beslut om kommer att göra det lättare för EASA i framtiden."
"The work of EASA will have to help reduce these concerns.", "EASA: s arbete måste bidra till att minska den oron."
"The work of EASA will have to help reduce these concerns.", "EASA:s arbete måste bidra till att minska den oron."
"What is not happening, however, is any budget increase for the EASA, nor are other sources of financing being identified.", "Däremot sker ingen ökning av EASA:s budget, och inga andra finansieringskällor identifieras."
"Its stand on the question of the European Aviation Safety Agency, the EASA, is evidence of this awareness.", "Dess ställningstagande i frågan om Europeiska byrån för luftfartssäkerhet, EASA, är ett bevis på denna framsynthet."
"Therefore, the solution should not be to abolish the EAW, which is clearly useful.", "Därför bör inte lösningen vara att avskaffa den europeiska arresteringsordern, som helt klart är användbar."
"A total of 2 042 people were arrested with the EAW and 1 892 people were effectively surrendered.", "Totalt 2 042 personer greps med europeiska arresteringsorder, och 1 892 personer överlämnade sig."
"In the case of the European Arrest Warrant (EAW), we now know that this has problems and has caused doubts.", "När det gäller den europeiska arresteringsordern vet vi nu att den har brister och har orsakat tvivel."
"I do not know whether the European Parliament is able to hold a fundamental debate about the European Arrest Warrant (EAW).", "Jag vet inte om Europaparlamentet kan hålla en grundlig debatt om den europeiska arresteringsordern."
"Having said all that, my question to the Council and the Commission is not: is the EAW being abused for political purposes?", "Trots detta är inte min fråga till rådet och kommissionen: missbrukas den europeiska arresteringsordern för politiska syften?"
"Nevertheless, the tick box on the EAW marked rape contains no definition or explanation of what constitutes the crime.", "På listan för avbockning i den europeiska arresteringsorder som är märkt våldtäkt finns likväl ingen definition eller förklaring av vad som utgör detta brott."
"Could the Commission give its view on how effectively initial problems have been overcome and how effectively the EAW is now operating?", "Kan kommissionen ge sin åsikt om hur effektivt de ursprungliga problemen har lösts och hur effektivt den europeiska arresteringsorden nu fungerar?"
"The reinstated investigation leading to the EAW saw a failure of the prosecutor to interview witnesses that could clear Mr Assange.", "Vid den återupptagna förundersökning som ledde till den europeiska arresteringsordern undlät åklagaren att fråga ut vittnen som skulle kunna rentvå Assange."
"More than a fifth of the individuals surrendered in accordance with the EAW procedure were nationals from the executing Member State.", "Mer än en femtedel av de personer som överlämnade sig enligt den europeiska arresteringsorderns förfaranden var medborgare i den verkställande medlemsstaten."
"It is thus pertinent and urgent that the Council take steps to guarantee that the disproportionate use of the EAW is limited in practice.", "Det är därmed relevant och angeläget att rådet vidtar åtgärder för att garantera att oproportionerlig användning av den europeiska arresteringsordern är begränsad i praktiken."
"Thanks to the EAW, the Union has managed to reduce surrender times considerably, in many cases from one or two years to only one or two months.", "Tack vare den europeiska arresteringsordern har unionen lyckats minska tiden för överlämnande betydligt, i många fall från ett eller två år till bara en eller två månader."
"I welcome this report which attempts to evaluate the European Arrest Warrant (EAW), its effectiveness and the problems it has encountered since its adoption.", "– Jag välkomnar detta betänkande som syftar till att utvärdera den europeiska arresteringsordern, dess effektivitet och de problem som har uppkommit sedan den antogs."
". - Madam President, since 2004, I have warned that the European Arrest Warrant (EAW) could be used as an instrument of oppression against political dissidents.", "frågeställare. - (EN) Fru talman! Jag har sedan 2004 varnat för att den europeiska arresteringsordern skulle kunna användas som instrument för förtryck av politiskt oliktänkande."
"The Commissioner is right to say that the EAW is the kind of measure which European Union citizens expect to see from the justice and home affairs portfolio.", "(EN) Kommissionsledamoten har rätt när han säger att den europeiska arresteringsordern är den typ av åtgärd som EU:s medborgare förväntar sig av politiken inom rättsliga och inrikes frågor."
