//Sentences
"In addition, the neutrality of the ECtHR judges is not guaranteed.", "Dessutom finns det inte några garantier för att Europadomstolens domare är neutrala."
"- B5-0099/ 2004 by Bastiaan Belder, on behalf of the EDD Group, on the parliamentary elections in Iran.", "- B5-0099 / 2004 av Bastiaan Belder, för EDD-gruppen, om parlamentsvalet i Iran."
"- B5-0099/2004 by Bastiaan Belder, on behalf of the EDD Group, on the parliamentary elections in Iran.", "- B5-0099/2004 av Bastiaan Belder, för EDD-gruppen, om parlamentsvalet i Iran."
"2007 discharge: Seventh, Eighth and Ninth European Development Funds (EDF) (", "Ansvarsfrihet 2007: sjunde, åttonde och nionde Europeiska utvecklingsfonden (EUF) ("
"However, the 10th EDF (2008-2013) has at the moment come to a standstill.", "Den tionde Europeiska utvecklingsfonden (2008-2013) har dock kört fast i nuläget."
"2008 discharge: seventh, eighth, ninth and tenth European Development Funds (EDF)", "Ansvarsfrihet för 2008: sjunde, åttonde, nionde och tionde Europeiska utvecklingsfonden"
"I am delighted that Mrs Rühle has done such a great job on the EDF report.", "Det gläder mig att Rühle har gjort ett sådant bra arbete om EDF-betänkandet."
"As we know, the new 10th EDF can only start to run as from the beginning of 2008.", "Som vi vet kan den nya tionde EUF träda i kraft först i början av 2008."
"In the meantime, nearly all country strategies of the 10th EDF have been completed.", "Under tiden har nästan alla landstrategier i den tionde utvecklingsfonden färdigställts."
"As regards the volume of the next EDF, the EU has made its financial proposal.", "Vad beträffar storleken på nästa EUF, har EU lämnat sitt budgetförslag."
"This involves the agriculture budget and the EDF, a total of ECU 50 billion.", "Det gäller då jordbruksbudgeten och EOF. Tillsammans är det 50 miljarder."
"This figure is almost double the amount allocated under the 9th EDF.", "Det är nästan dubbelt så mycket som det belopp som anslogs inom den nionde EUF."
"EDF, EON and RWE are buying up other companies with billions from these funds.", "EDF, EON och RWE köper upp andra bolag med miljarder ur dessa fonder."
"2009 discharge: Eighth, Ninth and Tenth European Development Funds (EDF) (", "Ansvarsfrihet för 2009: Åttonde, nionde och tionde Europeiska utvecklingsfonden (EUF) ("
"However, the case hinged on whether the EDF was Community expenditure or not.", "Emellertid hängde fallet på huruvida EUF kan räknas som utgifter för gemenskapen eller ej."
"This is also the case for the billion of EDF money we are reallocating.", "Det gäller också för den miljard EUF-pengar som vi håller på att omfördela."
"Now, we have the French EDF company signing into South Stream.", "I dagarna undertecknade franska EDF ett avtal som gör företaget till delägare i South Stream."
"We also have a clear commitment on the ninth EDF and the financial perspective.", "Vi har likaså ett tydligt åtagande om den nionde europeiska utvecklingsfonden och budgetplanen."
"The 10 new Member States will be taking part in and contributing to an EDF for the first time.", "De 10 nya medlemsstaterna kommer för första gången att delta i och bidra till EUF."
"I also think that this scrutiny should explicitly form part of the implementation of the EDF.", "Jag anser också att denna granskning uttryckligen bör ingå vid genomförandet av EUF."
"Should the 10th EDF include a programming document on the African Union?", "Bör den tionde EUF innehålla ett programdokument om Afrikanska unionen?"
"The European Treaty contains no provision for the inclusion of the EDF in the Community budget.", "I Europafördraget finns inget reglerat om upptagande av EUF i gemenskapens budget."
"I should like to conclude by saying a few words about the budgetisation of the EDF.", "Jag vill avsluta med att säga några ord om budgeteringen för EUF."
"Even the amendments tabled on behalf of the I-EDN group should be rejected.", "Även alla ändringsförslag som lagts fram för I-EDN-gruppens räkning borde förkastas."
"The I-EDN Group asked for a roll call vote on two essential points.", "Gruppen I-EDN har begärt omröstning genom namnupprop på två grundläggande punkter."
"The amendments by Mr Souchet of the I-EDN Group are all very sound and we will be voting for most of them.", "Souchets ändringsförslag från I-EDN-gruppen är alla mycket kloka och vi kommer att rösta för de flesta av dem."
"Lindqvist (ELDR), Sjöstedt and Svensson (GUE/NGL), Gahrton and Holm (V), Bonde and Sandbæk (I-EDN), in writing.", "Lindqvist (ELDR), Sjöstedt och Svensson (GUE/NGL), Gahrton och Holm (V), Bonde och Sandbæk (I-EDN), skriftlig."
"The Dutch section of the I-EDN group thinks that every reasonable effort should be made to combat smoking in the Union.", "I-EDN: s nederländska undergrupp anser att alla klutar måste sättas in i arbetet för att motverka rökningen inom EU."
"The I-EDN Group voted for this report because the six amendments that it had proposed in committee were adopted.", "I -EDN -gruppen har röstat för det här betänkandet, eftersom våra sex ändringsförslag som lades fram i utskottet har antagits."
"(Applause from the I-EDN Group)", "(Applåder från I-EDN-gruppen)"
"Lindqvist (ELDR), Seppänen and Sjöstedt (GUE/NGL), Holm, Lindholm and Schörling (V), Bonde, Krarup and Sandbæk (I-EDN), in writing.", "Lindqvist (ELDR), Seppänen och Sjöstedt (GUE/NGL), Holm, Lindholm och Schörling (V), Bonde, Krarup och Sandbæk (I-EDN), skriftlig."
"The main criteria to be used in the assessment of the Treaty of Amsterdam have been summarized in Amendment No 32 made by the I-EDN group.", "De huvudsakliga kriterierna i vars ljus Amsterdamfördraget skall bedömas har sammanfattats i ändringsförslag 32 från I-EDN-gruppen."
"Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt and Svensson (GUE/NGL), Gahrton, Holm, Lindholm and Schörling (V), Bonde (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt och Svensson (GUE/NGL), Gahrton, Holm, Lindholm och Schörling (V), Bonde (I-EDN), skriftlig."
"Lindqvist (ELDR), Eriksson, Seppänen and Sjöstedt (GUE/NGL), Gahrton, Holm, Lindholm and Schörling (V), Krarup and Sandbæk (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen och Sjöstedt (GUE/NGL), Gahrton, Holm, Lindholm och Schörling (V), Krarup och Sandbæk (I-EDN), skriftlig."
"Lindqvist (ELDR), Eriksson, Seppänen and Sjöstedt (GUE/NGL), Gahrton, Holm, Lindholm and Schörling (V), Krarup and Sandbaek (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen och Sjöstedt (GUE/NGL), Gahrton, Holm, Lindholm och Schörling (V), Krarup och Sandbæk (I-EDN), skriftlig."
"That is why we, in conjunction with the EDN Group and Mr Macartney, have proposed an amendment calling for a mid-term review of the agreement.", "Det är därför som vi, i samarbete med EDN-gruppen och Macartney, har lagt fram ett ändringsförslag som uppmanar till halvtidsöversyn av detta avtal."
"I am disappointed with the I-EDN Group which chose to table amendments and ask for split votes, thus taking up valuable time in this House.", "Jag är besviken på I-EDN-gruppen, som valde att lägga fram ändringsförslag och begära delad omröstning, varigenom denna kammares värdefulla tid ianspråktagits."
"Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt and Svensson (GUE/NGL), Holm and Lindholm (V), Bonde, Lis Jensen, Krarup and Sandbæk (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt och Svensson (GUE/NGL), Holm och Lindholm (V), Bonde, Lis Jensen, Krarup och Sandbæk (I-EDN), skriftlig."
"Lindqvist (ELDR), Eriksson, Seppänen and Sjöstedt (GUE/NGL), Gahrton, Holm and Schörling (V), Bonde, Lis Jensen, Krarup and Sandbaek (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen och Sjöstedt (GUE/NGL), Gahrton, Holm och Schörling (V), Bonde, Lis Jensen, Krarup och Sandbæk (I-EDN), skriftlig."
"the Terrón i Cusí reportLindqvist (ELDR), Eriksson, Seppänen, Sjöstedt and Svensson (GUE/NGL), Gahrton, Holm and Schörling (V), Sandbæk (I-EDN), in writing.", "Betänkande av Terrón i CusíLindqvist (ELDR), Eriksson, Seppänen, Sjöstedt och Svensson (GUE/NGL), Gahrton, Holm och Schörling (V), Sandbæk (I-EDN), skriftlig."
"Before outlining the I-EDN Group's position, it should be recalled that the production of durum wheat was badly handled by the 1992 CAP.", "För att tydliggöra den ståndpunkt som har antagits av I-EDNgruppen är det nödvändigt att påminna om att vi inom den gemensamma jordbrukspolitiken har misskött 1992 års produktion av durumvete."
"For the same reason it also voted for the PSE resolution and when both of the above resolutions were rejected it of course voted against the UPE and EDN resolutions.", "Av samma anledning röstade gruppen också för PSE: s resolution och när båda de ovanstående resolutionerna naturligtvis förkastades, den mot UPE: s och EDN: s resolutioner."
"Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt and Svensson (GUE/NGL), Gahrton, Holm, Lindholm and Schörling (V), Bonde, Lis Jensen, Krarup and Sandbaek (I-EDN), in writing.", "Lindqvist (ELDR), Eriksson, Seppänen, Sjöstedt och Svensson (GUE/NGL), Gahrton, Holm, Lindholm och Schörling (V), Bonde, Lis Jensen, Krarup och Sandbæk (I-EDN), skriftlig."
"I am also very gratified that the European Commission is to examine the EE symbol again.", "Jag är också mycket tacksam för att kommissionen ska undersöka EE-symbolen igen."
"Many people believe that the EE symbol is a safety mark, but unfortunately it is not.", "Många människor tror att EE-symbolen är en säkerhetsmärkning, men tyvärr är den inte det."
"Nomination of a member of the Court of Auditors - Ms Kersti Kaljulaid (EE) (", "Nominering av en ledamot av revisionsrätten - Kersti Kaljulaid (EE) ("
"Weapons that were forged from the same ore...... and have never b ee n crossed.", "Vapen smidda av samma metall...... som ännu ej drabbats samman."
"I want to make your sister my qu ee n before I return to my kingdom.", "Jag vill göra din syster drottning innan jag återvänder till mitt rike."
"And when I thought of what s ee med to be happening, I couldn't bear it.", "Jag stod inte ut med tanken på vad som verkade vara på väg att ske."
"Did you find you couldn't love a qu ee n as well as you did a passing stranger?", "Kunde du inte älska en drottning lika väl som en främling?"
"But when he came again...... it was as if his heart had b ee n wiped clean.", "Men när han återvände - - var det som om hans hjärta tömts."
"Why would I help you and not k ee p the whole hoard for myself?", "Varför skulle jag hjälpa dig i stället för att behålla den själv?"
"Once the treasure is gone, there is nothing to k ee p him here.", "När skatten väl är borta har han inget som knyter honom hit."
"No one may enter the church until the Qu ee n of the Burgunds does so.", "Ingen får gå in i kyrkan före drottningen av Burgund."
"With all the gold you brought back, you don't n ee d to work.", "Med allt guld du förde med dig behöver du aldrig mer arbeta."
"But you and your qu ee n are children of the old world too.", "Men du och din drottning, ni är också barn av gamla världen."
". - Energy efficiency (EE) is the most cost-efficient measure to reduce greenhouse gas emissions.", "Energieffektivitet är den mest kostnadseffektiva åtgärden för att minska utsläppen av växthusgaser."
"You insult the Qu ee n of Burgund in public with these lies?", "Förolämpar du mig med dina lögner inför allmänheten?"
"But no man can hope to succ ee d at such tasks, majesty.", "Men den man som klarar det existerar inte, ers höghet."
"It is not I who come to challenge you, great qu ee n.", "Det är inte jag som är här för att utmana er, drottning."
"I n ee d your best iron to help my men fight the dragon.", "Jag behöver ditt bästa järn för att bekämpa draken."
"Maanteeamet Estonian Road Administration Pärnu mnt 463a EE - 10916 Tallinn Tel.: +372 6201 200- at 8.30-16.30", "Maanteeamet Estonian Road Administration Pärnu mnt 463a EE - 10916 Tallinn Tel.: +372 6201 200- at 8.30-16.30"
"And I will know that man as soon as I s ee him.", "Jag kommer att känna igen honom så fort jag ser honom."
"more_vert open_in_new Link to europa.eu warning Request revision The EEC and EFTA start formal negotiations for the creation of the European Economic Area (EEA).", "expand_more EEG och EFTA inleder formella förhandlingar om att inrätta Europeiska ekonomiska samarbetsområdet (EES)."
"more_vert open_in_new Link to European Parliament warning Request revision The EFTA/ EEA partners must also ratify the participation of applicant countries in the EEA.", "expand_more Parterna i EFTA-EES måste också erkänna kandidatländernas deltagande i EES."
"The EEA is responsible for developing Eionet and coordinating its activities.", "Miljöbyrån ansvarar för att vidareutveckla Eionet och samordna verksamheten."
"The European Environment Agency (EEA) last year held an expert workshop on pharmaceuticals.", "Europeiska miljöbyrån (EEA) anordnade förra året ett expertseminarium om läkemedel."
"They all concern the involvement of the EEA and/or IMPEL in certain activities relating to inspections.", "De avser alla medverkan av EEA och/eller IMPEL i vissa aktiviteter som gäller inspektioner."
"They all concern the involvement of the EEA and/ or IMPEL in certain activities relating to inspections.", "De avser alla medverkan av EEA och / eller IMPEL i vissa aktiviteter som gäller inspektioner."
"Then along came three more Member States and all the EEA countries.", "Sedan tillkom tre medlemsstater och alla EWR-staterna."
"It is strange that neither Switzerland nor any of the EEA countries are among them, although they would be the best suited of all to join.", "Nu pågår som bäst förhandlingar om tolv länders anslutning till Europeiska unionen."
"I believe we hope to repeat a meeting with the EEA-EFTA Foreign Ministers and our Committee on Foreign Affairs.", "Betänkandet har utarbetats på utskottets eget initiativ inom ett område där Europaparlamentet inte har någon behörighet."
"How exactly are the EEA negotiations progressing?", "Resultaten var mycket intressanta."
". - (PT) The goal of the European Environment Agency (EEA) is to make available credible and independent information about the environment.", "skriftlig. - (PT) Europeiska miljöbyråns mål är att tillhandahålla tillförlitlig och oberoende information om miljön."
"For instance, the EEA Scientific Committee said it believed the EU should suspend the 10% target for biofuel use by 2020.", "Europeiska miljöbyråns vetenskapliga kommitté har t.ex. sagt att man anser att EU bör skjuta upp målet att biobränslen ska stå för 10 procent av förbrukningen 2020."
"If we start to proceed according to the EEA system even at this point - defining the common rules and then asking the candidate states their opinion - we can integrate them.", "Skulle man redan nu gå tillväga enligt EMU-systemet så kan man integrera dessa länder - gemensamma regler sätts då och de inträdesvilliga länderna tillfrågas."
"I have had respect for Finnish politicians ever since I was a young man and I have cooperated with your foreign minister in the EEA and with your prime minister in the Convention.", "Jag har respekterat finska politiker ända sedan jag var en ung man och jag har samarbetat med er utrikesminister inom EEA och med er statsminister i konventet."
"Einheitlicher Ansprechpartner - Stabsstelle EWR Point of Single Contact - EEA Coordination Unit Austrasse 79 / Europark FL - 9490 Vaduz Tel.: +423 236 60 37 E-mail: info[at]sewr.llv.li", "Einheitlicher Ansprechpartner - Stabsstelle EWR Point of Single Contact - EEA Coordination Unit Austrasse 79 / Europark FL - 9490 Vaduz Tel.: +423 236 60 37 E-mail: info[at]sewr.llv.li"
"For example, the constitution of free trade zones, on the model of the extended European Economic Area (EEA+), represents an initial step towards developing closer relations with these countries.", "Upprättandet av frihandelsområden, i form av ett Europeiskt ekonomiskt samarbetsområde plus (EEA +) är till exempel ett första steg mot att utveckla närmare förbindelser med dessa länder."
"more_vert open_in_new Link to statmt.org warning Request revision Switzerland is a different case, because it has not ratified the EEA Agreement.", "expand_more Schweiz är ett särfall eftersom landet inte har ratificerat EES-avtalet."
"Article 128 of the EEA Agreement provides for a procedural mechanism for the accession of new states to the EEA.", "I artikel 128 i EES-fördraget anges en förfarandemekanism för nya medlemsstaters anslutning till EES."
"Secondly, it stipulates that the conditions for participation are the subject of an agreement between the contracting parties to the EEA Agreement and the applicant country.", "För det andra att villkoren för deltagande skall bestämmas genom ett avtal mellan EES-fördragets parter och kandidatlandet."
"As the EEA agreement is also part of the acquis communautaire, in ratifying the accession treaty the Member States will also be ratifying EEA extension.", "Eftersom EES-fördraget också är en del av gemenskapens regelverk skall medlemsstaternas erkännande av anslutningsfördraget samtidigt innehålla ett erkännande av EES-utvidgningen."
