//Sentences
"Flight 115 to Albuquerque, New Mexico.", "Flight 115 till Albuquerque, New Mexico."
"In future we shall want to give the competition mergers department, more work, because the market should play an even bigger role in telecoms than it does at the moment.", "I framtiden skall vi vilja ge konkurrensenheten för koncentrationer, mer arbete på grund av att marknaden bör spela en ännu större roll för telekommunikationssektorn än den gör för ögonblicket."
"However, the precondition for a bigger role for European Union delegations is ensuring that they have the necessary staff and the other resources to take on these new responsibilities.", "Förhandsvillkoret för en utökad roll för Europeiska unionens delegationer är dock att det säkerställs att de har den personal som krävs och de övriga resurserna för att ta på sig det nya ansvaret."
"What goals is this ant trying to achieve by climbing this blade of grass?", "Vilka mål försöker myran uppnå genom att klättra upp för grässtrået?"
"The blade is folded steel, that's gold filigree laid into the handle.If I may?", "Bladet är av stål.Det är gulplädering i handtaget."
"All right, look... you better put that goddamn blade away, man.", "Okej, lyssna nu... nu får du lägga bort den där jävla kniven."
"So you're out in the woods, or you're out in the pasture, and you see this ant crawling up this blade of grass.", "Tänk dig att du är ute i skogen, eller i en hage och ser en myra som klättrar upp för ett grässtrå."
"There's a blade here that's going to cut across a section of the tissue and transfer it to a microscope slide.", "Här finns ett blad som skär rakt igenom en sektion av vävnaden och för över den till ett objektglas."
"The blade that was broken shall return to Minas Tirith.", "Det brutna svärdet skall åter föras till Minas Tirith."
"A blade is forged to drink the blood of enemies.", "Ett svärd är smitt för att dricka blodet från dess fiender."
"It climbs up to the top, and it falls, and it climbs, and it falls, and it climbs -- trying to stay at the very top of the blade of grass.", "Den klättrar upp till toppen, faller ner, klättrar, faller, klättrar -- försöker hålla sig ytterst på stråets spets."
"You have some skill with a blade.", "Du har skicklighet med klingan."
"Regulation No 622/2003, as modified by Regulation No 68/2004, does not ban knives or scissors unless the blade is longer than 6 cm.", "I förordning 622/2003, ändrad genom förordning 68/2004, förbjuds inte knivar eller saxar såvida bladet inte är längre än 6 cm."
"My best blade is forged.", "Min bästa klinga har smitts."
"I can feel his blade.", "Jag kan känna hans dolk."
"She twists the blade", "Hon vrider om bladet."
"Regulation No 622/ 2003, as modified by Regulation No 68/ 2004, does not ban knives or scissors unless the blade is longer than 6 cm.", "Tack för att ni tog upp detta problem, som är betydelsefullt, så att flygpassagerare i EU naturligtvis kan åtnjuta den säkerhet som krävs, men samtidigt skyddas mot meningslösa olägenheter."
"Salmon swim upstream to get to their spawning grounds, and lancet flukes commandeer a passing ant, crawl into its brain, and drive it up a blade of grass like an all-terrain vehicle.", "Laxen simmar uppströms för att leka, parasiten ger sig på en förbipasserande myra, kryper in i hjärnan på den och kör den upp för ett grässtrå som ett terrängfordon."
"This communication will be based on a study carried out by an external consultant.", "Detta meddelande kommer att basera sig på en studie utförd av en extern konsult."
"The survey should be undertaken by an independent study group or consultant.", "Man borde låta ett opartiskt undersökningsinstitut eller en konsult göra utredningen."
"An invitation to tender has been published for the purposes of recruiting this external consultant.", "En anbudsinfordran har gjorts för att rekrytera denna externa konsult."
"We have 3,000 non-consultant hospital doctors, or junior doctors.", "Vi har 3 000 icke-konsulterande sjukhusläkare eller unga läkare."
"Danish financial consultant Kim Valentin suggests a rescue fund financed by the banks themselves.", "Den danska finanskonsulten Kim Valentin föreslår en räddningsfond som finansieras av bankerna själva."
"How are members of the public meant to submit applications if they have to get a consultant to do it for them?", "Vi får inte låta oss infångas av någon slags finansiell imperialism."
"Educational and Work Background: Careercounsellor and consultant with a Master of Science in Pedagogy.", "Utbildnings- och yrkesbakgrund: Studie- och yrkesvägledare och konsult med magisterexamen i pedagogik."
"The views expressed in the study are those of the consultant.", "De åsikter som kommer till uttryck är konsultens."
"Mr Kirkhope has not turned himself into a political consultant and has not and does not lobby the European Parliament.", "Reportaget, som man senare hänvisade till på " BBC News ", innehöll en rad oriktiga uppgifter."
"I´m currently working as a consultant at a small company in Uppsala, which is targeted to the nuclear industry.", "Just nu jobbar jag som konsult på ett litet företag i Uppsala som är inriktade mot kärnkraftsindustrin."
"From global management consultant to elephant handler.", "Från global managementkonsult till elefantförare."
"Subject: Directives on the recognition of diplomas and discrimination against consultant engineering firms", "Angående: Direktiven om erkännande av behörighetsgivande högre utbildning och diskriminering av tekniska rådgivare"
"Margareta Josefsson, consultant, board member HNV", "Margareta Josefsson, konsult, styrelseledamot HNV"
"How are members of the public meant to submit applications if they have to get a consultant to do it for them?", "Hur är det tänkt att allmänheten skall kunna lämna in ansökningshandlingar om de måste ha en konsult för att göra det åt dem?"
"Maria Öqvist, senior consultant, iTid", "Maria Öqvist, senior consultant, iTid"
"Mr Kirkhope has not turned himself into a political consultant and has not and does not lobby the European Parliament.", "Kirkhope har inte blivit politisk rådgivare och har inte sysslat med eller sysslar just nu med lobbying som riktas mot Europaparlamentet."
"The home of Stanislav Dmitrievsky, a consultant to the Nizhny Novgorod Foundation for the Promotion of Tolerance, has been attacked.", "Stanislav Dmitrievskij, en konsult för Nizhny Novgorods stiftelse för främjandet av tolerans har utsatts för attacker mot sitt hem."
"Third, we commissioned an independent consultant to carry out an impact assessment of the legislative options set out in the Green Paper.", "För det tredje lät vi en oberoende konsult genomföra en konsekvensbedömning av lagstiftningsalternativen som angetts i grönboken."
"Training outline consultant", "Rapportering Praktik 2013"
"Professor Span of Frankfurt University, a former IMF consultant, has presented a study to the German government.", "Professor Span från universitetet i Frankfurt, före detta rådgivare för Internationella valutafonden, har överlämnat en utredning till den tyska regeringen."
"A new era in the integration of a fairer Europe which shows greater solidarity.", "En ny era i integrationen av ett mer rättvist EU som visar större solidaritet."
"It guarantees fairer conditions for session musicians in relation to soloists.", "Det garanterar rättvisare villkor för sessionsmusiker i förhållande till solister."
"This includes making allocations in the first pillar, in particular, fairer.", "I detta ingår att göra anslagen från i synnerhet den första pelaren mer rättvisa."
"We need a fairer distribution of wealth between countries and within each country.", "Vi behöver en rättvisare fördelning av välståndet mellan länder och inom varje land."
"By raising working standards, its effect will be to allow fairer competition.", "En förbättring av arbetsnormerna kommer att leda till lojalare konkurrens."
"This is the new revolution that we need in order to have a fairer world in the future.", "Detta är den nya revolution som behövs för att göra världen rättvisare i framtiden."
"The new EU financing system must be more transparent, simpler and fairer.", "EU måste få ett mer transparent, enklare och mer rättvist finansieringssystem."
"In other words: we have to build a better, fairer future for later generations.", "Med andra ord måste vi skapa en bättre och mer rättvis framtid för kommande generationer."
"We must also strive to achieve a fairer system of trade with third-world countries.", "Vi måste också eftersträva ett mer rättvist handelssystem med länderna i tredje världen."
"I should have also thought this fairer than leaving the work to us.", "Jag skulle även ha tyckt att det varit rättvisare än att överlåta arbetet på oss."
"Fourthly, we want a revised and fairer system for the EU's own resources.", "För det fjärde - ett reviderat och rättvisare system för EU:s egna medel."
"Auctions are fairer than picking winners, which can be more subjective and less transparent.", "Vid skönhetstävlingar favoriseras ofta innehavare med en fastställd historia."
"We therefore need to create a fairer tax system, as harmonisation is not enough.", "Europa har kanske många arbetslösa, men har aldrig varit så rikt."
"Make the system fairer and more transparent, and then we can talk about own resources.", "Gör systemet rättvisare och öppnare så kan vi tala om egna medel sedan."
"What we are talking about here is fairer rules when cases come to court.", "Vad vi här talar om är rättvisare regler när en sak dras inför domstol."
"What greatly worries me, though, is that on one point the Directive is not being made fairer.", "Men jag är mycket oroad över att direktivet på en viss punkt inte blir mer rättvist."
"This can create fairer conditions that would benefit everyone involved.", "Detta kan skapa rättvisare villkor som är fördelaktiga för alla parter."
"It may be that this will give us the right to a fairer judgment than is sometimes the case now.", "Då kanske vi kan göra en mer rättvis bedömning än vad som i bland är fallet just nu."
"It is time for action and the EU can lead this campaign for global fairer taxation.", "Det är dags för handling, och EU kan leda denna kampanj för en rättvisare beskattning i världen."
"European agricultural policy needs to be fairer, and it needs to be fairer to the environment.", "EU:s jordbrukspolitik måste vara rättvisare och den måste vara rättvisare för miljön."
"In a few cases Parliament has identified weaknesses and asked for a response from me.", "I några få fall har parlamentet identifierat svagheter och bett mig om en reaktion."
"Only in very few cases is this beneficial or even fair to the consumer.", "Endast i ett fåtal fall är detta gynnsamt eller till och med rättvist för konsumenten."
"Now looking at a few cases, here's one of the first cases that we had.", "Låt oss titta på några fall, här är ett av de första fallen som vi hade."
"I just wanted to go over a few cases that several of you mentioned: recent events, obviously.", "Jag ville bara gå igenom ett fåtal aktuella fall som flera av er nämnde."
"These few cases show what kind of ethical questions this technology can give rise to.", "Detta ringa antal nyheter visar vilka etiska frågor som är förenade med och väcks av detta ämne."
"In a few cases Parliament has identified weaknesses and asked for a response from me.", "Vid talmanskonferensen förra veckan framförde jag mina reaktioner på skrivelserna från parlamentsutskotten."
"The reason is quite simple: in too few cases is the decrease in taxation passed on to the consumer.", "Anledningen är ganska enkel: i alltför få fall har den sänkta skatten delgivits konsumenterna."
"In the few cases when discharges are traced, there are very few prosecutions, and hardly any punishment.", "I de fåtal fall där utsläppen spåras, väcks mycket få åtal och nästan inga straff utdöms."
"At present they cannot do so, except in a very few cases.", "För närvarande kan de inte göra det utom i mycket få fall."
"Few cases of torture are admitted by the Spanish courts.", "Få fall av tortyr erkänns av de spanska domstolarna."
"We are aware of quite a few cases of a person being executed and his innocence being proved only afterwards.", "Vi känner till ett antal fall där personer har avrättats och deras oskuld har bevisats först i efterhand."
"I can cite very few cases of joint programming.", "Jag kan ange mycket få fall av gemensam programplanering."
"Lack of knowledge may be due to the fact that this fund has provided assistance in relatively few cases as yet.", "De dåliga kunskaperna kanske kan bero på att det finns relativt få fall där stöd från denna fond anslagits."
"The European Court of Justice considered these few cases.", "EG-domstolen har beaktat dessa enstaka fall."
"And if you look at this image -- here we are now in September the 13th -- you're going to see a few cases light up.", "Och om du tittar på den bild --här är vi nu den 13:e September -- du kommer se några få fall som lyser till."
"The reason is quite simple: in too few cases is the decrease in taxation passed on to the consumer.", "Man skapar 52 procent mer sysselsättning genom att reducera arbetets omkostnader, i stället för att reducera mervärdesskatten."
"There will continue to be a few cases.", "Det kommer fortfarande att ske vissa sjukdomsutbrott."
"We have already done so in a few cases; for example the agreement with Albania has been signed and is already in force.", "Vi har redan gjort det i en del fall; till exempel har avtalet med Albanien undertecknats och är redan i kraft."
"In a few cases it has been common practice for some time to supply the raw ingredients to treat the patient.", "I ett fåtal fall har det blivit vanligt att under en viss tid leverera de oberedda ingredienserna som behövs för behandlingen av patienten."
"Having said that, there have been a few cases of abuse, notably in Serbia and in the Former Yugoslav Republic of Macedonia.", "Efter att ha sagt detta, så har det förekommit några fall av missbruk, framför allt i Serbien och i f.d. jugoslaviska republiken Makedonien."
"In the display area, only the documents fitting this selection will be displayed.", "I visningsområdet syns bara de dokument som motsvarar de val som du har gjort här."
"Only that sort of Commission will be a worthy and fitting partner for Parliament.", "Enbart en sådan kommission kan vara en jämbördig och lämplig partner till parlamentet."
"In my opinion, such actions are hardly a fitting testimony for the European Parliament.", "Jag tror inte att Europaparlamentet får bra betyg genom att agera på det sättet."
"The Council's report for 2007 provides a fitting description of these issues.", "Rådets rapport för 2007 innehåller en passande beskrivning av dessa frågor."
"Both conditions must be taken into consideration when fitting out vehicles.", "Man måste ta hänsyn till båda dessa förhållanden när det gäller fordonens utrustning."
"It was splendidly fitting travel reading for this historic part-session.", "Det var en synnerligen lämplig reselektyr inför detta historiska sammanträde."
"That would be a fitting climax for the Year of Education through Sport.", "Detta skulle vara höjdpunkten för Europeiska året för utbildning genom idrott."
"I believe that this would also be a fitting tribute to such a great man.", "Jag anser även att detta skulle vara en passande hyllning till en så framstående man."
"No, she's going up to Chicago with Michelle for the final dress fitting.", "Nej, hon åker med Michelle till Chicago för att göra i ordning klänningen."
"In my opinion, the 2014 deadline is fitting and could even be extended.", "Jag anser att tidsfristen 2014 är lämplig och till och med kan förlängas."
"In fact, the report is a fitting and valuable contribution to the debate on eco-labelling.", "Betänkandet är faktiskt ett passande och värdefullt bidrag i debatten om miljömärkning."
"Rubber granules can be used as material for Safety fitting on shooting ranges.", "Gummigranulat kan användas som material i kulfång på skjutbanor."
"I think it is fitting to devote special attention to that aspect too.", "Jag anser att vi måste ägna särskild uppmärksamhet även åt denna aspekt."
"It is fitting and heartening to note this, but there is still much to do.", "Det är lämpligt och uppmuntrande att notera detta, men det finns fortfarande mycket att göra."
"Preferential treatment for certain complainants is not fitting conduct for a neutral judge.", "Förmånsbehandling för vissa klagande är inte ett lämpligt uppförande av en neutral domare."
"This would be a fitting way to mark the UN's Millennium Summit.", "Detta skulle vara ett passande sätt att framhäva FN: s millennietoppmöte."
"This would be a fitting way to mark the UN's Millennium Summit.", "Detta skulle vara ett passande sätt att framhäva FN:s millennietoppmöte."
"It has vigorously exercised its parliamentary right of scrutiny, which is only right and fitting.", "Det har eftertryckligen utövat sina parlamentariska kontrollbefogenheter, och det är bra."
"We shall then consider your amendments in a fitting manner in this proposal.", "I det förslaget kommer vi att beakta era ändringsförslag."
"Subsidiarity is a fitting subject for political speeches, but does not feature in legislation.", "Subsidiaritetsfrågan lever i festtalen men inte i lagstiftningen."
"The economic challenges are formidable but the potential rewards are great.", "De ekonomiska utmaningarna är gigantiska men den eventuella belöningen är stor."
"I am confident that we will succeed and overcome the formidable challenges.", "Jag är säker på att vi kommer att lyckas och klara av de väldiga utmaningarna."
"I believe the customs system faces formidable challenges in the coming years.", "Jag anser att tullsystemet står inför enorma utmaningar de kommande åren."
"A formidable sword of Damocles thus hangs above our cultural policies.", "Ett fruktansvärt damoklessvärd hänger därför fortfarande över vår kulturpolitik."
"You cannot imagine how formidable you are as the Parliament of Europe.", "Ni kan inte föreställa er hur formidabla ni är i egenskap av Europaparlamentet."
"You succeeded in the formidable task of enabling your country to join the euro.", "Ni lyckades med den enorma insatsen att ansluta ert land till euron."
"The reality is that it is a complex issue with formidable challenges.", "Verkligheten är att det är en komplicerad fråga som är förenad med väldiga utmaningar."
"These two cornerstones have recently been subject to particularly formidable attacks, however.", "Dessa två grunder har just utsatts för två synnerligen motbjudande attacker."
"At second reading some formidable obstacles remained to be cleared.", "Till den andra behandlingen återstod det att undanröja några enorma hinder."
"Milosevic bears a formidable responsibility for the persecution of the Kosovo Albanians.", "Milosevic bär på ett fruktansvärt ansvar för den förföljelse som kosovoalbanerna utsätts för."
"It is this gentleman who has the formidable task of carrying out this semantic classification.", "Det är denne herre, som har den väldiga uppgiften att utföra denna semantiska indelning."
"This is a formidable document that should commend itself to the people of Europe.", "Det är en imponerande handling som bör tilltala EU:s folk."
"It is a formidable problem, not just in this connection, as well we know.", "Det är en svår fråga, inte bara inom detta område, det vet vi."
"There is some basis for this, because we have a formidable advantage.", "Det finns viss fog för detta, för vi har en oerhörd fördel."
"I hope I have made it clear what a formidable task we face.", "Jag hoppas att jag har klargjort vilken väldig uppgift vi står inför."
"We really do face some formidable tasks in this area.", "Vi står verkligen inför tämligen överväldigande uppgifter på detta område."
"Raised ozone concentrations constitute a formidable health risk.", "De förhöjda ozonkoncentrationerna utgör en betydande hälsorisk."
"But for developing countries the stakes are even more formidable.", "Men för utvecklingsländerna är den en ännu större sak."
"We are aware that many of Mr Kinnock' s proposed reforms have come up against pretty formidable resistance.", "Vi vet att många av Kinnocks utmärkta reformförslag stött på ett närmast formidabelt motstånd."
"Since then there have been huge strides forward, but there are still formidable challenges ahead of us.", "Sedan dess har det skett stora framsteg, men det ligger fortfarande väldiga utmaningar framför oss."
"Parliament is fighting the good fight, the Commission is fighting the good fight.", "Parlamentet kämpar, kommissionen kämpar."
"You keep fighting the good fight, sir.", "Fortsätt att kämpa herrn!"
"The daughter of a Russian father and Chechen mother, she is in Grozny fighting the good fight for the recognition of human rights: a symbol in herself!", "Hennes far är ryss och hennes mor är från Tjetjenien, och själv är hon i Groznyj och arbetar för mänskliga rättigheter. Hon är i sig själv en symbol."
"The Council often talks a good fight on many issues but sadly, in our experience it is often the Council that finds it the most difficult to take the final decisions.", "Rådet talar ofta vitt och brett om många frågor, men vår erfarenhet visar tyvärr att det ofta är rådet som har svårast för att fatta de slutliga besluten."
"We should be allowed to go there, and we are going to go and have a good fight", instead of watching the wonderful festival of football that it should have been.", "Vi borde få åka dit, och det är just vad vi skall göra och få oss ett uppiggande slagsmål", i stället för att titta på den underbara fotbollsfest det borde ha blivit."
"We should be allowed to go there, and we are going to go and have a good fight ", instead of watching the wonderful festival of football that it should have been.", "Vi borde få åka dit, och det är just vad vi skall göra och få oss ett uppiggande slagsmål ", i stället för att titta på den underbara fotbollsfest det borde ha blivit."
"I mean that most sincerely, and we shall miss her as a colleague when she is no longer part of this House and no longer fighting the good fight on consumer affairs.", "Det menar jag med absolut uppriktighet, och vi kommer att sakna henne som kollega när hon inte längre är kvar i parlamentet och inte längre hetsar upp sig i konsumentfrågor."
"The natives of Quebec are putting up a good fight in defence of French, but the collapse of their birthrate, since the onset of what is known as the silent revolution, makes this battle in vain.", "Invånarna i Quebec hänger sig åt en skön kamp i försvaret av det franska, men striden är meningslös efter den så kallade tysta revolutionen då deras nationalitet störtade samman."
