//Sentences
"This explains why companies relocate to where the return on capital is greatest.", "Det förklarar att företagen flyttar dit där avkastningen på kapitalet är bäst."
"It is also important to emphasise that we need to remain realistic.", "Det är också viktigt att betona att vi måste vara realister, och inte får sväva ut i önskedrömmar."
"We should stop dreaming of cure-all renewable energy sources and remain realistic.", "Jag förmodar att han syftade på Eurovinjett och vill, med utgångspunkt i det, redogöra för ordförandeskapets inställning."
"All of this could take several years and it is therefore necessary to remain firm but realistic in our expectations.", "Allt detta kan ta flera år och det är därför nödvändigt att ha bestämda men realistiska förväntningar."
"At the same time, though, we would like to remain realistic, because after all, the train was put in motion in 1999 and in 2002.", "Samtidigt vill vi dock vara realistiska, eftersom processen trots allt sattes igång 1999 och 2002."
"Let us remain realistic and pragmatic.", "Vi måste fortsätta att vara realistiska och pragmatiska."
"The European Parliament must now opt for a sustainable water policy as a starting point and remain realistic at the same time.", "Vi måste nu ta ställning för en hållbar vattenpolitik som utgångspunkt och samtidigt måste vi vara realistiska."
"In order to enable the implementation of the law, collection targets must remain realistic both in terms of time and quantity.", "För att kunna genomföra lagstiftningen måste insamlingsmålen vara realistiska, både vad gäller tid och kvantitet."
"Nevertheless I would like to say that this draft requires unanimous consent in the Council and we must therefore remain realistic.", "Trots detta måste jag framhålla att förslaget kräver enhällighet i rådet och därför måste vi förbli realistiska."
"We must nevertheless remain realistic.", "Trots det måste vi vara realistiska."
"However, we must remain realistic.", "Vi måste emellertid vara realistiska."
"It will not deteriorate if we remain realistic, but it will deteriorate if we adopt a utopian and unrealistic approach.", "Den kommer inte att försämras om vi förblir realistiska, men kommer att göra det om vi intar en utopisk och orealistisk inställning."
"We must remain realistic!", "Vi måste fortfarande vara realistiska!"
"We must remain realistic.", "Vi måste vara realistiska."
"We must not disappoint the hopes of the citizens of the applicant countries, but at the same time we should remain honest and realistic in the aims we set.", "Vi får inte svika medborgarnas förhoppningar i kandidatländerna, men vi bör vara uppriktiga och realistiska när vi bestämmer våra målsättningar."
"For that reason it is extremely important for the European Union and its Council of Ministers to act consistently and remain realistic and cool-headed in the way they approach these problems.", "Speciellt nu när vi måste överväga vår inställning till Internationella brottmålsdomstolens stadga och fredsbevarandet i Bosnien."
"I hope we shall remain realistic on this point, because the proposed compulsory separation of by-products by species will not enable us to prevent cannibalism among animals.", "Även vid en - som det föreslås - obligatorisk separation av biprodukter med djurarten som grund, kommer vi inte att kunna förhindra kannibalism hos djur."
"We need a fresh approach here, and the Berès report gives us renewed hope of this.", "I den frågan måste vi få nya förslag. Berès betänkande tillåter vissa förhoppningar på det."
"– Mr President, in one respect this Spring Summit has given us renewed hope.", "– På ett sätt har detta vårtoppmöte gett oss nytt hopp."
"Because that is the only chance that the region will have of renewed hope.", "För att det är den enda chansen regionen har att få nytt hopp."
"– Mr President, in one respect this Spring Summit has given us renewed hope.", "– På ett sätt har detta vårtoppmöte gett oss nytt hopp."
"It is renewed hope that makes political dialogue possible and not the other way round.", "Det är nytt hopp som möjliggör en dialog, och inte tvärtom."
"President Pastrana has given us renewed hope and has injected fresh impetus into the peace talks.", "President Pastrana har givit oss nytt hopp och har givit en ny impuls till fredsöverläggningarna."
"The Arta peace talks brought renewed hope.", "Efter fredssamtalen i Arta väcktes ett visst hopp på nytt."
"The atmosphere in Cyprus is full of renewed hope, but one thing is threatening to destroy the euphoric climate.", "Stämningen på Cypern är full av förnyat hopp, men det finns en sak som hotar att förstöra den euforiska stämningen."
"I think the appointment of Senator Mitchell as US envoy has given the people in the Middle East and his friends renewed hope.", "Jag tror att utnämningen av senator Mitchell som USA:s sändebud har gett människorna i Mellanöstern och hans vänner förnyat hopp."
"Only in that way can we give renewed hope to tens of thousands of people who are still dying of diseases that could, and should, have been wiped out a long time ago.", "Kan vi synliggöra dessa sjukdomar och mobilisera samma resurser, så kan miljoner människors lidande minska."
"Conversely, a resolution by Parliament sometimes gives hope and renewed courage to those throughout the world who are imprisoned, tortured and oppressed or who are engaged in struggle.", "Om vi inte använder oss av dem för att se till att våra allmänna värderingar respekteras kommer vi att förlora vår själ."
"Conversely, a resolution by Parliament sometimes gives hope and renewed courage to those throughout the world who are imprisoned, tortured and oppressed or who are engaged in struggle.", "Omvänt ger en resolution från parlamentet ibland hopp och nytt mod till fängslade, torterade, kämpande och förtryckta världen över."
"Only in that way can we give renewed hope to tens of thousands of people who are still dying of diseases that could, and should, have been wiped out a long time ago.", "Endast på detta sätt kan vi ge nytt hopp till de tiotusentals människor som fortfarande dör i sjukdomar som kunde och borde ha utrotats för länge sedan."
"We call for a Europe of nations, of peoples and of national identities, a Europe which gives renewed hope to our fellow citizens who have been exploited for the last 40 years.", "Vi vill i stället se ett fosterländernas, folkens och de nationella identiteternas Europa, som återger hoppet till medborgare som har förnedrats i 40 års tid."
"Cod in the North Sea, which is being fished even before its reproductive age, is a typical example.", "Torsken i Nordsjön, som fiskas till och med före sin reproduktiva ålder, är ett typiskt exempel."
"Most of these diseases affect children, women of reproductive age and poor and vulnerable groups.", "De flesta av dessa sjukdomar påverkar barn, kvinnor i fertil ålder och fattiga och sårbara grupper."
"It drew attention to the fact that sexual and reproductive health issues are vital questions for women of reproductive age.", "Den uppmärksammade det faktum att frågor om sexuell och reproduktiv hälsa är mycket viktiga för kvinnor i fertil ålder."
"Smaller and smaller fish are being caught, often before they reach reproductive age, and they are becoming more and more difficult to locate.", "Mindre och mindre fiskar fångas, ofta innan de når reproduktiv ålder, och de blir allt svårare att lokalisera."
"It is a political thank-you for Parliament's activity and responsible approach.", "Det är ett uttryck för politiskt erkännande av parlamentets verksamhet och ansvar."
"Europeans deserve a more balanced and socially responsible policy approach.", "Européerna förtjänar en mer balanserad och socialt ansvarsfull politisk taktik."
"We have every reason to adopt a pragmatic and responsible approach.", "Vi har allt intresse av att göra detta synsätt pragmatiskt och ansvarsfullt."
"All of us here are duty bound to take an especially responsible approach to investing in this area.", "Vi har alla en plikt att investera mycket ansvarsfullt på detta område."
"This is all about taking a responsible approach to a traditional European industry.", "Det handlar helt och hållet om att inta ett ansvarsfullt förhållningssätt till en traditionell EU-industri."
"We have every reason to adopt a pragmatic and responsible approach.", "Det är vår önskan och även parlamentets, tror jag."
". - (SV) To quite abruptly reduce or freeze next year's EU budget would not be a responsible approach.", "skriftlig. - Att helt abrupt minska eller frysa nästa års EU-budget vore inte ansvarsfullt."
"I would once more congratulate them on their responsible approach.", "Jag lyckönskar dem ännu en gång till deras allvar."
"The call for a responsible approach towards the Arctic is an SOS and an issue of global governance.", "Uppmaningen om en ansvarsfull strategi för Arktis är en varningssignal och en fråga som måste regleras på global nivå."
"We should be more responsible in our approach to children, and it should be exercised by parents and locally.", "Vi bör vara mer ansvarsfulla i vår strategi gentemot barn och detta bör hanteras av föräldrar och på lokalnivå."
"Of necessity this means the British authorities will have to take a more cooperative and responsible approach.", "Med nödvändighet så innebär detta att de brittiska myndigheterna måste vara mer samarbetsvilliga och ansvarsfulla."
"The Union should take a more active and more responsible approach, not only in Azerbaijan, but also in the whole region.", "EU borde använda en mer aktiv och ansvarsfull taktik inte bara i Azerbajdzjan utan också i hela regionen."
"A responsible approach to taxation will necessarily have a lasting positive effect on the development of these countries.", "En ansvarsfull skattestrategi kommer säkerligen få varaktig positiv effekt på utvecklingen i dessa länder."
"The proposals of the Commission are a significant step along the path towards a more responsible approach to fishing activities.", "Kommissionens förslag utgör viktiga steg på vägen mot en mer sansad inställning till fiskeriverksamhet."
"Madam President, as regards fishing in international waters we need a responsible and non-exploitative approach.", "Fru talman, vad gäller fisket på internationellt vatten behöver vi ett fiske som är ansvarsfullt och icke-exploaterande."
"That would be a ludicrous notion, but we want to see a socially responsible and anticipatory approach to these developments.", "Det skulle vara en skrattretande tanke. Men vi vill se ett socialt ansvarsfullt synsätt på denna utveckling."
"I firmly believe that the first six weeks of our presidency have convincingly demonstrated our responsible approach.", "Jag är säker på att de första sex veckorna av vårt ordförandeskap på ett övertygande sätt har visat vår ansvarsfulla attityd."
"At this point I would just like to thank the rapporteur, Lyndon Harrison, for his extremely knowledgeable and responsible approach.", "Här vill jag för övrigt tacka föredragande Lyndon Harrison för hans kompetenta och ansvarsfulla förhållningssätt."
"What is the responsible approach?", "Vilken strategi är den mest ansvarsfulla?"
"In this way I would like to reassure you that we have a serious and responsible approach and there is absolutely no cause for concern.", "Jag säger detta för att lugna er - vi agerar seriöst och ansvarsfullt, och det finns inte minsta anledning till oro."
"This would restore confidence, ease the crisis and restore calm to the financial markets.", "På så sätt skulle förtroendet återställas, krisen lindras och ett lugn infinna sig på finansmarknaderna."
"Further action is also needed to restore calm and to develop confidence in the democratic process.", "Ytterligare åtgärder behövs också för att återställa lugnet och återställa förtroendet för den demokratiska processen."
"I pay tribute to the efforts of all who worked hard to stabilise the situation and to restore calm in Kosovo.", "Jag vill uttrycka min beundran för alla dem som har arbetat hårt för att stabilisera situationen och återupprätta lugnet i Kosovo."
"Does the Commission not think that it is both urgent and extremely timely to adopt measures to prevent these activities and restore calm to the currency markets?", "Är kommissionen redo att utan dröjsmål vidta åtgärder och att ta itu med en eventuell ny finanskris?"
"We also support the Member States' initiative to set up a peace and reconciliation committee to help to restore calm on East Timor.", "Kommissionen stöder också medlemsstaternas initiativ att upprätta en freds- och försoningskommitté som skall bidra till att återställa lugnet på Östtimor."
"We also support the Member States ' initiative to set up a peace and reconciliation committee to help to restore calm on East Timor.", "Kommissionen stöder också medlemsstaternas initiativ att upprätta en freds- och försoningskommitté som skall bidra till att återställa lugnet på Östtimor."
"The only way to restore calm in the markets is to allow Greece, Ireland, Portugal and others to restructure their debt through the issue of Eurobonds guaranteed by the Union at reasonable rates.", "Det enda sättet att skapa lugn på marknaden är att tillåta Grekland, Portugal och andra att omstrukturera sin skuld genom euroobligationer från EU till rimliga nivåer."
"Since then, UN forces have been successfully deployed in Kosovo and more recently still in Macedonia, helping to restore calm to the area, although it has not resolved all the political problems.", "Sedan dess har Nato med framgång gjort nya insatser i Kosovo och mer nyligen i Makedonien, där man medverkade till att återinföra lugnet, även om man inte har löst alla politiska problem."
"This report is crucial as it lays down restricted fishing areas for the Mediterranean.", "Betänkandet är av stor betydelse eftersom det begränsar fiskeområdena i Medelhavet."
"The restricted areas proposed for hake are also unacceptable.", "Föreslagna fredade zoner för kummel är också oacceptabla."
"Amendment No 11: Parliament defines areas where restricted tendering should apply.", "Återigen ser jag inga större svårigheter med den frågan."
"It contains a good, broad concept of security policy and is not restricted to narrow military areas and military issues.", "Det har ett vidgat och bra begrepp om säkerhetspolitiken och är inte begränsat till snävt militära områden och militära frågor."
"Knowing that the scope of each organisation is restricted to certain areas, I therefore believe that there may be a modus vivendi between them both.", "Eftersom varje organisation arbetar inom specifika områden menar jag att det kan finnas provisoriska anordningar mellan dem båda."
"The Member States can no longer act as though these two areas are restricted and untouchable competences, beyond the scope of common action.", "Medlemsstaterna kan inte längre agera som om dessa två områden är begränsade och oantastbara behörigheter, utanför räckvidden för gemensamma åtgärder."
"It is misguided to believe that there should be lower standards of security for staff working in restricted areas in airports than for passengers.", "Det är missriktat att tro att lägre säkerhetsstandarder skulle gälla för personal som arbetar i skyddsområden på flygplatser än för passagerare."
"We believe that animal experiments should be restricted to those areas in which they are of vital importance to human health, for example that of medical products.", "Vi menar att djurförsök bör begränsas till de områden där de är av vital betydelse för människors hälsa, t.ex. när det gäller medicinska produkter."
"Note that this is exactly how our freedoms and rights are gradually and almost imperceptibly restricted - in other areas, too; not only in civil aviation.", "Notera att detta är precis hur friheter och rättigheter gradvis och alltid oförnimbart begränsas - även på andra områden, inte bara inom den civila luftfarten."
"Please can we assure that flexibility is built into these action plans so that they can be applied to all areas in cities and not confined to restricted areas.", "Tänk om vi skulle kunna se till att det finns en inbyggd flexibilitet i dessa handlingsplaner så att de kan tillämpas för alla stadsområden och inte bara begränsas till särskilda områden."
"There are also autologous therapy techniques, however, where the child from whom the cord blood is obtained can already benefit from this today in a small number of narrowly restricted areas.", "Det finns dock även autologa metoder som inom ett litet antal mycket begränsade områden redan i dag kan användas på det barn som navelsträngsblodet kommer ifrån."
"At the same time, people in the developing countries do not have access to healthcare, and we spend large amounts of money on sending humanitarian missions, often to restricted areas.", "Samtidigt har människorna i utvecklingsländerna inte tillgång till hälso- och sjukvård, och vi använder stora belopp till humanitära hjälpinsatser, ofta inom begränsade områden."
"The main results have already mentioned and I do not need to remind you of them.", "De viktigaste resultaten har redan nämns och jag behöver inte påminna er om dem."
"We want to ensure that the results of OLAF investigations will stand up in court.", "Vi vill vara säkra på att resultatet av OLAF:s utredningar håller inför domstol."
"Surveys have been carried out, but the results of these are yet to be confirmed.", "Det har gjorts undersökningar men resultaten av dessa har ännu inte bekräftats."
"The economic results are good, and there is success in the area of legislation.", "De ekonomiska resultaten är goda och det sker framsteg på lagstiftningsområdet."
"These are wonderful results, proving that Europe is taking the sustainable route.", "Resultaten är fantastiska, och de visar att EU har slagit in på en hållbar väg."
"The results of this first debate will be presented to the Council on 20 November.", "Resultaten av denna första debatt kommer att presenteras i rådet den 20 november."
"We have made a start, and we hope the work will produce some excellent results.", "Vi har redan påbörjat arbetet. Låt oss hoppas att det leder till goda resultat."
"The problem is that when an analysis is carried out, the results are not believed.", "Problemet är att folk inte tror på resultatet när en sådan analys väl genomförs."
"When we are ready the idea is that we should jointly evaluate methods and results.", "När vi är klara är tanken att vi gemensamt skall utvärdera metoder och resultat."
"Significant results have also been obtained with regard to combating drug abuse.", "Betydande resultat har uppnåtts också när det gäller kampen mot narkotikamissbruk."
"If the Member States all apply these requirements, the results will be positive.", "Om samtliga medlemsstater tillämpar kraven kommer resultatet att bli positivt."
"Its main results were economic growth in conjunction with reduced unemployment.", "Huvudresultatet var ekonomisk tillväxt i kombination med minskad arbetslöshet."
"Fourthly, the results of stress tests by the EU need to be published regularly.", "För det fjärde måste resultaten av EU:s stresstest offentliggöras regelbundet."
"(FR) Mr President, the Finnish Presidency told us we needed a Europe of results.", "(FR) Herr talman! Det finska ordförandeskapet sa att vi behövde ett resultatens EU."
"The results are modest, as modest as is the attendance in this Chamber tonight.", "Resultaten är blygsamma, lika blygsamma som antalet närvarande i kammaren i kväll."
"The results of those projects, mainly concerning seismic risk, were very poor.", "Resultaten av dessa projekt, som främst rörde seismiska risker, var mycket klena."
"Unfortunately, we are aware that the results have not matched our expectations.", "Tyvärr är vi medvetna om att resultaten inte har motsvarat våra förväntningar."
"When all that has been done, the results will be set out in the form of directives.", "När detta arbete slutförts kommer resultatet att fastställas i form av direktiv."
"Its results will be presented at a ministerial conference on 30 May 2002, in Rome.", "Dess resultat kommer att läggas fram på ett ministermöte den 30 maj 2002 i Rom."
"While we invest a great deal, the results are sometimes far from satisfactory.", "Trots vi investerar åtskilligt är resultaten ibland långt ifrån tillfredställande."
"And these 22 units -- still the richest people use most of it.", "Och av dessa 22 enheter kommer fortfarande de mest rika använda merparten."
"What we have here are some of the richest people in the EU, including Greek and Danish ship owners.", "Här har vi några av de rikaste människorna i EU, däribland de grekiska och danska redarna."
"All this is of most benefit to the richest people in society, who are the most frequent fliers.", "Detta gynnar mest samhällets rikaste, som är de som flyger mest."
"The 500 richest people have a combined income higher than that of the 416 million poorest;", "har de 500 rikaste människorna en sammanlagd inkomst som är högre än de 416 miljoner fattigaste människornas inkomst;"
"The three richest people in the world have fortunes which surpass the combined GNP of the 48 poorest countries.", "De tre rikaste människorna i världen har en förmögenhet som överstiger de 48 fattigaste ländernas samlade BNP."
"If I may explain, Commissioner: you are spending half the budget on about 1 % of the richest people in Europe.", "Jag skall förklara mig, herr kommissionär: Ni förbrukar hälften av budgeten till nära 1 procent av Europas rikaste människor."
"What is more, the 500 richest people have a combined income higher than that of the 416 million poorest.", "Dessutom har de 500 rikaste personerna en kombinerad inkomst som är högre än inkomsten för de 416 miljonerna fattigaste människorna."
"What is more, the 500 richest people have a combined income higher than that of the 416 million poorest.", "Dessutom har de 500 rikaste personerna en kombinerad inkomst som är högre än inkomsten för de 416 miljonerna fattigaste människorna."
"The 8 million richest people in the world have a net fortune equivalent to 80% of the GDP of all the countries in the world.", "har de 8 miljoner rikaste människorna i världen en nettoförmögenhet som motsvarar 80 procent av all världens länders BNP."
"The 8 million richest people in the world have a net fortune equivalent to 80% of the GDP of all the countries in the world.", "De 8 miljonerna rikaste personerna i världen har en nettoförmögenhet som motsvarar 80 procent av världens alla länders BNP."
"The 8 million richest people in the world have a net fortune equivalent to 80 % of the GDP of all the countries in the world.", "De 8 miljonerna rikaste personerna i världen har en nettoförmögenhet som motsvarar 80 procent av världens alla länders BNP."
"The wealth of the 15 richest people in the world exceeds the total gross domestic product (GDP) of sub-Saharan Africa.", "De femton mest förmögna personerna på jorden har tillsammans förmögenheter som överskrider det svarta Afrikas totala bruttonationalprodukt (BNP)."
"In every country, league tables of successful companies are produced; the country's richest people are made visible, and they are applauded.", "I alla länder gör man upp topplistor över de mest framgångsrika företagen. Landets rikaste människor synliggörs och applåderas."
"One sample figure that sticks in the mind is the fact that the four richest people on this planet own as much as the 48 poorest nations combined.", "Ett sifferexempel som har fastnat ordentligt i huvudet är att de fyra rikaste människorna på denna glob äger lika mycket som de 48 fattigaste nationerna tillsammans."
"The three richest people together own more than the total income of the world's 48 poorest countries, and 130 million children never attend school.", "De tre rikaste människorna äger tillsammans mer än den totala inkomsten i de 48 fattigaste länderna i världen, och 130 miljoner barn får aldrig se insidan av en skola."
"The three richest people together own more than the total income of the world' s 48 poorest countries, and 130 million children never attend school.", "De tre rikaste människorna äger tillsammans mer än den totala inkomsten i de 48 fattigaste länderna i världen, och 130 miljoner barn får aldrig se insidan av en skola."
"The 691 richest people in the world have a net fortune equivalent to USD 2.2 billion, which is equal to the combined wealth of the 145 poorest countries;", "har de 691 rikaste människorna i världen en nettoförmögenhet som motsvarar 2,2 miljarder US-dollar, vilket är lika mycket som de 145 fattigaste ländernas sammanlagda rikedom;"
"A system of this type is very dangerous and deeply unfair as it benefits the richest people, those who can save money, and leaves the poorest with a pittance of a retirement pension.", "Ett sådant system är mycket farligt och djupt orättvist, eftersom det gynnar de rikaste, de som kan spara, och lämnar de fattigaste med en bedrövlig pension."
"And the richest people over there -- there's one billion people -- and they live above what I call the "air line," because they spend more than $80 a day on their consumption.", "Och de mest rika över här -- det är en miljard människor -- och de lever ovan vad jag skulle kalla flyglinjen, för att de spenderar mer än $80 per dag på sin konsumtion."
