//Sentences
"Mr President, in the short amount of time available I shall only refer to the CARNOT programme.", "Herr ordförande! På den här korta stunden ämnar jag bara beröra Carnot-programmet."
"It is a mark of the balance that we have achieved in these amendments that they have won the support of the CBI in my own country and more than partial support from consumer organisations.", "Ett tecken på att vi uppnått balans i dessa ändringsförslag är att de har fått stöd från CBI i mitt eget land och ett ganska odelat stöd från konsumentorganisationerna."
"“CBR is a research driven organisation with researchers who spend a large part of their working day in the facilities.", "– CBR är en forskardriven organisation med forskare som tillbringar en stor del av sin vardag vid anläggningarna."
"At the same time, CBR is working to reduce the use of animals in accordance with the 3Rs concept - “reduce, refine and replace”.", "Samtidigt arbetar CBR för att minska användandet av djur enligt 3R-konceptet – ”reduce, refine and replace” – minska, förfina och ersätta."
"Operations with animals for experimentation at Linköping University expand and gather in the Centre for Biomedical Resources (CBR).", "Oskar Lyding, ordförande i Consensus, åkte med rektors ledningsråd och spanade in kreativa universitetsmiljöer i Europa."
"CBR has a detailed approach to security, but we say no to surveillance cameras and secluded premises.", "CBR har ett detaljerat säkerhetstänkande men säger nej till övervakningskameror och isolerade lokaler. Vi vill vara helt öppna med vår verksamhet."
"Operations with animals for experimentation at Linköping University expand and gather in the Centre for Biomedical Resources (CBR).", "Gå lite hungrig och ät B12. Mats Hammar och Carl Johan Östgren, professorer vid HU, har kartlagt de senaste rönen om hur vi blir friska gamlingar."
"We also have the CBRN action plan proposed by the Commission last June and agreed by the Council.", "Vi har också den CBRN-handlingsplan som lades fram av kommissionen i juni förra året och som rådet enades om."
"Anti-CBRN training for medical staff is being implemented.", "CBRN-utbildning för vårdpersonal håller på att införas."
"Fortunately, the number of incidents related to CBRN materials, including acts of terrorism, has been relatively low.", "Lyckligtvis har antalet incidenter i samband med CBRN-material hittills varit relativt lågt."
"Strengthening Chemical, Biological, Radiological and Nuclear Security in the European Union - an EU CBRN Action Plan (", "Ökad kemisk, biologisk, radiologisk och nukleär säkerhet i Europeiska unionen - en CBRN-handlingsplan för EU ("
"I agree, however, that the adopted EU CBRN Action Plan is weak and lacks coherence on several points.", "Jag håller emellertid med om att handlingsplanen såsom den har antagits är svag och i flera avseenden uppvisar bristande konsekvens."
"In this respect, the CBRN Action Plan is an opportunity to put the Treaty of Lisbon solidarity clause into practice.", "I detta avseende är handlingsplanen mot CBRN en möjlighet att omsätta solidaritetsklausulen i Lissabonfördraget i handling."
"Attacks using chemical, biological, radiological and nuclear (CBRN) materials constitute a grave threat to the European public.", "Angrepp genom kemiska, biologiska, radiologiska och nukleära (CBRN) material utgör ett allvarligt hot mot den europeiska allmänheten."
"It is of paramount importance that this report promotes the notion of a rapid response mechanism in the event of a CBRN disaster in one of the Member States.", "Det är av största vikt att betänkandet främjar antagandet av en snabbinsatsmekanism i händelse av en CBRN-katastrof i en av medlemsstaterna."
"In the context of the present solidarity programme, EU action against CBRN terrorism is based on six strategic objectives, which I would like briefly to mention.", "I samband med det nuvarande solidaritetsprogrammet bygger EU:s åtgärder mot CBRN-terrorism på sex strategiska mål som jag kortfattat tar upp."
"In the context of the present solidarity programme, EU action against CBRN terrorism is based on six strategic objectives, which I would like briefly to mention.", "I samband med det nuvarande solidaritetsprogrammet bygger EU: s åtgärder mot CBRN-terrorism på sex strategiska mål som jag kortfattat tar upp."
"It is of crucial importance to stress that a CBRN Action Plan offers a valuable opportunity to implement the solidarity clause enshrined in the Treaty of Lisbon.", "Det är mycket viktigt att understryka att en CBRN-handlingsplan erbjuder ett värdefullt tillfälle att tillämpa Lissabonfördragets solidaritetsklausul."
". - Explanation of Vote on the Gomes report 'Strengthening chemical, biological, radiological and nuclear security in the European Union - an EU CBRN Action Plan'.", "Röstförklaring till Ana Gomes' betänkande om ökad kemisk, biologisk, radiologisk och nukleär säkerhet i Europeiska unionen - en CBRN-handlingsplan för EU."
"For its part, the Council has created a database of military resources, as well as capacity relevant to protecting civilians against terrorist attacks, including CBRN attacks.", "Rådet har för sin del inrättat en databas över militära resurser och kapacitet i fråga om skydd av civilbefolkningen mot terrordåd, inklusive CBRN-attacker."
"It should also ensure effective interaction between national and EU initiatives in order to tackle CBRN risks and prepare capabilities to respond to and limit the consequences.", "Den bör också möjliggöra en verkningsfull samverkan av nationella initiativ och EU-initiativ för att bemöta CBRN-risker och utarbeta nödvändiga motåtgärder."
"Mr President, chemical, biological, radiological and nuclear (CBRN) risks are inherent to possible terrorist attacks, industrial accidents or natural disasters.", "föredragande. - (PT) Herr talman! Kemiska, biologiska, radiologiska och nukleära (CBRN) risker är förbundna med möjliga terrorattacker, arbetsolycksfall och naturkatastrofer."
"In June 2009, the Commission tabled a three-year EU CBRN Action Plan for 2010-2012, with the following elements: prevention, detection, and preparedness and response.", "I juni 2009 lade kommissionen fram en treårig CBRN-handlingsplan för EU under åren 2010-2012 med följande innehåll: förebyggande, spårning samt beredskap och motåtgärder."
"Therefore, the CBRN Action Plan should ensure the efficient interaction of national and EU initiatives in addressing CBRN risks and preparing the necessary response.", "CBRN-handlingsplanen bör därför möjliggöra en verkningsfull samverkan av nationella initiativ och EU-initiativ för att bemöta CBRN-risker och utarbeta nödvändiga motåtgärder."
"The CBRN programme, and its successor the solidarity programme, are multidisciplinary programmes involving political, technical, economic, diplomatic, military and legal resources.", "CBRN-programmet och dess efterföljare solidaritetsprogrammet är sektorsövergripande och rör politiska, tekniska, ekonomiska, diplomatiska, militära och juridiska resurser."
"In the context of the European Security and Defence Policy aspects of the fight against terrorism, civil/military interoperability in the field of CBRN is in the process of being examined.", "Inom ramen för den europeiska säkerhets- och försvarspolitiken håller olika aspekter som rör terrorismbekämpning och civil/militär samverkansförmåga inom CBRN på att behandlas."
"In the context of the European Security and Defence Policy aspects of the fight against terrorism, civil/ military interoperability in the field of CBRN is in the process of being examined.", "Inom ramen för den europeiska säkerhets- och försvarspolitiken håller olika aspekter som rör terrorismbekämpning och civil / militär samverkansförmåga inom CBRN på att behandlas."
"more_vert open_in_new Link to europa.eu warning Request revision +356 21.44.62.50 - 5 Email: airpassengerrights.ccd[at]gov.mt", "ccd[at]gov.mt"
"more_vert open_in_new Link to europa.eu warning Request revision +356 21.44.62.50 - 5 Email: airpassengerrights.ccd[at]gov.mt", "ccd[at]gov.mt"
"Entry into force on 1 August 2010 of the Convention on Cluster Munitions (CCM) and the role of the EU (", "Ikraftträdande av konventionen om klustervapen den 1 augusti 2010 och EU:s roll ("
"This will put tremendous pressure on the smaller European manufacturers, like Triumph and CCM in the United Kingdom.", "Detta kommer att sätta de mindre europeiska tillverkarna, som Triumph och CCM i Förenade kungariket, under ett enormt tryck."
"I agreed with the resolution, because the CCM is the first step in the right direction of prohibiting these deadly weapons for good.", "Jag samtycker till resolutionen eftersom konventionen om klustervapen är ett första steg i rätt riktning mot att förbjuda dessa dödliga vapen för gott."
"I personally disapprove of the language in paragraph 10 which calls on the High Representative to make every effort to 'realize the accession of the Union to the CCM'.", "Personligen ogillar jag ordalydelsen i punkt 10 som uppmanar den höga representanten att göra sitt yttersta för att ˮEU ska ansluta sig till konventionen mot klustervapenˮ."
"The CCM (Convention on Cluster Munitions), which has been signed by 20 Member States, prohibits the use of these weapons and requires countries which have them in their arsenal to destroy them.", "Konventionen om klustervapen, som har undertecknats av 20 medlemsstater, förbjuder användningen av dessa vapen och kräver att länder som har dem i sin arsenal förstör dem."
"more_vert open_in_new Link to Mozilla warning Request revision to or CC", "expand_more till eller kopia"
"more_vert open_in_new Link to Open Office warning Request revision For example, the third number of the second level is " cc ".", "expand_more Tredje numreringen på andra nivån blir alltså " cc "."
"more_vert open_in_new Link to Open Office warning Request revision Tredje numreringen på andra nivån blir alltså " cc ".", "expand_more For example, the third number of the second level is " cc "."
