//Sentences
"Recently we have been able to see sportsmen from North Korea playing at the FIFA World Cup.", "Vi har nyligen kunnat se idrottsmän från Nordkorea spela i fotbolls-VM."
"FMD is not endemic in the EU, and prophylactic vaccination is not appropriate in the EU.", "Mul- och klövsjukan är inte allmänt spridd i EU, och förebyggande vaccinering är inte lämpligt i EU."
"We saw this in the case of FMD and we are witnessing it again now.", "Vi såg det med mul- och klövsjukan, och vi bevittnar det återigen."
"Our approach to FMD has to adapt accordingly.", "Vårt förhållningssätt till mul- och klövsjuka måste anpassas till dessa åsikter."
"However, fresh cases of FMD have come to light during the past week.", "Dessa ansträngningar till trots har nya fall av mul- och klövsjuka konstaterats under den gångna veckan."
"The Court’s report points out the UK Government’s many failures during FMD.", "I Revisionsrättens rapport påpekas den brittiska regeringens många misslyckanden under mul- och klövsjukeepidemin."
"Since the beginning of this month, South Korea has been stricken by an outbreak of foot-and-mouth disease (FMD).", "Sedan början av månaden härjar en mul- och klövsjuksepidemi i Sydkorea."
"The existence of various serotypes of the FMD virus is an argument against preventive vaccination.", "Existensen av olika serotyper av mul- och klövsjukeviruset är ett argument mot förebyggande vaccinering."
"The outbreak of FMD in the Netherlands can be directly linked to such a staging point, in France.", "Utbrottet av mul- och klövsjuka i Nederländerna kan direkt kopplas till en sådan mellanstation i Frankrike."
"Despite this, the latest FMD outbreak incurred billions´worth of damage to the European economy.", "Och ändå orsakade det senaste utbrottet av mul- och klövsjuka skador för flera miljarder för den europeiska ekonomin."
"The situation in the EU cannot be compared with the endemic FMD situation in South America or elsewhere.", "Läget i EU kan inte jämföras med det allvarliga läget när det gäller mul- och klövsjuka i Sydamerika eller på annat håll."
"However, shortcomings in implementation have certainly contributed to the magnitude of the 2001 FMD epidemic.", "Tillkortakommanden vid genomförandet har emellertid bidragit till omfattningen av 2001 års mul- och klövsjukeepidemi."
"And now again of course we see the violence, the FNL breaking their agreements.", "Och nu möter vi givetvis återigen våldet och ett FNL som bryter mot avtalen."
"Unfortunately, armed confrontations between groups such as the FDD and the FNL have continued.", "Tyvärr har väpnade konfrontationer fortsatt mellan grupper som FDD och FNL."
"Unfortunately, armed confrontations between groups such as the FDD and the FNL have continued.", "Styrkan finansieras av Förenta staterna, Frankrike, Förenade kungariket och Moambique."
"The rebel movement, the FNL, has denied all involvement, but nor does it support the peace process.", "Kanske leder detta så småningom till ett stöd för fredsprocessen och förhandlingar."
"The rebel movement, the FNL, has denied all involvement, but nor does it support the peace process.", "Rebellrörelsen FNL har förnekat all inblandning, men stöder inte heller fredsprocessen."
"The FNL must now come to the negotiating table, turn itself into a genuine political party and participate in the country's recovery and reconstruction.", "FNL måste nu komma till förhandlingsbordet och uppträda som ett verkligt politiskt parti och delta i landets återhämtning och återuppbyggnad."
"The Commission notes, with some optimism, the news that the armed movement, the FNL, is prepared to negotiate with the transitional government of Burundi.", "Kommissionen noterar med en försiktig optimism nyheten att den väpnade rörelsen FNL är beredd att förhandla med Burundis övergångsregering."
"The FNL, which still refuses to enter into any agreements, is being reinforced by disaffected elements from the earlier rebel movements that, despite earlier agreement, continue to resist.", "Det finns naturligtvis hinder för ett accepterande av den sista rebellgruppen, som vi uppmanar till, för vad finns det för verklig anledning till att acceptera dem?"
"We call on both sides to respect the ceasefire of 7 September last year and particularly demand that the leader of the FNL, Agathon Rwasa, should fully engage in the peace process.", "Vi uppmanar båda sidor att respektera den vapenvila som slöts den 7 september förra året och kräver särskilt att FNL-ledaren Agathon Rwasa fullt ut ska medverka i fredsprocessen."
"FORTEZZA authentication with RC4 128-bit key and an SHA-1 MAC", "FORTEZZA-kryptering med en RC4 128-bitars nyckel och SHA-1 MAC"
"No encryption with FORTEZZA authentication and an SHA-1 MAC", "Ingen kryptering med FORTEZZA-verifiering och SHA-1 MAC"
"FORTEZZA encryption with a 80-bit key and an SHA-1 MAC", "FORTEZZA-kryptering med en 80-bitars nyckel och SHA-1 MAC"
"Server FORTEZZA chain has a non-FORTEZZA Certificate.", "Serverns FORTEZZA-kedja har ett icke-FORTEZZA-certifikat."
"The server is in another FORTEZZA domain,you cannot connect to it.", "Servern finns i en annan FORTEZZA-domän."
"FORTEZZA SKIPJACK encryption with an 80-bit key", "FORTEZZA SKIPJACK-kryptering med en 80-bitars nyckel"
"Not a valid FORTEZZA Certificate Authority", "Detta är inte en giltig FORTEZZA-certifikatutfärdare"
"Italy has authorised the launch of works on the southern access route, starting with the first section, Fortezza-Ponte Gardena.", "Italien har godkänt att arbetet påbörjas på den södra tillfartsleden och att man börjar med den första sektionen, Fortezza-Ponte Gardena."
"More than EUR 610 million in funds must be released each year from the 7th FPRD.", "Över 610 miljoner euro måste årligen satsas via det sjunde ramprogrammet."
"More than EUR 610 million in funds must be released each year from the 7th FPRD.", "Över 610 miljoner euro måste årligen satsas via det sjunde ramprogrammet."
". – I voted in favour of this new FPRD because we are substantially improving the Commission’ s proposal and adopting a more ambitious stance than the Council.", ". – Jag röstade för detta nya ramprogram för forskning och utveckling eftersom vi i huvudsak förbättrar kommissionens förslag och antar en mer ambitiös ståndpunkt än rådet."
". – I voted in favour of this new FPRD because we are substantially improving the Commission’s proposal and adopting a more ambitious stance than the Council.", ". – Jag röstade för detta nya ramprogram för forskning och utveckling eftersom vi i huvudsak förbättrar kommissionens förslag och antar en mer ambitiös ståndpunkt än rådet."
"In this regard, I wish to express my attachment to the framework programmes for research and development and for the ‘ aeronautical-space line’, which appears for the first time in the sixth FPRD.", "Jag vill med andra ord gratulera kommissionsledamot Busquin och Bodrato och säga att detta är ett bra exempel på ett ärende i vilket Europa kan göra mest när det går framåt med politisk vilja."
"more_vert open_in_new Link to statmt.org warning Request revision Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande.", "expand_more The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning."
"more_vert open_in_new Link to statmt.org warning Request revision The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning.", "expand_more Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande."
"Likväl underlåter meddelandet fullständigt att ta upp frågan om ”e-förvaltning”.", "Nevertheless, the communication totally fails to address the issue of ‘Government’."
"Amorteringsandelen mellan den 10:e och 18:e perioden är 2 560,52 valutaenheter.", "The payoff amount between the 10th and 18th period is 2560.52 currency units."
"Det ser ut som om ICAO:s 35:e möte kommer att bli minnesvärt.", "Mr President, it looks like the 35th ICAO Meeting will be a memorable one."
"Sydkorea är den 15:e största ekonomin i världen och den tredje största i Asien.", "South Korea is the 15th largest economy in the world and the third largest in Asia."
"Ett alternativ är en 26:e EU-bestämmelse för övervakning av globala aktörer.", "One possible option is a 26th European regime for supervision of global actors."
"Ränteandelen under den 4:e till den 6:e perioden uppgår till 710,21 valutaenheter.", "The interest payments for between the 4th and 6th period are 710.21 currency units."
"Anne E. Jensens utmärkta betänkande innehåller mycket av vad mitt utskott föreslog.", "Ms Jensen's excellent report incorporates much of what my committee proposed."
"Det finns inga giltiga e-brevlådesfiler för Outlook Express i den angivna katalogen.", "Unable to find any valid Outlook Express mailbox files in the specified directory."
"Det nya kontot kommer inte att innehålla gamla bokmärken, adressbok eller e-post.", "Your new Account will not include your old bookmarks, address book, or mail messages."
"Om det gäller källan nyhetsbrev inkluderar exempel på media "e-post" och "utskrift"", "In the case of a newsletter source, examples of medium include "email" and "print"."
"Översikt: Rapporten ger en översikt av e-handelsaktiviteter på din webbplats.", "Overview: The report provides an overview of ecommerce activity on your site."
"Likväl underlåter meddelandet fullständigt att ta upp frågan om ” e-förvaltning ”.", "Nevertheless, the communication totally fails to address the issue of ‘ Government’."
"De flesta ansedda e-handelssajter försäkrar att inga pengar debiterats från kontot.", "Most reputable shopping sites ensure that money is not taken from an account."
"Ange en giltig e-postmapp i Messenger att importera Eudoras e-brevlådor till.", "Please enter a valid Messenger Mail Folder name to import the Eudora mailboxes into."
"Du är välkommen att besöka oss i C-huset, Luleå eller skicka en fråga över e-post.", "You are welcome to visit us in the C-building, Luleå or submit a question via email."
"På morgonen den 11:e September bjöd Kofi Annan in mig till en presskonferens.", "Kofi Annan invited me on the morning of September the 11th to do a press conference."
"Filter kan automatiskt flytta inkommande e-post till andra platser i kontot.", "Filters can automatically move incoming mail to other places in your account."
"Det är också viktigt att alla som du skickar e-post till är villiga att ta emot den.", "It's also important that everyone you are sending mail to is willing to receive it."
"Om du hade ett certifikat skulle de inkluderas i varje e-brev du undertecknade.", "If you had one, this certificate would be included with every email message you signed."
"Du har inte angett några katalogservrar i inställningar för E-post och grupper.", "You have not specified any Directory servers in your Mail Groups:Directory preferences."
"Citizens who are ready to accommodate a refugee from the FRG, please report to their Section Plenipotentiary.", "Medborgare som vill samverka för en plattform från Västtyskland anmäl er hos Section Plenipotentiary."
"Here they park, the new GDR citizens from the FRG.", "Här blir de de nya DDRmedborgarna från Västtyskland"
"Shortly after the Fall of the Wall, thousands of FRG citizens... seized the opportunity to visit the GDR for the first time.", "Strax efter murens fall beslutade sig tusentals västtyskar... för att besöka Östtyskland för första gången"
"The FRG has for more than ten years transferred between three and four per cent of its GDP to the new 'Länder', totalling some EUR 75 billion per year.", "Tyskland har i över tio års tid överfört mellan 3 och 4 procent av Tysklands BNP till de nya tyska delstaterna, vilket motsvarar i runda tal 75 miljarder euro per år."
"The FRG has for more than ten years transferred between three and four per cent of its GDP to the new 'Länder ', totalling some EUR 75 billion per year.", "Tyskland har i över tio års tid överfört mellan 3 och 4 procent av Tysklands BNP till de nya tyska delstaterna, vilket motsvarar i runda tal 75 miljarder euro per år."
