//Sentences
"I would say that Mrs Martens found the right words to express this concern.", "Jag menar att Maria Martens hittade rätt ord för att uttrycka denna oro."
"Mountainous, island and very remote regions receive support from the Structural Funds.", "Bergsregioner, öregioner och yttersta randområden mottar stöd från strukturfonderna."
"Finally, we complain so often that Europe is remote from ordinary people.", "Till sist också detta, vi klagar så ofta över att Europa står långt från människorna."
"Moreover, the creation of another post at European level risks being too remote from citizens.", "Det finns också en risk att en tjänst på EU-nivå skulle ligga för långt från medborgarna."
"SMS is even used to hold herder summits from remote participation.", "SMS används till och med för att hålla herdemöten med fjärranslutning."
"Only EU fruit is to be provided, for example bananas from remote regions.", "Endast EU-frukt ska serveras, t.ex. bananer från randområdena."
"Today sees this House proving once more just how remote it is from the citizens that it claims to represent even so.", "Det viktiga är att besluta huruvida fördrag kräver medborgarnas godkännande."
"Are these sectors remote from our citizens ' lives?", "Är det sektorer som ligger fjärran från medborgarnas tillvaro?"
"That is democracy at its best and it shows that the European Parliament is not remote from its people.", "Det är demokrati när den är som bäst och det visar att Europaparlamentet inte skiljer sig från sitt folk."
"We must take care that agriculture does not unintentionally move in a direction that is remote from the people.", "Vi måste se upp så att lantbruket, utan att vi vill det, utvecklas till något människofientligt."
"Are these sectors remote from our citizens' lives?", "Är det sektorer som ligger fjärran från medborgarnas tillvaro?"
"Mr President, ladies and gentlemen, Europe seems remote from the man in the street, but China scares people.", "– Herr talman, mina damer och herrar! EU känns avlägset för gemene man, men Kina skrämmer människor."
"That is what my fishermen and fishermen from the remote communities of the periphery of Europe want to hear from you.", "Det är vad mina fiskare och fiskare från avlägsna samhällen i Europas utkanter vill höra från er."
"Decision-making is too centralised, too inflexible and too remote from the communities that it affects.", "Beslutsfattandet är alltför centraliserat, alltför stelbent och alltför avlägset från de samhällen det påverkar."
"Climate hysteria is increasingly remote from reality.", "Klimathysterin blir alltmer verklighetsfrämmande."
"That, however, is not something for a scientific-technical bureau or agency, that is remote from politics.", "Det är dock inte en uppgift för en byrå eller ett organ av vetenskaplig-teknisk natur, som är fjärran från politiken."
"There was recognition that the EU was becoming more remote from the people and that there was a need to do something about it.", "Man erkände att EU höll på att bli mer otillgängligt för folket och att man måste göra något åt det."
"Mr President, ladies and gentlemen, we keep being accused of being remote from the citizens and aloof.", "Herr ordförande, kära kolleger! Ständigt anklagar man oss därhemma för att vara otillgängliga och avskärmade från medborgarna."
"The reason has to do with the realities of life on islands, particularly those remote from centres of population.", "Anledningen har att göra med det verkliga vardagslivet på öar, speciellt de som ligger långt ifrån befolkade områden."
"In this way Brussels is becoming increasingly remote from those it claims to represent, and that is bad for democracy.", "På detta sätt blir Bryssel allt mer avlägset från dem som man hävdar att man företräder, och det är dåligt för demokratin."
"Today sees this House proving once more just how remote it is from the citizens that it claims to represent even so.", "I dag ser vi hur parlamentet ännu en gång bevisar precis hur avlägset det är från de medborgare som det säger sig företräda."
"more_vert open_in_new Link to European Parliament warning Request revision We need to invest through the Sixth Framework Programme and other R and D funds.", "expand_more Vi måste investera genom det sjätte ramprogrammet och andra FoU-medel."
"more_vert open_in_new Link to statmt.org warning Request revision Betoningen har lagts på tjänster inom områdena e-förvaltning, e-hälsovård och e-lärande.", "expand_more The focus has been fixed on services in the areas of eGovernment, eHealth and eLearning."
"We met with them in room R31, and we should like to continue a little longer.", "Vi har haft med dem uppe i rum R3, 1, och skulle vilja fortsätta lite till."
"It ain't D-E-R-E, it's D-E-A-R, and " Sarah " ain't got no two Rs, King.", "Det är inte T-J-Ä- R-A, utan K-Ä- R-A och " Sara " stavas inte med två R, King."
"That is why I will vote against recitals O and R of Mr Musotto's report.", "Det är därför som jag kommer att rösta emot skälen O och R i Musottos betänkande."
"The correspondent R.W. Johnson recently levelled ultimate criticism of Mugabe's tyranny.", "Korrespondenten R.W. Johnson riktade nyligen avgörande kritik mot Mugabes tyranni."
"And higher oil prices mean a greater incentive to invest in energy R&amp;D.", "Högre oljepriser innebär en större marknad för innovationer inom energi."
"The CoR is, of course, the voice of regions but it also delivers many EU programmes.", "Den kommittén är naturligtvis regionernas röst, men den levererar också många EU-program."
"The day before the event, I called the head of P.R. for the company.", "Dagen innan tillställningen ringde jag chefen för PR-avdelningen på företaget."
"What must be aimed for is improved complementarity between R&D and structural policy.", "Därvid måste man sträva efter en förbättrad sammankoppling av FoTU och strukturpolitiken."
"Well we have a whole O.R. team, general anesthesia, nurses, and another doctor across from me.", "Vi har hela operationslaget, narkosen, sköterskor, och en doktor mitt emot mig."
"Ogłaszam wznowienie sesji Parlamentu Europejskiego przerwanej w czwartek 8 lipca 2010 r.", "Ogłaszam wznowienie sesji Parlamentu Europejskiego przerwanej w czwartek 8 lipca 2010 r."
"What must be aimed for is improved complementarity between R & D and structural policy.", "Därvid måste man sträva efter en förbättrad sammankoppling av FoTU och strukturpolitiken."
"When there were collapses in their GDP, the public sector investment in R&D went up.", "När deras BNP rasade, ökade den offentliga sektorns investeringar i forskning och utveckling."
"Ogłaszam wznowienie sesji Parlamentu Europejskiego przerwanej w czwartek, 7 lipca 2011 r.", "Ogłaszam wznowienie sesji Parlamentu Europejskiego przerwanej w czwartek, 7 lipca 2011 r."
"DI is very high and fully in accordance with the forthcoming Europe 2020 Strategy, where R &amp;", "Därför fördubblades nästan anslaget för 2008 med n + 3-regeln tillämplig 2011."
"The goal of according a 3% share of GDP to R&D is no longer much more than fantasy.", "Målet att satsa 3 procent av BNP på forskning och utveckling är nu inte mycket mer än en fantasi."
"The result was AXIS 209FD-R, a small compact camera that can withstand a large amount of abuse.", "Resultatet blev AXIS 209FD-R, en liten kompakt kamera som klarar stora påfrestningar."
"That offers ample scope for in-depth investment in education, R&D and healthcare.", "Det ger tillräckligt utrymme för djupinvesteringar i skola, forskning och utveckling och hälsovård."
"R&amp;D in total in the economy, publicly funded, is about 0.6 percent of GDP.", "Forskning och Utveckling i den totala ekonomin, statligt finansierat, är ungefär 0.6 procent av GNP."
"That offers ample scope for in-depth investment in education, R & D and healthcare.", "Det ger tillräckligt utrymme för djupinvesteringar i skola, forskning och utveckling och hälsovård."
"Fu Sheng's on an R and R tomorrow, and you wanna send them out on an ambush?", "Fu Sheng har permis imorgon och du vill skicka dem i bakhåll?"
"FRONTEX and the RABITs essentially mean coordination, cooperation and collaboration.", "Frontex och grupper för snabba ingripanden vid gränserna betyder i grund och botten samordning, samarbete och samverkan."
"The RABITs will render short-term assistance - we must be clear about that.", "Grupperna för snabba ingripanden vid gränserna kommer att hjälpa till under en kort tid - vi måste tydligt betona detta."
"The RABITs are a concrete response.", "Grupperna för snabba ingripanden vid gränserna är en konkret åtgärd."
"With the support of this Parliament, the Council ensured that the Regulation on the RABITs, the Rapid Border Intervention Teams, could be adopted.", "Med parlamentets stöd såg rådet till att förordningen om enheter för snabba ingripanden vid gränserna kunde antas."
"However, I do expect FRONTEX and RABITS to have consideration for the rights and needs of people crossing the border in good faith.", "Jag hoppas emellertid att Frontex och grupperna för snabba ingripanden vid gränserna tänker på rättigheterna och behoven hos de personer som korsar gränserna i god tro."
"The RABITs, which have been the subject of so much consensus and so much agreement, are an additional instrument for collaboration and cooperation.", "Grupperna för snabba ingripanden vid gränserna, som det har rått ett så stort samförstånd och en så stor enighet om, är ytterligare ett verktyg för samarbete och samverkan."
"Until now, how many joint operations has Frontex carried out at the EU's maritime borders, and are future deployments by the Rapid Border Intervention Teams (RABITs) planned in 2008?", "Hur många gemensamma insatser har Frontex hittills genomfört vid EU:s sjögränser och planerar man att placera ut fler snabba gränsinsatsenheter under 2008?"
"Women are also represented in the North Western Waters RAC.", "Kvinnor är också representerade i regionala rådgivande nämnden för nordvästliga vatten."
"Women are also represented in the North Western Waters RAC.", "Kvinnor är också företrädda i den regionala rådgivande nämnden för de nordvästra vattnen."
"The North Sea RAC has revised its position and it no longer advises such a measure.", "Nordsjöns regionala rådgivande nämnd har reviderat sin uppfattning och rekommenderar inte längre en sådan åtgärd."
"However, we need to ensure that the RAC areas are adequately supported.", "Vi måste dock se till att de får tillräckligt stöd."
"Small-scale fisheries, as part of the catching sector, are already included as RAC members by virtue of the RAC decision.", "Det småskaliga fisket, som en del av fångstsektorn, är redan med i de regionala rådgivande nämnderna genom beslutet om nämnderna."
"For instance, women's associations already have a seat in the North Sea RAC, which was the first RAC to be formed.", "Kvinnoorganisationer har till exempel redan en plats i regionala rådgivande nämnden för Nordsjön, som var den första nämnden som bildades."
"The North Sea RAC has revised its opinion on this topic and in its latest advice no longer advises such a measure.", "Nordsjöns regionala rådgivande nämnd har reviderat sin uppfattning i denna fråga och rekommenderar i sitt senaste råd inte längre en sådan åtgärd."
"I am pleased that the North Sea RAC has recognised that many elements of the Commission’s proposal are valuable and appropriate.", "Det gläder mig att Nordsjöns regionala rådgivande nämnd har medgett att många delar i kommissionens förslag är värdefulla och ändamålsenliga."
"I am pleased that the North Sea RAC has recognised that many elements of the Commission’ s proposal are valuable and appropriate.", "Det gläder mig att Nordsjöns regionala rådgivande nämnd har medgett att många delar i kommissionens förslag är värdefulla och ändamålsenliga."
"In any case, the five major European environmental organizations and 40 million motorists who are members of associations like the ADAC, the RAC, etc. are on our side.", "Dessutom har vi de fem viktigaste miljöorganisationerna i Europa och 40 miljoner bilförare, som är organiserade i förbund som ADAC, RAC osv., på vår sida."
"For instance, women’ s associations already have a seat in the North Sea RAC, which was the first to be created as a result of the common fisheries policy reform in 2002.", "Konferensen kommer att ge en överblick över kvinnors situation i fiskerisektorn, och man kommer att fundera över vägar framåt för att förbättra situationen och göra ytterligare framsteg."
"RACs are welcome to highlight to the Commission any need for scientific advice.", "Regionala rådgivande nämnder är välkomna att lägga fram behov av vetenskaplig rådgivning för kommissionen."
"We must now call on the Commission to come forward with clear proposals to help RACs.", "Vi måste nu be kommissionen att lägga fram tydliga förslag för att hjälpa de regionala rådgivande nämnderna."
"Thus the Commission already promotes their participation in RACs as full members.", "Kommissionen stöder alltså redan nu deras deltagande i de regionala rådgivande nämnderna som ordinarie ledamöter."
"The creation of RACs is a vital and most welcome development.", "Inrättandet av regionala rådgivande nämnder är en mycket viktig och högst välkommen utveckling."
"Lastly, the setting up and maintaining of regional advisory councils (RACs) are key to the new CFP.", "Slutligen är inrättandet och behållandet av regionala rådgivande nämnder av stor vikt för den nya GFP."
"To this end, the Commission must clarify more clearly to what extent all areas relating to the RACs are to be funded.", "I många fall bidrar småskaligt fiske till och med till att stärka turismen."
"The key issue that needs to be addressed, however, is that of the RACs' long-term financial viability.", "Huvudfrågan som man måste ta itu med är dock de regionala rådgivande nämndernas långsiktiga lönsamhet."
"In general, whose prerogative is it to decide when and on what RACs will be consulted.", "Vem är det i allmänhet som har rätt att besluta när och i vilka frågor regionala rådgivande nämnder kommer att tillfrågas."
"In this context Parliament gave a resounding approval to my report on Regional Advisory Councils, or RACs, as they are known.", "I detta sammanhang godkände parlamentet med kraft mitt betänkande om regionala rådgivande nämnder."
"We support this report, which improves the operating conditions of the Regional Advisory Councils (RACs).", "skriftlig. (PT) Vi stöder detta betänkande, som förbättrar arbetsvillkoren för de regionala rådgivande nämnderna (RAC)."
"I do not believe that any other fisheries issue has been the subject of such extensive dialogue with the RACs.", "Jag tror inte att någon annan fiskerifråga har varit föremål för en så omfattande dialog med de rådgivande nämnderna."
"It is vital to press for finance to be available for RACs beyond the initial five-year period.", "Det är oerhört viktigt att kräva att finansieringen av de regionala rådgivande nämnderna fortsätter efter etableringsperioden på fem år."
"RACs allow local stakeholders to have a voice in decision making which affects their local interests.", "De regionala rådgivande nämnderna ger lokala intressenter inflytande över beslutsfattandet, vilket påverkar det lokala intresset."
"The Commission is encouraging the industry to engage in pilot programmes by making use of the RACs for this purpose.", "Kommissionen uppmuntrar fiskenäringen att delta i pilotprogram genom att utnyttja de regionala rådgivande nämnderna."
"Only at the end of a transitional period will the composition and workings of the RACs have to be reassessed.", "De regionala rådgivande nämndernas sammansättning och verksamhet kommer att utvärderas först vid slutet av en övergångsperiod."
"To this end, the Commission must clarify more clearly to what extent all areas relating to the RACs are to be funded.", "I detta syfte måste kommissionen tydligare klargöra i vilken utsträckning alla områden som rör nämnderna ska finansieras."
"It is difficult at present to carry out an assessment of the RACs given that only four of the seven are operational.", "Det är svårt att för närvarande utvärdera de regionala rådgivande nämnderna med tanke på att endast fyra av sju är verksamma."
"It is therefore vital to ensure not only that funding is available to cover the start-up costs of the RACs, but also that the councils remain viable.", "Fisket bidrar till att förbättra livskvaliteten på EU-nivå och skydda kustlinjen och miljön."
"The Regional Advisory Councils (RACs) were established following the reform of the common fisheries policy adopted in 2002.", "skriftlig. (PT) De regionala rådgivande nämnderna (RAC) inrättades efter reformen av den gemensamma fiskepolitiken, som antogs 2002."
"The RACs can then take on a genuinely hands-on managerial role in addressing the economic, social and environmental issues directly affected by the CFP.", "I själva verket misstänks denna minoritet för att vilja ha tillbaka sin gamla privilegierade ställning."
"As stated in the EU enlargement Kosovo Progress Report 2009, the RAE community continues to face discrimination.", "Såsom det står i EU:s rapport om Kosovos framsteg inför utvidgningen 2009, fortsätter diskrimineringen av RAE-gruppen."
"How do EU pre-accession funds address the needs of RAE community members who were forcibly returned?", "Hur tillgodoser EU:s föranslutningsstöd behoven hos de medlemmar av de romska, ashkaliska och egyptiska befolkningsgrupperna som har tvingats att återvända?"
"As stated in the EU enlargement strategy Kosovo Progress Report 2009, the RAE community continues to face discrimination.", "Som det förklaras i 2009 års framstegsrapport om Kosovo inom ramen för EU:s utvidgningsstrategi, fortsätter de romska, ashkaliska och egyptiska befolkningsgrupperna att utsättas för diskriminering."
"We wish to welcome them and the leader of the delegation, Lee Kang Rae, on the occasion of the twelfth inter-parliamentary meeting between our Parliament and their country's Parliament.", "Vi välkomnar dem och deras ledare, Lee Kang Rae, till det tolfte interparlamentariska mötet mellan vårt parlament och deras lands parlament."
"They were part of 97 Squadron based at RAF Bourn in Cambridgeshire.", "De tillhörde den 97:e divisionen vid Royal Air Force Bourn i Cambridgeshire."
"Believe me, I am thankful that I am young enough not to have lived through the bad times of the RAF in Germany, but then, too, appropriate laws were discussed.", "Tro mig, jag är tacksam att jag är ung nog för att inte ha levt under de dåliga RAF-tiderna i Tyskland, men även då diskuterades lämpliga lagar."
"I also witnessed the fact that immediately adjacent to the airfield is a large RAF military base and that just down the road from that the Royal Artillery have a massive base.", "Jag bevittnade också det faktum att i omedelbar anslutning till flygfältet ligger en stor RAF-bas och att det längre ned längs vägen ligger en stor artilleribas."
"I would also like to thank Brett and Luella Langevad, who are paying for the memorial to be laid, and RAF 9 Squadron for sending two crews to the ceremony on Saturday.", "Jag vill även tacka Brett och Luella Langevad som bekostar minnesstenen, liksom Royal Air Forces 9:e division för att man sänder två besättningar till lördagens ceremoni."
