//Sentences
"There is enough other work to be done without embarking on this kind of Sisyphean task.", "Vi har nog med arbete för att inte behöva göra ett sådant sisyfosarbete."
"This is vital if serious violations are to be prevented and human dignity is to be safeguarded.", "Det är nödvändigt för att undvika allvarligt missbruk och bevara människans värdighet."
"During the crisis the Moldovan authorities committed serious violations of human rights.", "Under krisen begick de moldaviska myndigheterna allvarliga kränkningar av de mänskliga rättigheterna."
"I think that violence against women is one of the most serious human rights violations.", "Jag anser att våld mot kvinnor är en av de allvarligaste överträdelserna av de mänskliga rättigheterna."
"Thus, for serious violations of relevant regulations, an operator's licence would be withdrawn.", "Därför måste ett företag som allvarligt har brutit mot sådana föreskrifter få licensen indragen."
".– Economic operators commit serious violations of intellectual property rights on a commercial scale.", "Det är därför rätt att det skapas särskilda rättsliga åtgärder för att bekämpa detta gissel."
"We should take steps to prevent such serious violations of democracy and human rights.", "Vi måste agera för att förhindra sådana allvarliga kränkningar av demokratin och de mänskliga rättigheterna."
"There are many serious human rights violations, terrible prison conditions, etc.", "Det förekommer många allvarliga kränkningar av de mänskliga rättigheterna, fruktansvärda fängelseförhållanden, etc."
".– Economic operators commit serious violations of intellectual property rights on a commercial scale.", ".– Ekonomiska aktörer begår allvarliga kränkningar av immaterialrätten i kommersiell skala."
"In Romania, a Member State of the European Union, we are witnessing serious violations of fundamental rights.", "I Rumänien, en EU-medlemsstat, bevittnar vi allvarliga brott mot grundläggande rättigheter."
"It is indispensable to denounce the extremely serious human rights violations occurring in Iran today.", "Vi måste kritisera de oerhört allvarliga överträdelser av mänskliga rättigheter som sker i Iran i dag."
"Transnistria is committing serious violations in the areas of democracy and respect for human rights.", "Transnistrien begår allvarliga brott inom områdena demokrati och respekt för de mänskliga rättigheterna."
"Our assessment is that serious violations of human rights have continued to occur in the country during 2006.", "Vår bedömning är att allvarliga brott mot de mänskliga rättigheterna har fortsatt att äga rum under 2006."
"Let me assure her that we are aware that serious violations of human rights continue to occur within that country.", "Vår utmaning just nu, vilket jag gång på gång har klargjort, är att fortsätta att främja fredsprocessen."
"That also includes those responsible for serious human rights violations being called to account.", "Detta innefattar även att ställa till svars personer som är ansvariga för allvarliga kränkningar av de mänskliga rättigheterna."
"That also includes those responsible for serious human rights violations being called to account.", "För det andra måste vi även försöka se till att medlemsstaterna och unionen som helhet gemensamt strävar efter att nå de uppsatta målen."
"The control policy and the serious sanctions for violations provide grounds for better management of fish resources.", "Kontrollpolitiken och de allvarliga påföljderna för brott ligger till grund för en bättre förvaltning av fiskbestånden."
"Today we have three topics related to Asia, but serious violations of human rights are still going on in Europe.", "I dag har vi tre ämnen som gäller Asien, men allvarliga kränkningar av de mänskliga rättigheterna sker fortfarande i Europa."
"The Council continues to have serious concerns about violations of human rights and fundamental freedoms in Iran.", "Rådet fortsätter att känna stor oro över kränkningarna av de mänskliga rättigheterna och de grundläggande friheterna i Iran."
