//Sentences
"Fair dinkum.", "Verkligen?"
"In this regard, the findings of the Falcone project, which includes a 13 Member State study of the matter, will be of interest.", "I detta hänseende kommer slutsatserna i Falconeprojektet, som omfattar en studie i 13 medlemsstater i denna fråga, att vara av intresse."
"Falcone's men?", "Falcones mannar!"
"A great Italian judge, Giovanni Falcone, who was murdered by the Mafia, used to say that the latter was a phenomenon that had a beginning and an end.", "En ansedd italiensk domare, Giovanni Falcone som mördades av maffian, brukade säga att det senare var ett fenomen som hade en början och ett slut."
"Mr President, organised crime is often taken by the public to mean spectacular killings such as the murder of Judge Falcone or drug trafficking.", "Herr talman! När man talar om organiserad brottslighet tänker man bland allmänheten ofta på spektakulära brott, som mordet på domare Falcone eller narkotikahandel."
"The action plan on organized crime could be an important element, and we could, of course, also include the Grotius and Falcone programmes.", "Handlingsplanen om organiserad brottslighet kommer att kunna bli ett viktigt inslag, liksom att vi naturligtvis också skall kunna inkludera programmen Grotius och Falcone."
"As Members of Parliament know, the Commission has initiated a number of projects under the Falcone programme in conjunction with the Member States and NGOs.", "Som parlamentsledamöterna vet har kommissionen i samarbete med medlemsländerna och medborgarorganisationerna startat flera projekt i samband med Falcone-programmet."
"I was taken to Falcone-Borsellino airport in Palermo by the leader and representative of the Sicilian division of the Pensioners' Party, Mr Mario Collesano.", "Vi talar alltså om utveckling. Mario Collesano, som är ordförande och företrädare för Pensionärspartiet på Sicilien körde mig till Falcone-Borsellino-flygplatsen i Palermo."
"Another two programmes have just been approved by the Council of Ministers: ODYSSEUS on border controls, migration and asylum and FALCONE on the fight against organized crime.", "Ytterligare två program har just godkänts av ministerrådet: Odysseus för gränskontroll, invandrings- och asylfrågor och Falcone för bekämpandet av organiserad brottslighet."
"Messrs Falcone, Attali, Mitterrand, Sulitzer, and others who have been indicted in the same scandal, have either been held for questioning, are being investigated or on bail.", "Falcone, Attali, J.C. Mitterrand, Sulitzer, och andra som utreds i samma ärende, har antingen kvarhållits i häktet, underställts rättsliga kontrollåtgärder, eller belagts med en borgensavgift."
"I would be delighted to do so, but the aforementioned Mr Falconer has the floor.", "Jag skulle med glädje göra det, men den förutnämnde Falconer har ordet."
"Thank you, Mr Falconer, for the explanation. We will record that in the Minutes.", "Tack, herr Falconer för det förtydligandet som tas till protokollet."
"Mr Falconer, we note that you are not taking part in the vote but that you are indeed present.", "Herr Falconer, vi noterar att ni inte deltar i omröstningen, men att ni är här."
"No, Mr Falconer, we agreed that that was your last point of order.", "Nej, herr Falconer, vi hade kommit överens om att det var ert sista ordningsfråga."
"Mr President, I want to add to what my colleague, Mr Falconer has said.", "Herr ordförande! Jag skulle vilja lägga till litet till vad min kollega, Falconer, sade."
"Of course, I have moved to my left and Mr Falconer has moved even further left.", "Naturligtvis, jag har flyttat mig åt vänster och Falconer har flyttat sig ännu längre åt vänster."
"Mr Falconer, I will allow you to speak on condition that it is for a final point of order.", "Herr Falconer. Jag ger er ordet under förutsättning att det gäller en sista ordningsfråga."
"I can tell you that the Bureau is aware of this matter, Mr Falconer.", "Herr Falconer! Jag kan säga er att presidiet har tagit sig an frågan."
"It was the Bureau that held these instructions down, not Mr Falconer.", "Det var presidiet som förbigick dessa instruktioner, inte Falconer."
"(During the vote on the amendments, Mr Falconer requested the floor several times)", "(Under omröstningen om ändringsförslagen gav sig Falconer till känna flera gånger för att begära ordet.)"
"Question No 10 by Sören Wibe (H-0749/98), deputised for by Mr Falconer", "Fråga nr 10 från Sören Wibe som ersätts av Falconer (H-0749/98):"
"(Mr Falconer insisted - protests from the House) Mr Falconer, this is really very unpleasant.", "(Falconer insisterade - protester från kammaren.) Herr Falconer!"
"I give the floor to the President-in-Office to reply to Mr Falconer.", "Ferrero-Waldner, ni har möjlighet att svara på Falconers fråga."
"I think I really have properly respected your right to vote or not to vote, Mr Falconer.", "Jag anser att jag verkligen och djupt respekterat er rätt, herr Falconer, att rösta eller inte rösta."
"Very well, Mr Falconer, I will pass on your opinion to the Bureau.", "Tack, herr Falconer, jag skall förmedla era ord till presidiet."
"Mr Falconer, I listened to the question you put to Vice-President Avgerinos when he was in the chair.", "Herr Falconer, jag hörde frågan ni ställde till ordförande Avgerinos."
"I wish you bon appétit and I now give the floor to Mr Falconer!", "Jag önskar er en smaklig måltid och lämnar ordet till Falconer!"
"Mr Falconer, I think there was a mistake, because the amendments exist in all the languages.", "Jag tror att det handlar om ett misstag, herr Falconer, eftersom ändringsförslagen finns på alla språk."
"Along with Mr Falconer, I also would point to the OECD guidelines for multinational enterprises.", "Tillsammans med Falconer skulle även jag vilja peka på OECD.s riktlinjer för multinationella företag."
"There are about fifteen roll-call votes, Mr Falconer.", "Det finns ett femtontal omröstningar med namnupprop, herr Falconer."
"The Falkland Islands is an associated territory to the Union and the rule of law would apply.", "Falklandsöarna är associerade till EU, och rättstatsprincipen skulle vara tillämplig."
"Will the Council confirm its commitment to self-determination of the Falkland Islands in line with the UN Charter?", "Kan rådet bekräfta sitt åtagande när det gäller Falklandsöarnas rätt till självbestämmande i enlighet med FN-stadgan?"
"A recent summit of Latin American and Caribbean leaders saw unanimous support from all 32 countries for Argentine claims to the Falkland Islands.", "Vid ett toppmöte mellan de latinamerikanska och västindiska ledarna ställde sig samtliga 32 länder bakom Argentinas anspråk på Falklandsöarna."
"Falkland Islands", "Falklandsöarna"
"Whose interest do you support in relation to Argentina formally asking the United Nations Secretary, Ban Ki-moon, to question British sovereignty over the Falkland Islands?", "Vems intressen stöder ni när det gäller Argentinas formella begäran till FN:s generalsekreterare, Ban Ki-moon, om att ifrågasätta Storbritanniens suveränitet över Falklandsöarna?"
"We have seen how a good deal of those munitions end up in precisely the world’s poorest countries, from Afghanistan to the Falkland Islands, and also closer to home, in Serbia and Montenegro.", "Vi har konstaterat att en stor del av dessa bomber hamnar just i världens fattigaste länder, från Afghanistan till Falklandsöarna, men även närmare oss, i Serbien och Montenegro."
"more_vert open_in_new Link to statmt.org warning Request revision The Falkland Islands is an associated territory to the Union and the rule of law would apply.", "expand_more Falklandsöarna är associerade till EU, och rättstatsprincipen skulle vara tillämplig."
"more_vert open_in_new Link to statmt.org warning Request revision We no longer want to be an island behind an island, dominated by British interests.", "expand_more Vi vill inte längre vara en ö bakom en ö, dominerad av brittiska intressen."
"Will the Council confirm its commitment to self-determination of the Falkland Islands in line with the UN Charter?", "Kan rådet bekräfta sitt åtagande när det gäller Falklandsöarnas rätt till självbestämmande i enlighet med FN-stadgan?"
"During the Falklands crisis, Mrs Thatcher successfully reprieved the Ark's sister ship, HMS Invincible.", "Under Falklandskrisen gav Margaret Thatcher framgångsrikt respit till Arks systerfartyg, ”HMS Invincible”."
"Angola, Mozambique, those Exocet missiles in the Falklands.", "Angola, Moçambique han såIde missiler till Balkan."
"The Falklands Islands were raised.", "Falklandsöarna togs upp."
"He knew nothing of the Falklands war, he was not sufficiently informed and despite this, he assumed the political responsibility for it.", "Han visste ingenting om Falklandskriget, han var inte tillräckligt informerad, och trots detta tog han det politiska ansvaret för det."
"And yet, unlike when we took action to rescue the Falklands, Kuwait and Bosnia, this time our constituents are uneasy and uncertain.", "Trots detta är våra väljare, till skillnad från när vi vidtog åtgärder för att undsätta Falklandsöarna, Kuwait och Bosnien, denna gång ängsliga och osäkra."
"We need to copy what Iceland, New Zealand and the Falklands and other places have done, in giving skippers an incentive in conservation and giving them property rights.", "Vi måste kopiera vad Island, Nya Zealand, Falklandsöarna och andra platser har gjort genom att motivera skepparna att konservera och genom att ge dem äganderättigheter."
"It is, after all, a sad truth that we are there predominantly as a result of a domestic political agenda on the part of President Sarkozy, who allowed himself a kind of Falklands moment.", "Det är trots allt en sorglig sanning att vi är där främst till följd av president Nicolas Sarkozys inhemska politiska agenda, då han tillät sig något av ett eget litet Falklandskrig."
"False hope on both sides would, in any case make us fear for a speedy relapse into the old situation of "cold friendship" .", "Falska förhoppningar på båda sidor får i alla fall oss att frukta att vi snabbt kommer att falla tillbaka i det gamla tillståndet av "kylig vänskap"."
"False hope on both sides would, in any case make us fear for a speedy relapse into the old situation of " cold friendship ".", "Falska förhoppningar på båda sidor får i alla fall oss att frukta att vi snabbt kommer att falla tillbaka i det gamla tillståndet av " kylig vänskap "."
"However, we should not create any false hope: Laeken will not bring a new treaty and cannot provide a solution for the shortcomings which Nice has left behind.", "Vi får dock inte väcka några falska förväntningar: Laken kommer inte att ge något nytt fördrag, kan inte ge någon lösning på de brister som finns kvar efter Nice."
"2014, a date suggested by some of you today, generates false hope, unrealistic expectations and misleads the politicians and the public opinion of these countries.", "År 2014, ett datum som några av er i dag har föreslagit, skapar falska förhoppningar och orealistiska förväntningar, och vilseleder politikerna och den allmänna opinionen i dessa länder."
"This affects not only Falun Gong, but also Christians, Buddhists and others.", "Detta gäller inte bara Falun Gong, utan också kristna, buddister och andra."
"My proposal is to insert, after 'trade union activists', the words 'Falun Gong members'.", "Mitt förslag är att föra in ordet ”medlemmar av falungong”, efter ”fackligt aktiva”."
"This affects not only Falun Gong, but also Christians, Buddhists and others.", "Valobservatörer från OSSE kommer också att vara närvarande vid parlamentsvalet i Moldavien."
"I should also like to re-emphasise what I said before about the Falun Gong.", "Jag vill också åter betona vad jag tidigare sa om Falun Gong."
"The Chinese leaders are extremely frightened of the peaceful, religious movement, Falun Gong.", "De kinesiska makthavarna är utomordentligt rädda för den fredliga religiösa rörelsen Falun Gong."
"We are talking, in particular, about the arrest, torture and persecution of Falun Gong practitioners.", "Det handlar inte minst om arresteringarna, tortyren och trakasserierna mot utövare av Falun Gong."
"Its arrogance in relation to its treatment of Falun Gong practitioners and dissidents also cannot be tolerated.", "Dess arroganta behandling av Falun gong-anhängare och oliktänkande kan inte heller tolereras."
"Secondly, the repression against Falun Gong is totally absurd.", "För det andra är förtrycket mot falungong helt absurt."
"The same is happening in China in connection with the Falun Gong movement and with the Catholic and Protestant churches.", "Detta sker i Kina med Falun Gong-rörelsen och med de katolska och protestantiska kyrkorna."
"Later, I shall be talking a little about Falun Gong.", "Jag kommer senare att säga något om falungong."
"Moreover, the Falun Gong was described as an ‘evil group’, a choice of words in which we no longer have much confidence.", "Dessutom beskrivs Falun Gong som en ”ond grupp”, ett ordval som vi inte längre har mycket förtroende för."
"Moreover, the Falun Gong was described as an ‘ evil group’, a choice of words in which we no longer have much confidence.", "Dessutom beskrivs Falun Gong som en ” ond grupp ”, ett ordval som vi inte längre har mycket förtroende för."
"His investigation into the persecution of the spiritual Buddhist group, Falun Gong, led to widespread support across China.", "Hans bevakning av förföljelsen av den andliga buddhistiska gruppen Falun Gong fick brett stöd i hela Kina."
"Falun Gong is a special case, especially because we know, as you mentioned, that degradation and torture are used.", "Falun Gong är ett specialfall, särskilt som vi känner till, som ni nämnde, att man tillämpar förnedring och tortyr."
"The daily arrests, torturing and systematic persecution of Falun Gong practitioners is also very worrying.", "De dagliga arresteringarna, tortyren och den systematiska förföljelsen av utövare av Falun Gong är också mycket bekymmersam."
"The situation of Falun Gong followers who have been subject to repression because of their beliefs remains a matter of concern for us.", "Vi är fortfarande oroade över situationen för Falun Gong-anhängare som har utsatts för förtryck på grund av sin tro."
"On the other hand, most of the Members of my group are totally opposed to any reference to the Falun Gong movement in this resolution.", "Däremot är en mycket stor majoritet av min grupp helt emot varje form av hänvisning till falungong-sekten i denna resolution."
"We asked, and will continue to ask, the Chinese authorities to put an end to the harsh treatment imposed on Falun Gong followers.", "Vi har bett, och fortsätter att be, de kinesiska myndigheterna att sätta stopp för den bryska behandlingen av Falun Gong-anhängare."
"The way in which the Chinese Government violates human rights is clear from, for example, its treatment of Christians and Falun Gong adherents.", "Den kinesiska regimens människorättsbrott åskådliggörs bland annat av behandlingen av kristna och falun gong-anhängare."
"You can therefore be assured, honourable Member, that we are also seeking to end the suppression of the Falun Gong faith and its adherents.", "Ni kan därför vara förvissad om att vi också försöker få ett slut på undertryckandet av Falun Gong-trosläran och dess anhängare."
