//Sentences
"We see no reason not to endorse this conclusion and therefore voted in favour.", "Vi ser ingen anledning att inte stödja denna slutsats och har därför röstat för."
"We want it to be known, after the vote on each report, which lobbyists have tabled the amendments that are shaping our future, word for word, amendment by amendment.", "Vi vill att det efter varje omröstning om ett betänkande ska offentliggöras vilka lobbyister som har ingett de ändringsförslag som stakar ut vår framtid, ord för ord, ändring för ändring."
"I voted for this document as I am myself part of that same younger generation shaping the future of the EU and I am concerned about the sort of future that awaits me and people of my generation.", "Jag röstade för dokumentet eftersom jag själv tillhör den unga generation som utgör EU:s framtid och jag är oroad över vilken sorts framtid som väntar mig och andra i min generation."
"The compromise package should be seen as a very modest but important first step.", "Kompromisspaketet bör ses som ett mycket blygsamt, men viktigt första steg."
"I think this should be seen positively and therefore so should the result of the vote.", "Jag anser att man bör se positivt på det och även på resultatet av omröstningen."
"A single European market should be seen as an opportunity rather than a threat.", "En gemensam europeisk marknad bör ses som en möjlighet snarare än ett hot."
"In other words, the crisis should be seen as an incentive to implement the Lisbon strategy.", "Med andra ord bör krisen ses som ett incitament att genomföra Lissabonstrategin."
"Our public services should be seen as mechanisms for social protection.", "Om de inte fanns skulle många fler miljoner människor leva på existensminimum."
"This recommendation should be seen as a first stage in the development of that framework.", "Denna rekommendation bör ses som ett första skede i utvecklingen av denna ram."
"As with so much in this field, these conclusions should be seen as just a start.", "Precis som med så mycket annat på detta område, bör dessa slutsatser bara ses som en början."
"Both these sectors should be seen as basic pillars of corporate social responsibility.", "Båda dessa områden bör ses som grundpelare för företagens sociala ansvar."
"I think this case should be seen and solved exclusively as a human tragedy.", "Jag anser att fallet måste ses och lösas som en humanitär tragedi och enbart som en sådan."
"The solicitation of children for sexual purposes should be seen as a crime.", "Kontaktsökning med barn för sexuella ändamål måste ses som ett brott."
"The enlargement processes both in the EU and in NATO should be seen in this light.", "EU: s och NATO: s utvidgningspolitik skall betraktas i detta ljus."
"Indeed, one has said that Chad should be seen as a political opportunity.", "En av dem sa till och med att Tchad bör ses som en politisk möjlighet."
"Our approval should be seen in the light of the following aspects, however.", "Vi vill emellertid framhålla några aspekter i ljuset av vilka man måste se vårt godkännande."
"I think the steps we are taking with this energy market package should be seen as important ones.", "Jag tycker att de steg vi tar genom detta paket för energimarknaden är viktiga."
"The Commission proposal should be seen in close connection with this article of the Treaty.", "Kommissionens förslag skall betraktas i nära anslutning till denna artikel i fördraget."
"Our cooperative businesses should be seen fair and square as part of the small business sector.", "Våra kooperativa företag bör, i ärlighetens namn, ses som en del av småföretagssektorn."
"The whole thing would then make sense, and our proposed amendments should be seen in this light.", "Då blir det hela meningsfullt och då blir våra ändringsförslag begripliga."
"Animal experiments should be seen as exceptions to the rule rather than normal scientific procedures.", "Djurförsök bör ses som undantag snarare än som normala vetenskapliga förfaranden."
"Our public services should be seen as mechanisms for social protection.", "Våra offentliga tjänster bör ses som mekanismer för socialt skydd."
"What is happening in South Korea today should be seen as a grave warning.", "Det som händer i Sydkorea idag bör tas som en allvarlig varning."
"So too does Mr Goebbels' report, even if the part about Sweden is limited.", "Det gör också Goebbels betänkande, även om delen om Sverige är begränsad."
"Their future depends upon it, but so too does the future of Europe.", "Både deras och Europas framtid hänger på detta."
"As the number of divorces increases, so too does the number of cases of discrimination when seeking divorce or legal separation.", "I takt med att antalet skilsmässor ökar, ökar även antalet fall av diskriminering vid ansökningar om skilsmässa eller hemskillnad."
"The fact that the Lithuanian currency is still pegged to the dollar is also important here, because as the dollar rises, so too does the value of the litas against the euro.", "I detta sammanhang spelar också den bestående bindningen av den litauiska valutan till dollarn en roll, ty genom dollarns värde ökar också värdet för litas gentemot värdet för euron."
"Mr Friedrich mentions something in his report that may raise our hopes on this issue: when the national currency risk disappears, so too does one factor that affects differentials in interest rates.", "Friedrich nämner i sitt betänkande en faktor som väcker förhoppningar: när den nationella valutarisken försvinner, så försvinner förstås också en faktor som ökar ränteskillnaderna."
"The S1 form will allow you to register with the healthcare authority of your place of residence.", "Intyget ger dig rätt att skriva in dig i försäkringskassan i landet där du bor."
"After arriving in the Czech Republic, submit your S1 form to a health insurance authority there.", "När du kommit till Tjeckien ska du lämna in ditt S1-intyg till försäkringskassan där."
"You need to ask your Hungarian healthcare insurance authority to give you an S1 form (former E 106 form).", "Du ska ansöka om ett S1-intyg (tidigare E 106) hos den ungerska försäkringskassan."
"Amendment No 1 proposes to change the legal base from Article 130s(1) to Article 100a.", "I ändringsförslag nr 1 föreslås en ändring av den rättsliga grunden från artikel 130s.1 till artikel 100a."
"S1 (formerly E 106, E 109 and E 121)", "S1 (tidigare E 106, E 109 och E 121)"
"You need to ask Austria for an S1 form that you will then use to register with the German healthcare authority.", "Du måste be de österrikiska myndigheterna om ett S1-intyg som du använder för att registrera dig hos den tyska försäkringskassan."
"Finally, I wish to raise once again the matter of the choice of legal base, which should be Article 100a and not Article 130s(1).", "Slutligen skulle jag ännu en gång vilja beröra frågan om den rättsliga grunden, dvs. artikel 100a i stället för 130 s.1."
"You should first register in the country where you work and get an S1 form (former E 106 form) from your health insurance authority.", "Du ska först registrera dig i landet där du arbetar och be att få ett S1-intyg (tidigare E 106) från försäkringskassan."
"S1 form (former E 106 form): certificate of entitlement to healthcare for you and your family when you are living outside the country where you are insured.", "S1-intyg (tidigare E 106): intyg på att du och din familj har rätt till vård när du bor i ett annat land än ditt försäkringsland."
"To begin with, there is Amendment No 1, which means altering the legal basis for the Commission proposal from Article 130s(1) to Article 100a.", "Vi har först ändringsförslag 1, som går ut på att ändra den rättsliga grunden för kommissionens förslag från artikel 130s.1, till artikel 100a."
"To register in the health system in the country where you live, you will need an S1 form (former E 106 form) from the health insurance authority in the country where you work.", "Du ska först registrera dig i landet där du arbetar och be att få ett S1-intyg (tidigare E 106) från försäkringskassan."
"Once you have found a place to stay, submit your S1 form (or E 106 form) to the health insurance authority of your choice (if there is a choice) in your new country.", "När ni hittat någonstans att bo ska du skicka S1-intyget (eller E 106-intyget) till valfri försäkringskassa (om du kan välja) i det nya landet."
"Also, the implementation of the SAA interim agreement is broadly on track.", "Genomförandet av SAA-interimsavtalet går också i stort sett enligt planerna."
"The SAA represents an important economic and political opportunity.", "Stabilitets- och associeringsavtalet utgör en viktig ekonomisk och politisk möjlighet."
"I welcome the unanimous ratification of the SAA by the Montenegrin Parliament soon thereafter.", "Jag välkomnar det montenegrinska parlamentets enhälliga ratificering av avtalet strax därefter."
"The SAA is a milepost, it is not a destination.", "Stabiliserings- och associeringsavtalet är en hållplats, inte en slutdestination."
"Successfully implementing the SAA will be Albania ’ s next major challenge.", "Att framgångsrikt genomföra stabiliserings- och associeringsavtalet kommer att bli Albaniens nästa stora utmaning."
"The signature of the SAA this summer provided an opportunity that should not be wasted.", "Undertecknandet av stabiliserings- och associeringsavtalet i somras gav oss en möjlighet som inte får slösas bort."
"Successfully implementing the SAA will be Albania’s next major challenge.", "Att framgångsrikt genomföra stabiliserings- och associeringsavtalet kommer att bli Albaniens nästa stora utmaning."
"For the opening of SAA negotiations, the police reform is a particularly important condition for Bosnia and Herzegovina.", "Jag tror emellertid att landet är redo att ta ett större ansvar för sin egen framtid."
"There is a realistic prospect that in the near future the signature of the SAA may take place.", "Det finns realistiska utsikter till ett undertecknande av stabiliserings- och associeringsavtalet inom en snar framtid."
"I have made it clear to the Serbian Government that signature of the SAA is within reach.", "Jag har tydligt förklarat för den serbiska regeringen att undertecknandet av stabiliserings- och associeringsavtalet är inom räckhåll."
"Concluding the Stabilisation and Association Agreement (SAA) and implementing it are the next important steps on this road.", "Ingåendet av stabiliserings- och associeringsavtalet (SAA) och dess tillämpning är nästa viktiga steg på denna väg."
"The SAA sets up joint structures to foster dialogue and monitor progress, including a parliamentary committee.", "Genom avtalet upprättas gemensamma strukturer för att främja dialogen och övervaka utvecklingen, inklusive en parlamentarisk kommitté."
"The signature of the Stabilisation and Association Agreement (SAA) last June was a significant step forward for Bosnia and Herzegovina.", "Undertecknandet av stabiliserings- och associeringsavtalet i juni förra året var ett viktigt steg framåt för Bosnien och Hercegovina."
"The SAA is an important milestone on Albania’s path towards the European Union and a major step for the EU itself in the Western Balkans.", "Stabilitets- och associeringsavtalet är en viktig milstolpe på Albaniens väg mot EU och ett stort steg framåt för EU på västra Balkan."
"The SAA is an important milestone on Albania’ s path towards the European Union and a major step for the EU itself in the Western Balkans.", "Stabilitets- och associeringsavtalet är en viktig milstolpe på Albaniens väg mot EU och ett stort steg framåt för EU på västra Balkan."
"Of course a decisive step on Montenegro's European journey was taken on 15 October this year when we signed the SAA with the country.", "Ett avgörande steg på Montenegros väg mot EU togs den 15 oktober i år när vi undertecknade stabiliserings- och associeringsavtalet med landet."
"After a 13-month break, the Stabilisation and Association Agreement (SAA) negotiations between the Serbian Government and the EU resumed.", "Efter ett uppehåll på 13 månader återtogs förhandlingarna om ett stabiliserings- och associeringsavtal mellan den serbiska regeringen och EU."
"For the opening of SAA negotiations, the police reform is a particularly important condition for Bosnia and Herzegovina.", "Ett särskilt viktigt villkor för att förhandlingar om stabiliserings- och associeringsavtalet skall kunna inledas med Bosnien och Hercegovina är att polisväsendet reformeras."
"I am sure that the SAA will bring concrete economic and trade benefits for the country in areas such as environment, energy, transport and many others.", "Jag är säker på att SAA kommer att ge landet konkreta ekonomiska fördelar och handelsfördelar på områden som miljö, energi, transport med flera."
"I hope that, after it has received the green light from the European Parliament, the SAA process can be concluded as soon as possible.", "Jag hoppas att processen med stabiliserings- och associeringsavtalet kan avslutas så snart som möjligt, efter att man har fått grönt ljus från Europaparlamentet."
"The Commission has already drafted a programme on economic cooperation with SAARC.", "Kommissionen har redan utarbetat ett program för ekonomiskt samarbete med SAARC."
"As a member of the SAARC delegation, I have been able to visit Sri Lanka many times.", "Jag ingår i SAARC-delegationen och har fått besöka Sri Lanka många gånger."
"The SAARC Secretariat and the Member States of the EU intend to adopt this programme in the near future.", "SAARC:s sekretariat och EU:s medlemsstater avser att anta detta program inom kort."
"I have obtained information on this in my role as vice-president of the SAARC delegation of the European Parliament.", "Som vice ordförande i Europaparlamentets SAARC-delegation har jag fått vissa upplysningar."
"The EU wants to improve the practical support it gives to SAARC.", "EU vill förbättra sitt praktiska stöd till SAARC."
"We have to encourage India's relationship with the other members of the SAARC, of its regional body.", "Vi måste främja Indiens förbindelser med de övriga medlemsländerna i SAARC, med dess regionala organisation."
"We have to encourage India' s relationship with the other members of the SAARC, of its regional body.", "Vi måste främja Indiens förbindelser med de övriga medlemsländerna i SAARC, med dess regionala organisation."
"I am very familiar with the charter stipulating that bilateral conflicts should not be resolved at SAARC level.", "Jag känner mycket väl till konventionen som säger att bilaterala konflikter inte skall lösas på SAARC-nivå."
"Mr President, speaking as chair of the SAARC Delegation, I recognise that this is a very delicate report.", "(EN) Herr talman! I egenskap av ordförande för SAARC-delegationen inser jag att detta är ett mycket känsligt betänkande."
"I should very much like to plead for support for the large infrastructure programmes in India and other SAARC countries.", "Jag vill verkligen vädja om stöd till de stora infrastrukturprogrammen i Indien och de övriga SAARC-länderna."
"Mr President, Commissioner, ladies and gentlemen, a year ago the SAARC delegation of the European Parliament visited Sri Lanka.", "Herr talman, herr kommissionär, kära kolleger! För ett år sedan besökte Europaparlamentets SAARC-delegation Sri Lanka."
"The problems inside the SAARC are still far from being solved and the delicate matter of Kashmir is still on the negotiating table.", "Problemen inom SAARC är fortfarande långt ifrån lösta och förhandlingarna om den känsliga Kashmirfrågan pågår fortfarande."
"I believe SAARC (South Asian Association for Regional Cooperation) has the potential to be a similar success story to the EU.", "Jag anser att SAARC (Sydasiatiska sammanslutningen för regionalt samarbete) har möjlighet att bli en liknande framgångssaga för EU."
"The decision by the SAARC ministerial council to confer on the EU the role of observer is a splendid opportunity to develop cooperation between SAARC and the EU.", "Beslutet av SAARC:s ministerråd att ge EU observatörsstatus är en utmärkt möjlighet att utveckla samarbetet mellan SAARC och EU."
"On behalf of the SAARC Delegation, may I say how pleased we are that the King has now relented and yesterday agreed to the restoration of democracy.", "På SAARC-delegationens vägnar vill jag säga hur glada vi är över att kungen nu givit efter och i går gick med på att återupprätta demokratin."
"Tourism must be revived there; these ASEAN and SAARC countries, some of which I know well, are waiting for us, their friends, to return to them.", "Turismen måste återupplivas. Dessa ASEAN- och SAARC-länder, som jag delvis är välbekant med, väntar på att vi, deras vänner, skall återvända till dem."
"Tourism must be revived there; these ASEAN and SAARC countries, some of which I know well, are waiting for us, their friends, to return to them.", "Vi måste erkänna vårt ökade beroende av varandra och att vi står närmare varandra än vad man i de dagliga politiska diskussionerna vill få oss att tro."
"– Mr President, in February 2001, a delegation from SAARC – the South Asian Association for Regional Cooperation – travelled to Sri Lanka; I, as its Vice-President, was with them.", "– Herr talman! I februari 2001 reste en delegation från SAARC, Sydasiatiska sammanslutningen för regionalt samarbete, till Sri Lanka."
"In meetings I had over there, including in my capacity as vice-chairman of the European Parliament's SAARC Delegation, I was able to see for myself the quality of the reforms.", "Vid mina besök på platsen, bland annat som vice ordförande i Europaparlamentets SAARC-delegation, har jag kunnat övertyga mig om reformernas kvalitet."
"As chair of Parliament's South-Asia SAARC delegation, I would urge you to keep all these matters in perspective, and the budget of each country is particularly relevant.", "Jag anser att det inte skulle tjäna något till att tala illa om en regering som försökt lösa och ta hand om det stora antal problem som Bhopalkatastrofen lett till."
"Once the SAB is adopted, there will be a margin of approximately EUR 500 million.", "När ändrings- och tilläggsbudgeten väl har antagits kvarstår en marginal på ca 500 miljoner euro."
"Draft supplementary and amending budgets (SAB) 1/99, 3/99 and 4/99", "Förslag till tilläggs- och ändringsbudget nr 1/1999, 3/1999 och 4/1999"
"The way the Council behaved over SAB 1 and 3 was nothing short of disgraceful.", "Rådets uppträdande i fråga om tilläggs- och ändringsbudget nr 1 och 3 var ingenting annat än skamligt."
"We welcome the cooperation that has gone on in SAB4.", "Vi välkomnar det samarbete som har ägt rum i tilläggs- och ändringsbudget nr 4."
"As for SAB 3, I will leave it to my colleague, Mr Fabra Vallés, to go into more detail.", "När det gäller tilläggs- och ändringsbudget nr 3, låter jag min kollega Fabra Vallés gå in djupare på den."
"However, two things need to be said about SAB4.", "Det finns dock två saker som bör sägas om tilläggs- och ändringsbudget nr 4."
"Draft supplementary and amending budgets (SAB) for 2000", "Förslag till tilläggs- och ändringsbudget (TÄB) för budgetåret 2000"
"It was thanks to SAB 1 that a solution was found to finance the Convention.", "Det var faktiskt tack vare tilläggs- och ändringsbudget nr 1 som man hittade en lösning för konventets finansiering."
"I say that with a lot of sadness because the Council deserves to be criticised over SAB1 and SAB3.", "Jag säger det med stor sorgsenhet, för rådet förtjänar kritik för tilläggs- och ändringsbudget nr 1 och 3."
"I am going to start with a few comments on Mrs Jensen’ s report on the SAB for the European Parliament.", "På samma sätt tycker jag att vi borde fundera över problemet med ledamotsstadgan för parlamentarikerna."
"If we do not do it under SAB 2, then we could certainly do it under SAB 3.", "Om vi inte gör det under tilläggs- och ändringsbudget 2, kan vi sannerligen göra det under tilläggs- och ändringsbudget 3."
"This is linked, however, not only to SAB 2 or SAB 3, but also to the Financial Regulation.", "Detta är emellertid inte bara kopplat till tilläggs- och ändringsbudget 2 eller 3, utan också till budgetförordningen."
"Mr President, I would like to thank Mr Brinkhorst for the work we have done together on the SAB.", "Herr ordförande, jag skulle vilja tacka Brinkhorst för det arbete vi gjort tillsammans med tilläggs- och ändringsbudgeten."
"It takes note of SAB 5 and indicates once again that the forecasts for agricultural expenditure have been excessive.", "Jag skulle vilja be parlamentet, kollegerna i kammaren, att godkänna resolutionen som är kort och koncis."
"Mr President, along with the Members of my group, I shall support the proposed Draft SAB.", "Herr talman! Precis som ledamöterna i min grupp kommer jag att stödja det förslag till ändrings- och tilläggsbudget som vi nu behandlar."
"Today SAB 5 is also being debated.", "I dag diskuterar vi också tilläggs- och ändringsbudget nr 5."
"I am going to start with a few comments on Mrs Jensen’s report on the SAB for the European Parliament.", "Jag skall börja med några kommentarer om Anne Elisabet Jensens betänkande om tilläggs- och ändringsbudgeten för Europaparlamentet."
"This has been a very successful budget line since created last year together with the SAB procedure.", "Denna budgetpost har varit mycket framgångsrik, sedan den skapades i fjol i samband med förfarandet för ändrings- och tilläggsbudgeten."
"As I said SAB 3 is coming.", "Som jag sade, så är tilläggs- och ändringsbudget 3 på väg."
"It takes note of SAB 5 and indicates once again that the forecasts for agricultural expenditure have been excessive.", "I den noteras tilläggs- och ändringsbudget nr 5 och konstateras att beräkningarna för jordbruksutgifterna återigen varit för höga."
"For pity's sake, let us reject this 'Euro Saint-Just '.", "Låt oss för Guds skull skjuta upp " Euro Saint-Just "."
"For pity' s sake, let us reject this 'Euro Saint-Just' .", "Låt oss för Guds skull skjuta upp "Euro Saint-Just"."
"I am told Saint-Just was a good lawyer too.", "Dessutom har jag hört att Saint Juste var en bra jurist."
"Conversely, two centuries ago, the bloodthirsty Saint-Just invented an expression which gained a following among all those in favour of totalitarianism.", "I motsats till detta uppfann för tvåhundra år sedan den mycket grymme Saint-Just formuleringen som bildade skola för allt det som mänskligheten åstadkommit när det gäller totalitarism."
