//Sentences
"It is almost impossible for the Court of Auditors to obtain access to documents.", "Det är nästan omöjligt för revisionsrätten att få tillgång till dokument."
"Where safer substitutes exist for substances of very high concern, it is imperative that the former replace, and are substituted for, the more harmful substances.", "Om det finns säkrare alternativ till ämnen med mycket farliga egenskaper är det absolut nödvändigt att dessa ersätter de farligare ämnena."
"One other example of how this report overreacts: paragraph 38 sweeps up all CMR category 3 substances and designates them of very high concern.", "Ett annat exempel på hur man i detta betänkande överreagerar: punkt 38 samlar ihop samtliga CMR-ämnen kategori 3 och betecknar dem som ämnen som inger särskild oro."
"There are Members here who still believe that chemicals of high concern should continue to be sold even when safer substitutes are readily available.", "Det finns ledamöter här som fortfarande anser att mycket viktiga kemikalier borde fortsätta att säljas, även om det redan finns säkrare ersättningar att tillgå."
"They, CMRs and other substances of very high concern, such as endocrine disrupters, will be subject to a rigorous authorisation process, including substitution.", "Efter mer än 40 lagar och över 100 000 ämnen och nästan 40 år efter det att EU först började ta itu med kemikalierna har vi fortfarande inte nått fram."
"There are Members here who still believe that chemicals of high concern should continue to be sold even when safer substitutes are readily available.", "Förslaget kommer att göra det möjligt att dela över tio år gamla uppgifter öppet, vilket minskar eller helt undanröjer möjligheten av att upprepade djurförsök kommer att utföras."
"Paragraph 38, which sets out which substance shall be classified as being of very high concern, is too broad for any authorisation system to be workable.", "Punkt 38, i vilken det fastställs vilka ämnen som skall anses som ämnen som inger särskild oro, är också för bred för att något tillståndsprövningssystem skall kunna fungera."
"It would also promote the movement of authentic acts by making them more secure.", "Även rörligheten av officiella handlingar skulle gynnas, eftersom de blir säkrare."
"For example, one area of competence for the EU is people’s freedom of movement.", "Ett behörighetsområde för EU är till exempel den fria rörligheten för personer."
"For example, one area of competence for the EU is people ’ s freedom of movement.", "Ett behörighetsområde för EU är till exempel den fria rörligheten för personer."
"I will talk about the regulation of the movement of workers in the Directive.", "Jag kommer att tala om regleringen av rörligheten för arbetstagare i direktivet."
"no preferential relations will exist with any particular religion or movement;", "Ingen särskild religion eller rörelse skall ges en privilegierad ställning."
"Provisions on free movement of goods, customs legislation and commercial policy", "Bestämmelser om fri rörlighet för varor samt om tullagstiftning och handelspolitik"
"The issue of the free movement of workers should be the subject of its own report.", "Frågan om arbetstagarnas fria rörlighet bör vara föremål för ett eget betänkande."
"The free movement of persons is one of the fundamental accomplishments of the EU.", "Den fria rörligheten för personer är en av de viktigaste saker som EU har uppnått."
"In Laos, members of the Student Democracy Movement have been in jail since 1999.", "I Laos har medlemmar av studentrörelsen för demokrati suttit i fängelse sedan 1999."
"How are we constructively to support the democracy movement and the Cuban people?", "Hur ska vi kunna stödja demokratirörelsen och det kubanska folket på ett bra sätt?"
"He was a man who was regarded as the father of the Ugandan human rights movement.", "Han var en man som betraktades som den ugandiska människorättsrörelsens fader."
"This also concerns the fundamental idea of European cooperation - free movement.", "Det här handlar dessutom om grundtanken med Europasamarbetet - fri rörlighet."
"That means that we have to look at it from the perspective of freedom of movement.", "Detta innebär att vi måste betrakta saken ur den fria rörlighetens perspektiv."
"Free movement for dogs and cats was certainly the goal of the 2003 regulation.", "Fri rörlighet för hundar och katter var faktiskt målet för förordningen från 2003."
"There was still some election-rigging, but the democracy movement was impressive.", "Det förekom fortfarande en del valfusk men demokratirörelsen var imponerande."
"It specifically concerns the movement of persons across the Czech-German border.", "Det gäller i synnerhet personer som reser över gränsen mellan Tjeckien och Tyskland."
"Quite simply, freedom of movement demands a basis of guaranteed, fundamental rights.", "Fri rörlighet kräver helt enkelt stöd av garanterade, grundläggande rättigheter."
"It is very important that we get movement in that area in the Transport Council.", "Det är mycket viktigt att vi ser någon aktivitet på det området i rådet (transport)."
"Just over one week ago we witnessed the start of an extraordinary movement there.", "För drygt en vecka sedan bevittnade jag inledningen på en extraordinär rörelse där."
"How will the movement of these foods between European countries be regulated?", "Hur ska rörligheten för dessa livsmedel mellan de europeiska länderna regleras?"
"The next item is the debate on six motions for resolutions on press freedom in Kenya.", "Nästa punkt är en debatt om sex resolutionsförslag om pressfriheten i Kenya."
"This could seriously inhibit press freedom and leave the way clear for arbitrary rulings.", "Detta kan allvarligt hämma pressfriheten och bana väg för godtyckliga avgöranden."
"Mr President, press freedom is undoubtedly one of the bases of any functioning democracy.", "Herr talman! Pressfriheten är utan tvekan grunden för varje fungerande demokrati."
"Mr President, as you know, today is the eleventh World Press Freedom Day.", "Herr talman! Som ni vet firar vi i dag den elfte årsdagen för pressfriheten."
"This kind of utterance can be interpreted quite simply as interference with press freedom.", "Denna form av uttalanden kan rentav tolkas som att pressfriheten ifrågasätts."
"They have condemned the deportation of as an intolerable violation of press freedom.", "Journalistorganisationen har fördömt utvisningen som ett oacceptabelt brott mot pressfriheten."
"Mr President, press freedom is one of the keystones that underpins real democracy.", "Herr talman! Pressfrihet är ett av de mycket värdefulla element som ingår i en riktig demokrati."
"Instead, we see a complete lack of press freedom and ongoing political oppression.", "Men i stället ser vi en fullständig avsaknad av pressfrihet och ett fortgående politiskt förtryck."
"As Social-Democrats we consider this topic of press freedom to be a cornerstone of our belief.", "Vi socialdemokrater betraktar frågan om pressfrihet som en hörnsten i vår övertygelse."
"One positive point at least is that attention is paid to the press and to press freedom.", "Det är i varje fall positivt att mycket uppmärksamhet ägnas åt pressen och yttrandefriheten."
"Mr President, press freedom and free democratic government are the foundations of the EU.", "(EN) Herr talman! Yttrandefriheten och ett fritt demokratiskt styre tillhör EU:s grundstenar."
"Nevertheless, I remain concerned about restrictions on press freedom and media pluralism.", "Ändå är jag fortfarande bekymrad över begränsningarna av pressfriheten och mediernas mångfald."
"Democratic institutions are weak and press freedom is scarce.", "De demokratiska institutionerna är svaga och pressfriheten är otillräcklig."
"Sweden has a generous attitude to freedom of expression, press freedom and freedom of religion.", "Sverige har en generös attityd vad gäller yttrandefrihet, pressfrihet och religionsfrihet."
"The Commission is therefore very closely following the ensured existence of press freedom in Turkey.", "Kommissionen följer därför noggrant att pressfriheten garanteras i Turkiet."
"This is because all too often, personal freedom has been quashed in the name of press freedom.", "Det beror på att personlig frihet alltför ofta har ogiltigförklarats i pressfrihetens namn."
"Human rights, freedom of the press, freedom of expression, etc. are continuously violated.", "De mänskliga rättigheterna, pressfriheten och yttrandefriheten utsätts för ständiga kränkningar."
"Iran is almost at the bottom of the world press freedom index.", "Iran ligger nästan i bottenskiktet i listan över pressfrihet i världen."
"What we most often disapprove of is the lack of press freedom, religious freedom and corruption.", "Vad vi oftast ogillar är bristen på tryckfrihet, bristen på religionsfrihet samt korruptionen."
"Then the next topic discussed was press freedom in Slovakia.", "Så över till nästa ämne som tagits upp här: pressfriheten i Slovakien."
"Billions of ECU, in any case, which stray every year from the European Union budget.", "Det handlar i varje fall om miljarder ecu som varje år förskingras ur EU: s budget."
"Yet at the same time, we ourselves must not stray into secondary details.", "Men samtidigt får vi just inte gå vilse bland mindre viktiga detaljer."
"So I hope the House will bear with me if I stray a little over the five minutes.", "Jag hoppas därför att parlamentet har överseende med att jag talar en aning längre än fem minuter."
"Sooner or later, a stray spark will set the pile ablaze like a bonfire.", "Någon gång skulle en gnista kunna sätta den i okontrollerad brand."
"Cities gave them a charter to get rid of the stray animals on the street and destroy them.", "Under ett normalt år dödades fyra miljoner hundar och katter."
"The euro, of course, limited the potential for 'stray' capital to speculate on exchange rates.", "Euron begränsade förstås möjligheterna för det ”lösdrivande” kapitalet att spekulera i valutakurser."
"We must put an end to the massacre of stray dogs in Romania.", "Vi måste få slut på massakern på herrelösa hundar i Rumänien."
"Nor should we, the Member States, stray from the road map.", "Vi medlemsstater bör inte heller avlägsna oss från färdplanen."
"(DE) Mr President, ladies and gentlemen, my intervention relates to the problem of stray dogs on Corfu.", "(DE) Herr talman, mina damer och herrar! Mitt inlägg gäller problemet med herrelösa hundar på Korfu."
"Subject: Poisoning of stray dogs and cats in Greece", "Angående: Förgiftning av herrelösa hundar och katter i Grekland"
"With this in mind, I feel that future cohesion policy must not stray from the following principles:", "Med tanke på detta anser jag att den framtida sammanhållningspolitiken inte får gå ifrån följande principer:"
"Let us not stray into glorification and apologia.", "Låt oss inte förirra oss in i förhärligande och försvar."
"I feel sure that you will not stray too far from the institutions, Mr President, so perhaps we shall see each other again.", "Jag vet att ni inte kommer att helt lämna institutionerna, herr talman, så kanske vi ses igen."
"However, we need to be very careful not to stray from consumer information to the area of consumer harassment which would be counterproductive.", "De godkända ändringsförslagen inkluderar förslaget om en ökning av märkningens storlek."
"Will the Commission indicate what percentage of stray animals from Greece go to Germany, The Netherlands and Denmark?", "Kan kommissionen svara på hur många procent av Greklands herrelösa djur som adopteras till Tyskland, Holland och Danmark?"
"Mind you, I shall not stray very far from it.", "Jag kommer inte att avvika mycket."
"It is reported that between 30 000 and 50 000 stray cluster bombs are still to this day contaminating whole tracts of land in Kosovo.", "Det rapporteras att mellan 30 000 och 50 000 utspridda splitterbomber än i dag förstör hela markområden i Kosovo."
"But I always sleep very badly in Athens because it simply upsets me so much to hear these stray dogs barking.", "Men jag sover alltid mycket dåligt i Aten, eftersom jag alltid blir vansinnigt ledsen av att höra dessa skällande, omkringströvande hundar."
"(RO) Mr President, in the past few days, Romania's governing party took an aberrant decision: they voted on euthanasia, namely, on the killing of stray dogs.", "(RO) Herr talman! För några dagar sedan fattade Rumäniens regeringsparti ett märkligt beslut."
"The reports before us today are commendable for their coverage, but they sometimes stray into areas best avoided.", "De föreliggande betänkandena är berömvärda när det gäller deras omfattning, men ibland glider de in på områden som det är bäst att undvika."
"As the much loved saying goes, you should choose the lesser of two evils.", "Som det mycket omtyckta talesättet lyder, bör man av två onda ting välja det minst onda."
"I have voted in favour of this proposal because it is the lesser of two evils.", ". (PT) Jag röstade för detta förslag för att det är mindre dåligt."
"I have voted in favour of this proposal because it is the lesser of two evils.", "Jag röstade för detta förslag för att det är mindre dåligt."
"Finally, why is it a choice between two evils?", "Till sist, varför är det ett val mellan två onda ting? Herr talman!"
"Mr President, war is an evil, but in some cases it can be the lesser of two evils.", "Herr talman! Krig är något ont."
"In other words between a disgrace and a cataclysm obviously the former option would be the lesser of two evils.", "För då skulle, i valet mellan en olycka och en katastrof, den första naturligtvis vara det minst onda."
"We have therefore chosen to abstain from voting on those amendments where we had to choose between two evils.", "Därför har vi valt att lägga ner rösten på de ändringsförslag där vi hade att välja mellan pest och kolera."
"Cannot this idea of the lesser of two evils also be applied to supernumerary embryos for which potential parenting no longer exists?", "Kan inte denna etik om det minst onda tillämpas på övertaliga embryon, för vilka det inte längre finns en föräldraplan?"
"Ladies and gentlemen, the Committee on Budgets fully supports, almost unanimously, the proposed compromise as the lesser of two evils.", "Ärade ledamöter, budgetutskottet stödjer i hög grad, kanske t.o.m. enhälligt, det föreslagna åtagandet som ett nödvändigt ont."
"This philosophy of 'the lesser of two evils' undermines democracy and justifies and feeds anti-democratic tendencies.", "Den här filosofin om ”att välja det minst onda av två onda ting” undergräver demokratin och rättfärdigar och underblåser odemokratiska tendenser."
"Although the decision, which has dragged on for some time, is an unsatisfactory compromise, it is the lesser of two evils.", "Även om lösningen med sina långa övergångstider är en otillfredställande kompromiss skulle det bästa i det här fallet vara det godas fiende."
"This means that Parliament elections will have to take place under the Nice Treaty, but this is the lesser of two evils in my opinion.", "Detta innebär att Europaparlamentsvalet måste äga rum under Nicefördraget, men detta är det minst oangenäma av två onda ting, enligt min åsikt."
"If these were the two options, I would endorse the code of conduct as the lesser of the two evils, the underlying rationale being that something is better than nothing.", "Om det skulle vara valet så skulle jag stödja uppförandekoden som det minst illa för något är ju bättre än ingenting."
"The distance between two refrigerators could be a determining factor in evaluating which is the lesser of two evils - food-poisoning from sausages, or food additives.", "Avståndet mellan två kylskåp kan ge anledning till en konkret bedömning av om vad som är värst: matförgiftning eller tillsatsämnen."
"If Parliament endorses it, it proves that it too is living on another planet.", "Om parlamentet stöder lagstiftningen, bevisar detta att även parlamentet finns på en annan planet."
"When I listen to the Chairman of the Socialist Group, I think I am on another planet.", "När jag lyssnar till den socialdemokratiska gruppens ordförande tror jag att jag befinner mig på en annan planet."
"That proposal appears to come from another planet - a planet where there is no financial crisis.", "Det förslaget verkar ha sitt ursprung på en annan planet - en planet där det inte råder någon finanskris."
"If someone from another planet saw us acting as if we had known that, they would think we were stupid.", "Om någon från en annan planet såg oss agera som om vi hade vetat detta, skulle de tro att vi var dumma."
"They have gone into orbit and landed on another planet like the astronauts for which the HACCP system was devised.", "De har svävat ut i rymden och landat på en annan planet, precis som astronauterna som HACCP-systemet var avsett för."
"Monrovia itself was Iike being on another planet.", "Det var som att vara på en annan planet."
"Mr President, I am standing here with the feeling that I am on another planet and wondering what is happening right now.", "(EN) Herr talman! Jag står här med en känsla av att jag befinner mig på en annan planet och undrar vad det är som händer."
"We now need to realise that what lies beyond the eastern border of the present European Union is not another planet but our own back yard.", "Vi måste nu inse att det som finns bortom det nuvarande EU:s östra gräns inte är en annan planet utan vår egen bakgård."
"In English 'aliens' are people from another planet and to be perfectly honest we do not have much of a problem with that at the moment.", "Det engelska ordet "aliens" betyder folk från en annan planet, och om vi skall vara helt ärliga är detta inget större problem för tillfället."
"We now need to realise that what lies beyond the eastern border of the present European Union is not another planet but our own back yard.", "Det är viktigt att förstå att Lukasjenko då han strider mot sitt folk även strider mot deras kultur och religion, i synnerhet katolicismen."
"If someone from another planet were to look down on this earth, he would think that mankind wished to destroy itself and had no desire to survive.", "Om någon från en främmande planet såg ned på jorden skulle han tro att mänskligheten ville förgöra sig själv och inte hade någon önskan att överleva."
"I want to ask the Commissioner, who claimed we support his proposal, whether he lives on another planet, because we do not in fact support his proposal.", "Jag vill fråga kommissionsledamoten, som hävdade att vi stöder hans förslag, om han bor på en annan planet, för vi stöder faktiskt inte alls hans förslag."
"In fact, everyone in America jokingly referred to them as Martians later, because their superior intelligence made it seem as if they had come from another planet.", "Faktum är att alla i Förenta staterna på skoj kallade dem för marsmänniskor senare på grund av att deras överlägsna intelligens gjorde att det verkade som om de hade kommit från en annan planet."
"In these circumstances, the precautionary principle must be adopted to the full.", "Under dessa villkor måste försiktighetsprincipen användas så mycket som möjligt."
"I have voted accordingly, so as not to go against the principle of subsidiarity.", "Jag röstade i enlighet med detta för att inte bryta mot subsidiaritetsprincipen."
"Such a policy ties in with the prevention principle and the proximity principle.", "En sådan politik stämmer överens med försiktighetsprincipen och närhetsprincipen."
"America was founded on the principle that the free are governed by laws, not men.", "USA grundades på principen att fria människor styrs av lagar, inte av människor."
"The 'user pays' principle must come first, even if this means increasing prices.", "Principen " användaren betalar" är viktigast, även om det leder till prishöjning."
"The precautionary principle is no frivolous luxury; it is an absolute necessity.", "Försiktighetsprincipen är ingen meningslös lyx; den är en absolut nödvändighet."
"Tax fraud amounts to an attack on the principle of fair and transparent taxation.", "Skattebedrägerier bryter mot principen om rättvis och insynsvänlig beskattning."
"The principle of proportionality applies to private as well as international law.", "Proportionalitetsprincipen kan tillämpas på såväl privat som internationell rätt."
"This should be the main principle on which the transatlantic partnership is built.", "Det måste vara den huvudprincip som det transatlantiska partnerskapet bygger på."
"However, we have decided that the most important principle is representativeness.", "Vi har emellertid beslutat att den viktigaste principen är representativiteten."
"We disapprove, however, of its lack of emphasis on the principle of subsidiarity.", "Vi är dock kritiska mot att subsidiaritetsprincipen inte betonas i betänkandet."
"The well-known environmental principle is: the polluter pays, not: polluters pay.", "Den berömda miljöprincipen lyder: förorenaren betalar. Inte: förorenarna betalar."
"Mr President, I can answer the three questions on the principle of work-sharing.", "Herr talman! Jag kan besvara de tre frågorna om principen om arbetsfördelning."
"It also establishes the attitude and re-establishes the polluter pays principle.", "Det slår också fast en attityd och återinför principen om att förorenaren betalar."
"It was the principle of competitiveness in the milk sector which led us to BSE...", "Det var principen om större konkurrens för mjölk som drev oss in i BSEkrisen..."
"Fourth principle: kingly services are excluded from the scope of the discussion.", "Fjärde principen: de överordnade offentliga tjänsterna utesluts från diskussionen."
"The principle of immediately shutting down plants that fail the 'stress tests'.", "Principen om att omedelbart stänga kärnkraftverk som underkänns i stresstesten."
"The principle of 'equal pay for equal work in the same place' must be guaranteed.", "Principen om ”lika lön för lika arbete på samma arbetsplats” måste garanteras."
"The principle that prevention is better than cure has proven to be true here.", "Principen att det är bättre att förebygga än att bota har visat sig vara riktig."
"Would you, in principle, reject any objections or are you prepared to accept them?", "Kommer ni att förkasta alla invändningar, eller är ni beredd att acceptera dem?"
