//Sentences
"The free thinkers and the independent spirits are soon removed.", "Den fria tanken och det självständiga sinnet är snart röjda ur vägen."
"It is an approach I saw too little of in Mr Diouf's presentation of the agenda of the FAO.", "Det är en strategi som jag inte såg nog av i Dioufs presentation av FAO:s dagordning."
"It is an approach I saw too little of in Mr Diouf's presentation of the agenda of the FAO.", "Det är en strategi som jag inte såg nog av i Dioufs presentation av FAO: s dagordning."
"The FAO has still not received any lists of the vessels countries want.", "FAO har ännu inte fått in några listor på de fartyg som länderna vill ha."
"The next item is a statement by the Commission on the World Food Summit (FAO).", "Nästa punkt på föredragningslistan är ett uttalande av kommissionen om livsmedelstoppmötet (FAO)."
"FAO World Summit on Food Security - Eradicating hunger from the face of the earth (debate)", "FAO:s världstoppmöte om livsmedelssäkerhet - Utrota hungersnöden från jordens yta (debatt)"
"This system should be managed by the UN via its global Food and Agriculture Organisation (FAO).", "Detta system bör hanteras av FN via dess livsmedels- och jordbruksorganisation (FAO)."
"This is on the agenda for the next FAO meeting of fisheries ministers in Rome on 12 March.", "Detta står på dagordningen vid FAO:s fiskeriministrars nästa sammanträde i Rom den 12 mars."
"According to the FAO, trade liberalisation is beneficial to all countries.", "Enligt FAO gynnas alla länder av avregleringar på handelsområdet."
"FAO World Summit on Food Security - Eradicating hunger from the face of the earth (vote)", "FAO:s världstoppmöte om livsmedelssäkerhet - Utrota hungersnöden från jordens yta (omröstning)"
"She mentioned what the FAO's recommendation is, what the truth is and what is being called for.", "Hon förklarade vad FAO-rekommendationen innebär, vad som är sant och vad som efterlyses."
"It is one cause of the frictions in our discussions with the FAO.", "Det är en av orsakerna till motsättningarna i våra diskussioner med FAO."
"The procedure is the same at the WHO, the FAO and the ILO.", "Proceduren är densamma inom WHO, FAO och Internationella arbetsorganisationen."
"FAO criteria will be taken into account when it comes to laying the basis of eco-labelling schemes.", "När grunden läggs för miljömärkningsprogram kommer hänsyn att tas till FAO-kriterier."
"more_vert open_in_new Link to Origin warning Request revision Check out our FAQ.", "expand_more Kolla in vår FAQ."
"more_vert open_in_new Link to Origin warning Request revision Kolla in vår FAQ.", "expand_more Check out our FAQ."
"Please refer to the FAQ on tracking 3rd party shopping carts for more information.", "Läs sidan i vanliga frågor om spårning av kundvagnar hos tredje part om du vill veta mer."
"The last-minute decision of the leader of the FARC not to attend was extremely disappointing.", "Tyvärr kan frånvaron i sista minuten av FARC: s ledare kallas ett misslyckande."
"Two: FARC needs to be removed from the list of terrorist organisations.", "Två: FARC måste strykas från listan över terroristorganisationer."
"They can never leave the Farc, or see their family again.", "De kan aldrig lämna Farc-gerillan eller träffa sin familj igen."
"Of course, José Ignacio Salafranca Sánchez-Neyra is right to say that FARC must release the hostages.", "José Ignacio Salafranca Sánchez-Neyra har naturligtvis rätt när han säger att FARC måste frige gisslan."
"It is now a year and a half since she was kidnapped by the Revolutionary Armed Forces of Colombia (FARC).", "Det är nu ett och ett halvt år sedan hon fördes bort av Farc, Colombias väpnade revolutionära styrkor."
"Car bombs and mortars identical to those used by the IRA have since been used regularly by FARC.", "FARC har därefter regelbundet använt bilbomber och granatkastare av exakt samma slag som de IRA använder sig av."
"Today we are treading the path of negotiating the armed conflict with the FARC, the oldest of the guerrilla groups.", "I dag gör vi framsteg via förhandlingsvägen i den väpnade konflikten med FARC, den äldsta gerillagruppen."
"As you may be aware, Mr President, the three men involved were convicted in Colombia of assisting FARC terrorists there.", "Som ni kanske vet, herr talman, så dömdes de tre männen i Colombia för att ha hjälpt FARC-terrorister där."
"Mr President, this week sees the third anniversary of Ingrid Betancourt’s abduction by Colombia’s FARC guerrillas.", "– Herr talman! Denna vecka är det tre år sedan Ingrid Betancourt blev bortförd av Farcgerillan i Colombia."
"The case of the FARC is different, however.", "Jag vill slutligen påminna er om Spaniens historia."
"My question was as to whether the United States put any pressure on the EU to withdraw the FARC representative's visa.", "Min fråga var om USA gjorde någon påtryckning på EU för att EU skulle dra in visumet för FARC-representanten."
"The case of the FARC is different, however.", "När det gäller FARC är det emellertid annorlunda."
"My question was as to whether the United States put any pressure on the EU to withdraw the FARC representative' s visa.", "Min fråga var om USA gjorde någon påtryckning på EU för att EU skulle dra in visumet för FARC-representanten."
"The majority - I would say 95% of them - were working as coca leaf pickers just before being recruited by the Farc.", "De flesta av dem - jag vill påstå 95 procent - arbetade med att plocka kokablad innan de värvades av Farc-gerillan."
"When I was a prisoner, on several occasions I heard Raúl Reyes, the Farc spokesman, speaking for me.", "När jag var fånge hörde jag vid flera tillfällen Raúl Reyes, talesmannen för Farc, Colombias väpnade revolutionära styrkor, tala i mitt ställe."
"I share the Council's view that FARC-EP can justifiably be criticised, especially for murders and kidnappings of Indian leaders.", "Jag kan dela rådets uppfattning att man med rätta kan kritisera FARC-EP, inte minst för kidnappningar och mord på indianledare."
"I share the Council' s view that FARC-EP can justifiably be criticised, especially for murders and kidnappings of Indian leaders.", "Jag kan dela rådets uppfattning att man med rätta kan kritisera FARC-EP, inte minst för kidnappningar och mord på indianledare."
"Provocative action against Columbia, support for FARC guerrillas - these are facts which could actually lead to a real conflict in the region.", "Provokativt agerande mot Colombia, stöd för FARC-gerillan - detta är handlingar som kan leda till konflikt i regionen."
"He soon mobilised 12 million people to protest on the streets all over the world calling for an end to FARC's violence.", "Han lyckades snart mobilisera 12 miljoner människor som kunde protestera på gatorna över hela världen och uppmana till ett slut på FARC-gerillans våld."
"IRA terrorists Monaghan, Connolly and McCauley were duly convicted of training FARC guerrillas in Colombia.", "IRA-terroristerna James Monaghan, Niall Connolly och Martin McCauley har vederbörligen dömts som skyldiga till att ha tränat soldater tillhörande FARC-gerillan i Colombia."
"The FARO facility is very important: this is a way of studying real accidents.", "Faro-anläggningen är mycket viktig: detta är ett sätt att studera verkliga olyckor."
"The rail network in southern Portugal is the worst in Europe as there are no links with Seville or with Faro airport.", "Järnvägen i södra Portugal är den sämsta i Europa, den behöver förbindas med Sevilla och med flygplatsen i Faro."
"However, I suppose we must be thankful that considerable progress was made at the Cologne, Faro and Helsinki Summits.", "Jag antar dock att vi måste vara tacksamma för att avsevärda framsteg skedde vid toppmötena i Köln, Faro och Helsingfors."
"Now, Faro is a bustling little city, and to get to the beach, she explained, you would have to take a bus and then a boat.", "Faro är en livlig liten stad, och för att ta sig till stranden, förklarade hon att man måste ta bussen och sedan en båt."
"A ministerial conference will be held by the end of 2001 at which the Faro commitments should be turned into specific pledges.", "En ministerkonferens kommer att äga rum i slutet av 2001, vid vilken åtagandena från Faro bör omvandlas till specifika löften."
"(Laughter) Our last day in Portugal, we were in the district capital of Faro, and Catherine decided that she wanted to go to the beach one last time.", "(Skratt) På vår sista dag i Portugal var vi i distriktshuvudstaden Faro, och Catherine bestämde att hon ville gå till stranden en sista gång."
"I must emphasise that the Faro Agreement provides that these negotiations with third countries and dependent and associated territories should precede the adoption of the directive.", "Jag måste betona att Faroavtalet innebär att dessa förhandlingar med tredjeländerna och territorierna bör föregå antagandet av direktivet."
"Mr President, I would like to point out that the Andalusian fisherman Agustín García has been held in prison in Faro by the Portuguese authorities since 8 May last.", "Herr talman! Jag skulle vilja påminna om att den andalusiska fiskaren Agustín García sedan den 8 maj hålls häktad av de portugisiska myndigheterna i fängelset i Faro."
