//Sentences
"He will lead the European Council's work and take it forward from 1 January.", "Han kommer att leda Europeiska rådets arbete och driva det framåt från och med den 1 januari."
"After the Auto-Oil programme for passenger cars, a sound approach has been adopted with regard to heavy-duty vehicles too.", "Efter Auto-Oil-programmet rörande personbilar har man också valt en liknande strategi för lastbilar."
"Mr President, Mr Lange continues his splendidly competent work, this time in connection with heavy-duty vehicles.", "Herr ordförande! Kollegan Lange fortsätter med sitt mycket sakkunniga arbete, den här gången med tunga fordon."
"Tomorrow, the European Parliament will vote on the compromise package on the Euro 6 emissions standards for heavy-duty vehicles.", "I morgon kommer Europaparlamentet att rösta om kompromisspaketet om utsläppsnormer för tunga fordon (Euro 6)."
"Now we are looking at heavy-duty vehicles.", "Nu talar vi alltså om tunga fordon."
". - (DE) Mr President, if we adopt Euro VI for heavy-duty vehicles tomorrow, we will be doing so in a very good tradition.", "Herr talman! Om vi antar Euro 6 för tunga fordon i morgon kommer vi att fortsätta en mycket god tradition."
"Mr President, Commissioner, Bernd Lange has produced a very good report on reducing emissions from heavy-duty vehicles.", "Herr ordförande, herr kommissionär! Bernd Lange har skrivit ett mycket bra betänkande om minskning av utsläppen från tyngre motorfordon."
". - I voted in favour of the Groote report and welcome Europe-wide action to limit emissions from heavy duty vehicles.", "skriftlig. - (EN) Jag röstade för Matthias Grootes betänkande och välkomnar EU-omfattande åtgärder för att begränsa utsläppen från tunga fordon."
"I therefore agree with adopting most of the measures that were proposed and with applying them to minibuses, buses and coaches and to light, medium and heavy-duty vehicles.", "Jag håller dock med föredraganden om att ett förbud mot säten vända åt sidan i vissa fordon vore orimligt."
"The new emissions standards for heavy-duty vehicles relate to a reduction in pollutants, not in greenhouse gases: the two are sometimes confused.", "De nya utsläppsnormerna för tunga fordon gäller en minskning av förorenande ämnen, inte av växthusgaser. Ibland blandar man ihop dessa."
"The latest revision of the Air Quality Directive and the forthcoming Euro VI Standard for heavy-duty vehicles are two examples of this encouraging trend.", "Den senaste omarbetningen av luftkvalitetsdirektivet och den kommande Euro VI-standarden för tunga fordon är två exempel på denna positiva trend."
"Like heavy duty vehicles the EEV concept aims at being both technology- and fuel-neutral to encourage best available technology wherever possible.", "I likhet med tunga fordon syftar EEV-idén till att vara både teknik- och bränsleneutral, för att främja bästa tillgängliga teknik närhelst detta är möjligt."
"The next thing we have to look into in this field will be heavy-duty vehicles and there, of course, I greatly look forward to working in cooperation with the European Parliament.", "Nästa sak vi behöver titta på inom detta område blir tunga nyttofordon och där ser jag självfallet fram emot att samarbeta med Europaparlamentet."
"The report adopted today introduces harmonised technical provisions for heavy duty vehicles in order to ensure efficient operation of the internal market.", "skriftlig. - (PL) I det betänkande som antogs i dag presenteras harmoniserade tekniska bestämmelser för tunga fordon för att säkra att den inre marknaden fungerar effektivt."
"I therefore agree with adopting most of the measures that were proposed and with applying them to minibuses, buses and coaches and to light, medium and heavy-duty vehicles.", "Därför stöder jag antagandet av de flesta av de föreslagna åtgärderna och deras tillämpning på minibussar och bussar och på lätta, medeltunga och tunga fordon."
"The approach is innovative and represents a high level of European added value.", "Tillvägagångssättet är nyskapande och alstrar ett högt europeiskt mervärde."
"The future of Europe depends on high tech, high skill, high value-added jobs.", "EU:s framtid är avhängig av högteknologiska, högkvalificerade arbeten med högt mervärde."
"The future of Europe depends on high tech, high skill, high value-added jobs.", "EU: s framtid är avhängig av högteknologiska, högkvalificerade arbeten med högt mervärde."
"Women do not have equal opportunities for achievement in the high-value-added industry.", "Kvinnor har inte lika möjligheter att nå framgång i produktionsindustrin."
"At the same time, Europe is moving forward in high value-added products.", "Samtidigt går EU framåt när det gäller produkter med ett högt mervärde."
"We should focus on innovative, high-tech, valued-added textiles in which we are strong.", "Vi bör fokusera på innovativa och högteknologiska textilprodukter med mervärde, för där är vi starka."
"The situation is particularly serious in sectors of high added value, such as meat and dairy products.", "Läget är särskilt allvarligt i sektorer med högt mervärde, som kött och mejeriprodukter."
"It must not be allowed to be the case that this high degree of added value is only found in the metropolitan regions.", "Det får inte bli så att detta viktiga mervärde bara finns i storstadsregionerna."
"This is why we must encourage solutions which will help achieve products with high added value at local level.", "Därför måste vi uppmuntra lösningar som ger oss produkter med mervärde på den lokala nivån."
"To me, Lisbon is all about creating a Europe of highly-paid, highly-skilled, high-value-added jobs.", "För mig så handlar Lissabon om att skapa ett Europa av högt betalda, kvalificerade och värdeskapande jobb."
"Our agri-food industry also represents a high value added.", "Vår livsmedelsindustri har också ett högt mervärde."
"It supports scientific research activity, thereby boosting employment in a sector with high added value.", "Det främjar vetenskaplig forskningsverksamhet och ökar därmed sysselsättningen i en sektor med högt mervärde."
"Several countries with high levels of value added tax put the accruing revenue towards public sector expenditure.", "Flera länder med hög mervärdesskatt finansierar sin offentliga sektor med intäkterna från mervärdesskatten."
"That does not sound to me like the path toward competing through quality and high added value in a globalised world.", "För mig låter inte detta som vägen mot konkurrens med kvalitet och högt mervärde i en globaliserad värld."
"Firstly, I believe that we must invest a considerable amount, particularly as regards jobs with high added value.", "För det första tror jag att vi måste göra omfattande ansträngningar, bl.a. för sysselsättning med starkt mervärde."
"It is also a raw material for the wood processing industry, and serves to create numerous jobs and high added value.", "Det är också ett råmaterial för träförädlingsindustrin, och skapar många arbetstillfällen och ger stort mervärde."
"To conclude, I would say that territorial cooperation is one of those purely European policies with high added value.", "Sammanfattningsvis vill jag säga att det territoriella samarbetet är ett av de få rena EU-politikområdena som har ett mervärde."
"I refer to the production of high added value products in terms of quality and design, innovation and the use of new technologies.", "Jag tänker på tillverkning av produkter med ett högt mervärde vad gäller kvalitet och design, innovation och användning av ny teknik."
"Already today in high added-value services sectors – in financial business and consultancy services – this flow is greater from the older to the new Member States.", "Är omsorgen om de sociala förhållandena inte bara en rökridå för omsorgen om de nationella marknaderna?"
"Europe must therefore opt for eco-innovation and cutting-edge technologies in order to meet a demand for high added value products that our competitors cannot satisfy.", "Tack vare sina höga miljöstandarder främjar EU innovation och ökar konkurrenskraften inom EU: s industri."
"I hold my friends, the Members from the Hungarian Republic, in high regard.", "Jag har höga tankar om mina vänner, ledamöterna från Ungern."
"If I didn't have to hold my dick ' cause I gotta piss so bad, I would shake your hand.", "Om jag inte var så pissnödig, skulle jag skaka hand med dig."
"I hold my colleague, Mrs Miranda de Lage, in high esteem and I also have the highest regard for her work.", "Jag uppskattar kollega de Lage mycket, och jag vet också att uppskatta hennes arbete."
"Grit my teeth, close my eyes, hold myself stiff and let you do it to me?", "Bita ihop, blunda, ligga still och låta dig göra det."
"I certainly would not hold my breath on this issue.", "Jag vill verkligen inte hymla i denna fråga."
"I adore my wife. I hold my parents-in-law very dear; I visit them frequently in Japan and they come to visit me.", "Jag älskar min hustru och håller mycket av mina svärföräldrar, jag hälsar ofta på dem i Japan och de hälsar på mig."
"I will not hold my breath, Mr President.", "Det förefaller dock som att endast fyra slutfördes."
"something I hold very dear to my heart.", "att han har något som är värdefullt för mig."
"I will not hold my breath, Mr President.", "Jag tänker inte hålla andan, herr talman."
"I do not wish to hold back from expressing my regret that it has not been possible to increase the funding available for this programme.", "Jag tänker inte hålla inne med mitt beklagande över att man inte kunnat öka anslaget för detta program."
"I should like quickly to cover a matter that we hold dear in my political group – the question of value for money.", "Jag skulle snabbt vilja ta upp en fråga som ligger oss varmt om hjärtat i min politiska grupp – frågan om valuta för pengarna."
"Well, I hope that he and his group will also come out against the Islamicisation of Europe, although I shall not hold my breath.", "Jag hoppas att han och hans grupp även kommer att motsätta sig islamiseringen av Europa, även om jag inte kommer att sitta andlös."
"He got a hold of my woman, man!", "Han har fixat min brud!"
"He got a hold of my baby, yeah.", "Han har tagit in brud."
"Can you hold my purse, please?", "Kan du hålla min väska?"
". - Mr President, there was wisdom in my decision to hold back my contribution until I heard what I hoped would be answers.", "frågeställare. - (EN) Herr talman! Det var klokt av mig att vänta med mitt anförande tills jag fick höra det som jag hoppades skulle vara svar."
"I hold in my hand the first activity report from the authority which is supposed to supervise personal security in the Schengen Information System.", "Jag håller i min hand den första aktivitetsrapporten från den myndighet som skall tillse personsäkerheten i Schengenregistret."
"I promise I'll pay your debt to Benedict...... and LeMarc will hold my money in escrow as a guarantee.", "Medan jag lovar att betala er skuld till Benedict om ni accepterar. och Le Marc Kommer att ta hand om mina pengar som säkerhet."
"Hold my hand, Fife.", "Håll min hand, Fife."
"Grab hold of my leg!", "Ta tag i mitt ben!"
"What salary is paid to the envoy and what are the hours of work?", "Vilken lön får sändebudet och vilka arbetstider gäller?"
"Seafarers ' hours of work - Organisation of working time", "Arbetstidens längd för sjömän - Arbetstidsförläggning"
"Seafarers' hours of work - Organisation of working time", "Arbetstidens längd för sjömän - Arbetstidsförläggning"
". - I believe it is essential that workers have the free voluntary option of choosing the hours they work.", "Jag anser att det är grundläggande att arbetstagarna har möjlighet att fritt välja vilka tider de vill arbeta."
"Nothing is more of a factor in stress and poor performance than excessively long hours of work.", "Det finns inte en enda annan faktor som i större omfattning bidrar till stress och dåliga prestationer som just en för lång arbetstid."
"Equivalent to 40 hours of work a week.", "Motsvarar en arbetsinsats på 40 timmar per vecka."
"Furthermore, what about hours of work?", "Och vad är det som gäller i fråga om arbetstid?"
"We cannot, however, accept a regulation that would permit 60-65, and in extreme cases even 70-72 hours of work per week.", "Men vi kan inte acceptera en förordning som tillåter 60-65, och i extrema fall till och med 70-72 arbetstimmar per vecka."
"Nonetheless, there is an abiding memory of the best moments of all the meetings held and the hours of work undertaken together.", "Men de bästa ögonblicken från sammanträdena och de timmar vi arbetar tillsammans är ändå det som ger ett bestående minne."
"The United Kingdom had obtained a derogation of the regulations on maximum hours of work and on night work of adolescents.", "Förenade kungariket har ett undantag när det gäller tillämpning av föreskrifterna om begränsning av arbetstiden och nattarbete för minderåriga."
"The United Kingdom had obtained a derogation of the regulations on maximum hours of work and on night work of adolescents.", ". (FR) Förenade kungariket har ett undantag när det gäller tillämpning av föreskrifterna om begränsning av arbetstiden och nattarbete för minderåriga."
"This time period is considered necessary so that the Member States may ratify the relevant agreements of the ILO on the hours of work in maritime transport.", "Den tiden anses vara nödvändig för att medlemsstaterna skall kunna ratificera ILO-konventionen om arbetstidens längd för sjötransport."
"Payment can take many forms in terms of expenses or just compensating for lost hours at work, as distinct from profit in terms of payment.", "Betalning kan ske i många former när det handlar om utgifter, eller bara som ersättning för förlorad arbetsinkomst, till skillnad från vinst när det gäller betalning."
"In parts of the European Union at this moment people drive two hours to work in their cars, two hours home and live in overcrowded circumstances.", "I vissa delar av Europeiska unionen kör folk bil i två timmar för att komma till jobbet och sedan återigen i två timmar för att komma hem till sin trånga bostad."
"As you said, the proposal for which I am responsible is that relating to the enforcement of seafarers ' hours of work on board ships using Community ports.", "Som ni sade är det förslag som jag ansvarar för, det som gäller arbetstidens längd för sjömän som arbetar ombord på fartyg som använder gemenskapens hamnar."
"Precisely to ensure that this does not happen, it is recommended that anyone receiving this income is also able to provide some hours of work for the benefit of the community.", "För att se till att det inte händer rekommenderas det att alla som får denna inkomst också ska kunna arbeta några timmar med välgörenhet."
"Given the hours of work in household production, one must accept that this should be taken into account when computing the total production of a country.", "Med hänsyn till arbetstimmarna i hushållsproduktionen måste man acceptera att detta borde tas med i beräkningen när man uppskattar ett lands samlade produktion."
"Women need support, they need more training, more convenient hours of work and sufficient help so that they can reconcile their professional lives with their family lives.", "Kvinnorna behöver stöd, de behöver bättre utbildning, flexiblare arbetstider och tillräckligt med stöd för att kunna förena arbete med familjeliv."
"As you said, the proposal for which I am responsible is that relating to the enforcement of seafarers' hours of work on board ships using Community ports.", "- (EN) Som ni sade är det förslag som jag ansvarar för, det som gäller arbetstidens längd för sjömän som arbetar ombord på fartyg som använder gemenskapens hamnar."
"For now, however, I can thoroughly commend the common position in relation to the enforcement of seafarers' hours at work on board ships using Community ports.", "Tills vidare kan jag fullständigt rekommendera den gemensamma ståndpunkten vad gäller tillämpning av sjömäns arbetstider ombord på fartyg som använder gemenskapens hamnar."
"To these measures we should add a number of other services including housing, health care and social services.", "Till de åtgärderna bör vi lägga ett antal andra tjänster, bland annat bostäder, hälsovård och social omsorg."
"I nonetheless wonder whether it is in accordance with the principle of subsidiarity to talk about housing, health care and sport.", "Jag undrar dock om det är i överensstämmelse med subsidiaritetsprincipen att tala om bostäder, vård och sport."
"Then there are the public services to which everyone must have access: social services, housing, health care and so on.", "Sen gäller det de offentliga tjänsterna, som alla måste få tillgång till: sociala tjänster, bostäder, hälso- och sjukvård och så vidare."
"This is because it is often these people who are responsible for access to housing, health care, education, culture and an improved quality of life.", "Det är nämligen oftast de som är ansvariga för tillgång till bostäder, hälso- och sjukvård, utbildning, kultur och förbättrad livskvalitet."
"And I ever met more humble people.", "Och aldrig har jag träffat så ödmjuka människor."
"Danes are, after all, a humble people.", "Danskarna är ju ett beskedligt folk."
"They were very humble people.", "De var mycket ödmjuka människor."
"I met humble people.", "Jag mötte enkla människor."
"I therefore say very clearly: we in the European Parliament have a job to do.", "Jag vill därför säga mycket tydligt: Vi i Europaparlamentet har ett arbete att utföra."
"We need the Internal Market if we want to have growth, job creation and innovation.", "Vi behöver den inre marknaden om vi vill ha tillväxt, nya arbetstillfällen och innovation."
"There must be one objective for 2020: every young person must have a job.", "Det måste finnas ett mål för 2020: varje ung människa måste ha ett arbete."
"Most people who are disabled want to live a life of independence and to have a job.", "Merparten av de funktionshindrade personerna strävar efter ett oberoende liv och ett arbete."
"This programme has become vital for 13 million Europeans who have little job security.", "Detta program har blivit mycket viktigt för 13 miljoner européer med dålig anställningstrygghet."
"Do you think that the UN will have a job to do in these areas?", "Anser ni att FN kommer att ha en uppgift inom dessa områden?"
"The reality is that if you do not have a job, you cannot pay your bills or support yourself.", "Verkligheten är att man inte kan betala sina räkningar eller försörja sig själv om man inte har något jobb."
"The Member States now have a job to do. Now we need to invest heavily in energy efficiency.", "Medlemsstaterna har nu ett arbete att utföra och vi behöver vi göra stora investeringar i energieffektivitet."
"If you didn't have a job it's because you didn't want one.", "Om du inte hade ett jobb var det för att du inte ville ha ett."
"Twelve million workers have a job that is directly or indirectly dependent on Europe's car makers.", "Tolv miljoner arbetstagare har ett jobb som är direkt eller indirekt beroende av Europas biltillverkare."
"Only just under a half of all older workers have a job.", "Endast knappt hälften av alla äldre arbetstagare har ett jobb."
"In point of fact, the Charter contains so many contradictions that, some day, someone will have to have the job of unpicking the tangle.", "Stadgan innehåller faktiskt så många motsättningar att någon en dag måste knyta upp dem."
"Do you have a job you want done by a student?", "Har du ett uppdrag du vill ha utfört av en student?"
"You have a job to do: go out and sell it and give Member States every assistance you can to sell it.", "Ni har ett arbete att utföra: att gå ut och sälja det och ge medlemsstaterna all hjälp som ni kan bistå med för att sälja det."
"But please understand, I still have a job to do.", "Du måste förstå att jag måste sköta mitt jobb."
"This means that the authorities may no longer require you to prove that you have a job, sufficient resources, health insurance, and so on.", "Du behöver alltså inte visa att du har ett jobb, tillräckligt med pengar, sjukförsäkring osv."
"Ray, do you have a job for me, or not?", "Ray, har du något uppdrag till mig, eller inte?"
"Employment obviously plays a key role, but it must be remarked that too many of our homeless, and indeed our poor, actually have a job.", "Jag vill även påstå att socialt skydd måste ses i en vidare bemärkelse än endast som social trygghet."
"We have a job yet to do in Ireland.", "Visst återstår det mycket att göra i Irland."
"In Flanders, thousands of people are anxiously waiting this week to see whether they will have a job in a few months’ time.", "I Flandern väntar tusentals människor under veckan på besked om huruvida de kommer att ha ett arbete om några månader."
"Maybe I am somewhat optimistic about that point, but we all need to have some dreams!", "Jag kanske är lite för optimistisk på denna punkt, men vi behöver alla ha drömmar!"
"One lady summed it up when she said 'they have taken away our dreams '.", "En kvinna sammanfattade det hela när hon sade:? De har krossat våra drömmar?."
"One lady summed it up when she said 'they have taken away our dreams'.", "En kvinna sammanfattade det hela när hon sade: ?De har krossat våra drömmar?."
"The European Union seems to have forgotten the dreams of its founding fathers.", "Europeiska unionen verkar ha glömt sina grundares visioner."
"Maybe I am somewhat optimistic about that point, but we all need to have some dreams!", "En del projekt kommer förvisso att slutföras senast 2010."
"Just look at me, you can tell I have terrible dreams.", "Se på mig bara, man kan se att jag har mardrömmar."
"Some of Europe’s dreams have already come true.", "En del av Europas drömmar har redan förverkligats."
"When you have a son you have dreams for him.", "När man har en son har man drömmar för honom."
"We're going to win because we have dreams.", "Vi kommer att vinna för vi har drömmar."
"Even dogs have dreams, but not you.", "Till och med hundar har drömmar, men inte ni."
"But in my dreams I have a plan.", "Men i mina drömmar har jag en plan."
"Many of these people still have dreams of Europe, but they are not dreaming about the Stability Pact or the Bolkestein directive.", "Många av dessa människor har fortfarande drömmar om EU, men de drömmer inte om stabilitetspakten eller om Bolkesteindirektivet."
"Dark my dreams have been of late.", "Mörka har mina drömmar varit."
"One day, they'll have dreams.", "En dag kommer de ha drömmar."
"Human beings have dreams.", "Människor har drömmar."
"I have bad dreams.", "Jag har mardrömmar."
"By clearly choosing independence, freedom and national identity, the Irish have thwarted the dreams some people had of creating a federal super-state.", "Genom att välja oberoende, frihet och nationell identitet har irländarna tillfogat superstaten, som somliga drömmer om, ett misslyckande."
"All people have their own dreams and aspirations and politicians have their ideals and visions, which they subsequently embody in various projects.", "– Alla människor har sina egna drömmar och strävanden och politikerna har sina ideal och visioner, som de låter komma till uttryck i olika projekt."
"Many of these people still have dreams of Europe, but they are not dreaming about the Stability Pact or the Bolkestein directive.", "Hittills har de politiska stormar som utlöstes av de ökande reformer som låg liberalerna i rådet och kommissionen så varmt om hjärtat stannat vid medlemsstaternas gränser."
"Some dreams, though, have not come true in a time such as this, in which crime, terrorism and the challenges of globalisation are gnawing away at the European Social Model.", "Det är sådana stora frågor som måste förklaras för människor överallt under de kommande arton månaderna när ratificeringen diskuteras i de tjugofem länderna."
