//Sentences
"Thinking about what is in this report, a number of messages have come through.", "När det gäller innehållet i betänkandet är det flera budskap som är tydliga."
"However, those standards must be defined in such a way as to prevent any misinterpretation.", "Dessa normer måste dock uttryckas på ett sätt som förhindrar misstolkningar."
"Raising the living standards of those living beneath the poverty threshold is a priority.", "Att höja levnadsstandarden för dem som lever under fattigdomsgränsen är en prioritering."
"But in the meantime, they may not export foodstuffs that do not meet those standards.", "Under övergångstiden får de dock inte exportera livsmedel som inte uppfyller kraven till EU."
"Arguments for allowing higher standards in those Member States that want them are seductive.", "Men hur långt kan vi följa en sådan väg utan att riskera bredare intressen?"
"Arguments for allowing higher standards in those Member States that want them are seductive.", "Argumenten för att tillåta högre standarder i de medlemsstater som så önskar är tilltalande."
"Would the Commission be able to ensure that third-country products conform to those same standards?", "Kan kommissionen se till att produkter från tredjeland följer samma normer?"
"We don't always meet those standards, but that's what we're striving for.", "Vi når inte alltid dessa mål, men det är vad vi strävar efter."
"The 50th anniversary is a time for implementation of those standards.", "50-års jubileet är tiden för genomförandet av dessa normer."
"We penalise our producers where they do not meet those standards.", "Vi straffar våra producenter när de inte uppfyller normerna."
"The war is now destroying those standards and the internal order.", "Kriget förstör nu dessa normer och den inre ordningen."
"Therefore, if we do not want anyone to accuse us of those double standards, we should treat everyone equally.", "Om vi inte vill att någon ska anklaga oss för dubbelmoral bör vi således behandla alla lika."
"We cannot compromise on environmental standards in those areas.", "Vi kan inte rucka på miljöstandarderna på dessa områden."
"They will revolt in time if they see that those standards are debased by imports from third countries.", "De kommer att protestera med tiden om de ser att dessa normer försämras av import från tredjeländer."
"Our idea is to retain just 10 out of 35 of those standards.", "Vår idé är att behålla enbart 10 av dessa 35 normer."
"Consumers should also be able to see from the labelling which products have not met those high standards.", "Konsumenter borde också kunna se vilka produkter som inte uppfyller dessa höga normer med hjälp av märkningen."
"It therefore follows that all fisheries products caught on the basis of those standards will have eco-labelling.", "Därav följer att alla fiskeriprodukter som fångats enligt dessa standarder kommer att få miljömärkning."
"However, products imported into the EU from third countries very often do not conform to those same high standards.", "Produkter som importeras till EU från tredjeländer brukar emellertid inte följa samma höga standarder."
"I should like to ask you to indicate when we might actually implement sanctions, as opposed to just threatening them.", "Jag vill be er att ange när vi faktiskt kan införa sanktioner i stället för att bara hota med dem."
"We can put pressure on the Chinese, e.g. by threatening them with trade sanctions and an investment embargo on China.", "Vi kan utöva påtryckningar mot kineserna genom att till exempel hota dem med handelssanktioner och ett investeringsembargo mot Kina."
"The Chinese Government is planning to withdraw this fundamental right from the Tibetans, threatening them with a loss of identity.", "Kinas regering planerar att ta ifrån tibetanerna denna grundläggande rättighet och därigenom utsätta dem för hotet att förlora sin identitet."
"We cannot agree to this if it means putting pressure on recipient states by threatening them with the loss of structural funds unless they raise their already high taxes.", "Det kan vi inte gå med på om det betyder att mottagarstater sätts under press och hotas med förlorade strukturfonder om de inte höjer sina redan höga skatter."
"And yet those who make these claims have many more far more destructive weapons scattered throughout the world and are threatening to turn them against China, Russia and elsewhere.", "Ändå har dem som kommer med dessa påståenden många fler förstörelsevapen utspridda runtom i världen och hotar att vända dem mot Kina, Ryssland och andra länder."
"I think we have done that now: we have put in incentives for the manufacturers to develop cleaner and greener technology rather than threatening them all the time with swingeing penalties.", "Jag tycker att vi har gjort det nu: vi har infört incitament för tillverkarna att utveckla renare och grönare teknik i stället för att hela tiden hota dem med kännbara straff."
"We will need to provide incentives for many third countries to cooperate with us, rather than threatening them with economic sanctions, as Mr Blair and Mr Aznar proposed in Seville.", "Vi kommer att behöva tillhandahålla stimulanser för att få många tredje länder att samarbeta med oss, i stället för att hota dem med ekonomiska sanktioner, vilket Blair och Aznar föreslog i Sevilla."
"Through the ill-considered action of President Kibaki, these have now become law.", "Genom president Kibakis obetänksamma handlande har det nu blivit lagstiftning."
"That needs to be addressed through positive action and not simply lip service.", "Detta måste åstadkommas med faktiska åtgärder och inte bara med tomma ord."
"I welcome the title of this document: ‘ boosting trust through action’.", "Jag välkomnar titeln på det här dokumentet: ” Öka förtroendet genom handling ”."
"The Black Sea can only be protected effectively through concerted action in every area.", "Svarta havet kan bara skyddas effektivt genom gemensamma åtgärder inom alla områden."
"I welcome the title of this document: ‘boosting trust through action’.", "Jag välkomnar titeln på det här dokumentet: ”Öka förtroendet genom handling”."
"The only way to deal with these issues is through common action at a global level.", "Det enda sättet att ta itu med dessa frågor är genom ett gemensamt agerande på global nivå."
"This must be retrieved - if necessary through an action before the European Court of Justice.", "De måste - om så krävs även genom en process i Europadomstolen - hämtas tillbaka."
"This crisis of confidence will only be overcome through urgent and concerted action.", "Förtroendekrisen kan bara lösas genom snabba och gemensamma åtgärder."
"I sincerely hope that we are able, through this action, to strengthen the protection of workers.", "Jag hoppas verkligen att vi därigenom kommer att kunna förstärka arbetarskyddet."
"Sometimes you boost trust through action, and sometimes by non-action.", "Ibland ökar ni förtroendet genom handling och ibland genom icke-handling."
"In my view, nature needs to be protected, but through human action.", "Enligt min åsikt måste vi skydda naturen, men det ska ske genom människans användning."
"But we have managed to made significant headway through Community action.", "Men vi har lyckats göra viktiga framsteg genom gemenskapsåtgärder."
"Nonetheless, an effort is being made to work towards common objectives through common action.", "Trots detta strävar man efter gemensamma mål med gemensamma åtgärder."
"You call this document – not necessarily very aptly – ‘boosting trust through action’.", "Ni kallar det här dokumentet ”Öka förtroendet genom handling”, vilket kanske inte är helt passande."
"The only efficient way of doing this is through common action.", "Det enda effektiva sättet att göra detta på är genom gemensamma aktioner."
"The high standnards that we, Europeans, wish to have, are achievable only through solidiarity action.", "Den höga nivå som vi européer vill hålla kan bara uppnås genom solidaritet."
"Some of the proposals contained in the reports have already been endorsed through the Commission’s action.", "Några av förslagen i betänkandena har redan stötts genom kommissionens insatser."
"Of course, any action through ACTA has to be proportional to the aims.", "Givetvis måste alla åtgärder som sker genom Acta vara proportionerliga i förhållande till syftet."
"Some of the proposals contained in the reports have already been endorsed through the Commission’ s action.", "Några av förslagen i betänkandena har redan stötts genom kommissionens insatser."
"Now we must fulfil the Article in the Treaty through practical action.", "Nu gäller det att fylla fördragsartikeln med praktisk handling."
"The risk of being convicted for a false declaration is too slight.", "Risken att åka fast på grund av falska uppgifter är alltför liten."
"Progress over the past five years has been too slight.", "Utvecklingen under de senaste fem åren har varit för svag."
"We should not deceive ourselves, however, into thinking that the progress is too slight when measured against the demands that this House makes.", "Vi borde dock inte missta oss på att framsteget är för litet i förhållande till de krav som detta parlament ställer."
"Mr President, I have voted in favour of this report although the parts containing the evaluation of the grants appear to be too slight.", "Herr ordförande! Jag har röstat för det här betänkandet, trots att de delar som innehåller en analys av stöden, är för få för mig."
"Romano Prodi's ambitions in the human and social sectors are therefore too slight to persuade me to vote in favour of his nomination.", "Romano Prodis ambitioner på de mänskliga och sociala områdena är således för låga, för att undertecknade skall kunna rösta för ett godkännande."
"The first tranche was made available within a few hours of the disaster.", "Den första delen ställdes till förfogande inom några timmar efter katastrofen."
"We have already held one debate in Parliament to discuss an initial tranche of funding.", "Här i parlamentet har vi redan haft en första debatt där vi uttalade oss om en första del av finansieringen."
"We have had the first tranche of that as part of the Lisbon Agenda.", "Vi har sett en första sådan som en del av Lissabonmålen."
"Another 'high level group' will simply deliver another expensive tranche of obvious conclusions.", "Ytterligare en ”högnivågrupp” kommer endast att leverera ännu en kostsam omgång självklara slutsatser."
"This programme is to be financed from the EUR 33 million in the 8th EDF second tranche.", "Detta program kommer att finansieras ur de 33 miljonerna euro i den åttonde europeiska utvecklingsfondens andra grupp."
"Furthermore, in several days' time the EU will decide on the next tranche of economic aid for Greece.", "Dessutom kommer EU att under flera dagar besluta om nästa del av det ekonomiska biståndet till Grekland."
"We have had the MacSharry reform, another tranche of it now.", "Vi har haft McSharry-reformen, en annan del av den nu."
"We are debating the second tranche of the EUR 1 500; I say that even the first is absolutely unnecessary.", "Vi diskuterar ett andra delbelopp på 1 500 euro. Jag menar att redan det första är fullkomligt onödigt."
"I am simply asking the Commission to come and inform the Committee on Budgets before implementing the second tranche.", "Jag begär bara att kommissionen skall informera budgetutskottet innan den andra delen genomförs."
"I will just give one: releasing the reserve on the second tranche of EUR 1 500 per Member per month.", "Jag kommer bara att ge ett exempel: att frigöra reserven för den andra utbetalningen på 1 500 euro per ledamot per månad."
"The first EC tranche will be paid in July.", "Gemenskapens första del kommer att betalas i juli."
"The aim is for Parliament to have a comprehensive picture of the reforms before the second tranche is paid.", "Tanken är att parlamentet skall få fullständig information om reformerna inför utbetalningen av den andra delen av lånet."
"The taskforce has programmed and is implementing the first EUR 46 million tranche of reconstruction assistance.", "Arbetsgruppen har slutfört planeringsarbetet och använder nu den första delsumman på 46 miljoner euro av återuppbyggnadsstödet."
". - I have signed and voted in favour of the Amendment rejecting the tranche, together with 16 other MEPs from my group.", "Jag och 16 andra ledamöter från min grupp har undertecknat och röstat för ändringsförslaget som avvisar tranchen."
"Firstly, the incentive tranche.", "För det första stimulansbidraget."
"According to the information available, needs for the first tranche this year will be in the order of the magnitude of EUR 250 million.", "Enligt tillgängliga informationer kommer behoven för den första etappen i år att vara i storleksordningen 250 miljoner euro."
"Before the last tranche was paid out, the Committee of the Regions required the project managers to send it vouchers for all expenditure.", "Före utbetalningen av det sista delbeloppet krävde organisationen av projektledarna att sända över dokument för alla utgifter."
"We have yet to disburse the final tranche of EUR 15 million. The conditions of disbursement are close to being met.", "Vi har en sista bidragsdel kvar på 15 miljoner euro att betala ut, och de nödvändiga villkoren för att kunna genomföra utbetalningen är snart infriade."
"Now we have integrated the second tranche of funds of EUR 2.4 billion for the so-called economic recovery package into these agreements.", "Nu har vi integrerat den andra delen av medel på 2,4 miljarder euro för det så kallade ekonomiska återhämtningspaketet i dessa avtal."
"The monies will not be made available until August for the first tranche and the second tranche will be paid at the end of the year.", "Medlen kommer inte att finnas tillgängliga förrän i augusti för den första delen och den andra delen kommer att betalas ut vid årets slut."
"The public are entitled to transparency, to information, to discussion.", "Allmänheten har rätt till insyn, information och diskussion."
"Consequently, the citizens of the Community are now calling for increased transparency and information.", "Därför ber gemenskapens medborgare om öppenhet och om information."
"Only in this way will it be possible to guarantee greater transparency and information for passengers.", "Endast på detta sätt blir det möjligt att garantera större insyn och information för passagerarna."
"I call for greater transparency, immediate information and full publication of the analyses relating to both cases.", "Jag kräver större insyn, omedelbar information och fullt offentliggörande av analyserna av båda fallen."
"In the interests of transparency and information to Members, we need to know the extent of the problem of legionella.", "Med tanke på insyn och för ledamöternas information behöver vi få veta hur stort problemet med legionärsjuka är."
"I think Parliament would benefit from greater transparency, coherence, information and control over these policies.", "Jag tycker att det är lämpligt att parlamentet får mer insyn, sammanhållning, information och kontroll över denna politik."
"That is precisely why we must insist on greater transparency and information about the substances contained in products used by human beings.", "Just därför bör vi insistera på en ökad öppenhet och information om de ämnen som ingår i de produkter som människor använder."
"Origin marking is an important step towards transparency and information, which we must constantly improve in favour of European citizens.", "Ursprungsmärkning är ett viktigt steg mot öppenhet och information, vilket är något som vi ständigt måste förbättra för EU-medborgarna."
"Finally, the question is: how long will Europeans have to wait for transparency of information to be applied to the nuclear sector?", "Slutligen är frågan: hur länge ska Europeiska unionens medborgare behöva vänta på att information från kärnenergisektorn ska anses vara öppen?"
"At the same time the intention is to encourage the environmentally sound use of chemicals with increased transparency and information exchange.", "Samtidigt är det meningen att gynna en från miljösynpunkt sund användning av kemikalier genom att öka öppenheten och utbytet av information."
"That post has been abolished totally, so transparency of information about the State, for example on public procurement, is not there anymore.", "Ämbetet har avskaffats helt, och det innebär att det inte längre går att få insyn i uppgifter om staten, till exempel om offentlig upphandling."
"Where there is no transparency in information for the citizens of Europe and the world as a whole, impasses are created and we get nowhere.", "Om det inte råder öppenhet när det gäller informationen till Europas medborgare och världen i sin helhet skapas dödlägen, och vi kommer ingenstans."
"The MPF delegation believes, of course, that transparency of information and public participation in the decision-making process must be encouraged and well defined.", "MPF-ledamöterna anser givetvis att man måste uppmuntra och reglera insyn i information och medborgarnas deltagande i beslutsfattandet."
"We are faced with the need to update mechanisms that will enable us to resolve cases involving a lack of transparency and information, which are certainly arising.", "Vi måste helt enkelt modernisera mekanismerna så att vi kan lösa ärenden som rör brist på insyn och information, problem som tyvärr är vanliga."
"Having a minimal framework on concessions will mean transparency and information, and will thus make it easier for the smallest enterprises to gain access to some of the contracts.", "Minimiregler om koncessioner innebär öppenhet och information och gör det därmed lättare för de minsta företagen att delta i några av upphandlingarna."
"We have supported the transparency of information and of natural gas storage capabilities, so that fair prices and a truly open market will be sustained to their benefit.", "Vi gav vårt stöd till öppen information och lagringskapacitet för naturgas så att rättvisa priser och en verkligt öppen marknad som gynnar priserna kan vidmakthållas."
"The bottom line in relation to every aspect of the application of GMO technology, particularly in food production, is transparency, consumer information and accurate labelling.", "Kärnpunkten i varje aspekt av den genmodifierande teknikens tillämpning, i synnerhet livsmedelsproduktionen, är öppenhet, konsumentinformation och riktig märkning."
"But we believe these demands for transparency and information must not on any account compromise the independence of the ESCB, be it the independence of its members or that of the decisions it takes.", "Men dessa krav på öppenhet och information skall enligt vår mening på intet sätt påverka EBCS oberoende, vare sig det gäller medlemmarnas eller beslutens oberoende."
"Will it be possible to establish, in the European Union, minimum standards for safety and quality which guarantee the reliability and transparency of information provided to these consumers?", "Kommer det att vara möjligt att införa minimistandarder för säkerhet och kvalitet i EU, som garanterar att den information konsumenterna får är tillförlitlig och medger insyn?"
"The MEPs are vested with a duty of transparency and information towards the citizens; this information must therefore be guided by a concern to provide the most accurate feedback possible.", "Parlamentets ledamöter har en skyldighet att vara öppna mot medborgarna och informera dem. Den informationen måste därför vägledas av en strävan att ge så korrekta svar som möjligt."
"I apologise for trivialising this issue a little, but I wanted to be very specific.", "Jag ber om ursäkt för att jag banaliserar den här frågan lite, men jag vill vara mycket tydlig."
"Trivialising AIDS and making it taboo are a direct route to catastrophe.", "Tabubeläggning och bagatellisering leder direkt till katastrof."
"I should like to warn against trivialising the Iraq problem by comparing Iraq with various other countries.", "Jag skulle vilja varna för en bagatellisering av Irakproblemet genom jämförelser med andra länder."
"For example, in the area of trivialising homosexuality.", "Exempelvis när det gäller att banalisera homosexualiteten."
"I would be trivialising matters if I were to overlook the other areas in which we need more, not less, Europe.", "Jag skulle banalisera saker om jag förbisåg de andra områdena där vi behöver mer, inte mindre, EU."
"My concern was that Parliament's role could not be seen as trivialising, which I am sure the Commission had borne in mind.", "Mina farhågor gällde att parlamentets roll inte får bagatelliseras, vilket jag är säker på att kommissionen beaktar."
"It is society, with its increasingly decayed morals, trivialising all sorts of deviant behaviour, that must be changed.", "Det är samhället, med sin allt sämre moral som innebär ett trivialiserande av alla former av avvikande beteende, som måste förändras."
"There are two terms in the report that I would like to see changed.", "Det finns två begrepp i betänkandet som jag skulle vilja ändra benämningen på."
"The same course studied part-time, has the same number of study credits, but takes two terms.", "Samma kurs på halvfart har samma antal poäng men pågår under två terminer."
"Just as for other schools, the University year is divided into two terms.", "Liksom annan skolverksamhet är läsåret uppdelat i två terminer."
"We must therefore also think of these two states in political terms.", "Vi måste därför tänka politiskt även när det gäller dessa stater."
"For example, a Member who has served two full terms will cease to receive any income after ten months.", "Efter exempelvis två fulla mandatperioder är det slut med inkomsten tio månader senare."
"He had two terms in office as President of the European Commission.", "Han var Europaparlamentets talman under två mandatperioder."
"These are two strategic sectors in terms of maintaining jobs and of the Union’s food supply.", "De är två strategiska sektorer när det gäller att bevara arbetstillfällen och EU:s livsmedelsförsörjning."
"These are two strategic sectors in terms of maintaining jobs and of the Union’ s food supply.", "De är två strategiska sektorer när det gäller att bevara arbetstillfällen och EU: s livsmedelsförsörjning."
"So what are the concrete implications of these two objectives in terms of what we are asking the Commission to do?", "Vad innebär nu dessa båda grundprinciper rent konkret för våra krav till kommissionen?"
"In that respect, we have done a lot of work over the last two parliamentary terms to open up the networks.", "I det avseendet har vi arbetat mycket under de två senaste mandatperioderna för att öppna näten."
"The gap between the two countries in terms of literacy is much more substantial than the data here indicated.", "Klyftan i läskunnighet mellan de två länderna är ännu mer avsevärd än vad dessa råa data ger vid handen."
"What this is telling us, really, is that we might be thinking of ourselves and of other people in terms of two selves.", "Vad det här verkligen säger oss är att vi kan tänka på oss själva och andra i termer av två själv."
"Part-time means that the same course takes two terms instead of one, i.e. a student studies for 15 study credits a term.", "Läser man på halvfart tar samma kurs två terminer, studenten läser med andra ord femton poäng per termin."
"This was a right-wing government which for two terms of office disguised the figures with the help of Goldman Sachs Bank.", "Detta var en högerregering som under två mandatperioder förvrängde siffrorna med hjälp av banken Goldman Sachs."
"As an example I would like to mention that the rapporteur is thinking in terms of two main models which exist in Member States.", "Som exempel vill jag nämna att föredraganden utgår från två huvudmodeller som återfinns i medlemsstaterna."
"Let me just say two things in general terms.", "Låt mig bara säga två saker rent allmänt."
"Specifically, in my country, the People’s Party Government, during its two terms of office, has created more than 4 300 000 jobs.", "Exempelvis har folkpartiregeringen i mitt land skapat över 4 300 000 arbetstillfällen under sina två mandatperioder."
"Specifically, in my country, the People’ s Party Government, during its two terms of office, has created more than 4 300 000 jobs.", "Exempelvis har folkpartiregeringen i mitt land skapat över 4 300 000 arbetstillfällen under sina två mandatperioder."
"At the same time, an option was approved whereby new Member States might subsequently, during two terms of office, apply other rules.", "Samtidigt godkändes en möjlighet för nya medlemsländer att därefter under två mandatperioder tillämpa andra regler."
"However, there are some significant differences between these two areas, in terms of intervention and risk level reduction.", "Det finns emellertid några avgörande skillnader mellan dessa båda områden när det gäller ingripanden och reducering av risknivån."
