//Sentences
". - Madam President, we are tonight talking about the single CMO on wine.", "Fru talman! I kväll talar vi om den gemensamma marknadsorganisationen för vin."
"Today on CNN he said, 'Mubarak is immensely courageous and a force for good'.", "I dag sade han på CNN: ”Mubarak är oerhört modig och en god kraft.”"
"If we want to know something about Europe, we follow CNN, not Euronews.", "Om vi vill veta något om Europa följer vi CNN, inte Euronews."
"And sometimes you even watch satellite, CNN, from the United States.", "Och ibland tittar ni till och med på satellit-tv, CNN från USA."
"This is something the CNN channel has been reiterating in a campaign on behalf of the United States.", "Detta är något som TV-kanalen CNN upprepade gånger har sagt i sin nordamerikanska propagandakampanj."
"(Laughter) So, as for the outsiders looking in, watch the CNN report on the second Amman Comedy Festival.", "(skratt) Så för dem utanför som tittar in- -se CNN:s rapport om den andra Anman komedifestivalen."
"Mr President, one might wonder whether we are in Parliament or whether we are listening to continuous CNN propaganda.", "Herr talman! Man kan fråga sig om vi befinner oss i en parlamentskammare, eller om allt vi hör är CNN-propaganda."
"This fight is not limited to what appears in the television pictures, whether they be from Al Jazeera or from CNN.", "Det är en kamp som inte begränsas till de bilder som visas i televisionen, vare sig de kommer från Al Yazira eller CNN."
"Excuse me, Madam Hooks, I missed CNN today.", "Jag har inte sett på CNN i dag."
"I realise that we English-speakers are spoilt with Sky, CNN and BBC World, but it is not the same as having the domestic channels.", "Jag vet att vi engelsktalande översköljs av Sky, CNN och BBC World, men det är inte samma sak som att ha de inhemska kanalerna."
"This is a segment from CNN.", "Detta är ett klipp från CNN."
"An authenticated telephone call to CNN and the other broadcast networks could have saved thousands of lives in Sri Lanka, Somalia and Thailand.", "Ett verifierat samtal till CNN och de andra sändningsnäten kunde ha räddat tusentals liv i Sri Lanka, Somalia och Thailand."
"The subtitles on CNN have read 'America at war' for a long time now.", "Den 11 september kommer att skrivas in i historieböckerna och bilda en ny ram för vårt dagliga liv och vårt politiska arbete."
"When I look back, I might well wish that European broadcasters had done more at an earlier stage to provide greater competition with CNN.", "När jag ser tillbaka kan jag kanske önska att europeiska etermedier på ett tidigare stadium hade gjort mer för att ge CNN större konkurrens."
"Hello, CNN?", "Hallå, CNN?"
"CNN: two.", "CNN två."
"We also have to be aware of what might be called the CNN factor, i.e. once we stop seeing this on our TV screens we think the problem has been resolved.", "Vi måste också vara medvetna om vad som kan kallas CNN-faktorn, dvs. att när man inte längre se något på TV från området, så tror man att problemet har lösts."
"We also have to be aware of what might be called the CNN factor, i. e. once we stop seeing this on our TV screens we think the problem has been resolved.", "Vi måste också vara medvetna om vad som kan kallas CNN-faktorn, dvs. att när man inte längre se något på TV från området, så tror man att problemet har lösts."
"As you know, there has been civil war there since 1956 but nothing was known about it until CNN began its broadcasts, because nothing exists without CNN.", "Där pågår såsom ni vet sedan 1956 ett inbördeskrig som blev känt på nytt först då CNN började med sina sändningar, för om CNN inte är där så existerar det inte."
"Finally, think back to this famous scene from election night 2008 back in the United States, where CNN beamed a live hologram of hip hop artist will.i.am", "Slutligen, tänk tillbaka på den här berömda scenen från valnatten 2008 i USA, där CNN visade ett live-hologram av hiphop-artisten will.i.am i sin studio för en intervju med Anderson Cooper."
"Therefore, nuclear energy, as a low CO2 emission technology, cannot be overlooked.", "Man kan därför inte förbise kärnenergi som en teknik som medför låga koldioxidutsläpp."
"That is why it would be good if tickets and cars were to display the CO2 emission per km.", "Det vore därför bra om biljetter och bilar visade koldioxidutsläpp per kilometer."
"A standard of 95 g of CO2 emission/km has been laid down to apply by 1 January 2020.", "En norm på 95 g koldioxid/km ska börja gälla den 1 januari 2020."
"I also have some reservations about including a CO2 emission indicator.", "Jag har också vissa förbehåll när det gäller att införliva en indikator för koldioxidutsläpp."
"Accordingly, no maximum CO2 emission value has been agreed upon for new power plants.", "Inget högsta utsläppsvärde för koldioxid har därför överenskommits för nya kraftverksanläggningar."
"Annual taxes and fees depend on CO2‑emission value and weight.", "– Årliga skatter och avgifter baseras på koldioxidutsläpp, värde och vikt."
"Coal and oil supplies will eventually run out and are responsible for CO2 emission.", "Kol och olja utarmas på sikt och orsakar koloxidutsläpp."
"It is planned to reduce the CO2 emission limits for private cars to 120 grams per kilometre by 2012.", "Enligt planen ska utsläppsgränsen för koldioxid från privatbilar vara 120 gram per kilometer 2012."
"Excessive CO2 and methane emission has an adverse impact on the environment and must therefore be reduced.", "Höga koldioxid- och metangasutsläpp har en skadlig inverkan på miljön och måste därför minskas."
"However, I am of the opinion that the CO2 emission limits per kilometre should be much more ambitious.", "Jag anser emellertid att gränserna för koldioxidutsläpp per kilometer bör vara mycket mer ambitiösa."
"The vehicles concerned are large, have a high mileage and, as such, cause high levels of CO2 emission.", "Det handlar om stora fordon som går många kilometer, och med andra ord orsakar stora koldioxidutsläpp."
"In 1998 the car industry made a voluntary commitment to reduce CO2-emission levels in its new vehicles.", "År 1998 gjorde bilindustrin ett frivilligt åtagande att minska koldioxidutsläppen från sina nya modeller."
"Objectives with regard to energy consumption and CO2 emission reductions spring to mind in this respect.", "Då tänker jag på att infoga mål med avseende på energiförbrukning och en reducering av koldioxidutsläpp."
"This is why we need to adopt ambitious CO2 emission targets.", "Därför måste vi anta ambitiösa koldioxidutsläppsmål."
"After ratification, CO2 emission will have a price tag.", "Efter ratificeringen får koldioxidutsläppen ett pris."
"This corresponds to removing the CO2 emission from near enough one million passenger cars on European roads.", "Detta motsvarar ett avlägsnande av koldioxidutsläppen från nästan en miljon personbilar på Europas vägar."
"According to experts, we need to reduce current CO2 emission levels by 60 % in order to halt climate change.", "Experter berättar för oss att vi måste minska de nuvarande koldioxidutsläppen med 60 procent för att stoppa klimatförändringen."
"This would mean that these high-emitting vehicles would remain outside the scope of CO2 emission standards.", "Det skulle innebära att dessa fordon med höga utsläppsnivåer fortfarande inte skulle omfattas av utsläppsnormerna för koldioxid."
"We have said clearly that a 35% reduction of CO2 emission is the minimum and we would be prepared to go further.", "Vi har tydligt sagt att en minskning av koldioxidutsläppen på 35 procent är ett minimikrav och att vi är beredda att gå längre."
"I support this report because of the balance it strikes between CO2 emissions and associated emission reductions.", "Jag stöder betänkandet med tanke på den balans som det åstadkommer mellan koldioxidutsläpp och minskning av relaterade utsläpp."
"Another directive lays down rules on limit values for CO2 emissions from new cars.", "I ett annat direktiv fastställs gränsvärden för koldioxidutsläpp från nya bilar."
"Energy efficiency and CO2 emissions clearly play a very important role in this.", "Energieffektivitet och koldioxid spelar helt klart en mycket viktig roll i detta."
"Hence, the avoidance of tonnes of CO2 equivalent emissions will no longer happen.", "Utsläpp av tonvis av koldioxidekvivalenter kommer därför inte att kunna undvikas."
"(HU) I would like to talk about two issues: the trade deficit and CO2 emissions.", "(HU) Jag vill ta upp två frågor: handelsbalansunderskottet och koldioxidutsläppen."
"Thus there must be a maximum 120 grams of CO2 emissions per kilometre by 2012.", "År 2012 måste alltså koldioxidutsläppen ligga på maximalt 120 gram per kilometer."
"We all know that transport is one area where CO2 emissions need to be reduced.", "Vi vet alla att transporter är ett område där koldioxidutsläppen måste minskas."
"It is, moreover, a clean source of energy that does not produce any CO2 emissions.", "Den är dessutom en ren energikälla som inte producerar några koldioxidutsläpp."
"It made an agreement with us to reduce its CO2 emissions and then reneged on it.", "Den lovade oss att den skulle minska sina koldioxidutsläpp och svek sedan sitt löfte."
"New means of financing include taxation of the financial sector and CO2 emissions.", "Nya finansieringssätt inbegriper beskattning av finanssektorn och koldioxidutsläpp."
"In Ireland alone, transport is the third largest contributor to CO2 emissions.", "Bara i Irland är transporten den tredje största källan till koldioxidutsläpp."
"It is also advocating a possible reduction in CO2 emissions of 50 million tonnes.", "Man förespråkar också en eventuell minskning av koldioxidutsläpp med 50 miljoner ton."
"The EU has every opportunity to lead the way in taking action to reduce CO2 emissions.", "EU har alla möjligheter att leda vägen i arbetet med att reducera CO2-utsläppen."
"It should also be noted that we have an obligation to reduce CO2 emissions.", "Man ska också komma ihåg att vi har en skyldighet att sänka koldioxidutsläppen."
"Secondly, as a result of this greater coal consumption CO2 emissions are increasing.", "Den andra är att resultatet av denna ökade kolanvändning är ökade koldioxidutsläpp."
"Are diesel cars not urgently needed to bring about a reduction in CO2 emissions?", "Finns det inte ett brådskande behov av dieselbilar om vi vill minska koldioxidutsläppen?"
"The European Union has recently succeeded in reducing overall CO2 emissions by 9%.", "EU har nyligen lyckats minska de totala kolidioxidutsläppen med 9 procent."
"Will these problems be resolved by restrictive limitations on CO2 emissions?", "Kommer dessa problem att lösas genom restriktiva begränsningar av koldioxidutsläppen?"
"Transport is responsible for around a third of all CO2 emissions in the EU.", "Transportsektorn står för cirka en tredjedel av alla koldioxidutsläpp i EU."
"Why did the proposals concerning CO2 emissions turn out to be unacceptable?", "Varför visade sig förslagen att minska koldioxidutsläppen vara oacceptabla?"
"Technically speaking there are vast sources of CO2 emissions and CO2 wells.", "Tekniskt sett handlar det naturligtvis om stora källor och stora brunnar av koldioxid."
