//Sentences
"These include, among other things, the use of chemicals in agriculture and forestry management.", "Dessa faktorer är bland annat användandet av kemikalier inom jord- och skogsbruk."
"I think, therefore, that if we lose languages we lose forms of life.", "Jag anser därför att om vi förlorar språk så förlorar vi livsformer."
"As the iceberg melts, it is releasing mineral-rich fresh water that nourishes many forms of life.", "När ett isberg smälter släpper det ut mineralrikt färskvatten som ger näring åt många livsformer."
"Proteins are essential to sustain all forms of life and each protein has a highly specialized function.", "Nästan alla biologiska funktioner styrs eller regleras av proteiner."
"It is the quintessence of the dynamic equilibrium between the various forms of life and the various ecosystems.", "Den är inbegripen i den dynamiska balansen mellan olika livsformer och olika ekosystem."
"That was an extreme decision, since such toxic treatment also extinguishes all other forms of life.", "Det är ju ett oerhört stort beslut, att giftbehandla tjugo älvar med rotenon, då allting annat naturligtvis också dör."
"The interdependency and interconnectedness of our existence with other forms of life on the planet is neglected, undervalued and played down.", "Det ömsesidiga beroendet och sambandet mellan vår existens och andra livsformer på planeten är underskattat och nedtonat."
"This takes concrete form in the shape of social hygiene, in which the aim is to isolate 'wrong' forms of life from the more favoured, and to destroy the unfit.", "Detta konkretiseras i socialhygienen, där man strävar efter att avskilja de defekta livsformerna från de fördelaktiga och rensa bort det odugliga."
"This takes concrete form in the shape of social hygiene, in which the aim is to isolate 'wrong ' forms of life from the more favoured, and to destroy the unfit.", "Detta konkretiseras i socialhygienen, där man strävar efter att avskilja de defekta livsformerna från de fördelaktiga och rensa bort det odugliga."
"There is just one more thing that I would like to mention, and it is something that also has to do with violence and destruction, but not only against human beings, but against all forms of life.", "Jag vill ta upp en sak till som också har att göra med våld och förstörelse, men inte bara mot människor utan mot alla livsformer."
"Now as you can imagine, this is not very popular with fourth-graders.", "Som ni nu kan föreställa er, så är detta inte särskilt populärt hos fjärdeklassare."
"Fourth-graders love their dinosaurs, they memorize them.", "Fjärdeklassare älskar sina dinosaurier, de memorerar dem."
"If Al Gore is here, I'm going to send my fourth-graders from Agnor-Hurt and Venable schools to you because they solved global warming in a week.", "Om Al Gore är här, jag skickar mina fjärdeklassare från Agnor-Hurt och Venable till dig för de löste global uppvärmning på en vecka."
"How active we are as teachers and how we approach our pupils is absolutely decisive,” says Knutson, whose fourth graders took part in the research.", "Och hur aktiva vi är som lärare och hur vi bemöter eleverna är verkligen avgörande, säger Annika Knutson, vars fjärdeklassare fick ingå i forskningen."
"We have one side that whips the House and only one side that allows a free vote.", "Vi har en sida som piskar parlamentet och bara en sida som tillåter fri omröstning."
"So in this instance, the rapporteur's position is to recommend a free vote.", "Föredragandens inställning i det här fallet är att ge var och en röstfrihet."
"That, then, is the reason for the free vote within the PPE group at this point in time.", "Detta är alltså skälet till det fria röstandet i PPE-gruppen i det här läget."
"Madam President, this is on the same issue in relation to the free vote.", "(EN) Fru talman! Detta handlar om samma fråga i förbindelse med den fria röstningen."
"A free vote in Parliament is not always the best solution in this connection.", "En fri omröstning i parlamentet är inte alltid den bästa lösningen."
"First of all, the PPE-DE Group will be having a free vote on paragraph 3, as requested.", "Först och främst kommer PPE-DE-gruppen att ha en fri omröstning om punkt 3, eftersom det har begärts."
"First of all, the PPE-DE Group will be having a free vote on paragraph 3, as requested.", "Först och främst kommer PPE-DE-gruppen att ha en fri omröstning om punkt 3, eftersom det har begärts."
"Likewise, our Group will have a free vote on paragraph 7, indent 1, on African lions.", "Vår grupp kommer dessutom att ha en fri omröstning om punkt 7, första strecksatsen, om afrikanska lejon."
"Likewise, our Group will have a free vote on paragraph 7, indent 1, on African lions.", "Vår grupp kommer dessutom att ha en fri omröstning om punkt 7, första strecksatsen, om afrikanska lejon."
"My group will have a free vote on it and I believe others will as well.", "Min grupp kommer att ha en fri omröstning om direktivet, och jag tror att även andra kommer att ha det."
"We have, therefore, in all transparency according to the current trend, allowed everyone a free vote.", "Vi tillät därför - i full öppenhet, vilket ju är aktuellt - var och en att rösta i full frihet."
"Yet this is not a vote against free movement of EU citizens.", "Det är dock inte en röst mot fri rörlighet för EU-medborgare."
"The rules of an unaccountable free market "vote' for death when this costs less than life.", "Reglerna på den okontrollerbara liberaliserade marknaden " röstar" för döden då denna kostar mindre än ett liv."
"Euro-Mediterranean Free Trade Area (vote)", "Inrättande av ett frihandelsområde för EU och länderna kring Medelhavet (omröstning)"
"I think it would be a good thing if we had a free vote across this House on issues of this kind.", "Jag tycker att det skulle vara bra om vi hade en fri omröstning i parlamentet angående denna typ av frågor."
"The rules of an unaccountable free market " vote ' for death when this costs less than life.", "Reglerna på den okontrollerbara liberaliserade marknaden " röstar " för döden då denna kostar mindre än ett liv."
"The state of play of the Euromed Free Trade Area (vote)", "Lägesrapport om frihandelsområdet Euromed (omröstning)"
"However, I repeat that my group is agnostic and will have a free vote on the matter.", "Hur som helst så vill jag upprepa att min grupp inte har någon åsikt i frågan och att vi kommer att ha fri omröstning i frågan."
"If we really want to determine the view of Parliament on issues of this kind, there should be a free vote across the House.", "Om vi verkligen vill ta reda på parlamentets uppfattning i den här typen av frågor bör vi ha en fri omröstning."
"I do not think there is any question of an attempt to stop every member of the House from having a completely free vote.", "Jag tror inte på något sätt att det görs ett försök till att alla ledamöter i detta hus inte ska kunna rösta i frihet."
"We support measures that protect individuals from exploitation at work.", "Vi stöder åtgärder som skyddar individer från att bli utnyttjade i arbetslivet."
"What was needed was a measure to free them from slavery, blackmail and exploitation.", "Det som krävdes var en åtgärd för att befria dem från slaveri, utpressning och utnyttjande."
"The latter profit from such exploitation while the looted colonies are left even poorer.", "De senare tjänar på sådan exploatering medan de plundrade kolonierna blir ännu fattigare."
"If there is to be any continuation of opt-out arrangements, workers must be protected from exploitation.", "Om undantagsbestämmelserna ska vara kvar måste arbetstagarna skyddas från exploatering."
"In Greece, the dangers come from the exploitation of gold in Bulgaria, which is the Evros catchment basin.", "I Grekland kommer faran från guldutvinningen i Bulgarien, som är Evros avrinningsområde."
"We support measures that protect individuals from exploitation at work.", "Vi har en gemensam europeisk marknad, men det åsidosätter inte att medlemsstater konkurrerar mot varandra."
"Africa has suffered enough under colonialism and slavery and from the exploitation of its natural resources.", "Afrika har lidit nog under kolonialism och slaveri och av utsugning av deras naturresurser."
"The most important issue is to protect the people in these employment relationships from exploitation.", "Den viktigaste frågan är att skydda personer i sådana anställningsförhållanden mot att exploateras."
"Are children being protected from labour and exploitation at last?", "Skyddas barn äntligen från arbete och utnyttjande?"
"What consequences should be drawn from the exploitation of asylum procedures by terrorist networks, etc.?", "Vilka konsekvenser bör man ta av att terroristnätverken har gjort asylförfarandena till sitt redskap etc.?"
"Those who profit from exploitation of desperate or manipulated people within the grey economy must not go unpunished.", "De som tjänar på att utnyttja desperata eller manipulerade människor inom den grå ekonomin måste få sitt straff."
"Finally, the revenue from oil exploitation must be used for education, health care and the development of the peoples of Mauritania.", "Slutligen måste oljeintäkterna användas för utbildning, hälsovård och utveckling för folket i Mauretanien."
"Such information campaigns enable us to prevent this by informing women and offering them protection from exploitation.", "Sådana informationskampanjer gör att vi kan förebygga detta genom att informera kvinnor och erbjuda dem skydd mot utnyttjande."
"Since 2008, 35 people have been rescued from exploitation in my own constituency of Northern Ireland; 25 of these were rescued in 2009.", "Sedan 2008 har 35 personer räddats från exploatering i min egen valkrets i Nordirland. Av dessa räddades 25 stycken 2009."
"These reports range from oil exploitation and overfishing, to deforestation in an official nature reserve of all places.", "Rapporterna handlar om allt från oljeutvinning och överfiske till skogsskövling, och det till på köpet i ett område som klassats som naturreservat."
"Participants will also consider a fair and honest way of sharing the benefits derived from exploitation of genetic resources.", "Deltagarna kommer också att diskutera ett rättvist och ärligt sätt att fördela de vinster som uppstår genom utnyttjande av genetiska resurser."
". - (PL) Mr President, our civilisation lives from the exploitation of animals and will certainly long continue to do so.", "för UEN-gruppen. - (PL) Herr talman! Vårt samhälle lever på att utnyttja djur och kommer säkert att göra så under lång tid framöver."
"Over EUR 1.2 million was allocated to promote children's rights and to protect them from violence and exploitation in Gabon, Benin, Togo and Nigeria.", "Över 1,2 miljoner euro avsattes för att främja barns rättigheter och skydda dem från våld och utnyttjande i Gabon, Benin, Togo och Nigeria."
"What progress has been made as regards the transparency of public accounts and revenue accruing from the exploitation of the country's natural resources?", "Vilka framsteg har gjorts i fråga om insyn i och öppenhet om de offentliga räkenskaperna och intäkterna från utvinningen av landets naturresurser?"
"These are serious events and we would expect all Member States to take more steps to protect foreign workers from exploitation and persecution", "Detta är allvarliga händelser, och vi förväntar oss att alla medlemsstater vidtar fler åtgärder för att skydda utländska arbetstagare från utnyttjande och förföljelse."
"Those who exterminated, who eliminated an entire race from the face of the earth?", "De som utrotade, de som likviderade en hel ras från jordens yta?"
"FAO World Summit on Food Security - Eradicating hunger from the face of the earth (debate)", "FAO:s världstoppmöte om livsmedelssäkerhet - Utrota hungersnöden från jordens yta (debatt)"
"FAO World Summit on Food Security - Eradicating hunger from the face of the earth (vote)", "FAO:s världstoppmöte om livsmedelssäkerhet - Utrota hungersnöden från jordens yta (omröstning)"
"But I can tell from your face that you won't.", "Men det kan jag se på dig att du inte kommer göra."
"There is a great light shines from your face.", "Ett mäktigt ljus strålar från ditt ansikte."
"The smile certainly drained from my face when I read the European-wide statistics on accidents in the workplace, and on hearing them just now.", "Jag upphörde att skratta när jag läste och nu hörde den europeiska statistiken över olycksfall i arbetet."
"The next item is the Commission statement on the FAO World Summit on Food Security - Eradicating hunger from the face of the earth.", "Nästa punkt är ett uttalande av kommissionen om FAO:s världstoppmöte om livsmedelssäkerhet - ”Utrota hungersnöden från jordens yta”."
"'You are right, Carlo,' she replied, 'you are right' , but she did not remove the cream from her face and I could not sleep for the rest of the night.", ""Du har rätt, Carlo", svarade hon, "du har rätt", men hon gick inte och tvättade sig utan lät krämen sitta kvar i ansiktet."
"'You are right, Carlo,'she replied, 'you are right ', but she did not remove the cream from her face and I could not sleep for the rest of the night.", "" Du har rätt, Carlo ", svarade hon, " du har rätt ", men hon gick inte och tvättade sig utan lät krämen sitta kvar i ansiktet."
"and you say you work in education, you can see the blood run from their face.", "Men om du är, och du säger till någon, vet du att dom säger, "Vad vet du?" och du säger att du jobbar med utbildning, man kan se blodet rusa till deras ansikte."
"Our zoos are doing great things; our geozoo in Munich, for example, has bred very valuable species that would otherwise have disappeared from the face of the earth.", "Våra djurparker uträttar mycket bra saker. Till exempel har vår djurpark i München fött upp mycket värdefulla arter som annars hade försvunnit från jordens yta."
"Each living species that disappears from the face of the planet is an irreversible and irretrievable loss, and if we allow biodiversity to be destroyed, we are slowly but surely destroying ourselves.", "Varje levande art som försvinner från jorden är en avgjord och oersättlig förlust, och om vi låter den biologiska mångfalden förstöras förstör vi oss själva sakta men säkert."
"Mr President, Commissioner, at this point in time, combating terrorism, preventing it and wiping it from the face of the Earth must be the sole priority objective of this European Union’s policies.", "Herr talman, herr kommissionsledamot! Vid denna tidpunkt måste kampen mot terrorismen, att stoppa den och utplåna den från jordens yta, vara det viktigaste politiska målet för EU."
"The issue we are facing today stems from the management of the Schengen area in 2011.", "Vi talar om förvaltningen av Schengenområdet i dag, 2011."
"We must therefore move away from risk management towards risk removal.", "Vi måste därför gå från riskhantering till riskavlägsnande."
"Many people have wanted to point out that Europe was absent from the management of the banking and financial crisis.", "Många har velat påpeka att EU inte deltog i hanteringen av bank- och finanskrisen."
"It is easy to imagine the chain of harmful effects on the environment that might flow from bad management.", "Allmänt sett ser utvinningsindustrin positivt på det här förslaget."
"Transport companies should be separated from the management of the infrastructure.", "Båda sakerna får inte hamna i samma händer."
"It is important to draw conclusions from the management of influenza A that took place, rather than point out errors.", "Det är viktigt att dra slutsatser av hanteringen av influensa A i stället för att peka på fel."
"We want from you management by walking about.", "Vi vill ha av er ett ledarskap som innebär att vara rörlig."
"From global management consultant to elephant handler.", "Från global managementkonsult till elefantförare."
"It is easy to imagine the chain of harmful effects on the environment that might flow from bad management.", "Det är lätt att föreställa sig vilken kedjereaktion av skadliga miljöeffekter som kan uppstå på grund av bristfällig hantering."
"We also recommend that we learn from the management mistakes, the unfair competition and the intergovernmental squabbles.", "Vi rekommenderar också att vi drar lärdom av misstagen i ledarskapet, den illojala konkurrensen och munhuggandet mellan regeringarna."
"Walt, this is from the management.", "Det här bjuder ledningen på."
"This move further fuels the opinion of many Scots that certain national fishing fleets are being favoured, while Scotland loses out from EU management.", "Detta förstärker ytterligare många skottars uppfattning att vissa nationella fiskeflottor favoriseras, medan Skottland förlorar på Europeiska unionens förvaltning."
"An internal auditor dependent on a constantly renewable employment contract must find it very difficult to maintain his or her independence from the management of the organisation concerned.", "En internrevisor som är beroende av ständigt förnyat anställningskontrakt måste ha mycket svårt att upprätthålla sitt oberoende från ledningen."
"That is from a management which is now aware of its shortcomings, a management that foolishly engaged in staff reductions, now reversed thank goodness.", "Detta kommer från en företagsledning som nu är medveten om sina brister, en företagsledning som gav sig in på dumma nedskärningar i personalen, vilka nu gudskelov kommer att upphävas,."
"We have to move away from crisis management of economic and trade issues as we threaten to cascade from textiles, to footwear, to bicycles and an endless sequence of other products.", "Vi måste komma bort från krishantering inom ekonomi och handel, eftersom vi riskerar att översvämmas av textilvaror och sedan av skor, cyklar och så vidare i en aldrig sinande ström av produkter."
"They held fruitful but very frank discussions with the Iraqi authorities and other players.", "De höll givande men öppenhjärtiga diskussioner med de irakiska myndigheterna och andra aktörer."
"I would like to thank all the shadow rapporteurs for our fruitful discussions and our work on this report.", "Jag vill tacka alla skuggföredragandena för våra givande diskussioner och vårt arbete med betänkandet."
"The first discussions were fruitful but they have not yet reached an end so it is very difficult to give you an update.", "Diskussionerna var givande, men eftersom de fortfarande pågår är det svårt att kommentera."
"For this reason, the unilateral adoption of the Maastricht Treaty does not create a fruitful basis for further discussions.", "Därför skapas det inte någon fruktbar grund för vidare diskussioner genom att ensidigt utgå från Maastrichtavtalet."
"We wish you a pleasant stay and fruitful discussions with representatives of the European Parliament, Commission and Council.", "Vi önskar er en trevlig vistelse och givande diskussioner med företrädare för Europaparlamentet, kommissionen och rådet."
"They reflect well the fruitful discussions between the rapporteur, the Council working group and the Commission services.", "De avspeglar de fruktbara diskussioner som förts mellan föredraganden, rådsarbetsgruppen och avdelningar inom kommissionen väl."
"They reflect well the fruitful discussions between the rapporteur, the Council working group and the Commission services.", "De återspeglar på ett bra sätt de fruktbara diskussionerna mellan föredraganden, rådets arbetsgrupp och kommissionens tjänsteenheter."
"Let me thank you once again for the very warm invitation and the very constructive and fruitful discussions last Wednesday in Washington.", "Låt mig tacka än en gång för den varma inbjudan jag fick och förra onsdagens mycket konstruktiva och givande samtal i Washington."
"Whether it was because of the more intimate surroundings of the library or the physical proximity of Parliament, our discussions were fruitful.", "Jag vet inte om det berodde på bibliotekets mer intima omgivning eller parlamentets fysiska närhet, men våra diskussioner var givande."
"The Commission will keep you informed about these future developments and I look forward to further fruitful discussions with you on this important issue.", "Kommissionen kommer att hålla er informerade om den framtida utvecklingen, och jag ser fram emot kommande fruktbara debatter med er om denna viktiga fråga."
"The teachers' dedication and teaching skills creates a climate for fruitful discussions where the issues that affect you or your organization can be discussed.", "Lärarnas engagemang och pedagogiska kompetens skapar ett klimat för givande diskussioner där de problemställningar som berör just dig eller din organisation kan diskuteras."
"In the run-up to the adoption by the Council of the food facility on 16 December, the European Commission has already had very fruitful discussions with the UN high-level task force.", "Kommissionen genomförde redan inför rådets beslut om livsmedelsmekanismen den 16 december mycket givande överläggningar med Förenta nationernas högnivågrupp."
"You are right, Mrs Quisthoudt-Rowohl, to emphasise that this agreement has been made possible thanks to the hard work during fruitful discussions in which everyone has been involved.", "Och ni gör rätt, fru Quisthoudt-Rowohl, i att betona i vilken utsträckning denna överenskommelse nåtts tack vare ett intensivt arbete med fruktbara diskussioner där alla deltagit."
"Right from the beginning, the Commission has followed this initiative very closely, and we have had fruitful discussions with the Ombudsman and Parliament's rapporteur, Ms Jäätteenmäki.", "Redan från första början har kommissionen följt detta initiativ mycket noggrant och vi har haft givande diskussioner med ombudsmannen och parlamentets föredragande Anneli Jäätteenmäki."
"In this spirit I look forward to fruitful discussions with the Heads of State or Government tomorrow evening and the real results that the world is expecting from Pittsburgh next week.", "Det är i denna anda jag ser fram emot fruktbara diskussioner med stats- och regeringscheferna i morgon kväll och de konkreta resultat som världen förväntar sig från Pittsburgh nästa vecka."
"The Council has had fruitful discussions with your House on this proposal, and your House voted on the text of the proposal on 26 April this year, so that the Council can adopt it at first reading.", "Rådet har haft fruktbara diskussioner med parlamentet om detta förslag och parlamentet röstade om den föreslagna texten den 26 april i år, så att rådet kan anta den vid första behandlingen."
"However, we knew that Greece did not actually fully meet the criteria at the start.", "Men vi visste att Grekland faktiskt inte fullt ut uppfyllde kriterierna från början."
"Of course, as is often the case, the outcome does not fully meet our demands.", "Såsom fallet ofta är motsvarar utfallet naturligtvis inte helt våra krav."
"The truth is though, that the Commission's guidelines do not fully meet these objectives.", "I själva verket uppfyller inte kommissionens riktlinjer dessa mål helt."
"The truth is though, that the Commission' s guidelines do not fully meet these objectives.", "I själva verket uppfyller inte kommissionens riktlinjer dessa mål helt."
"What is more, this meat comes from certified abattoirs, which fully meet health criteria.", "Detta kött kommer dessutom från certifierade slakthus, som till fullo uppfyller hälsokriterierna."
"Unfortunately, to fully meet that requirement - a legitimate one, certainly - is not quite so easy in practice.", "Men trots att detta är ett legitimt mål är det inte så lätt att uppnå i praktiken."
"This figure, though better than initially proposed, does not fully meet my expectations.", "Även om denna siffra är bättre än vad som ursprungligen föreslogs infriar den inte fullt ut mina förväntningar."
"This would fully meet the requirements of supervision in terms of transparency and transaction monitoring.", "Därmed skulle tillsynskravet på öppenhet och transaktionskontroll kunna säkras över hela linjen."
"Existing legislation does not fully meet these aims.", "Den nuvarande lagstiftningen uppfyller inte helt dessa mål."
"I am fully committed to meet this demand.", "Jag är helt och hållet engagerad i att leva upp till detta krav."
"This proposal seems to us fully to meet the needs of many ACP countries, including of course Senegal.", "Detta förslag förefaller oss helt anpassat till begäran från de många AVS-länderna, däribland naturligtvis Senegal."
"The action plan - and the resolution of the European Parliament - fully endeavours to meet these concerns.", "Handlingsplanen - och Europaparlamentets resolution - anstränger sig till fullo för att svara mot dessa önskemål."
"Both countries are working hard to tackle the remaining shortcomings to fully meet the criteria of accession.", "Båda länderna arbetar hårt för att tackla de kvarstående bristerna för att till fullo uppfylla anslutningskriterierna."
"These contributions therefore enable us, in terms of quantity, to fully meet the overall target set by the Council.", "Dessa bidrag gör det möjligt att på ett kvantitativt plan till fullo uppfylla det övergripande mål som slagits fast av rådet."
"Moreover, the present reforms must be implemented more effectively in order for Turkey to fully meet the political criteria.", "Vidare måste de pågående reformerna genomföras effektivare för att Turkiet helt skall uppfylla de politiska kriterierna."
"The market has no such role nor can it fully meet the need for programmes targeting minority groups in society.", "Marknaden har inget sådant uppdrag och kan inte heller fullt ut tillgodose behovet av program som riktar sig till minoritetsgrupper i samhället."
"It also presupposes that our current Member States fully meet the benchmarks and criteria mentioned in the statement.", "Det förutsätter samtidigt att våra nuvarande medlemsstater fullständigt uppfyller de referenspunkter och kriterier som anges i meddelandet."
"In fact, I do not believe that it is possible to have policies that fully meet the real needs of the communities involved.", "Jag tror faktiskt inte att det är möjligt att föra en politik som fullständigt uppfyller de verkliga behoven hos de berörda samhällena."
"It will also make it easier for the countries in question to fully meet their outstanding financial obligations towards the European Union.", "Det gör det också lättare för de berörda länderna att helt uppfylla sina utestående finansiella skyldigheter mot Europeiska unionen."
"I support the accession of the ten candidate countries today, in spite of the fact that some of them do not yet fully meet all the criteria.", "I dag stöder jag anslutningen av de tio kandidatländerna, trots det faktum att vissa ännu inte helt och hållet uppfyller alla kriterier."
"The United Nations, let us not forget, has a fundamental role in this matter.", "Vi får inte glömma att FN spelar en grundläggande roll i det här sammanhanget."
"Biomass must play a fundamental role, since its potential is under-exploited.", "Biomassa måste spela en grundläggande roll eftersom dess potential är underutnyttjad."
"The fundamental role of a parliamentarian is not to govern, I am sorry to say.", "En parlamentsledamots uppgift är inte att styra måste jag dessvärre säga."
"The Commission may, if it so wishes, assume a fundamental driving role in this.", "Kommissionen kan om den så önskar ta på sig en viktig pådrivande roll i det här sammanhanget."
"This means that the common currency is not fulfilling its fundamental role.", "Den gemensamma valutan fullgör således inte sin grundläggande uppgift."
"I feel that the EU should continue to play a fundamental role in protecting the environment.", "Jag anser att EU bör fortsätta att spela en grundläggande roll i skyddet av miljön."
"Rail has a fundamental role to play, especially on the eve of enlargement.", "Järnvägen har en ytterst viktig funktion att fylla, i synnerhet med tanke på utvidgningen."
"Accessibility of information will undoubtedly play a fundamental role in this change.", "Tillgång till information kommer otvivelaktigt att spela en grundläggande roll i denna förändring."
"European cooperation has played a fundamental role in the development of the Community as we know it.", "Europasamarbetet har spelat en stor roll i utvecklingen av gemenskapens regelverk."
"We must assert our fundamental role in that legislative process.", "Vi måste hävda vår huvudsakliga roll i det lagstiftningsförfarandet."
"A fundamental role in which it is crucial that the Europe 2020 strategy should be taken as a starting point.", "Och här är det mycket viktigt att utgångspunkten är Europa 2020-strategin."
"I trust that Parliament will play a fundamental role in shaping the new directive in both these sectors.", "Då uppstår frågan om vem som ska bestämma vad ” europeisk ” betyder i det här sammanhanget."
"Today, maritime transport plays a fundamental role in trade.", "I dag spelar sjötransporten en mycket viktig roll för handeln."
"We had actually been expecting more, namely that the Commission should take on a fundamental role.", "Men vi förväntade oss faktiskt mer, dvs. att kommissionen skulle ikläda sig en mer betydelsefull roll."
"In cooperation with families, schools can play a fundamental role in getting children to eat healthily.", "I samarbete med familjerna kan skolorna spela en viktig roll för att få barnen att äta hälsosammare."
"- (PT) Research and technology play a fundamental role in the development of a low-carbon society.", "- (PT) Forskning och teknik spelar en grundläggande roll i utvecklingen av ett samhälle med låga koldioxidutsläpp."
"Sport plays a fundamental role in this integration.", "I denna process spelar idrotten en fundamental roll."
"Is not part of our cultural tradition just these languages, which play a fundamental role in European culture today?", "Är inte de språk som spelar en roll som rot till dagens europeiska kultur också en del av kulturarvet?"
"The European Investment Bank undoubtedly plays a fundamental and very important role in Europe's development.", "Europeiska investeringsbanken spelar utan tvivel en grundläggande och mycket viktig roll för EU:s utveckling."
"Parliament plays a fundamental role here as a guardian of the democratic legitimacy of external action.", "Parlamentet spelar här en mycket viktig roll som övervakare av den demokratiska legitimiteten i de yttre åtgärderna."
