//Sentences
"Fine Gael and Labour are part of the PPE and S&D groups respectively in this Parliament.", "Fine Gael och Labour ingår i PPE- respektive S&D-grupperna i Europaparlamentet."
"My party, Fine Gael, has recently made a number of concrete suggestions, following the subcommittee's report on its analysis of the Irish 'no'.", "Mitt parti, Fine Gael, har nyligen kommit med ett antal konkreta förslag efter underutskottets rapport om analysen av Irlands ”nej”."
". - The Fine Gael delegation of the EPP-ED Group voted in favour of the overall Oomen-Ruijten report on Turkey's progress in 2007.", "skriftlig. - (EN) Fine Gaels delegation i PPE-DE-gruppen röstade för Ria Oomen-Ruijtens betänkande om 2007 års lägesrapport om Turkiet som helhet."
"The Fine Gael MEPs abstained on the votes on Lithuania as the legislative/legal processes have not yet been completed there.", "Fine Gaels ledamöter i Europaparlamentet lade ned sina röster när det gäller Litauen eftersom den lagstiftningsmässiga/rättsliga processen inte har slutförts där än."
"The Fine Gael MEPs believe an EU CCCTB would lead eventually to the establishment of a single tax rate in Europe and are strongly against it.", "Ledamöterna från Fine Gael anser att en gemensam konsoliderad bolagsskattebas i EU i slutändan skulle leda till en enda skatt i EU, och vänder sig med kraft mot en sådan."
"On balance, given the nature of the HFR and the mix of budget items covered, the Fine Gael delegation voted to support Draft amending budget No 8/2009.", "Med tanke på högflödesreaktorns natur och blandningen av de budgetposter som omfattas röstade Fine Gael-delegationen på det stora hela för att stödja förslaget till ändringsbudget nr 8/2009."
"As the Director of Elections for Fine Gael in the recent referendum campaign, I want to make it absolutely clear that the Irish position is, and should be, that we want to be at the centre of Europe.", "Som valgeneral för Fine Gael i den senaste folkomröstningskampanjen vill jag göra absolut klart att den irländska ståndpunkten är och bör vara att vi vill vara i centrum av EU."
"Supplementary arrangements should only be necessary if the real provisions fall short of the mark.", "Kompletterande regleringar är endast nödvändiga när de normala arrangemangen inte räcker till."
"As far as the level of the Budget is concerned, the liberal group too feels that the Council's efforts fall short of the mark.", "När det gäller budgetens storlek tycker även den liberala gruppen att rådets insats är otillräcklig."
"As far as the level of the Budget is concerned, the liberal group too feels that the Council' s efforts fall short of the mark.", "När det gäller budgetens storlek tycker även den liberala gruppen att rådets insats är otillräcklig."
"If these efforts should fall short of the mark, then we cannot afford to rule out the possibility of the international community becoming more actively involved.", "Om det ger för litet resultat så får vi inte utesluta en aktivare roll för den internationella gemenskapen."
"Certain improvements have been made, by introducing higher standards for transporting animals, but these measures still fall short of the mark.", "Vissa förbättringar har gjorts genom att högre normer för djurtransporter har införts, men åtgärderna är fortfarande otillräckliga."
"Anything else will fall short of the mark and will not help to prevent ecological disasters, such as those which have just come to light in Romania and Hungary, from happening to us.", "Allt annat skulle förfela sin verkan och inte bidra till att förhindra att ekologiska katastrofer, liknande dem som vi nu upplever i Rumänien och Ungern, också skulle kunna inträffa hos oss."
"Farming is perhaps the industry in the most precarious position in the European Union at present.", "Jordbruk är för närvarande kanske den osäkraste branschen inom Europeiska unionen."
"Equally, it is a prerequisite for a flourishing farming industry with good operating profits.", "Det är på samma sätt en förutsättning för ett blomstrande jordbruk med god avkastning."
"Nowadays, taxpayers often have to subsidise industry and farming.", "I dag får skattebetalarna ofta subventionera industri och jordbruk."
"Young farmers are the future of the farming industry and vital components in urban communities.", "Unga jordbrukare är jordbruksnäringens framtid och livsviktiga komponenter i tätortssamhällen."
"It is a very serious issue in the Scottish farming industry.", "Det är en mycket allvarlig fråga inom den skotska odlingsindustrin."
"Until very recently, dairy farms were the Cinderella sector of the UK farming industry.", "Fram till alldeles nyligen var de mjölkproducerande gårdarna styvbarnet inom den brittiska jordbruksindustrin."
"I urge Members of this Parliament to support me on this vital issue for the farming industry throughout Europe.", "Jag ber ledamöterna i detta parlament att stödja mig i denna oerhört viktiga fråga för jordbruksnäringen i hela EU."
"The real challenge faced by the farming industry is to become more competitive and closer to the consumer.", "Den verkliga utmaning som jordbruksindustrin står inför är att bli mer konkurrenskraftig och komma närmare konsumenterna."
"I would urge the Commission to consider these concessions in order to help our farming industry in the difficult climate that it currently faces.", "Denna fråga är så allvarlig att den faller utanför ramen för partipolitik."
"Therefore the use of fishmeal to feed animals provides the farming industry with an efficient low-cost diet supplement.", "Den första är hur etiskt korrekt det är att ge animaliskt protein till djur som inte normalt äter sådant protein."
"The Scottish salmon-farming industry is the biggest in the EU, spread throughout some of Europe' s most peripheral communities.", "Den skotska laxodlingsindustrin är den största inom EU, utspridd i några av Europas mest avlägsna samhällen."
"We now have a farming industry that uses unheard-of amounts of poison in order to achieve maximum possible yields.", "Vi har i dag en jordbrukssektor som använder oanade mängder av giftiga ämnen för att uppnå en så stor avkastning som möjligt."
"Therefore the use of fishmeal to feed animals provides the farming industry with an efficient low-cost diet supplement.", "Därför erbjuds jordbruksindustrin genom användandet av fiskmjöl som djurfoder ett effektivt kosttillskott till en låg kostnad."
"In addition, I think we can conclude that bees are a good indicator of our ability to have an environmentally friendly farming industry.", "Dessutom tror jag att vi kan säga att bin är en bra indikator på vår möjlighet till en miljövänlig jordbruksindustri."
"The farming industry needs young blood in order to inject a new vibrancy into an industry which at present is aged and disillusioned.", "Jordbruksnäringen behöver ungt blod för att ge nytt liv åt en näringsgren som för närvarande är åldrig och desillusionerad."
"The farming industry in Britain has suffered greatly from the BSE crisis, both financially and in terms of consumer confidence.", "Uppfödningsindustrin i Storbritannien har lidit stor skada från BSE-krisen både ekonomiskt och i fråga om konsumenters förtroende."
"In the UK, the pig-farming industry learnt - to its great cost - the mistake of introducing higher animal welfare standards unilaterally.", "I Storbritannien fick grisuppfödarna - till hög kostnad - lära sig av misstaget att ensidigt införa högre djurskyddsnormer."
"First of all, I think that the farming industry's impact assessments have been very exaggerated and therefore not to be taken seriously.", "För det första anser jag att konsekvensberäkningarna från jordbrukets sida har varit kraftigt överdrivna och därmed inte seriösa."
"First of all, I think that the farming industry' s impact assessments have been very exaggerated and therefore not to be taken seriously.", "För det första anser jag att konsekvensberäkningarna från jordbrukets sida har varit kraftigt överdrivna och därmed inte seriösa."
"It is very painful for the farming industry to see this happen and it is happening now throughout the whole of Europe, so action needs to be taken.", "Det är mycket tungt för jordbruksindustrin att se det hända och det händer nu igen över hela Europa, så åtgärder måste vidtas."
"But how can you find a good farming practice that enables country-dwellers to survive?", "Men hur skall man förena god jordbrukssed med jordbrukarnas överlevnad på landet?"
"Is some bureaucrat always going to decide what is good farming practice for me?", "Skall det vara byråkraten som beslutar om mina goda jordbruksmetoder?"
"Pigs were fed improperly treated swill, which was bad farming practice.", "Grisar fick dåligt behandlat foder, vilket var dålig jordbrukspraxis."
"In my view, the minimum standard must be good farming practice.", "Enligt min uppfattning bör en sådan minimistandard ingå i god jordbrukssed."
"Mr President, bad farming practice was the root cause of the foot and mouth outbreak.", "Herr talman! Det var dålig praxis inom jordbruket som var grundorsaken till mul- och klövsjukeutbrottet."
"Diseased pigs were not reported - bad farming practice.", "Man rapporterade inte att grisar hade dött - dålig jordbrukspraxis."
"Good farming practice is really the basis of the way in which farmers run their businesses.", "För jordbrukarna skall den goda branschpraxisen egentligen utgöra grundvalen för arbetssättet inom jordbruksföretagen."
"Good farming practice and animal welfare cannot be considered in isolation from food legislation as a whole.", "Bra jordbruksmetoder och djurens välbefinnande kan inte ses isolerat från livsmedelslagstiftningen i sin helhet."
"I am disturbed that the Commissioner shows more concern for trade liberalisation than good farming practice.", "Jag är oroad över att kommissionsledamoten visar större intresse för avreglering av handeln än för god jordbrukssed."
"Good farming practice should be a prerequisite here.", "En god facklig praxis borde förutsättas."
"Amendment No 9 in the proposal places farmers operating according to normal farming practice in real difficulties.", "I den normala verksamheten inom jordbruket kommer vi då att hamna i objektiva svårigheter på grund av punkt 9 i förslaget."
"Nonetheless, good farming practice is needed.", "Dock införs en god jordbrukssed."
"Indeed, it has been proved that this set of operations causes the animals greater stress and suffering than any other farming practice.", "Det är verkligen bevisat att sådana här åtgärder orsakar djuren mer stress och lidande än någon annan jordbruksmetod."
"We must in future regard the principle of good farming practice as our starting point, a principle addressed by both Mrs Schierhuber and Mr Mayer.", "Man måste i fortsättningen utgå från principen med god facklig praxis - kollegerna Schierhuber och Mayer berörde den."
"Bad farming practice led to a situation where the disease was spreadeagled over 57 farms in 16 counties by the time its presence was confirmed.", "Dålig jordbrukspraxis ledde fram till ett läge där sjukdomen spred sig till 57 jordbruk i 16 grevskap innan man bekräftade dess närvaro."
"Current farming practice, as has also been stated here, has been responsible for most of the effluent in our waterways and the reason for their eutrophication.", "Dagens jordbruk är, som man också konstaterat, den största källan till utsläpp och orsaken till övergödningen av vattendragen."
"For us it is essential that all farmers who receive public funds from the Community budget at least observe the principles of good farming practice.", "Vi lägger vikt vid att varje jordbrukare, som vill ta offentliga medel i anspråk ur gemenskapens budget, åtminstone iakttar god jordbrukspraxis."
"Bad farming practice was compounded by stupidity when pigs which no longer showed physical symptoms but could still transmit the disease were sent to an abattoir.", "Dålig jordbrukspraxis blandades med dumhet när grisar som inte längre uppvisade fysiska symptom, men fortfarande kunde överföra sjukdomen, skickades till slakterierna."
"We need both these factors, Commissioner Dimas, and we shall continue to need good farming practice and integrated pest management, because we need dynamism.", "Vi behöver båda dessa faktorer, kommissionsledamot Dimas, och vi kommer att ha ett fortsatt behov av god jordbrukssed och integrerad skadedjursbekämpning eftersom vi behöver dynamism."
"First of all, may I say to Mr Florenz that I am quite happy to leave the question of a definition and a more detailed explanation of good farming practice to my colleague Mr Fischler.", "Först och främst vill jag säga till Florenz att jag helt tryggt överlåter frågan om en definition av och en närmare redogörelse för god jordbrukssed till min kollega Fischler."
"Mr President, the new directive on battery cages is a political issue of the first rank.", "Herr ordförande! Det nya direktivet beträffande bursystem utgör en politisk fråga av hög prioritet."
"He is a European of the first rank.", "Han är en europé av högsta rang."
"Madam President, I agree with the two former speakers that this is an annual report of the first rank and of the highest political order.", "Fru talman! Jag håller med de två föregående talarna om att detta är en årsrapport av högsta betydelse och högsta politiska prioritet."
"I say to Mr Marcellino Oreja that one cannot have equality between Commissioners of first and second rank in the name of a supposedly more effective Commission.", "Kommissionsledamöterna av första och andra kategorin är inte jämställda, Marcelino Oreja, min käre vän, i det som kallas en mer effektiv kommission."
"We must not forget that Cuba, despite its difficult economic situation, is always in the first rank of countries providing assistance to others, for example, in the disaster in Haiti.", "Vi får inte glömma att Kuba, trots sin besvärliga ekonomiska situation, alltid befinner sig i första ledet bland de länder som ger bistånd till andra, som t.ex. vid katastrofen i Haiti."
"This flexible structure will allow us to rise to the challenges at EU level.", "Med en sådan flexibel struktur kommer vi att kunna anta utmaningarna på EU-nivå."
"If a Union of 28 Member States is to be successful, it must obviously have a flexible structure.", "För att klara en union med 28 medlemsstater, måste man givetvis ha en flexibel struktur."
"Amendment No 5 proposes four ways of making the fee structure more flexible and easier for those who apply to be accepted.", "I ändringsförslag 5 föreslås fyra sätt för att göra avgiftsstrukturen mer flexibel och lättare för dem som ansöker om att bli accepterade."
"It will be important to retain a balance between protecting creditors, a flexible company structure, and ensuring the security of business transactions.", "Det kommer att vara viktigt att en balans upprätthålls mellan skyddet för kreditorer, en flexibel företagsstruktur och affärstransaktionernas säkerhet."
"A mission of information, a mission of exchange, and as to the form, the structure, a flexible, light, efficient structure, relying on existing structures.", "Informationsuppdrag, utbytesuppdrag, och när det gäller formen och strukturen, en flexibel, lätt och effektiv utformning som stöder sig på befintlig struktur."
"I hope that you will succeed in creating a flexible structure for the budget in the agricultural sector, and I wish you every success in your efforts to do so.", "Jag hoppas, att ni kommer att klara av att genomföra en flexibel struktur för utformning av budgeten inom jordbrukssektorn. Jag önskar er lycka till i sammanhanget."
"The fact that a decentralised, flexible structure for improving efficiency has been identified is very important, but this must be linked to a more comprehensive assessment.", "Jag anser att det faktum att man tänker sig en decentraliserad och flexibel uppbyggnad som ökar dess effektivitet är mycket viktigt, med detta måste dock åtföljas av en mer övergripande bedömning."
"Mr Kreissl-Dörfler suggest that we really should be focussing on other problems.", "Kreissl-Dörfler föreslår att vi egentligen borde koncentrera oss på andra problem."
"For the time being, I am focussing more on immediate, urgent responses to the crisis.", "För närvarande fokuserar jag mer på omedelbara, brådskande svar på krisen."
"We have gone in for life support rather than focussing on structural changes.", "Man har ägnat sig åt konstgjord andning istället för att satsa på strukturella förändringar."
"It penalises the efforts of galleries who should be focussing on helping artists.", "Den straffar galleriernas verksamhet vars krafter måste koncentreras på stöd till konstnärerna."
"It is to be hoped that in Gothenburg, people will be focussing on Johannesburg...", "Vi hoppas att blickarna i Göteborg dras mot Johannesburg."
"Success depends on focussing on the issue of handling and clarifying Iraq's debt.", "För att nå framgång är det nödvändigt att fokusera på frågan om hantering och klarläggande av Iraks skuld."
"After all, it is precisely this issue that the enlargement negotiations are focussing on.", "Ty frågan är ju just föremål för utvidgningsförhandlingarna."
"Focussing on the smallest particles in European policy on air quality is therefore long overdue.", "Det är därför hög tid att fokusera på de minsta partiklarna i den europeiska luftkvalitetspolitiken."
"We are therefore focussing on the technology to reduce the sulphur content of marine fuels.", "Därför koncentrerar vi oss i själva verket på tekniken för att minska andelen svavel i de marina bränslena."
"While all our competitors are focusing on competitiveness and growth, we are focussing on waste and debt.", "Alla av dem kommer upp i högre avkastning än vi, medan vi sitter fast i permanent konjunkturnedgång."
"This is the principle, with which economists are familiar, of focussing an instrument on a single objective.", "Det är den bland ekonomer välkända principen om specialisering av ett instrument för en målsättning."
"It is good that the EU is focussing on the Arctic region.", "Det är bra att EU inriktar på den arktiska regionen."
"Focussing on this is a way of escaping our responsibility.", "Det är en flykt från ansvar att fokusera på detta."
"While all our competitors are focusing on competitiveness and growth, we are focussing on waste and debt.", "Medan alla våra konkurrenter fokuserar på konkurrenskraft och tillväxt, fokuserar vi på slöseri och skulder."
"I do, however, think that the approach of focussing on nuclear energy here, or on 'clean' forms of energy, is wrong.", "Jag anser emellertid att strategin att fokusera på kärnenergi här, eller på ”rena” energiformer, är fel."
"For that reason, I shall be focussing on three aspects.", "Därför ska jag fokusera på tre aspekter."
"Both Shell and BP are focussing their attention on lowering the price of solar panels in order to develop a market.", "Såväl Shell som BP koncentrerar sig på att sänka priset på solpaneler för att på det viset utveckla en marknad."
"This is how we will try to do it: focussing both on poverty alleviation and capacity building.", "Vi kommer att försöka åstadkomma detta genom att koncentrera oss på både en minskning av fattigdomen och kapacitetsskapande åtgärder."
"Two ministerial meetings were organised by Denmark in the last six months, both focussing on the next Action Plan.", "Två ministermöten organiserades av Danmark under de senaste sex månaderna, båda var fokuserade på nästa handlingsplan."
"Mr President, I would like to continue this internal PPE-DE debate by focussing solely on the Laeken Declaration.", "Herr talman! Jag vill fortsätta denna interna debatt inom PPE-DE-gruppen genom att endast fokusera på Laekenförklaringen."
"We have resumed an extra 15 minutes later to enable him to take part in the debate.", "Vi har ju börjat en kvart senare särskilt för att han skall kunna delta i debatten."
"You cannot ask somebody to be creative in 15 minutes and really think about a problem.", "Man kan inte be någon att vara kreativ i 15 minuter och verkligen fundera igenom ett problem."
"Ladies and gentlemen, we have prolonged our session of one-minute speeches by 15 minutes.", "Mina damer och herrar, vi har förlängt vår session med anföranden på en minut med 15 minuter."
"I shall, therefore, suspend the sitting of Parliament for 15 minutes.", "17.30 på dagens föredragningslista förklarar jag kammarens arbete avbrutet under 15 minuter."
"You can go 15 minutes or 30 minutes or 45 minutes or an hour.", "Du kan boka 15 minuter, eller 30 minuter, eller 45 minuter eller en timme."
"(The sitting was suspended for 15 minutes while awaiting Voting Time)", "(Sammanträdet avbröts i 15 minuter i väntan på omröstningarna.)"
"As we only have 15 minutes left, I can only allow a few speakers to speak.", "Med tanke på att vi endast har femton minuter till vårt förfogande ger jag bara ordet till några få talare."
"Mr President, I would like to say that I was stuck in a lift for 15 minutes, so the lifts really are not working.", "Jag vill påpeka att jag fastnade 15 minuter i hissen. Hissarna fungerar alltså inte."
"Your hero flies north at 300 miles per hour for 15 minutes.", "En hjälte flyger norrut i 480 kilometer i timmen i 15 minuter."
"A driver travelling through France was fined EUR 750 for falling 15 minutes short of his full rest period.", "En förare som körde genom Frankrike fick böta 750 euro för att han tog en 15 minuter för kort rast."
"For approximately 15 minutes nobody came for it.", "Under ca 15 minuter var det ingen som kom och hämtade detta bagage."
"So I want to try and convince you in about 15 minutes that that's a ridiculous and ludicrous thing to do.", "Så, jag vill försöka övertyga er på ungefär 15 minuter att det är en befängd och löjlig sak att göra."
"With 15 minutes at the beginning and nearly 15 minutes at the end, I think you have been very consistent.", "Med 15 minuter i början och nästan 15 minuter i slutet tycker jag att ni har varit mycket konsekvent."
"Good skiing is only a 15 minutes drive away from campus.", "Bra skidåkning endast 15 minuters bilväg från campus."
"Madam President, I have been asking to speak for 15 minutes.", "Fru talman! Jag begärde ordet för en kvart sedan."
"State road 5, 15 minutes east of Union Springs, New York.", "Väg 5, 15 minuter öster om Union Springs, New York."
"Commissioner Mandelson decided to speak for 28 minutes instead of the 12 or 15 minutes maximum.", "Kommissionsledamot Peter Mandelson beslutade sig för att tala i 28 minuter i stället för de maximala 12 eller 15 minuterna."
"Commissioner Mandelson decided to speak for 28 minutes instead of the 12 or 15 minutes maximum.", "Kommissionsledamot Peter Mandelson beslutade sig för att tala i 28 minuter i stället för de maximala 12 eller 15 minuterna."
"Surely not now, in the 15 minutes that remain?", "Naturligtvis inte nu under de 15 minuter som återstår?"
"SM: Back at Gateshead, a 10-year-old girl gets into the heart of Hinduism in 15 minutes.", "Riktigt bra ... ~~~ SM: Tillbaka till Gateshead, där en 10-årig flicka ger sig in på djupet av hinduismen på 15 minuter."
"Thank you for your good wishes and for sending the telegram this morning.", "Tack för era hälsningar och för att ni skickade telegrammet i morse."
". - (SL) Thank you for the supplementary question and for your good wishes.", "rådets tjänstgörande ordförande. - (SL) Tack för er följdfråga och för era lyckönskningar."
"Thank you, Mr Graefe zu Baringdorf, for your good wishes.", "Tack för era välgångsönskningar, herr Graefe zu Baringdorf."
"I also wish to thank you for all your good wishes on the occasion of the first Swedish Presidency.", "Jag vill också tacka för alla välgångsönskningar med anledning av det första svenska ordförandeskapet i denna talmansstol."
"Thank you for your good wishes, which I also accept on behalf of the success of the launch of the euro.", "Herr ordförande! Tack för era välgångsönskningar som jag också tar emot beträffande framgången med införandet av euron."
"I know that you have high expectations of me over the coming months - and thank you for your good wishes.", "Jag vill särskilt tacka för era lyckönskningar inför det arbete som ni förväntar er av mig under de närmaste månaderna."
"That is where I really need your good wishes.", "Då kan jag verkligen behöva era lyckönskningar."
"With your good wishes it must be a success!", "Med era lyckönskningar måste det bli succé!"
"Madam President, thank you for your words of welcome, and thank you to every one of you for your good wishes and your encouragement.", "Fru talman! Tack för välkomnandet, och tack till er alla för era välgångsönskningar och er uppmuntran."
"I return your good wishes, Mr President, and I thank you for your kindness in grouping together these two questions.", "Låt mig först av allt returnera artigheten, herr ordförande, och tacka för möjligheten att gemensamt besvara de båda frågorna."
"Speaking personally, let me say that I am very appreciative of your good wishes and we will continue to work well together.", "Jag vill personligen säga att jag uppskattar era lyckönskningar och att vi kommer att fortsätta att ha ett gott samarbete."
"We do of course return your good wishes, and, as for the Council, we will be ready on Twelfth Night to deliver great sacks of coal if they are naughty!", "Vi återgäldar självfallet era hälsningar, och vad gäller rådet kommer vi att vara beredda att på trettondagsafton leverera stora säckar med kol om de är olydiga!"
"Commissioner, recognizing your insistence, we ask you, please, to give us this year the legislation promised in 1996, and thank you for your good wishes.", "Därför, herr kommissionär, med tanke på er inställning, ber vi er att vi under detta år skall få den lagstiftning som utlovades till 1996, och tack för era goda föresatser."
"I am not saying that women should be forced to stay at home.", "Jag säger inte att kvinnor skall tvingas att stanna hemma."
"The Bulgarian children were forced to stay out of class.", "De bulgariska barnen tvingades stanna hemma från skolan."
"We are not forced to stay together for ever.", "Vi behöver inte hålla ihop för alltid."
"I was forced to ask them to consider themselves as asylum seekers, which meant that they were forced to stay in my town.", "Jag var tvungen att be dem om att betrakta sig som asylsökande, vilket ledde till att de bara kunde stanna i min stad."
"How must they feel, being forced to stay at home and be supported by their parents, and not even able to think of starting a family?", "Hur känner de sig när de tvingas att stanna kvar hemma och bli försörjda av sina föräldrar och inte ens kan tänka tanken att bilda familj?"
"Last year, much of the Royal Navy was forced to stay in port because it had overspent its clearly inadequate fuel budget.", "Förra året var en stor del av Kungliga flottan tvingad att hålla sig i hamn, eftersom man hade använt större medel till drivmedel än vad dess uppenbarligen otillräckliga budget tillät."
"Of course, there must be solidarity between the generations, but this solidarity must not result in women being forced to stay at home to look after the elderly and children.", "Naturligtvis måste det finnas en solidaritet mellan generationerna, men denna solidaritet får inte leda till att kvinnan tvingas vara hemma och vakta gamla och barn."
