//Sentences
"The annual emissions have been, on average, 15 tonnes of CFC-11, which is quite substantial.", "De årliga utsläppen har legat på i genomsnitt 15 ton CFC-11 vilket är ganska avsevärt."
"Each time we have come up against a serious problem, for example PCBs, DDT or CFCs – we have been taken completely by surprise.", "Den kompromiss som nåtts i elfte timmen när det gäller registreringen är inte perfekt."
"In Germany they have just uncovered the illegal import of 1, 000 tonnes of CFCs from Great Britain.", "I Tyskland upptäcktes just i dagarna en illegal import av 1 000 ton freoner från Förenade kungariket till Tyskland."
"The Montreal Protocol was an attempt to eliminate CFCs, as these gases are harmful to stratoshperic ozone.", "Jag har själv varit aktiv och lagt fram ändringsförslagen om framför allt luftkonditioneringssystem i fordon."
"Increasingly, HCFCs are used as a substitute for CFCs.", "Man använder alltmer HCFC för att ersätta freon."
"So CFCs started to be replaced with HCFCs, for example, which were a lot less harmful to the ozone layer.", "Därför började man ersätta klorfluorkarboner med till exempel klorfluorkolväte, som var betydligt mindre farliga för ozonlagret."
"There are insufficient plants across the world to remove these CFCs without causing environmental damage.", "Det finns i hela världen inte tillräckligt med anläggningar för att ta hand om dessa gamla lager av freon utan att skada miljön."
"The European Community has presented a proposal whose aim is to forbid sales of CFCs in all industrialized countries.", "Europeiska gemenskapen lade fram ett förslag som syftar till att förbjuda försäljning av freon i samtliga industriländer."
"The Montreal Protocol was an attempt to phase out CFCs, as these gases are harmful to stratospheric ozone.", "Montrealprotokollet var ett försök att fasa ut klorfluorkolföreningar, eftersom dessa gaser är skadliga för det stratosfäriska ozonet."
"Each time we have come up against a serious problem, for example PCBs, DDT or CFCs – we have been taken completely by surprise.", "Varje gång som vi har stött på ett allvarligt problem, som t.ex. PCB, DDT eller freoner, har vi tagits helt på sängen."
"I put down two amendments, one calling for further research into the other greenhouse gases such as methane, soot, CFCs, etc.", "Jag har ingivit två ändringsförslag, ett som kräver mer forskning om andra växthusgaser såsom metan, sot, klorfluorkarboner, m.m."
"The Group of the European Radical Alliance has tabled an oral question to the Commission (O107/97) on illegal imports of CFCs.", "Gruppen Europeiska radikala alliansen har lämnat in en muntlig fråga till kommissionen (O107/97) om den illegala importen av CFC."
"The SEA creates the foundations for the Court of First Instance (CFI).", "Genom enhetsakten skapas den rättsliga grunden för inrättandet av förstainstansrätten."
"Indeed, how could we fail to sympathise with the concerns expressed by the ECJ and CFI?", "Hur kan man undvika att ta intryck av den oro som uttrycks av domstolen och förstainstansrätten?"
"There would, however, be no change to the principle whereby the CFI sits in chambers composed of three or five judges.", "Däremot skall principen enligt vilken domstolen sammanträder med tre eller fem domare förbli oförändrad."
"Such cases could undoubtedly be left to the discretion of a single judge, but the texts proposed by the ECJ and CFI go much further.", "Dessa fall kan naturligtvis lämnas till en föredragande domare för avgörande, men de texter som föreslagits av domstolen och förstainstansrätten går mycket längre."
"The procedures and structures therefore need to be altered, so as to clear the backlog and enable the CFI to cope with the increase in litigation.", "Det är därför nödvändigt att ändra rutinerna och strukturerna för att kunna skära ner på väntetiderna och att se till att förstainstansrätten kan hantera den väntade ökningen av ärenden."
"On 4 December 2008, the Court of First Instance (CFI) annulled the Council's 15 July 2008 Decision to maintain the People's Mujahedin (PMOI) on the EU terrorist list.", "Den 4 december 2008 ogiltigförklarade förstainstansrätten rådets beslut av den 15 juli 2008 om att People's Mojahedin (PMOI) skulle kvarstå på EU:s förteckning över terrorister."
"It is a sop to fans, stitched up with the CFO, and a cosy compact in changing rooms.", "Det är ett sätt att muta fansen som sytts ihop av CFO och en bekvämt sätt att kohandla på."
"FIFA and the CFO are making a mockery of European Union law.", "Herr kommissionär! FIFA och CFO gör Europeiska unionens lagar till ett åtlöje."
"Mr Ford says 'yes' , he would rather that the European Commission have the money than the CFO.", "Ford säger " ja" , han skulle hellre se att Europeiska kommissionen fick pengarna än CFO."
"Mr Ford says 'yes ', he would rather that the European Commission have the money than the CFO.", "Ford säger " ja ", han skulle hellre se att Europeiska kommissionen fick pengarna än CFO."
"There's a Prime Minister, Secretary of State, Minister of Defense and a CFO, or Comptroller.", "Det finns en premiärminister, utrikesminister, försvarsminister och en CFO, eller finansminister."
"Participants from Axis AB will be: Ray Mauritsson, President, and Fredrik Sjöstrand, CFO.", "Deltagare från Axis AB är: Ray Mauritsson, verkställande direktör och Fredrik Sjöstrand, ekonomidirektör."
"They found that the European law had been broken by the CFO.", "De fann att CFO hade brutit mot den europeiska lagstiftningen."
"He tells us that there was nothing to guide the CFO.", "Han säger till oss att det inte fanns några riktlinjer för CFO."
"Now we are being told that it was actually for the CFO, and at the same time that it was not for the CFO.", "Nu säger man: Det var egentligen för organisationskommittén men ändå inte för organisationskommittén."
"Members of this House are sick at the fine that has been imposed by the European Commission on the CFO.", "Ledamöterna i detta parlament mår illa av den bötessumma som Europeiska kommissionen har utdömt till CFO."
"What about the exchange of correspondence between the CFO and the European Commission which started the previous July?", "Hur var det med skriftväxlingen mellan CFO och Europeiska kommissionen som inleddes i juli föregående år?"
"Or is the Commission seeking merely a sop to football fans stitched up with the CFO in a cosy compact in the changing rooms?", "Eller söker kommissionen bara mutor till fotbollsfans hoptråcklade med CFO i en mysig pakt i omklädningsrummen?"
"I am told that the Commission then had discussions with the CFO, who may have been less than honest with the Commission.", "Man har sagt till mig att kommissionen då hade diskussioner med CFO, som kan ha varit annat än ärlig mot kommissionen."
"If the Commission decides there are good reasons to let it proceed, it must, at least, prosecute and fine the CFO.", "Om kommissionen beslutar att det finns goda skäl för att låta det fortsätta så måste den, åtminstone, åtala och bötfälla CFO."
"As the House will recall, in 1996 and 1997 the system used by CFO favoured consumers who were able to provide an address in France.", "Som parlamentet minns, gynnade det system som användes av CFO konsumenter som kunde uppge en adress i Frankrike."
"The organisers were the CFO.", "Organisatörerna var CFO."
"The fact is that CFO, who I do not paint as plaster saints, the moment that our investigation commenced, stopped the discriminatory sales.", "Faktum är att CFO, som jag inte utmålar som helgon, stoppade sin diskriminerande försäljning, i det ögonblick då vår utredning inleddes."
"Is the Commission satisfied with the CFO's arrangements for the distribution of the remaining World Cup tickets via the "hotline' ?", "Är kommissionen nöjd med hur de franska arrangörerna CFO organiserat distributionen av kvarvarande biljetter till fotbolls-VM via en " hotline" ?"
"Is the Commission satisfied with the CFO's arrangements for the distribution of the remaining World Cup tickets via the " hotline '?", "Är kommissionen nöjd med hur de franska arrangörerna CFO organiserat distributionen av kvarvarande biljetter till fotbolls-VM via en " hotline "?"
"Phone number: +46 (0)8 5052 01 10, code: 918672 Participants from Axis AB will be: Ray Mauritsson, President and Fredrik Sjöstrand, CFO.", "Telefonnummer: 08-5052 01 10, Kod: 918672 Deltagare från Axis AB är: Ray Mauritsson, verkställande direktör och Fredrik Sjöstrand, ekonomidirektör."
"How have our fish and our fishermen fared under the common fisheries policy (CFP)?", "Hur har fisken och våra fiskare haft det med den gemensamma fiskeripolitiken (GFP)?"
"Furthermore there is no Community assistance for controlling and monitoring the CFP.", "Vidare finns det inget gemenskapsbistånd för att kontrollera och övervaka GFP."
"We have therefore put forward targeted proposals as part of the reform of the CFP.", "Vi behöver enhetliga föreskrifter för att genomföra den gemensamma fiskeripolitiken."
"In closing, in many people's eyes the CFP is drinking in the last-chance saloon.", "Det står för mycket på spel för att vi skall misslyckas en andra gång."
"We have, therefore, always argued for the need to decentralise the CFP.", "Vi har därför alltid hävdat att den gemensamma fiskeripolitiken bör decentraliseras."
"Not a single line, nor a single word, refers to fishing or the CFP.", "Inte en rad, inte ett ord angående fisket eller den gemensamma fiskeripolitiken."
"It is decisions like this that have brought the whole CFP into disrepute.", "Det är dylika beslut som har gjort att hela GFP har tappat trovärdighet."
"However, the external strand of the CFP also has positive aspects for our partners.", "Men den gemensamma fiskeripolitikens externa linje har även positiva sidor för våra partner."
"As the rapporteur said, we must overcome the failure of the current CFP.", "Som föredraganden sade bör man komma över den nuvarande fiskeripolitikens misslyckande."
"In closing, in many people's eyes the CFP is drinking in the last-chance saloon.", "Avslutningsvis drar den gemensamma fiskeripolitiken enligt mångas åsikt snart sitt sista andetag."
"It can only deal with the functioning and organisation of the CFP.", "Den får bara avse de närmare bestämmelserna för hur den fungerar och är organiserad."
"For that reason, we strongly advocate a Community office to monitor the enforcement of the CFP.", "På den punkten vill jag också än en gång be er att särskilt uppmärksamma räksektorn."
"The cornerstone of the new CFP has to be environmental and economic sustainability.", "Hörnstenen i den nya gemensamma fiskeripolitiken måste vara miljömässig och ekonomisk hållbarhet."
"Council Regulation No 3760/92 established the framework upon which the CFP rests.", "Rådets förordning nr 3760/92 upprättade det ramverk på vilket den gemensamma fiskeripolitiken vilar."
"The CFP was a derogation in itself from the Treaty of Rome.", "Den gemensamma fiskeripolitiken var i sig själv en inskränkning av Romfördraget."
"We must not allow these problems to be imported into the Mediterranean under the CFP.", "Vi får inte låta de här problemen föras in i Medelhavet med GFP."
"Indeed, we are on the eve of an important reform of the CFP.", "Vi står ju faktiskt inför en viktig reform av den gemensamma fiskeripolitiken."
"So what we are actually seeing here is the final stage of implementation of the CFP.", "Så det vi ser här är faktiskt det sista steget i genomförandet av den gemensamma fiskeripolitiken."
". – The CFP no longer meets the expectations of Mediterranean fishermen.", ". – Den gemensamma fiskepolitiken (GFP) uppfyller inte längre Medelhavsfiskarnas förväntningar."
"Expenditure on CFP control, inspection and surveillance systems", "Kontroll, inspektion och övervakning inom den gemensamma fiskeripolitiken"
"Community assistance enhances the impact of the CFSP assistance, and vice versa.", "Gemenskapsstödet ökar det inflytande som stödet från GUSP har, och vice versa."
"CFSP does not mean, as Mr Bertens says, that we should be united on every issue.", "GUSP innebär inte, som Bertens säger, att vi skall vara eniga i varje fråga."
"The CFSP is only one of the tools used by the EU in the construction of a new state.", "GUSP är bara ett av de medel som EU använder sig av för att bygga upp en ny stat."
"Who, though, represents the Union in foreign affairs, except for the CFSP?", "Men vem är det som representerar unionen i utrikesfrågor med undantag för GUSP?"
"The CFSP relates to our values, to your values, to the values of our people.", "Det handlar om våra värderingar, era värderingar och vårt folks värderingar."
"Let me first say a few words on the common foreign and security policy (CFSP).", "Låt mig först säga ett par ord om den gemensamma utrikes- och säkerhetspolitiken (GUSP)."
"By favouring an ideological vision of the CFSP, it is condemning itself to impotence.", "Genom att föra fram en ideologisk vision av GUSP dömer den sig själv till maktlöshet."
"The EPLP also has concerns about the paragraphs on the CFSP in Mrs Spaak's report.", "EPLP reser också vissa frågetecken när det gäller punkterna om GUSP i Spaaks betänkande."
"The first one is the demise of the Cold War and the second is the advent of the CFSP.", "Den första är slutet på det kalla kriget och den andra tillkomsten av GUSP."
"The first is that CFSP and defence are key areas for us in the future.", "Den första är att GUSP och försvaret är väsentliga områden för oss i framtiden."
"In its draft budget, the Commission has set aside an amount of EUR 40 million to the CFSP.", "I sitt budgetförslag har kommissionen avsatt en summa på 40 miljoner euro till GUSP."
"Mr President-in-Office, you spoke of the important decision to appoint a Mr or Mrs CFSP.", "Herr rådsordförande, ni talade om det viktiga beslutet att utse en herr eller fru GUSP."
"There are clauses concerning the CFSP and cooperation with NATO that are all too far-reaching.", "Det förekommer alltför långtgående skrivningar om GUSP och samarbetet med Nato."
"Its implementation would make the CFSP more efficient and more coherent.", "Fördragets genomförande skulle göra Gusp effektivare och mer konsekvent."
"High Representative for CFSP. - Madam President, I shall be very brief.", "hög representant för den gemensamma utrikes- och säkerhetspolitiken. - (EN) Fru talman!"
"Firstly, the disproportionate importance accorded to the military dimension of the CFSP.", "För det första den oproportionerliga betydelse som GUSP:s militära dimensionen har fått."
"We do not therefore want the CFSP to be incorporated into the first, or Community, pillar.", "Vi vill därför inte att GUSP skall införlivas i den första pelaren, gemenskapspelaren."
"An optimist would say that post-Amsterdam the CFSP is in transition.", "En optimist skulle säga att efter Amsterdam befinner sig GUSP i förvandling."
"Finally, what still has to be done to improve CFSP joint actions?", "Slutligen, vad återstår att göra för att förbättra GUSP: s gemensamma åtgärder?"
"I am also perturbed by the weeping and gnashing of teeth by Members of Parliament over the CFSP.", "Jag är också störd över parlamentledamöternas klagan och tandagnissel över GUSP."
"Before the year 2000, it amounts to CHE 180.", "Före år 2000 rör det sig om 180 schweizerfrancs."
"I want to end by saying this: Che Guevara spent six months in the Congo when Laurent-Désiré Kabila first opened a front in 1960.", "Jag vill avsluta med att säga: Che Guevara åkte sex månader till Kongo när Laurent-Désiré Kabila började bygga upp en första frontlinje 1960."
"I hope that this House will grow up and that some in this House will see beyond their days as students wearing Che Guevara T-shirts.", "Jag hoppas att parlamentet kommer att växa upp och att vissa av ledamöterna kommer att blicka längre bort än till sina studentdagar när de gick omkring i T-shirts med Che Guevara på."
"My message to those who thoughtlessly carry round gadgets bearing images of Che Guevara is merely that they should add to them the slogan ‘Cuba yes, we’re starting afresh’.", "Mitt budskap till dem som tanklöst bär omkring på saker med en bild på Che Guevara är bara att de skall lägga till följande slogan: ”Kuba ja, nu börjar vi på nytt”."
"I now want to make sure that it is clear to those concerned what CHP really means.", "Jag vill nu förvissa mig om att alla berörda förstår vad CHP verkligen betyder."
"Now Trilog is discovering and acknowledging the special nature of CHP.", "Nu har trilogen insett och erkänt kraftvärmeanläggningarnas särskilda karaktär."
"I have visited in Germany CHP schemes based on waste incineration which are to be commended.", "Jag har besökt kraftvärmesystem i Tyskland baserade på förbränning som förtjänar en eloge."
"CHP should be promoted, as it is an efficient and natural way to produce electricity and heat.", "Kraftvärme bör främjas eftersom det är ett effektivt och naturligt sätt att producera el och värme."
"Financial support should not be restricted just to CHP technology based on a useful heat demand.", "Stödet borde inte begränsas enbart till CHP-teknik som grundar sig på behovet av nyttiggjord värme."
"This is one of the main elements of the CHP strategy.", "Detta är en av huvuddelarna i strategin för kraftvärmeproduktionen."
"This is more than existing gas CHP power plants today; more than today's existing technology with gas CHP.", "Detta är mer än de befintliga gaseldade kraftvärmeverken i dag, mer än dagens befintliga teknik med gaseldad kraftvärme."
"It is also important that financial support for CHP should not be restricted to electric power plants generating less than 50 megawatts.", "Detta skulle snedvrida konkurrensen på den öppna elmarknad som vi just nu försöker skapa inom EU."
"However, only limited use has so far been made of CHP's potential for electricity generation in Europe.", "Den potential som finns hos kraftvärmeproduktion för elektricitetsutvinning i Europa utnyttjas hittills endast i ringa omfattning."
"At first there was a danger that the directive would have made CHP unprofitable.", "Till en början fanns risken att direktivet hade gjort CHP (combined heat and power, kraftvärmeverk, kombinerad värme- och elproduktion) ekonomiskt olönsamt."
"The Commission must also approve and take new initiatives on building on CHP and on labelling electricity savings.", "Kommissionen måste godkänna och ta nya initiativ för att bygga vidare på kraftvärmeproduktion och märkning av energibesparingar."
"Flexibility in the use of CHP plants must be permitted, as dictated by the time of year, the working day and random variables.", "För CHP-anläggningarnas del måste man tillåta en flexibel användning som styrs av årstiderna, dygnet och slumpmässiga variationer."
"It is also important that financial support for CHP should not be restricted to electric power plants generating less than 50 megawatts.", "Det är också viktigt att ekonomiskt stöd för kraftvärme inte begränsas till kraftverk som framställer mindre än 50 megawatt."
"If the causal chain associated with the nature of CHP is not taken into account, there will not be any reductions in emissions either.", "Om den orsaksmässiga kedja som är förbunden med karaktären hos kraftvärmeanläggningar inte beaktas kommer inte utsläppen heller att minskas."
"Small-scale CHP should be supported in other ways, optionally, without distorting competition, and where CHP is a cost-effective technology.", "Småskalig kraftvärme bör stödjas på andra, frivilliga sätt, som inte snedvrider konkurrensen, och där kraftvärme är en kostnadseffektiv teknik."
"Small-scale CHP should be supported in other ways, optionally, without distorting competition, and where CHP is a cost-effective technology.", "Det skulle kunna vara ett sätt att främja förverkligandet av mål som har med användning av förnybara energikällor och minskade utsläpp att göra."
"We should oppose the financial support proposed for small-scale CHP, for example by providing them with a free connection to the grid and guaranteeing prices.", "Småskalig kraftvärme bör stödjas på andra, frivilliga sätt, som inte snedvrider konkurrensen, och där kraftvärme är en kostnadseffektiv teknik."
"I am glad that it has now been possible to reach agreement on the fact that the operators of CHP plants will be recognized as qualified generators of electricity.", "Jag gläder mig åt att vi har kunnat uppnå samförstånd i att de som är verksamma i kraftvärmeanläggningar erkänns som kvalificerade elektricitetsproducenter."
"We should oppose the financial support proposed for small-scale CHP, for example by providing them with a free connection to the grid and guaranteeing prices.", "Vi bör motsätta oss det föreslagna ekonomiska stödet för småskalig kraftvärme, till exempel genom att erbjuda fri anslutning till elnätet och garanterade priser."
"Madam President, first I would like to defend Joost Lagendijk from the scandalous attacks upon his integrity by the CHP and certain nationalistic journalists.", "(EN) Fru talman! För det första vill jag försvara Joost Lagendijk mot de upprörande angreppen mot hans integritet från CHP och vissa nationalistiska journalister."
"The CIO office has the overall responsibility for LTUs IT operations.", "IT-kontoret har ett övergripande ansvar för LTUs IT-verksamhet."
"Turns out the gentleman in this picture is a guy named Joe Beery, who was lucky enough to be the CIO of a company called Life Technologies.", "Gentlemannen på bilden är en kille som heter Joe Beery, som hade turen att vara CIO (Chief Innovation Officer) på ett företag som heter Life Technologies."
