//Sentences
"I want to focus on one particular thing KIPP is doing that Bill didn't mention.", "Jag vill fokusera på en speciell sak som KIPP gör som Bill inte nämnde."
"Just last Saturday, a KLM flight from Amsterdam to Mexico flying over the United States was denied access to US airspace and sent back to the Netherlands.", "Senast i lördags förvägrades ett KLM-plan från Amsterdam till Mexiko som flög över USA tillträde till USA:s luftrum och skickades tillbaka till Nederländerna."
"Similarly, the KLM catering service received EUR 646 000, because it uses sugar, dairy products, vegetables and fruit on flights outside of the European Union.", "På ett liknande sätt har KLM:s cateringtjänst mottagit 646 000 euro eftersom de använder socker, mjölkprodukter, grönsaker och frukt på flygningar utanför EU."
"Similarly, the KLM catering service received EUR 646 000, because it uses sugar, dairy products, vegetables and fruit on flights outside of the European Union.", "På ett liknande sätt har KLM: s cateringtjänst mottagit 646 000 euro eftersom de använder socker, mjölkprodukter, grönsaker och frukt på flygningar utanför EU."
"One British Airways flight and one KLM flight were affected by the volcanic eruption, so rules were established on the basis of there being a serious risk.", "En British Airways-flygning och en KLM-flygning påverkades av vulkanutbrottet, och därför fastställdes bestämmelser utifrån antagandet att det förelåg en allvarlig risk."
"In my view, therefore, this specific measure which KLM-Air France proposes for obese people violates European law on discrimination and passengers' rights.", "Denna specifika åtgärd för kraftiga människor, som KLM-Air France lägger fram, strider därför enligt min mening mot EU-lagstiftningen om diskriminering och passagerares rättigheter."
"These national responses and preferences also hamper cooperation, as we recently witnessed in the unfortunate breakdown in cooperation between KLM and Alitalia.", "Dessa nationella reflexer och dessa nationella förmåner hindrar också samarbetsformer, vilket vi nyligen fick bevittna vid det tråkiga misslyckandet i samarbetet mellan KLM och Alitalia."
"I have a precise question on passenger name records – they are also mentioned in the action plan – and more specifically in relation to the incident with the KLM plane one month ago.", "Jag har en exakt fråga om passageraruppgifter – de nämns också i handlingsplanen – och mer specifikt i fråga om det som inträffade med KLM:s plan för en månad sedan."
"An attempt to that effect was made by KLM and Alitalia, but this has now been abandoned, due in actual fact to a number of problems related to nationality, if I can put it that way.", "Det fanns ett försök till sammanslagning mellan KLM och Alitalia men det försöket har avblåsts, på grund av svårigheter som egentligen hade att göra med nationalitet, om jag får säga så."
"Perhaps the Presidency is not aware but KLM, which now operates out of the airport, has announced job losses already consequent on this decision taking place in 15 months ' time.", "Kanske ordförandeskapet inte känner till det, men KLM, som nu flyger utifrån den flygplatsen, har redan aviserat nedskärningar till följd av beslutet som kommer att genomföras inom 15 månader."
"As from April 2010, passengers buying tickets from KLM-Air France who are suffering from weight problems and therefore cannot fit into a single aircraft seat will be required to buy two tickets.", "Passagerare som köper en biljett med KLM-Air France och på grund av viktproblem inte får plats i en stol på flygplanet, måste från och med april 2010 köpa ytterligare en biljett."
"Once you have created a map, you can import KML, KMZ or GeoRSS data into your map.", "När du har skapat en karta kan du importera KML, KMZ eller GeoRSS till din karta."
"Google Maps currently has specific limitations to the size and complexity of loaded KML files.", "Google Maps har för närvarande vissa begränsningar i storlek och komplexitet för inlästa KML-filer."
"Refer to KML Elements in Google Maps for further details.", "Se KML-element i Google Maps för ytterligare information."
"You can use access this KML file using the Google Maps API.", "Du kan öppna KML-filen med Google Maps API."
"Google Maps Supports the following KML elements (that is, KML queries in the Search box and GGeoXml objects in the Maps API):", "Google Maps stöder följande KML-element (dvs. KML-frågor i sökrutan och GGeoXml-objekt i Maps API):"
"More information about KML support", "Mer information om KML-support"
"Mattecoach.se started at KTH in 2009 and since then the operation has spread.", "Mattecoach.se startade på KTH 2009 och sedan dess har verksamheten spritt sig."
"The next course in the research school takes place on 28-30 of May at KTH.", "Nästa kurs i forskarskolan ges 28-30 maj vid KTH."
"Responsible for the course KTH Critical Studies: Hélène Frichot.", "Kursansvarig KTH Critical Studies: Hélène Frichot."
"Returns the k-th largest value in a data set.", "Beräknar det k:te största värdet i en datagrupp."
"Returns the k-th smallest value in a data set.", "Beräknar det k:te minsta värdet i en datagrupp."
"Apart from my affiliation to Helix I am also affiliated to the Department of Ergonomics, STH, at the Royal Institute of Technology (KTH).", "Min organisatoriska tillhörighet är Skolan för Teknik och Hälsa, KTH."
"Returns the k-th percentile of values in a range.", "Beräknar en alfa-kvantil för ett stickprov."
"Principal Applicant: University of Linköping 87% Co-applicants: KTH Royal Institute of Technology 10%, Chalmers University of Technology 3%", "Huvudsökande: Linköpings universitet 87% Medsökande: Kungliga Tekniska Högskolan 10%, Chalmers Tekniska Högskola 3%"
"Luleå University of Technology (LTU) is the principal of SFC where also KTH, Chalmers and Energy Technology Center (ETC) have significant roles.", "Luleå tekniska universitet (LTU) är huvudman för SFC där även KTH, Chalmers och Energitekniskt Centrum (ETC) har betydande roller."
"., KTH Royal Institute of Technology, 2001. FFV Materials Technology 1988–89.", "Född 1964 i Finspång. Civilingenjör teknisk fysik och elektroteknik LiU 1988. Tekn. dr KTH 2001. FFV Materialteknik 1988–89."
"Security Link consists of a consortium from Linköping University and the Swedish Defence Research Agency (FOI), in conjunction with complementary expertise from KTH Royal Institute of Technology.", "Security Link består av ett konsortium från Linköpings universitet och FOI, tillsammans med kompletterande expertis från KTH och Chalmers."
"They were together while doing the tawaf, the circular walk around the Kaaba.", "De var tillsammans när de utförde tawaf; det vill säga medan de cirkulerade kring Kaba."
"Because the Kaaba and the rituals around it are relics from the earliest phase of Islam, that of prophet Muhammad.", "För Kaba och de tillhörande ritualerna är kvarlevor från Islams begynnelse, från Muhammeds tid."
"I left the Kaaba to eat something in downtown Mecca.", "Jag gick ifrån Kaba för att äta någonting i Mekka."
""It's funny," I said to myself, "You can mingle with the opposite sex at the holy Kaaba, but not at the Burger King."", ""Tänk vad lustigt," sa jag till mig själv, "att du kan mingla med det motsatta könet vid heliga Kaba, men inte på Burger King.""
"And if there was a big emphasis at the time to separate men from women, the rituals around the Kaaba could have been designed accordingly.", "Och om man lade mycket energi på den tiden på att skilja män och kvinnor åt, så hade man kunnat utforma Kabas ritualer annorlunda."
"If the Kaaba were to be destroyed, our children could build it again and if the Masjid al-Aqsa were to be destroyed, we could reconstruct it.", "Om Kaba blev förstörd skulle våra barn kunna bygga upp den igen, och om Al-Aqsamoskén blev förstörd skulle vi kunna återuppföra den."
". ~~~ And the first thing I wanted to do as a Muslim was go to Mecca and visit the Kaaba, the holiest shrine of Islam.", "För några veckor sedan fick jag tillfälle att besöka Saudiarabien, och som muslim var det första jag ville göra att resa till Mekka och besöka Kaba, islams heligaste helgedom."
"more_vert open_in_new Link to European Parliament warning Request revision Flowers for Kabul must mean many voices for the women of Afghanistan.", "expand_more Blommor till Kabul måste betyda: Många röster för Afghanstans kvinnor."
"more_vert open_in_new Link to European Parliament warning Request revision Blommor till Kabul måste betyda: Många röster för Afghanstans kvinnor.", "expand_more Flowers for Kabul must mean many voices for the women of Afghanistan."
"On the civilian side, we had the successful Kabul Conference.", "På den civila sidan har vi haft den framgångsrika Kabulkonferensen."
"The plight of the women in Kabul has shocked us all, and I welcome the initiative which the Commission has taken on this.", "Situtationen för Kabuls kvinnor upprör oss alla och jag gläder mig i det hänseendet över kommissionens initiativ."
"The provinces are currently given no operational funding to pursue objectives separate from Kabul.", "För närvarande bidrar inte provinserna med någon finansiering till operativa insatser för att att stödja andra mål än centralmakten i Kabuls."
"Blue ghosts continue to waft round the streets of Kabul, with few women daring to risk their lives by taking off their burka.", "De blå spökena fortsätter att synas på Kabuls gator, eftersom ytterst få kvinnor vågar ta av burkan och sätta sitt liv på spel."
"Another is to address the frightening availability of weapons, which was very visible to us in Kabul and around Afghanistan.", "För det första måste vi vara medvetna om att detta är ett åtagande på medellång till lång sikt, oavsett vilken formel som godkänns."
"But it was well received, and I was quite happy to be part of a civilised and nice meeting of cultures in the centre of Kabul.", "Men det togs emot väl och jag var glad över att vara en del av ett civiliserat och trevligt möte mellan kulturer i Kabuls centrum."
"To reassure her I can state that the Afghans in most countries - this is true in my country at least - are young men from the Kabul region.", "Jag kan stilla oron genom att upplysa om att afghanerna i de flesta länder - det gäller i varje fall i mitt land - är unga män från Kabulområdet."
"We therefore cannot accept the lack of respect for these principles by the current Kabul regime, particularly with regard to respect for women's rights.", "Vi kan således inte godta den bristande respekten för dessa principer från Kabulregimens sida, i synnerhet vad avser respekten för kvinnornas rättigheter."
"I call on all Members to help us by signing the appeal or, if they prefer, to send an email independently to the Embassy of Afghanistan in Brussels and to the largest news agencies in Kabul.", "Jag uppmanar honom att inbegripa en debatt om läget i Kuba och förbindelserna med Castroregimen på föredragningslistan för nästa sammanträde i Strasbourg."
"These deaths occurred during a terrorist attack on the Kabul military airport where the soldiers were waiting for their flight home after several months of service in Afghanistan.", "Dödsfallen inträffade under en terroristattack mot Kabuls militära flygplats där soldaterna väntade på att flyga hem efter flera månaders tjänstgöring i Afghanistan."
"She says the streets in Kabul are once again crowded and the markets are full but there is no money and widows still live on charity and children scavenge on rubbish heaps.", "Hon säger att Kabuls gator på nytt börjar fyllas av folk, marknaderna är fulla, men det finns inga pengar och änkorna fortsätter att leva av allmosor, barnen går runt i avskrädeshögarna."
"It is a cause for concern that the authority of the interim Karzai government extends no further than Kabul's outer perimeter, and the news of resumed opium cultivation is disturbing.", "Det är bekymmersamt att övergångsregeringen Karzais auktoritet inte når längre än till Kabuls yttre gränser, och det är oroande att veta att opiumodlingen upplever en renässans."
"Since the military situation in the country is changing all the time, however, the Council has no precise information on the number of women living under the Kabul regime at any given point in time.", "Genom att det militära läget i landet hela tiden ändras har rådet emellertid inte några precisa uppgifter om hur många kvinnor som vid en given tidpunkt lever under Kabulregimen."
"The situations in which petitioners find themselves are often Kafkaesque.", "Framställarna befinner sig ofta i Kafkaliknande situationer."
"In a discussion of the Union's seas and maritime resources, this is as surprising as it is Kafkaesque.", "I en diskussion om unionens resurser i sjöarna och haven är detta lika överraskande som kafkaartat."
"Otherwise we end up with something resembling a Kafkaesque impasse.", "Om inte, liknar det en återvändsgränd av Kafka-typ."
"Indeed, it is every bit as absurd as a Kafkaesque trial.", "Den är faktiskt lika absurd som en Kafkaliknande rättegång."
"The most grotesque distortions gain currency: Brussels is supposedly home to an immense, Kafkaesque bureaucracy.", "De mest groteska vrångbilder får allmän spridning. Bryssel antas inhysa en enorm, kafkaliknande byråkrati."
"However, the situation is Kafkaesque to put it mildly.", "Det är milt uttryckt en Kafkasituation."
"What we have seen of such committees in the past, we have not liked; they have been secretive, bureaucratic, Kafkaesque.", "Det vi har sett av sådana kommittéer tidigare, har vi inte tyckt om; de har varit slutna, byråkratiska och Kafkaliknande."
"Things are getting positively Kafkaesque.", "Nu börjar det likna Kafka."
"It is almost Kafkaesque that the junta did let a referendum designed to strengthen its own position go ahead a week and a half ago.", "Det är något Kafkaliknande att juntan lät en folkomröstning för att stärka sin egen ställning genomföras för en och en halv vecka sedan."
"The situation is Kafkaesque.", "Situationen är kafkalik."
"It is important that this report does not simply create a Kafkaesque type of system, but that it also provides a guarantee for officials.", "Jag tycker att det är viktigt att detta betänkande inte bara leder till ett verk som är typiskt för Kafka utan även till en garanti för tjänstemännen."
"In a Kafkaesque style the universities even went as far as to remove their names from the internal telephone books, the doors and the university websites.", "På ett kafkaliknande sätt gick universiteten t.o.m. så långt att de tog bort lärarnas namn från de interna telefonlistorna, dörrarna och universitetens webbplatser."
"Finally, the simple, extremely sensible proposals we put forward are subsequently converted into instruments of a complexity that I would willingly qualify as " Byzantine-kafkaesque '.", "Det händer att våra enkla förslag fyllda av sunt förnuft ibland omvandlas till åtgärder som är så komplicerade att jag gärna skulle kalla dem " bysantiskt kafkabetonade "."
"At the IMF, Mr Strauss-Kahn alone is not a guarantee of a sensible policy.", "Vid IMF är Dominique Strauss-Kahn ensam inte en garanti för en förnuftig politik."
"Mr Strauss-Kahn himself said that he may be the last European to head the IMF.", "Dominique Strauss-Kahn sade själv att han kanske var den sista europén som ledde IMF."
"I'm going to show you Dominique Strauss-Kahn with Obama who's chattering with his fingertips.", "Jag ska visa er Dominique Strauss-Kahn med Obama som pladdrar med sina fingertoppar."
"That accidents, that Louis Kahn, who talked about accidents, this is another quality of the trickster.", "Som olyckor, som Louis Kahn, som pratade om olyckor, är en annan kvalitet hos lurendrejaren."
"Mr Strauss-Kahn made an interesting proposal just the other day.", "Under de senaste dagarna har vi kunnat ta del av ett intressant förslag från Strauss-Kahn. Det är intressant eftersom han är socialist och eftersom han är fransman."
"I need to speak with Kahn.", "Jag måste prata med Kahn."
"The fact is, after the Dominique Strauss-Kahn episode, Europe cannot afford to cut corners when deciding who its candidate is going to be.", "Faktum är att efter incidenten med Dominique Strauss-Kahn kan EU inte tillåta sig att rationalisera när man beslutar om vilken kandidat man ska presentera."
"Nowhere in here does it say that the IMF is there to support political experiments and, in so many ways, that is what Dominique Strauss-Kahn did.", "Ingenstans i stadgan står det att syftet med IMF är att stödja politiska experiment, vilket på många sätt är just vad Dominique Strauss-Kahn gjorde."
"Kahn, to the appalling treatment of religious minorities.", "Jag har redan varit kritisk till den pakistanska regeringen under en tid, från toleransen mot A. Q. Kahns spridning av kärnvapen till den skrämmande behandlingen av religiösa minoriteter."
"(PL) Madam President, it is unfortunate that the IMF has recently been discussed only in the context of the affair concerning its former head, Dominique Strauss-Kahn.", "(PL) Fru talman! Det är olyckligt att IMF den senaste tiden enbart har diskuterats med avseende på dess förre chef, Dominique Strauss-Kahn."
"You know, Commissioner, that the French Minister for Economic Affairs, Dominique Strauss-Kahn, took a very clear position on this before the French National Assembly.", "Herr kommissionär! Ni vet att Frankrikes ekonomiminister, Dominique Strauss-Kahn, har intagit en mycket bestämd ståndpunkt inför den franska nationalförsamlingen."
"At European level, I hear Mr Strauss-Kahn say, for example, that 1% of the Community's GDP needs to be pledged, a figure that represents practically the entire EU budget for one year.", "På europeisk nivå hörde jag till exempel Dominique Strauss-Kahn säga att gemenskapen behöver utfästa sig att satsa 1 procent av BNP, en summa som motsvarar i princip hela EU:s årsbudget."
"This is the policy being promoted by the UN Special Representative for Afghanistan, Kai Eide.", "Detta är den policy som stöds av FN:s särskilda representant för Afghanistan, Kai Eide."
"I can also praise Mr Kai Eide, whom I have known for many years, who is an excellent person.", "Jag vill också hylla Kai Eide, som jag har känt i många år och som är en fantastisk person."
"As for the Kai Islands, I shall come back to those tomorrow.", "Kaiöarna - det kommer jag tillbaka till i morgon."
"Page Editor and Contact: Kai Nedergård", "Sidansvarig och kontakt: Kai Nedergård"
"That is the mandate given to the new United Nations Special Representative, Mr Kai Eide, and the Council wishes to express its full support for him in his mission.", "Detta är det mandat som tilldelats FN:s nya särskilda representant Kai Eide, och rådet vill uttrycka sitt totala stöd för honom i hans uppdrag."
"The main work of the project is to study the harmonic emissions from the modern wind turbines, and the propagation through a wind park, says Kai Yang.", "Mitt projekt handlar om att studera övertoner från enskilda moderna vindkraftverk och hur dessa övertoner samverkar och sprids genom vindkraftsparker, säger Kai Yang."
