//Sentences
"Do the Rabit teams have their own equipment for border control and surveillance?", "Har de snabba gränsinsatsenheterna egen utrustning för gränskontroll och övervakning?"
"Mr President, I was in Togo as a representative of the radical left party and I was part of a small group of parliamentarians who were there.", "Herr ordförande! Jag var i Togo som representant för det radikala vänsterpartiet och jag var en av de parlamentsledamöter som var på plats."
"(FR) Mr President, as I speak, the trial of Mr Vojislav Seselj, the chairman of Serbia's main party, the Serbian Radical Party, is getting under way.", "(FR) Herr talman! I denna stund pågår rättegången mot Vojislav Šešelj, ordförande för Serbiens största parti Serbiska radikala partiet (SRS)."
"Even the Vice-President of the European Parliament, Mr Mauro, has referred to the anti-Catholic and antisocial arm of the Radical Party Minister, Mrs Bonino.", "Till och med Europaparlamentets vice talman, Mario Mauro, har talat om det radikala partiets antikatolska och antisociala gren, Emma Bonino."
"Hundreds of them signed a Radical Party appeal at the end of the 1990s calling for a European future for Georgia, which we have denied them.", "Flera hundra av dem undertecknade ett upprop från Radikalpartiet i slutet av 1990-talet där man krävde en europeisk framtid för Georgien, något som vi förnekat dem."
"In this respect, I can only congratulate the rapporteur on this report, for the subject is of great interest to many young people who vote for the Radical Party.", "Ur denna synpunkt kan jag bara gratulera till detta betänkande, för många ungdomar som röstar på Radikala partiet är mycket medvetna om dessa frågor."
"We have information that there is a real risk that Saumura Tioulong, who is also a member of the non-violent radical party, will be arrested in Cambodia.", "Vi har uppgifter om att det finns en överhängande risk för att Saumura Tioulong, som också är medlem av det fredliga radikala partiet, kommer att gripas i Kambodja."
"Firstly, the environment: the Radical Party has been raising the matter of the greenhouse effect, the hole in the ozone layer and the related dangers for over 15 years now.", "För det första miljöfrågan: under mer än femton år har Radikala partiet framhållit växthuseffekten, hålet i ozonskiktet och de faror dessa medför."
"A member of my party, a radical militant journalist, was murdered several weeks ago in Tbilisi, a city clearly under the control of Russian troops.", "En medlem i mitt parti, en radikal militant och tillika journalist mördades för några veckor sedan i Tbilisi, en stad som klart står under de ryska styrkornas förvaltarskap."
"Madam President, last year, just as John Paul II was arriving in Cuba, the radical party was holding a demonstration in Rome against this visit and what it stood for.", "Fru ordförande! Samtidigt som Johannes-Paulus II landade på Kuba, demonstrerade det radikala partiet i Rom mot besöket och mot det som det representerade."
"Alternatively, take the Italian radicals who, with their international radical party, are registered with the UN and who have a Belgian representative on their list.", "Som exempel kan nämnas de italienska radikala, som är registrerade med sitt internationella radikala parti i Förenta nationerna och har en belgisk representant på sin lista."
"Mr President, the Community of Democracies is a forum which was created in 2000 and, I am pleased to say, relaunched at the last Transnational Radical Party congress.", "Herr talman! Ministerkonferensen Community of Democracies bildades 2000 och har i dag med all rätt åter lanserats under det transnationella radikala partiets senaste kongress."
"In the same way, no information is available on the situation of the Radical Party representatives who were arrested, nor on their place of detention or the charges against them.", "På samma sätt har inga närmare upplysningar framkommit om varken var det radikala partiets representanter hålls fängslade eller om vilka anklagelser som riktats mot dem."
"Six years ago, we, the Nonviolent Radical Party, organised a satyagraha: a non-violent world action advocating the presence of women among the ministers of the Afghan Government.", "För sex år sedan arrangerade vi, Nonviolent Radical Party, en satyagraha: en världsomspännande icke-våldsaktion för kvinnorepresentation bland ministrarna i Afghanistans regering."
"I have tabled an amendment; the Radical group has tabled an amendment, and it is unlikely that they will be adopted.", "Jag har lagt fram ett ändringsförslag, den radikala gruppen har lagt fram ett ändringsförslag."
"This is why the European Radical Alliance group has decided, by a majority, not to take part in the vote.", "Det är därför som gruppen Europeiska radikala alliansen har beslutat, med majoritetsbeslut, att inte delta i omröstningen."
"Mr President, the European Radical Alliance group fully supports the aims of the draft regulations submitted to us.", "Herr ordförande, gruppen Europeiska radikala alliansen skriver helt under målen som presenteras för oss i förslaget till förordning."
"I have tabled an amendment; the Radical group has tabled an amendment, and it is unlikely that they will be adopted.", "Jag har lagt fram ett ändringsförslag, den radikala gruppen har lagt fram ett ändringsförslag. De har inte särskilt stora möjligheter att gå igenom."
"Mrs Maij-Weggen said that her group was not radical, my group is called the Radical group and naturally we associate ourselves with radical policies.", "Maij-Weggen sade att hennes grupp inte var radikal, min grupp kallas den radikala gruppen och vi associerar oss med radikal politik."
"Rest assured, Mr President, that the TDI group will vote in favour of discharge, at least the radical wing of the group which I represent here.", "Herr talman! Ni kan vara säker på att TDI-gruppen kommer att rösta för ansvarsfrihet, åtminstone den radikala del av gruppen som jag företräder här."
"Madam President, I would like to announce that, as of this morning, I am joining the Radical Group' s fight for an independent technical group.", "Fru talman! Jag vill meddela att jag från och med i dag ansluter mig till den kamp som den radikala gruppen bedriver för att få bilda en teknisk grupp för oberoende ledamöter."
"Radioactive contamination can represent a problem over a number of years in some foods.", "Radioaktiv förorening kan orsaka problem under flera år för vissa livsmedel."
"Radioactive contamination of foodstuffs and of feedingstuffs (codified version) (vote)", "Gränsvärden för radioaktivitet i livsmedel och djurfoder (kodifierad version) (omröstning)"
"Precisely in order to prevent ionisation and radioactive contamination.", "Just för att undvika jonisering och radioaktiva föroreningar."
"Radioactive contamination is transboundary in nature.", "Radioaktiv kontamination är gränsöverskridande till sin karaktär."
"Furthermore, the cross-border radioactive contamination of the river Nestos is an indisputable fact.", "Därutöver är den gränsöverskridande, radioaktiva nedsmutsningen av floden Nestos ett ovedersägligt faktum."
"These regulations establish the permitted levels of radioactive contamination in the event of a radiological emergency.", "I förordningarna fastställs gränsvärden för radioaktivitet i händelse av en radiologisk nödsituation."
"Radioactive contamination of foodstuffs (debate)", "Gränsvärden för radioaktivitet i livsmedel (debatt)"
"The industry has known about radioactive contamination in transport to the UK and France since 1980.", "Industrin har haft kännedom om radioaktiv kontamination under transporter till Förenade kungariket och Frankrike sedan 1980."
"Radioactive contamination of foodstuffs (", "Gränsvärden för radioaktivitet i livsmedel ("
"Wales, like Ireland, has suffered from the radioactive contamination in the Irish Sea, due essentially to Sellafield.", "Wales har i likhet med Irland lidit av radioaktiv kontaminering av Irländska sjön, vilket haft sitt främsta upphov i Sellafield."
"This will guarantee compliance with the maximum permitted levels, safety and the management of radioactive contamination risks.", "Detta kommer att garantera att bestämmelserna om gränsvärden, säkerhet och hantering av radioaktiva kontamineringsrisker efterlevs."
"It is worth recalling here that the results of radioactive contamination from Chernobyl can still be detected in the European Alps.", "Jag vill påminna om att det fortfarande finns spår av den radioaktiva strålningen från Tjernobyl i de europeiska alpregionerna."
"Even eighteen years after the event, Chernobyl’ s consequences have not been dealt with and many of the people are exposed to radioactive contamination.", "Jag går nu över till diktator Lukasjenkos senaste åtgärd; stängningen av det humanistiska universitetet i Minsk."
". - Parliament today voted for a change in the legal basis for legislation on radioactive contamination in foodstuffs.", "skriftlig. - (EN) Parlamentet röstade i dag för en ändring av den rättsliga grunden för lagstiftning om radioaktiv förorening av livsmedel."
"Mr President, we are about to make some important and necessary revisions to the limit values for radioactive contamination of foodstuffs.", "Herr talman! Vi ska nu genomföra en del viktiga och nödvändiga revideringar av gränsvärdena för radioaktiv kontaminering av livsmedel."
"As well as the deaths and the terrible illnesses in the region, 15 years on there is still a frightening legacy of radioactive contamination.", "Förutom dödsfallen och de hemska sjukdomarna i regionen, finns fortfarande - 15 år senare - ett skrämmande arv av radioaktiv smitta."
"Denmark and other Nordic states are also concerned at the radioactive contamination of their seas and fishing grounds from reprocessing at Sellafield.", "Danmark och andra nordiska länder oroar sig ofta för den radioaktiva föroreningen av sina hav och fiskevatten från upparbetningen vid Sellafield."
"It is known that radioactive contamination can be significant in some foodstuffs for many years, even though it cannot be seen, tasted or smelled.", "Det är känt att den radioaktiva kontamineringen kan vara betydande i vissa livsmedel under många år, trots att den inte kan ses och inte påverkar smak eller lukt."
"Furthermore, it has left the maximum limits for radioactive contamination extremely high and, as a result, it is far removed from the objective of protecting public health.", "Dessutom har man fastställt ett ytterst högt gränsvärde för radioaktivitet och därmed avlägsnat sig långt från målet om att skydda folkhälsan."
"Even eighteen years after the event, Chernobyl’s consequences have not been dealt with and many of the people are exposed to radioactive contamination.", "Det har gått 18 år sedan olyckan, men man har ännu inte tagit itu med konsekvenserna av Tjernobyl, och en stor del av folket exponeras för radioaktiva föroreningar."
"The title of the question was " Radioactive pollution of the Aegean and Ionian Seas ".", "Frågans rubrik var " Radioaktiv förorening i Egeiska och Joniska havet "."
"The title of the question was "Radioactive pollution of the Aegean and Ionian Seas".", "Frågans rubrik var "Radioaktiv förorening i Egeiska och Joniska havet"."
"He has now been charged with spying because he wrote a report on radioactive pollution in Murmansk.", "Han är nu anklagad för spionage, efter att ha skrivit en rapport om kärnföroreningar i Murmansk."
"We are also in favour of extending the definition of accidental marine pollution to include radioactive pollution, arms and degassing.", "Det är otänkbart att dölja cancerriskerna för de frivilliga, vilket var fallet vid katastrofen med Erika."
"The extraction of uranium entails the massive over-exploitation of nature and the radioactive pollution of groundwater.", "Utvinningen av uran leder till ett omfattande överutnyttjande av naturen och till radioaktiv förorening av grundvattnet."
"There are recurrent instances of reprocessing plants causing the radioactive pollution over wide expanses of land and sea.", "Det finns återkommande exempel på upparbetningsanläggningar som orsakar radioaktiva föroreningar över stora land- och havsområden."
"We are also in favour of extending the definition of accidental marine pollution to include radioactive pollution, arms and degassing.", "Vi är också för en utvidgad definition av den oavsiktliga föroreningen av havet som omfattar radioaktiv förorening, ammunition och tankrengöring."
"The Commission must approach the Bulgarian government with a view to securing its cooperation in eliminating cross-border radioactive pollution.", "Europeiska kommissionen måste sent omsider vidta konkreta åtgärder, för att få den bulgariska regeringen att samarbeta och upphöra med den radioaktiva, gränsöverskridande föroreningen."
"Question No 12 by Nuala Ahern (H-0017/99) Subject: Harmonisation of the OSPAR Agreement to stop further radioactive pollution by nuclear plants of the seas surrounding the EU", "Fråga nr 12 från Nuala Ahern (H-0017/99): Angående: Harmonisering av Oslo- och Pariskonventionerna om förhindrande av havsföroreningar för att stävja nya radioaktiva föroreningar"
"Thirdly, I feel it is unacceptable for oil pollution in maritime transport and radioactive pollution caused by nuclear reactors to be excluded from the directive's scope.", "För det tredje anser jag att det är oacceptabelt att oljeföroreningar i sjötransporten och radioaktiva föroreningar som orsakas av kärnreaktorer inte skall omfattas av direktivets tillämpningsområde."
"It was by Radovan Karadzic, formerly President of the Bosnian Serbs.", "Det handlar om Radovan Karadzic, bosnienserbernas tidigare president."
"It mentions the names of those who have become world famous: Ratko Mladić, Radovan Karadžić, Krstić and others.", "Texten innehåller namnen på personer som blivit beryktade i hela världen: Ratko Mladić, Radovan Karadžić, Krstić och andra."
"With the tenth anniversary of Srebrenica approaching in July, Radovan Karadzić and Ratko Mladić must be brought to justice.", "Nu när tioårsdagen av Srebrenica i juli närmar sig måste Radovan Karadzic och Ratko Mladic ställas inför rätta."
"We must still be crystal clear about the need for Radovan Karadzic and Ratko Mladić to be extradited and to be so right now.", "Vi måste fortfarande vara kristallklara över att Radovan Karadzic och Ratko Mladic skall lämnas ut, och att det skall ske nu."
"We must still be crystal clear about the need for Radovan Karadzic and Ratko Mladi ć to be extradited and to be so right now.", "Vi måste fortfarande vara kristallklara över att Radovan Karadzic och Ratko Mladic skall lämnas ut, och att det skall ske nu."
"The war crimes court for the former Yugoslavia, which is soon to try Radovan Karadzić, shows that these principles are as important today as ever.", "Domstolen för krigsförbrytelser i f.d. Jugoslavien, där Radovan Karadzić snart ska ställas inför rätta, visar att dessa principer är minst lika viktiga i dag."
"The former Bosnian Serb leader Radovan Karadzic is arrested after 13 years on the run.", "Den tidigare bosnisk-serbiske ledaren Radovan Karadžić grips efter 13 år på flykt. Han överlämnas till Internationella krigsförbrytartribunalen för f.d. Jugoslavien i Haag."
"Why am I not surprised that it is the Rafale that meets the requirements of the ?", "Varför förvånar det mig inte att det är Rafale som uppfyller kraven i ?"
"Unfortunately, however, my spying efforts do not allow me to say whether it was 10, 20 or 30 Rafale jets.", "Tyvärr medger inte mina spionansträngningar att jag kan säga om det var 10, 20 eller 30 Rafale."
"Dassault is selling the Rafale.", "Dassault säljer Rafale."
"In the last few months France has sold six frigates to Greece for EUR 2.5 billion, helicopters for more than EUR 400 million, and some Rafale jets (one Rafale jet costs EUR 100 million).", "Under de senaste månaderna har Frankrike sålt sex fregatter till Grekland för 2,5 miljarder euro, helikoptrar för över 400 miljoner euro och några Rafale (en Rafale kostar 100 miljoner euro)."
"We cannot let up in our support for the International Court regarding the murder of Rafik Hariri.", "Vi får inte ge upp vårt stöd till den internationella domstolen när det gäller mordet på Rafik Hariri."
"Prime Minister Rafik Hariri was a man of peace who believed in dialogue, and was a friend of Europe.", "Premiärminister Rafiq Hariri var en fredlig man som trodde på dialog, och han var en vän till Europa."
"The catalyst for this political uncertainty was undoubtedly the killing of the Lebanese Prime Minister Rafik Hariri.", "Den utlösande faktorn till denna politiska osäkerhet var otvivelaktigt mordet på Libanons premiärminister Rafiq Hariri."
"The Council has roundly condemned the attack which took the life of Rafik Hariri, former President of the Lebanese Council of Ministers.", "Rådet har öppet fördömt den attack som kostade Libanons före detta premiärminister Rafik Hariri livet."
"Mr President, the death – the murder – of Rafik Hariri was a tragedy not only for his family, but also for the Lebanon.", "– Herr talman! Rafiq Hariris död – mordet på honom – var en tragedi inte bara för hans familj, utan också för Libanon."
"What is clear right now is that the murderers of Rafik Hariri and of the 14 Lebanese citizens who died in the attack are still at large.", "Det som står klart nu är att de skyldiga till morden på Rafiq Hariri och de 14 libanesiska medborgare som dog i attacken fortfarande är på fri fot."
"But the heat is now on, following the assassination of former Prime Minister Rafik Hariri, with the so-called cedar revolutionaries on the streets of Beirut.", "Till följd av mordet på den tidigare premiärministern Rafiq Hariri börjar det dock osa hett, med de så kallade ”cederrevolutionärerna” på Beiruts gator."
"We must demand that it take concrete action in following up the conclusions of the investigation into the assassination of the former prime minister, Rafik Hariri.", "Vi måste kräva att Syrien vidtar konkreta åtgärder för att följa upp resultatet av utredningen kring mordet på den förre premiärministern Rafik Hariri."
"The assassination of the former Lebanese Prime Minister, Rafik Hariri, has raised fears at international level that Lebanon and the surrounding region may be destabilised.", "EU och USA har samma inställning till fredsprocessen i Mellanöstern och anser att FN: s säkerhetsråds resolution 1559 måste förverkligas i sin helhet."
"I believe that the investigation into this crime should be conducted under international supervision, as happened in the case of the murder of Lebanon’ s prime minister Rafik Hariri.", "Jag anser att detta brott bör utredas under internationell ledning såsom skedde i fråga om mordet på Libanons premiärminister Rafik Hariri."
"Secondly, if political life in Lebanon is to return to normal, the circumstances surrounding the assassination of Rafik Hariri and those responsible for it need to be carefully scrutinised.", "Rafiq Hariri var en av de mest tongivande upphovsmännen till Taifavtalet från 1989, vilket markerade slutet på inbördeskriget i Libanon."
"But the heat is now on, following the assassination of former Prime Minister Rafik Hariri, with the so-called cedar revolutionaries on the streets of Beirut.", "Vid den absolut nödvändiga internationella utredningen måste allt göras för att sprida ljus över vilka som bär ansvaret för att försöka destabilisera Libanon och skapa ett terrorklimat."
"The assassination of the former Lebanese Prime Minister, Rafik Hariri, has raised fears at international level that Lebanon and the surrounding region may be destabilised.", "Efter mordet på den förre libanesiske premiärministern Hariri har oron för en destabilisering i Libanon spritt sig över världen, men även för att den skall breda ut sig i området."
