//Sentences
"In the future we intend to gather such information in a more structured manner.", "I framtiden har vi för avsikt att samla in sådan information på ett mer strukturerat sätt."
"This summit gathered together the representatives of the European institutions and of the Member States, and attracted a strong turnout of members of civil society.", "Under toppmötet samlades företrädare för EU:s institutioner och medlemsstater och en mängd deltagare från det civila samhället."
"Finally, at about the age of one year when their production drops, they are gathered together in scandalous conditions and piled up for their final journey.", "Och slutligen hämtas värphönsen i ettårsåldern, då produktionen minskar, under skandalösa former och hopas samman inför den sista resan."
"A large number of members of these civil societies were gathered together in Rabat last week, and they adopted recommendations that deserve to be taken into account.", "En stor andel av dessa samhällsmedborgare samlades i Rabat förra veckan, och de antog rekommendationer som förtjänar att uppmärksammas."
"So, I said to myself: once the four have gathered together, we should also bring together the countries of the Eurogroup, plus Slovakia, which is due to join us.", "Så jag sa till mig själv: så snart de fyra har samlats borde vi också sammanföra länderna i Eurogruppen, plus Slovakien, som ska ansluta sig till oss."
"Neither the soldiers who have revolted nor the Gbagbo Government have the legitimacy to represent the mosaic of peoples gathered together in Côte d'Ivoire.", "Varken de upproriska militärerna eller Gbagbos regering har något berättigande när det gäller att företräda den mosaik av folk som samlats i Elfenbenskusten."
"The need of the moment would appear to be prevention, for which purpose the data available in Europe, for example on terrorists, should be gathered together.", "För ögonblicket tycks vi behöva förebyggande åtgärder, och i det syftet bör de data som finns tillgängliga om till exempel terrorister i Europa samlas ihop."
"There is no such thing as an ideal solution in a democracy anyway, because wherever a hundred people are gathered together, at least three or four different opinions will emerge.", "Ett sådant ideal finns det för övrigt inte i en demokrati, för om ni samlar hundra personer, så finns där åtminstone tre eller fyra olika uppfattningar."
"And after the trial had been running for a little while, he gathered together all his colleagues around his table, and he said, "Well, gentlemen, we have some preliminary results.", "Och efter att testet hade kört ett litet tag, samlade han alla sina kollegor runt sitt bord, och han sade, "Mina herrar, Vi har några preliminära resultat."
"The last time I saw so many Scots gathered together was probably around the British Cabinet table, but I am not sure I would be brave enough to make that point back in London.", "Förenade kungariket kommer snart att liberalisera fullt ut, liksom Tyskland och Nederländerna, vilket innebär att 60 procent av marknaden kommer att vara liberaliserad."
"The meeting sought by the Heads of State or Government gathered together in Pittsburgh has the virtue of finally reconciling macro-economic issues with the social dimension.", "Det möte som efterfrågades av stats- och regeringscheferna i Pittsburgh har förutsättningarna att slutligen kunna förena makroekonomiska frågor med den sociala dimensionen."
"The movement was launched in 2000 when the European Union, for the first time, gathered together all of these countries at the Zagreb Summit and recognised their aspiration to join the Union.", "Processen startade år 2000 när Europeiska unionen för första gången samlade alla dessa länder vid toppmötet i Zagreb och erkände deras strävan att bli medlemmar av unionen."
"Get your hands off my fucking head!", "Ta bort händerna från mitt jävla huvud!"
"Get your hands off him, you bastards!", "Rör honom inte, era jävlar!"
"get your hands off me!", "Ta bort dina händer från mig!"
"You get your hands off of me!", "Ta händerna från mig!"
"Get your hands off him.", "Rör honom inte!"
"Its role, without getting involved in comitology, is twofold and very important.", "Utan att organet är delaktigt i kommittéförfarandet är dess roll dubbel och ytterst viktig."
"I wanted France to overcome its doubts by getting more involved in Europe.", "Jag ville att Frankrike skulle övervinna sina tvivel genom att bli mer engagerat i EU."
"Having been in your position, I know the difficulties involved in getting donors on board.", "Eftersom jag har varit i er situation vet jag hur svårt det är att hitta donatorer."
"I think the European Parliament should be involved in getting such an inquiry under way.", "En sådan undersökning tycker jag att Europaparlamentet skulle vara med och genomföra."
"The European Union is perfectly capable of getting involved in the Baltic clean-up operation.", "Europeiska unionen har flera möjligheter ett medverka till att Östersjön rengörs."
"It is late in the day for it to be getting involved, it is true, but this programme is ambitious.", "Det är visserligen lite sent av rådet att engagera sig men programmet är ambitiöst."
"In other words, getting fathers involved creates a sound basis for further equality work.", "Alltså lägger vi en bra plattform för fortsatt jämställdhetsarbete när pappor blir delaktiga."
"We were also successful in getting civil society involved.", "Vi har också varit framgångsrika när det gäller det civila samhällets deltagande."
"It is a shame that, when it comes to the procedures, we have difficulty getting Parliament involved.", "När det gäller förfarandena är det synd att det är svårt för parlamentet att få medverka."
"The work involved in getting to this point was long and strenuous, as Parliament is well aware.", "Det har varit ett långt och mödosamt arbete - det vet parlamentet."
"We welcome the attitude taken thus far by Albania in not getting involved in those problems.", "Vi välkomnar den attityd som Albanien hittills uppvisat genom att inte blanda sig i dessa problem."
"That is the only reason that the EU is getting involved in the matter at all.", "Det är därför EU överhuvudtaget lägger sig i frågan."
"If ever you need support in getting the citizens involved, you can certainly rely on us.", "Om ni någonsin behöver stöd för att engagera medborgarna så kan ni utan tvekan lita på att vi ställer upp."
"We should refrain from getting involved in the administration.", "Vi skall undvika att blanda oss i frågor som rör förvaltningen."
"Enterprises are not an abstract concept, and getting involved means making freedom a reality.", "Företag är inte något abstrakt koncept, och att engagera sig betyder att göra friheten till en realitet."
"We must give young people the opportunity to demonstrate active commitment by getting involved in public life.", "Vi måste ge ungdomarna möjlighet att aktivt och engagerat blanda sig i det offentliga livet."
"We are not getting involved with competition between projects.", "Vi ska inte ha någon konkurrens mellan olika projekt."
"That is another reason for not getting involved here.", "Det är ytterligare ett skäl för att inte gå in på det här."
"The Commission should not be getting involved in this.", "Det är inte kommissionens sak att lägga sig i detta."
"This is why getting businesses involved is so important.", "Därför är det så viktigt att engagera företag."
"And I think that the House has given birth not to a reform but at best a mini-reform.", "Jag säger: kammaren har inte levererat någon reform, utan i bästa fall ett litet yngel till reform."
"I fully appreciate the need to ensure appropriate conditions for mothers who have recently given birth.", "Jag inser fullständigt behovet av lämpliga villkor för mödrar som nyligen fött barn."
"She has now given birth to her baby and is out on temporary bail.", "Hon har nu fött sitt barn och är ute på tillfällig permission."
"Her crime is to have given birth to a child after her divorce.", "Hennes brott är att ha fött ett barn efter att ha skilt sig."
"I am, moreover, a supporter of more freedom of choice for pregnant women or women who have recently given birth.", "Jag stöder dessutom större valfrihet för gravida kvinnor och kvinnor som nyligen har fött barn."
"In relation to the figures currently being mentioned by the Commission it must be said that the mountain has given birth to a mouse.", "När det gäller de siffror som kommissionen har nämnt måste det sägas att berget födde en råtta."
"It has given birth to the EIT+ Centre for Innovation and Technology, which is lobbying to have the Institute located in Wrocław.", "Den har gett liv till EIT+, ett center för innovation och teknik som arbetar för att institutet ska förläggas till Wrocław."
"Stressful conditions in the workplace can have an impact on the state of mind of a woman who is pregnant or has recently given birth.", "Stressiga förhållanden på arbetsplatsen kan vara psykiskt påfrestande för kvinnor som är gravida eller nyligen har fött barn."
"In parallel with this, safety and health for pregnant workers and those who have recently given birth or are breastfeeding is of crucial importance.", "I linje med detta är säkerhet och hälsa för gravida arbetstagare och för dem som nyligen har fött barn eller som ammar mycket viktigt."
"I fear that our cultures, our identities and our specific character, which has, moreover, given birth to world civilisations, might suffer the same fate.", "Jag fruktar att våra kulturer, identiteter och vårt särdrag - som trots allt är världscivilisationernas livmoder - kommer att gå samma öde till mötes."
"The report would focus on its original mandate, that of the health and safety of pregnant workers and those who have recently given birth.", "Betänkandet skulle då inriktas på den ursprungliga uppgiften, det vill säga att skydda hälsa och säkerhet för gravida arbetstagare och arbetstagare som just har fött barn."
"The Commission obviously fully shares the Parliament's interest in improving the protection of pregnant workers and those who have recently given birth.", "Kommissionen delar naturligtvis helt och hållet parlamentets intresse av att förbättra skyddet för arbetstagare som är gravida eller som nyligen har fött barn."
"The Commission obviously fully shares the Parliament' s interest in improving the protection of pregnant workers and those who have recently given birth.", "Kommissionen delar naturligtvis helt och hållet parlamentets intresse av att förbättra skyddet för arbetstagare som är gravida eller som nyligen har fött barn."
"We are unanimous regarding the need on the part of women who are pregnant or who have just given birth for special protection in society and the labour market.", "skriftlig. - (FI) Vi är eniga när det gäller behovet för kvinnor som är gravida eller som just har fött barn av särskilt skydd i samhället och på arbetsmarknaden."
"It has allowed itself to be given the run around by the Council and following severe labour pains, it has given birth to a communication which does not contain a single concrete proposal.", "Man har låtit sig förledas av rådet och efter svåra födslovåndor har man fött fram ett meddelande som inte innehåller ett enda konkret förslag."
"This is why I support the notion of implementing measures to encourage improvements in the safety and health of workers who have recently given birth or are breastfeeding.", "Därför stöder jag förslaget att genomföra åtgärder för att uppmuntra förbättringar av säkerheten och hälsan för arbetstagare som nyligen har fött barn eller ammar."
"Improvements in the safety and health at work of pregnant workers and workers who have recently given birth or are breastfeeding - Precarious women workers (debate)", "Åtgärder för att förbättra säkerhet och hälsa på arbetsplatsen för arbetstagare som är gravida, nyligen har fött barn eller ammar - Kvinnor med otrygga anställningsförhållanden (debatt)"
"Mr President, when in 1986 the Single Act was concluded, Altiero Spinelli stated in this chamber, with his great political and moral authority, that the mountain had given birth to a mouse.", "Herr ordförande! När enhetsakten antogs 1986, påstod Altiero Spinelli i denna kammare, med sin politiska och moraliska auktoritet, att berget hade fött en råtta."
"Measures are urgently needed to protect pregnant women and women who have recently given birth or are breastfeeding, and it is essential to ensure that their rights are respected.", "Vi behöver snarast vidta åtgärder för att skydda gravida kvinnor och kvinnor som nyligen har fött barn eller ammar. Det är avgörande att vi ser till att deras rättigheter respekteras."
"At the end of this month, Parliament is expected to take a decision on improving the safety and health at work of pregnant workers and workers who have recently given birth or are breastfeeding.", "I slutet av månaden ska parlamentet uttala sig om hur säkerheten och hälsan på arbetsplatsen kan förbättras för kvinnliga arbetstagare som är gravida, nyligen har fött barn eller ammar."
"Climate change is a global challenge for which we should prepare a global response.", "Klimatförändringar är en global utmaning som vi bör förbereda ett globalt svar på."
"The euro has been a success: the euro is the EU's best response to global challenges.", "Euron har varit framgångsrik. Euron är EU:s bästa svar på de globala utmaningarna."
"We live in a time that demands rapid response to global changes and security threats.", "Vi lever i en tid då det krävs snabba svar på globala förändringar och säkerhetshot."
"In other words, we are facing global problems requiring a global response.", "Med andra ord: Vi står inför globala problem som kräver globala lösningar."
"Europe played a key role in shaping the global response to the crisis.", "EU hade en viktig roll i arbetet med att ta fram globala åtgärder mot krisen."
"The European response to global resettlement requirements has been adequate to date.", "Det europeiska svaret på de globala vidarebosättningskraven har hittills varit tillräckliga."
"Terrorism is an international problem and as such requires a global response.", "Eftersom terrorismen är internationell måste svaret vara globalt."
"It is a global problem requiring a global response from both governments and citizens.", "Det är ett globalt problem som kräver ett globalt gensvar från både regeringar och medborgare."
"If terrorism is global, our response must be absolutely firm but likewise global.", "Om terrorismen är global måste våra motåtgärder vara mycket bestämda men på motsvarande sätt globala."
"The initiative for a global response to a global crisis came from Europe.", "Initiativet för global respons på en global kris kom från Europa."
"I have been very moved by the heartfelt global response to this unprecedented disaster.", "Jag har blivit djupt rörd av den innerliga globala reaktionen på denna katastrof utan motstycke."
"For energy, as for climate change, we need this global response.", "Vi behöver detta globala svar för energi, liksom för klimatförändringen."
"I believe that the only way we can tackle this problem is through a global response.", "Jag anser att det enda sätt som vi kan ta itu med detta problem på är genom att finna en global lösning."
"This is a global problem and it is going to need a global response.", "Detta är ett globalt problem, och det behöver en global lösning."
"This means that the European Union must assume a leading role in formulating a global political response.", "Det betyder att EU måste ta en ledande roll i att formulera ett globalt politiskt svar."
"We live in a time that demands rapid response to global changes and security threats.", "Det måste sägas klart och tydligt att vi inte kan förvänta oss bra resultat utan tillräckligt finansiellt stöd."
"Prevention is central to a successful long-term national, international and global response to Aids.", "Förebyggande är centralt för ett framgångsrikt nationellt, internationellt och globalt svar på aids."
"The global dimension of terrorism calls for a global response.", "Terrorismens globala dimension kräver global respons."
"MEDIA Mundus is, in my view, the appropriate response to global technical and socio-economic challenges.", "Jag anser att Media Mundus är rätt reaktion på de globala tekniska, sociala och ekonomiska utmaningarna."
"The European Union is the best placed organisation to provide a global response to the fight against terrorism.", "Europeiska unionen är bäst lämpad för att ta itu med kampen mot terrorism på ett övergripande sätt."
"In general, I share the grave concerns he voices with this question.", "Allmänt delar jag för övrigt hans stora oro, som han genom att ställa denna fråga vill framföra."
"We can happily accept Amendments Nos 2 and 3, but we have grave concerns about Amendment No 1.", "Vi kan med glädje godta ändringsförslag 2 och 3, men vi bekymrar oss allvarligt för ändring nummer ett."
"I still have grave concerns about the state of health of our colleagues in the various institutions.", "Jag är fortfarande mycket oroad över hälsotillståndet för våra medarbetare i de olika institutionerna."
"As a representative of a new Member State, Poland, I should like to raise two grave concerns about this reform.", "Som företrädare för en ny medlemsstat, Polen, vill jag ta upp två allvarliga problem med denna reform."
"Measures are desperately needed, for very many people have grave concerns about climate change.", "Det finns ett desperat behov av att vidta åtgärder, eftersom många människor är mycket oroliga över klimatförändringen."
"Mr President, my group has grave concerns about the agreement that the Council wishes to conclude with the United States.", "Herr talman! Min grupp är oerhört bekymrad över avtalet som rådet vill sluta med Förenta staterna."
"(HU) I would like to mention the Slovak language law, which has raised grave concerns ever since its approval.", "(HU) Jag vill ta upp frågan om den slovakiska språklagen, som lett till allvarliga diskussioner ända sedan den antogs."
"These matters are arousing grave concerns among the people of Europe, particularly as regards the privacy of personal data.", "Dessa frågor väcker stor oro hos människorna i Europa, speciellt när det gäller skyddet av personuppgifter."
"Some people felt they were entitled to express their grave concerns following the adoption of the reformed pact.", "Vissa ansåg att de hade rätt att uttrycka sina allvarliga farhågor efter det att den reformerade pakten hade antagits."
"(NL) There are many good things in this package, but there are also a few things that I still have grave concerns about.", "(NL) Det finns många bra inslag i detta paket, men det finns också ett antal frågor som fortfarande oroar mig allvarligt."
"I would also like to express grave concerns regarding the necessary reform of the Union institutions, prior to enlargement.", "Jag vill också uttrycka en mycket stark oro beträffande den nödvändiga reformen av EU: s institutioner som föregår utvidgningen."
"We have grave concerns about this.", "Vi ser med oro på dessa uppgifter."
"I also have grave concerns about reverse qualified majority voting in Council decisions linked to these reports.", "Jag är också allvarligt oroad över besluten om omröstning med omvänd kvalificerad majoritet i rådet, vilka är kopplade till dessa betänkanden."
"As a representative of a new Member State, Poland, I should like to raise two grave concerns about this reform.", "För det andra har begränsningarna för sockerproduktionen inriktats på sockerfabrikerna snarare än på jordbrukarna i Polen, till skillnad från i övriga EU-länder."
"I should like to address these two grave concerns to the Commission and to the Council, as well as to the Commissioner, who is present in the Chamber today.", "Jag vill göra kommissionen och rådet och även kommissionsledamoten, som är här i dag, uppmärksamma på dessa två allvarliga problem."
"Mr President, the arrest of the European journalists and their Laotian companions raises grave concerns: first, about the freedom of the press.", "Herr talman! Arresteringarna av de europeiska journalisterna och deras laotiska kolleger vållar stor oro: för det första, angående pressfriheten."
"Madam President, I have to say I have grave concerns about this proposal that is before us here tonight and the effects it will have on the future of our agricultural industry.", "(EN) Fru talman! Jag är mycket oroad över det förslag som vi behandlar här i kväll, och över dess följder för vår jordbrukssektors framtid."
"The European Union troika, which visited Nepal only two months ago, expressed at that time its grave concerns at the rapidly deteriorating human rights situation.", "EU-trojkan, som besökte Nepal för bara två månader sedan, uttryckte då sin djupa oro över den snabba försämringen när det gäller de mänskliga rättigheterna."
"In this connection I am bound to reflect the very grave concerns felt by this House following the Commission’s latest monitoring report presented by Mr Verheugen in plenary.", "I detta sammanhang måste jag återge den djupa oro som kammaren känner efter kommissionens senaste översiktsrapport som Günther Verheugen framförde i kammaren."
"In this connection I am bound to reflect the very grave concerns felt by this House following the Commission’ s latest monitoring report presented by Mr Verheugen in plenary.", "I detta sammanhang måste jag återge den djupa oro som kammaren känner efter kommissionens senaste översiktsrapport som Günther Verheugen framförde i kammaren."
"The initiative is aiming for greater liquidity among the European Union's companies through harmonisation.", "Syftet med initiativet är att öka EU-företagens likviditet genom harmonisering."
"The principle that a large financial market offers greater liquidity and greater economic weight is well known.", "Principen att stora finansmarknader erbjuder större likviditet och större ekonomisk tyngd är välkänd."
"This should create greater liquidity.", "Härigenom bör likviditeten öka."
"In order to cope with future periods of stress, we must henceforth provide ourselves with a greater quantity and quality of capital and greater liquidity.", "För att klara framtida perioder av stress måste vi hädanefter se till att vi har mer kapital av högre kvalitet samt större likviditet."
"Does the Commission acknowledge that this situation is causing problems to a good many businesses, which are already in greater need of liquidity than usual because of the crisis?", "I vilka är den ännu inte det?"
"The European Union must have greater political strength and not just economic strength.", "EU måste ha större politisk styrka och inte bara ekonomisk styrka."
"I would therefore hope that the Commission will show greater strength regarding issues relating to a social Europe.", "Därför hoppas jag att kommissionen kommer att visa större styrka i frågor som rör det sociala Europa."
"You've proven that your strength is greater than hers.", "Du har bevisat att din styrka överträffar hennes."
"If these amendments are adopted by unanimous vote, we believe that we will be in a position of greater strength finally to solve this problem.", "Om de antas enhälligt tror vi att vi får mer kraft för att äntligen lösa problemet."
"The European Union will derive greater strength from the enlightened participation of its citizens in this project, unique in modern history.", "Europeiska unionen kommer att stärkas av ett upplyst deltagande av dess medborgare i detta projekt, som är unikt i den moderna historien."
"When it comes to the EU of the Fifteen, it emerges that the countries concerned have greater economic strength, with growth of 2% this year and 2.4% next year.", "När det gäller EU-15 visar det sig att de har bättre kraft i ekonomin med en tillväxt på 2 procent i år och 2,4 procent nästa år."
"When it comes to the EU of the Fifteen, it emerges that the countries concerned have greater economic strength, with growth of 2 % this year and 2.4 % next year.", "När det gäller EU-15 visar det sig att de har bättre kraft i ekonomin med en tillväxt på 2 procent i år och 2,4 procent nästa år."
"The process that the Commission is leading to develop an EU response to the human resources crisis demonstrates the strength of greater European coordination.", "Den process som kommissionen leder för att utveckla EU-åtgärder för att lösa personalkrisen visar vikten av ökad europeisk samordning."
"The President of Parliament knows that when he speaks he has not only the support of Parliament, but also that of Italy, and that gives him greater strength.", "Som parlamentets talman vet jag att jag inte bara har parlamentets, utan även Italiens stöd när jag säger detta och detta ger mig ökad styrka."
"There is no greater threat to the strength and unity of the European Union than a situation where the EU is, in the main, represented by citizens of only six nationalities.", "Det finns inget större hot mot Europeiska unionens styrka och enhet än en situation där EU huvudsakligen representeras av medborgare från bara sex länder."
"It is very interesting to note that, in the Treaty of Lisbon, consumer protection has become a cross-sectional task, which naturally gives this area much greater strength.", "Det är mycket intressant att notera att konsumentskyddet i Lissabonfördraget skär tvärs igenom alla sektorer, vilket naturligtvis ger detta område mycket större styrka."
"Mr President, ladies and gentlemen, I am firmly convinced that the more democratic Europe becomes, the greater the strength will be of an adapted, modernized social security system.", "Herr ordförande, ärade kollegor! Det är min fasta övertygelse att ju mer demokratiskt Europa kommer att bli, desto stabilare kommer ett anpassat socialt skyddssystem att vara."
"That is the proper procedure, but I shall not give anyone preferential treatment.", "Det vore korrekt förfarande, men jag ska inte ge någon företräde."
"We are running 20 minutes late at the present time, Mr Staes, so I will not give the floor to anyone else.", "Vi är för tillfället 20 minuter sena, herr Staes, så jag ger inte ordet till någon annan."
"I can now give you - before anyone else hears them - the figures that I will be publishing next Thursday.", "Jag kan ge er färska siffror som jag skall offentliggöra på torsdag."
"We do not really want to give anyone hell, but conclusions can be drawn if the majority of the House so wishes.", "Vi vill egentligen inte skälla ut någon, men slutsatser kan dras om majoriteten i kammaren så önskar."
"I will not give the floor to anyone else on this matter.", "Jag kommer inte att ge fler ordet i denna fråga."
"Parliament should not give anyone carte blanche.", "Parlamentet borde inte ge någon en oinskränkt fullmakt."
"However, I do not want to give anyone false hopes about what can be achieved very quickly and with the help of Member States.", "Men jag vill inte inge någon falska förhoppningar om vad som kan åstadkomma mycket snabbt och med medlemsstaternas hjälp."
"Let us not give anyone a stick with which to beat us, and let us not play into the hands of the anti-Europeans who are shamelessly exploiting the situation.", "Vi får inte räcka någon käppen för att slå oss och vi får inte spela nej-sägarnas spel som skamligen utnyttjar situationen."
"The Commission does not intend to give anyone an alibi by presenting another proposal if the same conditions of political deadlock exist.", "Kommissionen har inte för avsikt att ge någon en förevändning för att lägga fram ett nytt förslag om samma politiska blockering skulle föreligga."
"Mr President, Commissioner, ladies and gentlemen, do these two hours of debate give anyone the impression that we have a Common Position that is any use, one that we can adopt?", "Den första behandlingen skedde den 24 september 2004, men ignorerades fullständigt av rådet i dess politiska överenskommelse."
"In agreement with the rapporteur, we will delete the reference to Category C, so that it can no longer give rise to anyone voting against Amendment 50.", "I överenskommelse med föredraganden ska vi stryka ut hänvisningen till kategori C, så att den inte längre kan få någon att rösta mot ändringsförslag 50."
"We therefore ask, for example, that it be explicitly forbidden to give public subsidies to anyone acting illegally, as in the case of Armadores Vidal.", "Vi kräver därför till exempel att det ska vara uttryckligt förbjudet att ge offentliga subventioner till någon som uppträder olagligt, som i fallet Armadores Vidal."
"Nevertheless, labelling does give anyone wanting to steer clear of genetically engineered products for any reason the option of deliberately avoiding them.", "Den som ändå, av vilka anledningar det vara må, vill avstå från gentekniskt framställda produkter, får med märkningen en möjlighet att avstå från just dessa produkter."
"The fact that there was genocide in Rwanda, which I have always bitterly condemned, does not give anyone the right to do things subsequently which provoke further massacres.", "Det har inte kommit och vad det senare angår vet var och en att sakerna utan blockaden av Rwanda med stöd av Förenta staterna skulle ha sett annorlunda ut."
