//Sentences
"Daimler/ Chrysler is visibly becoming a crime, when we look at what is going on there.", "Daimler / Chrysler blir synbarligen ett brott, när man ser vad som pågår där."
"We also need to fill the legal void that has always existed at European level when it comes to enzymes, which are used in the manufacture of bread or dairy produce, for example.", "Beträffande enzymer, som används vid exempelvis tillverkning av bageri- och mjölkprodukter, behöver vi också stänga den rättsliga lucka som alltid har funnits på europeisk nivå."
"Livestock farmers in northern Greece have blockaded the Evzona customs post and one of their reasonable demands is for the name of the place of origin to be included on labels for dairy produce.", "I norra Grekland har Evzonas tullpost blockerats av djuruppfödare. Ett av deras rimliga krav är att namnet på den plats som livsmedlet kommer ifrån ska stå med på mejeriprodukternas etiketter."
"more_vert open_in_new Link to European Parliament warning Request revision The Dakar objectives are in danger of not being achieved by a long chalk.", "expand_more Målen från Dakar riskerar att inte uppfyllas på långt när."
"more_vert open_in_new Link to European Parliament warning Request revision Målen från Dakar riskerar att inte uppfyllas på långt när.", "expand_more The Dakar objectives are in danger of not being achieved by a long chalk."
"The Commission deplores that, notwithstanding the Dakar Agreement, the confrontation continues.", "Kommissionen beklagar att konflikterna fortsätter, trots Dakaravtalet."
"The Commission is convinced that the Dakar Agreement remains the appropriate framework for a democratic dialogue and for the achievement of a solution.", "Kommissionen är övertygad om att Dakaravtalet förblir den lämpliga ramen för en demokratisk dialog och för att uppnå en lösning."
"I have the same impression that she expressed, because yesterday evening I was in Dakar, where I attended a meeting with the least advanced countries, and we spoke with them about enlargement.", "Det är ju så att utvecklingsländerna har många saker att oroa sig över, men utvidgningen tycks vara ett särskilt orosmoment för dem."
"We welcome the renewed efforts of President Wade and of the OAU to organise a new meeting between the two leaders in order encourage the implementation of the objectives of the Dakar Agreement.", "Vi välkomnade ordförande Wades och OAU:s förnyade ansträngningar att organisera ett nytt möte mellan de två ledarna för att främja genomförandet av målen i Dakaravtalet."
"We welcome the renewed efforts of President Wade and of the OAU to organise a new meeting between the two leaders in order encourage the implementation of the objectives of the Dakar Agreement.", "Vi välkomnade ordförande Wades och OAU: s förnyade ansträngningar att organisera ett nytt möte mellan de två ledarna för att främja genomförandet av målen i Dakaravtalet."
"Lizard offered Dakota 250K to deliver my live ass to him.", "Ödlan erbjöd Dakota 250. 000 för att leverera mig levande till honom."
"Changed her name from Dawn to Dakota.", "Hon bytte namn från Dawn till Dakota."
"The Pine Ridge Reservation, the subject of today's slide show, is located about 75 miles southeast of the Black Hills in South Dakota.", "Pineridge-reservatet som kommer att visas i dagens slideshow ligger ungefär 120 km sydöst om Black Hills i South Dakota."
"You're going home Dakota", "Du ska åka hem, Dakota."
"Listen to me Dakota", "Lyssna på mig, Dakota."
"If you look at the statistics and you see that the guy called George, when he decides on where he wants to live -- is it Florida or North Dakota?", "Om du tittar på statistiken och du ser att killen som heter George, när han bestämmer vart han vill leva sitt liv -- Blir det Florida eller North Dakota?"
"Madam President, Commissioner, the Dakota Indians have a wise saying: 'when you discover that you are riding a dead horse, the best strategy is to dismount'.", "Fru talman, herr kommissionär! Indianerna i Dakota har ett visdomsord: ?när man upptäcker att man rider på en död häst, är det klokast att kliva av?."
"The time has come to open direct negotiations between China and the Dalai Lama.", "Ögonblicket är nu inne att inleda direkta förhandlingar mellan Kina och Dalai Lama."
"We cannot allow a situation in which the Dalai Lama's name is linked with terrorism.", "Vi kan inte tillåta en situation där Dalai Lamas namn förknippas med terrorism."
"I have just returned from India, from visiting the Dalai Lama in Dharamsala.", "Jag har just kommit tillbaka från Indien, där jag besökte Dalai Lama i Dharamsala."
"The Chinese Premier blames the Dalai Lama for the situation that has arisen.", "Kinas premiärminister skyller Dalai Lama för den situation som har uppkommit."
"The Dalai Lama will be our guest tomorrow and will address this Parliament.", "Dalai Lama kommer att gästa oss i morgon och kommer att tala till parlamentet."
"Dialogue between the Chinese government and Envoys of the Dalai Lama (vote)", "Dialogen mellan den kinesiska regeringen och Dalai Lamas sändebud (omröstning)"
"The Dalai Lama was here only in December, speaking on behalf of Tibet in the plenary.", "Dalai lama var här så sent som i december och talade på Tibets vägnar här i plenum."
"Dialogue between the Chinese government and Envoys of the Dalai Lama (debate)", "Dialogen mellan den kinesiska regeringen och Dalai Lamas sändebud (debatt)"
"Finally, President Obama recently met with the Dalai Lama in the White House.", "Slutligen träffade president Barack Obama nyligen Dalai Lama i Vita huset."
"The Beijing Government must fulfil its promise and initiate talks with the Dalai Lama.", "Beijingregeringen måste uppfylla sitt löfte och inleda samtal med Dalai Lama."
"In a letter he thanked Chancellor Angela Merkel for having received the Dalai Lama.", "I ett brev tackade han förbundskansler Angela Merkel för att hon tagit emot Dalai Lama."
"(DE) Mr President, Angela Merkel received the Dalai Lama at the Chancellery yesterday.", "(DE) Herr talman! Angela Merkel tog i går emot Dalai Lama i förbundskanslerns kansli."
"As a result of the uprising, the Dalai Lama and 80 000 Tibetans had to leave their country.", "Som en följd av upproret tvingades Dalai Lama och 80 000 tibetaner lämna landet."
"The Dalai Lama has urged his people to maintain the path of non-violence.", "Dalai lama har uppmanat sitt folk att fortsätta följa ickevåldsprincipen."
"Sympathy has long been the message of the much-acclaimed speeches and books of the Dalai Lama.", "Medkänsla har länge varit budskapet i Dalai Lamas mycket hyllade tal och böcker."
"We also called for the Chinese to resume negotiations with the Dalai Lama.", "Vi uppmanade även kineserna att återuppta förhandlingar med Dalai Lama."
"We can take a leaf from President Obama's book: he had the courage to receive the Dalai Lama.", "Vi kan ta ett blad ur president Obamas bok: han hade modet att ta emot Dalai Lama."
"A letter came through from the Dalai Lama saying, "This is an amazing thing.", "Ett brev kom från Dalai Lama där han sa: "Det här är en utmärkt idé."
"The Dalai Lama was once in Portugal, and there was a lot of construction going on everywhere.", "Dalai Lama besökte en gång Portugal och det pågick en massa byggnadsarbeten överallt."
"It is cowardly and dishonest to claim the Dalai Lama is inspiring the riots.", "Det är fegt och oärligt att säga att Dalai Lama stöder upproren."
"This bill was condemned by the President of the Republic of Lithuania, Ms Dalia Grybauskaitė.", "Lagförslaget fördömdes av Litauens president, Dalia Grybauskaitė."
"In addition, this law has been severely criticised by the current President of Lithuania, Dalia Grybauskaitė.", "Lagen har dessutom utsatts för mycket hård kritik från Litauens sittande president Dalia Grybauskaitė."
"I could mention Neelie Kroes, Dalia Grybauskaite and so on, as simply all of my female colleagues hold very significant portfolios.", "Jag skulle kunna nämna Neelie Kroes, Dalia Grybauskaite och så vidare, eftersom faktiskt alla av mina kvinnliga kolleger har mycket viktiga portföljer."
"We welcome Péter Balázs, Joe Borg, Ján Figel', Dalia Grybauskaitė Danuta Hübner, Siim Kallas, Sandra Kalniete, Markos Kyprianou, Janez Potočnik and Pavel Telička.", "Vi välkomnar Péter Balázs, Joe Borg, Ján Figel', Dalia Grybauskaitė Danuta Hübner, Siim Kallas, Sandra Kalniete, Markos Kyprianou, Janez Potočnik och Pavel Telička."
"I applaud the courage of the Lithuanian President, Dalia Grybauskaitė, in standing up against discrimination in public and hope that others will follow her suit.", "Jag välkomnar det mod som Litauens president, Dalia Grybauskaitė, har visat genom att sätta sig emot offentlig diskriminering och hoppas att andra följer hennes exempel."
"No one else would tolerate these things, but the Dalits are forced to do so.", "Ingen annan skulle tolerera detta, men daliterna är tvungna att göra det."
"In our case that would have included the Roma, Sintis and Dalits.", "Det gäller för oss, för romer och sinti, det gäller även för dalit."
"Thousands of people are harmed and many die, and they are Dalits.", "Tusentals människor skadas och många dör, och de är daliter."
"The Dalits are a despised underclass in several countries, but they are, in particular, India’s problem.", "Daliterna är en föraktad underklass i flera länder, men de är i synnerhet ett problem i Indien."
"The Dalits are a despised underclass in several countries, but they are, in particular, India’ s problem.", "Daliterna är en föraktad underklass i flera länder, men de är i synnerhet ett problem i Indien."
"The treatment of the Dalits in India presents some serious human rights concerns.", "skriftlig. (EN) Behandlingen av daliterna i Indien visar på allvarliga problem när det gäller de mänskliga rättigheterna."
"I am thinking, of course, of the Dalits, who are casteless.", "Jag tänker naturligtvis på daliterna, som är kastlösa."
"Many Dalits have converted to Christianity or Islam.", "Många daliter har konverterat till kristendom eller islam."
"The worst off are the casteless Dalits, whose rights the authorities do not monitor closely enough.", "Situationen är värst för de kastlösa daliterna, vars rättigheter myndigheterna inte övervakar tillräckligt noga."
"The social segregation experienced by Dalits can be likened to Apartheid as it used to be in South Africa.", "Den sociala segregation som daliterna upplever kan jämföras med den apartheid som tidigare rådde i Sydafrika."
"According to the report and numerous studies, the Dalits are the victims of unpunished crimes and offences.", "Enligt betänkandet och ett flertal undersökningar utsätts daliterna för brott och kränkningar som inte bestraffas."
"It is, however, also embarrassing that the EU is turning its face away from the suffering of the Dalits - and so is Parliament!", "Det är emellertid också pinsamt att EU vänder ryggen åt daliternas lidande - liksom parlamentet!"
"Human rights of the Dalits in India (vote)", "Mänskliga rättigheter för daliter i Indien (omröstning)"
"Dalits are regularly abused by the higher caste.", "Dalits utnyttjas rutinmässigt av de högre kasten."
"How much equality do the Dalits really enjoy?", "Hur stor jämlikhet åtnjuter egentligen daliterna?"
"The Dalits have no voice and no trade union.", "Daliterna har ingen röst och inget fackförbund."
"The Dalits have hardly been mentioned at all.", "Daliterna har knappast inte nämnts alls."
"Are things improving for the Dalits?", "Har läget förbättrats för daliterna?"
"Well, I would like to point out that in fact the incidence of murders in India against Dalits is 2.04%, whereas they constitute 14% of the population.", "Jag skulle vilja påpeka att 2,04 procent av morden drabbar daliter, medan de utgör 14 procent av befolkningen."
"There were also individuals from many groups who suffer individual persecution such as Roma and Dalits, sometimes known as untouchables.", "Det fanns också individer från många grupper som lider av enskild förföljelse, som romer och daliter, som ibland kallas kastlösa."
"I grab poor Dallas's car phone and make the most important call of my life", "Jag tar Dallas biltelefon och ringer det viktigaste samtalet i mitt liv."
"The not-so-good news is that it looks like all roads are eventually leading to Dallas Carter.", "De mindre goda nyheterna är... att alla vägar verkar leda till Dallas Carter."
"They started playing as eight year olds in the Pop Warner fields of Odessa, or in Dallas.", "De började spela som 8- åringar... i juniorserien i Odessa eller Dallas."
"Yeah, so, when we did the Garth benefit in Dallas, that's what we --", "Så närvi gjorde den där Garth förmånen i Dallas så gjorde vi..."
"The Panthers defeated Dallas Jesuit to advance to round 16.", "Panthers besegrade Dallas Jesuit och avancerar till 16- delsfinalen."
"Billingsley holds it, runs over another Dallas Carter Cowboy.", "Billingsley trycker sig fram, kör över ännu en Dallas Cowboy."
"(Singing) This is Jamal Walker from Dallas, Texas.", "(Sjunger) Det här är Jamal Walker från Dallas i Texas."
"This Dallas Carter team appears to be completely unstoppable.", "Dallas Carter-laget verkar helt oslagbart."
"This is the Astrodome, the eighth wonder of the world, and today... it's gonna be Odessa Permian versus Dallas Carter.", "Detta är Astrodome, världens åttonde underverk... och idag möts här Odessa Permian och Dallas Carter."
"There's a 4: 30, but you have to switch in Dallas.", "Jo, 16. 30- planet, fast då måste ni byta i Dallas."
"As a result, alongside Dynasty or Dallas, we will also have the MED soap opera with all the publicity it entails.", "På så sätt får vi utöver Dynastin eller Dallas också följetongen om Med-programmen, med all den publicitet det medför."
"Did you happen to catch that Dallas game last week?", "Såg du Dallas-matchen förra veckan?"
"And what a monster of a team Dallas Carter is.", "Och vilket monsterlag Dallas Carter är."
"All right, Dallas kicking off to Permian.", "Okej, Dallas avspark mot Permian."
"I thought we were going to Dallas.", "Jag trodde vi skulle till Dallas."
"The bitch is in Dallas, you idiot.", "Slynan är i Dallas, din idiot."
"Welcome, Dallas Carter fans.", "Välkomna, Dallas Carter-fans..."
"No more questions, Dallas.", "Inga fler frågor, Dallas."
"We stop 'em, Dallas.", "Vi stoppar dem, Dallas."
"Dallas, Texas?", "Dallas i Texas?"
