//Sentences
"In the colonial past, pillaging was carried out in an open and shameless fashion.", "Under den forna kolonialtiden skedde plundringen öppet och skamlöst."
"Let me assure you that the Commission is well aware of the significant economic potential of commercial services, including financial services.", "Låt mig försäkra er om att kommissionen är väl medveten om den viktiga ekonomiska potentialen hos kommersiella tjänster, däribland finansiella tjänster."
"If applied in a timely and gradual manner, liberalisation has the key to unlock commercial potential and stimulate economic growth to the satisfaction of both parties.", "Liberaliseringen kan, om den tillämpas lägligt och gradvis, innebära en lösning för affärspotentialen och stimulera den ekonomiska tillväxten till båda parters belåtenhet."
"I consider that pre-commercial procurement has the potential to be very advantageous for innovation and that it can offer updated public services of high quality in the European Union.", "Jag tror att förkommersiell upphandling kan bli mycket fördelaktig för innovationen och att den kan erbjuda moderna offentliga tjänster av hög kvalitet i Europa."
"The Commission is also committed to protecting privacy and the personal data of citizens.", "Kommissionen är också fast besluten att skydda medborgarnas integritet och personuppgifter."
"I should like, however, to emphasise that I am very committed to protecting women's rights.", "Jag skulle dock vilja betona att jag är mycket engagerad i att skydda kvinnors rättigheter."
"Member States must be strongly committed to protecting and supporting their own cultural heritage.", "Medlemsstaterna måste vara starkt engagerade i att skydda och stödja sitt eget kulturarv."
"The European Union is committed to protecting the democratic and minority rights of the Kurds.", "Europeiska unionen kräver skydd för kurdernas demokratiska rättigheter och deras rättigheter som minoritet."
"The Council is still fully committed to protecting the free movement of goods between the Member States.", "Rådet satsar även i fortsättningen på att skydda den fria rörligheten för varor mellan medlemsstaterna."
"Without a national viewpoint committed to protecting the environment, politicians will turn a deaf ear to environmental demands.", "Utan en allmän opinion som förplikar till miljöskydd är också politikerna döva för miljökrav."
"My thoughts today are with his family and his loved ones, with his friends and with those committed to protecting our planet.", "Mina tankar går i dag till hans familj och hans kära, hans vänner och de som arbetar för att skydda vår planet."
". - Madam President, my Group is committed to protecting human rights, but we are not convinced that allowing the EU to sign the convention is wise.", "Fru talman! Min grupp har åtagit sig att skydda de mänskliga rättigheterna, men vi är inte övertygade om att det är klokt att låta EU underteckna konventionen."
"Axis is a Swedish-based company, operating worldwide with offices in more than 20", "När Axis rekryterar letar vi efter branschens bästa hjärnor."
"Founded in 1984, Axis is a Sweden-based IT company listed on NASDAQ OMX Stockholm under the ticker AXIS.", "Axis grundades 1984 och är noterat på NASDAQ OMX Nordic under symbolen AXIS."
"Sándor started to work for a company based in the Czech Republic while continuing to live in Hungary.", "Sándor började jobba för ett tjeckiskt företag men bodde kvar i Ungern."
"Founded in 1984, Axis is a Sweden-based IT company listed on NASDAQ OMX Stockholm under the ticker AXIS.", "Axis grundades 1984 och är ett Sverigebaserat IT-företag som är noterat på NASDAQ OMX Stockholm under symbolen AXIS."
"If we were a company and we decided on the future of the company based on data that was still inaccurate, we could go bankrupt.", "Om vi vore ett företag och fattade beslut om företagets framtid baserat på data som fortfarande är ofullständiga skulle vi gå i konkurs."
"Dubai-based security company Behaviometrics AB, to create a digital watchdog that keeps track of that it is you who seated us computer.", "Luleåbaserade säkerhetsföretaget Behaviometrics AB, vill skapa en digital vakthund som håller reda på att det är du som sitter vi datorn."
"If the proposal that has been submitted is adopted unchanged, the company in question could simply register itself as a European company based in Finland.", "Om det framlagda förslaget antas utan ändringar skulle detta bolag kunna registrera sig som ett europeiskt bolag med säte i Helsingfors."
"That is why the European Private Company Statute must be based mainly on Community law, with minimum reference to national law.", "Därför måste stadgan för europeiska privata aktiebolag baseras främst på gemenskapens lagstiftning, med så få hänvisningar till nationell lagstiftning som möjligt."
"If my company is based in the city of Luxembourg and has no other branches, I cannot put in a request to work in Schifflange where I live.", "Om mitt företag har sitt säte i staden Luxemburg och inte har några filialer, kan jag inte lämna in en begäran om att få jobba i Schifflange där jag bor."
"A company based in the Channel Islands, which operates a lot of its activities quite legitimately from the UK mainland, is seriously threatening his business.", "Ett företag baserat på Kanalöarna, som helt lagligt sköter en hel del av sin verksamhet från Förenade kungarikets fastland, hotar allvarligt hans affärer."
"Founded in 1984, Axis is a Sweden-based IT company listed on NASDAQ OMX Stockholm under the ticker AXIS.", "Axis grundades 1984 och är ett Sverigebaserat IT-företag som är noterat på NASDAQ OMX Stockholm under symbolen AXIS. Mer information om Axis finns på www.axis.com"
"We therefore cannot simply once again call for company responsibility, based on the fact that decency dictates that women should not be treated worse than men in terms of pay.", "Därför kan vi inte återigen enbart efterlysa att företagen ska ta sitt ansvar, med motiveringen att kvinnor, i anständighetens namn, inte får behandlas sämre än män i fråga om löner."
"The first policy agreed was that a trusteeship solution coordinated by Germany was the right way to go in order to protect General Motors Europe from the insolvency of the US-based parent company.", "Det första beslutet som fattades var att en förvaltarskapslösning samordnad av Tyskland, var rätt metod för att skydda General Motors Europa från det USA-baserade moderbolagets insolvens."
"Europe has seen the creation of the so-called Technology Platforms, company-based strategic research initiatives, which are excellent examples of partnership between the public and private sectors.", "I Europa har så kallade teknikplattformar skapats, företagsbaserade strategiska forskningsinitiativ, vilka är utmärkta exempel på partnerskap mellan den offentliga och den privata sektorn."
"Fraud risks must be reported by auditors and company boards.", "Bedrägeririsker måste rapporteras av revisorer och bolagsstyrelser."
"Many company boards are now discussing whether to move planned investments outside Europe.", "I många styrelserum överväger man nu om det inte är bättre att göra planerade investeringar någon annanstans än i Europa."
"With regard to managerial and executive posts in European companies, women make up only 3 % of the leaders of company boards.", "Inom Europabolagens ledningar och administrationer är bara 3 procent i ledningen kvinnor."
"We must reinforce the role of workers' representatives on company boards and in the taking of structural management decisions.", "Vi måste ge arbetstagarföreträdarna en starkare roll i företagens styrelser och i fattandet av strukturella ledningsbeslut."
"The imagination of company boards is boundless when it comes to obtaining public investment support as a location incentive.", "Bolagsstyrelsernas uppfinningsrikedom är gränslös när det gäller att erhålla offentligt investeringsstöd som lokaliseringsincitament."
"called for a stronger role for workers' representatives in company boards and in fundamental organisational decision-making.", "efterfrågade ett större inflytande för arbetstagarnas representanter i företagsstyrelser och i det grundläggande organisatoriska beslutsfattandet."
"There can be no justification for creating obstacles impeding women from undertaking managerial and supervisory roles on company boards of directors or boards of trustees.", "Det är oförsvarbart att hindra kvinnor från att åta sig lednings- eller styrelseuppdrag i bolagsstyrelser."
"They have introduced a "business judgment rule" according to which company boards can protect themselves if they wish, whereas in Europe we forbid that.", "De har infört en s.k. business judgement rule, som säger att företagens styrelser kan protestera hur de vill - i Europa förbjuder vi detta."
"They have introduced a " business judgment rule " according to which company boards can protect themselves if they wish, whereas in Europe we forbid that.", "De har infört en s.k. business judgement rule, som säger att företagens styrelser kan protestera hur de vill - i Europa förbjuder vi detta."
"Finally, they are proposals which call for a stronger role for workers' representatives in company boards and in fundamental organisational decision-making.", "Slutligen uppmanar man i förslagen till att arbetsrepresentanternas roll i företagsstyrelser och deras betydelse för viktiga organisatoriska beslut ska stärkas."
"Asking for a 40% quota of female representation on company boards is interference contrary to the principle of subsidiarity in issues reserved for Member States.", "Att kräva att 40 procent av ledamöterna i bolagsstyrelser ska vara kvinnor är en inblandning som strider mot subsidiaritetsprincipen i frågor som är förbehållna medlemsstaterna själva."
"It is a complex problem which, in my opinion, should be tackled as a whole.", "Det är ett komplext problem som man enligt min åsikt bör ta ett helhetsgrepp på."
"This is unquestionably an extremely complex problem which will be hard to resolve.", "Detta är utan tvivel ett ytterst komplext problem som kommer att bli svårt att lösa."
"The most complex problem concerns the directive's territorial application.", "Det mest komplexa problemet handlar om direktivets territoriella tillämpning."
"It is not possible, it is a complex ethical problem, but we must start somewhere.", "Det är inte möjligt, det är ett komplicerat etiskt problem, men vi måste börja någonstans."
"Do you ever feel completely overwhelmed when you're faced with a complex problem?", "Känner ni er någonsin fullständigt överväldigade när ni ställs inför ett komplext problem?"
"(PL) Mr President, poverty is a very complex problem and it can adopt various forms.", "(PL) Herr talman! Fattigdomen är ett mycket komplicerat problem som kan anta olika former."
"We also need to recognise, though, that this really is a very complex problem in practice.", "Vi måste dock även inse att det här rent praktiskt är ett mycket komplicerat problem."
"(HU) The debate so far has shown that this is a very complex problem.", "(HU) Debatten hittills har visat att detta är ett mycket komplext problem."
"I think this is a complex problem, one that has to do with organising better supervision.", "Jag anser att detta är ett komplicerat problem som handlar om att insynen måste förbättras."
"I also feel this complex problem is connected with the WTO.", "Denna komplexa problematik ser jag även i samband med Världshandelsorganisationen."
"It is merely an inhumane and expensive solution to a complex problem.", "Det är endast en inhuman och dyr lösning på ett komplext problem."
"This is fully in compliance with the complex nature of the problem of obesity.", "Det är helt i enlighet med fetmaproblemets komplexitet."
"Mr President, I welcome the Commissioner’s summary of the complex aspects of this problem.", "Jag välkomnar kommissionsledamotens sammanfattning av de komplicerade aspekterna av detta problem."
"Mr President, I welcome the Commissioner’ s summary of the complex aspects of this problem.", "Jag välkomnar kommissionsledamotens sammanfattning av de komplicerade aspekterna av detta problem."
"For the first time you are passing judgement on a complex problem at the very periphery of the European Union.", "Genom utveckling, demokrati och välstånd kommer de positiva resultaten att dyka upp."
"Solving the problem requires complex arrangements, which cannot be made without political determination.", "Problemet kräver komplexa lösningar som inte kan komma till stånd utan politisk beslutsamhet."
"Solving the complex problem associated with the Shebaa area will likewise require Syria's cooperation.", "Att lösa det komplicerade problemet med Shebaa-området kräver dock samarbete från Syriens sida."
"It is important not to give up on such a complex problem.", "Det är viktigt att inte ge upp inför ett så komplicerat problem."
"The question remains open, because the problem is complex.", "Frågan förblir öppen, eftersom det är ett komplicerat problem."
"It is a far more complex, far more widespread problem.", "Problemet är mycket mera komplicerat och mycket mera omfattande."
"Mr Metten, I would simply like to confirm exactly what Commissioner de Silguy said.", "Herr Metten! Jag skulle bara vilja bekräfta exakt vad kommissionär de Silguy sade."
"– Mr President, I simply wanted to confirm what was said by my colleague, Mr Posselt.", "– Herr talman! Jag vill bara bekräfta vad min kollega Bernd Posselt har sagt."
"Mr Swoboda, I can confirm what you have just said and there is, in fact, a printing error.", "Ledamot Swoboda, jag kan bekräfta det ni just sagt. Det rör sig om ett tryckfel."
"Madam President, I do not wish to reply to Mr Donnelly: I want to confirm what he has said.", "Fru ordförande! Jag vill inte svara Donnelly, jag vill bekräfta vad han sade."
"Mr President, I rise to confirm what has just been said by Mr Teverson.", "Herr ordförande, jag reser mig upp för att bekräfta vad Teverson nyss sade."
"Since then, the Commission must confirm what the Members have said.", "Därefter kan kommissionen endast instämma i vad parlamentsledamöterna har sagt."
"Mr President, may I confirm that what Mr Swoboda just said applies equally to the EPP-ED Group.", "Herr talman! Jag bekräftar att det som Swoboda just sagt gäller för gruppen PPE-DE."
"Could the Council confirm what pressure it is putting on the Spanish Government to", "Kan rådet redogöra för vilka påtryckningar man utövar på den spanska regeringen för att få den att"
"As I have here the text of my intervention, I confirm what I said yesterday.", "Eftersom jag här har texten från mitt inlägg, kan jag säga att jag står fast vid det jag sade i går."
"We hope that you will confirm what you said earlier, that we need a strong European Commission.", "Vi hoppas att ni kommer att bekräfta vad ni sade tidigare, att vi behöver en stark kommission."
"Regarding the integrated framework, I am glad to confirm what I announced in Hong Kong.", "När det gäller den integrerade ramen gläder det mig att kunna bekräfta det som jag tillkännagav i Hongkong."
"I must confirm what Mrs Kinnock said about the poorest people not receiving the funding.", "Jag måste bekräfta vad Kinnock sade om att det inte är de fattigaste människorna som erhåller finansiering."
"I therefore confirm what has been said by the rapporteur, Mrs Haug, and also Mr Garriga, in this respect.", "Jag bekräftar alltså vad föredragande Haug sade om den saken, vilket även Garriga tog upp."
"I confirm what Mr Tannock has just said and, for the same reasons, we request that paragraph 5 be deleted.", "Jag bekräftar vad Charles Tannock just sagt och av samma skäl begär vi att punkt 5 stryks."
"Mr President, I can confirm what Mrs Fontaine has just said.", "Herr ordförande! Jag kan bekräfta det som Fontaine just sade."
"May I secondly confirm what has been mentioned already.", "För det andra vill jag gärna bekräfta det som redan sagts i dag."
"I can only confirm what the Commissioner just said on this.", "Jag kan bara bekräfta vad kommissionären nyss sagt om detta."
"Mr President, just to confirm what Mr McMahon said, my question was on the transport of nuclear material.", "Herr ordförande, bara för att bekräfta vad McMahon sade gällde min fråga transport av kärnmaterial."
"Mr President, I wish to confirm what Mr Vondra has said.", "Herr talman! Jag vill bekräfta det som Alexandr Vondra sa."
"I am able to confirm that this is what was at issue.", "Det var detta det handlade om och det kan jag bekräfta."
"It will need to see if there are any consequences, for example, of the outcome of the IGC in relation to places of work.", "Den behöver se om det blir några konsekvenser av resultatet av regeringskonferensen, t.ex. vad gäller arbetstillfällen."
"This unequal treatment can have serious consequences, for example where a refugee's life is at risk if he returns to his country of origin.", "Denna skillnad i behandling kan få allvarliga konsekvenser, exempelvis när en flykting utsätts för dödshot i sitt ursprungsland."
"This logic may lead to very dangerous consequences: for example it questions the Convention on Biodiversity, and the sole objective is the companies' profits.", "Det sättet att resonera skulle nämligen få mycket farliga konsekvenser. Det äventyrar till exempel konventionen om biologisk mångfald, och dess enda mål är industrins vinster."
"Besides their economic and social impact, floods can have serious environmental consequences, for example if they hit industrial plants where large volumes of toxic chemicals are stored.", "Översvämningarna kan förutom ekonomiska och sociala effekter få allvarliga miljökonsekvenser, till exempel om de drabbar industrianläggningar med stora mängder giftiga kemikalier."
