//Sentences
"Passenger Name Record (PNR) (motions for resolutions tabled): see Minutes", "Passageraruppgifter (PNR-uppgifter) (ingivna resolutionsförslag): se protokollet"
"For us, that means that the proactive and reactive use of passenger name record data is actually out of the question as a matter of principle.", "För oss innebär det att den proaktiva och reaktiva användningen av passageraruppgifter i själva verket är utesluten som principiell fråga."
"Madam President, honourable Members, I believe that the importance and necessity of Passenger Name Record (PNR) data have become clear in recent years.", "Fru talman, ärade ledamöter! Jag anser att betydelsen och behovet av passageraruppgifter (PNR) har blivit uppenbart de senaste åren."
"Parliament aims to enhance data protection in the transfer of Passenger Name Record (PNR) data to institutions in third countries.", "skriftlig. - (LT) Parlamentet siktar på att förstärka uppgiftsskyddet vid överföringen av passageraruppgifter (PNR-uppgifter) till institutioner i tredjeländer."
"If the European Parliament had to vote today on the Passenger Name Record (PNR) agreement, we would have no other option but to vote no.", "Om Europaparlamentet skulle behöva rösta i dag om avtalet om passageraruppgifter (PNR-uppgifter), skulle vi inte ha något annat alternativ än att rösta nej."
"Name calling, scaremongering and creeping bureaucracy is calculated and megalomaniac.", "Smutskastande, panikspridande och smygande byråkrati är beräknande och dessutom storhetsvansinne."
"I have allowed you a procedural motion in which you have also digressed and indulged in name-calling.", "Jag beviljade er en ordningsfråga och även ni har brett ut er och använt adjektiv."
"If we are to resolve this situation we need less name-calling and a more coherent approach.", "Om vi skall kunna lösa denna situation måste vi ägna oss mindre åt utskällningar och mer åt att åstadkomma ett sammanhängande tillvägagångssätt."
"My master is calling your name now, my girl.", "Min mästare ropar på dig, min flicka."
"I will not reciprocate by name calling and hurling insults, but I think she is the one who is unfit to sit in this House.", "Jag skall därför inte returnera tillmälena och förolämpningarna, men jag anser att det är hon som inte är värdig att sitta i den här kammaren."
"By dismissing the name issue, calling it 'comical' for instance, we become bad advisers to FYROM and we do not serve its cause.", "Genom att avfärda namnfrågan och till exempel kalla den för ”komisk” blir vi dåliga rådgivare till Makedonien och vi tjänar inte landets syfte."
"This is not a time for the European Parliament to indulge in name-calling or finger-pointing, but it is a time for learning from our mistakes and making better decisions in the future.", "Detta är inte rätt tid för Europaparlamentet att skälla ut någon eller peka finger. Det är tid att lära av våra misstag och att fatta bättre beslut i framtiden."
"more_vert open_in_new Link to statmt.org warning Request revision South Africa and Namibia will decide on their participation in the next day.", "expand_more Sydafrika och Namibia kommer att fatta beslut om sin anslutning dagen därpå."
"more_vert open_in_new Link to statmt.org warning Request revision Sydafrika och Namibia kommer att fatta beslut om sin anslutning dagen därpå.", "expand_more South Africa and Namibia will decide on their participation in the next day."
"Namibia's President made his appeal to cleanse his country, as he said, of homosexuals, on 19 March.", "Namibias president uppmanade till att, som han uttryckte det, rensa landet från homosexuella den 19 mars."
"Namibia' s President made his appeal to cleanse his country, as he said, of homosexuals, on 19 March.", "Namibias president uppmanade till att, som han uttryckte det, rensa landet från homosexuella den 19 mars."
"Namibia should be our model if we really want to help the third world.", "Låt oss sluta upp med att exploatera dessa fattiga länder och uppmuntra dem att modernisera sina industrier."
"Mr President, as Mr Swiebel asserted a moment ago, the statements by the Namibian President, Sam Nujoma, regarding homosexuals in Namibia, are nothing short of a witch-hunt.", "Herr talman! Uttalandena från den namibiska presidenten Sam Nujoma faller, som kollega Swiebel redan har sagt, under kategorin häxjakt."
"Moreover, we should not forget that no such animal welfare guarantees have ever been made for the commercial seal hunts elsewhere in the world, such as Russia and Namibia.", "Vi får heller inte glömma att sådana djurskyddsgarantier aldrig har getts beträffande kommersiell säljakt på andra håll i världen, t.ex. i Ryssland och Namibien."
"Nanomaterials will be looked at specifically in future reviews of restrictions.", "Nanomaterial kommer att undersökas specifikt i framtida översyner av begränsningar."
"This is also apparent now with regard to nanomaterials and electromagnetic fields.", "Det märker vi även nu när det gäller nanomaterial och elektromagnetiska fält."
"Materials made of particles which measure less than 10-9 m are called nanomaterials.", "Material som består av partiklar som är mindre än 10-9 m kallas nanopartiklar."
"She wanted to support clear labelling of products about the content of nanomaterials.", "Hon ville stödja en tydlig märkning av produkterna i fråga om halten av nanomaterial."
"All the indications are that unstable nanomaterials do not harm living organisms.", "Alla indikationer tyder på att fria nanomaterial inte är skadliga för levande organismer."
"When we think, for example, of nanomaterials, that appears very urgent.", "När vi exempelvis tänker på nanomaterial förefaller det vara mycket brådskande."
"We would also like to make the following declarations as regards nanomaterials.", "Vi vill också göra följande uttalanden när det gäller nanomaterial."
"I am referring here to the use of nanomaterials, so frequently mentioned here.", "Jag syftar på användningen av nanomaterial, som så ofta nämns här."
"Some nanomaterials come with clear instructions stating that they are damaging to health.", "Vissa nanomaterial levereras med tydliga instruktioner som säger att de är hälsofarliga."
"It is as though the industry has tried to stifle the debate on the safety of nanomaterials.", "Det är som om branschen har försökt att kväva diskussionen om nanomaterialens säkerhet."
"Mr President, this amendment concerns labelling products that contain nanomaterials.", "Herr talman! Det här ändringsförslaget gäller märkning av produkter som innehåller nanomaterial."
"However, the most important thing is that nanomaterials have at last been included.", "Det viktigaste är emellertid att nanomaterial äntligen ingår."
"Nanomaterials can also be hazardous for people and the environment during the recycling process.", "Nanomaterial kan också vara farliga för människor och miljön under återvinningsprocessen."
"The use of nanomaterials has forced us to address the issue again.", "Användningen av nanomaterial har tvingat oss att ta upp frågan igen."
"The biggest stumbling block in the negotiations with the Council was precisely nanomaterials.", "Under förhandlingarna med rådet är det just nanomaterial som har varit den främsta stötestenen."
"I would just like to clarify that these must be stable nanomaterials.", "Jag vill bara förtydliga att det måste vara fasta nanomaterial."
"These are nanomaterials obtained with 'top-down' technology and the use of high-energy attrition.", "Dessa nanomaterial skapas med hjälp av ”top-down”-teknik och användning av kraftig attrition."
"The Commission notes that work towards a common definition of nanomaterials is still evolving.", "Kommissionen konstaterar att arbetet på en gemensam definition av nanomaterial fortfarande pågår."
"Therefore, I am calling on the Commission to subject nanomaterials to a detailed investigation.", "Därför uppmanar jag kommissionen att granska nanomaterial noga."
"More knowledge and information must be obtained on nanomaterials.", "Mer kunskap och information måste tas fram om nanomaterial."
"Nanotubes may behave in the human body in a manner similar to asbestos fibres.", "Nanotuber kan påverka människokroppen på ungefär samma sätt som asbestfibrer."
"(Laughter) Well, Bob Russell was telling us about his work on nanotubes in his research at the microscopic level.", "(Skratt) Nåja, Bob Russell berättade om sitt arbete med nano-rör i hans forskning på mikroskopisk nivå."
"In the 90's carbon nanotubes was discovered, which is a molecule in the form of a cylinder whose diameter is not more than one nanometer.", "På 90-talet upptäcktes kolnanorör som är en molekyl i form av en cylinder vars diameter inte är större är en nanometer."
"Within the category of nanostructured materials, made of pure carbon, is in addition to the graphene, also "fullerene" and "carbon nanotubes" included.", "I ”familjen” nanostrukturerade material gjorda av rent kol ingår, förutom grafen, även ”fulleren” och ”kolnanorör”."
"Nanotubes are capable of destroying mitochondrial DNA, while nanoparticles on the skin can migrate to the brain and the lymph nodes and damage our bodies.", "Nanotuber kan förstöra mitokondriellt DNA och nanopartiklar på huden kan migrera till hjärnan och lymfnoder och skada vår kropp."
"more_vert open_in_new Link to European Parliament warning Request revision I hope, then, that the Naples Ministerial Conference is a success.", "expand_more Jag hoppas således att ministerkonferensen i Neapel blir en framgång."
"Mr Fischer said: ‘ I am leaving Naples more concerned than when I arrived’.", "Dominique de Villepin sade: ” Jag kommer inte att godta urvattnade kompromisser. ”"
"I looked at the Border Security element of the Italian Coastguard in the Bay of Naples.", "I Neapels hamn tittade jag på den italienska kustbevakningens gränssäkring."
"The Naples agreement is an important step along the way towards a broad European safety policy.", "Neapelöverenskommelsen är ett viktigt steg på vägen mot en bred europeisk säkerhetspolitik."
"Manual feed and Naples clamp for precision setting of specimens.", "Manuell matning och klämma för exakt inställning av prov."
"- it is not clear whether the Naples Conclave will result in the idea of one Commissioner per Member State.", "– Det är inte klart om Neapelkonklaven kommer att resultera i idén om en kommissionär per medlemsstat."
"I saw the beautiful Gulf of Naples, Vesuvius and Mergellina.", "Jag såg den vackra bukten, Vesuvius, Margellina."
"One newspaper wrote that the enemies in the land today are the people who sullied Naples' good reputation in the world.", "En tidning skrev att landets fiender i dag är de människor som har svärtat ned Neapels goda rykte i världen."
"(DE) Madam President, ladies and gentlemen, the waste crisis in the urban area of Naples has now been going on for a full 14 years.", "(DE) Fru talman, mina damer och herrar! Avfallskrisen i Neapels stadsområden har nu pågått i hela 14 år."
"Seventh, the extension of the Brenner project from Munich to Verona, as far as Naples, adding the Bologna-Milan line.", "Det sjunde projektet handlar om att utöka Brennerprojektet, från München till Napoli, och lägga till sträckan Bologna-Milano."
"With regard to the five or six points on which agreement was more or less reached in Naples, I should like to hear what the Irish Presidency has to say.", "Det krävs dock att några EU-regeringar avlägsnar sig från till synes inrotade politiska ståndpunkter."
"– Mr President, Mr President-in-Office of the Council, Mr President of the Commission, I am going to read some statements made after Naples.", "Kommissionär de Palacio sade: ” Det är tydligt att bara en minoritet av staterna stöder Giscard d ’ Estaings projekt. ”"
"In Naples, our Foreign Ministers managed to move closer to agreement only by moving further away from the Convention text.", "Konventets utvidgning av medbeslutandet till att omfatta budgetfrågor skulle ha ökat ansvarsskyldigheten och öppenheten inom Europeiska unionen."
"I would like to point out that we have made progress on a number of fronts, which will be evaluated in Naples, and on which further progress will have to be built.", "Låt mig avslutningsvis säga att den interkulturella dialogen måste spela en särskild roll när det gäller hela denna idé."
"The Naples urban area has for years been living in a continuous waste crisis, which to a great extent is the result of 20 years of administration by the left.", "I Neapels tätortsområde har man under många år levt i en ständig avfallskris, vilken i stor utsträckning är resultatet av 20 års vänsterstyre."
"I am very pleased that we are close to agreement and I hope that agreement can also be reached at the Naples conference on the location of the Foundation.", "Jag är mycket glad att vi är nära en överenskommelse och jag hoppas att vi under Neapelkonferensen även kan komma överens om var vi skall placera stiftelsen."
"What we need is for the people of Campania and Naples to be brave and vote to replace their incompetent officials, as has already happened at regional level.", "Kampaniens och Neapels befolkning måste nu vara modig och rösta för att deras inkompetenta tjänstemän ersätts, något som redan har skett på regional nivå."
"This morning, both the Council Presidency and the Commission’ s speeches were more specific and took a harder line: could it be that they are indicative of what will happen in Naples?", "Ett Europa med musselsås eller en mer eller mindre napolitansk pizza som kommer att serveras den europeiska allmänheten nästa år?"
"For example, if you're targeting customers located in New York, but a customer searches for "Chicago pizza" or "Naples pizza," your ad won't appear for these keywords.", "Om du exempelvis inriktar dig på kunder i Stockholm men en kund söker efter "pizzeria Göteborg" eller "pizzeria Malmö" visas inte din annons för de sökorden."
"To say that northern Italy is responsible, or even - as my fellow Member said - that waste from the north can today be found on the streets of Naples is simply untrue.", "Att säga att norra Italien är ansvarigt, eller till och med - som min kollega sade - att avfall från norr idag kan återfinnas på Neapels gator, är helt enkelt inte sant."
"The Italian Government needs to be commended for accelerating the pace of these negotiations, and the holding of this recent meeting in Naples was a very timely one.", "Mot bakgrund av den anda av samarbete och beslutsamhet som just nu råder tror jag att en överenskommelse kan nås vid det kommande mötet mellan ledarna för EU: s regeringar."
"Under Napoleon, the French took the first mosasaur head, which is now in Paris.", "Exempelvis tog fransmännen under Napoleon med sig det första maasödlehuvudet, och det finns nu i Paris."
"This derogation is a remnant from the regime of the Emperor Napoleon I – who hailed from that island – from 1811.", "Detta undantag är en kvarleva från 1811 och systemet under Napoleon, som kom från ön."
"You know what Napoleon give to Josephine when he win Bavaria?", "Vet du vad Napoleon gav Josefin när han erövrat Bulgarien?"
"You know what Napoleon gave Josephine as a wedding present?", "Vet du vad Napoleon gav Josefin i bröllopspresent?"
". - Napoleon told us that we should let China sleep, for when she wakes, she will shake the world.", "skriftlig. - (EN) Napoleon sa till oss att vi skulle låta Kina sova, för Kinas uppvaknande kommer att bli omtumlande för världen."
"You know what saved Napoleon's life?", "Vet du vad som räddade hans liv?"
"We only need to think of Lord Elgin or Napoleon, who both believed in the 'finders keepers' rule of thumb.", "Vi behöver bara tänka på Lord Elgin eller på Napoleon, som båda menade att det man hittade hade man rätt att behålla och ta med sig till sitt eget land."
"We only need to think of Lord Elgin or Napoleon, who both believed in the 'finders keepers ' rule of thumb.", "Vi behöver bara tänka på Lord Elgin eller på Napoleon, som båda menade att det man hittade hade man rätt att behålla och ta med sig till sitt eget land."
"It isn't Napoleon brandy.", "Napoleonkonjak är det inte."
"Mr President, Mr Winkler, Mr Barroso, a strategy without resources is like Napoleon without an army: powerless and ultimately useless.", "– Herr talman, herr Winkler, herr Barroso! En strategi utan resurser är som Napoleon utan armé: kraftlös och i slutändan värdelös."
"Finally, I wish to beg your indulgence, Prime Minister, for next year is the two hundredth anniversary of Napoleon I's Spanish campaign.", "Slutligen vill jag be om ert överseende, herr premiärminister, eftersom vi nästa år firar 200-årsjubileet av Napoleons fälttåg i Spanien."
"There is a form of exaggerated nationalism: everyone attempts to be a small-scale Napoleon III and have a Mexican adventure so that the problems of their country are forgotten.", "Det finns ett slags överdriven nationalism: alla försöker att vara Napoleon III i liten skala och ha ett mexikanskt äventyr så att deras lands problem glöms bort."
"We are pleased that so many of the views expressed on issues such as bush meat, Napoleon fish, minke whale and ramin, are in accordance with the Community consensus.", "Det gläder oss att så många av de åsikter som kommit till uttryck i sådana frågor som bushmeat, napoleonfisk, vikval och raminträd överensstämmer med den enighet som råder inom gemenskapen."
"You will know that the real name of the Countess of Ségur was Sophie Rostopchine - yes, Rostopchine - and that her father was the man who put a stop to Emperor Napoleon's incursion into Russia.", "Ni vet säkert att grevinnan av Ségurs verkliga namn var Sophie Rostopchine - ja, Rostopchine - och att hennes far var den man som stoppade kejsar Napoleons fälttåg in i Ryssland."
"In the Czech Republic we now have fewer cattle than we had after the Napoleonic wars.", "I Tjeckien har vi numera färre nötkreatur än vi hade efter Napoleonkrigen."
"I am from an era that was shaped by the Vienna Congress at the end of the Napoleonic Wars.", "Jag härstammar från en tid som formats av Wienkongressen i slutet av Napoleonkrigen."
"Equally, we have not experienced the Napoleonic Code imposed throughout much of Europe 200 years ago.", "Storbritannien har heller inte någon erfarenhet av den Napoleonkod som införlivades i större delen av Europa för 200 år sedan."
"Mr President, those countries used to Roman and Napoleonic law have to accept that the state governs their lives, but in Britain any such idea is an abomination.", "Våra skyddsåtgärder mot statens alla försök att ingripa i friheter och rättigheter går tillbaka hundratals år och skyddas av sedvanerätt och lagar."
"I am not proposing a kind of Napoleonic code with regard to EU law, but rather permanent codification, which I feel will not be difficult, as I said before, in this era of IT.", "Vad jag förslår är inte en EU-lag i Napoleons anda, men en permanent kodifiering, vilket jag inte tror blir svårt att ordna i, som sagt, denna IT-era."
"Mr President, those countries used to Roman and Napoleonic law have to accept that the state governs their lives, but in Britain any such idea is an abomination.", "– Herr talman! De länder som är vana vid romersk och napoleonsk rätt måste godta att staten styr deras liv, men i Storbritannien är alla sådana idéer en styggelse."
