//Sentences
"They call for research and better practice in the care of age-related diseases.", "De efterlyser också forskning och en bättre praxis i fråga om vård av åldersbetingade sjukdomar."
"This is how Lisa Björklund Boistrup describes the action research about assessment and feedback that she is leading.", "Så beskriver Lisa Björklund Boistrup, aktionsforskningen kring bedömning och återkoppling hon leder."
"We can even observe how pupils who are nearby are positively influenced,” explains Björklund Boistrup in relation to her own research results.", "Man kan till och med se hur eleverna i närheten påverkas positivt, berättar Lisa Björklund Boistrup om sina egna forskningsresultat."
"Deputy Prime Minister and Minister for Education Jan Björklund (Liberal) visited Bergsskolan yesterday along with some of his party colleagues.", "Vice statsministern och utbildningsministern Jan Björklund (FP) gästade Bergsskolan i går tillsammans med några av sina partikamrater."
"The crisis is the result of bad decisions made as part of a bad policy.", "Krisen är ett resultat av dåliga beslut som fattats som en del av en dålig politik."
"As you know, political decision-makers who are badly informed make bad judgments and take bad decisions.", "Som ni vet kommer dåligt informerade politiska beslutsfattare att göra dåliga bedömningar och fatta dåliga beslut."
"The banks which had problems are the banks which simply made bad commercial decisions, as was the case, for example, with the Royal Bank of Scotland.", "De banker som fick problem är de som helt enkelt tog dåliga affärsbeslut, vilket exempelvis var fallet med Royal Bank of Scotland."
"However, this solution also needs to quickly lead to a breakthrough based on the fact that it is pointless to insist on bad decisions that damage the environment.", "Denna lösning måste dock snabbt leda till ett genombrott grundat på det faktum att det inte tjänar något till att hålla fast vid dåliga beslut som skadar miljön."
"But we must also warn - and you understand this perfectly - that bad decisions regarding monetary policy may harm growth and prevent the economic recuperation which has started.", "Men vi måste också säga - och ni vet det mycket väl - att några felaktiga penningpolitiska beslut kan skada tillväxten och hindra en påbörjad återhämtningen av ekonomin."
"Commissioner, this crisis has not been caused by any kind of natural disaster, tsunami or other similar event, but by a series of bad decisions and a basically failed agricultural policy.", "Denna kris har inte orsakats av en naturkatastrof, en tsunami eller liknande händelse, utan genom en rad dåliga beslut och en i grunden misslyckad jordbrukspolitik."
"As the Austrian economist, Ludwig von Mises said, if you make those bad decisions and create malinvestment, when the market corrects itself, everyone loses out and the credit cycle bursts.", "Den österrikiske ekonomen Ludwig von Mises sade att om man fattar dåliga beslut och gör felinvesteringar, så förlorar alla och kreditcykeln brister när marknaden justerar sig själv."
"Based on the results of this dialogue, common actions will be defined.", "Gemensamma handlingar kommer att definieras utifrån resultaten av denna dialog."
"It then plans to adopt a communication based on the results of this.", "Kommissionen planerar sedan att anta ett meddelande utifrån resultaten av detta."
"This means that the action proposed will be based on scientific results.", "Det innebär att den handlingsplan som föreslås kommer att grundas på vetenskapliga resultat."
"Those initiatives are based on the results of the consultation launched with the green paper of 2004.", "Initiativen baseras på resultaten av det samråd som inleddes med grönboken 2004."
"The conference will be based on the results of the EU-financed project on Welfare Quality.", "Konferensen kommer att inriktas på slutresultaten av det EU-finansierade projektet Welfare Quality."
"What are the criteria governing the selection, monitoring and evaluation system based on impact results and indicators?", "Vilka kriterier gäller för systemet med val, övervakning och utvärdering på basis av indikatorer för verksamhetens effektivitet och resultat?"
"The reports that technology students write are often based on the results of laboratory practicals; discursive texts are more rare.", "De rapporter som teknologstudenterna skriver utgår oftast från resultaten av praktiska laborationer, resonerande texter är mer sällsynta."
"based on the results", "på basis av resultaten"
"The Commission is opening the interinstitutional debate and based on the results of that debate we will present formal proposals.", "Kommissionen inleder den interinstitutionella debatten, och med utgångspunkt från resultaten från denna debatt kommer vi att lägga fram formella förslag."
"The Commission's proposal is based on the results of the dialogue launched in the first half of 2008 with the five countries of the Western Balkans.", "Kommissionens förslag grundas på resultaten av den dialog som inleddes under första hälften av 2008 med de fem länderna på västra Balkan."
"The Member States would then, based on research results, be able to harmonise their levies, and give accountability to environmental damage.", "Då kommer medlemsstaterna att kunna harmonisera sina skatter med utgångspunkt från forskningsresultaten samt kunna införa ansvarsskyldighet för miljöskador."
"Based on the results of the impact assessment, the Commission submitted a policy proposal last year based on the 'principle of due diligence'.", "På grundval av resultaten av konsekvensbedömningen lade kommissionen i fjol fram ett förslag till handlingsprogram baserat på ”principen om tillbörlig aktsamhet”."
"We are all agreed that it requires certain changes, but these should be based on the results of thorough research, and not on industry or trade lobbying.", "Vi är alla överens om att vissa förändringar är nödvändiga, men de bör bygga på resultat från grundlig forskning, och inte på industrin eller handelns lobbygrupper."
"Based on the results achieved by the troika so far, I hope that the Swedish Presidency will at least focus greater attention than before on Roma issues.", "Med tanke på de resultat trojkan hittills har uppnått, hoppas jag att det svenska ordförandeskapet åtminstone ska ägna mer uppmärksamhet än tidigare åt romerfrågorna."
"In addition, based on the results of a study funded by Parliament, we are preparing a communication on strengthening support for SMEs in third-country markets.", "Utifrån en studie som finansieras av Europaparlamentet förbereder vi också ett meddelande om ökat stöd till små och medelstora företag på marknader i tredjeländer."
"Organ Acusticum at Luleå University of Technology is based on previous results in research and artistic development, but also stakes out new paths for the future.", "Orgel Acusticum vid Luleå tekniska universitet bygger på tidigare resultat i forskning och konstnärligt utvecklingsarbete men stakar också ut nya vägar för framtiden."
"I realise that decommissioning is a huge task, but I can clearly explain the basis for the Commission’ s proposal: it was based on the results of the accession negotiations.", "Konkurrensfrågor kommer definitivt inte att uteslutas från debatten, för det är mycket viktigt att veta vilka stödsystem vi erbjuder för andra typer av energi."
"You can expect a large number of Commission proposals from about September this year, based on the results of the measurements and the screening of all the existing rules.", "Ni kan räkna med ett stort antal förslag från kommissionen ungefär från och med september i år med utgångspunkt i resultatet av mätningarna och genomgången av alla befintliga regler."
"I realise that decommissioning is a huge task, but I can clearly explain the basis for the Commission’s proposal: it was based on the results of the accession negotiations.", "Jag inser att avvecklingen är en ofantlig uppgift, men jag kan klart och tydligt förklara grunderna till kommissionens förslag: det är baserat på anslutningsförhandlingarnas resultat."
"I would stress that the proposal is based on the results of independent studies on the risks of azocolourants and of the costs, benefits and trade effects of the proposed restrictions.", "Jag vill understryka att förslaget grundas på resultaten av oberoende studier om risker med azufärger och om kostnader, fördelar och handelseffekter av de föreslagna restriktionerna."
"The conference was held on the basis of a needs assessment conducted by the OSCE.", "Konferensen hölls mot bakgrund av en uppskattning av behoven som gjorts av OSSE."
"On August 16, 2012 TräCentrum North conducted a workshop in the project TimberNav.", "Den 16 augusti 2012 genomförde TräCentrum Norr en workshop i projektet TimberNav."
"I think that we have conducted and we are continuing to conduct a wise policy.", "Enligt min uppfattning har vi drivit, och driver fortfarande, en sund politik."
"The European operations conducted in Bosnia, Macedonia and Congo have shown this.", "Det har de europeiska operationer som utförs i Bosnien, Makedonien och Kongo visat."
"It is a disgrace to democracy that the vote should be conducted in this way.", "Det är en skymf mot demokratin att omröstningen skall skötas på det här sättet."
"In 2005, the Commission conducted an enquiry financed under the Daphne programme.", "År 2005 gjorde kommissionen en undersökning som finansierades genom Daphneprogrammet."
"The setting of priorities will be conducted on an informed and coherent basis.", "Fastställandet av prioriteringar kommer att ske på en initierad och enhetligt grund."
"My third group of points relates to how macroeconomic surveillance is conducted.", "Min tredje punkt handlar om hur den makroekonomiska övervakningen bedrivs."
"I hope that, in future, assessments are conducted by a committee of experts.", "Jag hoppas att det kommer att genomföras bedömningar av en expertkommitté framöver."
"If the elections are not conducted fairly, European aid will need to be postponed.", "Om valet verkligen inte går rättvist till så måste det europeiska biståndet upphävas."
"Above all, however, it is also being conducted to the detriment of wages.", "Framför allt förs den emellertid också på ett sätt som hämmar löneutvecklingen."
"Feasibility studies will be conducted in those areas regarded as having priority.", "Genomförbarhetsstudier kommer att genomföras på de områden som anses vara prioriterade."
"No one tried to make sure that the election campaign was conducted properly.", "Ingen har sökt göra gällande att valrörelsen har uppfyllt rimliga anständighetskrav."
"The way they were conducted was no way for us to conduct such important negotiations.", "De leddes på ett sätt som vi inte borde leda sådana viktiga förhandlingar på."
"Such negotiations cannot be conducted unless the facts are indeed mentioned.", "Dessa förhandlingar kan inte föras om inte sakuppgifterna verkligen påtalas."
"This is not a debate that should be conducted in camera, as we are doing this evening.", "Detta är inte en debatt som bör hållas inom stängda dörrar, som sker i kväll."
"The selection procedure was conducted on the basis of financial and technical criteria.", "Urvalsförfarandet utfördes på grundval av ekonomiska och tekniska urvalskriterier."
"We are, of course, conducting a debate that we should have conducted two months ago.", "Vi för naturligtvis en debatt, som vi skulle ha fört för två månader sedan."
"The same debate was conducted then, and it did not actually lead to anything.", "Samma diskussion fördes då, och den utmynnade egentligen inte i någonting."
"I completely agree with Mr Caspary that our negotiations should be conducted quickly.", "Jag håller helt och hållet med Daniel Caspary om att vi ska ha snabba förhandlingar."
"In the last 20 years, developmental science has completely overturned that picture.", "Under de senaste 20 åren har utvecklingspsykologin helt ställt denna bild på ända."
"I would have preferred the entire folly of that waste to have been overturned.", "Jag skulle föredra att man satte stopp för hela galenskapen att slösa pengar på sådant."
"However, paragraph 36 says that the current balance must not be overturned.", "Emellertid säger man i trettiosjätte stycket att den aktuella balansen inte får rubbas."
"So many of those more positive measures have, sadly, been overturned by the other groups.", "Många av dessa mer positiva åtgärder omintetgjordes tyvärr av andra grupper."
"None of the subsequent evidence or analysis has overturned that original assessment.", "Denna första bedömning har inte ändrats av senare bevis eller analyser."
"These five Cuban patriots must be released and their convictions overturned.", "Dessa fem kubanska patrioter måste försättas på fri fot och domarna mot dem måste upphävas."
"Just as Mr Wolf affirmed, it would have been a scandal if this report had been overturned here.", "Precis som Wolf sade, hade det varit skandal om betänkandet hade förkastats här."
"The international rules of maritime law cannot suddenly be overturned.", "Det är inte möjligt att i dag vända upp och ned på de internationella reglerna för havsrätt."
"However, an appeal brought before the Court of Justice overturned the original judgment.", "När förstainstansrättens dom överklagades till EG-domstolen ändrades dock det ursprungliga utslaget."
"It only works if there is a proposal, and then it is overturned.", "Den fungerar bara om det finns ett förslag, och då förkastas det."
"There is therefore a formal requirement there in the legislation, and this cannot be overturned.", "Det är då ett formkrav som finns kvar i lagstiftningen, och det kan man således inte kullkasta."
"Count Olaf vanished after a jury of his peers overturned his sentence.", "Greve Olaf försvann efter att en jury ändrat hans straff."
"Such a decision will only serve the interests of those who want to see the Kyoto Protocol overturned.", "Ett sådant beslut kan bara vara till nytta för dem som vill se att Kyoto-protokollet kapsejsar."
"There are certainly other regimes that we would like to see overturned!", "Och det finns andra som vi gärna skulle vilja störta!"
"In other words, one of the fundamental principles of criminal procedure is being completely overturned.", "En av de grundläggande principerna för brottmålsförfaranden upphävs med andra ord fullständigt."
"This is nothing short of scandalous and must be overturned.", "Detta är ingenting mindre än skandalöst och måste bestridas."
"But the committee decisively overturned the copper amendments, which have been resubmitted to plenary.", "Men utskottet har beslutsamt stjälpt omkull ändringsförslagen om koppar, som åter har framlagts i plenum."
"4) the UK overturned the Nuclear Inspectorate's ban on transport of nuclear material to Dounreay.", "4) Förenade kungariket omkullkastade kärninspektionens förbud mot att transportera kärnmaterial till Dounreay."
"– Mr President, the post-war balances reflected institutionally in the UN have now been overturned.", "– Herr talman! Efterkrigstidens balans som har återspeglats institutionellt inom FN har nu kullkastats."
"It seems to me that whatever representation is made is overturned, overlooked and never given any credence.", "Det syns mig som om alla framställningar som görs ändras, förbises, och aldrig får någon trovärdighet."
"The strategy for growth and jobs which has been in operation since 2005 is bearing fruit.", "Strategin för tillväxt och sysselsättning som tillämpas sedan 2005 bär frukt."
"It is encouraging to see, Mr President, that precisely this critical stance is bearing fruit.", "Det är uppmuntrande att se, herr talman, att just denna kritiska hållning bär frukt."
"Commission President Barroso has just told us that the Lisbon Strategy is bearing fruit.", "Kommissionsordförande José Manuel Barroso har just berättat att Lissabonstrategin ger resultat."
"We can indeed see that the simplifications made are bearing fruit.", "Vi kan mycket riktigt se att de förenklingar som gjorts ger resultat."
"These efforts are bearing initial fruit but we can all see that this situation is extremely fragile.", "De är på väg att ge de första effekterna, men vi kan alla se att de är ytterst sköra."
"Whilst counterfeiting rates remain high, measures taken to combat forgery are bearing fruit.", "Medan antalet förfalskningar förblir stort håller åtgärderna för att bekämpa falskmynteri på att bära frukt."
"It has been hard work, but it is already bearing fruit.", "Det har inneburit hårt arbete, men det har redan gett resultat."
"It is therefore a question of building on what has been achieved by the reforms, which are already bearing fruit.", "Det är därför en fråga om att bygga på det som har uppnåtts genom reformerna, vilka redan bär frukt."
"This shows how the work of the media is bearing fruit.", "Detta visar hur mediernas arbete bär frukt."
"Obviously, the positive outcome of the conciliation is already bearing fruit, even before entering into force.", "Uppenbarligen har det goda förhandlingsresultatet mellan rådet och parlamentet givit effekter redan innan det realiserats."
"After two years of underspending in 2002 and 2001, the measures taken to speed up the programmes' closure are bearing fruit.", "Efter två år av underutnyttjande, 2002 och 2001, bär åtgärderna för att påskynda avslutningen av programmen frukt."
"After two years of underspending in 2002 and 2001, the measures taken to speed up the programmes ' closure are bearing fruit.", "Efter två år av underutnyttjande, 2002 och 2001, bär åtgärderna för att påskynda avslutningen av programmen frukt."
"Lisbon is therefore bearing fruit.", "Därför bär Lissabonstrategin frukt."
"I have noticed that these evaluations are gradually bearing fruit, in particular the new programmes for the period 2000-2006.", "Denna utveckling börjar så smått ge resultat, vilket jag bl.a. kan konstatera i fråga om de nya programmen för perioden 2000-2006."
"The results are now bearing fruit.", "Nu börjar detta bära frukt."
"Secondly, market-based mechanisms are a success and the Community emission allowance trading scheme appears to already be bearing fruit.", "För det andra är marknadsbaserade mekanismer en framgång, och gemenskapens system för handel med utsläppsrätter bär redan frukt."
"It is unclear how long it will take before all the institutional arrangements are in place and new rules start bearing their fruit.", "Det är osäkert hur lång tid det kommer att ta innan alla institutionella avtal är på plats och de nya bestämmelserna börjar ge resultat."
"Sustainable Energy Week is a good example of how the Commission policy of promoting energy efficiency and renewables is bearing fruit.", "EU-veckan för hållbar energi är ett gott exempel på hur kommissionens politik för att främja energieffektivitet och hållbar energi ger resultat."
"- (FI) Madam President, the initiative by the Social Democrats to set up the Temporary Committee on Climate Change in spring 2007 is now bearing fruit.", "- (FI) Fru talman! Socialdemokraternas initiativ att inrätta det tillfälliga utskottet för klimatförändringar våren 2007 bär nu frukt."
"I am delighted to see that the Commission's commitment to a leaner and fitter regulatory system at single market level is now bearing fruit in the VAT sector too.", "Det gläder mig att kommissionens strävanden efter en snävare lagstiftning på den inre marknaden nu även genomförs i fråga om mervärdesskatten."
"It is now becoming increasingly obvious how important it is that we tackle many of these issues.", "Det blir nu mer och mer uppenbart hur viktigt det är att vi tar itu med många av dessa frågor."
"We all know about the economic benefits of the single market, which are becoming increasingly obvious.", "Alla känner vi till de ekonomiska fördelarna med den inre marknaden. De blir alltmer uppenbara."
"That is becoming ever more obvious.", "Att Opel-affären är rent lurendrejeri framgår allt tydligare."
"The depletion of the ozone layer is becoming more and more obvious.", "Uttunningen av ozonskiktet blir alltmer märkbar."
"This is becoming a more obvious example of how much attention is actually lacking.", "Detta blir alltså ytterligare ett klart exempel på hur bristfälligt intresset är i verkligheten när det gäller konkreta åtgärder."
"This year, the problems which were already becoming obvious in Heading 3, ‘Internal Actions’, have finally come to a head.", "I år har de redan uppenbara problemen i utgiftskategori 3, ”Inre politik”, slutligen tillspetsats."
"That much is gradually becoming obvious.", "Det har vart efter blivit tydligt."
"The second, which is becoming ever more obvious, is that the European Union needs to unify and coordinate its own policies for those areas.", "Den andra är det allt mer uppenbara behovet av en enhetlig och samordnad stadspolitik inom Europeiska unionen."
"However environmental threats and climate change deem that it is becoming obvious to increasing numbers of people that we cannot be so narrow-minded and self-interested.", "Men med miljöhot och klimatförändringar blir det uppenbart för allt fler att vi inte kan vara så snävsynta och egennyttiga."
"I can understand why, but at the same time the question is becoming more and more obvious: can the Commission still take responsibility for its own areas of competence?", "Jag förstår varför, men samtidigt framstår frågan allt tydligare: kan kommissionen då bära ansvaret för det egna ansvarsområdet?"
"This year, the problems which were already becoming obvious in Heading 3, ‘ Internal Actions’, have finally come to a head.", "Jag tror att politikerna kan finna fler lösningar på de problem som vårt samhälle står inför än vad räkenskapsförare kan göra – och det säger jag med all respekt för räkenskapsförare."
"Although many would not admit it, I am afraid it is becoming obvious that our world's climate is changing, and it is not necessary to subscribe to the theory of alarmism to see this.", "Även om många inte vill medge det, så är det uppenbart att klimatet i denna vår värld nu håller på att förändras, och detta utan att man behöver ägna sig åt katastrofscenarier."
"Moreover, the need for support for trade policies is becoming more obvious every day, and such support depends, in particular, on the policies implemented by the Union being genuinely consistent.", "Behovet av stöd för handelspolitiken blir också tydligare för varje dag som går, och sådant stöd är särskilt avhängigt av att EU:s genomförda politik verkligen är konsekvent."
"Little by little, women who had been forced into prostitution spoke out publicly.", "Gradvis började kvinnor som tvingats in i prostitution att berätta offentligt."
"In the wake of September 11 much oppressive legislation has been forced through.", "I kölvattnet efter den 11 september har mycket förtryckande lagstiftning drivits igenom."
"We do not want any products that have been made by forced or slave labour!", "Vi vill inte ha några varor som har producerats genom tvångsarbete eller slavarbete!"
"They have been forced off their islands to live in exile in other places.", "De har tvingats bort från sina öar för att leva i exil på andra platser."
"As a result, several thousand people have again been forced to flee their homes.", "Detta tvingar på nytt tusentals människor att fly från sina hem."
"Hundreds of thousands of people have been forced into labour or displaced against their will.", "Hundratusentals människor har fördrivits med våld eller tvingats till tvångsarbete."
"Some of them have had to leave Kosovo and others have been forced to remain silent.", "Vissa har tvingats lämna Kosovo, andra har tvingats till tystnad."
"In the last two years, more than five million people have been forced to leave their homes.", "De senaste två åren har nästan fem miljoner människor blivit tvungna att lämna sina hem."
"Since then, farmers have been forced to produce more and more for ever decreasing rewards.", "Sedan dess är bönder tvungna att hela tiden producera mer till ständigt sjunkande vinster."
"Around 20 000 people living in the outskirts of Harare have been threatened with forced eviction.", "Omkring 20 000 människor som bor i utkanten av Harare hotas av tvångsförflyttningar."
"Ireland has not been forced by anybody to vote a second time on Lisbon.", "Ingen har tvingat Irland till att rösta om fördraget en andra gång."
"In the wake of September 11 much oppressive legislation has been forced through.", "När det gäller frågan om PNR-uppgifter är det ytterst viktigt att medborgarna har rätt till uppgiftsskydd."
"Close on 200,000 innocent people have been forced to flee, and Dagestan is being ever more destabilised.", "Närmare 200 000 oskyldiga har drivits på flykt, och Dagestan destabiliseras alltmer."
"Ever since, the Commission and Council have been forced to take the European Parliament seriously.", "Ända sedan dess har kommissionen och rådet varit tvungna att ta Europaparlamentet på allvar."
"The European Parliament has been forced to severely curtail the possibilities of military use.", "Europaparlamentet har tvingats att allvarligt begränsa möjligheterna till militära tillämpningar."
"In some cases they have been forced to give way to wishy-washy, colourless and insipid compromises.", "I vissa fall har de tvingats ge vika för urvattnade, färglösa och intetsägande kompromisser."
"More than 1 million people have been forced to flee, either inside their own country or across the borders.", "Över en miljon människor har tvingats fly, antingen inom landet eller över gränserna."
"Many of these new facilities have been built using forced labour.", "Många av dessa nya etablissemang har byggts genom tvångsarbete."
"It is a situation that we have been forced to sit and watch for years now.", "Det är en situation som vi har tvingats åse i åratal."
"That means half a million Somalis who have been forced to flee their homeland for the sake of survival.", "Det innebär en halv miljon somalier som har tvingats fly från sitt hemland för att överleva."
"Sarah, your suspension from lacrosse for excessive force has been lifted.", "Sarah, din avstängning från lacrosse för onödigt våld, har slutat gälla"
"Four hundred million people have been lifted out of poverty - a remarkable achievement.", "Fyra hundra miljoner människor har lyfts upp ur fattigdom - en anmärkningsvärd prestation."
"After the peat has been lifted the peat bog becomes green again and begins to produce new peat.", "Efter att torven är bruten blir mossen åter grön och börjar producera ny torvmassa."
"People tell me that the ban has been lifted, and that first Germany and then France is resisting.", "Man säger mig att exportförbudet upphävts, men Frankrike gör motstånd, efter Tyskland."
"The blockade, of course, has not been fully lifted, but the situation has improved considerably.", "Blockaden har naturligtvis inte hävts fullständigt men situationen har förbättrats avsevärt."
"Visa restrictions have been loosened and the oil and flight embargo has now been lifted.", "Begränsningarna när det gäller viseringar har lättats och olje- och flygtrafikembargot har nu upphävts."
"We naturally find it unfortunate, I have to say, that the export ban has not been lifted.", "Naturligtvis tycker vi att det är synd, det är lika bra jag säger det, att utförselförbudet inte avskaffats."
"The ban on gatherings and demonstrations has also been lifted, except for several areas in Harare.", "Förbudet mot folksamlingar och demonstrationer har också upphört, förutom i en del områden i Harare."
"The ban on political activities has subsequently been lifted.", "Förbudet mot politisk aktivitet har sedermera upphävts."
"Salman Rushdie's death penalty has not really been lifted.", "Salman Rushdies dödsstraff har egentligen inte upphävts."
"Until that suspicion has been lifted I think the Council has every reason to act as it does.", "Så länge denna misstanke inte eliminerats, tycker jag att det finns all anledning till att rådet handlar som det handlar."
"I am delighted that the one Member State's objection has been lifted to the adoption of the framework decision.", "– Jag är mycket glad att man bortser från en enskild medlemsstats invändning mot att anta rambeslutet."
"The second welcome new element is the ‘toolbox’, intended for countries where an arms embargo has just been lifted.", "Den andra positiva nyheten är ”verktygslådan” för länder där ett vapenembargo just har tagits bort."
"The second welcome new element is the ‘ toolbox’, intended for countries where an arms embargo has just been lifted.", "Det finns återigen ett angeläget behov av åtgärder för att stoppa spridningen av massförstörelsevapen."
"I am delighted that the one Member State's objection has been lifted to the adoption of the framework decision.", "– Jag är mycket glad att man bortser från en enskild medlemsstats invändning mot att anta rambeslutet."
"Libya in particular has a great deal of catching up to do in telecommunications now that the embargo has been lifted.", "Just här finns det, efter att embargot har upphört, mycket att ta igen när det gäller kommunikationen."
"This discrimination has therefore now been lifted.", "Denna diskriminering har nu därför åtgärdats."
"While I cannot say that it will never happen again, I can say that finally the veil of secrecy has been lifted.", "Även om jag inte kan säga att det aldrig mer kommer att inträffa kan jag säga att den döljande slöjan äntligen har lyfts."
"The gauntlet has been well and truly lifted.", "Handsken har plockats upp med besked."
"Secondly, when we were down there two weeks ago, we were told that the sanctions were being lifted, but they have not been lifted.", "För det andra: När vi var nere för fjorton dagar sedan, sade man till oss att sanktionerna hade hävts, men de har inte hävts."
