//Sentences
". - (NL) Has this Parliament really not learnt from its past mistakes?", "skriftlig. - (NL) Har parlamentet verkligen inte lärt av sina tidigare misstag?"
"(NL) Mr President, like my fellow Member, Mr Claeys, I voted against this report.", "(NL) Herr talman! Liksom min kollega Philip Claeys röstade jag emot detta betänkande."
"The junta should also enter into dialogue with the NLD and the ethnic nationalities.", "Juntan måste också inleda en dialog med NLD och med de etniska nationaliteterna."
"Only recently a prominent member of the NLD, 67-year-old Tin Shwe, died in prison.", "Häromsistens dog en av de prominenta NDLmedlemmarna, 67-årige Tin Shwe."
"Military intelligence officers have boasted to me that the NLD is to be crushed.", "Officerare från den militära underrättelsetjänsten har skrutit för mig att NLD skall krossas."
"In the parliamentary elections, the NLD won most of the parliamentary seats.", "I parlamentsvalet vann NLD majoriteten av mandaten i parlamentet."
"Mr President, it is an awkward situation, this tenth anniversary of the elections of the NLD in Burma.", "Herr talman! Det är en otrevlig situation, denna tioårsdag av valet av NLD i Burma."
"We are making strong demands for complete accessibility, with regard to both the NLD and ethnic minorities.", "Vi ställer starka krav på full tillgänglighet, vad gäller både NLD och etniska minoriteter."
"Yesterday, we saw the arrest of 95 members of the NLD and the situation in Burma has become untenable.", "I går bevittnade vi arresteringen av 95 medlemmar av NLD och situation i Burma har blivit ohållbar."
"He says: " the military junta in Burma is terrified of the NLD.", "Han säger: " militärjuntan i Burma är livrädd för NLD."
"In 1990, the NLD (National League for Democracy) won the free parliamentary elections and over 80 % of the seats contested.", "1990 vann NLD (Nationella demokratiförbundet) det fria parlamentsvalet med över 80 procent."
"The regime's hatred of the ethnic groups and for the NLD cannot be checked by appeals to reason or morality.", "Regimens hat mot de etniska grupperna och mot NLD kan inte tyglas genom vädjanden till förnuft eller moral."
"In the last two weeks alone 187 members of the NLD, Aung San Suu Kyi's party, were arrested and imprisoned.", "Bara under de senaste två veckorna har 187 medlemmar av Aung San Suu Kyis parti NLD arresterats och fängslats."
"Several prisoners have been released, attitudes towards the NLD have softened and several party offices have been allowed to open.", "Flera fångar har släppts, attityden mot NLD har mjuknat och flera partikontor har kunnat öppnas."
"I join with the honourable Member in expressing my admiration of Aung San Suu Kyi and her fellow members of the NLD.", "Jag förenar mig med den ärade ledamoten och uttrycker min beundran för Aung San Suu Kyi och hennes partikamrater i NLD."
"Their attempt to evict the NLD from their current location looks like a systematic campaign to achieve that.", "Deras försök att fördriva NLD från den plats där de för närvarande finns verkar vara en systematisk kampanj för att uppnå detta."
"We need the ASEAN states to insist on the immediate release of Aung San Suu Kyi and on freedom for the NLD opposition.", "Vi behöver staterna i Asean för att kunna kräva en omedelbar frigivning av Aung San Suu Kyi och frihet för NLD:s opposition."
"We need the ASEAN states to insist on the immediate release of Aung San Suu Kyi and on freedom for the NLD opposition.", "Vi behöver staterna i Asean för att kunna kräva en omedelbar frigivning av Aung San Suu Kyi och frihet för NLD: s opposition."
"A hope for return to democratic governing was heard in 1990 when the National League for Democracy (NLD) won a national election.", "En förhoppning om en återgång till ett demokratiskt styre väcktes 1990 när Nationella demokratiförbundet (NLD) vann ett nationellt val."
"Secondly, should not she and the NLD actually be offered basic freedoms before we are prepared to embrace the SPDC in this way?", "För det andra, bör inte hon och NLD-partiet i själva verket erbjudas grundläggande friheter, innan vi är beredda att omfamna SPDC på detta sätt?"
"The NLD is a legal political party but it is subject to continual harassment and its members are routinely subject to arbitrary arrests.", "NLD är ett lagligt politiskt parti men utsätts hela tiden för trakasserier och dess medlemmar blir rutinmässigt och godtyckligt arresterade."
"The NLD has called for Parliament to be convened by 21 August and has also repeatedly called on the military rulers to engage in dialogue.", "NLD har uppmanat parlamentet att samlas den 21 augusti och har också vid upprepade tillfällen uppmanat de militära befälhavarna att föra en dialog."
"Sunderby Sjukhus (NLL) – Short and long term planning of surgery: problems and solutions", "Sunderby Sjukhus (NLL) – Short and long term planning of surgery: problems and solutions"
"SFX NLL reach your full text articles in thousands of journals.", "Via SFX NLL når du fulltextartiklar i tusentals tidskrifter."
"RefWorks - new reference management software for NLL", "RefWorks - referenshanteringsprogram för NLL"
"On Tuesday, NLL, offered a conference for politicians, officials and cultural officials from all over Norrbotten.", "På tisdagen ordnade landstinget (NLL) en konferens för kulturpolitiker och kulturtjänstemän från hela Norrbotten."
"Temporary housing for rent in NLL", "Tillfälliga bostäder att hyra inom NLL"
"The County Council of Norrbotten, NLL", "Norrbottens läns landsting, NLL"
"NLL Development and Growth", "NLL Utveckling och tillväxt"
"See NLL site", "Se NLL hemsida"
"Additional health benefits can be gained by reducing urban concentrations of NO2 and SO2.", "Ytterligare hälsofördelar kan vinnas genom att koncentrationerna av kvävedioxid och svaveldioxid minskas i stadsmiljö."
"It was good that Amendment No 2 was adopted; I had hoped that the two other amendments would be as well.", "Det var bra att ändringsförslag 2 antogs. Jag hade hoppats att även de två andra ändringsförslagen skulle antas."
"I will therefore put the first part of Amendment No. 2 and of Amendment No. 1 which is identical to the vote by roll call.", "Vi röstar med namnupprop om första delen av ändringsförslag 2 och om ändringsförslag 1 som är identisk."
"As far as NO2 is concerned, the Commission expects that many Member States will face similar problems as with PM.", "När det gäller NO2 förväntar sig kommissionen att många medlemsstater kommer att få likartade problem som med partiklar."
"Amendment No. 2 is important.", "Ändringsförslag 2 är viktigt."
"Amendments No: 2, 4(1), 4(2)", "Ändringsförslag: 2, 4.1, 4.2."
"Descision point no. 2", "Beslutspunkt 2"
"According to this information, the limit values for PM10, as well as for NO2, plus the margin of tolerance, have been exceeded at several stations in Athens.", "Enligt dessa uppgifter har gränsvärdena för såväl PM10 som kvävedioxid, plus toleransmarginalen, överskridits vid flera stationer i Aten."
"The Group of the Greens/European Free Alliance think that Amendment No 2 (Article 1a (new)) is far too general and that it focuses too much on the new sweeteners.", "Verts/ALE-gruppen tycker att ändringsförslag 2 (artikel 1a (ny)) är alldeles för generellt och att det fokuserar för mycket på de nya sötningsmedlen."
"For NO2 the directives also set an alert threshold which is surpassed when concentrations exceed 400 micrograms per cubic metre over three consecutive hours.", "När det gäller kvävedioxid fastställs i direktivet även ett tröskelvärde som passeras när koncentrationerna överstiger 400 mikrogram per kubikmeter tre timmar i rad."
"– Mr President, as Baroness Nicholson has announced that the first sentence is to be deleted, the Group of the Party of European Socialists wishes to withdraw Amendment No 2.", "– Herr talman! Eftersom Baroness Nicholson har meddelat att den första meningen skall strykas, vill PSE-gruppen dra tillbaka ändringsförslag 2."
"I voted in favour of the report as soon as Parliament adopted Amendment No 2, in which bushmeat is defined as meat from ‘wild animals in tropical areas’.", ". Jag har röstat ja till betänkandet i och med att parlamentet antog ändringsförslag 2, där djungelkött (”Bushmeat”) definieras som kött från ”vilda djur i tropiska områden”."
"Member States are obliged to ensure that up-to-date information on ambient concentration of air pollutants, such as NO2 or PM10, is routinely made available to the public.", "Medlemsstaterna är skyldiga att se till att aktuella uppgifter om koncentrationerna av luftföroreningar såsom kvävedioxid och PM10 rutinmässigt görs tillgängliga för allmänheten."
"We have a combination of filters to reduce NOx and we also have particulate traps.", "Det finns en kombination av filter för kvävereducering och partikelfilter."
"For NOx, the Environment Committee has asked for the alert threshold which is used by France.", "För Nox har miljöutskottet begärt det tröskelvärde som används i Frankrike."
"SO2 and NOx are the principal causes of acid rain and they are hazardous to health.", "SO2 och Nox är de viktigaste orsakerna till sura regn och dessutom är de ett hot mot folkhälsan."
"We now have vehicles with catalysts that reduce NOx emissions.", "Det finns redan nu sådana fordon med katalysatorer, som reducerar kväveoxiden."
"Only on the point of the NOx catalytic converter, however, is some patience needed.", "Det är bara på den punkt som berör de-NOx -katalysatorn som vi måste ge oss ytterligare till tåls."
"Emissions of NOx in Sweden per EUR 1 million of production is now down by approximately 60 percent.", "Utsläppen av NOx i Sverige per producerad miljon euro är idag ungefär 60 procent mindre."
"As for NOx and the nitrogen oxides, progress was only made with the greatest difficulty.", "För NOx, kväveoxid, var skärpningarna svårare att införa."
"The report will see a reduction of the particle mass by 66% and NOx emissions by 80%.", "I betänkandet föreskrivs en minskning av partikelmassan med 66 procent och kväveoxidutsläppen med 80 procent."
"Let us assume that NOx emissions are equal to 200 mg/m3 .", "NOx (kväveoxid/kvävedioxid) är, kan vi anta, lika med 200 mg/m3 ."
"During the legislative process for NOx emissions I supported the introduction of a multiplier system.", "Under lagstiftningsprocessen om kväveoxidutsläpp stödde jag införandet av ett multiplikatorsystem."
"Article 11 of Protocol No 9 discusses NOx pollution..", "Artikel 11 i protokoll 9 handlar om förorening av kväveoxider."
"The reductions in total NOx emissions from heavy goods vehicles shall be administered according to an ecopoints system.", "Minskningen av utsläppen från tunga lastbilar skall ske genom ett system med miljöpoäng."
"I will explain this using the example of NOx emissions.", "Jag vill tydliggöra det med exemplet på NOx -utsläppen."
"We have added alert thresholds for NOx and particulates.", "Vi har lagt till tröskelvärden för NOx och partiklar."
"These units use ammonia to remove the NOx .", "I en sådan anläggning används ammoniak för att ta bort kväveoxid."
"The result was a reduction of about 40 % in hydrocarbon emissions and about 30 % in NOx emissions.", "Därvid fastställdes en reducering av utsläppen av kolväten med ca 40 procent och av kväveoxider med ca 30 procent."
"Standards for NOx emissions can also be tightened up.", "Normerna för utsläpp av kväveoxid kan också skärpas."
"One amendment I have difficulty with is the proposal to reduce NOx emission limits from 650 to 200.", "Ett ändringsförslag som jag har problem med är förslaget att minska nivåerna för kväveoxidutsläppen från 650 till 200."
"On balance, all this means is that there will be no further reductions in NOx emissions in Austria.", "Detta medför i sin helhet att vi inte kommer fram till någon ytterligare minskning av utsläppen av kväveoxid i Österrike."
"NOx, dioxins and furanes.", "Prioritering skall ges till utsläppsgränsvärden för de mest skadliga substanserna: kväveoxider, dioxiner, furaner."
"We now have vehicles with catalysts that reduce NOx emissions.", "Det finns redan nu sådana fordon med katalysatorer, som reducerar kväveoxiden."
"Emissions of NOx in Sweden per EUR 1 million of production is now down by approximately 60 percent.", "Utsläppen av NOx i Sverige per producerad miljon euro är idag ungefär 60 procent mindre."
"The report will see a reduction of the particle mass by 66% and NOx emissions by 80%.", "I betänkandet föreskrivs en minskning av partikelmassan med 66 procent och kväveoxidutsläppen med 80 procent."
"Let us assume that NOx emissions are equal to 200 mg/m3 .", "NOx (kväveoxid/kvävedioxid) är, kan vi anta, lika med 200 mg/m3 ."
"During the legislative process for NOx emissions I supported the introduction of a multiplier system.", "Under lagstiftningsprocessen om kväveoxidutsläpp stödde jag införandet av ett multiplikatorsystem."
"The reductions in total NOx emissions from heavy goods vehicles shall be administered according to an ecopoints system.", "Minskningen av utsläppen från tunga lastbilar skall ske genom ett system med miljöpoäng."
"I will explain this using the example of NOx emissions.", "Jag vill tydliggöra det med exemplet på NOx -utsläppen."
"The result was a reduction of about 40 % in hydrocarbon emissions and about 30 % in NOx emissions.", "Därvid fastställdes en reducering av utsläppen av kolväten med ca 40 procent och av kväveoxider med ca 30 procent."
"Standards for NOx emissions can also be tightened up.", "Normerna för utsläpp av kväveoxid kan också skärpas."
"On balance, all this means is that there will be no further reductions in NOx emissions in Austria.", "Detta medför i sin helhet att vi inte kommer fram till någon ytterligare minskning av utsläppen av kväveoxid i Österrike."
"Given that NOx emissions must be kept as low as possible, many plants will need a NOx reduction unit.", "Eftersom utsläppen av kväveoxid bör ligga så lågt som möjligt kommer många anläggningar att behöva en anläggning för utvinning av kväveoxid."
"This rule runs counter to the very objective of the ecopoint system, i.e. to protect the environment by reducing NOx emissions.", "Denna regel strider mot det egentliga målet med miljöpoängssystemet, nämligen att skydda miljön genom att reducera utsläppen av kväveoxid."
"This rule runs counter to the very objective of the ecopoint system, i. e. to protect the environment by reducing NOx emissions.", "Denna regel strider mot det egentliga målet med miljöpoängssystemet, nämligen att skydda miljön genom att reducera utsläppen av kväveoxid."
"The objective was to reduce overall NOx emissions from heavy goods vehicles in transit through Austria by 60% by the end of 2003.", "Målet var att reducera det totala utsläppet av kväveoxider från lastbilar i transittrafik genom Österrike fram till slutet av 2003 med 60 procent."
"The objective was to reduce overall NOx emissions from heavy goods vehicles in transit through Austria by 60 % by the end of 2003.", "Målet var att reducera det totala utsläppet av kväveoxider från lastbilar i transittrafik genom Österrike fram till slutet av 2003 med 60 procent."
"At the moment the amendment would include the words ‘including eventually NOx emissions’, but I would like to remove the word ‘eventually’.", "För närvarande skulle ändringsförslaget innehålla orden ”inklusive eventuella kväveoxidutsläpp”, men jag skulle vilja ta bort ordet ”eventuella”."
"The reduction of NOx emissions is, of course, what the ecopoint systems' rules - which I have never claimed to be exactly brilliant - are intended to do.", "Även miljöpoängsystemet eftersträvar en minskning av NOx-utsläppen - och jag har aldrig påstått att miljöpoängsystemet är det optimala."
"The reduction of NOx emissions is, of course, what the ecopoint systems ' rules - which I have never claimed to be exactly brilliant - are intended to do.", "Även miljöpoängsystemet eftersträvar en minskning av NOx-utsläppen - och jag har aldrig påstått att miljöpoängsystemet är det optimala."
"At the moment the amendment would include the words ‘ including eventually NOx emissions’, but I would like to remove the word ‘ eventually’.", "För närvarande skulle ändringsförslaget innehålla orden ” inklusive eventuella kväveoxidutsläpp ”, men jag skulle vilja ta bort ordet ” eventuella ”."
"To this end, the principle of ecopoints - let me make this quite clear - has been positive and has reduced NOx emissions by more than 50 %.", "Systemet med miljöpoäng har - och detta säger vi mycket klart - till en början varit positivt, det har lett till att utsläppen av kväveoxider har minskat med över 50 procent."
"Strengthening the effectiveness of the NPT will make the world safer.", "Världen skulle vara säkrare om man förstärkte icke-spridningsfördragets effektivitet."
"These opinions are important contributions for the realisation of Article 6 of the NPT.", "Dessa yttranden är viktiga bidrag för genomförandet av artikel 6 i NPT."
"Unfortunately the whole story of the NPT is singularly lacking in success stories.", "Tyvärr saknas på ett märkligt sätt framgångssagor genom icke-spridningsfördragets hela historia."
"Non-proliferation and the future of the Treaty on the Non-Proliferation of Nuclear Weapons (NPT) (", "Icke-spridning och framtiden för fördraget om icke-spridning av kärnvapen (NPT) ("
"Mr President, the NPT is not only a non-proliferation treaty.", "Det är också det enda bindande internationella avtalet för kärnvapennedrustning."
"The forthcoming NPT review is an opportunity that must not be wasted.", "Den kommande översynen av NPT är en möjlighet som inte får försittas."
"- maintain and intensify support for the NPT and its safeguards;", "- behålla och utöka stödet för icke-spridningsfördraget och de garantier som finns i det,"
"Does it intend to review the 2005 common position in preparation for the 2010 NPT Review Conference?", "Avser rådet att ompröva 2005 års gemensamma ståndpunkt inför konferensen?"
"In what way will the Commission and the Council give impetus to these demands at the next NPT meeting?", "På vilket sätt kommer kommissionen och rådet att driva dessa krav vid nästa NPT-möte?"
"Non-proliferation and the future of the Treaty on the Non-Proliferation of Nuclear Weapons (NPT) (debate)", "Icke-spridning och framtiden för fördraget om icke-spridning av kärnvapen (NPT) (debatt)"
"Mr President, the NPT is not only a non-proliferation treaty.", "– Herr talman! NPT är inte bara ett ickespridningsfördrag."
"Thirdly, it will promote all the objectives laid down in the NPT.", "För det tredje kommer EU att främja alla målen enligt NPT."
"These developments undoubtedly breach Article 6 of the NPT Treaty.", "Detta bryter utan tvekan mot artikel 6 i NPT-fördraget."
"Therefore, what is needed is full compliance with the NPT and the elimination of all nuclear weapons.", "Vad som därför krävs är att icke-spridningsavtalet följs till fullo och att alla kärnvapen skrotas."
"It concerns our 'call on all States not part of the NPT to accede to that Treaty'.", "Det gäller vår uppmaning till ”alla stater som inte är parter till icke-spridningsavtalet att ansluta sig till detta”."
"Unfortunately, not even the NPT has been able to prevent that.", "Det räcker att nämna Iran, Nordkorea, Indien och Pakistan."
"We are actually able to conclude that Iran is now more or less adhering to the agreements of the NPT.", "Vi kan faktiskt nu dra slutsatsen att Iran mer eller mindre håller fast vid icke-spridningsavtalet."
"I have already said that Turkey is part of the NPT and of the Convention on Nuclear Safety.", "Jag har redan sagt att Turkiet har undertecknat icke-spridningsavtalet och konventionen om kärnenergisäkerhet."
"We do not want a repeat of the example of North Korea, which got away with withdrawing from the NPT.", "Vi vill inte ha en upprepning av det som hände med Nordkorea, som kom undan genom att dra sig ur NPT."
"What steps is the Council taking to prepare the Vienna NPT Prepcom?", "Vilka åtgärder vidtar rådet för att förbereda arbetet i den förberedande kommittén för icke-spridningsavtalet?"
"The NRAs will therefore have a large part to play in achieving this.", "De nationella tillsynsmyndigheterna kommer därför att spela en viktig roll i sammanhanget."
"BEREC consists of a Board of Regulators composed of the heads of the 27 NRAs and a support office.", "Berec omfattar en tillsynsnämnd, som består av de 27 nationella regleringsmyndigheternas chefer, och en stödbyrå."
"Naturally there is need for close, transparent cooperation between the NRAs and the Commission.", "Det finns naturligtvis behov av ett nära och öppet samarbete mellan de nationella tillsynsmyndigheterna och kommissionen."
"The framework must remain flexible and NRAs must be in a position to react to market conditions as they develop.", "Regelverket måste förbli flexibelt och de nationella tillsynsmyndigheterna måste kunna reagera på marknadsvillkoren i takt med att de förändras."
"The office is an official EU body, managed by a committee in which all NRAs and the Commission are represented.", "Byrån är ett officiellt EU-organ och sköts av en förvaltningskommitté med företrädare för kommissionen och samtliga nationella regleringsmyndigheter."
"The NRAs have an important part to play in this, but in the view of my group the final responsibility should remain with the Commission.", "De nationella tillsynsmyndigheterna har en viktig funktion i detta men vår partigrupp anser att kommissionen även i fortsättningen skall ha det slutliga ansvaret."
"Mrs Trautmann's report proposes the retention of the imposition of functional separation as an exceptional remedy for national regulatory authorities (NRAs).", "Catherine Trautmann föreslår i sitt betänkande att funktionell delning ska behållas som en exceptionell åtgärd för nationella tillsynsmyndigheter."
"At the same time, NRAs are permitted to pursue within their remit the task of ensuring that traditional media policy goals, such as pluralism, are attained.", "Samtidigt tillåts de nationella regleringsmyndigheterna att inom ramen för sin kompetens garantera de traditionella mediapolitiska målen såsom pluralism."
"I have ongoing contact with the national regulatory authorities (NRAs) and I take note of their views regarding the powers and responsibilities of the proposed authority.", "Jag har kontinuerligt kontakt med de nationella regleringsmyndigheterna och jag beaktar deras åsikter om den föreslagna myndighetens befogenheter och skyldigheter."
"They cannot wish to see a vibrant pan-European telecoms market established and yet not have any meaningful criteria attached to the way in which NRAs operate.", "De kan inte säga att de vill se en sjudande alleuropeisk telekommunikationsmarknad upprättas utan att knyta några meningsfulla kriterier till de nationella tillsynsmyndigheterna funktion."
"Inside the institutional structure, it would reinforce the powers of the NRAs by taking over the functions of the ERG and giving them a foundation in Community law.", "Inom den institutionella strukturen skulle denna enhet förstärka de nationella regleringsmyndigheternas befogenheter genom att överta ERG:s funktioner och grunda dem på gemenskapsrätten."
"I am thinking for example of the rules on consumer protection, those governing the operation and role of the National Regulatory Authorities (NRAs) and the licensing systems.", "Jag tänker exempelvis på reglerna om skydd av konsumenterna, reglerna som styr funktionen och rollen för myndigheterna för nationella regler (ARN) och systemen för beviljande av licenser."
"Why not let the NS-cargo/ DB-cargo combination compete directly with SNCF.", "Varför inte låta kombinationen NS-cargo / DB-cargo konkurrera direkt med SNCF?"
"Why not let the NS-cargo/DB-cargo combination compete directly with SNCF.", "Varför inte låta kombinationen NS-cargo/DB-cargo konkurrera direkt med SNCF?"
"The Managing DirectorFightstar Corporation155 Mountain RiseAntogonish NS B2G 5T8", "The Managing Director Fightstar Corporation 155 Mountain Rise Antogonish NS B2G 5T8"
"Sally Davies155 Mountain RiseAntogonish NS B2G 5T8", "Sally Davies155 Mountain RiseAntogonish NS B2G 5T8"
"Our daily finishing capacity is one thousand NS5's.", "Vår dagliga konstruktionskapacitet är 1000 NS-5 robotar."
"This light source can deliver 2 μs light pulses at 10 kHz frequency or 100 ns light pulses at 200 kHz frequency.", "This light source can deliver 2 μs light pulses at 10 kHz frequency or 100 ns light pulses at 200 kHz frequency."
"The future begins today with arrival of the NS5.", "Framtiden börjar idag, med anländandet av NS-5."
"Tel: +354 1200 (no po box) E-mail: ns[at]ns.is", "Tel: +354 1200 (no po box) E-mail: ns[at]ns.is"
"Mr Zalm, the Liberal front runner in the elections and a former Dutch minister, is now saying that it was a mistake to split up NS and ProRail.", "Zalm, den liberala toppmannen i valet och före detta minister i Nederländerna, förklarar nu att uppdelningen av NS och ProRail var ett fel."
"Attention, NS-5s.", "Lystring NS-5: or."
"The NTA could do some useful preparatory work in view of the forthcoming ministerial conference.", "NTA skulle där kunna utföra värdefullt förarbete med tanke på det förestående ministermötet."
"A fundamental aspect of the NTA is the development of links between peoples.", "En grundläggande aspekt av den nya transatlantiska agendan är utvecklingen av förbindelser mellan folken."
"I believe I can say that the six-monthly summits are an essential element of the NTA.", "Jag tror mig kunna säga att toppmötena en gång i halvåret är grundläggande för den nya transatalantiska agendan."
"This summit, Mr President, ladies and Gentlemen, will be the fourth since the NTA has been set up.", "Detta toppmöte, herr ordförande, mina damer och herrar, blir det fjärde sedan den nya transatlantiska agendan inrättades."
"The NTA should not be a club for major industrialists who dictate the agenda to politicians behind closed doors.", "NTA skall inte heller vara någon klubb för storindustrin, som bakom lyckta dörrar sätter dagordningen för politikerna."
"The ups and downs we have experienced have been the result not of the institutions of the NTA but of genuine policy disagreements.", "De upp- och nedgångar som vi har upplevt har inte berott på den nya transatlantiska agendans institutioner, utan på faktisk politisk oenighet."
"The plumbing part of the communication looks at the so-called NTA structures and the multitude of meetings which take place within them at political and official level.", "I denna del av meddelandet behandlas de s.k. NTA-strukturerna och den mångfald av sammanträden som äger rum inom dem på politisk och officiell nivå."
