//Sentences
"That will be possible from Monday's GAC.", "Det kommer att vara möjligt efter måndagens rådsmöte för allmänna frågor."
"For saving unformatted data (BLOBs) Adabas offers the data type LONG which can take up to 2.1 GB of data per column.", "För lagring av oformaterade data (BLOBs) finns i Adabas datatypen LONG, som kan ta emot upp till 2,1 GB data per kolumn."
"Simplified Chinese (GB2312)", "Förenklad kinesiska (GB2312)"
"English/United Kingdom [en-GB]", "Engelska/UK [en-GB]"
"How does the Commission explain the fact that an ethics board connected with the project, set up to monitor the guaranteeing of data protection, is chaired by members of an EU police authority (GB)?", "Hur förklarar kommissionen det faktum att medarbetare vid den Europeiska polisbyrån (GB) är ordförande i projektets ”etiska nämnd”, tillsatt för att kontrollera att personuppgiftsskyddet garanteras?"
"Abuse of gamma butyrolactone (GBL) has become a growing problem in Denmark, where young people mix the substance in beer.", "Missbruk av ämnet gammabutyrolakton (GBL) har blivit ett växande problem i Danmark, där ungdomar blandar det i öl."
"GBL is sold in some Member States in its pure form, whereas in Denmark, for example, it is sold only in its denatured form.", "GBL säljs nämligen i vissa medlemsstater i sin rena form, medan det i t.ex. Danmark säljs endast i denaturerad form."
"Will the Commission examine the possibility of introducing common European restrictions on the sale of GBL in its pure form?", "Kommer kommissionen att undersöka möjligheten att införa gemensamma europeiska begränsningar för försäljning av GBL i dess rena form?"
"There have been certain cases, however, where young Danes have bought pure GBL over the Internet, from Germany, the Netherlands and Poland.", "Det har förekommit konkreta fall där danska ungdomar har köpt rent GBL från Tyskland, Nederländerna och Polen via Internet."
"I strongly support the resolution to provide GBP 150 million of additional funding.", "Jag stöder verkligen resolutionen att ge 150 miljoner GBP i ytterligare bidrag."
"The estimated cost of health and social care by 2018 will be GBP 27 billion.", "Den beräknade kostnaden för vård och omsorg 2018 är 27 miljarder brittiska pund."
"Just two years ago, Britain's net contribution was GBP 3 billion a year.", "För bara två år sedan var Storbritanniens nettobidrag 3 miljarder pund om året."
"She was left with serious injuries and initially offered GBP 15 compensation.", "Hon fick allvarliga skador och blev först erbjuden 15 pund i kompensation."
"Britain's net contribution to the EU budget in 2007 was GBP 4.3 billion.", "Storbritanniens nettobidrag till EU:s budget 2007 uppgick till 4,3 miljarder pund."
"We have a GBP 50 note which is worth about EUR 80, but that is very rare.", "Vi har en 50-pundssedel som är värd ungefär 80 euro, men den används inte så mycket."
"Clinics can give donors compensation of GBP 15 – about EUR 20 – plus expenses for donations.", "Jag stöder EU-direktivets hänvisning till frivilliga och oegennyttiga donationer."
"We have received back around GBP 105 billion by way of subsidies of one form or another.", "Vi har fått tillbaka omkring 105 miljarder pund sterling i form av olika subventioner."
"This year, the auditors claim that at least GBP 6 billion should not have been paid out.", "I år hävdar revisorerna att minst 6 miljarder brittiska pund inte borde ha betalats ut."
"EU funding to Wales, currently worth GBP 280 million, could be withdrawn.", "EU:s stöd till Wales, som för närvarande motsvarar 280 miljoner pund, skulle kunna dras in."
"One producer borrowed GBP 10 million to comply with this directive.", "En producent lånade 10 miljoner brittiska pund för att följa direktivets bestämmelser."
"Put another way, that is GBP 114 000 per minute gross or GBP 96 000 per minute net.", "Med andra ord, 114 000 pund sterling brutto per minut eller 96 000 pund sterling netto per minut."
"No doubt Mr Mittal’s donation to Mr Blair of GBP 125 000 was coincidental.", "Det råder ingen tvekan om att Mittals donation på 125 000 GBP till Blair var en tillfällighet."
"But to vary a couple of words in the self-same document, they proposed to charge me GBP 500.", "Men för att ändra några ord i nämnda handling, ville de ha 500 pund sterling i betalning."
"This is as unfair as the GBP 45 million was patently inadequate.", "Detta är lika orättvist som de 45 miljonerna brittiska punden var klart otillräckliga."
"Britain may end up giving a total of GBP 23 billion to bolster the euro.", "Det kan sluta med att Storbritannien bidrar med totalt 23 miljarder pund för att stödja euron."
"This is as unfair as the GBP 45 million was patently inadequate.", "Detta är lika orättvist som de 45 miljonerna brittiska punden var klart otillräckliga."
"That deficit, according to the latest figures, was GBP 7.2 billion in one year alone.", "Detta underskott var enligt de senaste siffrorna 7,2 miljarder brittiska pund enbart under ett år."
"That would be worth some GBP 14 billion or EUR 20 billion per annum.", "Det skulle vara värt ungefär 14 miljarder i brittiska pund eller 20 miljarder euro om året."
"There may be some people in the United Kingdom who consider GBP 1 000 acceptable.", "Det kan finnas några människor i Förenade kungariket som anser att 1 000 pund sterling är acceptabelt."
"Finally, in the area of regional integration, the GCC is slow to make progress.", "Slutligen, när det gäller regional integration, gör GCC endast långsamma framsteg."
"EU exports to the GCC member states have been increasing since the 1980s.", "EU:s export till medlemsstaterna i Gulfstaternas samarbetsråd har ökat sedan 1980-talet."
"The EU and the GCC have been trying to negotiate a free trade agreement for about 20 years.", "EU och GCC har försökt förhandla fram ett frihandelsavtal under cirka 20 år."
"This will be to the benefit of Europe, and to the countries that comprise the GCC.", "Det kommer att gynna EU och länderna i Gulfstaternas samarbetsråd."
"Since then, there has been no feedback from the GCC side at all.", "Därefter har det inte kommit någon återkoppling alls från Gulfstaternas samarbetsråd."
"Moreover, what are the environmental concerns of major oil-producing countries such as the GCC states?", "Vilka miljöhänsyn tar stora oljeproducerande länder som Gulfstaterna, förresten?"
"These clauses were agreed with the GCC some years ago.", "Vi kom överens om dessa klausuler med Gulfstaternas samarbetsråd för några år sedan."
"The EU and the GCC are at present negotiating a free-trade agreement.", "EU och GCC förhandlar för närvarande om ett frihandelsavtal."
"At present we are working with our partners in the GCC to achieve a free trade agreement.", "För närvarande arbetar vi tillsammans med våra partner i GCC för att få till stånd ett frihandelsavtal."
"The conclusion of a free trade agreement between the EC and the GCC has been under negotiation since 1988.", "Förhandlingar om ett frihandelsavtal mellan EG och Gulfstaternas samarbetsråd pågår sedan 1988."
"I voted in favour of this report, which prepares the ground for future cooperation between the Union and the GCC.", "Jag röstade för betänkandet som bereder marken för ett framtida samarbete mellan EU och GCC."
"The GCC is currently the EU's sixth largest export market and the EU is the GCC's first trading partner.", "Gulfstaterna är i dag EU:s sjätte största exportmarknad och EU är Gulfstaternas främsta handelspartner."
"At present we are working with our partners in the GCC to achieve a free trade agreement.", "Det är tydligt att unionen redan har ett djupt och nära förhållande till länderna i Medelhavsområdet och Mellanöstern."
"It would therefore be a good idea for Parliament to encourage a more ambitious EU policy with regard to the GCC.", "Det vore därför bra om parlamentet kunde uppmuntra till en ambitiösare EU-politik gentemot GCC."
"The European Union and the Gulf Cooperation Council (GCC) have been negotiating a free trade agreement for some 20 years.", "EU och Gulfstaternas samarbetsråd (GCC) har förhandlat om ett frihandelsavtal i ett tjugotal år."
"That is why Parliament is today called to formulate a more ambitious cooperation policy with the countries of the GCC.", "Därför kräver Europaparlamentet i dag att man utarbetar en ambitiösare samarbetspolitik gentemot länderna i GCC."
"For example, only eight students from GCC countries came to Europe last year as part of the Erasmus Mundus programme.", "Exempelvis kom det bara åtta studenter från GCC-länder till Europa förra året som en del av Erasmus Mundus-programmet."
"The GCC countries, which make up a quarter of Arab League member states, play a very important role in the peace process.", "GCC-länderna, som utgör en fjärdedel av medlemmarna i Arabförbundet, spelar en mycket viktig roll i fredsprocessen."
"Human rights were also discussed at the meeting between the European Union and the GCC's regional heads in Brussels on 23 March.", "De mänskliga rättigheterna diskuterades också vid mötet mellan unionen och GCC: s regionala chefer i Bryssel den 23 mars."
"Human rights were also discussed at the meeting between the European Union and the GCC' s regional heads in Brussels on 23 March.", "De mänskliga rättigheterna diskuterades också vid mötet mellan unionen och GCC:s regionala chefer i Bryssel den 23 mars."
"Allow me to quote from Mrs Hoff's report, "...motivation is at a low ebb in GD Ia' .", "Jag citerar ut Hoffs betänkande: I GD I a har motivationen sjunkit till nollstrecket."
"Allow me to quote from Mrs Hoff's report, "... motivation is at a low ebb in GD Ia '.", "Jag citerar ut Hoffs betänkande: I GD I a har motivationen sjunkit till nollstrecket."
"Europees Consumenten Centrum European Consumer Centre Catharijnesingel 55, 5th floor 3511 GD Utrecht P.O.", "Europees Consumenten Centrum European Consumer Centre Catharijnesingel 55, 5th floor 3511 GD Utrecht P.O."
"Scots Gaelic [gd]", "Skotsk gaeliska [gd]"
"In terms of staff motivation, the European Parliament cannot be dependent upon whether or not Commissioner van den Broek finally manages to motivate his staff in GD Ia!", "Vad beträffar medarbetarnas motivation: De europeiska politikerna kan inte vara beroende av om kommissionär Van den Broek äntligen skall lyckas att motivera sina medarbetare i GD I a eller inte!"
"It extends and consolidates the monopoly held by GDF Suez until 2025.", "Enligt avtalet förlängs och konsolideras det monopol som GDF Suez har till 2025."
"Both in Italy, with its ENEL and ENI, and in France with GDF and EDF, exactly the same thing happens.", "Både i Italien med ENEL och ENI, och i Frankrike med GDF och EDF, händer precis samma sak."
"Both in Italy, with its ENEL and ENI, and in France with GDF and EDF, exactly the same thing happens.", "Det finns också stora skillnader mellan operatörerna av överföringsnät i fråga om villkoren för tillträde."
"(FR) Mr President, as you are aware, an agreement between the Belgian State and GDF Suez was reached in October 2009.", "(FR) Herr talman! Som ni vet ingick den belgiska staten ett avtal med GDF Suez i oktober 2009."
"I hope the Commission will make sure that Belgium does not see a so-called pax electrica, whose chief aim is to strengthen the monopoly held by Electrabel GDF Suez.", "Jag hoppas kommissionen ser till att Belgien inte får uppleva en pax electrica, vars huvudsyfte är att stärka det monopol som innehas av Electrabel GDF Suez."
"more_vert open_in_new Link to European Parliament warning Request revision The use of the GDP criterion overestimates Ireland's true position.", "expand_more Användningen av BNP-kriteriet överskattar Irlands faktiska situation."
"Even at that rate, by 2100 average GDP per capita in the world will be $200,000.", "Till och med då, vid 2100 är genomsnittligt GDP per capita över 200 000 dollar."
"The next deadline is 2010, when our aid should collectively reach 0.56% of GDP.", "Nästa tidsfrist är 2010, när vårt sammanlagda bistånd ska nå 0,56 procent av BNI."
"In conclusion, we are only spending 1 % of the 1.2 % of GDP currently available.", "Slutligen använder vi bara 1 procent av de 1,2 procent av BNI som står till förfogande."
"As a percentage of European GDP, it has fallen from 1.27 % to below 1.05 %.", "Dess andel av den europeiska BNI minskar från 1,27 procent till under 1,05 procent."
"Money laundering accounts for between 2 % and 5 % of the world's GDP each year.", "Penningtvätten motsvarar årligen mellan 2 och 5 procent av världens BNI."
"Yes, the GDP of the new Member States is lower than that of the older ones.", "Ja, bruttonationalprodukten i de nya medlemsstaterna är lägre än i de gamla."
"In conclusion, we are only spending 1% of the 1.2% of GDP currently available.", "Slutligen använder vi bara 1 procent av de 1,2 procent av BNI som står till förfogande."
"The federal budget of the United States redistributes more than 30 % of its national GDP.", "Medlemsstaternas budgetar kan inte kompensera en otillräcklig gemenskapsbudget."
"For many regions, the tourism industry is an important contributor to local GDP.", "För många regioner utgör turistnäringen ett betydelsefullt bidrag till den lokala ekonomin."
"Money laundering accounts for between 2% and 5% of the world's GDP each year.", "Penningtvätten motsvarar årligen mellan 2 och 5 procent av världens BNI."
"indicators other than merely GDP being used to measure the degree of cohesion achieved;", "Att den sammanhållning som uppnås ska mätas med hjälp av andra indikatorer än enbart BNI."
"I again urge reconsideration of the rigid adherence to the 75 % of GDP criteria.", "Jag vädjar åter om en omprövning av det stela kriteriet på 75 procent av bruttonationalprodukten."
"The US Federal budget redistributes only a third of American GDP.", "Den federala budgeten omfördelar endast en tredjedel av den amerikanska BNI."
"One per cent of the GDP per annum is too much of a strain for my country.", "För mitt land är 1 procent av nationalinkomsten en svår påfrestning."
"The average fiscal deficit in the euro area broadly stabilised at 2.7 % of GDP.", "Som föredraganden sade vet alla här i parlamentet vilken ståndpunkt ECB intog i dessa diskussioner."
"Intercommunity trade represents some 90 % of the common GDP.", "Handelsutbytet inom gemenskapen utgör i stort 90 procent av den gemensamma BNI."
"I believe that the ratio of debt to GDP should be reduced at a 'satisfactory pace'.", "Jag anser att skuldens andel av bruttonationalprodukten bör minskas i en ”tillfredställande takt”."
"R&amp;D in total in the economy, publicly funded, is about 0.6 percent of GDP.", "Forskning och Utveckling i den totala ekonomin, statligt finansierat, är ungefär 0.6 procent av GNP."
"Intercommunity trade represents some 90% of the common GDP.", "Handelsutbytet inom gemenskapen utgör i stort 90 procent av den gemensamma BNI."
"It has to be borne in mind that our contribution to general cohesion must remain at 0.46 % of GDP.", "Jag uppmanar er att visa flexibilitet innan omröstningen genomförs, herr Hatzidakis."
"In modern economies, innovation accounts for 70-80% of annual GDP growth.", "I moderna ekonomier står innovation för 70-80 procent av BNP:s årliga tillväxt."
"The low GDP growth rate in the EU has had its repercussions on the car industry too.", "Den låga BNP-tillväxten i EU har även fått återverkningar på bilindustrin."
"Specifically, a medium-term objective of gross domestic product growth (GDP) is introduced.", "Ett mål på medellång sikt för ökad bruttonationalprodukt (BNP) införs specifikt."
"This was the result of increasing budgetary imbalances and low growth in GDP.", "Detta var följden av ökande obalans i budgeten och låg tillväxt av BNP."
"It tells us that Ukraine recorded average GDP growth of 8.7% between 2000 and 2006.", "Där anges att Ukrainas genomsnittliga BNP-tillväxt låg på 8,7 procent mellan 2000 och 2006."
"On the macroeconomic level there has been excellent growth in GDP.", "På den makroekonomiska nivån kan man konstatera en utomordentlig tillväxt av BNP."
"We cannot only look at GDP growth, but must also consider a range of other factors.", "Vi kan inte bara titta på BNP-tillväxten, utan vi måste titta på en rad andra faktorer också."
"The European Union continues to swear by the policy of uncritically increasing growth in GDP.", "EU fortsätter att tro blint på politiken att okritiskt öka tillväxten i BNP."
"The growth of GDP is increasingly dependent on the size of the services sector.", "Ökningen av BNP är allt mer beroende av tjänstesektorns storlek."
"Now ICT accounts for 40% of Europe’s productivity growth and for 25% of the EU’s GDP growth.", "IKT står nu för 40 procent av EU:s produktionstillväxt och för 25 procent av EU:s BNP-tillväxt."
"This year, we should see GDP growth at around 1.5%, rising to 2% of GDP in 2012.", "I år bör vi se en tillväxt av bruttonationalprodukten med 1,5 procent, som kommer att öka till 2 procent 2012."
"Due to a lack of structural reforms and low investment, growth in GDP is not satisfactory.", "På grund av brist på strukturreformer och låg investeringsnivå är BNP-tillväxten otillfredsställande."
"Now ICT accounts for 40 % of Europe ’ s productivity growth and for 25 % of the EU’ s GDP growth.", "IKT står nu för 40 procent av EU: s produktionstillväxt och för 25 procent av EU: s BNP-tillväxt."
"We can congratulate ourselves on a real economic revival, as demonstrated by the growth of GDP.", "Vi kan lyckönska oss själva till en formlig ekonomisk pånyttfödelse, vilket framgår av BNP-tillväxten."
"Real GDP growth for the year as a whole stood at 1.8 %, compared with 0.5 % in the previous year.", "Den reala BNP-tillväxten för hela året stannade vid 1,8 procent, jämfört med 0,5 procent året innan."
"Just yesterday, Eurostat published the European Union's GDP growth figures for the fourth quarter of 2006.", "Så sent som igår offentliggjorde Eurostat EU:s tillväxtsiffror för det fjärde kvartalet 2006."
"Nowadays, in parallel with economic growth and growth in GDP, greenhouse gas emissions are also growing.", "Parallellt med ekonomisk tillväxt och ökad BNP ökar i våra dagar även utsläppen av växthusgaser."
"This is all very well, as long as most countries achieve a positive trade balance and a growth in GDP.", "Så långt är allt väl, så länge de flesta länderna har en positiv handelsbalans och tillväxt i BNP."
"Over the last 30 years, in terms of the GDP growth rates, China has grown at twice the rate of India.", "Under de senaste 30 åren, om man ser till tillväxt i BNP, har Kina växt dubbelt så fort som Indien."
"The result has been GDP growth of a meagre 0.7% in 2008, followed by a 4% contraction in 2009.", "Resultatet har blivit en BNP-tillväxt på knappa 0,7 procent 2008, följt av en konjunkturnedgång med 4 procent 2009."
