//Sentences
"Again, Goldstone is clear: these detentions of PLC members are contrary to international law.", "Ännu en gång är Richard Goldstone tydlig: detta förvar av PLC-ledamöterna strider mot folkrätten."
"The decision should have been made by July 2009 but Provexis Plc is currently still awaiting confirmation of the wording approval, and the product’s entry onto the market has thus been delayed.", "Beslutet skulle ha fattats senast i juli 2009 men Provexis väntar fortfarande på ett besked om huruvida påståendet har godkänts eller inte, och därmed försenas utsläppandet av produkten på marknaden."
"The decision should have been made by July 2009, but to date Provexis plc is still awaiting confirmation that the wording has been approved, thus delaying the entry of its product on to the market.", "Beslutet skulle ha fattats senast i juli 2009 men Provexis väntar fortfarande på ett besked om huruvida påståendet har godkänts eller inte, och därmed försenas utsläppandet av produkten på marknaden."
"Polish scientists estimate, however, that the package will cost at least PLN 500 billion.", "Polska forskare bedömer dock att paketet kommer att kosta minst 500 miljarder polska zloty."
"Every day, vegetable producers incur losses of PLN 2 million.", "Grönsaksproducenterna ådrar sig dagligen förluster på 2 miljoner zloty."
"Our Polish package will cost at least PLN 500 billion.", "Det polska paketet kommer att kosta minst 500 miljarder polska zloty."
"This includes a contribution from the EU of PLN 11.4 billion.", "Detta omfattar ett bidrag från EU på 11,4 miljarder PLN."
"Unfortunately, applications to receive payments from these funds amount to a total of PLN 1.75 billion.", "Olyckligtvis uppgår ansökningarna om att erhålla betalning från dessa fonder totalt till 1,75 miljarder PLN."
"But, in any case, the aid paid out in the period of 1997-2003 in its total amount shall not exceed PLN 3 387 070 000.", "Emellertid är utbetalt stöd under perioden 1997–2003 begränsat till ett belopp om 3 387 070 000 PLN."
"As part of these financial transfers, in 2008 alone the European Commission sent a total of PLN 19.3 billion to Poland.", "Som en del av dessa finansiella överföringar tillhandahöll Europeiska kommissionen Polen 19,3 miljarder polska zloty (PLN) enbart under 2008."
"No, my PlN number is 3674.", "Nej, min bankkod är 3674."
"The supervisory board of the shipyard has decided to increase the initial capital by PLN 300 million, which would be allocated for additional investment.", "Varvets styrelse har beslutat att öka startkapitalet med 300 miljoner polska zloty som ska fördelas som extra investeringsbelopp."
"Following liberal amendments to the Civil Code, debt collectors have seized PLN 2 billion, with the result that employees have not received their wages.", "Sedan civillagen liberaliserades har inkasserare drivit in 2 miljarder polska zloty, vilket har lett till att de anställda inte har fått ut sina löner."
"Following liberal amendments to the Civil Code, debt collectors have seized PLN 2 billion, with the result that employees have not received their wages.", "Sedan civillagen liberaliserades har inkasserare drivit in 2 miljarder polska zloty, vilket har lett till att de anställda inte har fått ut sina löner."
"By way of example it is estimated that the additional public expenditure required pursuant to a ban on the use of mercury thermometers will amount to around PLN 3 million a year.", "Det beräknas exempelvis att det skulle kosta ytterligare ca 3 miljoner polska złoty om året i statliga utgifter med ett förbud mot användningen av kvicksilvertermometrar."
"From the beginning of the programmes for 2007-2013 to the beginning of March 2009, nearly 8 400 agreements on financial support were signed, concerning total expenditure of PLN 15.4 billion.", "Från inledningen av programmen för perioden 2007-2013 till början av mars 2009 undertecknades nästan 8 400 avtal om finansiellt stöd på totalt 15,4 miljarder PLN."
"According to estimates by the Polish Ministry of the Environment, we need an investment in excess of PLN 50 billion if we are to comply with the requirements laid down in the Directive.", "Enligt beräkningar av det polska miljöministeriet behöver vi en investering på över 50 miljarder polska zloty om vi ska kunna uppfylla de krav som fastställs i direktivet."
"According to estimates by the Polish Ministry of the Environment, we need an investment in excess of PLN 50 billion if we are to comply with the requirements laid down in the Directive.", "Enligt beräkningar av det polska miljöministeriet behöver vi en investering på över 50 miljarder polska zloty om vi ska kunna uppfylla de krav som fastställs i direktivet."
"Euro-Mediterranean Interim Association Agreement with PLO- Middle East Peace Process", "Europa-Medelhavsinterimsavtal med PLO - Fredsprocessen i Mellanöstern"
"He then also opened a special PLO account, but this was never the account that we used.", "Han öppnade därefter ett särskilt PLO-konto, men det var aldrig det konto som vi använde."
"Unlike the secular PLO, Hamas does not recognise the concept of peace.", "Till skillnad från det sekulära PLO erkänner Hamas inte fredskonceptet."
"Let us remind ourselves of the fact that, on 13 June 1980, at the Venice Summit, the EC recognised the PLO.", "Låt oss påminna oss om att EG erkände PLO vid toppmötet i Venedig den 13 juni 1980."
"Let us remind ourselves of the fact that, on 13 June 1980, at the Venice Summit, the EC recognised the PLO.", "Låt oss påminna oss om att EG erkände PLO vid toppmötet i Venedig den 13 juni 1980."
"Since then they have had peace with Egypt, with the PLO and with Jordan.", "Sedan fick de fred med Egypten, med PLO och med Jordanien."
"Hamas has not set its face against the PLO sticking to the negotiating policy it has adopted.", "Hamas har inte satt sig emot PLO och har hållit sig till den förhandlingspolicy som de har antagit."
"We had, at that time, officially recognised the PLO and adopted the ‘two peoples, two states’ principle.", "Vid den tidpunkten hade vi officiellt erkänt PLO och antagit principen ”två folk, två stater”."
"We had, at that time, officially recognised the PLO and adopted the ‘ two peoples, two states ’ principle.", "Vid den tidpunkten hade vi officiellt erkänt PLO och antagit principen ” två folk, två stater ”."
"The issue of the PLO Charter is a complicated one.", "Det framkom att ett nytt lamm togs in i buren till vargen varje dag."
"The issue of the PLO Charter is a complicated one.", "Frågan om PLO-stadgan är komplicerad."
"We may even use the PLO account.", "Vi kanske till och med bör använda PLO-kontot."
"What was said today about Hamas, and whatever there is in its statute and its declarations, also applied to the PLO 50 years ago.", "Vad som har sagts om Hamas i dag, och vad som än ingår i dess stadga och förklaringar, gällde också för PLO för 50 år sedan."
"I was encouraged to see that the PLO account established now was at least used by Saudi Arabia, Qatar and the United Arab Emirates.", "Jag blev uppmuntrad av att se att PLO-kontot som upprättats nu åtminstone används av Saudiarabien, Qatar och Förenade Arabemiraten."
"To be honest with you, there are different approaches among the G8 partners to the Hamas-PLO cooperation and to the issue of the 1967 borders.", "För att vara ärlig finns det olika inställningar till samarbetet med Hamas-PLO och frågan om 1967 års gränser bland G8-länderna."
"I think we therefore will have to go on encouraging them to do so via the temporary international mechanism or through the PLO account.", "Jag anser därför att vi måste fortsätta att uppmuntra dem att göra så genom den tillfälliga internationella mekanismen eller genom PLO-kontot."
"Hamas's position that President Abbas's term will end on 9 January is another issue which is closely linked to the reform of the PLO and of Fatah.", "Hamas ståndpunkt att president Abbas mandat går ut den 9 januari är en annan fråga som har nära koppling till reformeringen av PLO och Fatah."
"I am certain, looking back in history, that if there was a terrorist list 30 years ago, the PLO would have been on it.", "När jag ser tillbaka på historien känner jag mig övertygad om att om det hade funnits en lista över terrorister för trettio år sedan så skulle PLO ha funnits med på den."
"Hamas won on the basis of a programme centred on the fight against corruption and on the reform of the PLO, the only organisation authorised to negotiate.", "Hamas vann på ett program som var inriktat på kampen mot korruption och på en reform av PLO, den enda organisation som har förhandlingsmandat."
"Mr President, in normal circumstances this debate on a Euro-Mediterranean Interim Association Agreement on trade and cooperation between the European Community and the PLO would be just a formality.", "Herr ordförande, under normala förhållanden skulle denna debatt angående Europa-Medelhavsinterimsavtalet för handel och samarbete mellan Europeiska unionen och PLO vara av formell karaktär."
"more_vert open_in_new Link to statmt.org warning Request revision There will be a meeting of the Maghreb delegation this afternoon at 3 p.m.", "expand_more Det kommer att vara ett möte med Maghrebdelegationen i eftermiddag kl. 15.00."
"more_vert open_in_new Link to Open Office warning Request revision Markera den här rutan om du vill infoga ytterligare text i PM:ets huvud.", "expand_more Mark this check box to include a further text field in the header of your memo."
"more_vert open_in_new Link to European Parliament warning Request revision För det tredje bör effekterna av PM: et om understanding av tekniska normer och driftsrapporter undersökas.", "Memorandum of Understanding on technical norms and operating reports needs checking."
"This also means, however, that there is no tightening of the annual PM10 limits.", "I och med detta blir dock inte heller de årliga gränsvärdena för PM10 strängare."
"I came down to sign in about 8.30 p.m. only to find that the session was over.", "Jag kom ner för att skriva in mig vid 20.30 och fann att sammanträdet var över."
"Actually, the chairman's reply seemed rather ironic, as he gave it at 8.32 p.m.", "Ordförandens svar verkade faktiskt en aning ironiskt, eftersom det gavs 20.32."
"This new budget line will therefore be included using a token entry (p.m.).", "Denna budgetpost ska därför endast läggas till som ett symboliskt anslag (p.m.)."
"This is a parking lot in Elko, Nevada off of Route 80 at 8:01 p.m. on August 19th.", "Det här är en parkeringsplats i Elko, Nevada vid Route 80 klockan 20.01 19 augusti."
"In the directive, the Commission proposes a new form for the finer particles, PM2.5.", "I direktivet föreslår kommissionen en ny formel för de fina partiklarna, PM2,5."
"So, not now, but at 5.30 p.m.", "Ett sådant förslag skall omedelbart gå till omröstning" , dvs. inte nu, utan 17.30."
"I said that we would end at 1.15 p.m. and we have respected this timetable.", "Jag sade att vi kommer att avsluta kl. 13.15 och vi har respekterat denna timing."
"The debate will continue at 3 p.m. with the speech by Commissioner Liikanen.", "Debatten kommer att fortsätta kl. 15.00 med ett inlägg från kommissionär Liikanen."
"In view of the time, voting time will be suspended now and resumed at 5.30 p.m.", "Eftersom det är sent avbryter vi omröstningsomgången nu och återupptar den kl. 17.30."
"In fact, tomorrow at 7.30 p.m. I shall receive the Cuban Minister for Foreign Affairs.", "Jag kommer faktiskt att ta emot den kubanske utrikesministern kl. 19.30 i morgon."
"(Applause) PM: And we should point out that he works with you as well at the paper.", "(Applåd) PM: Och vi borde påpeka att han arbetar också med dig på tidningen."
"(Applause) PM: Nadia, I think you've just given us a very different view of Yemen.", "(Applåd) PM: Nadia, jag tror att du just gett oss en mycket annorlunda bild av Jemen."
"The discussion on this item of the Agenda will continue this evening at 6.00 p.m.", "Debatten om denna punkt på föredragningslistan kommer att fortsätta i kväll kl. 18.00."
"Depending on when the debate ends, the vote will take place at around 5.30 p.m.", "Omröstningen kommer att äga rum, beroende på när debatten avslutas, omkring kl. 17.30."
"(The sitting was suspended at 12 noon pending voting time and resumed at 12.05 p.m.)", "(Sammanträdet avbröts kl. 12.00 i väntan på omröstningen och återupptogs kl. 12.05.)"
"After all, it came as a complete surprise that the vote was planned for 12.00 p.m.", "Det var en stor överraskning att omröstningen var planerad till kl. 12.00."
"Question Time with questions to the Commission would then take place at 6.30 p.m.", "Frågestunden med frågor till kommissionen skulle sedan äga rum kl. 18.30."
"In fact, on that particular day I flew at 1 p.m., because the sitting finished earlier.", "Just den dagen reste jag klockan ett eftersom sammanträdet avslutades tidigare."
"I was told, at 7 p.m. this evening, that only one amendment had been introduced.", "I kväll klockan 19 meddelades jag att ett enda ändringsförslag ingivits."
"This also means, however, that there is no tightening of the annual PM10 limits.", "I och med detta blir dock inte heller de årliga gränsvärdena för PM10 strängare."
"No agreement has been reached on safer limits for fine airborne particulates (PM10).", "Inga överenskommelser har nåtts om säkrare gränser för fina luftburna partiklar (PM10)."
"The Commission cannot, therefore, accept any watering down of the daily limit value for PM10.", "Kommissionen kan därför inte godta någon urvattning av det dagliga gränsvärdet för PM10."
"standards for particulate matter PM10 are unchanged in accordance with the original Commission proposal;", "Oförändrade standarder för PM10-partiklar, enligt kommissionens ursprungliga förslag."
"On Amendments 46 and 82, I should provide some further clarification about the daily limit value of PM10.", "När det gäller ändringsförslagen 46 och 82 ska jag ge ytterligare förtydliganden om det dagliga gränsvärdet för PM10."
"This concerns PM10 as well as the NOx sector, of course.", "Detta gäller förstås både PM10 och NOx."
"In 2005, however, air quality levels in the area often exceeded the limit values laid down for PM10 particles.", "År 2005 var emellertid luftföroreningsnivåerna i området högre än de gränsvärden som fastställts för PM10-partiklar."
"As regards the PM10 annual limit value, I understand the ambition behind the committee's proposal to threaten this.", "När det gäller det årliga gränsvärdet för PM10 förstår jag ambitionen bakom utskottets förslag att ifrågasätta detta."
"The main concern where improvement of air quality is concerned has to do with the limit values for PM10 and PM2.5 particles.", "Det största problemet när det gäller förbättring av luftkvaliteten har att göra med gränsvärdena för partiklar av typen PM10 och PM2,5."
"I will start with PM10.", "Jag börjar med PM10."
"According to this information, the limit values for PM10, as well as for NO2, plus the margin of tolerance, have been exceeded at several stations in Athens.", "Enligt dessa uppgifter har gränsvärdena för såväl PM10 som kvävedioxid, plus toleransmarginalen, överskridits vid flera stationer i Aten."
"The latter category is particularly relevant to address situations where there is risk of exceeding the particulate matter PM 10 limit values, for example.", "Den senare kategorin är särskilt viktig för att hantera lägen där det finns risk för överskridande av gränsvärdena för exempelvis partikelämnet PM10."
"The targets set in the legislation, be it PM10 or PM2.5, or the date on which the Directive will come into force, should be ambitious but realistic.", "De mål som fastställs i lagstiftningen, vare sig de gäller PM10 eller PM2,5 eller det datum då direktivet kommer att träda i kraft, bör vara ambitiösa men realistiska."
"Since the entry into effect of the Air Quality Directive in 2005, which specifies ceilings for PM10 dust particles, ten Member States have failed to meet the requirements.", "Sedan direktivet om luftkvalitet trädde i kraft 2005, där taken för PM10-partiklarna anges, har tio medlemsstater misslyckats med att uppfylla kraven."
"Cities and towns, however, can in future apply for an extension to the deadline for meeting the existing PM10 limits under strict conditions.", "Städerna kan under stränga förutsättningar emellertid även i framtiden ansöka om en förlängning av fristen när det gäller att uppfylla kraven för de befintliga gränsvärdena för PM10."
"Member States are obliged to ensure that up-to-date information on ambient concentration of air pollutants, such as NO2 or PM10, is routinely made available to the public.", "Medlemsstaterna är skyldiga att se till att aktuella uppgifter om koncentrationerna av luftföroreningar såsom kvävedioxid och PM10 rutinmässigt görs tillgängliga för allmänheten."
"There is a large degree of consensus in this House about the lack of ambition inherent in allowing the 40 microgram annual average value for PM10 to remain unchanged after 2010.", "Det finns ett brett samförstånd i parlamentet om den bristande ambitionsnivå som det innebär att låta 40 mikrogram som årligt genomsnittsvärde för PM10 förbli oförändrat efter 2010."
"There is a large degree of consensus in this House about the lack of ambition inherent in allowing the 40 microgram annual average value for PM10 to remain unchanged after 2010.", "Det finns ett brett samförstånd i parlamentet om den bristande ambitionsnivå som det innebär att låta 40 mikrogram som årligt genomsnittsvärde för PM10 förbli oförändrat efter 2010."
"PM10 standards will be fully reassessed at the review in 2013 to ensure that the latest scientific knowledge and the implementation experience are properly reflected in the standards.", "Standarderna för PM10 kommer att ses över i sin helhet i samband med översynen 2013, så att de speglar de senaste vetenskapliga rönen och erfarenheter från det praktiska genomförandet."
"For maritime transport to remain one of the least polluting means of transport, progress still needs to be made in reducing emissions of sulphur oxide, nitrogen oxide, particulates (PM10) and CO2.", "För att sjöfarten ska förbli ett av de minst förorenande transportsätten måste framsteg göras för att minska utsläppen av svaveloxid, kväveoxid, fina partiklar och koldioxid."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision DARE logo small for print PMS", "expand_more DARE logga liten för tryck PMS"
"more_vert open_in_new Link to statmt.org warning Request revision There will be a meeting of the Maghreb delegation this afternoon at 3 p.m.", "expand_more Det kommer att vara ett möte med Maghrebdelegationen i eftermiddag kl. 15.00."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision DARE logga liten för tryck PMS", "expand_more DARE logo small for print PMS"
"In a disaster situation we cannot respond with technical rigidity, POs, QCAs, deflectors, PMs and other Community jargon initials.", "Man kan inte reagera med teknisk stränghet, med operativa program, gemenskapsstödram, skenmanövrar, projektledning och andra tecken från gemenskapsjargongen på en katastrofsituation."
"PMT is the constant payment (annuity) paid during each period.", "Betalning är den konstanta annuiteten som betalas varje period."
"PMT is the constant annuity paid in each period.", "Betalning är den konstanta annuiteten som ska betalas varje period."
"PMT is the annuity paid regularly per period.", "Betalning är betalningen för en period."
"PMT is the regular payment made per period.", "Betalning är betalningen för en period."
"Where the two areas of PNR and SWIFT are concerned, we face different situations.", "När det gäller passageraruppgifter och SWIFT står vi inför två olika situationer."
"At the same time, when discussing PNR data, we also need to look beyond this.", "Samtidigt när vi diskuterar PNR-uppgifter måste vi också se längre än till detta."
"I do not believe that we will have adopted the European PNR by the end of this year.", "Jag tror inte att vi kommer att ha antagit någon europeisk PNR vid årets slut."
"The Commission has published a communication on a global EU approach on PNR.", "Vad är senaste nytt när det gäller utvecklingen av filtersystem för flygbolag?"
"Passenger Name Record (PNR) (motions for resolutions tabled): see Minutes", "Passageraruppgifter (PNR-uppgifter) (ingivna resolutionsförslag): se protokollet"
"There are already strange developments taking place, also involving these PNR data.", "Redan nu händer märkliga saker, också med anknytning till dessa passageraruppgifter."
"At the same time, there are proposals circulating on a European PNR policy.", "Samtidigt finns det förslag i omlopp om en EU-politik för passageraruppgifter."
"With regard to PNR, this is an issue that has concerned Parliament for two years.", "När det gäller PNR är det en fråga som har bekymrat parlamentet i två år."
"The next item is the Commission statement on the PNR Agreement with the United States.", "Nästa punkt är kommissionens uttalande om avtal med Förenta staterna om PNR-nummer."
"Mr President, today we are discussing the PNR Agreement with the United States.", "Vi debatterar i dag avtalet med Förenta staterna om passageraruppgifter."
"But let me add that none of these bilateral agreements cover PNR data.", "Men låt mig tillägga att inget av dessa bilaterala avtal omfattar PNR-uppgifter."
"Several other countries have begun to consider the idea of using PNR data.", "Flera andra länder har börjat överväga idén att använda passageraruppgifter."
"We have been told that PNR data offer opportunities for fighting crime.", "Det har sagts att passageraruppgifter gör det möjligt att bekämpa brottslighet."
"Another point I wish to emphasise is the European PNR system initiative.", "En annan punkt som jag vill framhålla är initiativet för ett europeiskt PNR-system."
"However, this does not diminish the level of protection of PNR data transferred to Canada.", "Detta minskar dock inte skyddsnivån för PNR-uppgifter som överförs till Kanada."
"At this stage of the negotiations on PNR, we can still use what we have learnt.", "I det här skedet av förhandlingarna om PNR kan vi fortfarande använda det vi har lärt oss."
"We do not even know what purpose the PNR agreement with the United States serves.", "Vi vet inte ens vilket syfte PNR-avtalet med Förenta staterna tjänar."
"I understand that a number of PNR data are being used for the new system.", "Jag förstår att ett antal passageraruppgifter används för det nya systemet."
"With regard to the PNR issue itself, we should distinguish three phases.", "När det gäller sakfrågan om passageraruppgifter måste vi urskilja tre faser."
"The PNR resolution was adopted by a very large majority and with our support.", "PNR-resolutionen antogs av en mycket stor majoritet och med vårt stöd."
"Toll- og avgiftsdirektoratet Directorate of Customs and Excise PO Box 8122 Dep.", "Toll- og avgiftsdirektoratet Directorate of Customs and Excise PO Box 8122 Dep."
"Tullihallitus / Tullstyrelsen National Board of Customs Erottajankatu 2 P.O.", "Tullihallitus / Tullstyrelsen National Board of Customs Erottajankatu 2 P.O."
"Inspectie Leefomgeving en Transport Human Environment and Transport Inspectorate P.O.", "Inspectie Leefomgeving en Transport Human Environment and Transport Inspectorate P.O."
"Ulkoasiainministeriö/ Utrikesministeriet Ministry for Foreign Affairs P.O.", "Ulkoasiainministeriö/ Utrikesministeriet Ministry for Foreign Affairs P.O."
"Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li", "Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li"
"It is not just southern Italy that is in danger of dying of thirst, but the Po Valley as well.", "Det är inte bara södra Italien som riskerar att dö av törst, utan även Podalen."
"Centre for International Mobility (CIMO) Youth in Action Programme P.O.", "Centre for International Mobility (CIMO) Youth in Action Programme P.O."
"We were monitoring his PO2 of his blood, his heart rate, his blood pressure.", "Vi övervakade hans syre i blodet, hjärtfrekvens, hans blodtryck."
"NAV Utland National Insurance Office for Social Insurance Abroad P.O.", "NAV Utland National Insurance Office for Social Insurance Abroad P.O."
"Opetusministeriö/Undervisningsministeriet Ministry of Education P.O.", "Opetusministeriö/Undervisningsministeriet Ministry of Education P.O."
"Swedish Export Credit Corporation (publ) Klarabergsviadukten 61 - 63 P.O.", "AB Svensk Exportkredit (publ) Klarabergsviadukten 61 - 63 P.O."
"The Valle d'Aosta, Piedmont and many areas of the Po Valley and Lombardy were particularly hard hit.", "Särskilt drabbade är Aostadalen, Piemonte och många delar av Poslätten och Lombardiet."
"Visiting address Rymdcampus, E10 Address PO Box 812, 981 28 Kiruna", "Besöksadress Rymdcampus, E10 Postadress Box 812, 981 28 Kiruna"
"Utanriksdepartementet Ministry of foreign affairs PO Box 8114 Dep.", "Utanriksdepartementet Ministry of foreign affairs PO Box 8114 Dep."
"Ministry of the Interior Post adress PO Box 26 FI-00023 Government", "Ministry of the Interior Post adress PO Box 26 FI-00023 Government"
"Post address Ajoneuvohallintokeskus AKE Vehicle Administration AKE PO Box 120 FI-00101 Helsinki", "Post address Ajoneuvohallintokeskus AKE Vehicle Administration AKE PO Box 120 FI-00101 Helsinki"
"However, I have now heard Mr Barnier say that there will be one PO box and one e-mail address after all.", "Jag har dock nu hört Barnier säga att det ändå kommer en postlåda och en e-postadress."
"Post address Liikenteen turvallisuusvirasto Trafi The Finnish Transport Safety Agency Trafi P.O.", "Post address Liikenteen turvallisuusvirasto Trafi The Finnish Transport Safety Agency Trafi P.O."
"Euroopan Kuluttajakeskus European Consumer Centre Finland P.O.", "Euroopan Kuluttajakeskus European Consumer Centre Finland P.O."
"Danish Transport Authority Civil Aviation Administration P.O.", "Danish Transport Authority Civil Aviation Administration P.O."
"more_vert open_in_new Link to statmt.org warning Request revision It is something like 20% of cases that matters become problematic, when the only known address is often a PO Box in a foreign country.", "postbox i ett annat land."
"Toll- og avgiftsdirektoratet Directorate of Customs and Excise PO Box 8122 Dep.", "Toll- og avgiftsdirektoratet Directorate of Customs and Excise PO Box 8122 Dep."
"Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li", "Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li"
"Visiting address Rymdcampus, E10 Address PO Box 812, 981 28 Kiruna", "Besöksadress Rymdcampus, E10 Postadress Box 812, 981 28 Kiruna"
"Utanriksdepartementet Ministry of foreign affairs PO Box 8114 Dep.", "Utanriksdepartementet Ministry of foreign affairs PO Box 8114 Dep."
"Ministry of the Interior Post adress PO Box 26 FI-00023 Government", "Ministry of the Interior Post adress PO Box 26 FI-00023 Government"
"Post address Ajoneuvohallintokeskus AKE Vehicle Administration AKE PO Box 120 FI-00101 Helsinki", "Post address Ajoneuvohallintokeskus AKE Vehicle Administration AKE PO Box 120 FI-00101 Helsinki"
"However, I have now heard Mr Barnier say that there will be one PO box and one e-mail address after all.", "Jag har dock nu hört Barnier säga att det ändå kommer en postlåda och en e-postadress."
"Veendam Office Skager Rak 10 PO Box 30 000 NL 9640 RA Tel.: +31 598 39 33 30 E-mail: info[at]rdw.nl", "Veendam Office Skager Rak 10 PO Box 30 000 NL 9640 RA Tel.: +31 598 39 33 30 E-mail: info[at]rdw.nl"
"Tel: +354 1200 (no po box) E-mail: ns[at]ns.is", "Tel: +354 1200 (no po box) E-mail: ns[at]ns.is"
"RDW (Dienst Wegverkeer) RDW Transport service Head Office Zoetermeer Europaweg, 205 PO Box 777 NL - 2700 AT Zoetemeer", "RDW (Dienst Wegverkeer) RDW Transport service Head Office Zoetermeer Europaweg, 205 PO Box 777 NL - 2700 AT Zoetemeer"
"Ministry of Foreign Affairs Government Spokesperson’s Office PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li", "Ministry of Foreign Affairs Government Spokesperson’s Office PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li"
"It is something like 20 % of cases that matters become problematic, when the only known address is often a PO Box in a foreign country.", "Lagstiftning behövs också snarast eftersom problemen blir allt vanligare, och allmänheten skall inte behöva klara sig själv."
"Liechtensteinischer Bankenombudsmann Bank Ombudsman Mitteldorf 1, PO Box 343 FL - 9490 Vaduz Tel.: +423 238 10 30 E-mail: info[at]schlichtungsstelle.li", "Liechtensteinischer Bankenombudsmann Bank Ombudsman Mitteldorf 1, PO Box 343 FL - 9490 Vaduz Tel.: +423 238 10 30 E-mail: info[at]schlichtungsstelle.li"
"Sosiaali- ja terveysministeriö Ministry of Social Affairs and Health PO Box 33 FI - 00023 Government Tel.: +358 9 160 01 E-mail: kirjaamo.stm[at]stm.fi", "Sosiaali- ja terveysministeriö Ministry of Social Affairs and Health PO Box 33 FI - 00023 Government Tel.: +358 9 160 01 E-mail: kirjaamo.stm[at]stm.fi"
"Some of the companies constantly change their names and their P.O. box addresses and this also makes it difficult to arrest the people who are pulling the strings.", "En del katalogföretag byter ständigt namn och postboxadress, vilket innebär att det även är svårt att anhålla de personer som drar i trådarna."
"Oikeusministeriö Ministry of Justice Eteläesplanadi 10 PO BOX 25 FI - 00023 Government Helsinki Tel.: +358 9 160 03 E-mail: oikeusministerio[at]om.fi Website", "Oikeusministeriö Ministry of Justice Eteläesplanadi 10 PO BOX 25 FI - 00023 Government Helsinki Tel.: +358 9 160 03 E-mail: oikeusministerio[at]om.fi Website"
"Ministerie van Volksgezondheid, Welzijn en Sport Ministry of Health, Welfare and Sport PO Box 20350 NL - 2500 EJ The Hague Tel.: +31 70 340 79 11 Email Website", "Ministerie van Volksgezondheid, Welzijn en Sport Ministry of Health, Welfare and Sport PO Box 20350 NL - 2500 EJ The Hague Tel.: +31 70 340 79 11 Email Website"
"Svenska Institutet (SI) Swedish Institute (SI) Slottsbacken, 10 PO Box 7434 SE - 103 91 Stockholm Tel.: +46 8 453 78 00 Fax: +46 8 20 72 48 E-mail: si[at]si.se", "Svenska Institutet (SI) Swedish Institute (SI) Slottsbacken, 10 PO Box 7434 SE - 103 91 Stockholm Tel.: +46 8 453 78 00 Fax: +46 8 20 72 48 E-mail: si[at]si.se"
"I would also like to state, although this is a detail, that the so-called firms with PO box addresses are not a manifestation of the posting of workers or of freedom of movement.", "Jag skulle också vilja säga, även om detta är en detalj, att de så kallade brevlådeföretagen inte är ett tecken på utstationering av arbetstagare eller på fri rörlighet."
