//Sentences
"That would certainly be very beneficial and useful from a political point of view.", "Det skulle verkligen vara mycket gynnsamt och värdefullt ur politisk synvinkel."
"We have sufficient information to state that the target of limiting the global average temperature increase to not more than 2°C above pre-industrial levels in future is important.", "Vi har tillräcklig information för att konstatera att målet om att begränsa den globala temperaturökningen till högst 2 °C över förindustriella nivåer i framtiden är viktigt."
"All this is essentially contained in the report on precarious women workers.", "Allt detta finns i själva verket i betänkandet om kvinnor med otrygga anställningsförhållanden."
"I endorsed the report on precarious women workers.", "Jag stödde betänkandet om kvinnor med otrygga anställningsförhållanden."
"In this crisis, precarious workers were the first to be affected by job losses.", "Under krisen var det arbetstagare med otrygga anställningsförhållanden som drabbades först av förlusten av arbetstillfällen."
"Let me start with precarious women workers.", "Jag vill börja med kvinnor med otrygga anställningsförhållanden."
"In France, for example, they represent 80% of part-time workers, with precarious and poorly paid jobs.", "I Frankrike, till exempel, utgör kvinnorna 80 procent av landets deltidsarbetare och har otrygga och dåligt betalda jobb."
"Precarious workers are, in fact, facing this crisis without the safeguards that other workers can enjoy.", "Arbetstagare med otrygga anställningsförhållanden ställs faktiskt inför krisen utan de garantier som andra arbetstagare åtnjuter."
"I welcome the fact that the European Parliament initiated this important report on precarious women workers.", "Jag välkomnar att Europaparlamentet har tagit initiativ till detta viktiga betänkande om kvinnor med otrygga anställningsförhållanden."
"Precarious women workers (", "Kvinnor med otrygga anställningsförhållanden ("
"Precarious conditions among workers are also increasing: the number of those who are affected by poverty is currently 19 million.", "Även situationen för människor med anställning blir alltmer otrygg och 19 miljoner av dem lider i nuläget av fattigdom."
"(IT) Madam President, the current economic and financial crisis has aggravated the problem of precarious women workers.", "(IT) Fru talman! Den rådande ekonomiska och finansiella krisen har förvärrat problemet med otrygga anställningsförhållanden för kvinnor."
"The project encourages exchanges of best practice, in particular, involving precarious workers' collective representation.", "Projektet uppmuntrar till utbyte av bästa metoder, i synnerhet sådana som har att göra med att företräda personer med otrygga anställningar som grupp."
"Another important step towards more equality on the labour market is the report on precarious women workers, for which I was rapporteur.", "Ett annat viktigt steg mot en mer jämlik arbetsmarknad är betänkandet om kvinnor med otrygga anställningsförhållanden, som jag var föredragande för."
"I will specifically address the Thomsen report, for which I was shadow rapporteur; in other words, the subject of 'precarious women workers'.", "Jag vill särskilt ta upp Thomsenbetänkandet, som jag var skuggföredragande för. Med andra ord ämnet ”kvinnor med otrygga anställningsförhållanden”."
"Conscious of the need to increase their protection, I supported the resolution by the European Parliament on precarious workers.", "Jag är medveten om behovet av att öka skyddet av dessa kvinnor, och röstade därför för Europaparlamentets resolution om kvinnor med otrygga anställningsförhållanden."
"Within the European Union, a merely descriptive term such as 'precarious women workers' still contains two forms of discrimination, both of them very serious.", "I Europeiska unionen rymmer en beskrivande term som ”kvinnor med otrygga anställningsförhållanden” två former av diskriminering, båda mycket allvarliga."
"(IT) Madam President, the huge majority that voted for the report is an important warning signal from Parliament about the problem of precarious women workers.", "(IT) Fru talman! Den mycket stora majoritet som röstade för betänkandet är en viktig varningssignal från parlamentet om problemet med kvinnors otrygga anställningsförhållanden."
"It calls upon the Commission to support the Member States in developing a campaign for a step-by-step transformation of precarious female workers into regular workers;", "Kommissionen uppmanas att stödja medlemsstaterna i utvecklingen av en kampanj för en stegvis övergång för arbetstagare från otrygga till reguljära anställningsförhållanden."
"The day after the International Day for the Eradication of Poverty and social exclusion, I resolutely voted in favour of this report on precarious workers.", "Dagen efter Internationella dagen för utrotande av fattigdom och social utslagning röstade jag beslutsamt ja till detta betänkande om arbetstagare med otrygga anställningsförhållanden."
"I should therefore like to ask you, Commissioner, what measures you intend to take to protect young workers from precarious jobs and arbitrary action by employers.", "Jag vill därför fråga dig, herr kommissionsledamot, vilka åtgärder du tänker vidta för att skydda unga arbetstagare från osäkra jobb och godtyckligt agerande från arbetsgivarnas sida."
"Improvements in the safety and health at work of pregnant workers and workers who have recently given birth or are breastfeeding - Precarious women workers (debate)", "Åtgärder för att förbättra säkerhet och hälsa på arbetsplatsen för arbetstagare som är gravida, nyligen har fött barn eller ammar - Kvinnor med otrygga anställningsförhållanden (debatt)"
"Mr Prodi also has another proposal about preferring regulations to directives.", "Prodi har även ett annat förslag om att ge företräde åt förordningar i stället för direktiv."
"We did not, instead preferring to put our outcomes on the table very early on.", "Vi gjorde inte det utan föredrog i stället att lägga fram våra resultat på bordet redan mycket tidigt."
"Most of the world’s people would rather live in Europe, even preferring it to America.", "En majoritet av jordens befolkning skulle helst vilja bo i Europa, och föredrar till och med Europa framför Amerika."
"Most of the world’ s people would rather live in Europe, even preferring it to America.", "En majoritet av jordens befolkning skulle helst vilja bo i Europa, och föredrar till och med Europa framför Amerika."
"There have been no reforms; the Commission has simply limited itself to promises, preferring rhetoric over action.", "Inga reformer har skett, då kommissionen begränsat sig till löften, och föredragit retorik framför handling."
"This is why, Mr Cohn-Bendit, you will not resent my preferring Mr Schulz's or Mr Daul's analysis to yours, just this once.", "Och därför tar ni säkert inte illa upp om jag för en gångs skull föredrar Martin Schulz och Joseph Dauls analyser framför er egen."
"There are those, like Mr Titford, who vigorously defend their own national interest, preferring tax competition to European coordination.", "Titford, som bestämt försvarar sitt nationella intresse och föredrar en skattekonkurrens framför en europeisk samordning."
"For a very long time, the Russians have insisted on a very specific and practical approach, preferring cash on the nail to grand ideas.", "Under mycket lång tid höll Ryssland fast vid en mycket konkret och pragmatisk linje, där man hellre valde kontanter direkt än storslagna idéer."
"The Commission has refrained from stating its position, preferring the Commission's definitive position to be established by the new Commission.", "Kommissionen har förbehållit sig sin ståndpunkt och föredrar att den nya kommissionen fastställer kommissionens definitiva ståndpunkt."
"The Netherlands does not have the greatest reputation in this area, preferring to leave it up to the Union to take initiatives on human rights.", "Nederländerna har vad det beträffar inte det bästa ryktet, man överlåter helst respekten för de mänskliga rättigheterna till europeiska initiativ."
"And I hope Mr Rothley will forgive us for disagreeing with his way of thinking and preferring the rationale of the amendment by the European People's Party.", "Och jag delar inte Rothleys inställning utan föredrar den inriktning som präglar ändringsförslaget från Europeiska folkpartiets grupp."
"We very much regret that they were not willing to compromise, preferring to use the resolution to focus on the political situation in the North of Ireland.", "Vi beklagar verkligen att de inte var villiga att kompromissa. De föredrog i stället att använda resolutionen till att fokusera på Nordirlands politiska situation."
"Whether they are socialist or conservative they want to go about their business without any democratic debate, preferring a Vatican-style conclave instead.", "Vare sig de är socialister eller konservativa vill de fortsätta sitt mygel utan demokratisk debatt, de föredrar den spådomsartade konklaven framför den demokratiska debatten."
"The Council was not able to overcome its divisions on the subject, preferring to hide from Parliament behind technical arguments and so doing away with our competences.", "Rådet lyckades inte överbrygga sin splittring i frågan och föredrog att gömma sig för parlamentet bakom tekniska argument och på så sätt strunta i våra befogenheter."
"However, as things stand, I am sorry to say that the Albanian authorities are still preferring to find their own solution to the problems created by these saving schemes.", "Men i det nuvarande läget måste jag tyvärr konstatera att de albanska myndigheterna fortfarande föredrar att själva lösa de problem som orsakas av detta sparsystem."
"It is thanks, too, to Parliament' s action, preferring a number of small-scale measures to be carried out close to the citizens' cultural roots rather than vast measures on a spectacular scale.", "Det är också tack vare parlamentet som vill att fler små åtgärder skall genomföras nära medborgarnas rötter snarare än stora spektakulära åtgärder."
"It is thanks, too, to Parliament's action, preferring a number of small-scale measures to be carried out close to the citizens ' cultural roots rather than vast measures on a spectacular scale.", "Det är också tack vare parlamentet som vill att fler små åtgärder skall genomföras nära medborgarnas rötter snarare än stora spektakulära åtgärder."
"Our Parliament has decided not take any action either, preferring a mere Commission statement to committing ourselves to a resolution, as proposed by our political group.", "Vårt parlament har också beslutat att inte agera utan nöjer sig med ett uttalade från kommissionen i stället för att anta en resolution, som föreslagits av vår politiska grupp."
"It is the first in which we have desisted from calling for any increase in the global volume proposed by the Commission, instead preferring a realistic and political approach.", "Det är den första budgeten där vi har avstått från att öka den generella omfattning som kommissionen föreslagit och istället har föredragit att inta en realistisk och politisk hållning."
"Reform therefore involves an enormous change in favour of primary healthcare.", "Reformen omfattar således en mycket stor förändring som gynnar primärvården."
"At the same time we have rehabilitated almost 200 primary healthcare centres and 10 hospitals.", "Samtidigt har vi restaurerat nästan 200 primärvårdcentraler och 10 sjukhus."
"This gives an annual number of between almost 7 million and 15 million hospital patients, to which can be added the some 37 million patients who call on primary healthcare.", "Detta ger ett antal på mellan nästan 7 miljoner och 15 miljoner sjukhuspatienter per år, till vilket kommer ungefär 37 miljoner patienter som söker primärsjukvård."
"The problem of tuberculosis and of other diseases will not be solved without high-quality public health services accessible to the entire population, including primary healthcare.", "Problemet med tuberkulos och andra sjukdomar kommer inte att lösas förrän hela befolkningen har tillgång till högkvalitativ offentlig hälso- och sjukvård, inklusive primärvård."
"If it were, I would have attempted to raise the issue of the sadly mismanaged primary healthcare trust in west Gloucestershire closing two out of two local hospitals in Lydney and Cinderford.", "Om den vore det skulle jag ha försökt att ta upp frågan om den tragiskt misskötta primärvården i västra Gloucestershire, där de enda två lokala sjukhusen i Lydney och Cinderford stängdes."
"The issue of development cooperation is one of the cardinal principles underpinning my work.", "Utvecklingssamarbete är en av de centrala principer som ligger till grund för mitt arbete."
"Social inclusion and respect for gender equality are fundamental principles underpinning the Lisbon Strategy.", "I detta sammanhang är det värt att minnas att funktionshinder och fattigdom ofta hänger ihop."
"Social inclusion and respect for gender equality are fundamental principles underpinning the Lisbon Strategy.", ". Social integration och respekt för jämlikhet mellan könen är principer som ligger till grund för Lissabonstrategin."
"The Commission’s proposal has emphasised and given added relevance to the underpinning principles of our sustainable development policy.", "I kommissionens förslag har ytterligare relevans betonats och getts för att bekräfta principerna i vår strategi för hållbar utveckling."
"The Commission’ s proposal has emphasised and given added relevance to the underpinning principles of our sustainable development policy.", "I kommissionens förslag har ytterligare relevans betonats och getts för att bekräfta principerna i vår strategi för hållbar utveckling."
"Let me just briefly go through some of the recommendations and the principles underpinning them, because they deserve due consideration.", "Låt mig bara kort gå igenom några av de rekommendationer och principer som underbygger dem, eftersom de förtjänar omsorgsfull uppmärksamhet."
"I refer to the principles underpinning Community financial provisions, namely transparency and optimal use of financial resources.", "Jag syftar på de principer som ligger till grund för gemenskapens finansiella bestämmelser, såsom öppenhet och lämpligt utnyttjande av finansiella medel."
"Yes, freedom of religion is a fundamental right in the European Union, but separation of Church and State is one of the basic principles underpinning our modern society.", "Men en sådan dialog bör uppfylla de normala kriterierna på öppenhet som gäller för all verksamhet i EU: s institutioner."
"Only in this way can it be ensured that these data transfers do not constitute a departure from the principles underpinning EU legislation and practice.", "Det är det enda sättet att se till att dessa överföringar inte utgör ett avsteg från de principer som ligger till grund för EU:s lagstiftning och praxis."
"This approach is contrary to the very concept of European integration and, if systematically applied, would jeopardise the principles underpinning the Union.", "Den metoden strider mot själva begreppet ”europeisk integration” och skulle, om den användes systematiskt, äventyra de principer som unionen vilar på."
"This approach is contrary to the very concept of European integration and, if systematically applied, would jeopardise the principles underpinning the Union.", "Även om rättvisa är ett viktigt villkor för alla konstitutionella överenskommelser, kan inget nu sätta stopp för den pågående integrationsutvecklingen."
"The report clearly formulates the basic principles underpinning the grant of aid for innovation and specifies the groups to which such grants can be made.", "I betänkandet formuleras tydligt de grundläggande principerna för tilldelning av stöd för innovation, och de grupper som kan erhålla sådant stöd specificeras."
"Needless to say, this dialogue cannot simply be based either on the principles of the European Union or on the principles underpinning the regimes in these countries.", "Grunden för denna dialog kan självfallet inte vara vare sig endast Europeiska unionens principer eller principerna i och grunden för dessa länders system."
"Hence I am particularly delighted that the proposals contained in my 2008 report on port State control have become key principles underpinning EMSA's work.", "Därför är det särskilt glädjande att de förslag som finns i min rapport om hamnstatskontroll från 2008 utgör en viktig grund för Europeiska sjösäkerhetsbyråns arbete."
"Most of the principles underpinning the rules of participation in Euratom are identical to the general rules applicable to the 7th Framework Programme.", "De flesta av de principer som ligger till grund för bestämmelserna för deltagande i Euratom är identiska med de allmänna bestämmelser som kan tillämpas på sjunde ramprogrammet."
"The principles underpinning this programme are to create an open method of coordination between Member States to help eradicate poverty and social exclusion.", "De principer som detta program stödjer sig på är att skapa en öppen metod av samarbete mellan medlemsstaterna för att hjälpa till att bekämpa fattigdom och social utslagning."
"Yes, freedom of religion is a fundamental right in the European Union, but separation of Church and State is one of the basic principles underpinning our modern society.", "Ja, religionsfrihet är en grundläggande rättighet i Europeiska unionen, men separationen av kyrka och stat är en av grundsatserna som vårt moderna samhälle vilar på."
"We believe that the presidential election in Belarus infringed a number of fundamental principles underpinning democratic and fair elections.", "Vi anser att presidentvalet i Vitryssland bröt mot flera grundläggande principer för demokratiska och rättvisa val, därför röstar vi för resolutionen."
"However, this is a job for the private film industry and the Member States themselves.", "Det är dock en uppgift för den privata filmindustrin och medlemsstaterna själva."
"I think that could be an excellent form of cooperation with private industry.", "Jag tycker att det skulle kunna bli en utmärkt form av samarbete med den privata industrin."
"It means a great deal more transparency in the private equity industry.", "Det innebär mycket mer insyn i private equity-industrin."
"It is organised by the World Water Council, which is largely dominated by private industry and businesses.", "Det organiseras av Världsvattenrådet, som huvudsakligen domineras av den privata industrin."
"There is no doubt that the high cost of a European system means that partnership between public and private industry in Europe will be necessary.", "Självklart kräver systemets höga kostnad ett partnerskap mellan offentlig och privat industri inom Europa."
"Unfortunately, this statistical discrimination still occurs very frequently in the private insurance industry in a number of countries.", "Olyckligtvis äger denna diskriminering fortfarande rum mycket ofta i den privata försäkringsbranschen i en rad länder."
"The outlets into the North Sea and the Atlantic are small, and discharges from agriculture, industry and private households are significant.", "Utloppet mot Nordsjön och Atlanten är litet, och de utsläpp som sker från jordbruk, industrier och hushåll är betydande."
"It demands that Member States encourage private industry to penetrate further into universities and public institutions.", "Det begär också enträget att medlemsstaterna skall uppmuntra den privata industrin att ännu mer penetrera universitet och offentliga inrättningar."
"However, long-term, subsidyindependent jobs are created primarily by private industry, especially the SMEs.", "Beständiga, av subventioner oavhängiga, arbetstillfällen skapas dock företrädesvis inom den privata sektorn, framför allt inom de små och medelstora företagen."
"We must have the courage to tackle this issue and get all the stakeholders involved, while also including the private sector and industry.", "Vi måste ha modet att tackla problemet och få alla berörda parter engagerade, vilket också inbegriper den privata sektorn och industrin."
"So I would caution people against restricting the amount of investment that private industry and business put into creating new jobs, new employment opportunities.", "Som polack vill jag också tacka henne för den grundliga genomgången i betänkandet av läget i de nya medlemsstaterna."
"So we tried to get a whole series of organisations and responsible bodies involved, and in particular those directly affected in private industry.", "Vi har således försökt mobilisera en hel rad organisationer och ansvariga, däribland förstås även de omedelbart berörda parterna - den privata industrin."
"Now it has a deficit of EUR 2.4 billion euros, because private industry is unwilling to get involved in the project, as has happened in the United States of America.", "Nu har det ett underskott på 2,4 miljarder euro, för att de privata företagen inte vill vara delaktiga i projektet, vilket har skett i Förenta staterna."
"When we talk about conditional access, we are at the same time talking about the conditions that we want to impose on private industry for the introduction of conditional access.", "Om vi talar om villkorad tillgång, talar vi om de krav, som vi vill ställa på den privata industrin för införandet av den villkorade tillgången."
"Legally binding regulations must be created, similar to those in private industry, which contain a competition clause or a competition restraint clause in employment contracts.", "Vi måste utforma bindande juridiska bestämmelser, på samma sätt som inom den privata ekonomin, där anställningsavtalen innehåller en konkurrensklausul."
"Cooperation between government, the private sector, industry and the services sector can set a good, encouraging example here, particularly for applied research.", "Samarbete mellan myndigheter, den privata sektorn, industri- och tjänstesektorn kan här vara en bra form och ha en främjande verkan. Det gäller absolut för tillämpad forskning."
"So I would caution people against restricting the amount of investment that private industry and business put into creating new jobs, new employment opportunities.", "Jag skulle därför vilja varna folk för att begränsa den investeringsmängd som privat näringsliv och privatföretag lägger på att skapa nya arbetstillfällen, nya sysselsättningsmöjligheter."
"Finally, we must pay very particular attention to the competitiveness of the European Union and to the economic accessibility of energy for European industry and private consumers.", "Slutligen måste vi särskilt uppmärksamma EU:s konkurrenskraft och se till att energi blir tillgängligt till rimliga priser för såväl industrin som för enskilda konsumenter i Europa."
"We know that these joint actions by governments, private organisations and the industry are a very good example of how Europe can have a direct impact on citizens' daily lives.", "Vi är medvetna om att de gemensamma åtgärder som utförts av regeringar, privata organisationer och industrin är ett bra exempel på hur EU kan ha en direkt inverkan på medborgarnas vardag."
"This project, which I fully support, has not only received significant public funding but private industry throughout the EU is also investing money, time and expertise into developing this system.", "Detta projekt, som jag stöder fullt ut, har inte bara fått betydande offentlig finansiering, utan den privata EU-industrin investerar också pengar, tid och expertis i utvecklingen av detta system."
"The report proposes changes to this status and we will thus vote in favour of it.", "I betänkandet föreslås att detta ska ändras och därför röstar vi för betänkandet."
"Accordingly, my group proposes that we should reduce this tobacco subsidy by 10%.", "Min grupp föreslår därför en minskning av det här tobaksstödet med tio procent."
"My report proposes that such experiments should be eligible for state funding.", "I betänkandet föreslår jag att sådana försök bör ge rätt till offentliga bidrag."
"Baroness Ashton is in the region and what Mr Füle proposes makes a lot of sense.", "Catherine Ashton befinner sig i regionen, och Štefan Füles förslag är vettiga."
"Rather than an immediate liberalization, he proposes a gradual liberalization.", "I stället för en omedelbar avreglering föreslår Sarlis en avreglering i etapper."
"This is exactly what the Ferreira report proposes, which is why I voted against it.", "Det är exakt det som föreslås i Ferreirabetänkandet, varför jag röstade mot det."
"Accordingly, my group proposes that we should reduce this tobacco subsidy by 10 %.", "Min grupp föreslår därför en minskning av det här tobaksstödet med tio procent."
"It proposes increased flexibility in the markets, starting with the labour market.", "Man föreslår en ökad flexibilitet för marknaderna, och börjar med arbetsmarknaden."
"The Commission' s position is fundamental inasmuch as it proposes a framework.", "Kommissionens ståndpunkt är grundläggande eftersom enligt den föreslås en ram."
"The rapporteur proposes a number of valid measures, which I shall not reiterate.", "Föredraganden föreslår en rad meningsfulla åtgärder, som jag inte kommer att upprepa."
"One of the recommendations proposes extending the benefits of State aid to film.", "I en av rekommendationerna föreslås att statligt stöd skall kunna ges även till film."
"And now the Council proposes a further reduction of allocations under this heading.", "Och nu föreslår rådet en ytterligare minskning av anslagen under denna rubrik."
"Steps have been taken, but more needs to be done than the current report proposes.", "Vissa steg har tagits men vi måste göra mer än vad som föreslås i detta betänkande."
"Amongst other things, it proposes decisive action in connection with energy demand.", "Bland annat föreslås ett beslutsamt agerande när det gäller efterfrågan på energi."
"Mr President, the Commission proposes that the existing regulation be extended.", "Herr talman! Kommissionen föreslår att den befintliga förordningen förlängs."
"The Commission's position is fundamental inasmuch as it proposes a framework.", "Kommissionens ståndpunkt är grundläggande eftersom enligt den föreslås en ram."
"In the directive, the Commission proposes a new form for the finer particles, PM2.5.", "I direktivet föreslår kommissionen en ny formel för de fina partiklarna, PM2,5."
"This new regulation proposes that we harmonise these rules of conflict of laws.", "I denna nya förordning föreslås att vi ska harmonisera dessa lagvalsregler."
"The Commission proposes an allocation of EUR 90 million in the Community budget.", "Kommissionen föreslår ett anslag på 90 miljoner euro i gemenskapsbudgeten."
"The Commission therefore proposes that the EU introduce some form of EU tax.", "Kommissionen föreslår därför att EU skall införa någon form av EU-beskattning."
