//Sentences
"I would like to clarify to them that my idea does not violate their Union Jack.", "Jag skulle vilja förklara för dem att min tanke inte var att kränka Union Jack."
". ~~~ Let's just stop treating people."", "Nu säger jag, åh, jättebra förhinderstrategi, låt oss sluta behandla människor?"
"This means that police in another country will not normally stop you just to check if you are insured.", "Det betyder att utländsk polis normalt inte bryr sig om att kontrollera om du är försäkrad."
"He was just trying to stop the train so that kid could get on.", "Han försökte bara stoppa tåget så att killen kunde komma ombord."
"The ratification process must stop, just as it did following the rejection of the EU Constitution.", "Ratificeringsprocessen måste upphöra, precis som den gjorde efter förkastandet av EU-konstitutionen."
"Seriously, for a second, just stop saying the obvious thing.", "Tänk lite i stället för att bara säga det så självklara."
"At the same time, we cannot just stop at these decisions, as they will only provide short-term results.", "Samtidigt får vi inte stoppa vid dessa beslut, eftersom de endast kommer att ge kortsiktiga resultat."
"It is this: ‘ At the end of any series of cruel acts, their source no longer matters; we just want them to stop.’", "Det är så många av de drabbade människorna känner det, och det är förståeligt men det räcker inte."
"Before we leave, perhaps there's time for just one last stop.", "Innan vi åker, har vi tid till ett sista stopp."
"But we do not want to just stop there, at information.", "Men vi vill inte stanna där, vid information."
"Can I just stop you and remind you of one thing?", "Kan du sluta och låta mig få påminna dig om en sak?"
"And for some reason, I just can't stop eating.", "Av någon anledning kan jag inte sluta att äta."
"It is vital to stop not just the armed conflict in Chad but also the fall-out from the crisis in Darfur.", "Det är av största vikt att få stopp inte bara på den väpnade konflikten i Tchad utan också på effekterna från krisen i Darfur."
"However, let me just say, in reaction to the previous speaker, that businesses just stop - they go out of business.", "Låt mig dock bara säga, som reaktion på vad föregående talare sade, att företag bara läggs ned - de upphör med sin verksamhet."
"You can't just stop up the floodgate.", "Du kan inte bara stoppa störtfloden."
"It is this: ‘At the end of any series of cruel acts, their source no longer matters; we just want them to stop.’", "Meningen är denna: ”När en rad grymma händelser har inträffat spelar orsaken inte längre någon roll. Vi vill bara att de skall ta slut.”"
"However, we cannot just stop at this. This occasion must be followed by specific measures at both EU and Member State level.", "Vi får dock inte stanna vid detta utan måste följa upp med specifika åtgärder både på EU-nivå och i de enskilda medlemsstaterna."
"Anna, just stop and think, will you?", "Anna, ta och tänk efter."
"He just wanted to stop that.", "Han vill bara få slut på det."
"Will you just stop it?", "Kan du sluta med det där?"
"Just stop looking at me.", "Sluta titta på mig."
"., J14, and activate the Function Autopilot.", "Placera cellmarkören i en tom cell, t.ex. J14, och starta funktionsautopiloten."
"Europos vartotojų c entras European Consumer Centre Lithuania J. Basanavičiaus st.", "Europos vartotojų c entras European Consumer Centre Lithuania J. Basanavičiaus st."
"Robert J. Evans's report therefore discusses an extremely important issue.", "Vår kollega Robert J. Evans betänkande behandlar alltså en ytterst viktig fråga."
"It is therefore safe to say that recitals I and J of this report are quite misleading.", "Därför kan man säga att skälen I och J i detta betänkande är ganska missvisande."
"B5-0382/ 2003 tabled by Margrietus J. van den Berg, on behalf of the PSE Group;", "B5-0382 / 2003 framlagt av Margrietus J. van den Berg, för PSE-gruppen,"
"Article J.1 of the Maastricht Treaty calls for a dynamic policy towards Latin America.", "Maastrichtfördraget fordrar i artikel J.1 en dynamisk politik gentemot Latinamerika."
"We are voting against recitals I, J and K and are abstaining from voting on paragraph 2.", "Vi röstar nej till skälen I, J och K och lägger ned våra röster vad gäller punkt 2."
"We have always said that there is a procedural loophole in Article J.11.", "Vi har alltid pratat om att det finns en brist i förfarandet i artikel J.11."
"B5-0382/2003 tabled by Margrietus J. van den Berg, on behalf of the PSE Group;", "B5-0382/2003 framlagt av Margrietus J. van den Berg, för PSE-gruppen,"
"We are voting against recitals I, J and K and are abstaining from voting on paragraph 2.", ". Vi röstar nej till skälen I, J och K och lägger ned våra röster vad gäller punkt 2."
"Budapesti BékéltetJ Testület Arbitration Board of Budapest Krisztina krt.", "Budapesti BékéltetJ Testület Arbitration Board of Budapest Krisztina krt."
"Who, as it says for example in recital J, needs to increase the financial priority of water?", "Vem, som det till exempel står i skäl J, behöver öka vattnets ekonomiska prioritet?"
"The recent case of C & J Clark in Castelo de Paiva speaks for itself.", "Det nyligen inträffade fallet med C & J Clark i Castelo de Paiva talar för sig självt."
"Article J.7 of the Maastricht Treaty concerns the common foreign and security policy.", "Artikel J 7 i Maastrichtfördraget handlar om den gemensamma utrikes- och säkerhetspolitiken."
"Consequently we should scrap recitals J and K from paragraph 12 of the motion for a resolution.", "Vi måste av de anledningarna stryka J och K från paragraf 12 i förslaget till resolution."
"B5-0381/2003 tabled by Margrietus J. van den Berg and Maria Carrilho, on behalf of the PSE Group;", "B5-0381/2003 framlagt av Margrietus J. van den Berg och Maria Carrilho, för PSE-gruppen,"
"B5-0381/ 2003 tabled by Margrietus J. van den Berg and Maria Carrilho, on behalf of the PSE Group;", "B5-0381 / 2003 framlagt av Margrietus J. van den Berg och Maria Carrilho, för PSE-gruppen,"
"(Laughter) Bad enough we had to see J. Edgar Hoover in a dress.", "(skratt) Det var tillräckligt jobbigt när vi tvingades see J. Edgar Hoover bära en klänning."
"J. B .S. Haldane himself had something to say about animals whose world is dominated by smell.", "Haldane hade något att säga om djur vars värld domineras av lukt."
"The second line of each refers to different articles, for example: Article J17 and Article J18.", "Till exempel omnämns olika artiklar redan på den andra raden, artikel J 17 eller artikel J 18."
"The Commission believes it should add to the JAA proposal a competence certificate for cabin crews.", "Kommissionen anser att ett intyg om yrkesmässig kompetens måste tillfogas JAA: s förslag."
"For these reasons it would have been better if the Commission had limited itself to the JAA proposal.", "Det hade av denna orsak varit bättre om kommissionen hade kunnat begränsa sig till JAA: s förslag."
"This is a very controversial issue and the reality is that no agreement has been reached in this regard within the JAA.", "Detta är en mycket kontroversiell fråga och verkligheten är att man genom JAA inte har lyckats uppnå någon överenskommelse."
"(ES) Mr President, at a certain point, the two institutions, EASA and JAA, will converge and work together.", "(ES) Herr talman! Det kommer att komma ett tillfälle när de två institutionerna: den europeiska byrån för luftfartssäkerhet och JAA kommer att sammanfalla och finnas samtidigt."
"Some competences will remain with the JAA, such as staffing, for example but, with time, these will be incorporated into EASA.", "JAA har för närvarande kvar vissa befogenheter, till exempel när det gäller personalfrågor, men med tiden kommer dessa att införlivas i byrån för luftfartssäkerhet."
"The JAA, the Joint Aviation Authority, has concentrated on this and approved common requirements both for basic training and for further training.", "JAA, som är den gemensamma europeiska luftfartsmyndigheten, har uppmärksammat detta och godkänt gemensamma krav för både grundutbildning och vidareutbildning."
"It is against this background that the Joint Aviation Requirements, known as JAR-OPS, agreed by the JAA in 1995, are now being transposed into European Union law.", "Det är mot den bakgrunden som Joint Aviation Requirements, s.k. JAR-OPS, som fastställdes av JAA år 1995, nu införlivas i Europeiska unionens lagstiftning."
"In accordance with JAA regulations, which lay down the requirements, the Commission's proposal does not contain any provisions on flight and duty times or on rest periods.", "I enlighet med JAA-normerna, varifrån kraven kommer, innehåller inte kommissionens förslag någon föreskrift avseende flygtider och tjänstgöring eller om viloperioder."
"In accordance with JAA regulations, which lay down the requirements, the Commission' s proposal does not contain any provisions on flight and duty times or on rest periods.", "I enlighet med JAA-normerna, varifrån kraven kommer, innehåller inte kommissionens förslag någon föreskrift avseende flygtider och tjänstgöring eller om viloperioder."
"In addition, I believe at this stage efforts should be concentrated on achieving uniform applicability of ICAO, JAA, and Eurocontrol standards that are already in existence.", "Dessutom anser jag att ansträngningarna på detta stadium borde koncentreras på att uppnå enhetlig tillämplighet av redan befintliga ICAO, JAA och Eurocontrol-standarder."
"I would say to Miss McIntosh, when she considers that there is a possibility of reducing the level of requirements below that of the JAA, I would refer her to page 2 of the proposal.", "Jag skulle vilja säga McIntosh, att när hon anser att det är möjligt att minska kraven till under de som JAA kräver, vill jag hänvisa henne till sida 2 i förslaget."
"It should also be emphasised that efforts should continue to be concentrated on achieving uniform applicability of ICAO, JAA and Eurocontrol standards that are already in existence.", "Dessutom bör det understrykas att ansträngningarna även framdeles borde koncentreras på att uppnå enhetlig tillämplighet av redan befintliga ICAO, JAA och Eurocontrol-standarder."
"The Commission could in this respect have taken the terms of the JAA changed or unchanged and transferred them into Community law - quite simply in accordance with Regulation No 3922/ 91.", "Kommissionen hade i detta avseende kunnat överta bestämmelserna i JAA i ändrad eller oförändrad form och föra över dem till gemenskapsrätten - helt enkelt enligt förordning 3922 / 91."
"Fourth, pressure on the Government and the SLM and the JEM to conclude the Abuja peace process.", "För det fjärde, påtryckningar på regeringen, SLM och JEM för att de skall slutföra Abuja-fredsprocessen."
"Fourth, pressure on the Government and the SLM and the JEM to conclude the Abuja peace process.", "Slutligen bör unionen aktivt överväga ytterligare åtgärder för att sätta större press på parterna, inbegripet sanktioner."
"At the same time, he urged the Government of Sudan and the SPLM, as well as the SLM and the JEM, to intensify efforts to conclude negotiations.", "Även om det humanitära biståndet har fått bättre möjligheter att nå fram, är den humanitära situationen fortfarande kritisk."
"At the same time, he urged the Government of Sudan and the SPLM, as well as the SLM and the JEM, to intensify efforts to conclude negotiations.", "Samtidigt uppmanade han Sudans regering och SPLM, liksom även SLM och JEM, att öka ansträngningarna med att slutföra förhandlingarna."
"Anyone seen Jem?", "Har nån sett Jem?"
"Morning, Jem.", "God morgon, Jem."
"How's Jem?", "Hur mår Jem?"
"This was on Delta 719 going from JFK to San Francisco.", "Det här var på Delta 719 från JFK till San Francisco."
"JFK!... can do for you but what you can do...", "JFK!... kan göra för dig utan vad du kan göra..."
"This afternoon, less than an hour ago, an American aircraft crashed not far from JFK airport in the Queens area of New York.", "I eftermiddag, för mindre än en timme sedan, störtade ett amerikanskt linjetrafikplan över stadsdelen Queens i närheten av John F Kennedy-flygplatsen i New York."
"Mr President, I wish to tell the House that, 10 days ago, Professor Venios Angelopoulos of the Athens Polytechnic travelled to JFK airport in the United States and disappeared.", "Herr talman! För tio dagar sedan hände följande: Venios Angelopoulos, professor vid Atens tekniska högskola, reser till Förenta staterna, till JFK-flygplatsen, och försvinner."
"The first point concerns the issues that are called JHA in our jargon.", "Den första handlar om frågor som vi med vår jargong kallar RIF (rättsliga och inrikes frågor)."
"- having regard to the conclusions of the JHA Council of 18 April 2008,", "- med beaktande av slutsatserna från rådet för rättsliga och inrikes frågor av den 18 april 2008."
"The JHA Council also agreed the Framework Decision on Drugs.", "Rådet (rättsliga och inrikes frågor) har också kommit överens om rambeslutet om droger."
"This report was presented to the European Parliament and the JHA Council in February 2009.", "Denna rapport lades fram för parlamentet och rådet (rättsliga och inrikes frågor) i februari 2009."
"Council Framework Decision 2008/841/JHA of 24 October 2008 on the fight against organised crime;", "Det finns också rapporter om att andra invandrare pryglades eller utsattes för stenkastning."
"The next ministerial meeting will take place on 29 and 30 May at the level of the JHA ministers.", "Nästa ministermöte kommer att äga rum den 29 och 30 maj på justitie- och inrikesministernivå."
"Strengthening of Eurojust and amendment of Decision 2002/187/JHA (", "Förstärkning av Eurojust och ändring av beslut 2002/187/RIF ("
"This network was set up in 2001 by Council Decision 2001/427/JHA.", "Nätverket inrättades 2001 genom rådets beslut 2001/427/JHA."
"Thanks to this text on which the JHA Council has agreed, Eurojust will be more operational and reactive.", "Tack vare denna text som RIF-rådet enats om kommer Eurojust att bli mer operativt och aktivt."
"I firmly believe that the JHA Council will take into consideration the recommendations featuring in this resolution.", "Jag är övertygad om att RIF-rådet kommer att beakta rekommendationerna i denna resolution."
"The outcome of these discussions should be adopted as JHA Council conclusions in December 2008.", "Rådet (rättsliga och inrikes frågor) bör anta resultatet av dessa diskussioner som sina slutsatser i december 2008."
"We initially also mentioned that we are in the process of producing an overview of our working methods at JHA.", "Vi nämnde inledningsvis också att vi håller på att göra en översyn av våra arbetsmetoder inom RIF-området."
"The Presidency hopes that they will be approved and signed at the JHA Council on 6 June.", "Ordförandeskapet hoppas att det kommer att få ett godkännande att underteckna dem vid rådets (rättsliga och inrikes frågor) möte den 6 juni."
"This matter has come to be regulated by two acts of differing legal value, because Joint Action 98/699/JHA has not been revoked.", "Detta ämne har reglerats genom två akter med olika juridiskt värde (gemensam åtgärd 98 har ej upphävts)."
"Subject: Denmark's JHA opt-out Title IV of the EC Treaty does not apply to Denmark.", "Angående: Danmarks undantag för rättsliga och inrikes frågor (RIF) Fördraget om upprättandet av Europeiska gemenskapen, kapitel IV, gäller inte Danmark."
"We will also discuss it this next week at the Foreign Affairs Council and at the JHA Council that will meet next week.", "Det kommer vi också att diskutera nästa vecka i utrikesrådet och i rådet (rättsliga och inrikesfrågor) som sammanträder nästa vecka."
"The conclusions of each JHA Council meeting are available to the public, as are the texts of all adopted measures.", "Slutsatserna från varje möte i rådet (rättsliga och inrikes frågor) är tillgängliga för allmänheten, liksom texterna om alla antagna åtgärder."
"We in the Commission have made a declaration that is contained in the minutes of the JHA council meeting of 23 October 2009.", "Vi i kommissionen har gjort ett uttalande som finns i protokollet från rådets (rättsliga och inrikes frågor) möte den 23 oktober 2009."
"I will however raise the question again with all of the interior ministers at the next JHA Council at the start of June.", "Jag kommer ändå att ta upp frågan igen med alla inrikesministrarna vid nästa möte i rådet för rättsliga och inrikes frågor i början på juni."
"- Did the Commission produce the report requested by the Council Framework Decision on combating trafficking in human beings 2002/629/JHA?", "- Har kommissionen utarbetat den rapport som krävs enligt rådets rambeslut om bekämpande av människohandel (2002/629/RIF)?"
"JM: Now you can actually look at the distribution of suppression indexes over whole populations.", "JM: Man kan faktiskt titta på fördelningen av förtryck-index över hela befolkningar."
"(Laughter) (Applause) JM: Now there are many other pictures that are worth 500 billion words.", "(Skratt) (Applåder) JM: Det finns många andra bilder som säger mer än 500 miljarder ord."
"JM: Now this was used over a million times on the first day, and this is really the best of all the queries.", "JM: Det användes mer än en miljon gånger den första dagen, och detta är den bästa av alla sökningar."
"(Laughter) JM: There are many usages of this data, but the bottom line is that the historical record is being digitized.", "(Skratt) JM: Det finns många användningsområden för dessa data, men grunden är att historien digitaliseras."
"(Laughter) JM: Now of course, we were thinking, well let's just first put the data out there for people to do science to it.", "(Skratt) JM: Vi tänkte förstås att vi först skulle lägga ut data så att folk skulle kunna göra vetenskap av det."
"JM: Now a little piece of career advice.", "JM: Nu lite karriärrådgivning."
"Martinez, J.M.", "Martinez, J."
"JM: You might also want to have a look at this particular n-gram, and that's to tell Nietzsche that God is not dead, although you might agree that he might need a better publicist.", "JM: Du vill kanske också ta en titt på det här specifika n-grammet, för att tala om för Nietzsche att Gud inte är död, även om du håller med om att han behöver en bättre publicist."
"GUILAD SHALIT, AUNG SAN SUU KYI, LUIS MENDIETA, ALAN JARA, JORGE TRUJILLO, FORERO,...", "Guilad Shalit, Aung San Suu Kyi, Luis Mendieta, Alan Jara, Jorge Trujillo, Forero ..."
"If we forget, our mutual patron saint, São Jorge, is there to remind us.", "Om vi skulle glömma det finns vårt gemensamma skyddshelgon São Jorge där för att påminna oss."
"Question No 5 by Jorge Salvador Hernández Mollar (H-0404/02):", "Fråga nr 5 från Jorge Salvador Hernández Mollar (H-0404/02):"
"Journalists are especially in danger, as over 60 have been killed, including, recently, Jorge Ochoa Martínez.", "Journalister är särskilt utsatta för fara och över 60 har mördats, bland dem nyligen Jorge Ochoa Martínez."
"Mr President, Commissioner, ladies and gentlemen, I would like to express my warm thanks to Mr Jorge Moreira as rapporteur.", "Herr talman, fru kommissionär, kära kolleger! Jag vill tacka föredraganden Jorge Moreira så hjärtligt."
"I present to you Special Agent Jorge Ramirez.", "Tillåt mig presentera specialagent Jorge Ramirez."
"I would ask you, ladies and gentlemen, to observe one minute' s silence in memory of Fernando Buesa Blanco and Jorge Díez Elorza.", "Kära kolleger! Jag ber er hålla en tyst minut till minne av Fernando Buesa Blanco och Jorge Díez Elorza."
"Two weeks of torture, Jorge.", "Två veckor av tortyr."
"I should like to welcome Monsignor Jorge Ortiga, Archbishop of Braga, together with the bishops and the Portuguese episcopal delegation accompanying him.", "Jag vill hälsa Jorge Ortiga, ärkebiskop i Braga, välkommen, liksom de biskopar och den portugisiska biskopsdelegation som gör honom sällskap."
"The Argentine Foreign Minister, Jorge Taiana, has asked the UN to help stop further unilateral acts by the UK in relation to oil drilling in the area.", "Argentinas utrikesminister, Jorge Taiana, har bett FN om hjälp för att förhindra att Storbritannien vidtar ytterligare ensidiga åtgärder i fråga om oljeborrning i området."
"On 18 November 1999, in an attack by a paramilitary group in Colombia, Iñigo Eguiluz, a Spanish volunteer worker, and Jorge Luis Mazo, a Colombian priest, were killed.", "Den 18 november 1999 dog den spanske biståndsarbetaren Iñigo Eguiluz och den colombianske prästen Jorge Luis Mazo i en attack från en paramilitär grupp i Colombia."
"According to a survey by the Ricardo Jorge Institute which was published this week, around 10 % of the population of Portugal cannot afford to buy the medicinal products prescribed for them.", "I en studie vid Ricardo Jorge-institutet som har kommit ut denna vecka omtalas att nära 10 procent av portugiserna inte har råd att köpa de läkemedel de ordineras."
"That, Commissioner, is why you must hold fast to wine, which the Argentinean Jorge Luis Borges called the deep patriarchal river that flows through the history of the world.", "Det är därför som ni, fru kommissionsledamot, måste hålla fast vid vinet, som argentinaren Jorge Luis Borges kallade den djupa patriarkaliska floden som flyter genom världshistorien."
"Mr President, at long last we see JP the NP in the EP.", "Jag vill verkligen varmt välkomna rådsordföranden till Europaparlamentet."
"Mr President, at long last we see JP the NP in the EP.", "– Herr talman! Äntligen får vi se JP [Jan Peter] som NP [Nederländernas premiärminister] i EP [Europaparlamentet]."
"According to a study conducted by JP Morgan, Basel II could increase the number of high-yield bonds – and especially covered bonds – being issued.", "Enligt en studie som genomförts av JP Morgan kan Basel II öka antalet högavkastande obligationer – särskilt täckta obligationer – som emitteras."
"According to a study conducted by JP Morgan, Basel II could increase the number of high-yield bonds – and especially covered bonds – being issued.", "Enligt en studie som genomförts av JP Morgan kan Basel II öka antalet högavkastande obligationer – särskilt täckta obligationer – som emitteras."
"The Commission has stated that the direct award of the Magalhães computer contract to JP Sá Couto is contrary to Community internal market legislation.", "Med tanke på att kommissionen har tolkat direktupphandlingen av Magalhães-datorer från företaget JP Sá Couto som ett brott mot EG-lagstiftningen för den inre marknaden frågar jag följande:"
