//Sentences
"I would like to take this opportunity to thank Commissioner Hahn for this work.", "Jag vill passa på att tacka kommissionsledamot Johannes Hahn för detta arbete."
"more_vert open_in_new Link to European Parliament warning Request revision Jordbävningen i Haiti har ytterligare försämrat kvinnornas ställning på ön.", "expand_more The earthquake in Haiti has caused a further deterioration in the position of women there."
"And we must respond to the expectations of the people of Haiti with one voice.", "Och vi måste leva upp till det haitiska folkets förväntningar på ett enhetligt sätt."
"We will continue to express our sincere solidarity with the people of Haiti.", "Vi kommer att fortsätta uttrycka vår uppriktiga solidaritet med Haitis befolkning."
"In Haiti, about 200,000 people died -- actually, a bit more by the latest estimate.", "Faktiskt lite mer enligt de senaste beräkningarna. ~~~ Och världens gensvar var bra."
"Witness the fact that it's here on this Garmin device being used by rescue team in Haiti.", "Faktum är att den används här på en Garmin-enhet som används av räddningsgrupper."
"That resilience is what gives us some hope today for the future of Haiti.", "Denna återhämtningsförmåga inger oss i dag ett visst hopp om Haitis framtid."
"The earthquake in Haiti demonstrated the almost total incompetence of the local authorities.", "Jordbävningen har visat att de lokala myndigheterna nästan är helt inkompetenta."
"It must have only one objective, one sole concern: the people, the children of Haiti.", "Vi ska bara ha ett mål, bara bry oss om en sak: Haitis folk, Haitis barn."
"Giving up in the face of such chaos would be the final nail in Haiti’s coffin.", "Att ge upp inför ett sådant kaos vore den sista spiken i Haitis kista."
"And I suspect many of you gave something to the people of Haiti this year.", "Men tillbaka till verkligheten, och någonting som ni alla känner till."
"Therefore, I support the call to cancel Haiti's international debt.", "Därför stöder jag uppmaningen att avskriva Haitis internationella skuld."
"Can I say that I welcome the commitment that we have made in Europe to the people of Haiti.", "Låt mig säga att jag välkomnar det åtagande gentemot Haitis folk som vi har gjort i Europa."
"We must work for the people of Haiti and we must help the people of Haiti.", "Vi måste arbeta för Haitis folk och vi måste hjälpa Haitis folk."
"We should be supporting these forces in the hope that things in Haiti may take a turn for the better.", "Många satte sitt hopp till Aristide, men vi kan alla se vad som hände under tiden."
"After emergency aid, our focus should gradually turn to the long-term development of Haiti.", "Efter katastrofstödet bör vår uppmärksamhet gradvis riktas mot Haitis långsiktiga utveckling."
"It is only with our help that the people of Haiti will slowly be able to return to a normal life.", "Det är bara med vår hjälp som haitierna så småningom kan återvända till ett normalt liv."
"In addition, the government of Haiti has not been sufficiently involved.", "Dessutom har Haitis regering inte varit tillräckligt delaktig."
"I look forward to working with my colleagues to do what I can for the people of Haiti.", "Jag ser fram emot att arbeta tillsammans med mina kolleger för att göra vad jag kan för Haitis folk."
"Like, right now, for example, the Haiti-ans need to come to America.", "Som, jut nu, till exempel. behöver Haitiierna komma till Amerika."
"A portion of Haiti's loans is due to the International Monetary Fund.", "Haitis skulder avser delvis ekonomiska förpliktelser gentemot Internationella valutafonden (IMF)."
"The people of Haiti - and our own people - expect a swift, effective and coordinated response.", "Haitis folk - och vårt eget folk - förväntar sig snabba, ändamålsenliga och samordnade insatser."
"more_vert open_in_new Link to statmt.org warning Request revision It is very clear that we need a strong Haitian Government and we need to focus on priorities.", "haitisk regering och vi måste fokusera på prioriteringar."
"So we very much follow the priorities identified for us by the Haitian Government.", "Därför följer vi i hög grad de prioriteringar som angetts av den haitiska regeringen."
"European food surpluses must be shipped out to the Haitian people as a matter of urgency.", "Europeiskt livsmedelsöverskott måste snarast skeppas till det haitiska folket."
"On the basis of the Haitian Government's action plan, the EU has pledged EUR 1.6 billion.", "På grundval av den haitiska regeringens handlingsplan utlovade EU 1,6 miljarder euro."
"I believe that the Haitian state's weakness is now the main risk factor.", "Jag anser att den haitiska statens svaghet nu är den största riskfaktorn."
"Secondly, we can complement action by the Haitian State and indeed, we have to do so.", "För det andra kan vi komplettera den haitiska statens åtgärder, och det måste vi också göra."
"The Haitian revolution has never managed to enter the history books.", "Den haitiska revolutionen har aldrig tagits upp i historieböckerna."
"The Haitian Ambassador attended when I launched that particular book.", "Haitis ambassadör var närvarande när jag lanserade den här boken."
"The Haitian people were the first in the world to free themselves from French colonialism.", "Den haitiska befolkningen var först i världen med att frigöra sig från den franska kolonialismen."
"The Haitian population is only surviving thanks to the humanitarian organisations' efforts.", "Den haitiska befolkningen överlever bara tack vare de humanitära organisationernas ansträngningar."
"Today, the Haitian nation, hit by the great tragedy of the earthquake, is in the thoughts of every one of us.", "Våra tankar går i dag till Haitis folk som har drabbats hårt av jordbävningen."
"One Member spoke about the Haitian people being very resilient.", "En ledamot talade om att det haitiska folket var väldigt tåligt."
"Lastly, Europe's significant efforts to help solve the Haitian problem will have been decisive.", "Slutligen har EU:s betydande ansträngningar att bidra till att lösa Haitis problem varit avgörande."
"All this creates the need to rebuild the Haitian state.", "Allt detta innebär ett behov av att återuppbygga den haitiska staten."
"The Haitian authorities prefer to stick to the timetable.", "De haitiska myndigheterna föredrar att hålla fast vid tidtabellen."
"The continued solidarity of the international community with the Haitian people remains absolutely essential.", "Världssamfundets fortsatta solidaritet med det haitiska folket är fortfarande helt nödvändig."
"However, the Community still provides considerable support of direct benefit to the Haitian population.", "Gemenskapen ger dock fortfarande ett ansenligt stöd som kommer den haitiska befolkningen till godo."
"It is therefore imperative that Haitian organisations and authorities are involved in the reconstruction effort.", "Det är avgörande att Haitis organisationer och myndigheter är delaktiga i återuppbyggnaden."
"Humanitarian agencies, however, cannot continue to compensate for the weaknesses of the Haitian State.", "Men de humanitära hjälporganisationerna kan inte fortsätta kompensera bristerna i den haitiska staten."
"I think that the EU needs to promote better coordination and a higher profile in supporting the Haitian state.", "Jag anser att EU bör främja en bättre samordning och en högre profil i stödet till den haitiska staten."
"I agree that what is done must be done in partnership with the Haitian people with due respect for them.", "Jag håller med om att det som görs måste göras i partnerskap med Haitis folk och med vederbörlig respekt för det."
"Recently, we saw the killing of the Shia Muslim leader, Mohammed Baquer Hakim.", "Nyligen mördades den shiamuslimske ledaren Mohammad Baqr al-Hakim."
"They include Ali Dilem, the correspondent of, Bachir El Arabi and Hakim Laâlam, the columnist for", "Mohammed Benchicou, chefredaktör för, har hållits fängslad i El-Harrach-fängelset sedan den 14 juni 2004."
"They include Ali Dilem, the correspondent of , Bachir El Arabi and Hakim Laâlam, the columnist for", "Bland dessa personer kan nämnas Ali Dilem, korrespondent för , Bachir El Arabi och Hakim Laâlam, kolumnist vid"
"I would like to extend a very warm and special welcome to all of the delegation headed by His Excellency, Dr Lukman Hakim Saifuddin, the Vice-Chair of the People's Consultative Assembly.", "Jag vill rikta ett mycket varmt och speciellt tack till alla i delegationen som leds av hans excellens dr Lukman Hakim Saifuddin, vice talman i folkets rådgivande församling."
"Um, Haku sent me here.", "Haku sa åt mig att gå hit."
"Call me Master Haku.", "Kalla mig mäster Haku."
"Haku's out today.", "Haku är inte här."
"My name is Haku.", "Jag heter Haku."
"Master Haku!", "Mäster Haku!"
