//Sentences
"The Treaty of Paris after the Second World War did not solve the problems either.", "Problemen löstes inte heller genom Parisfördraget efter andra världskriget."
"To borrow an expression from the business world, this can rightly be termed a win-win situation.", "För att låna ett uttryck från affärsvärlden: Det här kan med rätta betecknas som en ”win-win-situation”."
"However, for the most part, they have little knowledge of the business world and of its needs and realities.", "Många av lärarna vet dock mycket lite om affärslivet och om företagens behov och realiteter."
"The business world has galloped on ahead, but the EU's citizens are still tottering along behind integration.", "Ekonomin har rusat iväg. Unionsmedborgaren stapplar fortfarande med efter denna integration."
"We have seen time and time again that voluntary agreements in the business world are rarely honoured.", "Vi har gång efter annan kunnat se att frivilliga överenskommelser sällan infrias inom affärsvärlden."
"Adopted without a vote and negotiated in the greatest secrecy, this agreement favours the business world.", "Detta avtal, antaget utan omröstning och framförhandlat i största hemlighet, gynnar affärsvärlden."
"My second point is the issue of who is being represented; you will be familiar with this from the business world.", "Min andra punkt är frågan om vem det är som företräds. Ni känner till detta från företagsvärlden."
"That would make everything even more confusing, not only for the consumer but certainly also for the business world.", "Då blir allt bara ännu oöverskådligare. Inte bara för konsumenten, utan också för näringslivet."
"If we look at the European institutions, we can see that things are no better than at the top in the business world.", "Om vi tittar på EU-institutionerna ser vi att saker och ting inte är bättre där än i näringslivet."
"We must prevent any jiggery-pokery by Member States and the business world, in other words we must be serious!", "Vi måste förhindra allt fiffel från medlemsstaterna och näringslivet. Med andra ord måste vi vara seriösa!"
"Of course there are sectors of the business world, including the new media, in which we occupy leading positions.", "Det finns faktiskt sektorer där vi ekonomiskt sett intar toppositioner - även på de nya mediernas område."
"Europe needs a good transport system and so does the business world, and at the end of the day, someone will always have to pay.", "Europa behöver goda transportmedel, näringslivet behöver dem, och till slut måste någon betala."
"Fear characterised the conquest, and indignation characterised colonisation.", "Fruktan följde i erövrarnas spår och vrede följde kolonisatörerna."
"First of all, we must remember that Europe is not an amateur in the area of space conquest.", "Först skall vi erinra oss om att Europa inte är någon nykomling ifråga om erövring av rymden."
"According to our laws, no man may deny me the spoils of our conquest!", "Enligt våra lagar kan ingen vägra mig mitt krigsbyte."
"It is a case of more than mere conquest, as China has taken over every aspect of Tibetan life by force.", "Uppenbarligen innebar en sådan strategi att Tibets fantastiska religion stod främst i skottlinjen."
"Mr President, allow me to start with the conquest of Kosovo.", "Herr talman! Jag skall börja med erövringen av Kosovo."
"In this case, we are now seeing the result of the conquest of Aceh by the Netherlands a century or more ago.", "I det här fallet får vi nu se följderna av den nederländska erövringen av Aceh för över hundra år sedan."
"The euro was created without being imposed from outside and without any wars of conquest or political hegemonies.", "Euron infördes utan något tvång från omvärlden, och utan vare sig erövringskrig eller politisk dominans."
"In this case, we are now seeing the result of the conquest of Aceh by the Netherlands a century or more ago.", "Enda sättet att skydda sådana folkgrupper är ett stort mått av självstyre, eller att de bryter sig ur landet."
"It is a case of more than mere conquest, as China has taken over every aspect of Tibetan life by force.", "Det handlar om mer än bara en erövring, eftersom Kina har tagit över alla aspekter av det tibetanska livet med våld."
"In our view, the ICI should be a modern cooperation programme and not a weapon of conquest.", "Instrumentet för samarbete med industriländer bör enligt vår åsikt vara ett modernt samarbetsprogram och inte ett erövringsvapen."
"Ferocious mercenaries and warriors... from all brute nations... bent on merciless... destruction... conquest.", "Vildsinta legosoldater och krigare... från ociviliserade länder... med endast råhet... förstörelse... och seger i sinnet."
"A wall that stands as a symbol of conquest is not the sort of wall that makes for safety.", "Detta är ett politiskt område där det krävs en förändrad strategi. En mur som symboliserar erövring är inte den slags mur som leder till trygghet."
"Our continent is not a land of conquest for anyone and everyone, and there are duties as well as rights to be respected.", "Vår kontinent är inte ett land som kan erövras av alla och envar, och det finns såväl skyldigheter som rättigheter att respektera."
"The most important reason for such violations is often the retention or indeed, conquest, of power at all costs.", "Den viktigaste anledningen till sådana kränkningar är ofta att man oavsett kostnaderna vill hålla fast vid, eller i själva verket erövra, makten."
"Embarking on the long-distance conquest of space is a project for several decades and requires both long-term vision and ambition", "Att ge sig ut på en långdistanserövring av rymden är ett projekt för flera årtionden och det kräver både en långsiktig vision och ambition."
"This smacks of complicity because this wall is not about security; this wall amounts to territorial annexation, colonial conquest.", "Detta ger en bismak av delaktighet, då byggandet av den här muren inte bara handlar om säkerhet också utan om territoriell annektering och kolonialistisk erövring."
"It is an important new territorial conquest, and, for that reason, I would ask the Commission to be particularly careful with regard to these mergers.", "Det är en betydelsefull ny landvinning, och därför skulle jag vilja be om att kommissionen är särskilt noggrann vid den här typen av koncentrationer."
"A wall built inside the 1967 borders is one thing; a wall as it stands today constitutes a territorial conquest, and that is something we cannot accept.", "En mur som har byggts innanför gränserna från 1967 är en sak, men som muren står i dag utgör den en territoriell erövring och detta kan vi inte godta."
"For the first time, we are uniting almost the whole of the continent by peaceful means - through agreements, compromises and treaties, rather than through war and conquest.", "För första gången enar vi nästan hela kontinenten på fredlig väg, med avtal, kompromisser och fördrag - inte med krig och erövringar."
"In its two wars of conquest, Vietnamese communism has killed millions of people in mass executions, death camps, and also through the flight of the boat people.", "I dessa två erövringskrig har den vietnamesiska kommunismen dödat miljontals människor, i massavrättningar, i dödslägren och även bland båtflyktingarna."
"Birgitta Salomonsson has worked as a physiotherapist for many years in the county.", "Birgitta Salomonsson har jobbat som sjukgymnast under många år inom landstinget."
"Let us take the example of the Roşia Montană mining development in Alba County.", "Vi kan ta gruvprojektet Roşia Montană i provinsen Alba i Rumänien som exempel."
"The entire county is home to just 20,000 people, and they're very sparsely distributed.", "Hela länet är hem för bara 20,:,000 personer, och de är mycket glest fördelade."
"Swedish tax payers pay tax to the municipality, the county council and the state.", "De svenska skattebetalarna skattar till kommunen, landstinget och staten."
"Mrs Doyle referred to the scare in my home county in my constituency in Northern Ireland.", "Doyle talade om rädslan i det grevskap där jag bor, i min valkrets i Nordirland."
"In 1841, according to the census list, there were 1 821 shoemakers within the county.", "År 1841 fanns det enligt mantalsskrivningen 1 821 skomakare i grevskapet."
"I have been chairman of Arad County Council and the Romania West Regional Authority.", "Jag har varit ordförande för Arads landsting och för regionmyndigheten i västra Rumänien."
"The county is being positioned as a leader in a rapidly growing area of policy and growth.", "Länet positioneras som ledande inom ett starkt växande politik- och tillväxtområde."
"Bertie County is kind of a prime example in the demise of rural America.", "Bertie County är ett slags typexempel på avfolkningen av den amerikanska landsbygden."
"Roscommon, County Roscommon Tel.: + 353 906 637 250 E-mail: motortax[a]roscommoncoco.ie", "Roscommon, County Roscommon Tel.: + 353 906 637 250 E-mail: motortax[a]roscommoncoco.ie"
"County Administrative Board of Norrbotten co-funds Centre for High Performance Steel Phase 3.", "Länsstyrelsen i Norrbotten medfinansierar Centrum för Högpresterande Stål Etapp 3."
"Mr McCreevy, I was once lost in the rural roads of your home county.", "– Herr McCreevy! En gång i tiden körde jag vilse på landsbygdsvägarna i ert hemland."
"Work-based training in primary care: All health centers in the county", "Verksamhetsförlagda utbildningsplatser inom primärvård: Samtliga vårdcentraler i länet"
"There are good conditions here for specialisation and renewal of the county’s business world.", "Här finns goda förutsättningar för specialisering och förnyelse av länets näringsliv."
"Of the 32 operated by the County Council and 6 are owned by private care providers.", "Av dem drivs 32 av landstinget och 6 ägs av privata vårdgivare."
"There are outbreaks of gastrointestinal illness in both the city and the county of Galway.", "Magtarmsjukdomar har brutit ut i både staden och grevskapet Galway."
"The county council of Östergötland Contact information: Mats Uddin, Personaldirektör www.lio.se", "Landstinget i Östergötland Kontaktperson: Mats Uddin, Personaldirektör www.lio.se"
"For aids regarding to your own personal needs, you should contact your municipality or your county.", "För personliga hjälpmedel ska du kontakta din kommun eller ditt landsting."
"The biggest and most important of all was the EU-US summit which took place in County Clare.", "Det största och viktigaste av dem alla var toppmötet EU–USA, som ägde rum i grevskapet Clare."
"The service is a complement to the County Council health and medical care.", "Verksamheten är ett komplement till Landstingets hälso- och sjukvård. Studenthälsans arbetsområden:"
"This rules out the necessity of putting the designation on the front of the package.", "Detta gör att det inte blir nödvändigt att ange detta på förpackningens framsida."
"We also oppose the new subsidies under the designation, 'rural development'.", "Vi är också motståndare till de nya stöden under beteckningen landsbygdsutveckling."
"It thereby demonstrated its interest in the designation of European cities of culture.", "Med detta visade det sitt intresse för utnämningen av europeiska kulturstäder."
"The Greek authorities contest the need for the designation of those areas as sensitive.", "De grekiska myndigheterna bestrider att områdena behöver klassas som känsliga."
"Another legally accepted designation can be found for other partnerships.", "En annan juridiskt godtagbar beteckning kan fastställas för andra partnerskap."
"In fact, this is something worthy of an E (European) designation: European Electric.", "Detta är faktiskt något som förtjänar att E-märkas (EU), European Electric."
"The additional designation 'with concentrates' tends in my view to confuse.", "Den kompletterande beteckningen "med koncentrat" anser jag snarare vara förvirrande."
"The additional designation 'with concentrates ' tends in my view to confuse.", "Den kompletterande beteckningen " med koncentrat " anser jag snarare vara förvirrande."
"In France, we have a long tradition of products with a registered designation of origin.", "I Frankrike har vi en lång tradition med produkter med skyddad ursprungsbeteckning."
"The designation of the competent authority is left to the requested Member State.", "Det överlämnas åt den stat som begäran har lämnats till att utse den behöriga myndigheten."
"The Commission is supporting the designation of an anti-trafficking day, possibly on 11 June.", "Kommissionen stöder inrättandet av en dag mot människohandel, eventuellt den 11 juni."
"Mrs Lynne asked me about the differentiation in designation between regions and countries.", "Lynne frågade mig om skillnaderna vid beteckning av regioner och länder."
"As in the past, the Council will make the final decision concerning the designation of the city.", "Som tidigare kommer rådet att fatta det slutliga beslutet om utnämnandet av staden."
"Now you are authorising the blending of white wine and red wine with the designation of rosé wine.", "Nu tillåter ni blandning av vitt vin och rött vin under beteckningen rosévin."
"The product definition proposed is comparable with that of a registered designation of origin.", "Den föreslagna produktdefinitionen kan jämföras med en registrerad ursprungsbeteckning."
"Final designation and submission to the Commission of the altered SPA occurred last February.", "Det slutliga förslaget om den förändrade kurorten lades fram för kommissionen i februari."
"Should the Commission not spell out the precise criteria for the designation of sensitive areas?", "Borde kommissionen inte konkretisera kriterierna för definitionen av ömtåliga områden?"
"I believe that these types of designation are very misleading and give a false impression.", "Jag anser att denna typ av beteckningar är mycket vilseledande och ger ett felaktigt intryck."
"Thirdly, there is the designation of a national supervisory authority.", "För det tredje har vi utnämningen av en nationell kontrollinstans."
"It is necessary that provisions be made to compensate those affected by such designation.", "Det är nödvändigt att avsättningar görs för att kompensera dem som berörs av en sådan utnämning."
