//Sentences
"This we will not go along with, and we will keep on telling uncomfortable truths.", "Detta kommer vi inte att stödja, och vi kommer att fortsätta att påpeka obekväma sanningar."
"Hearing protection – introduction to Jabra SafeTone Jabra meets or exceeds global requirements for sound level exposure (PDF 720 KB)", "Hörselskydd – en introduktion till Jabra SafeTone Jabra uppfyller eller överträffar de internationella kraven på ljudnivåexponering (PDF 720 KB)"
"IIES Placements (16 Kb) To help secure the best possible research staff and Ph D program, recruitment of researchers and Ph D students is international.", "IIES Placements (10 Kb) För att få bästa möjliga forskning och doktorandutbildning rekryteras forskare och doktorander internationellt."
"Website [157 KB]", "Website [157 KB]"
"To make sure those exceptions do not apply to you, read the EU guide to recognition of professional qualifications [186 KB] Deutsch español français italiano polski .", "Läs om vilka undantag som finns i EU:s vägledning om erkännande av yrkeskvalifikationer [185 KB] Deutsch English español français italiano polski."
"To make sure those exceptions do not apply to you, read the relevant FAQs on the EU guide to recognition of professional qualifications [186 KB] Deutsch español français italiano polski .", "Läs om vilka undantag som finns under vanliga frågor i EU:s vägledning om erkännande av yrkeskvalifikationer [185 KB] Deutsch English español français italiano polski."
"The Air Force and Department of Defense have indicated that the KC-45 best meets the USAF's requirements.", "US Air Force och USA:s försvarsdepartment har tillkännagett att KC-45 är det plan som bäst uppfyller flygvapnets krav."
"It appears that they are being refuelled by KC-135 'stratotankers' in the skies above Bilbao, Pamplona, Zaragoza and Barcelona, before entering the Mediterranean.", "Bombplanen tankas tydligen av tankflygplan ?KC-135 Stratotanker? medan de flyger över Bilbao, Pamplona, Zaragoza och Barcelona innan de kommer till Medelhavet."
"It appears that they are being refuelled by KC-135'stratotankers ' in the skies above Bilbao, Pamplona, Zaragoza and Barcelona, before entering the Mediterranean.", "Bombplanen tankas tydligen av tankflygplan? KC-135 Stratotanker? medan de flyger över Bilbao, Pamplona, Zaragoza och Barcelona innan de kommer till Medelhavet."
"On the United States Government Accountability Office reactions, we would like to say that the US Air Force's selection of the Northrop Grumman KC-45 remains in force.", "Beträffande reaktionerna från USA:s revisionsverk, vill vi framföra att amerikanska flygvapnets (US Air Force) val av Northrop Grumman KC-45 fortfarande gäller."
"The foreign policy aspects of joining KEDO are therefore significant.", "Den utrikespolitiska aspekten av beslutet att gå med i KEDO är alltså viktig."
"That is one reason why the European Union is engaged in the KEDO process.", "Detta är ett skäl till varför Europeiska unionen deltar i KEDO-processen."
"That is why we must now once again re-examine KEDO carefully, and as we see it wind it up.", "Därför måste vi nu själva granska KEDO och för vår del måste vi avsluta det."
"Thirdly, we are concerned about the fact that KEDO is a bat without a ball.", "För det tredje, vi är bekymrade över det faktum att KEDO går att likna vid en tiger utan tänder."
"We attend all KEDO board meetings and negotiating meetings with North Korea.", "Vi är närvarande vid KEDO: s alla styrelsesammanträden och förhandlingssammanträden med Nordkorea."
"The fact is that those responsible for KEDO should be ashamed of themselves.", "Faktum är att de som har ansvar för KEDO borde skämmas."
"So KEDO was a US initiative, although South Korea and Japan helped to carry it out.", "KEDO var alltså ett amerikanskt initiativ men med medverkan av Sydkorea och Japan för genomförande av den uppgiften."
"We would ask the Commission and the Council to reassess the KEDO project in light of these events.", "Vi uppmanar kommissionen och rådet att på nytt se över KEDO-projektet mot bakgrund av dessa händelser."
"This concerns the now infamous KEDO project in Korea.", "Det gäller det numera berömda projektet KEDO i Korea."
"Reference has been made in relation to political activities, for example to the question of KEDO by Mr Ford.", "I samband med det politiska verksamhetsfältet har hänvisning gjorts till exempelvis frågan om KEDO, av Ford."
"The Group of the Greens/European Free Alliance has maintained right from the beginning that the KEDO project has been badly thought out.", "Verts/ALE-gruppen har redan från början hävdat att KEDO-projektet är fel tänkt."
"The Group of the Greens/ European Free Alliance has maintained right from the beginning that the KEDO project has been badly thought out.", "Verts / ALE-gruppen har redan från början hävdat att KEDO-projektet är fel tänkt."
"Pursuant to this KEDO agreement, Parliament should be kept abreast of the state of affairs within the Euratom negotiations.", "Enligt det här Kedo-avtalet borde parlamentet informeras om läget i dessa Euratom-förhandlingar."
"Deliveries of heavy fuel oil, the US contribution to KEDO, have, in the past at least, been sporadic.", "Förenta staternas bidrag till KEDO, dvs. leveranser av tjock eldningsolja, har åtminstone förr endast skett sporadiskt."
"EAEC accession to KEDO, EU-DPRK relations", "Associeringsavtal Euratom-KEDO - Förbindelser EU-Nordkorea"
"There is no need, however, desperately to cling to so completely ill-conceived and discredited a project as KEDO.", "Man behöver dock inte krampaktigt hålla fast vid ett så fullständigt skevt och misskrediterat projekt som KEDO."
"As we heard from Mrs de Palacio, our monetary contribution to KEDO is minimal in comparison with that of other partners.", "Som vi hörde från de Palacio är vårt monetära bidrag till KEDO minimalt i jämförelse med andra parters bidrag."
"They are looking to the European Union to actually do something about the Korean Energy Development Organization (KEDO).", "De väntar sig av Europeiska unionen att faktiskt göra något åt den koreanska energiutvecklingsorganisationen KEDO."
"Membership of KEDO was therefore consistent with this policy and was intended to improve security in north-east Asia.", "Att gå med i KEDO låg alltså egentligen i linje med den politiken och skulle bidra till säkerheten i nordöstra Asien."
"The money for the KEDO project has been frozen and we are doing absolutely nothing else about energy provision there.", "Pengarna till KEDO-projektet har frusits, och därutöver gör vi inte det allra minsta för energiförsörjningen i landet."
"There have been reports of torture and of forced confessions at the hands of the KGB.", "Det har förekommit rapporter om tortyr och om att KGB tvingat fram erkännanden."
"The following day the authorities sent KGB special forces to independent journalists.", "Nästa dag skickade myndigheterna särskilda KGB-styrkor till oberoende journalister."
"Our first step was therefore to dissolve the KGB and fire the entire police force ...", "Vårt första steg var därför att upplösa KGB och avskeda hela polisstyrkan ..."
"It is not possible to resign from the KGB any more than it is from La Cosa Nostra.", "Det är inte möjligt att lämna KGB lika lite som det är möjligt att lämna La Cosa Nostra."
"The best way to see how they are organised would be to examine the KGB archives.", "Det bästa sättet att få reda på hur de är organiserade skulle vara att undersöka KGB:s arkiv."
"I mean KGB, and not just KGB, used to torture in order to actually get this data.", "Jag menar, KGB - och inte bara KGB - brukade tortera folk för att få fram den här informationen."
"Belarus is the only country in the world where police are still operating under the name KGB.", "Vitryssland är det enda land i världen där polisen fortfarande går under namnet KGB."
"The dictator, who holds a Russian passport and was trained by the KGB, claimed 80% of the vote.", "Denna diktator, som har ryskt pass och som utbildades av KGB, fick 80 procent av rösterna."
"These elections were rigged by the use of force, of the Belarusian KGB, the police and the army.", "Valen präglades av valfusk i form av maktutnyttjande, från vitryska KGB, polisen och armén."
"Then we said that the Stasi, the KGB and Gaddafi were behind it.", "Då sade vi att det var Stasi, KGB och Gaddafi som låg bakom den."
"At the end of March KGB and police in Belarus carried out a raid to apprehend Belsat's local reporters.", "I slutet av mars genomförde KGB och polis en räd för att skrämma Belsats lokala reportrar."
"Then we said that the Stasi, the KGB and Gaddafi were behind it.", "Varför valde den senaste generationen terrorister att ge sig på Spanien av alla europeiska länder?"
"This cartoon showed a citizen being trailed by two KGB agents.", "Teckningen visar en medborgare som förföljs av två KGB-agenter."
"We condemn the use of brutal force by the police and KGB services against the protesters on Election Day.", "Vi fördömer det brutala våld som polisen och KGB utövade mot de protesterande på valdagen."
"I find it bizarre that the Spanish police are fulfilling a request made by the former KGB in this way.", "Jag finner det bisarrt att den spanska polisen uppfyller en begäran från forna KGB på detta sätt."
"We can only condemn the use of force and violence by the police and the KGB against protesters on election day.", "Vi kan bara fördöma det våld som polisen och KGB använde mot de protesterande på valdagen."
"Now there is no Stasi, there is no Gaddafi, there is no KGB.", "Nu finns det inget Stasi, ingen Gaddafi och inget KGB."
"Are you suggesting that the European Parliament should investigate whether Italian politicians are agents of the KGB?", "Föreslår ni att Europaparlamentet borde undersöka om italienska politiker är KGB-agenter?"
"Now there is no Stasi, there is no Gaddafi, there is no KGB.", "Vi behöver därför lära oss en läxa: våld föder våld."
"He comes from the KGB and his origins leave their mark.", "Han kommer från KGB och hans ursprung sätter sina spår."
