//Sentences
". - (SV) Competition for ambitious, skilled workers has only just begun.", "skriftlig. - Konkurrensen om de drivna och kompetenta arbetarna har bara börjat."
"Jan Pettersson, Project Manager at CDT, participates in SVT's Västerbottensnytt and explains how future sensors can give us a warning when water levels are to high, e.g. in a cesspool.", "Jan Pettersson, projektledare vid CDT, medverkar i SVT Västerbottensnytt och förklarar hur framtidens sensorer kan varna för höga vattenstånd i till exempel avloppsbrunnar."
"E: [Kissing noise] SW: And what do you say when it's time to go? E: Goodbye.", "E: [Pussljud] SW: Och vad brukar du säga när det är dags att gå? ~~~ E: Hejdå."
"SW: Yeah. ~~~ She especially likes his latest achievement, SpaceShipOne.", "SW: Just det. Hon är speciellt förtjust i hans senaste skapelse, SpaceShipOne."
"On 18 August 2007, a fire in the Penhallow Hotel in Newquay in SW England led to three deaths.", "Den 18 augusti 2007 omkom tre personer vid en brand på Penhallow Hotel i Newquay i sydvästra England."
"(Laughter) SW: At the zoo we have big cats from the jungle.", "(Skratt) SW: På vårt zoo har vi stora katter från djungeln."
"(Laughter) SW: And since she's such a big fan, she knows that his birthday is coming up at the end of March.", "(Skratt) SW: Och eftersom hon är ett så stort fan vet hon att hans födelsedag är i slutet av mars."
"Ministry of Justice 102 Petty France UK - London SW1H 9AJ E-mail: general.queries[at]justice.gsi.gov.uk", "Ministry of Justice 102 Petty France UK - London SW1H 9AJ E-mail: general.queries[at]justice.gsi.gov.uk"
"E: [Spaceship noise] SW: Even if it doesn't have a laser?", "E: (Rymdskepps-ljud) SW: Även om den inte har en laser?"
"(Laughter) SW: And so do all the folks back home in Tennessee.", "(Skratt) SW: Och så gör alla hemifrån Tennessee."
"SW: And how about those cats?", "E: Kuckelikuu! ~~~ SW: Och hur är det med dom där katterna?"
"This program is only given in Sw...", "Programmet Hållbar energiteknik ger dig nödvändiga metoder för att bidra till smartar..."
"E: [Bobbing head] (Laughter) SW: Let's get down for everybody.", "(Skratt) Dansa så alla ser."
"i.e. a combination of SW and HW for establishment of effective and efficient information logistics within the maintenance process", "Dvs en kombination av SW och HW för etablering av effektiva informationslogistik inom underhållsprocessen"
"(Laughter) SW: What about a skunk? ~~~ E: Stinker.", "(Skratt) SW: Och skunken E: Stinker."
"E: [Squawks] SW: Yeah, it sure can.", "E: (Skriar) SW: Visst, det kan det verkligen."
"E: [Laser noise] (Laughter) SW: Yeah, yeah.", "E: (Laser-ljud) (Skratt) SW: Ja, ja."
"E: [Operatic squawk] SW: Very good.", "E: (Opera-skriande) SW: Mycket bra."
"(Laughter) SW: Or maybe Sirena Huang would like to learn some arias on her violin, and Einstein can sing along with some opera?", "(Skratt) SW: Eller så kanske Serena Wang vill lära sig några arior på sin violin, och Einstein kan kanske sjunga lite opera?"
"(Laughter) SW: She's a comedian.", "(Skratt) SW: Hon är en komedienne."
"E: [Water sound] SW: Very good.", "E: [Vatten-ljud] SW: Mycket bra."
"SW: What about the other birds?", "SW: Och till de andra fåglarna?"
"SWAT team.", "Mina män är egentligen inte i L. A. - SWAT-team."
"Withdraw your SWAT team to outside a 5 mile radius.", "Dra tillbaka ditt SWAT team minst fem mil härifrån."
"Mr President, Commissioner, ladies and gentlemen, a 14-year-old boy in Hakkari was beaten into a coma by a SWAT team policeman.", "Herr talman, herr kommissionsledamot, mina damer och herrar! En 14-årig pojke i Hakkari blev misshandlad av ett SWAT-team med polismän så illa att han hamnade i koma."
"It created new opportunities for SWF, some of which have come to rescue some major banks.", "Detta skapade nya möjligheter för subprime-lånen, varav vissa har räddat några av de största bankerna."
"It created new opportunities for SWF, some of which have come to rescue some major banks.", "Detta skapade nya möjligheter för de nationella placeringsfonderna, varav vissa har räddat några av de största bankerna."
"The subprime crisis and its consequences had the unexpected effect of shedding light on sovereign wealth funds (SWF).", "Krisen med subprime-lån och dess följder riktade oväntat uppmärksamheten mot statsägda förmögenhetsfonder."
"The subprime crisis and its consequences had the unexpected effect of shedding light on sovereign wealth funds (SWF).", "Krisen på bolånemarknaden och dess följder riktade oväntat uppmärksamheten mot nationella placeringsfonder."
"Google engineers have created a sample SWF pre-loader to help facilitate your implementation of AdSense for games.", "Googles tekniker har tagit fram en exempel-preloader med SWF-format som underlättar implementeringen av AdSense for games."
"That is the case in Trollhättan, where GM now owns the Saab factory.", "Så är det i Trollhättan där GM numera äger Saab-fabriken."
"For that is all Saab has been reduced to.", "För så långt har Saabs nedgång fortskridit."
"Volvo and Saab are well-known makes.", "Volvo och Saab är kända varumärken."
"On Colmis car testing facility, and with the help of SAAB- experts as instructors, they had the opportunity to test how real car testing works.", "På Colmis biltestanläggning, och med Saab-experter som instruktörer, fick de prova på hur riktig biltestning går till"
"I would like to say something about the situation of a specific manufacturer, General Motors in Europe, which is made up of Opel, Vauxhall and Saab.", "Jag skulle vilja nämna något om en bestämd tillverkare, General Motors i Europa, som består av Opel, Vauxhall och Saab."
"In Sweden, too, there is a problem with another General Motors subsidiary, Saab, where the problems are structural and considerably worse.", "I Sverige har man också bekymmer med ett annat dotterbolag till General Motors, Saab, där problemen är strukturella och betydligt värre."
"With experience from both ABB (power and automation technology company), developing unmanned aircraft at Saab, and with 12 patents of his own, he was tailor-made for the task.", ""
"A partnership has been launched with Dynatech Automotive AB which is a completely new company with a handful of former SAAB employees with between 16 and 30 years of experience.", "Ett samarbete har nyligen inletts med DynaTech Automotive AB som är ett helt nystartat företag med en handfull före detta SAAB-anställda med mellan 16 och 30 års erfarenhet."
"A few months ago, the General Motors Group, of North America, was said to be planning drastically to reduce its workforce and to make cuts in Opel, Vauxhall and Saab’ s European factories.", "För ett par månader sedan uppgavs att General Motors-koncernen i Nordamerika planerar drastiska personalminskningar, bland annat i Opels, Vauxhalls och Saabs europeiska fabriker."
"A close collaboration between ABB Robotics, Saab, Scania, and researchers in automatic control engineering, sensor informatics, and vehicular systems, with Professor Lars Nielsen as coordinator.", "Här pågår ett nära samarbete mellan ABB Robotics, Saab, Scania och forskare inom reglerteknik, sensorinformatik och fordonssystem, där professor Lars Nielsen är koordinator."
"The exercise in automotive testing at the facility Colmis Proving Ground in Arjeplog on Wednesday began with an introduction in which SAAB experts gave conditions for the practical driving exercises.", "Övningen på biltestanläggningen Colmis Proving Ground i Arjeplog på onsdagen inleddes med en introduktion där SAAB-experterna gav förutsättningar för de praktiska körövningarna."
"B5-0471/2002 by Mrs Napoletano and others, on behalf of the PSE Group, on the sentencing of Saad Eddin Ibrahim in Egypt;", "B5-0471/2002 från Napoletano m.fl. för PSE-gruppen om domen mot Saad Eddin Ibrahim i Egypten,"
"B5-0471/ 2002 by Mrs Napoletano and others, on behalf of the PSE Group, on the sentencing of Saad Eddin Ibrahim in Egypt;", "B5-0471 / 2002 från Napoletano m.fl. för PSE-gruppen om domen mot Saad Eddin Ibrahim i Egypten,"
"B5-0473/2002 by Mr Hugues Martin and Mr Posselt, on behalf of the PPE-DE Group, on the case of Saad Eddin Ibrahim (Egypt);", "B5-0473/2002 från Hugues Martin och Posselt för PPE-DE-gruppen om fallet Saad Eddin Ibrahim (Egypten),"
"B5-0465/2002 by Mr Wuori, Mrs Boumediene-Thiery and Mr Piétrasanta, on behalf of the Verts/ALE Group, on the case of Saad Eddin Ibrahim;", "B5-0465/2002 från Wuori, Boumediene-Thiery och Piétrasanta för Verts/ALE-gruppen om fallet Saad Eddin Ibrahim,"
"The next item is the debate on the following five motions for resolution regarding the case of Dr Saad Eddin Ibrahim, in Egypt.", "Nästa punkt på föredragningslistan är debatt om följande fem resolutionsförslag om fallet Saad Eddin Ibrahim i Egypten:"
"B5-0466/2001 by Margrietus Van den Berg, on behalf of the PSE Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0466/2001 av Margrietus Van den Berg för PSE-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0465/ 2002 by Mr Wuori, Mrs Boumediene-Thiery and Mr Piétrasanta, on behalf of the Verts/ ALE Group, on the case of Saad Eddin Ibrahim;", "B5-0465 / 2002 från Wuori, Boumediene-Thiery och Piétrasanta för Verts / ALE-gruppen om fallet Saad Eddin Ibrahim,"
"B5-0466/ 2001 by Margrietus Van den Berg, on behalf of the PSE Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0466 / 2001 av Margrietus Van den Berg för PSE-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0425/2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0425/2001 av Olivier Dupuis med flera för TDI-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0425/ 2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0425 / 2001 av Olivier Dupuis med flera för TDI-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0450/2001 by Bob van den Bos and others, on behalf of the ELDR Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0450/2001 av Bob van den Bos med flera för ELDR-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0450/ 2001 by Bob van den Bos and others, on behalf of the ELDR Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt;", "B5-0450 / 2001 av Bob van den Bos med flera för ELDR-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten;"
"B5-0471/2001 by Daniel Cohn-Bendit and others, on behalf of the Verts/ALE Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt.", "B5-0471/2001 av Daniel Cohn-Bendit med flera för Verts/ALE-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten."
"B5-0471/ 2001 by Daniel Cohn-Bendit and others, on behalf of the Verts/ ALE Group, on the case of Mrs Nawal Saadawi and Mr Saad Eddin Ibrahim in Egypt.", "B5-0471 / 2001 av Daniel Cohn-Bendit med flera för Verts / ALE-gruppen om fallen Nawal Saadawi och Saad Eddin Ibrahim i Egypten."
"This is the decision by the Egyptian Appeal Court to annul the judgment on Saad Eddin Ibrahim and exonerate him.", "Det finns dock en god nyhet och det är den egyptiska appellationsdomstolens beslut att upphäva domen och frikänna Saad Eddin Ibrahim."
"We welcome the release of democracy activist Saad Ibrahim and share the satisfaction of all true friends of Egypt that this long-running saga is over.", "Vi välkomnar frigivningen av demokratiaktivisten Saad Ibrahim, och vi delar alla sanna Egyptenvänners tillfredsställelse över att denna långvariga historia är över."
"I am however delighted by the release of human rights activist Saad Eddin Ibrahim, but wish to add immediately that things cannot stop at this individual case.", "Jag gläder mig dock åt frigivandet av människorättsaktivist Saad Eddin Ibrahim men jag vill direkt tillägga att det inte får stanna vid det här enskilda fallet."
"The European Union rightly says that his subsequent sentence at a show trial to five years’ hard labour by the same judge who put Saad Ibrahim in jail for three years sent negative signals.", "Europeiska unionen säger med rätta att det sändes negativa signaler när han sedan i en skenrättegång dömdes till fem års straffarbete av samma domare som dömde Saad Ibrahim till tre års fängelse."
"The recent sentencing of the well-known human rights and pro-democracy campaigner, Professor Saad Ibrahim, and his colleagues has aroused widespread interest in the international community.", "Den dom som nyligen avkunnades mot den välkände förkämpen för mänskliga rättigheter och demokrati, professor Saad Ibrahim, och hans kolleger, har väckt stort intresse i det internationella samfundet."
"Bishop Michel Sabah’s words were in accordance with the conclusions of the European Council of 7 November 2005.", "Biskop Michel Sabahs ord överensstämmer med slutsatserna från Europeiska rådets möte den 7 november 2005."
"Bishop Michel Sabah’ s words were in accordance with the conclusions of the European Council of 7 November 2005.", "Biskop Michel Sabahs ord överensstämmer med slutsatserna från Europeiska rådets möte den 7 november 2005."
"This dialogue was already initiated this spring and on Sunday, 18 September, I met the President of the OPEC Conference, Mr Sheikh Fahad al Sabah, in Vienna.", "EU måste agera på egen hand eftersom alla EU-medlemsstater inte är medlemmar i Internationella energiorganet."
"Subject: Undesirable persons in Turkey The Turkish newspaper 'Sabah' has published a list of 56 persons considered undesirable in Turkey.", "Angående: Icke önskvärda personer i Turkiet Den turkiska tidskriften Sabah har offentliggjort en förteckning över 56 personer som inte är önskvärda i Turkiet."
"Subject: Undesirable persons in Turkey The Turkish newspaper 'Sabah ' has published a list of 56 persons considered undesirable in Turkey.", "Angående: Icke önskvärda personer i Turkiet Den turkiska tidskriften Sabah har offentliggjort en förteckning över 56 personer som inte är önskvärda i Turkiet."
"This dialogue was already initiated this spring and on Sunday, 18 September, I met the President of the OPEC Conference, Mr Sheikh Fahad al Sabah, in Vienna.", "Denna dialog inleddes redan i våras och söndagen den 18 september träffade jag ordföranden för OPEC-konferensen, Sheikh Fahad al Sabah, i Wien."
