//Sentences
"The prince even fought a bout with Qin's greatest warrior, and exchanged sword with him.", "Prinsen utkämpade även en duell med Qin' s mäktigaste krigare, och bytte svärd med honom."
"Since when has the administration decided what is politically right and wrong, particularly after the competent quaestor has given his approval?", "Sedan när har administrationen beslutat vad som är politiskt rätt och fel, särskilt när den behöriga kvestorn har gett sitt godkännande?"
"In my capacity as Quaestor responsible for language courses in Parliament, I should also like to add that, there too, we are confronted with a similar problem.", "Som kvestor med ansvar för språkkurser i parlamentet vill jag också lägga till att vi även där står inför ett liknande problem."
"Mr Valdivielso de Cué, I promise you that I shall look into these matters very closely, but Mrs Banotti would like to take the floor to answer you in her capacity as quaestor.", "Herr Valdivielso de Cué! Jag lovar er att jag skall titta mycket noggrant på detta, men Banotti vill ha ordet för att svara er i egenskap av kvestor."
"In my capacity as Quaestor responsible for language courses in Parliament, I should also like to add that, there too, we are confronted with a similar problem.", "– Jag skall inte slösa bort den lilla tid jag har till mitt förfogande med att upprepa argument som redan framförts av andra ledamöter och i vilka jag instämmer fullständigt."
"I will tell you as well that when you talk of small delegations, my group is nominating a Member from a four-person Finnish delegation in my group as a quaestor of this House.", "Jag vill också tala om, när ni talar om små delegationer, att min grupp nominerar en person från en finsk delegation på fyra personer som kvestor för denna kammare."
"- (FR) Madam President, as Quaestor of this Parliament, I would like to draw your attention to the fact that the route to the Parliament entrance is blocked on one side by riot police.", "- (FR) Fru talman! Som kvestor för parlamentet skulle jag vilja fästa er uppmärksamhet på att vägen till parlamentets ingång är blockerad på ena sidan av kravallpolis."
"If, as the Committee has suggested, we increase the number of Quaestors to six, that would be one Quaestor for every 130 Members of the House, still a larger number than was for many years the case.", "Om vi, som utskottet har föreslagit, ökar antalet kvestorer till sex så får vi en kvestor per 130 parlamentsledamöter, fortfarande fler än vad som var fallet under många år."
"It was taken on my express authority, following consultations with the Quaestor responsible for security.", "Detta beslut fattades av generalsekreteraren i ständig kontakt med mig, med mitt uttryckliga godkännande och efter att ha rådgjort med den behöriga kvestorn för säkerhetsfrågor."
"For example, on 19 April, I received an e-mail from the Quaestor, Mr Richard Balfe, which stated that that day was a restricted day and that the meetings planned for that day were cancelled.", "Den 19 april fick jag till exempel ett e-postbrev från Richard Balfe, kvestor, där han meddelade att den dagen var en helgdag och att de möten som var planerade den dagen var inställda."
"I will ensure that the college of Quaestors is aware of what you have mentioned.", "Jag kommer att se till att kvestorskollegiet får reda på det ni har tagit upp."
"We will now proceed to determine the quaestors' seniority by secret electronic ballot.", "Vi ska nu bestämma kvestorernas rangordning genom sluten elektronisk omröstning."
"Later, however, in the vote for the quaestors we will be able to vote for five people.", "Men senare när vi röstar om kvestorerna kommer vi att kunna rösta på fem personer."
"It is not the Bureau but the College of Quaestors that is responsible for these issues.", "Det är inte presidiet utan kvestorskollegiet som är ansvarigt för dessa frågor."
"I understand that the matter is currently before the College of Quaestors.", "Såvitt jag har förstått behandlas denna fråga för närvarande av kvestorskollegiet."
"I can announce the results of the third ballot for the election of Quaestors:", "Jag offentliggör resultatet av den tredje valomgången för val av kvestorer:"
"Nevertheless, I think you should raise it with the College of Quaestors.", "Jag anser i vilket fall som helst att ni bör ta upp frågan med kvestorskollegiet."
"The next item is the election of the Quaestors of the European Parliament.", "Nästa punkt på föredragningslistan är valet av Europaparlamentets kvestorer."
"The President agreed to my request and referred the matter to the Quaestors.", "Talmannen gick med på min begäran och hänvisade ärendet till kvestorerna."
"Thank you, Mrs Banotti, and also the other quaestors for your effort to achieve this.", "Tack, fru Banotti, och övriga kvestorer, för era ansträngningar i ärendet."
"Could we have some clarification from the Quaestors so that we can have a Members bar?", "Kan vi få något klargörande från kvestorerna, så att vi kan ha en bar för ledamöterna?"
"The next item is the election of the Quaestors of the European Parliament.", "Nästa punkt på föredragningslistan är val av Europaparlamentets kvestorer."
"I have raised it several times with the President before and also with the Quaestors.", "Jag har redan tagit upp den frågan flera gånger med talmannen och även med kvestorerna."
"I just want to reassure you that the College of Quaestors is taking care of it.", "Jag vill bara försäkra er om att kvestorskollegiet tar itu med detta."
"(In successive ballots the following were elected Quaestors of the European Parliament:", "(I på varandra följande omröstningar valdes följande kvestorer till Europaparlamentet:"
"We shall ask the College of Quaestors to take the necessary steps to overcome this problem.", "Vi får be kvestorerna vidta de åtgärder som behövs för att lösa problemet i fråga."
"For the election of Quaestors, the deadline for candidacies is 10 p.m. tonight.", "När det gäller valet av kvestorer, löper tidsfristen för kandidaturerna ut kl. 22.00 i kväll."
"I feel that this proposal is very reasonable, and will submit it to the Quaestors.", "Jag anser att det är ett fullt rimligt förslag och jag skall överlämna det till kvestorerna."
"I would like you to reconsider your reinterpretation of the rule issued by the Quaestors.", "Jag skulle vilja att ni omprövade er tolkning av den regel som kvestorerna lagt fram."
"( In successive ballots the following were elected Quaestors of the European Parliament:", "( I på varandra följande omröstningar valdes följande kvestorer till Europaparlamentet:"
"The larger the Auswärtige Amt, the Foreign Office or the Quai d'Orsay, the more pronounced this tendency is.", "Ju större landets Auswärtige Amt, Foreign Office eller Quai d'Orsay är, desto mer uttalad är denna tendens."
"The routes of the railway structures on our continent were set a long time before Schuman made his famous speech on the Quai d'Orsay.", "Järnvägsstrukturerna på vår kontinent utarbetades långt innan Schuman höll sitt berömda tal på Quai d'Orsay."
"The routes of the railway structures on our continent were set a long time before Schuman made his famous speech on the Quai d'Orsay.", "Järnvägsstrukturerna på vår kontinent utarbetades långt innan Schuman höll sitt berömda tal på Quai d ' Orsay."
"But the old cynics in the Foreign and Commonwealth Office or the Quai d'Orsay will put them right.", "Men de gamla cynikerna i det brittiska utrikesdepartementet eller i det franska utrikesdepartementet på Quai d'Orsay kommer att ta dem ur den villfarelsen."
"Ministère des Affaires étrangères et européennes Ministry of Foreign and European Affairs 37, Quai d’Orsay FR - 75351 Paris Tel.: + 33 1 43 17 53 53", "Ministère des Affaires étrangères et européennes Ministry of Foreign and European Affairs 37, Quai d’Orsay FR - 75351 Paris Tel.: + 33 1 43 17 53 53"
"more_vert open_in_new Link to statmt.org warning Request revision If we were to go on the clapometer in relation to large payments to royalty or individual farmers, they would be quaking in their boots in royal houses across Europe.", "bäva över hela Europa."
"A 'European Quality Charter for Mobility' was even created.", "Man har till och med tagit fram en europeisk kvalitetsstadga för rörlighet."
"The Quality Charter for Criminal Justice in Europe should not be something that Member States fear.", "Stadgan om straffrättens kvalitet i Europa borde inte vara något som medlemsstaterna fruktar."
"The rapporteur rightly recommends a European charter on 'quality of support for people with disabilities'.", "Föredraganden rekommenderar med rätta en europeisk stadga om ”stödformer av hög kvalitet för personer med funktionshinder”."
"This Quality Charter must act as an objective reference framework enabling evaluation of the different criminal justice systems in the different Member States.", "Rådet har infört krav på harmonisering av den materiella straffrätten, och i vårt betänkande föreslås att vi skall stödja rådets förslag."
"This Quality Charter must act as an objective reference framework enabling evaluation of the different criminal justice systems in the different Member States.", "Kvalitetsstadgan skall fungera som en objektiv referensram för utvärdering av de olika straffrättsliga systemen i de skilda medlemsstaterna."
"In 2002 international railway companies signed a voluntary Charter containing quality standards for rail passenger services – the COTIF Convention.", "År 2002 undertecknade de internationella järnvägsbolagen en frivillig stadga om kvalitetsstandarder för passagerartransport på järnväg – COTIF-fördraget."
"The rapporteur, Mr Costa, proposes creating a European mechanism for the evaluation of the quality of justice, a mechanism based on a Quality Charter for criminal justice.", "Föredraganden Antóni Costa föreslår att ett europeiskt system skall införas för utvärdering av rättsskipningens kvalitet baserat på en stadga om straffrättens kvalitet i Europa."
"To encourage high-quality ads, Google uses a measurement called Quality Score.", "I syfte att uppmuntra annonser med hög kvalitet använder Google ett mått som kallas kvalitetsresultat."
"Unlike Quality Score, we don't give you a specific number that shows your landing page quality.", "Till skillnad mot kvalitetsresultatet får du inte en siffra som visar kvaliteten på målsidan."
"Your landing page quality affects not only your Quality Score, but also your advertising costs and ad position.", "Målsidans kvalitet påverkar inte bara kvalitetsresultatet, utan också dina annonseringskostnader och annonsplaceringen."
"You can improve your landing page quality – and Quality Score – by focusing on three things: relevant and original content, transparency, and ease of navigation.", "Du kan förbättra målsidans kvalitet – och kvalitetsresultatet – genom att fokusera på tre saker: relevant och unikt innehåll, transparens och enkel navigering."
"Police and the military have destroyed ten houses of Catholics in Quang Ngai Province.", "Polis och militär har förstört tio hus tillhörande katoliker i provinsen Quang Ngai."
"One of this organisation's leaders, Quang Do, has also been nominated for the Nobel Prize in 2003.", "En av denna organisations ledare, Quang Do, är även nominerad till ett Nobelpris 2003."
"That is why I proposed last year, with Mr Cappato and others, that Thich Quang Do should be considered for the Nobel Peace Prize.", "Därför föreslog jag förra året, tillsammans med Marco Cappato och andra, att Thich Quang Do skulle få Nobels fredspris."
"The Archbishop of Hanoi, Quang Kiêt, is under house arrest and remains under surveillance, living in fear for his life.", "Ärkebiskopen i Hanoi, Quang Kiêt, är satt i husarrest och fortsätter att vara under bevakning, samtidigt som han fruktar för sitt liv."
"Thich Quang Do, the leader of the church, is still being held under arrest, and the land belonging to the Catholics is still confiscated.", "Kyrkans ledare, Thich Quang Do, hålls fortfarande fängslad, och den egendom som tillhör katolikerna är fortfarande konfiskerad."
"Our group's resolution calls for the release of Buddhist leaders Thich Huyen Quang and Thich Quang Don from what we consider to be groundless imprisonment.", "Vår grupp kräver i sin resolution att buddistledarna Thich Huyen Quang och Thich Quang Don släpps fria från vad vi anser vara grundlösa fängelsestraff."
"We also welcome Vietnam's agreement for the EU to visit two individuals on the list – Thich Quang Do and Than Van Truong – so that we can assess their situation.", "Vi välkomnar också att Vietnam samtyckt till att EU kan besöka två enskilda individer på listan – Thich Quang Do och Than Van Truong – så att vi kan bedöma deras situation."
"In particular we must verify whether the second in command of the Unified Buddhist Church of Vietnam, Thich Quang Do, is released on 1 June, as he should be under the terms of his sentence.", "Vi måste i synnerhet övervaka att generalsekreteraren i den förenade buddistiska kyrkan, den högvördige Thich Quang Do, blir frisläppt den 1 juni, vilket han bör bli enligt sin dom."
"The Castille note, which 'Libération' published in 1996, had appeared in the consumer magazine 'Que choisir?'", "Castilles artikel som Libération publicerade 1996 kunde läsas redan 1990 i konsumenttidningen Que choisir ."
"The Castille note, which 'Libération ' published in 1996, had appeared in the consumer magazine 'Que choisir?", "Castilles artikel som Libération publicerade 1996 kunde läsas redan 1990 i konsumenttidningen Que choisir."
"This is an antiQue, you know.", "Det här är ett antikt skåp."
"Asi que cuando pueda...", "" Asi que cuando pueda... ""
"The Spanish authorities claim, and I quote: 'que no se puede establecer una relación causal entre el vertido del 'Prestige' y la escasez de capturas'.", "De spanska myndigheterna påstår, och jag citerar: 'que no se puede establecer una relación causal entre el vertido del 'Prestige' y la escasez de capturas?."
"The Spanish authorities claim, and I quote: 'que no se puede establecer una relación causal entre el vertido del 'Prestige ' y la escasez de capturas '.", "De spanska myndigheterna påstår, och jag citerar: ' que no se puede establecer una relación causal entre el vertido del ' Prestige ' y la escasez de capturas?."
