//Sentences
"In this directive, the PSC authorities are at risk of being given extra tasks.", "I detta direktiv riskerar PSC-myndigheterna att åläggas extra uppgifter."
"The PPE and PSE refuse to acknowledge a link with the BNFL MOX shipments to Japan.", "PPE och PSE vägrar att tillstå ett samband med BNFL: s MOX-transporter till Japan."
"on behalf of the PSE Group. - (DE) Mr President, as you see, Mr Solana is absent.", "för PSE-gruppen. - (DE) Herr talman! Som ni kan se är inte Javier Solana närvarande."
"During the PSE Group hearing on air pollution, we had clear evidence of this.", "Under PSE-gruppens utfrågning om luftföroreningar fick vi tydliga bevis för detta."
"People in the PSE and the PPE-DE Groups turned their backs and walked out.", "Ledamöter från PSE- och PPE-DE-gruppen vände ryggen mot honom och lämnade salen!"
"B4-0831/98 by the ELDR Group-B4-0836/98 by the PSE Group-B4-0843/98 by the PPE Group", "B4-0831/98 av ELDR-gruppen-B4-0836/98 av PSE-gruppen-B4-0843/98 av PPE-gruppen"
"B5-0110/ 01 by Mr Fruteau, on behalf of the PSE Group, on human rights in Pakistan;", "B5­ 0110 / 01 av Fruteau för PSE-gruppen om mänskliga rättigheter i Pakistan"
"– B5-0082/ 2004 by Mr van den Berg, on behalf of the PSE Group, on Cambodia;", "– B5-0082 / 2004 av Margrietus J. van den Berg, för PSE-gruppen, om Kambodja."
"on behalf of the PSE Group. - (DE) Mr President, I will keep this very brief.", "för PSE-gruppen . - (DE) Herr talman! Jag kommer att fatta mig mycket kort."
"The PSE Group is pleased to support this report and to congratulate the rapporteur.", "PSE-gruppen vill gärna stödja detta betänkande och gratulera föredraganden."
"The PSE Group has absolutely no problems with the report as it is presented right now.", "PSE-gruppen har inget problem alls med betänkandet som det just nu föreligger."
"B5-0383/ 2003 tabled by Enrique Barón Crespo and others, on behalf of the PSE Group", "B5-0383 / 2003 framlagt av Enrique Barón Crespo med flera, för PSE-gruppen,"
"on behalf of the PSE Group. - (ET) My speech too links up with the previous speaker's.", "för PSE-gruppen. - (ET) Mitt anförande knyter också an till de föregående talarnas."
"B5-0383/2003 tabled by Enrique Barón Crespo and others, on behalf of the PSE Group", "B5-0383/2003 framlagt av Enrique Barón Crespo med flera, för PSE-gruppen,"
"B5-0110/01 by Mr Fruteau, on behalf of the PSE Group, on human rights in Pakistan;", "B5­0110/01 av Fruteau för PSE-gruppen om mänskliga rättigheter i Pakistan"
"I had mistakenly read PPE-DE instead of PSE, which is not acceptable, of course.", "Jag hade av misstag läst PPE-DE i stället för PSE, vilket naturligtvis inte är godtagbart."
"Mr Zapatero, you have broken the fine tradition of the PSOE in Europe.", "Ni har brutit PSOE:s fina tradition i Europa."
"We are also well aware that the Colombian government is not worthy of all the confidence which we, together with the Spanish PSOE and PP are placing in it.", "Vi vet också att helt klart att regeringen inte är värd allt det förtroende som vi ger den tillsammans med spanska PSOE och PP."
"I should also like to stress the ineffectuality of the Spanish Members from the People's Party (PP) and the Spanish Socialist Workers' Party (PSOE).", "Jag vill även belysa det ineffektiva arbete som de spanska ledamöterna från folkpartiet (PP) och spanska socialistiska arbetarpartiet (PSOE) har åstadkommit."
"We must bear in mind that the new reform of the Spanish Penal Code, proposed by the PP and supported by the PSOE, opens up the possibility of holding incommunicado for 13 days.", "Vidare är okunnighet om lagen ingen ursäkt för att inte följa den och inget som gagnar lagbrytare, som måste veta att ett rättsligt förfarande väntar dem."
"We must bear in mind that the new reform of the Spanish Penal Code, proposed by the PP and supported by the PSOE, opens up the possibility of holding incommunicado for 13 days.", "Vi måste komma ihåg att den nya reformen av den spanska straffrättslagstiftningen, som föreslagits av PP och stöds av PSOE, gör det möjligt att hålla en person isolerad i 13 dagar."
"I would like to emphasise the importance of the status of the PSSA, a Particularly Sensitive Sea Area.", "Jag vill betona vikten av den status som särskilt känsliga havsområden (PSSA) har."
"The creation of the new PSSA in London was a success, but we need to specify what is meant by these.", "Det var en framgång i London att vi fick det nya PSSA-området men vi behöver en konkretisering av vad detta innebär."
"As a unique and sensitive ecosystem it has been given the status of a Particularly Sensitive Sea Area (PSSA) by the International Maritime Organisation.", "Eftersom Östersjön har ett unikt och känsligt ekosystem har den fått status som ”särskilt känsligt område” av IMO."
"Finally, I hope that we shall work together on tangible rules for success with the Particularly Sensitive Sea Areas (PSSA) that have been designated.", "Till slut hoppas jag att vi tillsammans skall jobba för konkreta regler för framgången med PSSA-området som klassificerades."
"The Baltic Sea has been classified as a 'particularly sensitive sea area' (PSSA) by the International Maritime Organisation's Marine Environment Protection Committee.", "Östersjön är klassat som särskilt känsligt havsområde (PSSA) av Internationella sjöfartsorganisationens kommitté för skydd av den marina miljön."
"It is worth pointing out that the Baltic Sea has been classified as a 'particularly sensitive sea area' (PSSA) by the International Maritime Organisation's Marine Environment Protection Committee.", "Man bör komma ihåg att Östersjön är klassat som ”särskilt känsligt havsområde” (PSSA) av Internationella sjöfartsorganisationens kommitté för skydd av den marina miljön."
". - (PT) The merits of the scheme proposed in this report are clear.", "skriftlig. - (PT) Fördelarna med det system som föreslås i betänkandet är klara."
"(PT) Madam President, just a brief point of order about the agenda for this week.", "(PT) Fru talman! Bara en kort ordningsfråga om denna veckas föredragningslista."
"(PT) On the strength of what was said, there seems to be less action than words.", "(PT) När det gäller styrkan i vad som sagts tycks man prata mer än man agerar."
"(PT) Madam President, I am sorry if I did not make myself sufficiently clear.", "(PT) Fru talman! Jag ber om ursäkt om jag inte uttryckte mig tillräckligt klart."
"(PT) Prime Minister Sócrates says he has received a clear and precise mandate.", "(PT) Premiärminister Sócrates säger att han har fått ett tydligt och exakt mandat."
"(PT) Mr President, Commissioner, the fight against cancer must be a priority.", "(PT) Herr talman, herr kommissionsledamot! Kampen mot cancer måste prioriteras."
"(PT) Sustainable development is at the very top of the international agenda.", ".(PT) Hållbar utveckling ligger högt uppe på den internationella dagordningen."
"(PT) Madam President, we all know that the right to housing is a fundamental right.", "(PT) Fru talman! Vi alla vet att rätten till bostad är en grundläggande rättighet."
"(PT) Unemployment is one of the main problems facing the candidate countries.", "(PT) Arbetslöshet är ett av de viktigaste problem som kandidatländerna står inför."
". - (PT) This report contains some highly contradictory aspects.", "skriftlig. - (PT) Detta betänkande innehåller några högst oförenliga synpunkter."
"(PT) In Portugal, workers are fighting for their rights in a wide range of sectors.", "(PT) I Portugal slåss arbetstagarna för sina rättigheter inom många olika sektorer."
"(PT) Mr President, we all regret what has happened in Greece and the United Kingdom.", "(PT) Herr talman! Vi beklagar alla vad som har hänt i Grekland och Storbritannien."
"(PT) I hope that I have correctly understood the honourable Member's question.", "rådets ordförande. - (PT) Jag hoppas att jag har uppfattat ledamotens fråga korrekt."
"(PT) Today, we are facing a natural disaster with unpredictable consequences.", "(PT) I dag står vi inför en naturkatastrof vars följder inte går att förutse."
"(PT) I wish to start by congratulating the rapporteur on his excellent work.", "(PT) Jag vill börja med att gratulera föredraganden till hans utmärkta arbete."
"(PT) I must start by congratulating the rapporteurs on this excellent report.", "(PT) Jag vill först gratulera föredragandena till deras utmärkta betänkande."
"(PT) Mr President, I welcome the recent communication on clean and efficient vehicles.", "(PT) Herr talman! Jag välkomnar meddelandet nyligen om rena och effektiva fordon."
"(PT) I should once again like to thank you for being in the Chamber, Commissioner.", "(PT) Fru kommissionsledamot! Jag vill återigen tacka er för er närvaro i parlamentet."
". - (PT) The Directive on illegal immigration poses an impossible dilemma.", "skriftlig. - (PT) Direktivet om illegal invandring innehåller ett omöjligt dilemma."
". - (PT) This report focuses on energy efficiency policy within the EU.", "skriftlig. - (PT) I det här betänkande behandlas energieffektivitetspolitiken inom EU."
"PVC as a material needs to undergo a thorough assessment of its entire life-cycle.", "PVC bör som ämne bli föremål för en grundlig bedömning av den totala livscykeln."
"Finally, it is important to support the use of alternatives to PVC products.", "Slutligen är det viktigt att stödja användningen av alternativ till PVC-produkter."
"The businesses that manufacture PVC have done a lot of research in the last few years.", "De företag som tillverkar PVC har bedrivit mycket forskning under de senaste åren."
"The opinions on PVC and its effects on health and the environment are very diverse.", "Meningarna om PVC och dess konsekvenser för hälsa och miljö går vitt isär."
"Against this background it would be irresponsible to call for a moratorium on PVC.", "Att kräva ett uppehåll för PVC skulle mot denna bakgrund vara oansvarigt."
"It is well known that PVC may present a risk when used in toys for young children.", "Det är mycket välkänt att PVC kan utgöra en risk när det används i leksaker för små barn."
"Firstly, some people are calling for a ban on PVC, but we must be consistent.", "För det första kräver en del ett förbud mot PVC. Men vi måste väl ändå vara konsekventa."
"There was very clear and strong support for the substitution of PVC.", "Det framfördes ett mycket tydligt och starkt stöd för att ersätta PVC-produkter."
"Industry already voluntarily refrains from using cadmium in PVC products today.", "Industrin avstår redan i dag frivilligt från kadmium i PVC-produkter."
"That is why I am pleased that we have finally managed to put the question of PVC behind us.", "Därför är jag glad att vi slutligen har lyckats lämna frågan om PVC bakom oss."
"The production of PVC is justified if strict emission requirements are met.", "Produktionen av PVC är säker under förutsättning att de stränga utsläppskraven uppfylls."
"Incinerated PVC produces dioxins, which are among the most dangerous toxins that exist.", "Förbränd PVC utvecklar dioxin, ett av de hälsovådligaste gifter som finns."
"In terms of waste, no fewer than four million tonnes of PVC waste are produced every year.", "När det gäller avfall produceras inte mindre än 4 miljoner ton PVC-avfall varje år."
"Of course that will also be relevant in the application of PVC to medical goods.", "Och det kommer förstås också att vara relevant vid tillämpningen av PVC i medicinska produkter."
"We all know that there is widespread concern about PVC within our society.", "Vi hoppas alla att det finns en omfattande oro för PVC i vårt samhälle."
"We are thus fortunate, especially in the medical sphere, to have PVC.", "Det är alltså bra, framför allt på det medicinska området, att vi har PVC."
"Meanwhile, we do not wish to place PVC under a ban, but we do want to handle it with care.", "Nu vill vi inte förbjuda PVC, men vi bör tillämpa försiktighet vid användningen av det."
"What we are talking about here is the question about plasticizers in PVC toys.", "Det vi talar om här är frågan om mjukgöringsmedel i PVC-leksaker."
"It is certainly wrong to confine ourselves solely to the problems of disposing of PVC.", "Att bara begränsa sig till problemen med hanteringen av PVC-avfall skulle vara alldeles fel."
"I will give you an example: PVC comprises 0.7 % of the total amount of incinerated waste.", "Jag skall ta upp ett exempel: PVC utgör 0,7 procent av den totala mängden förbränt avfall."
"With those words Pablo Picasso described the problems associated with artistic training.", "Med dessa ord beskrev Pablo Picasso de problem som är förenade med konstutbildning."
"On this note I would like to thank Pablo Zalba Bidegain for the work that he did on this specific part of the agreement.", "Jag vill tacka Pablo Zalba Bidegain för hans arbete på just denna del av avtalet."
"It's like Pablo's theory, with the dog when he feeds him?", "Som Pablos teori med hundarna som han ger mat."
"I would like to thank Robert Sturdy and Pablo Zalba Bidegain for their leadership as rapporteurs, as well as everyone else involved.", "Jag vill tacka Robert Sturdy och Pablo Zalba Bidegain för deras ledarskap som föredragande och alla andra som deltagit."
"Director ad interim: Pablo Amor", "Tillförordnad direktör: Pablo Amor"
"Nevertheless, the hopes then raised were dashed on 9 March, when that same Supreme Court confirmed the death penalty for the European citizen, Pablo Ibar.", "De förhoppningar som då väcktes krossades dock den 9 mars, när samma domstol slog fast domen dödstraff för den europeiske medborgaren Pablo Ibar."
"Nevertheless, the hopes then raised were dashed on 9 March, when that same Supreme Court confirmed the death penalty for the European citizen, Pablo Ibar.", "De förhoppningar som då väcktes krossades dock den 9 mars, när samma domstol slog fast domen dödstraff för den europeiske medborgaren Pablo Ibar."
"As Pablo Neruda said, the work we have to do is like the old wine of my country; it is not produced by one man but by many, and not from one plant but from many.", "Som Pablo Neruda sade, det arbete vi måste utföra är som det gamla vinet i mitt hemland, det görs inte av en människa, utan av många, och inte av en planta, utan av många."
"Three wayward Pac-Men, and three pointy brackets are actually present.", "Tre nyckfulla Pac Men, samt tre vinkelklamrar finns där."
"At present Community legislation does not contain an upper limit for the PAC content in foodstuffs.", "Den gemensamma lagstiftningen innefattar för närvarande ingen övre gräns för halten av polycykliska aromatiska kolväten i livsmedel."
"In the past, industry has used IP 346 method of the Institute of Petroleum for PAC-dimethyl sulfoxide extract, which must not exceed 3 %.", "Betänkandet är en triumf för parlamentet och jag är glad att vi har kommit fram till ett kompromisspaket."
"In the past, industry has used IP 346 method of the Institute of Petroleum for PAC-dimethyl sulfoxide extract, which must not exceed 3%.", "Hittills har industrin använt IP 346-metoden från petroleuminstitutet för polycykliskt aromatiskt dimetylsulfoxidextrakt, som inte får överstiga 3 procent."
