//Sentences
"As far as export refunds are concerned, just 13% of the money has been recovered.", "Beträffande exportersättningen har endast 13 procent av medlen drivits in."
"We should not forget that the European Union, with its Community budget and its Member States, is the biggest source of development and humanitarian aid in the world.", "Vi får inte glömma att Europeiska unionen, med sin gemenskapsbudget och sina medlemsstater, är den största källan till utvecklingsstöd och humanitärt bistånd i världen."
"However, we must not forget that the biggest source of optical radiation is not artificial radiation but the sun, and for most workers skin cancer occurs as a result of exposure to the sun.", "Men vi får inte glömma att den största källan till optisk strålning inte är artificiell strålning utan solen, och hos de flesta arbetstagare uppkommer hudcancer som en följd av exponering för solen."
"The page breaks (line breaks and column breaks) are marked as black lines.", "Sidbrytningarna (radbrytningar och kolumnbrytningar) markeras med svarta linjer."
"But look at the number of black lines in that spectrum.", "Men titta på antalet svarta linjer i det spektrumet."
"Black lines", "Svarta linjer"
"And the element helium was discovered just by staring at the light from the Sun because some of those black lines were found that corresponded to no known element.", "Och ämnet helium upptäcktes genom att observera ljuset som kom från Solen eftersom vissa av de svarta linjerna som upptäcktes återfanns inte i något då känt ämne."
"The system is, indeed, not transparent and is burdened with decades of corruption.", "Det finns verkligen ingen insyn i systemet och systemet lider av år av korruption."
"Farmers today are burdened with red tape, paperwork and constant monitoring.", "I dag belastas jordbrukarna med byråkrati, pappersarbete och konstant övervakning."
"He must not be burdened with the demands of a bureaucracy that he may find quite alien.", "Han skall inte utsättas för önskemålen från en för honom eventuellt okänd byråkrati."
"Who is talking about the taxpayers now being burdened with the risks of this disaster?", "Vem talar om att skattebetalarna nu belastas med de risker som medföljer denna katastrof?"
"The country is also burdened by the need to protect nature and human beings from old mistakes.", "En ytterligare barlast är att skydda miljön och befolkningen för gamla missgrepp."
"However, our citizens cannot be burdened with a further structural crisis.", "Våra medborgare kan dock inte belastas med ännu en strukturell kris."
"I would say to the honourable Member that on this question we are all burdened with history.", "Jag vill säga den ärade ledamoten att i den här frågan ligger historien tung över oss."
"It follows, therefore, that trade policy should almost never be burdened with a political agenda.", "Därmed bör handelspolitiken i stort sett aldrig belastas med en politisk dagordning."
"Their proliferation, which brings well-being to Europe, should not be burdened with red tape.", "Byråkrati får inte hindra att de sprids och bidrar till EU:s välstånd."
"We consider it unhelpful for the expansion agenda to be burdened with bilateral issues.", "Vi anser att det inte gynnar dagordningen för utvidgning att den tyngs ned av bilaterala frågor."
"However, Heading 4, " External Action " has become over-burdened.", "Däremot har utgiftsområde 4 " Yttre åtgärder " överbelastats."
"In my own country, the Netherlands, the number of people burdened by noise is as high as forty-three percent.", "I mitt land, Nederländerna, besväras hela fyrtiotre procent av befolkningen av buller."
"However, Heading 4, "External Action" has become over-burdened.", "Däremot har utgiftsområde 4 "Yttre åtgärder" överbelastats."
"This ensures that small shops that have difficulty with space are not burdened with unreasonable requirements.", "Det innebär att små butiker som inte har så stora utrymmen inte drabbas av orimliga krav."
"It is burdened by excessive social privileges, the common customs policy, and expensive bureaucratic regulations.", "Situationen på tjänstemarknaden har gynnat den ekonomiska utvecklingen."
"I refer to protecting jobs in those countries burdened with excessively high social costs.", "Det jag menar är att man måste skydda sysselsättningen i de länder som tyngs ned av orimligt höga sociala kostnader."
"Those who decide to use GMOs in their production will be burdened with costs because of large claims.", "Tysk forskning visar att det är nästan omöjligt att producera kött utan genetiskt modifierade organismer."
"They find themselves more and more burdened in circumstances where it is seriously impeding their competitiveness.", "De anser sig vara alltmer belastade av omständigheter som allvarligt hämmar deras konkurrenskraft."
"We are burdened by a particular political responsibility.", "Vi har ett särskilt politiskt ansvar att bära."
"It would be quite unreasonable to demand that already heavily burdened companies reinvest in new systems.", "Det vore direkt orimligt att kräva nysatsningar och nyinvesteringar i andra system för redan hårt belastade företag."
"In addition, the age of girls being subjected to violence is steadily falling.", "Dessutom sjunker hela tiden åldern på de flickor som utsätts för våld."
"People living in Europe need to be protected from being subjected to that American system.", "Europas invånare måste skyddas från att underkastas det amerikanska systemet."
"Christians are being subjected to a campaign of persecution, humiliation, abuse and murder.", "Kristna utsätts för en kampanj med förföljelse, förödmjukelse, misshandel och mord."
"Vehicles with a Polish registration plate are being subjected to checks lasting several hours.", "Fordon med polska registreringsskyltar utsätts för kontroller som varar i flera timmar."
"Being subjected to violence in the home is a horrendous violation of personal integrity.", "Att utsättas för våld i hemmet är en otrolig integritetskränkning."
"They must not be trivialized by being subjected to the rules applying to commercial insurance.", "Den skall inte förenkla dem genom att använda samma regler som för försäkringar inom handeln."
"It is undeniable that animals are being subjected to unnecessary suffering.", "Det är ett faktum att djuren utsätts för onödigt lidande."
"We should recognise that Bulgaria and Romania are being subjected to an unparalleled degree of scrutiny.", "Vi borde erkänna att Bulgarien och Rumänien utsätts för en granskning utan motstycke."
"The Cypriot people are being put under intolerable pressure and are being subjected to all sorts of coercion.", "Det cypriotiska folket sätts under outhärdlig press och utsätts för alla typer av tvång."
"They are being subjected daily to mistreatment and torture and are being denied adequate food and health care.", "De utsätts dagligen för misshandel och tortyr och nekas tillräckligt med mat och sjukvård."
"They are being subjected to huge psychological strain, which is inhumane and degrading treatment in itself.", "De utsätts för en enorm psykisk påfrestning, vilket i sig är en omänsklig och förnedrande behandling."
"What is more, owing to the more intense air traffic local inhabitants are being subjected to higher levels of noise pollution.", "Den ökade flygtrafiken medför dessutom en högre grad av bullerstörning för de boende i området."
"There is a great difference between all the pressure and lobbies and being subjected to threats and abuse.", "Det är en klar skillnad mellan å ena sidan alla dessa lobbygruppers påtryckningar och å andra sidan förolämpningar och hot!"
"We cannot be passive onlookers and fail these masses of people who are being subjected to mental and physical cruelty.", "Vi kan inte passivt stå och titta på, vilket drabbar de många människor som utsätts för fysiskt och psykiskt våld."
"The developing countries are therefore in danger of being subjected to pressure and of being forced to yield to unreasonable demands.", "Därför löper utvecklingsländerna en risk att utsättas för press och tvingas acceptera orimliga krav."
"Now the people are being subjected to an occupying power that is more interested in building up power based on arms than in democracy.", "Sedan drabbas man av en ockupationsmakt, som är mer intresserad av att bygga upp vapenmakt än demokrati."
"The press must be given back its voice, because it is being subjected to fundamentalist violence and governmental pressure.", "Pressen måste därför återfå möjligheten att yttra sig. Nu står den under det islamiska våldet och maktens påtryckningar."
"At the same time, it will enable companies to provide goods and services without being subjected to unnecessary legal obstacles.", "Samtidigt kommer det att bli möjligt för företagen att tillhandahålla varor och tjänster utan onödiga rättsliga hinder."
"Sometimes we had the feeling that we were being subjected to what the French call 'un procès d'intention', a kind of 'Schuldvermutung.'", "Ibland kändes det som om vi utsattes för det fransmännen kallar un procès d'intention, ett slags skuldpresumtion."
"On the other hand, there is a substantial risk of too many plans and programmes being subjected to environmental impact assessments.", "Å andra sidan finns det en stor risk att det måste göras för många bedömningar av planers och programs miljöpåverkan."
"Similarly, some Member States should make better use of existing opportunities.", "På samma sätt bör vissa medlemsstater använda befintliga möjligheter bättre."
"We need flexibility and better opportunities for reprioritisation within the framework.", "Vi behöver flexibilitet och bättre möjligheter till omprioritering inom ramarna."
"I hope there will be better opportunities for close co-operation among us in the future.", "Jag hoppas att det i framtiden finns allt bättre möjligheter till ett intimt samarbete."
"Older employees should be given better opportunities for participating in the labour market.", "Äldre anställda bör ges bättre möjligheter att delta på arbetsmarknaden."
"Education is important for personal growth and better employment opportunities.", "Utbildning är viktigt för den personliga utvecklingen och för att förbättra anställningsmöjligheterna."
"We will see better and better opportunities for exporting.", "Vi kommer att se att exportmöjligheterna blir bättre och bättre."
"Again, this is a way that we can help create better opportunities for jobs and for prosperity.", "Detta är återigen ett sätt för oss att medverka till att skapa bättre möjligheter till sysselsättning och välfärd."
"As trade Commissioner I would welcome better opportunities for exchanges between businesspeople.", "Som kommissionsledamot med ansvar för handel skulle jag välkomna bättre möjligheter till utbyte mellan affärsfolk."
"Only a real single market will give us better opportunities for growth and employment.", "Det är endast med hjälp av en fungerande inre marknad som vi kommer att få bättre möjligheter till tillväxt och sysselsättning."
"The road is long, but we must travel it, because women deserve better opportunities without prejudice.", "Resan är lång, men vi måste färdas längs den vägen eftersom kvinnor förtjänar bättre möjligheter utan fördomar."
"We have a lot to learn from one another and we must also make better use of opportunities at the regional level.", "Vi har mycket att lära av varandra och vi måste även ta bättre vara på möjligheterna på regional nivå."
"Of course poor countries need more aid, but they also need better and fairer export opportunities.", "Naturligtvis är fattiga länder i behov av mer bistånd, men de behöver också bättre och rättvisare exportmöjligheter."
"Parliament was also pushing for greater transparency and better opportunities for the public to have access to information.", "Parlamentet ville också öka öppenheten och förbättra allmänhetens tillgång till information."
"The proposal protects the victims' interests, and provides them with better opportunities to exercise their rights.", "Förslaget skyddar offrens intressen och förser dem med bättre möjligheter att tillvarata sina rättigheter."
"The report is excellent and will provide us with better opportunities to use the potential of the European Union.", "Betänkandet är utmärkt, och det kommer att ge oss bättre möjligheter att utnyttja Europeiska unionens potential."
"The 20 000 or so migrants were, in the main, economic migrants seeking jobs and better economic opportunities.", "De cirka 20 000 migranterna var huvudsakligen ekonomiska migranter som söker arbete och bättre ekonomiska möjligheter."
"At the same time we have done little to change the situation and increase women's opportunities for better employment.", "Samtidigt har vi inte gjort mycket för att förändra situationen och öka kvinnors möjligheter att få bättre jobb."
"Increased participation on the part of women also means better opportunities for society to take care of its citizens.", "Ett ökat deltagande från kvinnornas sida innebär också bättre möjligheter för samhället att ta hand om sina medborgare."
"The enormous economic growth can create better conditions and opportunities for greater social justice in India.", "Den enorma ekonomiska tillväxten kan skapa bättre förutsättningar för och möjligheter till en större social rättvisa i Indien."
"The Mediterranean area is extremely dynamic, and the young generation are asking for more jobs and better opportunities.", "Medelhavsområdet är extremt dynamiskt, och den unga generationen efterfrågar mer sysselsättning och bättre möjligheter."
"I also believe that exchanges between local politicians and schools are extremely valuable.", "Även utbyten mellan kommunalpolitiker och skolor betraktar jag som meningsfulla."
"The second point is the importance of encouraging twinning between schools.", "En annan sak är betydelsen av att stimulera samarbetet mellan skolor."
"It is therefore essential to improve links between clubs and schools.", "Det är alltså av yttersta vikt att förbindelserna mellan föreningarna och skolorna förbättras."
"A certain freshness is achieved through teacher exchange programmes between schools in different countries.", "Program för lärarutbyte mellan skolor i olika länder kan ge en del nya impulser."
"I believe that cooperation between associations, schools and public authorities is very important.", "Jag anser att samarbete mellan föreningar, skolor och offentliga myndigheter är mycket viktigt."
"Joint further education must be organised by cooperation between nursery schools, schools and parents.", "I samarbete mellan förskola, skola och föräldrar måste en gemensam vidareutbildning organiseras."
"We have found that there are differences between the schools in the Netherlands, Belgium, Germany and Luxembourg.", "Vi har märkt att det finns skillnader mellan skolorna i Nederländerna, Belgien, Tyskland och Luxemburg."
"It is encouraging European cooperation between schools and enabling them to establish a Europe-wide network.", "Den uppmuntrar europeiskt samarbete mellan skolorna och främjar att de organiseras i nätverk på europeisk nivå."
"It is also very important to establish a close link between artistic creation and schools and universities.", "Det är också mycket viktigt att etablera en nära förbindelse mellan konstnärligt skapande och skolor och universitet."
"We discussed the relevant issues in detail, for example, mobility and cooperation between schools and universities.", "Vi diskuterade de relevanta frågorna i detalj, exempelvis rörlighet och samarbete mellan skolor och universitet."
"Moreover, it is important to stimulate cooperation between schools and various bodies, also at local and regional level.", "Dessutom är det viktigt att främja samarbetet mellan skolor och olika institutioner, även på lokal och regional nivå."
"The exchanges between schools, universities and business people are most promising, and the Asia-Europe Foundation is doing sterling work.", "Utbytet mellan skolor, universitet och affärskvinnor och -män är lovande, Europa-Asien-stiftelsen gör ett gott arbete."
"School Collaboration also aims at facilitating contact between municipalities and schools by arranging further contacts within the university.", "Skolsamverkan syftar också till att underlätta kontakterna mellan kommuner och skolor genom att förmedla kontakter vidare inom universitetet."
"The presence of specialist psychologists in schools might prevent such tragic events and violent incidents which occur between pupils in schools.", "Närvaron av särskilda psykologer i skolorna skulle eventuellt kunna hindra tragiska händelser av denna typ och likaså våldshandlingar som förekommer bland elever i skolorna."
"I stress that the sharing of good practices and the sharing of information between the different schools in Europe should not develop into a competitive practice.", "Jag understryker att när olika skolor i Europa sprider god praxis och information mellan varandra bör detta inte medföra att någon form av konkurrens utvecklas."
"In some countries, such as Italy, there is a 500 metre safety zone between base stations and schools, while in Finland there are base stations even on the roofs of schools.", "I en del länder, däribland Italien, har man en säkerhetszon på 500 meter mellan basstationer och skolor, medan man i Finland till och med har basstationer på skoltak."
"I also wish to support e-twinning of European schools since that seems to me to be an excellent way of bringing about cooperation between schools from every corner of Europe.", "Jag vill också stödja e-vänskolekontakterna mellan europeiska skolor, eftersom det förefaller mig vara ett utmärkt sätt att nå samarbete mellan skolor i hela Europa."
"We are all familiar with the Comenius programme within the great Socrates programme framework, which is about cooperation between at least three schools from different Member States.", "Vi känner alla till programmet Comenius inom ramen för det stora Sokrates-programmet. Här handlar det om samarbete mellan minst tre skolor från olika medlemsstater."
"This was followed up in March 2010 by a thematic forum which explored the possibility of expanding the forum's sphere of action to cooperation between schools and business.", "Detta följdes i mars 2010 upp av ett tematiskt forum där man utforskade möjligheten att utöka forumets verksamhetsområde till att även omfatta samarbete mellan skolor och näringsliv."
"If networking between twinned schools truly gets under way, schoolchildren in different parts of the EU can get to know other pupils of the same age and learn about their everyday lives.", "Om nätverkssamarbetet mellan vänskolor verkligen kommer igång kan skolbarn i olika delar av EU lära känna andra elever i samma ålder och få veta hur deras vardag ser ut."
"So far as external relations are concerned, we therefore call for a budget breakdown that is both thematic and geographical.", "När det gäller yttre förbindelser kräver vi därför en uppdelning av budgeten som är både tematisk och geografisk."
"So far as external relations are concerned, we therefore call for a budget breakdown that is both thematic and geographical.", "För det andra är de områden som är beroende av fisket i de flesta fall struktursvaga regioner, som är i särskilt stort behov av gemenskapens solidaritet och stöd."
"The budget breakdown will, first of all, be based on an indicative multiannual programme for 2007–2013, which will set out the amounts allocated to each project in each period.", "Fördelningen av budgetmedlen kommer, för det första, att bygga på ett vägledande flerårigt program för 2007–2013, som kommer att ange de belopp som anslås för varje projekt i varje period."
"The budget breakdown will, first of all, be based on an indicative multiannual programme for 2007– 2013, which will set out the amounts allocated to each project in each period.", "Fördelningen av budgetmedlen kommer, för det första, att bygga på ett vägledande flerårigt program för 2007 – 2013, som kommer att ange de belopp som anslås för varje projekt i varje period."
"B5-0347/ 2000 by Mr Collins, on behalf of the Union for a Europe of Nations Group;", "B5-0347 / 2000 av ledamoten Collins för Gruppen Unionen för nationernas Europa;"
"For these reasons, only paragraphs 6a and 6b in Amendment No 154 are acceptable.", "Av dessa anledningar kan bara punkterna 7 och 8 i ändringsförslag 154 godtas."
"The report reproaches us for having neglected the rural areas and Objective 5B.", "I betänkandet får kommissionen kritik för att ha försummat landsbygden och Mål 5B."
"Queiró, Muscardini, on behalf of the UEN Group, to the Commission (B5-0211/2000);", "Queiró, Muscardini, på UEN-gruppens vägnar, till kommissionen (B5-0211/2000),"
"Bautista Ojeda, on behalf of the Verts/ALE Group, to the Commission (B5-0215/2000).", "Bautista Ojeda, på Verts/ALE-gruppens vägnar, till kommissionen (B5-0215/2000)."
"B5-0347/2000 by Mr Collins, on behalf of the Union for a Europe of Nations Group;", "B5-0347/2000 av ledamoten Collins för Gruppen Unionen för nationernas Europa;"
"(B5-0203/2002) by Mr Marchiani, on behalf of the UEN Group, on the Channel Tunnel;", "(B5-0203/2002) av Marchiani för UEN-gruppen om tunneln under Engelska kanalen,"
"Motion for a resolution (B5-0339/2001) on the area of freedom, security and justice", "Resolutionsförslag (B5-0339/2001) om området med frihet, säkerhet och rättvisa"
"Appointment of a Member of the Court of Auditors (Maarten B. Engwirda) (vote)", "Utnämning av en ledamot av revisionsrätten (Maarten B. Engwirda) (omröstning)"
"We tried it against flu A viruses -- H1N1, H3N2 -- as well as flu B viruses.", "Vi provade det mot influensa-A virus -- H1N1, H3N2 -- såväl som influensa-B virus."
"B4-0831/98 by the ELDR Group-B4-0836/98 by the PSE Group-B4-0843/98 by the PPE Group", "B4-0831/98 av ELDR-gruppen-B4-0836/98 av PSE-gruppen-B4-0843/98 av PPE-gruppen"
"To conclude the debate, I have received a motion for a resolution B6-0278/2005.", "– Jag har mottagit ett resolutionsförslag, B6-0278/2005, för att avsluta debatten."
"I voted in favour of the motion for a resolution on Climate Change B6-0129/2004.", ".– Jag röstade för förslaget till resolution om klimatförändring, B6-0129/2004."
"B5-0110/ 01 by Mr Fruteau, on behalf of the PSE Group, on human rights in Pakistan;", "B5­ 0110 / 01 av Fruteau för PSE-gruppen om mänskliga rättigheter i Pakistan"
"B5-0210/ 2001 by Mrs Maes, on behalf of the Verts/ ALE Group: floods in Mozambique;", "B5-0210 / 2001 av Maes för Verts / ALE-gruppen: översvämningar i Moçambique;"
"It could be A, but certainly not B, C or D, right?", "Det skulle kunna vara E, I eller A, Men absolut inte B, C eller D, eller hur?"
"Certain parts of paragraph 21 are too far-reaching, especially 21(b) and 21(d).", "Punkt 21 är i vissa delar alltför långtgående, framför allt 21 b och 21 d."
"Subject: War against Iraq: Aerial refuelling of B-52 bombers over European cities", "Angående: Kriget mot Irak: tankning av bombplan B-52 som flyger över europeiska städer"
"– B5-0082/ 2004 by Mr van den Berg, on behalf of the PSE Group, on Cambodia;", "– B5-0082 / 2004 av Margrietus J. van den Berg, för PSE-gruppen, om Kambodja."
"In Article 43 the advisory committee is replaced by a type 3B regulatory committee.", "I artikel 43 omvandlas en rådgivande kommitté till ett regleringskommitté av typ 3b."
