//Sentences
"I think that we must demonstrate transparency and integrity to those who elected us.", "Jag anser att vi måste visa öppenhet och integritet för dem som har valt oss."
"That is why the visitors have to make do with hotels which are not in Strasbourg but in the surrounding area.", "Därför måste besökarna acceptera hotell som inte ligger i Strasbourg, utan utanför."
"We should now make do, though, with the means that are at our disposal.", "Men nu får vi nöja oss med de medel som står till buds."
"From now on they will be unable to make do with such a feeble budget as the one we are being offered.", "Från och med nu kommer de omöjligt att klara sig med en sådan klen budget som den vi har erbjudits."
"So for the most part, we must make do with what we have.", "Vi måste alltså först och främst rätta munnen efter matsäcken."
"In the Council, you said we should have to make do in future with 1.045%, which is considerably less.", "I rådet sa ni att vi i framtiden skulle behöva klara oss med 1,045 procent, vilket är betydligt mindre."
"Mr President, in times of war we have to make do, as they say.", "Herr talman, à la guerre comme à la guerre, säger man."
"For this reason, we have dissociated ourselves from it and we shall make do with abstaining on the vote.", "Av detta skäl har vi tagit avstånd från den och vi kommer att nöja oss med att avstå från att rösta."
"In the Council, you said we should have to make do in future with 1.045 %, which is considerably less.", "I rådet sa ni att vi i framtiden skulle behöva klara oss med 1,045 procent, vilket är betydligt mindre."
"There is great ignorance about the fate of the Assyrian people compared with a number of other minority peoples.", "Det assyriska folkets öde är ju ganska okänt jämfört med en del andra minoritetsfolk."
"Those revisions are unacceptable to the majority because they would impose changes to the constitutional act on minority peoples.", "Dessa ändringar är oacceptabla för en majoritet, eftersom de skulle kräva förändringar i den konstitutionella akten om minoritetsfolk."
"Those revisions are unacceptable to the majority because they would impose changes to the constitutional act on minority peoples.", "Enhälligheten måste bevaras och alla tänkbara situationer där ett dödläge uppstår måste hanteras med hjälp av differentierat samarbete."
"The Christian Assyrians, Chaldeans, Syriacs and other minority peoples, such as the Turkmen, face continual discrimination and threats to their lives.", "De kristna assyrierna, kaldéerna, syrierna och andra minoritetsfolk, såsom turkmenerna, utsätts för ständig diskriminering och hotas till livet."
"(FI) Mr President, this resolution actually concerns the preservation of an important cultural heritage and the right of minority peoples to their cultural identity.", "(FI) Herr talman! Denna resolution handlar om att bevara ett viktigt kulturarv och om minoritetsbefolkningars rätt till sin kulturella identitet."
"Election results are still ignored; the leader of the opposition is still in jail, and minority peoples are oppressed and driven away, as they have always been.", "Valresultat ignoreras fortfarande. Ledaren för oppositionen sitter fortfarande i fängelse och minoritetsfolk förtrycks och fördrivs, precis som tidigare."
"That is true, but it must not mean that small businesses are not allowed to grow big.", "Det är sant, men det får inte betyda att småföretagen inte ska få växa sig stora."
"The term ‘more Europe’ must mean above all an enhanced Europe in Europe itself.", "Uttrycket ”mer Europa” måste framför allt betyda ett förstärkt Europa i själva Europa."
"Must it mean the same thing in every hospital in every town in every country in Europe?", "Måste det innebära samma sak i varje sjukhus i varje stad i varje land i EU?"
"The term ‘ more Europe’ must mean above all an enhanced Europe in Europe itself.", "Det europeiska projektet måste också fullbordas i sydöstlig riktning."
"To have competence must mean having the financial capacity necessary to confront it.", "En exklusiv befogenhet bör även innebära en exklusiv finansiell förmåga att uppfylla den."
"That must not mean, however, that Turkey need not discharge these obligations in the long term.", "Men det innebär inte att Turkiet inte behöver infria sina åtaganden på lång sikt."
"Naturally, I imagine, he must mean any country that does not belong to the European Union....", "Jag antar naturligtvis att man avser varje land som inte tillhör Europeiska unionen..."
"The enlargement of the European Union must also mean a deeper union.", "Utvidgningen av Europeiska unionen måste också innebära en djupare union."
"Enlargement of the European Union must mean the deepening of the policies of the European Union.", "Utvidgningen av Europeiska unionen bör vara en fördjupning av EU: s politikområden."
"Naturally, I imagine, he must mean any country that does not belong to the European Union ....", "Jag antar naturligtvis att man avser varje land som inte tillhör Europeiska unionen..."
"Yet solidarity must not mean inflicting other people’s poverty upon us.", "Solidaritet får emellertid inte innebära att andra länders fattigdom skall spridas till oss."
"Flowers for Kabul must mean many voices for the women of Afghanistan.", "Blommor till Kabul måste betyda: Många röster för Afghanstans kvinnor."
"But the House must understand what we mean, as I think the rapporteur does.", "Det måste man förstå och det har föredraganden också förstått."
"After all, the package must mean something, otherwise why did the Council fight so strongly over it?", "Paketet måste betyda något. Varför kämpade annars rådet så starkt för det?"
"That the Intergovernmental Conference has failed must not mean that the Constitution has failed.", "Regeringskonferensens misslyckande behöver inte betyda ett misslyckande för konstitutionen."
"Naturally, a common system must not mean that regionally produced food is not permitted.", "Ett gemensamt system får självklart inte innebära att regionalt producerad mat inte skulle tillåtas."
"Above all, the information society must mean investment in people and their skills.", "Informationssamhället måste framför allt uppstå till följd av investeringar i människor och deras förmåga."
"Yet solidarity must not mean inflicting other people’ s poverty upon us.", "Tjänstemän från generaldirektoraten för jordbruk och handel har precis återvänt från ett besök i Polen."
"If they are given recognition on this level, it must mean that these organizations mean something.", "När den får erkännande på den nivån, innebär det väl att dessa organisationer står för något."
"I mean I must confer with the Wizard of Atari-Sega-Nendo.", "Jag menar, jag måste ta ett snack med trollkarlen av Atari-Sega-Nendo."
"Paragraph 21 demands that full use be made of the maximum amount of 1.27 % of GDP.", "Punkt 21 kräver att taket på 1,27 procent av BNP skall utnyttjas fullständigt."
"The annual maximum amount the guarantee fund can cover is EUR 200 million.", "De årliga maximala garantier, som garantifonden kan medge, utgör 200 miljoner euro."
"Secondly, what will the maximum amount of aid be as a percentage of the costs of damage?", "För det andra, hur stor procentuell andel av skadan kommer stödet att utgöra?"
"The maximum amount in the general incentive system is two month's salary.", "Maximalt utfall i det generella incitamentsystemet är två månadslöner."
"According to the Commission, which has to implement the budget, the agreed maximum amount is sufficient.", "Han glömde att nämna de 10 miljarder euro som vi fick tillbaka oanvända 2003."
"Both countries have worked very hard and deserve the maximum amount of appreciation for their efforts.", "Båda länderna har arbetat hårt och förtjänar all uppskattning för detta."
"We should do this, though, in a uniform manner, and this is why I am in favour of one maximum amount.", "Vi bör dock göra detta på ett enhetligt sätt, och jag förespråkar därför ett maximibelopp."
"According to the Commission, which has to implement the budget, the agreed maximum amount is sufficient.", "Enligt kommissionen, som skall genomföra budgeten, är det överenskomna maximibeloppet tillräckligt."
"We need to try to get the maximum amount of action to encourage an end to this bloodshed and violence.", "Vi måste se till att det görs så mycket som möjligt för att stoppa denna blodsspillan och detta våld."
"The maximum amount of credit is envisaged as 100 million euros.", "Maximibeloppet för krediterna är hundra miljoner euro."
"One minute is the maximum amount of time I am normally allowed in Parliament to express myself in my own language.", "Mer än en minut brukar jag inte få av parlamentet för att uttrycka mig på mitt eget språk."
"You get to set the maximum amount you're willing to spend each day and choose how you'll spend your money.", "Du kan ange det högsta belopp du vill betala varje dag och du väljer hur du vill spendera dina pengar."
"I would also like to confirm, here in this House, that we will offer Parliament the maximum amount of information.", "Jag vill också bekräfta att vi kommer att erbjuda parlamentet största möjliga mängd information."
"The auction houses are concerned because the maximum amount of EUR 12 500 is no longer to apply.", "Auktionsfirmornas oro går i den riktningen att det inte längre skall föreskrivas något maximibelopp om 12 500 euro."
"You can decide the maximum amount you'd like to pay for a click by setting a cost-per-click (CPC) bid.", "Du kan bestämma det högsta belopp som du vill betala för ett klick genom att ange ett CPC-bud (kostnad per klick)."
"But in any case, the aid paid out in the period 1997-2003 is limited to a maximum amount of CZK 14 147 425 201.", "Emellertid är utbetalt stöd under perioden 1997–2003 begränsat till ett belopp om högst CZK 14 147 425 201."
"The amendment increases the maximum amount of CO2 and postpones the agreed date of 2012 to 2015.", "Genom ändringsförslaget ökas den maximala mängden koldioxid och man flyttar fram det överenskomna datumet från 2012 till 2015."
"We can only be satisfied when we have an arrangement which provides a maximum amount of legal security for all concerned.", "Vi kan vara nöjda först när vi har träffat en överenskommelse som innebär maximal rättssäkerhet för alla berörda parter."
"This will entitle these regions to the maximum amount of European Regional, Social, Agricultural and Fisheries funds.", "Detta kommer att göra dessa regioner berättigade till maximal mängd europeiska regionala, sociala, jordbruks- och fiskerimedel."
"The maximum amount is EUR 100 000.", "Maximibeloppet är 100 000 euro."
"more_vert open_in_new Link to statmt.org warning Request revision You now have AA, A+, A20, A40, and soon all products will have some type of A rating.", "expand_more Idag har vi AA, A+, A20, A40 och snart kommer alla produkter att ha någon typ av A-gradering."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision English language as a subject at Luleå University of Technology gets top marks in a new Quality Review from Swedish National Agency for Higher Education (HSV).", "toppbetyg i en ny kvalitetsgranskning av Högskoleverket (HSV)."
"The vote will take place today, at 11 a.m., that is to say in a few minutes time.", "Omröstningen kommer att äga rum i dag kl. 11.00, det vill säga om några minuter."
"So if I'm on a 12-hour flight, you'll see the last airport that I departed from.", "Om jag är på en tolvtimmars flygresa kommer du att se flygplatsen jag lyfte från."
"In view of the time, voting time will be suspended now and resumed at 5.30 p. m.", "Eftersom det är sent avbryter vi omröstningsomgången nu och återupptar den kl."
"I had September 12th -- from 10:00 a.m. to 10:30 a.m., I paid my storage bill.", "12 september hade jag -- mellan 10 och halv 11 betalat räkningen för mitt lager."
"I came down to sign in about 8.30 p. m. only to find that the session was over.", "Jag kom ner för att skriva in mig vid 20.30 och fann att sammanträdet var över."
"Actually, the chairman's reply seemed rather ironic, as he gave it at 8.32 p. m.", "Ordförandens svar verkade faktiskt en aning ironiskt, eftersom det gavs 20.32."
"And I'm sure that it's something that we all recognize, and we see that it happens.", "Jag är säkert på att detta är något vi alla känner igen, och vi ser detta hända."
"I'm not talking about airy-fairy stuff about culture or psychology, or behavior.", "Jag talar inte om flyktiga magiska saker om kultur eller psykologi, eller beteende."
"I came down to sign in about 8.30 p.m. only to find that the session was over.", "Jag kom ner för att skriva in mig vid 20.30 och fann att sammanträdet var över."
"Actually, the chairman's reply seemed rather ironic, as he gave it at 8.32 p.m.", "Ordförandens svar verkade faktiskt en aning ironiskt, eftersom det gavs 20.32."
"I'm Mays Gilliam, and I'm running for President of the United States of America.", "Jag är Mays Gilliam, och jag kandiderar till President av United States av America."
"Secondly, the limit of 1 000 m2, which the Group of the Greens wanted to reduce.", "Och det andra, gränsen på 1 000 kvadratmeter, som Gruppen De gröna har velat sänka."
"The discussion on this item of the Agenda will continue this evening at 6.00 p. m.", "Debatten om denna punkt på föredragningslistan kommer att fortsätta i kväll kl."
"Moreover, a concentration of 10 g/m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g/m3."
"(The sitting was suspended until the vote at 11.15 a.m. and resumed at 11.30 a.m.)", "(Sammanträdet avbröts fram till omröstningen kl. 11.15 och återupptogs kl. 11.30.)"
"The vote on these motions for resolutions will take place tomorrow at 11 a.m.", "Omröstningen om dessa resolutionsförslag kommer att äga rum i morgon kl. 11.00."
"Moreover, a concentration of 10 g/ m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g / m3."
"Well for health, I'm looking for wholesome ingredients that are good for my body.", "För hälsan, så letar jag efter nyttiga ingredienser som är bra för min kropp."
"And this is why things don't get done at work -- it's because of the M&amp;Ms.", "Och det är därför man ingenting får gjort på kontoret, det är på grund av C&amp;M."
"I'll give you one last illustration of variability, and that is -- oh, I'm sorry.", "Jag ska ge er ett sista exempel på föränderlighet, och det är -- oj, ursäkta."
"The vote will take place today, at 11 a.m., that is to say in a few minutes time.", "Omröstningen kommer att äga rum i dag kl. 11.00, det vill säga om några minuter."
"So if I'm on a 12-hour flight, you'll see the last airport that I departed from.", "Om jag är på en tolvtimmars flygresa kommer du att se flygplatsen jag lyfte från."
"In view of the time, voting time will be suspended now and resumed at 5.30 p. m.", "Eftersom det är sent avbryter vi omröstningsomgången nu och återupptar den kl."
"I had September 12th -- from 10:00 a.m. to 10:30 a.m., I paid my storage bill.", "12 september hade jag -- mellan 10 och halv 11 betalat räkningen för mitt lager."
"I came down to sign in about 8.30 p. m. only to find that the session was over.", "Jag kom ner för att skriva in mig vid 20.30 och fann att sammanträdet var över."
"Actually, the chairman's reply seemed rather ironic, as he gave it at 8.32 p. m.", "Ordförandens svar verkade faktiskt en aning ironiskt, eftersom det gavs 20.32."
"And I'm sure that it's something that we all recognize, and we see that it happens.", "Jag är säkert på att detta är något vi alla känner igen, och vi ser detta hända."
"I'm not talking about airy-fairy stuff about culture or psychology, or behavior.", "Jag talar inte om flyktiga magiska saker om kultur eller psykologi, eller beteende."
"I came down to sign in about 8.30 p.m. only to find that the session was over.", "Jag kom ner för att skriva in mig vid 20.30 och fann att sammanträdet var över."
"Actually, the chairman's reply seemed rather ironic, as he gave it at 8.32 p.m.", "Ordförandens svar verkade faktiskt en aning ironiskt, eftersom det gavs 20.32."
"I'm Mays Gilliam, and I'm running for President of the United States of America.", "Jag är Mays Gilliam, och jag kandiderar till President av United States av America."
"Secondly, the limit of 1 000 m2, which the Group of the Greens wanted to reduce.", "Och det andra, gränsen på 1 000 kvadratmeter, som Gruppen De gröna har velat sänka."
"The discussion on this item of the Agenda will continue this evening at 6.00 p. m.", "Debatten om denna punkt på föredragningslistan kommer att fortsätta i kväll kl."
"Moreover, a concentration of 10 g/m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g/m3."
"(The sitting was suspended until the vote at 11.15 a.m. and resumed at 11.30 a.m.)", "(Sammanträdet avbröts fram till omröstningen kl. 11.15 och återupptogs kl. 11.30.)"
"The vote on these motions for resolutions will take place tomorrow at 11 a.m.", "Omröstningen om dessa resolutionsförslag kommer att äga rum i morgon kl. 11.00."
"Moreover, a concentration of 10 g/ m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g / m3."
"Well for health, I'm looking for wholesome ingredients that are good for my body.", "För hälsan, så letar jag efter nyttiga ingredienser som är bra för min kropp."
"And this is why things don't get done at work -- it's because of the M&amp;Ms.", "Och det är därför man ingenting får gjort på kontoret, det är på grund av C&amp;M."
"I'll give you one last illustration of variability, and that is -- oh, I'm sorry.", "Jag ska ge er ett sista exempel på föränderlighet, och det är -- oj, ursäkta."
