//Sentences
"We should not forget the sobering comment made this week by Dr Blix.", "Vi bör inte glömma den allvarsamma kommentar som dr Blix framförde den här veckan."
"more_vert open_in_new Link to statmt.org warning Request revision Idag har vi AA, A+, A20, A40 och snart kommer alla produkter att ha någon typ av A-gradering.", "expand_more You now have AA, A+, A20, A40, and soon all products will have some type of A rating."
"This also means, however, that there is no tightening of the annual PM10 limits.", "I och med detta blir dock inte heller de årliga gränsvärdena för PM10 strängare."
"Montenegro needs to build a solid track record of implementation and of reforms.", "Montenegro måste uppvisa goda resultat när det gäller genomförande och reformer."
"The report attends to these points and I voted in favour of its recommendations.", "I betänkandet behandlas dessa punkter och jag röstade för dess rekommendationer."
"The report deals with these issues and I voted in favour of its recommendations.", "I betänkandet behandlas dessa punkter och jag röstade för dess rekommendationer."
"The involvement of industry representatives in preparing this report is welcome.", "Det är bra att företrädare för industrin deltar i att utarbeta detta betänkande."
"At a time of crisis it is especially important to make credits easier to obtain.", "I dessa kristider är det särskilt viktigt att göra krediter mer lättillgängliga."
"She told me: 'Do not talk to me about online gambling, I have lost EUR 100 000'.", "Hon sa: ”Tala inte med mig om hasardspel online. Jag har förlorat 100 000 euro.”"
"Many of our fresh and pioneering ideas were voted out by other political groups.", "Många av de nya och banbrytande idéerna röstades ned av andra politiska grupper."
"In the chill winds of recession, investors have sheltered under the euro's wing.", "I lågkonjunkturens kalla vindar har investerarna sökt skydd under eurons vingar."
"My colleagues have nominated me as permanent rapporteur for humanitarian action.", "Mina kolleger har utnämnt mig till ständig föredragande för humanitära åtgärder."
"We have not been informed by the Council that COREPER has accepted this package.", "Vi har inte fått information av rådet om att Coreper har accepterat detta paket."
"10 million people live in Hungary and 9.5 million of them use mobile telephones.", "Det bor 10 miljoner människor i Ungern och 9,5 miljoner använder mobiltelefoner."
"It means simplifying the technical measures, and it means embracing flexibility.", "Det innebär att vi måste förenkla de tekniska åtgärderna och skapa flexibilitet."
"Development of international transit rail networks is understandably a priority.", "Utvecklingen av internationella transitjärnvägar är förståeligt nog prioriterad."
". I represent Scotland, on the north-west frontier of our European continent.", ". – Jag företräder Skottland, vid vår europeiska kontinents nordvästra gräns."
"Fishing in that part of the world relies totally on partnerships and agreements.", "Fisket i denna del av världen är fullständigt beroende av partnerskap och avtal."
"The EU must address the fight against impunity in all its relations with Mexico.", "EU måste ta upp frågan om kampen mot straffrihet i alla förbindelser med Mexiko."
"We must look beyond national considerations and towards European considerations.", "Vi måste se längre än till nationella hänsyn och i stället ta europeiska hänsyn."
"This decision would also lead to unfair competition between transport companies.", "Detta beslut skulle även leda till illojal konkurrens mellan transportföretagen."
"Cooperation between the European Ombudsman and EU institutions must be improved.", "Samarbetet mellan Europeiska ombudsmannen och EU-institutionerna bör förbättras."
"It was a fucking cockroach in mine size Iike this", "Jag fick en stor kackerlacka i min."
"You're twitching like a cockroach, baby!", "Du rycker som en kackerlacka, älskling!"
"A Cockroach!", "En kackerlacka!"
"Cockroach!", "Kackerlacka!"
"I think Yemen is going to be in a very bad situation in the next two or three years.", "Jag tror Jemen kommer vara i en mycket dålig situation under de kommande två till tre åren."
"You referred to the bad situation of the economy at the present moment.", "Ni refererade till den dåliga ekonomiska situationen för närvarande."
"A bad situation is now a desperate situation, with properties actually being sold as we speak.", "En dålig situation har nu blivit en desperat situation där egendomar faktiskt säljs just nu."
"Our colleague's report on that matter addresses and makes the very best of a very bad situation.", "Våra kollegers betänkande om denna fråga tar upp och gör det bästa av en mycket allvarlig situation."
"In Europe we are not in a bad situation as far as location is concerned.", "Rent geografiskt är Europa inte i någon dålig sits."
"It is, of course, possible for us to contemplate or take steps that would make a bad situation worse.", "Det är naturligtvis även möjligt för oss att överväga eller vidta steg som skulle göra en dålig situation ännu värre."
"The Americans are merely making a bad situation worse.", "Amerikanerna bara gör ont värre."
"Some of my colleagues think that we need to get out of this bad situation by imposing a central and supranational European authority.", "Vissa kolleger tror att vi måste ta oss ur denna situation ovanifrån, genom att framtvinga en central och överstatlig myndighet."
"Of course, we all have the ambition to take steps on behalf of the European Union that would make a bad situation in the Middle East better.", "Vi vill naturligtvis alla vidta åtgärder å Europeiska unionens vägnar som skulle göra en dålig situation i Mellanöstern bättre."
"A transfer of coalition troops or, indeed, a complete withdrawal is unrealistic and risks worsening an already bad situation.", "En förflyttning av koalitionstrupperna eller, till och med, ett fullständigt tillbakadragande är orealistiskt och riskerar att försämra en redan dålig situation."
"So, I appeal to the Verts/ALE and ELDR Groups to think again and withdraw their amendments which would only make a bad situation worse.", "Så jag vädjar till Verts/ALE- och ELDR-grupperna att tänka en gång till, och ta tillbaka sina ändringsförslag som endast skulle göra en dålig situation sämre."
"Somebody will pay dearly for the upset stomach, but, of course, there are some states and businesses that will profit from this extremely bad situation.", "Någon kommer att få betala dyrt för illamåendet, men naturligtvis kommer vissa stater och företag att vinna på den här extremt dåliga situationen."
"Whilst we should appreciate the circumstances as a result of which Syria has ended up in this bad situation at present, we should not resign ourselves to this.", "Även om vi bör förstå de omständigheter som har resulterat i att Syrien för närvarande har hamnat i denna dåliga situation, får vi inte finna oss i detta."
"But it also shows how we can turn what appears at first to be a bad situation, into something that was overall very good for America. ~~~ "Sputnik" will soon be released.", "Men den visar också hur vi kan vända vad som först verkar vara en dålig situation, till något som var ett övergripande gott för America, "Sputnik" kommer snart att släppas."
"We have seen a serious deterioration in an already bad situation in Belarus, and the regime is now, more and more, showing the classic characteristics of a political dictatorship.", "Vi har kunnat se en allvarlig försämring av en redan dålig situation i Vitryssland, och regimen uppvisar nu alltmer de klassiska egenskaperna hos en politisk diktatur."
"We have seen a serious deterioration in an already bad situation in Belarus, and the regime is now, more and more, showing the classic characteristics of a political dictatorship.", "Under tiden måste de drastiskt försämrade förbindelserna mellan Lukasjenkos Vitryssland och de tre EU-medlemsstaterna i öst – Polen, Litauen och Lettland – väga tungt på kommissionen."
"Should the European strategy be used as a battering ram against the social responsibility of the state?", "Bör EU-strategin användas som en murbräcka mot statens sociala ansvar?"
"That was clearly used as a political battering ram.", "Det användes uppenbarligen som en politisk murbräcka."
"Time and again many Eurosceptics have used fraud within the European Union institutions as a battering ram to beat us with.", "Gång på gång har många euroskeptiker använt bedrägerierna inom EU:s institutioner som ett slagträ i debatten."
"Time and again many Eurosceptics have used fraud within the European Union institutions as a battering ram to beat us with.", "Gång på gång har många euroskeptiker använt bedrägerierna inom EU: s institutioner som ett slagträ i debatten."
"As I have said, using a battering ram against the social security system would definitely be the worst thing that the European Union could do at this point.", "Jag upprepar att det definitivt värsta som EU kunde göra just nu vore att slå sönder det sociala trygghetssystemet."
"A battering ram?", "En krasch and grab?"
"The European Union is being used by imperialists and multinationals as a battering ram to break the people's resistance and make them give up their fight for a better tomorrow.", "Europeiska unionen utnyttjas som verktyg för imperialismen, för de multinationella företagen, för att bryta folkens motstånd och slå ner deras kamp för en bättre framtid."
"The European Union is being used by imperialists and multinationals as a battering ram to break the people' s resistance and make them give up their fight for a better tomorrow.", "Europeiska unionen utnyttjas som verktyg för imperialismen, för de multinationella företagen, för att bryta folkens motstånd och slå ner deras kamp för en bättre framtid."
"We must not allow the low social standards in some of the new Member States to be used as a battering ram to reverse the social achievements of more advanced Member States.", "Vi får inte låta den låga sociala standarden i vissa av de nya medlemsstaterna användas som ett slagträ för att bromsa de sociala förbättringar som nåtts i mer utvecklade medlemsstater."
"It is not the big hand of Europe extending control to local planning matters.", "Det är inte Europas stora hand som sträcker ut sin kontroll till lokala planeringsfrågor."
"He can't see cos he's blind, but he ain't deaf so let's have a big hand.", "Han kan inte se för han är blind, men han är inte döv så ge honom en applåd."
"But when the big hand points down the door will be gone.", "När stora visaren pekar nedåt...... kommer dörren att vara borta."
"Ladies and gentlemen, a big hand please for the Prime Minister of the Czech Republic.", "En stor applåd för Tjeckiens premiärminister."
"let's have a big hand for President Ashley Roach Clip!", "Ge en stor applåd för president Ashley Roach Clip!"
"Let's give him a big hand for that.", "Låt oss ge han en stor hand för det."
"Come on, big hand for them.", "Ge dem en varm applåd."
"A big hand.", "En stor applåd."
