//Sentences
"The report also highlights the repression of Christians and the Baha'i community.", "Betänkandet lyfter också fram förtrycket av kristna och Baha'i-samfundet."
"The presence of Saudi and other Gulf forces in Bahrain was requested in the framework of that agreement and was provided for by more than one GCC Member State.", "Närvaron av styrkor från Saudiarabien och andra stater i samarbetsrådet är ett krav i överenskommelsen, och det var mer än en GCC-stat som bidrog med styrkor."
"If extremist forces were able to take Bahrain they would destabilize not just the region, but effectively create great violence.", "Om det någon gång skulle lyckas för extremistiska krafter att ta över detta Bahrein, skulle detta inte bara störa det totala lugnet i regionen, utan verkligen föra med sig stora våldsamheter."
"I have to say that if we were successful in overthrowing the Government of Bahrain we would then really see what is meant by violence, oppression, repression and torture.", "Jag måste tyvärr säga er, att om vi nu lyckades störta regeringen i Bahrein, då skulle vi få se vad våld, förtryck, undertryckande och tortyr verkligen betyder."
"The countries of the Union should finally refrain from supplying weapons to Bahrain and this approach must also be urged with partners in order to have as great an effect as possible.", "Unionens länder borde till sist låta bli att leverera vapen till Bahrein och detta borde också pläderas hos våra partner för att få så stor effekt som möjligt."
"more_vert open_in_new Link to statmt.org warning Request revision We have seen further arrests in the last 24 hours of people who have worked with her and indeed other members of the Bahá'í faith.", "Bahá'í faith."
"We all recall the consequences of the Baia Mare and Baia Borsa disasters.", "Vi kommer alla ihåg konsekvenserna av katastroferna i Baia Mare och Baia Borsa."
"The Baia Mare Task Force' s final report reaffirmed the need for these measures.", "I slutrapporten från arbetsgruppen för Baia Mare bekräftades nödvändigheten av dessa åtgärder."
"The Baia Mare Task Force's final report reaffirmed the need for these measures.", "I slutrapporten från arbetsgruppen för Baia Mare bekräftades nödvändigheten av dessa åtgärder."
"My colleagues, Mr Áder and Mr Seeber, also referred to the cyanide disaster at the mine in Baia Mare.", "Mina kolleger János Áder och Richard Seeber nämnde också cyanidkatastrofen vid gruvan i Baia Mare."
"According to the assessments by Green Peace, this accident is much more serious than the one which occurred in Baia Mare in 2000.", "Enligt Greenpeaces bedömningar är denna olycka mycket allvarligare än den som inträffade i Baia Mare 2000."
"I know Baia Mare very well and know that it is not in the former Czechoslovakia, but in the north of Transylvania.", "Jag känner mycket väl till Baia Mare, och vet att det inte ligger i före detta Tjeckoslovakien utan i norra Transsylvanien."
"Mr President, I agree that tailings dams such as the one that caused the accident in Baia Mare in 2000 should not be created.", "(EN) Herr talman! Jag håller med om att dammar för bearbetningsavfall som den som orsakade olyckan i Baia Mare 2000 inte borde byggas."
"Managing it does of course involve risks; we are all familiar with the accidents in such places as Baia Mare and Aberfan, among others.", "Jag finner det beklagligt att det inte går att vinna en majoritet till stöd för det ändringsförslag som jag lagt fram om denna fråga."
"But let me assure you that the Commission has drawn conclusions from the terrible accident that happened 10 years ago in Baia Mare.", "Men jag vill försäkra er om att kommissionen har dragit slutsatser av den fruktansvärda olycka som inträffade för tio år sedan i Baia Mare."
"An Australian company has already been using this technique in Baia Mare for almost two years, causing an ecological disaster in the Danube.", "Ett australiskt företag har redan använt denna teknik i Baia Mare i närmare två år, vilket har lett till en miljökatastrof i Donau."
"Managing it does of course involve risks; we are all familiar with the accidents in such places as Baia Mare and Aberfan, among others.", "Hanteringen av detta avfall är naturligtvis förknippad med risker, vi känner alla till olyckorna på platser som Baia Mare och Aberfan, bland andra."
"The events of Baia Mare in Romania and Doñana in Spain demonstrate the need to take action with regard to mining safety and mining waste safety.", "Händelserna i Baia Mare i Rumänien och Doñana i Spanien visar på behovet av åtgärder för säker gruvdrift och säker hantering av gruvavfall."
"In addition, we would like a direct ban on the method used in Baia Mare in Romania, where cyanide was used in open dams for metal extraction.", "Vi vill dessutom ha ett direkt förbud mot den metod som användes i Rumänien, i Baia Mare, där man använde cyanid i öppna dammar i metallutvinningen."
"Areas such as Baia Mare, Aznalcollar and, above all, Toulouse and Enschede, have become synonymous with environmental human tragedies, to which we have to respond clearly.", "Som ni känner till nådde rådet en gemensam ståndpunkt som införlivade det väsentliga i flera av parlamentets angelägenheter."
"I see this as a clear illustration of the current questions in Baia Mare and of the investigation which is under way there concerning who is really liable.", "Jag ser detta klart som en illustration av de aktuella frågorna i Baia Mare och av den utredning som pågår där om vem som verkligen är ansvarig."
"Mr President, five years ago there was an appalling incident of cyanide pollution on the River Tisza caused by a gold mine in Baia Mare, Romania.", "– Herr talman! För fem år sedan inträffade en förfärlig olycka med cyanidförgiftning vid floden Tisza som orsakades av en guldgruva i Baia Mare i Rumänien."
"Mr Sjöstedt did an excellent job: as well as writing a good report, he went to Baia Mare, Romania, where he visited the site of the pollution.", "Jonas Sjöstedt har gjort ett utmärkt arbete. Han har inte bara skrivit ett bra betänkande utan också åkt till Baia Mare i Rumänien, där han besökte platsen för föroreningen."
"Areas such as Baia Mare, Aznalcollar and, above all, Toulouse and Enschede, have become synonymous with environmental human tragedies, to which we have to respond clearly.", "Områden som Baia Mare, Aznalcollar och framför allt Toulouse och Enschede har blivit synonyma med mänskliga miljötragedier, som vi måste reagera tydligt på."
"The accidents that occurred at Baia Mare in Romania and Aznalcóllar in Spain have led the Commission to bring mining operations and landfill sites within the scope of the directive too.", "Olyckorna i Baia Mare i Rumänien och Aznalcollár i Spanien har fått kommissionen att inom direktivets ram även ta med gruv- och avfallshantering."
"Mr President, some five years ago the cyanide pollution of the River Tisza caused by a gold mine in Baia Mare, Romania, showed us Hungarians how dangerous mining waste can be.", "För fem år sedan visade cyanidföroreningen av floden Tisza, som orsakades av en guldgruva i Baia Mare i Rumänien, oss ungrare hur farligt gruvavfall kan vara."
