//Sentences
"Back to square one, and disrespect for national languages remained.", "Tillbaka till ruta ett, och den bristande respekten för nationella språk kvarstod."
"Firstly, I would like to talk about modulation, which was mentioned by Mr Goepel, and by Mr Baco, Mr Sanzarello and Mrs Lulling a moment ago.", "För det första vill jag tala om modulering, vilket Lutz Goepel, Peter Baco, Sebastiano Sanzarello och Astrid Lulling tog upp för en stund sedan."
"Bad health leads to higher pregnancy rates and condemns families to poverty.", "Dålig hälsa leder till hög fertilitet och till att familjerna lever i fattigdom."
"An obsession with being thin is as bad for health as compulsive eating.", "En fixering vid att vara smal är lika skadligt för hälsan som att tröstäta."
"And although everyone is aware that it is bad for your health, they still use it nonetheless.", "Fastän alla borde veta att det är dåligt för hälsan så används det fortfarande."
"And that is not a bad feeling, particularly where health is involved.", "Och det är ingen dålig känsla, särskilt inte när det gäller hälsa."
"The workload has a bad effect on women's health, family, legal working time or training.", "Arbetsbördan har en negativ effekt på kvinnors hälsa, familj, lagstadgad arbetstid och utbildning."
"We cannot leave the market free and subsequently blame the victims of smoking for their bad health.", "Vi kan inte öppna marknaden och sedan ge rökarna själva skulden för deras dåliga hälsa."
"We cannot leave the market free and subsequently blame the victims of smoking for their bad health.", "Det handlar här inte om en enskild fråga utan om allas vårt ansvar."
"Mexico, Australia, Germany, India, China, all have massive problems of obesity and bad health.", "Mexico, Australien, Tyskland, Indien, Kina, alla har de stora problem med övervikt och dålig hälsa."
"(DE) Madam President, ladies and gentlemen, of course we all know that smoking is bad for our health.", "(DE) Fru talman, mina damer och herrar! Givetvis vet vi alla att rökning är dåligt för vår hälsa."
"Some prisoners are in very bad health, according to their families, and do not have access to adequate medical care.", "Enligt familjerna är vissa fångar vid mycket dålig hälsa, och de får inte lämplig medicinsk vård."
"This is a serious issue and there is no way to escape the fact that passive smoking is bad for your health.", "Detta är en allvarlig fråga och det råder inga som helst tvivel om att passiv rökning är skadlig för hälsan."
"Drugs are bad for health and a poison to society.", "Droger är dåligt för hälsan och är en plåga i samhället."
"The statistics of bad health are clear, very clear.", "Statistiken över ohälsa är tydlig, väldigt tydlig."
"Everybody now knows that smoking is bad for your health.", "Alla vet att rökning är skadligt för hälsan."
"Mr President, smoking is bad for the health.", "Herr talman! Rökning är skadligt för hälsan."
"Smoking is bad for the health and all tobacco products are bad, but there are distinctions between the different products.", "Rökning är farligt för hälsan, alla tobaksprodukter är dåliga, men det finns skillnader i de olika produkterna."
"Tobacco is bad for public health.", "Tobak är dåligt för folkhälsan."
"Cigarettes are bad for your health.", "Cigaretter är ohälsosamma."
"Another Cuban prisoner is staging a hunger strike as a protest on behalf of 25 prisoners who are in very bad health and whose lives are threatened.", "En annan kubansk fånge hungerstrejkar som protest för 25 fångar som är i väldigt dåligt hälsotillstånd och vilkas liv är hotade."
"Mr President, I find it slightly bizarre to talk about the precautionary principle in relation to weapons, which are after all designed to be bad for your health.", "Herr talman! Jag finner det något underligt att tala om försiktighetsprincipen i samband med vapen, vilka trots allt är utvecklade för att vara skadliga för hälsan."
"Bad stuff?", "" Dåligt? ""
"No, Mr Badinter, the Eurosceptics have not had their final say yet!", "Nej, herr Badinter, euroskeptikerna har ännu inte fått sista ordet!"
"If I remember correctly from what I have read in the papers, Mr Badinter said no to a state of two separate ethnic groups.", "Om jag minns rätt av uppgifter från pressen sade Badinter nej till en stat med två åtskilda etniska grupper."
"Particular emphasis will be placed on constitutional matters, as a follow-up to Mr Badinter's recent visit to Macedonia.", "Betoningen kommer särskilt att ligga på konstitutionella frågor, i förlängningen av Badinters uppdrag på plats nyligen."
"Particular emphasis will be placed on constitutional matters, as a follow-up to Mr Badinter' s recent visit to Macedonia.", "Betoningen kommer särskilt att ligga på konstitutionella frågor, i förlängningen av Badinters uppdrag på plats nyligen."
"We have heard you quoting Mr Badinter.", "Vi hörde att ni åberopade Badinter."
"I share the opinion of the French philosopher Elisabeth Badinter that the state must not be allowed to reduce people to their sex.", "Jag håller med den franska filosofen Elisabeth Badinter om att staten inte får tillåtas reducera människor till deras kön."
"What are Mr Badinter' s views?", "Vad anser Badinter?"
"What are Mr Badinter's views?", "Vad anser Badinter?"
"Then, as Robert Badinter has underlined, the debate has moved forward enormously.", "Liksom Robert Badinter framhöll tror jag att debatten har framskridit oerhört mycket: 100 länder har redan avskaffat dödsstraffet."
"I support what Robert Badinter said in an interview in the newspaper l'Humanité , that we have enough speeches on Sunday, and then realpolitik on Monday.", "Jag håller med om det Robert Badinter sade i en intervju i tidningen l'Humanité: " söndagens tal och måndagens realpolitik, nu får det vara nog!""
"I support what Robert Badinter said in an interview in the newspaper l'Humanité, that we have enough speeches on Sunday, and then realpolitik on Monday.", "Jag håller med om det Robert Badinter sade i en intervju i tidningen l ' Humanité: " söndagens tal och måndagens realpolitik, nu får det vara nog! ""
"The famous writer Albert Camus spoke out against it in his time, and Robert Badinter, a former French Justice Minister, led a legal battle at European level for many years.", "Den berömda författaren Albert Camus protesterade mot det på sin tid, och Robert Badinter, en tidigare justitieminister i Frankrike, förde under många år en rättslig strid på EU-nivå."
"more_vert open_in_new Link to European Parliament warning Request revision It is possible that some personnel will be transferred from Amman to Baghdad.", "expand_more Det är möjligt att en del av personalen kommer att överföras från Amman till Bagdad."
"In that connection, they called for the opening of a Commission office in Baghdad.", "För EU: s räkning har jag dessutom uttryckt vår oro över tankarna på att återinföra dödsstraffet i Irak."
"What does this urgent appeal from Baghdad mean in practical terms?", "Han har fel när det gäller mitt sätt att rösta, men han har rätt i fråga om många andra saker."
"Guantánamo and the Baghdad detainees have been mentioned today.", "Ni har inte sagt hur vi skall komma ur denna tragiska onda cirkel."
"Mr President, 240 million people live in an archipelago that would stretch from London to Baghdad.", "Herr talman! 240 miljoner människor lever i en ögrupp som är lika lång som sträckan mellan London och Baghdad."
"That was again brought home to me in a telephone call I received from Baghdad on Monday evening.", "Faktum är att det i själva regionen inte finns något kvar av det stort utbasunerade initiativet om ett nytt Mellanöstern."
"Only in this way can Baghdad win respect and build trust, not only internally, but also in relations with the EU.", "Det här är enda sättet för Irak att vinna respekt och bygga upp förtroende, inte bara inom landet utan också i sina förbindelser med EU."
"Firstly, we must exert firm pressure on Baghdad’s neighbours so as not to fan the flames of terrorism across the border.", "För det första måste vi utöva bestämda påtryckningar på Bagdads grannar, så att terrorismens lågor inte flammar upp på andra sidan gränsen."
"Firstly, we must exert firm pressure on Baghdad’ s neighbours so as not to fan the flames of terrorism across the border.", "För det första måste vi utöva bestämda påtryckningar på Bagdads grannar, så att terrorismens lågor inte flammar upp på andra sidan gränsen."
"(FR) Mr President, Commissioner, on 5 April, the Christian orthodox priest Youssef Adel was assassinated by unknown assailants in the centre of Baghdad.", "(FR) Herr talman, fru kommissionsledamot! Den 5 april mördades den kristenortodoxa prästen Youssef Adel av okända gärningsmän i Bagdads centrum."
"Regime change is the only way to ensure a disarmed and peaceful Iraq and prevent ongoing brutalisation of its people by the Butcher of Baghdad.", "Ett regimskifte är det enda sättet för att garantera ett avväpnat och fredligt Irak och för att förhindra att Bagdads slaktare fortsätter att behandla det irakiska folket på ett brutalt sätt."
"Third, I would like to associate myself with Mr Roche's remarks as he paid homage to Mr Vieira de Mello, the former High Commissioner for Human Rights, who was tragically killed in Baghdad.", "Därför är vi beredda att stödja det irländska ordförandeskapets ansträngningar för att undvika att göra ett sådant val till en källa till konflikt."
