//Sentences
"Scientists Helena Johnsson and Kajsa Simu are studying the quality of Swedish construction.", "Forskarna Helena Johnsson och Kajsa Simu studerar kvaliteten i svenskt byggande."
"The paper mill Billerud Karlsborg AB in Kalix have saved energy and managed to reduce emission from the mill because of new research from Luleå University of Technology.", "Pappersbruket Billerud Karlsborg AB i Kalix har genom Luleå tekniska universitets forskning kunnat spara energi och lyckats minska utsläppen från bruket."
"Kamal Labwani came to us a year ago to share here with us the outlook as regards the situation in Syria.", "Han berättade för oss att han skulle han gripas när han åkte tillbaka."
"Kamal Labwani came to us a year ago to share here with us the outlook as regards the situation in Syria.", "Kamal Labwani kom till oss för ett år sedan för att här dela med sig av utsikterna när det gäller situationen i Syrien."
"Today, we are calling for the release of Michel Kilo, Mahmoud Issa, Suleiman Achmar, Faek El Mir, Aref Dalila, Kamal al-Labwani and Anouar Bunni, who must be set at liberty.", "I dag uppmanar vi till frigivningen av Michel Kilo, Mahmoud Issa, Suleiman Achmar, Faek El Mir, Aref Dalila, Kamal al-Labwani och Anouar Bunni, som måste friges."
"Kamal Nath said: 'This is the last mile we could not run because of an issue of livelihood security.'", "Jag tror att orden från den indiske handelskommissionären Kamal Nath är värda att upprepas: ”Vi kan inte fullfölja detta eftersom vi måste trygga vår försörjning.”"
"Kamal Abwani, whose cause we were pleading then, is still in jail, although in March the UN investigation team reached the conclusion that it had been an arbitrary arrest.", "Kamal Abwani, vars fall vi talade för då, sitter fortfarande i fängelse, trots att FN:s undersökningsgrupp i mars kom fram till att det hade varit ett godtyckligt frihetsberövande."
"more_vert open_in_new Link to statmt.org warning Request revision The conference in Kampala needs to work on the definition of the term 'war of aggression'.", "expand_more Konferensen i Kampala behöver arbeta på definitionen av ”anfallskrig”."
"I also presume that many Members will be at the debates at the Kampala conference.", "Jag antar även att flera ledamöter kommer att närvara vid diskussionerna i Kampalakonferensen."
"There again, I count on Parliament also because I know that Members will be present and will be speaking up in Kampala.", "Återigen räknar jag med Europaparlamentet, eftersom jag vet att parlamentsledamöter kommer att närvara och uttala sig vid Kampalakonferensen."
"We also believe that the Kampala conference is the most important international conference devoted to international justice in a decade.", "Vi anser också att Kampalakonferensen är den viktigaste internationella konferensen om internationell rätt under det senaste årtiondet."
"Madam President, I have just returned from Helmand and Kandahar.", "(EN) Fru talman! Jag har precis återvänt från Helmand och Kandahar."
"He has been unwilling even to meet the representative of UNESCO, who travelled to Kandahar to see him.", "Han har visat sig ovillig att ens träffa ledamöter för Unesco, som rest till Kandahar för att träffa honom."
"Currently, there are medical projects in the Panjsher Valley, Herat, Kandahar, Kabul, Mazar-e-Sharif and Hazarajad.", "För tillfället finns det sjukvårdsprojekt i Panjsher-dalen, Herat, Kandahar, Kabul, Mazar-e-Sharif och Hazarajad."
"However, in Kandahar, leaflets were distributed with the message 'Stop sending your women to offices and daughters to school.", "Men i Kandahar delade man ut flygblad med budskapet: ”Sluta skicka era kvinnor till kontoret och era döttrar till skolan."
"However, in Kandahar, leaflets were distributed with the message 'Stop sending your women to offices and daughters to school.", "Men i Kandahar delade man ut flygblad med budskapet: ” Sluta skicka era kvinnor till kontoret och era döttrar till skolan."
"Have they been taken to Kandahar?", "Har de tagits till Kandahar?"
"Similar operations are now funded by ECHO in Mazar, Kandahar, Herat, Kabul and Faizabad, through UN Habitat and various NGOs.", "ECHO grundar nu liknande verksamheter i Mazar, Kandahar, Herat, Kabul och Faizabad, genom UNCHS (United Nations Centre for Human Settlements (Habitats)) och en mängd icke-statliga organisationer."
"The EU troika, consisting of its ambassadorial representatives based in Islamabad, recently visited Kandahar and Faizabad to explain the EU's common position on the Taleban side.", "EU-trojkan, vilken består av de ambassadföreträdare som är baserade i Islamabad, träffade nyligen Kandahar och Faizabad för att förklara Europeiska unionens gemensamma ståndpunkt för talibansidan."
"The jubilant popular demonstrations in Kabul, the rebellion now underway in Kandahar itself, the signs of the return of thousands of refugees suffice to show that these prophets of doom were misled.", "Demonstrationerna med jublande folkmassor i Kabul, den pågående revolten i själva Kandahar, de tusentals flyktingar som redan börjat återkomma räcker för att visa att Kassandra var dåligt informerad."
"In the north, journalists in Kano are threatened with Sharia law if they represent it in a negative way.", "I nord hotas journalister i Kano med sharia om de framställer den negativt."
"There was fighting between Muslims and Christians in Jos and disturbances in Kano where, moreover, there has been a cholera outbreak.", "Striden mellan muslimer och kristna i Jos och kravaller i Kano, där det dessutom utbrutit kolera."
"Girl # 22 Yuki Kano.", "Flicka Nr. 22, Yamaguchi."
"Mr President, those of us who were in Abuja and Kano last year for the ACP meeting welcomed President Obasanjo's move from military dictatorship to democracy.", "Herr talman! De av oss som var i Abuja och Kano förra året för AVS-mötet välkomnade president Obasanjos övergång från militär diktatur till demokrati."
"We were also in Kano, in the north, where a wonderful Islamic culture is flourishing and had the opportunity to compare this culture with that of other regions in the south.", "Vi besökte också Kano i norr, där en underbar islamsk kultur blomstrar, och fick möjlighet att jämföra den kulturen med kulturen i andra regioner i söder."
"So you can see, Delta 1252 going from Kansas City to Atlanta.", "Här kan ni se att jag reste med Delta 1252 från Kansas City till Atlanta."
"It was in a wheat field just south of Coffeyville, Kansas.", "Jag var i ett vetefält söder om Coffeyville, Kansas."
"That is the case that we have to examine: whether the measures in Kansas directly promote exports.", "Jag skulle vilja uppehålla mig vid den tredje anläggningen i Kansas."
"Myers, Kansas City, ' 76.", "Myers, föddes i Kansas City 1976."
"As regards the WTO, the Commission is evaluating the compatibility of the measures taken in Kansas with the WTO agreement on subsidies and countervailing measures.", "Två anläggningar ligger i Förenade kungariket och en i Förenta staterna."
"My name's Kansas.", "Jag heter Kansas."
