//Sentences
"The FSA in the United Kingdom has a rule book of half a million words.", "Brittiska FSA har en regelbok på en halv miljon ord. Ingen förstår den - minst av allt FSA."
"In this regard, the FSC recently set up a new sub-group, which is due to present a report on long-term supervisory issues by autumn 2007.", "I detta avseende inrättade kommittén nyligen en undergrupp med uppgift att lägga fram en rapport om långsiktiga tillsynsfrågor under hösten 2007."
"We would like the Commission to engage in cooperation, for example with the FSC (Forest Stewardship Council), with the aim of adopting an internationally recognized certification system.", "Vi skulle önska, att kommissionen skulle inleda ett samarbete med t.ex. FSC, Forest Stewardship Council, för att åstadkomma ett internationellt erkänt certifieringssystem."
"He will content himself, instead, with an FTA and a visa liberalisation regime.", "Han kommer i stället att nöja sig med ett frihandelsavtal och viseringslättnader."
"An FTA with an Asian country will anchor the presence of the EU in that region.", "Ett frihandelsavtal med ett asiatiskt land skulle förankra EU:s närvaro i denna region."
"An FTA with an Asian country will anchor the presence of the EU in that region.", "Ett frihandelsavtal med ett asiatiskt land skulle förankra EU: s närvaro i denna region."
"So I think that strong unconditional support for an FTA needs to be revised.", "Så jag anser att ett starkt ovillkorligt stöd till ett frihandelsavtal måste ses över."
"What is the position of the Council regarding the proposed ‘FTA-exclusion clause’?", "Hur ställer sig rådet till den uteslutningsklausul avseende frihandelsavtal som föreslås?"
"On the one hand, India says that this should not be a part of the EU-India FTA.", "Å ena sidan säger Indien att detta inte borde ingå i frihandelsområdet mellan EU och Indien."
"This free trade agreement (FTA) is the widest-ranging negotiated by the EU to date.", "Det här frihandelsavtalet (FTA) är det mest omfattande som hittills framförhandlats av EU."
"We are right to reject the idea of an FTA covering certain tariffs only.", "Vi gör rätt i att avvisa tanken på ett frihandelsavtal som bara täcker vissa tulltaxor."
"The partners define priorities for facilitating the establishment of the FTA:", "Parterna ska fastställa prioriteringar för att underlätta upprättandet av frihandelsområdet:"
"The economic benefits of the FTA are mostly in the EU's favour.", "Frihandelsavtalets ekonomiska fördelar kommer till största delen EU till godo."
"What safeguards does the FTA contain in relation to environmental and trade union rights?", "Vilket skydd finns i frihandelsavtalet när det gäller miljön och fackliga rättigheter?"
"Thus, maintaining it in the FTA does not accrue any new benefit.", "Inga nya fördelar uppstår alltså genom att den behålls i frihandelsavtalet."
"However, despite strong economic relations, the EU does not have a single FTA in Asia.", "Trots starka ekonomiska förbindelser har emellertid EU inget gemensamt frihandelsavtal i Asien."
"The report underlines that concluding the FTA remains a priority.", "I betänkandet understryks att ett frihandelsavtal är en prioriterad fråga."
"We know that the FTA will contribute to the deepening of relations between our regions.", "Vi vet att frihandelsavtalet kommer att bidra till fördjupade förbindelser mellan våra regioner."
"The EU has initialled the EU-FTA with South Korea which will have an impact on various industries.", "EU har ingått ett frihandelsavtal med Sydkorea som kommer att påverka olika näringar."
"Obviously, the FTA also opens the EU market to Korean products.", "Genom frihandelsavtalet öppnas naturligtvis också EU-marknaden för koreanska produkter."
"This will be an important subject in the future FTA negotiations with Ukraine.", "Detta kommer att bli ett viktigt ämne i de framtida förhandlingarna med Ukraina om ett frihandelsavtal."
"when it envisages that the two sides will sign the FTA;", "om när man räknar med att båda sidor kommer att underteckna frihandelsavtalet?"
"whether any Member States have concerns with the draft FTA", "om någon medlemsstat har invändningar mot utkastet till frihandelsavtalet?"
"more_vert open_in_new Link to Open Office warning Request revision Select this field if you wish to log in to the FTP address as an anonymous user.", "expand_more Markera den här rutan om du vill logga in på FTP-adressen som anonym användare."
"more_vert open_in_new Link to Open Office warning Request revision Markera den här rutan om du vill logga in på FTP-adressen som anonym användare.", "expand_more Select this field if you wish to log in to the FTP address as an anonymous user."
"FV (optional) is the future value, which is reached at the end of the last period.", "Slutvärde (valfritt) är det framtida värde som ska ha uppnåtts när alla betalningar är gjorda."
"FV (optional) is the future value, which is reached at the end of the periodic payments.", "Slutvärde (valfritt) är det framtida värde som ska ha uppnåtts när alla betalningar är gjorda."
"FV (optional) defines the future value remaining after the final installment has been made.", "Slutvärde (valfritt) är det framtida värdet som ska bli över när alla betalningar är gjorda."
"FV (optional) is the desired value (future value) at the end of the periods.", "Slutvärde (valfritt) är det slutliga värde (framtida värde) som ska ha uppnåtts när alla betalningar är gjorda."
"FV determines what is desired as the cash value of the deposit.", "Slutvärde är det värde som investeringen ska uppnå."
"FV (optional) is the desired (future) value.", "Slutvärde (valfritt) är det eftersträvade (framtida) värdet."
"FV is the current value in the sequence of payments.", "Nuvärde är det nuvarande värdet av varje betalning."
"FV (optional) is the desired value (future value) to be reached at the end of the periodic payments.", "Slutvärde (valfritt) är det slutliga värde (framtida värde) som ska uppnås när de periodiska betalningarna har avslutats."
"FV is the expected value.", "Slutvärde är det förväntade värdet."
"One of the unusual aspects of the FYROM issue is its disputes with its neighbours.", "En av de ovanliga aspekterna hos frågan om Fyrom är tvisterna med dess grannar."
"I therefore, think that all parties have learnt a useful lesson especially the FYROM.", "Jag anser därför att alla parter har lärt sig en nyttig läxa, särskilt FYROM."
"The Commission’s opinion notes the important progress achieved by FYROM.", "Kommissionen noterar i sin ståndpunkt de viktiga framsteg som gjorts i FYROM."
"It is important to point out that the main responsibility lies with FYROM's leaders.", "Det är viktigt att poängtera att huvudansvaret vilar på Fyroms ledning."
"It is important to point out that the main responsibility lies with FYROM' s leaders.", "Det är viktigt att poängtera att huvudansvaret vilar på Fyroms ledning."
"The Former Yugoslav Republic of Macedonia (FYROM) deserves an opportunity and a better future.", "F.d. jugoslaviska republiken Makedonien förtjänar en chans och en bättre framtid."
"In any case, the European Union, the UN and Parliament have recognised Macedonia as the FYROM.", "Hur som helst har Europeiska unionen, FN och parlamentet erkänt Makedonien som FYROM."
"2009 was a good year for the candidate country of the Former Yugoslav Republic of Macedonia (FYROM).", "År 2009 var ett bra år för kandidatlandet f.d. jugoslaviska republiken Makedonien."
"We want to help FYROM progress along the road of stability towards the European Union.", "Vi vill hjälpa landet att utvecklas längs en stabil väg mot EU."
"The FYROM army launched a counter-offensive against the occupied villages which ended on 1 April.", "Fyroms armé inledde en motoffensiv mot de ockuperade byarna som slutfördes den 1 april."
"It is still possible to avoid all-out civil war in FYROM.", "Det finns fortfarande möjlighet att undvika ett fullskaligt inbördeskrig i Fyrom."
"Madam President, with his report, Mr Lagendijk has presented a request for assistance for FYROM.", "Fru talman! Lagendijks betänkande handlar om begäran om stöd till FYROM."
"We worked extremely hard to try to get FYROM back on the rails.", "Vi arbetade oerhört hårt för att få ordning på f.d. jugoslaviska republiken Makedonien."
"What indeed will we do about the demand to break up Macedonia (or should that still be FYROM)?", "Hur ska vi hantera kravet att dela upp Makedonien (eller ska det fortsätta att vara Fyrom)?"
"Less than five years ago, the stability of FYROM was threatened by an internal conflict.", "FYROM hotades av en intern konflikt för mindre än fem år sedan."
"The people of the FYROM do not deserve to be ostracised in any way.", "Folket i f.d. jugoslaviska republiken Makedonien förtjänar inte att uteslutas på något sätt."
"The FYROM is a candidate for EU accession and Albania is a potential candidate.", "F.d. jugoslaviska republiken Makedonien är ett kandidatland och Albanien är ett potentiellt kandidatland."
"Does Mr Patten perhaps know why the FYROM government was forced to close the BBC office in Skopje?", "Känner Patten månne till att FYROM:s regering tvingats att stänga BBC:s kontor i Skopje?"
"FYROM has, in fact, already concluded a bilateral free-trade agreement with the EU.", "F.d. jugoslaviska republiken Makedonien har dessutom redan ingått ett bilateralt frihandelsavtal med EU."
"On certain sides, the official name of the FYROM is not used correctly.", "Det officiella namnet FYROM (f.d. jugoslaviska republiken Makedonien) används inte alltid riktigt."
"I therefore support the suggestion of Mr Fabre-Aubrespy to send it back to committee.", "Jag stöder därför Fabre-Aubrespys förslag om att återförvisa det till utskottet."
"Now, Mr Fabre-Aubrespy is saying that he opposed this in the Conference of Presidents.", "Fabre-Aubrespy säger förvisso att han var närvarande vid ordförandekonferensen."
"Mr Fabre-Aubrespy, it has already been made clear that the word 'new' does not appear.", "Herr Fabre-Aubrespy, det preciserades tidigare att ordet "ny " inte finns med."
"Madam President, I should like to speak against this request by Mr FabreAubrespy.", "Fru ordförande! Jag vill uttala mig mot denna motion från Fabre-Aubrespy."
"Mr Fabre-Aubrespy, it has already been made clear that the word 'new ' does not appear.", "Herr Fabre-Aubrespy, det preciserades tidigare att ordet " ny " inte finns med."
"Mr Fabre-Aubrespy, indeed the niceties of the text have not escaped your keen eye.", "Herr Fabre-Aubrespy, textens utformning har sannerligen inte undkommit er skarpa blick."
"For this reason I cannot accept Mr Fabre-Aubrespy's second point either.", "Det är därför jag inte heller kan godta denna andra kommentar från Fabre-Aubrespy."
"According to Mr Fabre-Aubrespy, it is not the same as that voted for by the Committee.", "Enligt Fabre-Aubrespy är det inte samma text som röstats igenom i utskottet."
"I explained the significance of the vote quite clearly, Mr Fabre-Aubrespy.", "Herr Fabre-Aubrespy! Jag förklarade mycket tydligt vad omröstningen gällde."
"We are at the beginning of the debate, so you have the floor, Mr Fabre-Aubrespy.", "Vi har inlett debatten, herr Fabre-Aubrespy, och ni har alltså ordet."
"Does anyone wish to speak in favour of the motion by Mr Fabre-Aubrespy?", "Finns det någon kollega som önskar uttala sig i samma riktning som Fabre-Aubrespy?"
"However, I will pass on Mr Fabre-Aubrespy's comment to the President.", "Jag skall i alla fall vidarebefordra Fabre-Aubrespys påpekande till ordföranden."
"You have raised a point that we shall consider afterwards, Mr Fabre-Aubrespy.", "Herr Fabre-Aubrespy! Ni tar upp en punkt som vi skall diskutera senare."
"Before I close the debate, Mr Fabre-Aubrespy has asked to raise a point of order.", "Innan jag förklarar debatten avslutad har Fabre-Aubrespy begärt om ordet för en ordningsfråga."
"I am sorry, Mr Fabre-Aubrespy, but I do not agree with your interpretation.", "Herr Fabre-Aubrespy, ursäkta mig, men jag går inte med på er tolkning."
"That was clearly one of Mr Fabre-Aubrespy's less ingenuous interventions in this House.", "Det var helt klart en av Fabre-Aubrespys mindre genialiska kommentarer i den här kammaren."
"Mr Fabre-Aubrespy, I consider your amendment out of order for two reasons.", "Fabre-Aubrespy, jag ansåg ändringsförslaget otillåtet av två skäl."
"Madam President, I would like to reply briefly to the two points raised by Mr Fabre-Aubrespy.", "Fru ordförande! Jag skulle kort vilja svara på de två frågorna som Fabre-Aubrespy tog upp."
"What we have heard this afternoon from Mr Fabre-Aubrespy is correct.", "Det vi hört herr Fabre-Aubrespy säga under eftermiddagen är riktigt."
"Mr President, I should like to oppose Mr Fabre-Aubrespy's motion.", "Herr ordförande! Jag skulle vilja invända mot Fabre-Aubrespys förslag."
"Several times a week keep classmates in touch by phone and Facebook.", "Flera gånger varje vecka håller kurskamraterna kontakten via telefon och facebook."
"Go through Facebook to stop biodiversity loss and support this campaign.", "Stoppa förlusten av biologisk mångfald och stöd kampanjen via Facebook!"
"Now you actually know how they connect to each other by looking at their Facebook page.", "Nu kan du faktiskt ta reda på hur de kommunicerar genom att kolla in deras Facebook-sidor."
"In order to increase communication we have created a Facebook page for the LDP Centre.", "För att öka möjligheterna till kommunikation har vi skapat en Facebooksida för LDB-centrum."
"So be careful with that Facebook account -- your momma told you, be careful.", "Gör som mamma sa: var försiktig! ~~~ Teknologin har frigjort oss."
"You can find more information in our folder and please follow us on Facebook.", "Läs mer i vår folder och följ oss gärna på Facebook."
"So Facebook isn't the only place that's doing this kind of invisible, algorithmic editing of the Web.", "Och Facebook är inte ensam om att göra detta osynligt med algoritmer, att redigera webben."
"According to Facebook, this is a violation of the user agreement.", "Enligt Facebook bryter detta mot deras användaravtal."
"When I saw that, I went back and I wrote on Facebook.", "När jag såg det, gick jag tillbaka och skrev på Facebook."
"During the Hungarian electoral campaign, we largely won the elections through an uncontrolled Internet and Facebook.", "Under den ungerska valrörelsen vann vi i stort sett valet genom ett fritt Internet och Facebook."
"Facebook, as well as on-line services and platforms, are an important virtual passage to the rest of the world.", "Facebook, såväl som andra tjänster och plattformar på Internet, är en viktig kanal till resten av världen."
"She uses smart boards, she blogs, she Tweets, she does Facebook, she does all this sort of high-tech stuff.", "Hon använder smart boards, hon bloggar, hon Twittrar och använder Facebook, hon gör alla dessa high-tech saker."
"It was funny, I sent something out on Twitter and on Facebook that says, "How would you define vulnerability?", "En kul grej, jag skickade ut ett meddelande på Twitter och Facebook som frågade "Hur definierar du sårbarhet?""
"What will people be talking about on Saturday in blogs and on Facebook when they refer to the European Council's decisions?", "Vad kommer folk att skriva om Europeiska rådets beslut på lördag i sina bloggar och på Facebook?"
"Facebook page Library of Skelleftea with Kerstin", "Facebooksida biblioteket Skellefteå med Kerstin"
"When Facebook users tire of their activities on the social networking site they can ‘de-activate’ their profile.", "När facebookanvändare har tröttnat på att vara aktiva på denna sociala nätverksplats, kan de ”avaktivera” sin profil."
"The tax would, of course, also apply to other online providers of advertising (such as Yahoo, Microsoft and Facebook).", "Självklart skulle avgiften även gälla för andra som erbjuder Internetreklam (som Yahoo, Microsoft och Facebook)."
"Does the Commission believe that actions such as taking Facebook pages offline are consistent with European law?", "Anser kommissionen att dylika åtgärder (att stänga ner en Facebooksida) kan vara i enlighet med europeisk lagstiftning?"
"And so I was surprised when I noticed one day that the conservatives had disappeared from my Facebook feed.", "Så jag vart väldigt förvånad när jag en dag förstod att de konservativa hade försvunnit från min Facebook-nyhetsström (feed)."
"Civilization as we know it has ceased to exist -- no books, no electronic devices, no Facebook or Twitter.", "Den civilisation som vi känner till finns inte längre -- inga böcker, inga elektronikapparater, varken Facebook eller Twitter."
"Now you actually know how they connect to each other by looking at their Facebook page.", "Nu kan du faktiskt ta reda på hur de kommunicerar genom att kolla in deras Facebook-sidor."
"In order to increase communication we have created a Facebook page for the LDP Centre.", "För att öka möjligheterna till kommunikation har vi skapat en Facebooksida för LDB-centrum."
"Facebook page Library of Skelleftea with Kerstin", "Facebooksida biblioteket Skellefteå med Kerstin"
"Visit our Facebook page and ’Like’ us today", "Besök vår Facebooksida och ”Gilla” oss idag!"
"Facebook page for LTU business corporation", "Facebooksida för LTU:s näringslivsbolag"
"In autumn 2013 we will organize several exciting events and activities so stay tuned here and on our Facebook page!", "Under hösten 2013 kommer vi att arrangera flera spännande event och aktiviter så håll utkik både här och på vår Facebooksida!"
"Facebook page for LTU master programmes", "Facebooksida för LTU:s masterprogram"
"Facebook page for the DARE project", "Facebooksida för DARE projektet"
"In addition, the art centre in which this application was developed has been blacklisted by Facebook (its page has been taken offline by Facebook).", "Dessutom har det konstcentrum där man utvecklade detta program bannlysts av Facebook (deras Facebooksida har stängts ner)."
"LTU Career Facebook page", "LTU Karriärs facebooksida"
"Library Facebook page", "Bibliotekets facebooksida"
"And we also put a page on Facebook for the singers to upload their testimonials, what it was like for them, their experience singing it.", "Och vi lade också upp en sida på Facebook där sångarna kunde lägga upp sina vittnesmål om hur det varit för dem, hur de upplevt att sjunga det."
