//Sentences
"This policy is aimed at isolating Hamas and depriving it of its electoral victory.", "Politiken syftar till att isolera Hamas och beröva organisationen dess valseger."
"It is always more difficult to see the beam in our own eye than the splinter in someone else's eye.", "Det är alltid svårare att se bjälken i sitt eget öga än flisan i någon annans."
"‘You see the mote in your brother’s eye, but you do not see the beam in your own eye’.", "”Ni ser grandet i er broders öga men inte bjälken i ert eget”."
"You can see the mote in your brother's eye but not the beam in your own.", "Ni kan se grandet i er broders öga men inte bjälken i ert eget."
"I have transformed the laser beam into an ecological, recyclable version here, in green India.", "Jag har omvandlat laserpekaren till en ekologisk, återvinningsbar version här, i gröna Indien."
"And of course no one stands in front of a radar beam or rays from a microwave source.", "Och det finns naturligtvis ingen som frivilligt utsätter sig för radarstrålning eller mikrovågsstrålning."
"Having said that, I would first look for the beam in our own eye and put our own house in order.", "Jag skulle dock börja med att titta efter bjälken i vårt eget öga och städa upp på vår egen bakgård."
"It was accepted that the reduction in beam length resulted in a decrease in the efficiency of the vessel.", "Det godtogs att minskningen av bomlängden ledde till en reduktion av fartygets effektivitet."
"They reduced the length of the beam but they increased their activity.", "De minskade bomlängden, men de ökade verksamheten."
"I think that we should first look for the beam in our own eye.", "Jag tycker att vi först bör se bjälken i vårt eget öga."
"(Laughter) I have solidified the beam of the laser pointer.", "(Skratt) Jag har "solidifierat" laserpekarens stråle."
"Subject: MAGP IV: Beam trawler length", "Angående: Det fjärde fleråriga utvecklingsprogrammet; bomlängden på trålare"
"No credit was given in terms of capacity for the reduction in beam length in the Dutch fleet.", "Inget tillgodräknande medgav med avseende på kapaciteten för minskningen av bomlängden i den nederländska fiskeflottan."
"We all know the parable of the mote and the beam.", "Vi känner alla till liknelsen om grandet och bjälken."
"I can beam them to whichever school I want to.", "Jag kan sända dem till vilken skola i världen jag vill."
"Ion beam milling system for thinning of TEM samples.", ""
"On three, we're gonna break that beam.", "På tre ska vi knäcka den bjälken."
"Info, Dwarf, get ready to beam down!", "Info, Dwarf, beredda att strålas!"
"2.the permitted beam design;", "3.den maximala ljusstyrkan enligt lag?"
"You're back on the beam, pally.", "Du är tillbaka i strålkastarljuset."
"Ove Lagerquist, Professor of Structural and Construction Engineering at Luleå University of Technology, LTU, is this year´s recipient of the Silver Beam.", "Ove Lagerqvist, professor i stålbyggnad vid Luleå tekniska universitet, LTU, är årets mottagare av Silverbalken."
"., I paid my storage bill.", "12 september hade jag -- mellan 10 och halv 11 betalat räkningen för mitt lager."
"During this time of economic crisis, it is not demagogy that will pay the bill.", "Under denna tid av ekonomisk kris är det inte genom demagogi vi betalar räkningen."
"In future the mix of energy sources will have to appear on the bill every year.", "De olika energikällorna måste i framtiden specificeras på räkningen varje år."
"The House of Commons introduced a Fur Farming Prohibition Bill on 25 February 1999.", "Underhuset lade fram ett förslag om förbud mot pälsdjursavel den 25 februari 1999."
"Or should we always continue to leave our security in the hands of Mr Bill Clinton?", "Eller skall vi fortfarande och alltid överlämna vår säkerhet till William Clinton?"
"Industry does not want it, and the taxpayers are supposed to foot the bill.", "Industrin vill inte ha programmet och skattebetalarna förväntas betala räkningen."
"We cannot and must not present the bill for this to the poorest countries.", "Vi kan och får inte ta ut kostnaderna för detta av de allra fattigaste länderna."
"We need to recognize that the social security bill for the taxpayer is increasing.", "Vi måste inse att kostnaderna för skattebetalarna för den sociala tryggheten stiger."
"They enter addresses into this directory and then receive a bill for a thousand euro.", "De lägger in adresser i dessa kataloger och får sedan en faktura på tusen euro."
"The cost of the average food shopping bill increased by 1 293% last week.", "Kostnaden för en genomsnittlig inköpslista ökade med 1 293 procent förra veckan."
"Of course they will, and once again, it is the least well-off who will foot the bill.", "Förvisso, och även där är det de fattigaste som kommer att betala räkningen!"
"(Laughter) And Bill, if you're here, nobody thinks you're megalomaniacal.", "(Skratt) Och Bill, om du är här, ingen tycker att du har storhetsvansinnighet."
"I have the bill from the restaurant which I will give to administration.", "Jag har notan från restaurangen och kommer att lämna den till administrationen."
"However, the British Government has recently published a draft inquiries bill.", "Den brittiska regeringen har dock nyligen offentliggjort ett lagförslag om utredningar."
"Unless we are able to do that, we are going to have to pick up a huge bill.", "Om vi inte lyckas med det kommer vi att tvingas betala ett mycket högt pris."
"People want a European Bill of Rights just like in the federal United States.", "Människor vill ha en grundlag precis som i det federala Förenta staterna."
"I want to focus on one particular thing KIPP is doing that Bill didn't mention.", "Jag vill fokusera på en speciell sak som KIPP gör som Bill inte nämnde."
"Could the Commission indicate who ultimately foots the bill if the takeover fails?", "Kan kommissionen redogöra för vem som i slutändan betalar, om övertagandet misslyckas?"
"The citizens only discover the disadvantages later, and among them, the bill.", "Medborgarna upptäcker nackdelarna för sent, och bland dem finns fakturan."
"Unfortunately, we still only have a communication and a White Paper, not a bill.", "Ett mycket större bidrag skulle vara en gemenskapslag för miljöansvaret för farliga laster."
"So for example the first text: there's a doubling of this jar-shaped sign.", "Till exempel den första texten: här är en dubblering av det kannformade tecknet."
"Those, Mr President, are the different messages, the different-shaped bricks.", "Herr talman, detta är de olika budskapen, de olikformade brickorna i spelet."
"Those, Mr President, are the different messages, the different-shaped bricks.", "Herr talman, detta är de olika budskapen, de olikformade brickorna i spelet."
"We should not destroy this by a resolution perhaps shaped by emotions.", "Vi får inte förstöra detta genom en resolution som eventuellt baseras på känslor."
"Since that time, we have shaped Latvia's goals in the context of Europe's goals.", "Sedan dess har vi stakat ut Lettlands mål inom ramen för Europas mål."
"The history of Europe has been shaped by many positive instances of intercultural dialogue.", "Europas historia har formats av många positiva exempel på interkulturell dialog."
"On the left-hand panel, again, we have the S-shaped curve of adoption.", "På den vänstra skärmen, återigen, har vi den S-formade kurvan över acceptansen."
"We cannot accept a United States viewpoint, shaped by Turkey's importance in NATO.", "Vi kan inte acceptera en nordamerikansk syn som stödjer sig på Turkiets betydelse i NATO."
"That is why it is good that the European neighbourhood policy should be shaped accordingly.", "Därför vore det bra om den europeiska grannskapspolitiken utformades därefter."
"Europeans and Americans share common roots that have largely shaped our world.", "Européer och amerikaner har gemensamma rötter som i stor utsträckning har format vår värld."
"Having shaped our respective lifestyles, social policy will determine our future.", "Socialpolitiken formade våra respektive livsstilar, och den kommer att bestämma vår framtid."
"I am from an era that was shaped by the Vienna Congress at the end of the Napoleonic Wars.", "Jag härstammar från en tid som formats av Wienkongressen i slutet av Napoleonkrigen."
"We act because of who we are, and who we are is shaped by our actions.", "Vi agerar på grund av vilka vi är och vilka vi är visas av våra handlingar."
"For our group, however, the crucial thing is how the future will go on to be shaped.", "Men för vår grupp är det dock avgörande hur man fortsätter att metodiskt utforma framtiden."
"These sausage-shaped things are the chromosomes, and we'll focus on them.", "Dessa korvliknande föremål är kromosomerna, och vi ska fokusera på dem."
"The one is driven by commercial demand and the other shaped by the public interest.", "Den ena styrs av den kommersiella efterfrågan och den andra formas av det allmännas intresse."
"If the drawing elements are rotated or circle-shaped, the positions of the snap points appear.", "Vid roterade eller cirkelformade teckningselement visas stödpunkternas positioner."
"Different countries and different nationalities have been shaped by different experiences.", "Olika länder och olika nationaliteter har formats av olika upplevelser."
"In the same way, the new Member States’ perception of the European Union is being shaped today.", "På samma sätt formas i dag de nya medlemsstaternas uppfattning om Europeiska unionen."
"Alcohol policy must be a national matter and cannot therefore be shaped at EU level.", "Alkoholpolitiken måste vara nationell till sin karaktär och skall därför inte utformas på EU-nivå."
"more_vert open_in_new Link to TED warning Request revision Right now, we don't have the option to choose the virtuous t-shirt over the non-virtuous one.", "expand_more Just nu kan vi inte välja en god t-shirt framför en ond t-shirt."
"more_vert open_in_new Link to statmt.org warning Request revision I understand it entirely, but we have a different tradition in Denmark, so I was there with my T-shirt, calling for a referendum, and I think all of us should call for a referendum.", "t-tröja med krav på folkomröstning och jag tycker att vi alla bör kräva en folkomröstning."
"more_vert open_in_new Link to TED warning Request revision Just nu kan vi inte välja en god t-shirt framför en ond t-shirt.", "expand_more Right now, we don't have the option to choose the virtuous t-shirt over the non-virtuous one."
"On one occasion, she said she saw a man in a striped shirt in a restaurant.", "Vid ett tillfälle sa hon att hon såg en man med randig skjorta i en restaurang."
"How nice it is to have a warm home-spun shirt instead of a threadbare EU overcoat.", "Så skönt det är att ha en varm, hemvävd skjorta i stället för en trådsliten EU-överrock."
"I thought you had left, because you were in shirt-sleeves when you spoke!", "Jag trodde att ni inte var kvar längre, eftersom ni tidigare talade i bara skjortärmarna!"
"Madam President, the 'red-shirt' demonstrations have been suppressed with bloodshed.", "Fru talman! Rödskjortornas demonstrationer slogs ner i blod."
"Now you can see the regular employees by the ones that have the yellow tags on their shirt.", "Ni kan se att de riktiga anställda är de som har gula namnskyltar."
"'Transparent' is what your shirt may be, while 'perspiration' is what is sometimes seen under the arms.", "Det ena har man under armarna, det andra är det man skymtar under skjortan."
"'Transparent ' is what your shirt may be, while 'perspiration ' is what is sometimes seen under the arms.", "Det ena har man under armarna, det andra är det man skymtar under skjortan."
"One of my favourite examples is this shirt that I am wearing.", "Ett av mina favoritexempel är den här skjortan som jag har på mig."
"Mr President, I am standing here in my shirt-sleeves because it is so unbearably hot in the Chamber.", "Herr ordförande! Jag står här i bara skjortan, eftersom det är så otroligt varmt här i salen."
"Here is one example: this is a Manchester United football shirt, coveted by many youngsters.", "Här är ett exempel: detta är en fotbollströja från Manchester United, eftertraktad av många tonåringar."
"I am wearing a white shirt to express my solidarity with and protest against lies and violence.", "Jag har en vit skjorta på mig för att uttrycka min solidaritet och för att protestera mot lögner och våld."
"Little short fella, bright yellow shirt, unbelievable tie.", "En kort karl med vitgulrandig skjorta och en sanslös slips."
"And it talks about the back story of something like a t-shirt.", "Och den handlar om typ en t-shirts bakgrundshistoria."
"They should inspire us all to roll up our shirt sleeves.", "De borde inspirera oss alla att kavla upp skjortärmarna."
"Let's just pick one -- for example, the one in the green shirt.", "Låt oss välja en, till exempel han i grön tröja."
"I'm just gonna grab this shirt, if you don't mind.", "Jag ska bara ta på mig tröjan om du inte har något emot det."
"I got up, put on a shirt and the button came off.", "Jag gick upp, tog på mig en skjorta och en knapp lossnade."
"They're wearing either a yellow shirt or a black shirt.", "De hade på sig antingen gula eller svarta tröjor."
"So he injects the first guy, and then he's wiping the needle on his shirt, and he injects the next guy.", "Så han injicerar den första killen, och sen torkar han av nålen på sin skjorta, och så injicerar han nästa kille."
"Listen, i'm going to need your shirt... and your truck.", "Du, jag behöver din skjorta och din servicebil."
"Has the Commission contributed to the financing of any of the TABD's annual conferences?", "Har kommissionen varit med och finansierat någon av TABD: s årliga konferenser?"
"Has the Commission contributed to the financing of any of the TABD's annual conferences?", "Har kommissionen varit med och finansierat någon av TABD:s årliga konferenser?"
"Following the success of the Chicago conference, the TABD met again on 6 and 7 November in Rome.", "Till följd av framgången vid konferensen i Chicago träffades TABD igen den 6 och 7 november i Rom."
"Is it true that the Commission and the TABD maintain permanent contact and exchange information and proposals with each other?", "Stämmer det att kommissionen och TABD står i ständig kontakt och utbyter information och förslag med varandra?"
"I wonder whether the Commission is reporting back on this to TABD, that is to say upon how these demands are being met and, if so, whether such reporting back is in the public domain.", "Jag undrar om kommissionen redovisar detta tillbaka till TABD, dvs. hur dessa krav uppfylls, och i så fall om denna redovisning är offentlig."
"Secondly, I wonder if TABD representatives participated when political summits were held between the EU and the United States, that is to say, meetings at the highest political level.", "För det andra undrar jag om företrädare för TABD har deltagit när det har hållits politiska toppmöten mellan EU och USA, dvs. möten på högsta politiska nivå."
"That is all the more regrettable since our trade disputes could have been effectively prevented by the "early warning" system within the TABD and the Legislators Dialogue.", "Det är oerhört synd, inte minst eftersom handelsdispyterna på ett effektivt sätt kan förekommas med hjälp av "the early warning system" inom TABD och The Legislators Dialogue."
"The major companies in TABD are making a number of practical demands, or expressing their wishes, in connection with legislation they want to see within the EU.", "Min första fråga gäller följande: De stora företag som ingår i TABD ställer en rad konkreta krav på eller uttrycker önskemål om lagstiftning som de vill se inom EU."
"That is all the more regrettable since our trade disputes could have been effectively prevented by the " early warning " system within the TABD and the Legislators Dialogue.", "Det är oerhört synd, inte minst eftersom handelsdispyterna på ett effektivt sätt kan förekommas med hjälp av " the early warning system " inom TABD och The Legislators Dialogue."
"How can one make adjustments mid-course if there is an urgent reason to reduce the TAC?", "Hur kan man göra halvtidsjusteringar om det finns ett angeläget skäl att minska TAC?"
"Prior to this, Ray Mauritsson held leading positions at TAC (now Schneider Electric).", "Dessförinnan innehade Ray Mauritsson ledande befattningar på TAC (idag Schneider Electric)."
"This allowed me to propose a TAC of over 15 000 tonnes, which is in force now.", "Därför kunde jag föreslå en totalt tillåten fångstmängd på 15 000 ton, som gäller för närvarande."
"As expected, the European Community was severely criticised for overshooting the TAC in 2007.", "Som väntat kritiserades EU hårt för att den totala tillåtna fångstmängden överskreds 2007."
"The TAC is slightly higher than the level we were given in 2001.", "Denna andel är faktiskt märkbart större än vad vi meddelades under 2001."
"The Commission had proposed a TAC of only 11 000 tonnes for 2001.", "Kommissionen hade föreslagit TAC på endast 11 000 ton för 2001."
"The second amendment refers to the inclusion of live bait in the TAC.", "Det andra ändringsförslaget handlar om att inkludera levande agn i de totalt tillåtna fångstmängderna."
"When it is really bad then it would be a zero TAC.", "När det är riktigt illa bör den totala tillåtna fångstmängden vara noll."
"It must be remembered too that the TAC for hake was cut by 51% between 1999 and 2001.", "Det skall också sägas att den totala tillåtna fångstmängden för kummel sänktes med 51 procent mellan 1999 och 2001."
"They simply follow the gesticulations of their party tic-tac men.", "De följer bara varje rörelse som deras partiledare gör."
"It must be remembered too that the TAC for hake was cut by 51 % between 1999 and 2001.", "Det skall också sägas att den totala tillåtna fångstmängden för kummel sänktes med 51 procent mellan 1999 och 2001."
"Scientifically, it is totally wrong to split a TAC, and that is not just my personal opinion.", "Rent vetenskapligt är det helt fel att dela upp en totalt tillåten fångstmängd. Detta är inte bara min personliga uppfattning."
"We consider that the limits on TAC changes should be plus or minus 15 % to be in accordance with scientific advice.", "Jag accepterar dock att detta gränsvärde tillämpas från och med det första året av planens genomförande."
"), following a proposal by the Commission for a 15% reduction in TAC (ICES fishing zones VIIIc, IX and X);", "), som en följd av kommissionens förslag om 15 procents minskning av TAC (fiskezonerna ICES VIIIc, IX, X)."
"), following a proposal by the Commission for a 15% reduction in TAC (ICES fishing zones VIIIc, d, e, IX and X);", "), som en följd av kommissionens förslag om 15 procents minskning av TAC (fiskezonerna ICES VIIIc, d, e, IX, X)."
"3.the TAC finally adopted by the Council, and", "2.Kommissionens förslag till TAC."
"The stock is currently stable at a good level, which means the TAC for 2011 is almost unchanged.", "För närvarande befinner sig beståndet på en stabil och bra nivå, vilket innebär att den totalt tillåtna fångstmängden för 2011 är nästintill oförändrad."
"Mr President, without verifiable, up-to-date independent scientific advice it is impossible to establish a TAC regime.", "Herr talman! I avsaknad av ett bevisligt, aktuellt och oberoende, vetenskapligt yttrande är det omöjligt att inrätta ett system för TAC."
"I also accept that, as a general rule, variations in TAC should be limited to no more than 15 % for these stocks.", "Därför kan jag gå med på innehållet i ändringsförslagen 1, 2, 3, 4, 9, 10, 12 och 13, men bara i den mån det handlar om tunga i Biscayabukten."
"I also accept that, as a general rule, variations in TAC should be limited to no more than 15% for these stocks.", "Jag håller också med om att variationerna av totala tillåtna fångstmängder (TAC) rent generellt bör begränsas till max 15 procent för dessa bestånd."
"TACs and quotas only control what is landed, they do not control what is caught.", "TAC och kvoter kontrollerar endast vad som landar, inte vad som fångas."
"Management of fish stocks with TACs, quotas, FIFGs and MAGPs has failed.", "Förvaltningen av fiskbestånden med TAC, kvoter, FIUF och FUP har misslyckats."
"Stability for the industry can better be provided by limiting changes to TACs between years.", "Industrin kan bli mer stabil genom att förändringarna i TAC mellan åren begränsas."
"TACs will be proposed at levels concordant with scientific advice.", "TAC-kvoterna kommer att föreslås på nivåer som överensstämmer med vetenskapliga råd."
"There will need to be further cuts in TACs this Christmas.", "I jul måste det ske ytterligare nedskärningar av den totalt tillåtna fångstmängden."
"Our fishing fleets keep within the legally imposed TACs and quotas on fleet sizes.", "Våra fiskeflottor håller sig inom lagstadgade kvoter för tillåten totalfångst och kvoter för flottstorlek."
"TACs and quotas are the determining factor in managing fish stocks.", "Totalt tillåtna fångstmängder och kvoter utgör avgörande faktorer vid bevarandet av fiskbeståndet."
"I now pass on to other matters that have been mentioned, and I return to the TACs and quotas.", "Jag skall då fortsätta med de andra frågorna ni tog upp och återvänder till TAC och fiskekvoterna."
"We see it every year in the blatantly political outcome of the TACs.", "Detta syns varje år i de klart politiska resultaten av TAC."
"Out of 116 TACs, only 30 were changed from last year's levels.", "Av 116 TAC ändrades endast 30 jämfört med förra året."
"The TACs have been driven so low that massive discards are being produced.", "De totala tillåtna fångstmängderna har pressats till så låga nivåer att andelen fångst som kastas överbord ökat kraftigt."
"All these stocks are managed with TACs and quotas based on scientific reports from the ICES.", "Alla dessa bestånd förvaltas av ICES med hjälp av TAC (tillåten totalfångst) och kvoter på grundval av expertutlåtanden."
"- the guarantee that TACs can be adjusted upwards if that fish stock is deemed to have been restored.", "– Garantin att den tillåtna totalfångsten kan justeras uppåt om det aktuella fiskbeståndet bedöms ha återställts."
"As far as TACs and quotas are concerned, it is a bit like the curate's egg: it was good in parts.", "Vad tillåtna totalfångster och kvoter beträffar så är det litet av varken det ena eller det andra - det är delvis bra."
"In addition, the annual TACs were decided.", "Dessutom fastställdes de årliga tillåtna totalfångsterna."
"Last year, several TACs were set higher than ICES advised.", "Förra året sattes åtskilliga totalt tillåtna fångstmängder högre än Internationella rådet för havsforskning rekommenderade."
"It is a mandatory measure, which was introduced together with the TACs and quotas regulation at the December Council.", "Det är en obligatorisk åtgärd, som infördes tillsammans med TAC och kvotförordningen på rådets möte i december."
"The management policy based on TACs and quotas must leave room for effort-based management.", "Den förvaltningspolitik som grundas på totalt tillåtna fångstmängder och kvoter måste lämna utrymme för förvaltning baserad på ansträngningar."
"The other point agreed by the Fisheries Ministers was an increase in TACs over those initially proposed by the Commission.", "Den andra uppgörelsen mellan fiskeministrarna gällde en ökning av TAC jämfört med kommissionens första förslag."
"The opinions that we have received also state that TACs and quotas can be only a first step towards protecting deep-sea species.", "I de utlåtanden vi har sägs det också att TAC och kvoter bara kan vara ett första steg för att skydda djuphavsarterna."
