//Sentences
"Nec spe, nec metu or without hope or fear.", "Nec spe, nec metu, eller utan vare sig hopp eller fruktan."
"The African Union’s and NEPAD’s vision of good governance, democracy and respect for human rights deserves the European Union’s support.", "Afrikanska unionens och NEPAD:s vision av gott styre, demokrati och respekt för mänskliga rättigheter förtjänar EU:s stöd."
"This is the new Africa defined by the African Union and its socio-economic programme, the New Partnership for Africa's Development, NEPAD.", "I detta sammanhang bestrider vi därför David Harlands påstående att ” från Afrika kommer alltid något sorgligt välbekant ”."
"The African Union’ s and NEPAD’ s vision of good governance, democracy and respect for human rights deserves the European Union ’ s support.", "Afrikanska unionens och NEPAD: s vision av gott styre, demokrati och respekt för mänskliga rättigheter förtjänar EU: s stöd."
"With this in mind, initiatives such as NEPAD – ‘The New Partnership for Africa's Development’ – are of crucial importance and very worthwhile.", "Med detta i åtanke blir initiativ som NEPAD – det nya partnerskapet för Afrikas utveckling – avgörande och mycket värdefulla."
"How will the Commission support efforts to build the kind of coherence that will be necessary now between NEPAD and the AU's strategy?", "Nepad brister inte i friheter, må det vara fri rörlighet för kapital, fri rörlighet för varor eller frihet att tillhandahålla tjänster."
"With this in mind, initiatives such as NEPAD – ‘ The New Partnership for Africa's Development ’ – are of crucial importance and very worthwhile.", "Med detta i åtanke blir initiativ som NEPAD – det nya partnerskapet för Afrikas utveckling – avgörande och mycket värdefulla."
"After all, South Africa is specifically responsible for the good governance aspects of NEPAD.", "Vi kan göra mycket mer i EU för att stödja detta viktiga initiativ."
"For example, the agricultural and mining sectors to which NEPAD gives priority will be totally dependent on prices that are fixed by the countries of the North.", "Att skapa fred i krisregioner är ett nödvändigt villkor för att kunna förbättra levnadsvillkoren för stora delar av Afrika."
"This is the new Africa defined by the African Union and its socio-economic programme, the New Partnership for Africa's Development, NEPAD.", "Detta är det nya Afrika, som det definieras av Afrikanska unionen och dess socioekonomiska program Nytt partnerskap för Afrikas utveckling (Nepad)."
"Perhaps the result of this, as far as NEPAD is concerned, for instance in relation to our last debate, is the modest reference in NEPAD to any kind of social sector issue.", "Jag skulle för övrigt vilja uppmärksamma er på den gradvisa regionalisering för vilken Nepad fastställer bestämmelser."
"We, as members of the GUE/NGL Group, are highly critical of this communication.", "Vi som är medlemmar i GUE/NGL-gruppen är mycket kritiska till detta meddelande."
"I am referring in particular to the amendments by the GUE/NGL Group and the Greens.", "Då tänker jag särskilt på ändringsförslagen från GUE/NGL-gruppen och de gröna."
"There is no way that the GUE/NGL Group could possibly support this Directive.", "GUE/NGL-gruppen kan inte under några som helst omständigheter stödja detta direktiv."
"One by the PPE-DE Group and two by the GUE/NGL Group, none of which I support.", "Ett från PPE-DE-gruppen och två från GUE/NGL-gruppen, av vilka jag inte stöder något."
"(DE) I mistakenly voted against Amendment No 38, tabled by the GUE/NGL Group.", "Jag har av misstag röstat mot förslag 38 som lagts fram av GUE/NGL-gruppen."
"One by the PPE-DE Group and two by the GUE/ NGL Group, none of which I support.", "Ett från PPE-DE-gruppen och två från GUE / NGL-gruppen, av vilka jag inte stöder något."
"on behalf of the GUE/NGL Group. - (DE) My question is similar to that of Mr Schulz.", "för GUE/NGL-gruppen. - (DE) Min fråga liknar den som Martin Schulz ställde."
"on behalf of the GUE/NGL Group. - (CS) A globalised world implies global culture.", "för GUE/NGL-gruppen. - (CS) En globaliserad värld innebär global kultur."
"on behalf of the GUE/NGL Group. - (DE) Mr President, this debate was long overdue.", "för GUE/NGL-gruppen. - (DE) Herr talman! Denna debatt borde ha ägt rum för länge sedan."
"We in the GUE/NGL Group are in favour of abolishing all short-stay visas.", "Vi i GUE/NGL-gruppen stöder avskaffande av all visering för kortare vistelser."
"I hope there will be no further comments from the GUE/NGL Group on this subject.", "Jag hoppas att det inte kommer några fler kommentarer från GUE/NGL-gruppen i denna fråga."
"B5-0465/ 2000 by Morgantini, Sjöstedt, Brie and Manisco, on behalf of the GUE/ NGL Group", "B5-0465 / 2000 av Morgantini, Sjöstedt, Brie och Manisco för GUE / NGL-gruppen"
"B5-0466/ 2000 by Frahm, Morgantini and Manisco, on behalf of the GUE/ NGL Group;", "B5-0466 / 2000 av Frahm, Morgantini och Manisco för GUE / NGL-gruppen,"
"B5-0467/ 2000 by Krivine, Seppänen, Vinci and Cossutta, on behalf of the GUE/ NGL Group;", "B5-0467 / 2000 av Krivine, Seppänen, Vinci och Cossutta för GUE / NGL-gruppen,"
"Morgantini, on behalf of the GUE/NGL Group, to the Commission (B5-0205/2000);", "Morgantini, på GUE/NGL-gruppens vägnar, till kommissionen (B5-0205/2000),"
"I mistakenly voted against Amendment No 38, tabled by the GUE/ NGL Group.", "Jag har av misstag röstat mot förslag 38 som lagts fram av GUE / NGL-gruppen."
"on behalf of the GUE/NGL Group. - (NL) I too wish to offer my sincere thanks to Mr Bowis.", "för GUE/NGL-gruppen. - (NL) Även jag vill framföra ett stort tack till John Bowis."
"B5-0481/2002 by Mr Vinci, on behalf of the GUE/NGL Group, on human rights in Zimbabwe;", "B5-0481/2002 från Vinci för GUE/NGL-gruppen om de mänskliga rättigheterna i Zimbabwe,"
"All the amendments of the GUE/ NGL Group in this regard were rejected.", "Alla GUE / NGL-gruppens ändringsförslag som gick i denna riktning har förkastats."
"on behalf of the GUE/NGL Group. - (CS) I would like to welcome the new Commissioner.", "för GUE/NGL-gruppen. - (CS) Jag vill välkomna den nya kommissionsledamoten. Herr talman!"
"more_vert open_in_new Link to statmt.org warning Request revision It is being implemented by Soul City, a South-African NGO.", "expand_more Det håller på att genomföras av Soul City, en sydafrikansk icke-statlig organisation."
"The need for support and cooperation with the NGO community in these countries is evident.", "Behovet av stöd och samarbete med organisationerna i dessa länder är uppenbart."
"The WTO Conference also failed in matters of transparency and NGO participation.", "Även på punkten öppenhet och NGO-deltagande har Singapore-konferensen visat sig vara ett bakslag."
"Why do you not conduct a Europe-wide NGO consultation exercise?", "Varför håller ni inget samrådsmöte med icke-statliga organisationer på Europanivå?"
"The Commission supports NGO initiatives that promote the establishment of the ICC.", "Kommissionen stöder initiativ från icke statliga organisationer för att främja inrättandet av ICC."
"As you are aware, the Committee on Budgets has identified this NGO as a monopoly.", "Som ni känner till har budgetutskottet identifierat denna icke-statliga organisation som ett monopol."
"We take up the NGO’ s plea and call for the bombing to stop.", "Terrorism och krig är två sidor av samma mynt, och de ger varandra näring."
"The first states that an NGO must have operated in more than one EU country for at least two years.", "Jag har exempelvis själv betonat vikten av miljöinformationens kvalitet och jämförbarhet."
"Youth NGO activities are heavily reliant, of course, on grants.", "Icke-statliga ungdomsorganisationers verksamheter bygger naturligtvis till stor del på bidrag."
"They use local drivers, but the whole organisation is provided by that NGO.", "Man använder sig av lokala förare, men den nämnda icke-statliga organisationen ansvarar för hela projektet."
"This truly needs to be a tool of the citizen and not the NGO.", "Det här måste verkligen vara ett instrument för medborgarna, inte för enskilda organisationer."
"The First Step Forum, an NGO committed to religious freedom, will be visiting Turkey in the next few weeks.", "Jag hoppas att kommissionen kommer att lyssna på slutsatserna från delegationens besök."
"If you are interested, I can give you details of what every NGO is doing in the field.", "Om ni är intresserad kan jag ger er detaljer om vad alla icke-statliga organisationer nu uträttar på området."
"We take up the NGO’s plea and call for the bombing to stop.", "Vi lyssnar till frivilligorganisationernas vädjanden och kräver att bombningarna skall upphöra."
"Mr President, I am in direct contact with a Vietnamese NGO fighting the spread of HIV/AIDS.", "Jag står i direkt kontakt med en vietnamesisk frivilligorganisation som kämpar mot spridningen av hiv/aids."
"Since the volunteers are not remunerated, they are unable to support the activities of the NGO.", "Eftersom volontärerna inte är avlönade kan de inte stödja de icke-statliga organisationernas verksamhet."
"Experience shows that debate in the NGO arena easily spreads from one continent to another.", "Erfarenheten visar att debatten på medborgarorganisationsfältet lätt flyttas från en kontinent till en annan."
"The report has also been presented to the NGO members of the liaison group for older people.", "Rapporten har också överlämnats till regeringskonferensens medlemmar i samverkansgruppen för äldre människor."
"Mr President, I am in direct contact with a Vietnamese NGO fighting the spread of HIV/ AIDS.", "Jag står i direkt kontakt med en vietnamesisk frivilligorganisation som kämpar mot spridningen av hiv / aids."
"Further to the conclusions devoted to Iraq it seems rather to be cast as a humanitarian NGO.", "Med tanke på de slutsatser toppmötet ägnade Irak framstår unionen snarare som en humanitär hjälporganisation."
"Banning the NGO meeting from Cairo was a most unpleasant side effect.", "Kairos bannlysning av mötet mellan de icke-statliga organisationerna var en synnerligen tråkig följdföreteelse."
"The First Step Forum, an NGO committed to religious freedom, will be visiting Turkey in the next few weeks.", "Jag hoppas att kommissionen kommer att lyssna på slutsatserna från delegationens besök."
"At the same time, the NGO forum was held.", "Parallellt hölls de icke-statliga organisationernas forum."
"Firstly, there was the NGO forum.", "För det första med forumet för icke-statliga organisationer."
"The Indian untouchables, for example, made strong efforts to bring up their own plight in the NGO forum on racism.", "De kastlösa i Indien försökte till exempel starkt föra fram sin nöd vid medborgarorganisationernas forum om rasism."
"That is why the NGO forum organised prior to the Intergovernmental Conference was particularly important for the European Union.", "Därför var det forum för icke-statliga organisationer som arrangerades före regeringskonferensen av särskild betydelse för Europeiska unionen."
"In July, the future Swedish Presidency and the Commission will organise an NGO forum in Stockholm to deal specifically with violence against children.", "I juli kommer det kommande svenska ordförandeskapet och kommissionen att anordna ett forum för icke-statliga organisationer i Stockholm om våld mot barn."
"The document produced by the NGO forum was so bad that the Secretary-General, Mary Robinson, was unable to recommend it to the governments.", "Det dokument som utarbetades vid forumet för icke-statliga organisationer var så dåligt att generalsekreteraren, Mary Robinson, inte kunde rekommendera det till regeringarna."
"In the UK, NHS treatment is often delayed and very expensive compared with other EU countries.", "I Storbritannien brottas den offentliga vården ofta med förseningar och den är mycket dyrare än i andra EU-länder."
"These amendments were essential to the preservation of the NHS in Scotland and the UK as a whole.", "Dessa ändringsförslag var avgörande för att NHS i Skottland och Storbritannien som helhet skulle kunna bevaras."
"The burden on the NHS of uncontrolled use of cross-border healthcare could have been enormous.", "Ett obegränsat utnyttjande av gränsöverskridande sjukvård hade kunnat leda till en enorm belastning på det brittiska sjukvårdssystemet."
"National Health Service (NHS) Website", "National Health Service (NHS) Website"
"NHS hospitals need to have a significant amount of spare boiler capacity to cope with emergencies and in case there are technical failures.", "Sjukhusen måste ha en betydande överskottskapacitet i värmepannorna för att kunna klara av nödsituationer och situationer då tekniska fel uppstår."
"I see this practice as unfair as it allows patients to get priority treatment abroad, thereby 'jumping the queue' within the NHS system.", "Det tycker jag är orättvist eftersom det gör att patienter kan få företräde till vård utomlands och på så sätt gå förbi kön i det nationella systemet."
"Other vital public services, such as the NHS, emergency services, DSS, Post Office and railways, are not far behind.", "Andra viktiga offentliga tjänster, såsom NHS (National Health Service), räddningstjänster, DSS (Digital Satellite system), posttjänster och järnvägar ligger inte långt efter."
"He allegedly claims to have met David Cameron and persuaded the Department of Health to consider his proposal for an NHS voucher scheme.", "Han säger sig ha träffat David Cameron och lyckats få det brittiska hälsoministeriet att beakta hans ansökan om att omfattas av det statliga sjukförsäkringssystemet."
"This will open up the NHS to yet more commitment to provide treatment for EU citizens who have never paid a penny in tax in Britain.", "Det nya systemet kommer att innebära att NHS får ännu mer skyldigheter att tillhandahålla behandling till EU-medborgare som aldrig har betalat en penny i skatt till Storbritannien."
"However, the Tories have failed to back our proposal for a clear prior authorisation system, which is crucial to protect precious NHS resources and NHS services.", "Tories har dock inte ställt sig bakom vårt förslag om ett tydligt system för förhandstillstånd, som är avgörande om man vill värna om värdefulla NHS-resurser och NHS-tjänster."
"People paying their taxes expect to see their money invested in the NHS to pay for healthcare at home, not being diverted to other EU health systems.", "Människor som betalar sina skatter förväntar sig att deras pengar ska investeras i NHS för att betala för hälso- och sjukvård hemma, inte avledas till andra hälso- och sjukvårdssystem i EU."
"The situation in Greece is typical, where we see that the NHS is being consciously downgraded and stripped bare, while the private sector is being shamefully strengthened.", "Situationen i Grekland är betecknande. Där ser vi hur det nationella sjukvårdssystemet medvetet degraderas och utarmas, samtidigt som man på ett skandalöst sätt stöder den privata sektorn."
"The response to previous recommendations by the NII was to ignore them.", "Man svarade på tidigare rekommendationer från inspektoratet genom att strunta i dem."
"When Mrs Ahern spoke, she spoke of the NII giving a damning indictment of the plant.", "När Ahern talade, sade hon att kärkraftsinspektionen hade riktat förödande anklagelser mot anläggningen."
"The company has reacted to the requirement of the NII to produce a programme responding to the recommendations in the report.", "Företaget har reagerat på kärnkraftsinspektionens krav genom att lägga fram ett program som svarar mot rekommendationerna i rapporten."
"The NII report states that ‘there is a serious safety culture problem and a lack of awareness and/or care’.", "I NII:s rapport konstateras att ett allvarligt problem föreligger vad säkerhetskulturen beträffar samt att det råder brist på medvetande och/eller aktsamhet."
"The NII would like to see the minimisation of the amount of high-level liquid waste stored in order to reduce the potential hazard.", "Inspektoratet för kärnkraftsanläggningar vill ha en minskning av mängden förvarat högaktivt flytande avfall för att reducera de potentiella riskerna."
"The NII takes this view on the basis of the robustness of the fuel manufacturing process and the totality of the checks made on the key parameters.", "Kärnkraftsinspektionen intar denna uppfattning på grundval av bränsletillverkningsprocessens hållbarhet och fullständigheten i kontrollen av nyckelparametrar."
"Please check your NIS or YP configuration (if used) andthe USER and LOGNAME environment variables.", "Kontrollera NIS- eller YP-konfigurationen (om den finns) ochmiljövariablerna SER och LOGNAME."
"I also welcome extending the remit of the EIB to the Western NIS.", "Kommissionen lägger fram den ekonomiska delen i sitt meddelande."
"NIS and Mongolia: economic reform and recovery (TACIS)", "Ekonomiska reformer och återuppbyggnad i de nya oberoende staterna och Mongoliet (Tacis)"
"To Sasha, the judge from Nis, who died somewhere near Split after dreadful torture, as we heard later.", "Sasha, domaren från Nice, som dog någonstans i närheten av Split efter fasansfull tortyr, som vi fick veta senare."
"I also welcome extending the remit of the EIB to the Western NIS.", "Jag välkomnar också att Europeiska investeringsbankens (EIB) ansvarsområde utvidgas till de västra nya oberoende staterna."
"Their working group on NIS was set up in June 2002.", "Deras arbetsgrupp om NIS inrättades i juni 2002."
"It is already apparent that the election results have been accepted for the more important towns and cities such as Belgrade and Nis.", "Det verkar redan som om resultaten av valet accepterats i de viktigaste städerna som i Belgrad och i Nis."
"The cities of Nis and Pirot in Serbia are involved in trial projects, and they were the first to take delivery of the consignments of oil.", "I pilotprojektet ingår de serbiska städerna Nis och Pirot som är de första som tagit emot oljeleveranser."
"We were filled with hope to see Kazakhstan be the first country from the NIS region to deserve the honourable and responsible appointment of Presidency.", "När vi såg att Kazakstan blev det första landet i NIS-regionen som förtjänade det hedrande och ansvarsfulla ordförandeskapet ingav det oss hopp."
"I condemn these bombings, just as months ago I condemned the bombings of Novi Sad, Belgrade and Nis, which were described as "collateral damage" .", "Jag fördömer dessa bombningar, liksom jag flera månader tidigare fördömde bombningarna mot Novi Sad, Belgrad och Nis, vilka betecknades som "kollaterala skador"."
"I condemn these bombings, just as months ago I condemned the bombings of Novi Sad, Belgrade and Nis, which were described as " collateral damage ".", "Jag fördömer dessa bombningar, liksom jag flera månader tidigare fördömde bombningarna mot Novi Sad, Belgrad och Nis, vilka betecknades som " kollaterala skador "."
"The Mayor of Nis has just written a letter saying that Energy for Democracy was a model of the sort of political support we should be providing in his country.", "Borgmästaren i Nis har just skrivit ett brev i vilket det står att programmet "Energi för demokrati" var en modell för den typ av politiskt stöd vi borde tillhandahålla i hans land."
"Will the Commission, therefore, maintain its intention to admit NK 603 for use in the food industry?", "Står kommissionen således kvar vid sin avsikt att tillåta användningen av NK 603 i livsmedelsindustrin?"
"Any possible unfair competition from NK 302 will be with the traditional varieties of maize which have been cultivated in Europe and throughout the world.", "Konkurrensen, om det sker någon illojal konkurrens, kommer dessutom att råda mellan laboratoriesorter och naturliga sorter."
"Any possible unfair competition from NK 302 will be with the traditional varieties of maize which have been cultivated in Europe and throughout the world.", "All eventuell illojal konkurrens från NK 302 kommer att vara gentemot de traditionella sorterna av majs som har odlats i Europa och hela världen."
"French researchers have demonstrated that there are serious doubts in connection with the genetically modified organisms (GMOs) developed by Monsanto with the names NK603, MON810 and MON863.", "Franska forskare har konstaterat att det finns starka betänkligheter mot de genetiskt modifierade organismer med beteckningarna NK603, MON810 och MON863 som produceras av Monsanto."
