//Sentences
"A great way to start, I think, with my view of simplicity is to take a look at TED.", "Ett bra sätt att börja tror jag är, med min syn på enkelhet, att ta en titt på TED."
"Recent years have seen a growing awareness within Iran that this isolation was harmful to Iranian interests and leading nowhere.", "Under de senaste åren har medvetenheten ökat i Iran om att denna isolering är skadlig för iranska intressen och att den inte leder någonvart."
"There is a growing awareness in Europe of the dimensions of the threat from the very well-resourced, very well-targeted United States of America.", "Det finns en växande medvetenhet i Europa om vilka dimensioner hotet från det mycket välbärgade och mycket välinriktade USA har."
"It depends on a global surge in demand for natural resources and a growing awareness of the importance of sustainable resource use.", "Det beror på en globalt kraftigt ökad efterfrågan på naturresurser och en allt större medvetenhet om betydelse av en uthållig resursanvändning."
"This shows a growing awareness of the need for price stability throughout the whole European Union with a view to the introduction of monetary union.", "Det visar att det med tanke på valutaunionen redan nu utvecklar sig en kultur med penningvärdesstabilitet i hela Europeiska unionen."
"Unfortunately, despite being widely used, there is a growing awareness that the economic and social fabric in Europe has profoundly changed.", "Trots att den används allmänt finns en växande medvetenhet om att det ekonomiska systemet och samhällsstrukturen i Europa har förändrats i grunden."
"Finally, another basic question remains at this second reading, which arises as a result of the growing awareness in our Community of potential fraudulent activity.", "Slutligen finns en grundläggande fråga kvar, det vill säga det ökade intresset inom gemenskapen för ett eventuellt bedrägeriutskott."
"The fact that this institution has been in existence for 10 years serves as an excellent example of the growing awareness of citizens’ rights in our Community.", "Att denna institution har funnits i tio år är ett utmärkt exempel på att medvetenheten om medborgerliga rättigheter har ökat inom gemenskapen."
"There is a growing awareness in Scotland that discards are a direct result of EU regulation and, in particular, the cod recovery plan.", "I Skottland blir människor mer och mer medvetna om att fångst som kastas över bord är ett direkt resultat av EU:s regelverk, i synnerhet återhämtningsplanen för torsk."
"The fact that this institution has been in existence for 10 years serves as an excellent example of the growing awareness of citizens’ rights in our Community.", "Att denna institution har funnits i tio år är ett utmärkt exempel på att medvetenheten om medborgerliga rättigheter har ökat inom gemenskapen."
"There is, of course, frustration, but there is also a growing awareness in the Institutions and among the public and a desire to have these problems properly resolved.", "Det finns naturligtvis en känsla av frustration, men det finns också ett växande medvetande inom institutionerna och hos allmänheten, en önskan om att konkret lösa problemen."
"Even before a decision is made, this process is generating a lot of cultural activity and a growing awareness that culture is important and that there is a European dimension for it.", "Redan innan ett beslut fattas, ger processen upphov till en mängd kulturaktiviteter och en ökad insikt om att kultur är viktigt och att det finns en europeisk kulturdimension."
"In light of the attacks in America, there is growing awareness of the fact that the vast distribution of arms worldwide leads to unstable countries which form the breeding ground for terrorism.", "Mot bakgrund av attentaten i Amerika växer insikten om att den enorma spridningen av vapen i världen leder till instabila länder som utgör grogrunden för terrorism."
"In this particular case, we have in a way been a guinea pig.", "Just i det här fallet har vi på sätt och vis fått agera försökskanin."
"I just like to dive right in and become sort of a human guinea pig.", "Jag dyker rakt in i dem, som en slags försökskanin."
"And I was a guinea pig, as I hope to continue to be in every new form of prosthetic limbs that come out.", "Jag var försökskanin, och jag hoppas kunna fortsätta vara det för varje sorts ny protes som kommer ut."
"That is pure cynicism, for surely it means that we are using man and nature as a form of guinea-pig!", "Det är ren och skär cynism, det betyder ju att vi i princip betraktar människan och naturen som försöksobjekt!"
"I was the guinea pig., I'm telling you, this was, like -- talk about a tourist attraction.", "Jag var först i världen på dessa ben - jag var försökskanin - och jag säger bara, det var som, typ, snacka om en turistattraktion."
"Rise and shine, little guinea pig.", "Upp och hoppa, lilla försökskanin."
"I have to tell you, Mr President, that my daughter Elisabetta has a tiny pet, a guinea pig, therefore a rodent, called Schumi.", "Herr talman! Ni skall veta att min dotter Elisabetta har ett pyttelitet husdjur, ett marsvin, alltså en gnagare, som heter Schumi."
"We must avoid a situation in which the consumer acts as some sort of paying guinea pig when it comes to new products on the market.", "Vi måste undvika att konsumenterna fungerar som något slags betalande försökskaniner när det gäller nya produkter på marknaden."
"Like Mrs Roth-Behrendt, I love animals, and proof of this is the fact that I have two dogs, three cats and a guinea pig at home.", "Jag, i min egenskap av parlamentsledamot, älskar djur, vilket bevisas av att jag hemma har två hundar, tre katter och ett marsvin."
"Into a guinea pig.", "Till ett marsvin."
"Commissioner Rehn, the Greek experiment has been a failure and you have exterminated the guinea pig economically, socially and politically.", "Det grekiska experimentet är ett misslyckande, kommissionsledamot Rehn, och ni har tillintetgjort försökskaninen ekonomiskt, socialt och politiskt sett."
"A guinea pig?", "Ett marsvin?"
"Mr President, you who pay great attention to my explanations of vote know that I have a guinea pig at home, who is also affected by this regulation.", "Ni, herr talman, som är så uppmärksam när jag avger mina röstförklaringar, vet att jag har ett marsvin hemma, ett marsvin som också berörs av denna förordning."
"We will not be able to use European industry, which has been dealing with its own affairs well, as a guinea pig again unless the system is operated in a slip-shod fashion.", "Vi kommer inte att kunna använda den europeiska industrin, som har hanterat sin egen verksamhet bra, som försökskanin igen såvida inte systemet hanteras vårdslöst."
"(EL) Mr President, exactly a year ago, the leaders of the European Union and the Greek Prime Minister decided that Greece should play the part of economic and social guinea pig.", "(EL) Herr talman! För exakt ett år sedan beslutade Europeiska unionens ledare och Greklands premiärminister att Grekland skulle spela rollen som ekonomisk och social försökskanin."
"We shall do everything possible to ensure that the case has a happy ending.", "Vi ska göra allt som står i vår makt för att se till att saken får ett lyckligt slut."
"It was a long and rocky road which only had a happy ending in the conciliation procedure.", "Det var en lång, stenig väg, som kom till ett bra slut först genom förlikningsförfarandet."
"In this way we can hope for a happy ending, the sooner the better.", "Förhoppningsvis står vi inför ett lyckligt slut, ju tidigare desto bättre."
"But I am pleased to say that, as with all the best stories, this one has a happy ending.", "Men jag är glad att kunna säga att precis som de bästa historierna har denna ett lyckligt slut."
"Talking about strengthening the position of crime victims is like relating a story with a happy ending.", "Att tala om att stärka brottsoffrens ställning är som att berätta en liten solskenshistoria."
"It is with great satisfaction that I today welcome this 'happy ending' in this House, and I thank you for it.", "Det är med tillfredsställelse jag i dag här välkomnar denna happy end och jag tackar er."
"It is with great satisfaction that I today welcome this 'happy ending ' in this House, and I thank you for it.", "Det är med tillfredsställelse jag i dag här välkomnar denna happy end och jag tackar er."
"The whole episode stood out as a tale with a happy ending from both an economic and a social point of view.", "Det hela framstod som en ekonomisk och social solskenshistoria."
"Without your total dedication to this cause, it would not have come to this apparently happy ending.", "Utan ert fullständiga engagemang i denna fråga skulle vi inte ha kommit fram till detta till synes lyckliga slut."
"In actual fact, this is, in a way, a story with a happy ending because there is quite a lot of agreement as to the objectives.", "Detta är faktiskt på ett sätt en solskensfråga, eftersom det råder ganska stor enighet om målen."
"The last 50 years have been a success, and this story has had a happy ending with the reunification of the continent.", "De senaste 50 åren har varit en framgång, och denna historia fick ett lyckligt slut med kontinentens återförenande."
"You go find your happy ending, Stacy Holt.", "Gå och hitta ditt lyckliga slut, Stacy Holt."
"But this is not a happy ending.", "Vi är på väg att avsluta romanen om bananen, men det är inte en happy end , det är inte ett lyckligt slut."
"A happy ending for the hostages in these cases must not be greeted with delight as the ship owners and countries affected pay a high price for it.", "Vi ska i dessa fall inte ropa hurra om det slutar lyckligt för gisslan - redarna och de berörda länderna får betala ett alltför högt pris."
"(ES) I too, of course, am delighted about the happy ending to the Alakrana case, but I fear that unfortunately it may not be the last such case.", "(ES) Jag gläder mig naturligtvis också över det lyckliga slutet i fallet Alakrana, men jag fruktar att detta inte är det sista av dylika fall."
"A happy ending.", "Ett lyckligt slut."
"I am afraid we are discovering, through some worrying facts, that the political and economic populism of this wealthy republic does not have a happy ending.", "Tyvärr ser vi på grund av oroväckande händelser att den politisk-ekonomiska populismen i denna rika republik inte har ett lyckligt slut."
"Forgive me if I include in this happy ending the fact that my home port of Cuxhaven has been given a category A classification.", "Med denna happy end menar jag naturligtvis också det faktum - det får ni förlåta mig - att min hemmahamn Cuxhaven tagits upp i kategori A."
"Commissioner Bolkenstein thought we could look forward to a happy ending to the long journey towards sound legislation when it came to public procurement.", "Kommissionsledamot Bolkestein menade att vi kan emotse en happy ending på den långa resan mot en bra lagstiftning vad gäller offentlig upphandling."
"This is not a story with a happy ending, but we accept the compromise because the best is the enemy of the good.", "Sammantaget ser jag ingen anledning att ropa halleluja, inget "slutet gott, allting gott", men vi accepterar kompromissen eftersom den är bättre än ingenting."
"A headlong rush towards the dead end of global free trade!", "Att vi ska kasta oss med huvudet före in i återvändsgränden global frihandel!"
"We must fight this headlong rush.", "Vi måste bekämpa denna besinningslösa brådska."
"Here is a new stage in the European Union ’ s headlong rush forward: new Member States ’ membership of the single currency.", ". – Än en gång har vi en ny etapp i EU: s besinningslösa rusning framåt: nya medlemsstater ska införa den gemensamma valutan."
".Here is a new stage in the European Union’s headlong rush forward: new Member States’ membership of the single currency.", ". – Än en gång har vi en ny etapp i EU:s besinningslösa rusning framåt: nya medlemsstater ska införa den gemensamma valutan."
"These things can be dealt with separately; for that we do not need this Members’ Statute to be adopted so over-hastily and in such a headlong rush.", "Dessa saker kan behandlas för sig. Detta utgör ingen anledning att anta ledamotsstadgan så överilat och i blindo."
"Our relations with that great country merit an approach other than this headlong rush into double-speak, unworthy of us all.", "Våra relationer med detta stora land förtjänar ett annat sätt att gå tillväga, än att hasta fram med ett dubbelt språkbruk, som är ovärdig alla."
"At no time was the Commission willing to take into account the grave economic and social consequences of this headlong rush.", "Kommissionen var inte vid något tillfälle villig att ta hänsyn till de allvarliga ekonomiska och sociala konsekvenserna av detta brådstörtade agerande."
"The first, on procedure: I still do not understand the headlong rush of the Committee on Employment and Social Affairs in this matter.", "Den första gäller förfarandet: jag förstår fortfarande inte varför utskottet för socialfrågor och sysselsättning hade så obegripligt bråttom i den här frågan."
"These things can be dealt with separately; for that we do not need this Members’ Statute to be adopted so over-hastily and in such a headlong rush.", "Även detta är något vi inte på något sätt kan få allmänhetens förståelse för i en tid av åtstramningsåtgärder och nedskärningar i den sociala budgeten."
"A headlong rush into enlargement, under such conditions, would be liable to aggravate the sidelong shifts towards the populist and fascistic which are appearing here and there.", "Att förhasta utvidgningen innebär under dessa förhållanden en risk för ökade populistiska och fascistoida strömningar åt olika håll."
"Far too often the concerns and interests of our peoples are ignored in the headlong rush to advance the federalist agenda exemplified in the Lisbon Treaty.", "Alltför ofta förbises våra medborgares oro och intressen i den besinningslösa brådskan att driva fram en federalistisk agenda som har sitt exempel i Lissabonfördraget."
"The other dubious solution is the headlong rush to strengthen the eleven members of the euro zone, which is supposed to lead gradually to a single European economic government.", "En annan tvivelaktig lösning: genom förstärkningen av Euro 11 som stegvis borde leda till en ekonomisk regering i Europa, skjuter man problemen framför sig."
"Your ultra-liberal headlong rush is thus surely not the solution to social problems, precariousness or employment problems faced by tens of millions of European citizens.", "Er ultraliberala forcerade väg framåt är med all säkerhet inte lösningen på tiotals miljoner européers sociala problem och problem med sysselsättning och otrygga villkor."
"There is too much of that in our contemporary Europe and before I give my support to a headlong rush to mutual recognition, I would like to see common recognition of fair standards.", "Detta sker alltför ofta i dagens Europa, och innan jag ger mitt stöd till en oövertänkt ömsesidig rättslig hjälp i brottmål, skulle jag vilja se ett gemensamt erkännande av rättvisa normer."
"I myself come from a Member State that is not high-ranking in this respect.", "Jag kommer själv från en medlemsstat som inte hamnar högt på denna lista."
"Human rights enjoy a high-ranking importance in the European Union.", "De mänskliga rättigheterna har en mycket stor betydelse i Europeiska unionen."
"I myself come from a Member State that is not high-ranking in this respect.", "Låt oss vara specifika och pragmatiska – det är det som de människor vi försöker hjälpa förväntar sig."
"We also received notification that a high-ranking Burmese delegation is in Brussels.", "Även vi har fått meddelandet om att högt uppsatta officiella företrädare för Burma befinner sig i Bryssel."
"The majority of those who died held high-ranking positions within the state.", "Flertalet av dem som dog hade höga tjänster i staten."
"This assessment does not come from me, but from very high-ranking diplomats and scientists.", "Nämnda citat kommer inte från mig, utan från högt uppsatta och meriterade diplomater och vetenskapsmän."
"A high-ranking health official in Canada, however, has been quick to deny the possibility of infection.", "Kanadas högsta hälsovårdsmyndighet har dock skyndat sig att förneka möjligheten att smittas."
"It is carried out in the course of discussions with high-ranking officials from the countries concerned.", "Det sker under samtal med höga tjänstemän från de berörda länderna."
"A statement was issued on Euronews on 24 October from a high-ranking representative of ETA and Batasuna.", "Ett uttalande av en högt uppsatt företrädare för ETA och Batasuna sändes i Euronews den 24 oktober."
"Few high-ranking female academics have spouses and children, while their male counterparts, more often than not, do.", "Få högt uppsatta kvinnliga akademiker har man och barn, medan deras manliga motsvarigheter däremot ofta har det."
"One of the high-ranking guests present, an Italian deputy prime minister, said that these celebrations left the people out.", "En av de mest prominenta gästerna, Italiens vice premiärminister, sa att folket utestängdes från firandet."
"This is clearly symbolised by the fact that the Grand Mufti is accompanied on today's visit by high-ranking religious leaders.", "Detta symboliseras tydligt av att stormuftin vid besöket i dag ledsagas av högt uppsatta religiösa ledare."
"In the last two weeks, two former high ranking officials in Ireland's biggest bank have been arrested in dawn raids.", "Under de senaste två veckorna har två före detta högt uppsatta tjänstemän på Irlands största bank anhållits i gryningsräder."
"Many are still slow to act when it comes to arresting high-ranking people for whom an arrest warrant has been issued.", "Många agerar fortfarande långsamt när det gäller att gripa högt uppsatta personer för vilka ett häktningsbeslut har utfärdats."
"A very high-ranking family live there.", "Det bor en välbärgad familj där."
"We had to agree on high-ranking positions - on the President of the European Council, and to nominate the High Representative.", "Vi måste enas om de höga befattningarna - om posten som Europeiska rådets ordförande och om nomineringen till hög representant."
"It is carried out in the course of discussions with high-ranking officials from the countries concerned.", "Förbättrad tillgång till rättskydd i synnerhet för konsumenter är en viktig fråga i handlingsplanen från Wien och var det även vid rådsmötet i Tammerfors."
"Hence the high ranking.", "Därför har detta en så stor betydelse."
"On this point I disagree with some colleagues who believe it would be better to establish a comparison with high-ranking civil servants.", "Här är jag av en annan åsikt än några av mina kollegor som anser att en jämförelse med en högre tjänsteman skulle vara bättre."
"High-ranking European politicians have joined in and even the UN Secretary General has set out a 5-point disarmament plan.", "Högt uppsatta europeiska politiker har anslutit sig och till och med FN:s generalsekreterare har lagt fram en nedrustningsplan i fem punkter."
"The third key area for resolving the crisis is therefore the restoration of confidence.", "Det tredje viktiga sättet att lösa krisen är därför att återupprätta förtroendet."
"Another key area is the Stockholm Programme in the area of justice, liberty and security.", "Ett annat viktigt område är Stockholmsprogrammet om frihet, säkerhet och rättvisa."
"The key area on which we must focus our attention is budgetary reform.", "Det nyckelområde som vi måste rikta in vår uppmärksamhet på är budgetreformen."
"They are rightly described as the key area of the European economy today.", "Det är korrekt att detta i dag betecknas som nyckelområdet i den europeiska ekonomin."
"Human rights are one key area; they must be exported to the Middle East.", "Mänskliga rättigheter är ett centralt område, och de måste exporteras till Mellanöstern."
"A key area where more resources could be input is the training of police authorities in Europe.", "Ett nyckelområde där mer resurser kunde tillföras är utbildningen av poliser i EU."
"That includes, for instance, the key area of enhanced support for research and technology.", "Till det hör t.ex. som ett av nyckelområdena ökade satsningar på forskning och teknisk utveckling."
"This is a key area for the European Parliament to be involved in.", "Detta är en nyckelfråga för Europaparlamentet att engagera sig i."
"On the issue of land use - agriculture and land use change - this is a key area of concern.", "Markanvändning - förändringar inom jordbruk och markanvändning - är en viktig och problematisk fråga."
"In the past, in other parliaments, the tendency had been simply to set goals for this key area.", "Andra parlament har tidigare haft en benägenhet att enbart sätta upp mål för detta viktiga område."
"That is a key area, because, as well as the benefits, we must also recognise the potential risks.", "Det är ett nyckelområde, eftersom vi måste ta hänsyn till potentiella risker såväl som fördelar."
"This is a key area in which we have been successful.", "Det är ett centralt område, där vi kan notera en framgång."
"The common agricultural policy is and remains a key area of Community policy and of the EU budget.", "Den gemensamma jordbrukspolitiken är och förblir ett viktigt område för gemenskapens politik och för EU-budgeten."
"A key area, certainly for this side of the House, is accessibility and the provisions for accessibility.", "Ett nyckelområde, särskilt för denna sida av parlamentet, är tillgängligheten och bestämmelserna om tillgänglighet."
"Progress in this key area is of prime importance for the general progress of the accession negotiations.", "Framsteg på detta centrala område är av avgörande betydelse för de allmänna framstegen i anslutningsförhandlingarna."
"Sport is undoubtedly a key area in this respect.", "Här är idrotten helt säkert en mycket viktig domän."
"Enforcement is an absolutely key area.", "Kontrollen av efterlevnaden är absolut en nyckelfråga."
"Moreover, we in the rest of Europe very much need to show that what we have here is a key area for European cooperation.", "Jag vill också ta tillfället i akt att tacka er för ert samarbete kring resolutionen och utarbetandet av den."
"It is a key area, namely statistics.", "Den gäller ett viktigt område, nämligen statistik."
"The common agricultural policy is a key area in the fight against climate change in the coming years.", "Under de kommande åren kommer den gemensamma jordbrukspolitiken att vara ett mycket viktigt område i kampen mot klimatförändringarna."
"A key point for social cohesion is the introduction of a national minimum wage.", "En central punkt för social sammanhållning är införandet av en nationell minimilön."
"Another key point is to maintain a CAP budget at least at its current level.", "En annan viktig punkt är att bevara en GJP-budget åtminstone på nuvarande nivå."
"A key point is to secure adequate resources for the Natura 2000 programme.", "En avgörande fråga är att säkra tillräckliga resurser för Natura 2000-programmet."
"This will also be the key point of discussion for the foreseeable future.", "Det är också den viktigaste punkt som vi kommer att diskutera den närmaste tiden."
"Let me say a few things about this - and I will end up with the key point.", "Jag vill säga några ord om detta - och jag kommer att sluta med huvudpunkten."
"This is relevant to the debate today because it emphasises the key point.", "Detta är relevant för dagens debatt eftersom det betonar den centrala punkten."
"The key point in inclusion is education and the abolition of segregation in schools.", "Nyckeln till införlivande är utbildning och avskaffandet av segregeringen i skolorna."
"A further key point will be the approach to, and management of, water resources.", "Hur man handskas med och förvaltar vattenresurserna kommer att bli en annan viktig punkt."
"I feel that this resolution marks a key point in Parliament's political initiative.", "Jag tycker denna resolution är en viktig fråga för detta parlaments politiska initiativ."
"Everyone is well aware that we have reached a key point in regional policy.", "Alla är väl medvetna om att vi befinner oss i ett avgörande skede i regionalpolitiken."
"When you understand this, the second key point follows automatically, and that is competition.", "När man inser detta följer den andra punkten automatiskt, nämligen konkurrensen."
"A sound environment policy is a key point in adapting to the acquis communautaire.", "En gedigen miljöpolitik är en av huvudpunkterna vid anpassningen av vår aquis communautaire."
"The key point of this debate, in our view, is to help prevent this overreaction.", "Att bidra till att denna överreaktion inte äger rum verkar vara det viktigaste i denna debatt."
"It should take place before the end of 2003 and will be a key point in the negotiations.", "Den bör äga rum före slutet av 2003 och kommer att vara avgörande för förhandlingarna."
"But the key point is that negotiations are now being conducted at a serious and detailed level.", "Det viktiga är dock att förhandlingarna nu förs på en seriös och detaljerad nivå."
"A sound environment policy is a key point in adapting to the acquis communautaire .", "En gedigen miljöpolitik är en av huvudpunkterna vid anpassningen av vår aquis communautaire ."
"I would firstly like to make my key point and then we can discuss the wider issue.", "Jag skulle först vilja ta upp min viktigaste punkt, och sedan kan vi diskutera bredare frågor."
"Mr President, this point about the short and medium term was in fact the key point.", "Herr ordförande! Den frågan om kort och medellång sikt var just den fråga som det handlade om."
"The vote on the budget is a key point in the parliamentary calendar.", "Omröstningen om budgeten utgör ett av de starka ögonblicken i parlamentets tidsschema."
"I should like to say a few words on a key point that I consider the cornerstone of our proposal.", "Jag vill säga några ord om en nyckelfråga som jag ser som hörnstenen i vårt förslag."
"My little five-year-old kid neighbor comes running in, and he says, "Rags, Rags.", "Min lilla femåriga grannunge kommer inspringande, och säger, "Rags, Rags."
". ~~~ Now, this is the kid, same crash, who is in the seatbelt.", "Så härnäst, det här är barnet, samma krock, som sitter med säkerhetsbälte."
"I was the black atheist kid in the all-white Catholic school run by nuns.", "Jag var den svarta ateistungen i en helt vit katolsk skola som drivs av nunnor."
"A kid died out there on the street tonight... so that you can fucking celebrate.", "Ett barn dog därute på gatan ikväll... bara för att du skall kunna fira."
"Now that's a nice car for a 20-something year-old kid in St. Petersburg.", "Det är en väldigt fin bil för en 20-något år gammal kille i St. Petersburg."
"This kid has you on acid screaming, " I'm a golden god " from a fan's rooftop.", "Killen hörde dig skrika, drogpåverkad, " Jag är en gyllene gud " på ett tak hos några fans."
"For a kid that doesn't know how to fight, you sure know how to fight.", "För att va en grabb som inte vet hur man fajtas, visste du verkligen hur man fajtas."
"And he said, "Leonardo, were you closer to your mother or to you father when you were a kid?"", "Så han sa "Leonardo, stod du närmare din mor eller din far när du var liten?""
"lf you really love your wife and kid...... you'll tell me where Adam Gibson is.", "Om du älskar din fru och dotter, så berättar du var Gibson finns."
"So you're the kid who's sent me those articles from the school newspaper.", "Så du är ungen som skickade mig de här artiklarna från skoltidningen."
"Now, I want to emphasize that not every autistic kid is going to be a visual thinker.", "Jag skulle vilja understryka att inte varje autistiskt barn kommer att tänka på det här viset."
"And that, my friends, is how we can make a difference one kid at a time.", "Och det, mina vänner, är hur vi kan göra skillnad, ett barn i taget."
"Apparently, some kid from Maplewood, New Jersey...... stuck some gum in his sister's hair.", "En kille från New Jersey som har kladdat tuggummi i sin systers hår."
"He 's a smart, good-hearted 15- year-old kid... with infinite potential.", "Han är en smart, godhjärtad 15- åring... med en ändlös potential."
"Is that the same kid that put the tack...... underneath his teacher's chair last year?", "Är det samma kille som satte ett häftstift på sin lärares stol?"
"See I always knew I'd be a drug dealer even when I was a kid", "Jag har vetat att jag skulle bli en knarklangare sen jag var ett litet barn."
"Next time it will be a Finn, and I will not treat him with kid gloves any more than I do you.", "Nästa gång är det en finne, och honom kommer jag inte heller att behandla med silkesvantar."
"The emergency room ascertained that the kid had no alcohol in his blood.", "På akuten såg man att ungen inte hade någon alkohol i blodet."
"Financial markets currently owe less to Adam Smith than to the Cincinnati Kid.", "Finansmarknaderna står för närvarande mindre i skuld till Adam Smith än till pokerspelaren Cincinnati Kid."
"In other words, use that fixation in order to motivate that kid, that's one of the things we need to do.", "Med andra ord: Använd fixeringen! ~~~ Vi måste använda detta för att motivera ungar."
"more_vert open_in_new Link to statmt.org warning Request revision A knife may be used to slice our daily bread but it may also be used to kill.", "expand_more En kniv kan användas för att skära upp vårt dagliga bröd men också för att döda."
"People in coastal regions know that many shipyards are now on a knife-edge.", "Ledamöterna från kustområdena är medvetna om hur sårbara många varvsindustrier är idag."
"In other cases, the survival of certain species is now balanced on a knife edge.", "I andra fall har överlevnaden för vissa arter ställts på sin spets."
". - Negotiations for a new global climate agreement are now on a knife edge.", "Förhandlingarna om ett nytt globalt klimatavtal står nu och väger."
"Ever see that little Swiss Army knife they have to fight with?", "Har ni någonsin sett den lilla schweiziska armékniven de måste slåss med?"
"There have been three ways to try to impact the brain: the therapist's couch, pills and the knife.", "Det har funnits 3 sätt att försöka påverka hjärnan: terapeutens soffa, piller och skalpellen."
"The man is waiting outside and stabs the woman with a knife - she dies.", "Mannen väntar utanför och knivhugger kvinnan - hon dör."
"Madam President, the situation in Iran is on a knife edge.", "– Fru talman! Situationen i Iran är mycket allvarlig."
"Here you can see that knife went through the heart.", "Här kan man se att kniven gick genom hjärtat."
"He's at the sharp knife-edge of this problem.", "Han är på den vassa sidan av det här problemet."
"Before you could say "knife" I had opened my wallet, put my money on the table and had a copy of the book.", "Snabbare än du hinner säga flasklock hade jag öppnat min plånbok, lagt pengarna på disken och så hade jag ett exemplar av boken."
"The person was killed by stabs in the heart, but they just deposited the knife by putting it through one of the eyeballs.", "Personen dog av knivhugg i hjärtat, men dom gjorde bara sig av med kniven genom att sätta den i en av ögonhålorna."
"Before you could say " knife " I had opened my wallet, put my money on the table and had a copy of the book.", "Snabbare än du hinner säga flasklock hade jag öppnat min plånbok, lagt pengarna på disken och så hade jag ett exemplar av boken."
"The President of the European Parliament was forced, with a knife at his throat, to go cap in hand to the governments of the Member States.", "Med kniven mot strupen krälade Europaparlamentets ordförande i stoftet inför medlemsstaternas regeringar."
"Upon closer inspection, the word ‘ dead’ was written on the door in red, Cyrillic letters, and a 35 cm knife had been stuck in the middle of the door.", "Europaparlamentet är också för en positiv tolkning av de nationella minoriteternas rättigheter."
"When we think of crime, an image of burglaries, violent muggings and knife attacks by gangs of youths on our streets often springs to mind.", "När vi tänker på brott, får vi ofta en bild på näthinnan av inbrott, våldsamma rån och knivförsedda ungdomsgäng."
"Then you go in with a knife.", "Sen tar man fram kniven."
"It would be a serious mistake to leave the job only half done, because the transitional process remains poised on a knife-edge.", "Det skulle vara ett allvarligt misstag att lämna ifrån sig arbetet halvgjort, eftersom övergångsprocessen fortfarande balanserar på en knivsegg."
"Albert hands me the knife.", "Albert ger mig kniven."
