//Sentences
"Go out with a bang", "Dö i en smäll."
"I am convinced that a good competitive business environment will result in more choices for consumers, which is the best remedy for rising prices.", "Jag är övertygad om att ett sunt, konkurrenskraftigt näringslivsklimat kommer att leda till större valmöjligheter för konsumenterna, vilket är det bästa medlet mot stigande priser."
"The Food and Drugs Administration has a good track record in food safety.", "Food and Drugs Administration har alltid varit bra på livsmedelssäkerhet."
"I think it might be a good track for the future, says Sofia Aspling.", "Jag tror att det kan vara en bra merit för framtiden, säger Sofia Aspling."
"Europe has a good track record in that it has been successful with its research in the past.", "Europa ligger långt framme eftersom man här i ett tidigare skede varit mycket framgångsrik i sin forskning."
". - I think we have a rather good track record when we start the procedures.", "ledamot av kommissionen. - (EN) Jag anser att vi har ett ganska bra underlag när vi inleder förfarandena."
"That was when they put Europe on the right track for good.", "Det var då som de förde in Europa på rätt bana för gott."
"Our two institutions have a good track record of working together in the legislative process to meet the better lawmaking objective.", "Våra två institutioner har goda erfarenheter av att arbeta tillsammans i lagstiftningsprocessen för att uppnå målet om bättre lagstiftning."
"more_vert open_in_new Link to statmt.org warning Request revision We have had G8 summits, G20 summits, extended G8 summits, European summits.", "expand_more Vi har haft G8-toppmöten, G20-toppmöten, förlängda G8-toppmöten, EU-toppmöten."
"more_vert open_in_new Link to statmt.org warning Request revision Vi har haft G8-toppmöten, G20-toppmöten, förlängda G8-toppmöten, EU-toppmöten.", "expand_more We have had G8 summits, G20 summits, extended G8 summits, European summits."
"more_vert open_in_new Link to European Parliament warning Request revision Förslaget bör vara ett resultat av en seriös diskussion mellan kommissionärerna, och inte bara lättvindigt accepteras genom en nickning.", "expand_more The proposal should be the outcome of serious debate in the College of Commissioners, not passed on the nod as A points."
"Set the cursor in a blank cell, e.g., J14, and activate the Function Autopilot.", "Placera cellmarkören i en tom cell, t.ex. J14, och starta funktionsautopiloten."
"3D objects are always created with sides of equal length, e.g. as cube or sphere.", "3D-objekt öppnas alltid med lika långa sidor, alltså t.ex. som kub eller klot."
"The master document automatically receives the extension.sxg (e.g. " Master.sxg ").", "Samlingsdokumentet får automatiskt filnamnstillägget.sxg (t.ex. "Samling.sxg")."
"The print area (e.g., the oversized rectangle) will be printed on multiple pages.", "Utskriftsområdet för t ex en alltför stor rektangel delas upp på flera sidor."
"For the instance found, the index is determined, e.g. the 12th cell in this area.", "Indexet till fyndplatsen tas fram, om det t ex är den 12:e cellen i området."
"Assign a different background color for the cell and a name (e.g., " Below ").", "Formatera cellen med bakgrundsfärgen ljusröd och kalla mallen för " Under "."
"The limit value (e.g. " 30 ") that you set in your operating system is the default.", "Det förvalda värdet är det gränsvärde som är inställt i operativsystemet, t.ex. " 30 "."
"It remains on the screen until you close it explicitly, e.g., with the closing field.", "Effektfönstret ligger kvar på bildskärmen tills Du stänger det med stängningsknappen."
"Here, you select the mode in which your presentation should run (e.g., fullscreen).", "Här anger du i vilket läge (t.ex. helskärm) som presentationen ska köras."
"What will become of Parliament's requirement of 95 g per kilometre by 2020?", "Vad blir det av parlamentets krav på 95 gram per kilometer till år 2020?"
"And I said, "I can't take you there, but I can take you into weightlessness into zero-g.", "Och jag sa, "Jag kan inte ta dig dit, men jag kan göra dig viktlös i noll gravitation."
"And my partner Byron Lichtenberg and I carefully suspended him into zero-g.", "Och min partner Byron Lichtenberg och jag höll försiktigt i honom fram till viktlösheten."
"Sorts the rows or columns in ascending order, (e.g., 1, 2, 3 or a, b, c).", "Raderna eller kolumnerna sorteras enligt 1, 2, 3 osv eller a, b, c osv."
"... if the loading of the graphics has been terminated by the user (e.g. when downloading).", "... när laddningen av grafikobjektet avbröts av användaren (t.ex. vid en nedladdning)."
"This week we have discussed several programmes of this type, e.g. Fiscalis, Karolus, etc.", "Denna vecka har vi diskuterat flera program av detta slag, t.ex. Fiscalis, Karolus m.fl."
"A note is displayed in the status bar in each case, e.g., why linking is not possible.", "I statuslisten visas alltid en informationstext, t.ex. varför det inte är möjligt att länka."
"1.What view does the Commission take of the implementation of the BiG&gt;", "1.Hur bedömer kommissionen genomförandet av detta program i de aktuella europeiska länderna?"
"The EU has announced that it will closely monitor Russia's actions during the G8 Presidency.", "Vi besökte vårdinrättningar i första hand, och det krävs verkligen stora förbättringar."
"The parameters (e.g. borders, hyperlinks) of the selected graphic object remain unchanged.", "Parametrarna (t.ex. Inramning, Hyperlänkar) för det markerade grafikobjektet ändras inte."
"Standard quotation marks are replaced with custom quotes, e.g., curved double quotes.", "Raka citattecken ("x") ersätts med typografiska citattecken ("x")."
"Just to wrap up, in the immortal words of H.G. Wells, I think that better things are on the way.", "För att knyta ihop säcken, med H.G. Wells odödliga ord, tror jag att bättre saker är på väg."
"Recitals g), I) and j) would normally imply refusal of discharge.", "Styckena g), i) och j) i ingressen skulle normalt sett leda till att ansvarsfrihet inte beviljas."
"G, I want to offer you a manager position at the market.", "G, jag erbjuder dig en föreståndartjänst i affären."
"G. G., I haven't seen Frank Murphy since third grade", "G. G., jag har inte sett Frank Murphy sen i trean."
"For those of you who are not familiar with G10, I would like to briefly explain the background to this initiative.", "För dem av er som inte känner till G10 skulle jag i korthet vilja redogöra för bakgrunden till detta initiativ."
"I. s last year... 40 of them in Vietnam.", "Parlamentsunderutskottets rapport säger att olagliga droger dödade... 160 Amerikanska soldater förra året... 40 av dem i Vietnam."
"No G. G., I haven't talked to Marcy.", "Nej, jag har inte pratat med Marcy."
"Secondly, it is currently a member of the G20 and I hope of course, to answer Mrs Mann, that it will continue to be one in the future.", "För det andra är Mexiko för närvarande ett G20-land, och det hoppas jag givetvis - för att svara Erika Mann - att landet förblir även i framtiden."
"G, I'm pregnant.", "G, jag är gravid."
"I think this is what we must take to the G20 but I do not agree that we should use all our capital to focus on bankers' bonuses.", "Jag anser att vi måste ta upp detta på G20-mötet, men jag håller inte med om att vi bör använda allt vårt kapital för att koncentrera oss på banktjänstemännens bonusar."
"(IT) Mr President, to be honest, I did not want to participate in the discussion on the G8, but I did want to put a question to President Barroso regarding culture.", "(IT) Ärligt talat begärde jag inte ordet för att delta i debatten om G8. Jag ville ställa en fråga om kultur till ordförande Barroso."
"The issue of climate change also figures prominently on the agenda for the G8 and I know that the forthcoming British Presidency considers this problem one of its priorities.", "Efter det mycket upplysande inlägget från Nicolas Schmit skulle jag vilja göra några få tillägg och eventuellt återkomma till några av de punkter som han tog upp."
"Finally, since Seoul, France has assumed responsibility for the Presidency of the G20 and I think this is a unique opportunity for Europeans and the European Union as such.", "Slutligen har Frankrike tagit över ordförandeskapet för G20-gruppen efter Seoul, och det tycker jag är ett unikt tillfälle för européerna och Europeiska unionen som sådan."
"The issue of climate change also figures prominently on the agenda for the G8 and I know that the forthcoming British Presidency considers this problem one of its priorities.", "Frågan om klimatförändringar förekommer också ofta på G8-gruppens dagordning, och jag vet att det kommande brittiska ordförandeskapet ser detta som en av sina prioriteringar."
"On the G20, I will make one main criticism: they have adopted the Barroso method, which consists in adding together the existing plans and assuming that that makes a recovery plan.", "Jag har framför allt en kritisk synpunkt på G20: De har antagit Barroso-metoden som består av att lägga ihop de planer som redan finns och anta att det utgör en återhämtningsplan."
"Moreover, a concentration of 10 g/m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g/m3."
"Moreover, a concentration of 10 g/ m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g / m3."
"The EU has announced that it will closely monitor Russia's actions during the G8 Presidency.", "Vi besökte vårdinrättningar i första hand, och det krävs verkligen stora förbättringar."
"The objective set by G8, primarily to combat poverty and hunger in Africa, is linked to direct and bold decisions.", "Den hotar stabiliteten, och här krävs internationellt strukturerat ingripande."
"At the G8 Summit at Gleneagles in Scotland, poverty was at the top of the agenda.", "FN: s generalsekreterare Kofi Annan har äntligen skarpt kritiserat detta beteende i en intervju i dagens nummer av."
"The rich G8 countries promised to work towards an end to poverty and injustice.", "När det gäller UNHCR: s ansvar kan jag personligen inte instämma i den kritik som en talare har framfört i detta avseende."
"Africa is at the top of the agendas of today’ s meeting of G8 leaders at Gleneagles and of the UK Presidency of the EU.", "Oppositionsledare från länder i södra Afrika vet vad som behöver göras."
"Russia is very sensitive about issues of its international standing and prestige: for instance, considerations of G7 versus G8.", "Ryssland är mycket känsligt när det gäller dess internationella ställning och prestige."
"At the G8 Summit last July, President Barroso promised EUR 1 billion a year in trade-related assistance.", "Den cynism som utvecklingsländerna visat under WTO-samtalen kommer helt enkelt att växa om detta inte uppfylls."
"The United Kingdom’ s forthcoming presidency of both G8 and the EU has made debt relief for the least developed countries a priority objective.", "Kommissionen följer noggrant debatten för att försäkra sig om insyn i beslutsprocessen."
"By so doing, the G8 countries are party to human rights violations and anti-democratic activities.", "Genom mitt arbete har jag mycket täta kontakter med UNHCR: s personal, och jag kan tala om för er att dessa tjänstemäns arbete är ytterst svårt."
"Mr President, as masses of people demonstrate about the situation in Africa, the G8 leaders are meeting in Scotland.", "Så sent som förra veckan dödades en gravid kvinna och ett fyraårigt barn under fördrivningen av 10 000 människor från Harares ytterområden."
"We know that there were several major events in London yesterday, a happy event with London being chosen as the 2012 Olympic city, and the G8 taking place.", "Sedan den 1 januari 2005 kan WTO-medlemmar inte längre pålägga kvoter på textil- och konfektionsimporter."
"These actions constitute the core of the Commission's contribution so far to the G8 global partnership against the proliferation of weapons of mass destruction.", "Pilotprojekten hjälper till att definiera hur gemenskapsinstrument bäst kan bidra till att stärka EU: s icke-spridningsstöd."
"It rightly calls for strengthened EU and G8 measures again the proliferation of weapons of mass destruction, which is arguably the biggest threat of all.", "Jag har länge ansett att det är värt att plädera för Indien som permanent medlem av säkerhetsrådet och möjligtvis även Japan och Brasilien."
"How will it guard against fora like G5 and G8 and new Schengen developments further prejudicing transparent, democratic and comprehensive EU-wide cooperation?", "Information om polisiärt och rättsligt samarbete enligt kapitel 6 överförs till Europaparlamentet med artikel 39 i EG-fördraget som grund."
"Therefore, there is a multidimensional aspect and we shall address that through institutions such as G8, the International Energy Agency, the OSCE and others.", "De konstruktiva förbindelser som vi kan utveckla med våra grannar utgör vår enda möjlighet att skapa fred och säkerhet kring våra gränser."
"At Gleneagles, G8 Heads of Government published a plan of action on these issues in addressing climate change, but progress in these areas can also do much to enhance energy security.", "Förbättrade uppgifter om global efterfrågan och tillgång på olja och oljelager är väsentliga för mer initierade marknadsbeslut."
"The President of the European Commission will be invited to the summit, and will have an opportunity to discuss the matter with the European countries which are G8 members.", "Kommissionens ordförande kommer att inbjudas till toppmötet och kommer att i samband med detta få tillfälle att diskutera med de europeiska länder som deltar,"
"I welcome this resolution and the support it gives to G8 countries in their plans for up to 100 % debt relief to the world's poorest countries.", "I samband med detta är det viktigt att de fattigaste länderna inte utsätts för otillbörliga påtryckningar att avreglera sin tjänstesektor som motprestation till EU: s avreglering av handeln."
"The issue of climate change also figures prominently on the agenda for the G8 and I know that the forthcoming British Presidency considers this problem one of its priorities.", "Efter det mycket upplysande inlägget från Nicolas Schmit skulle jag vilja göra några få tillägg och eventuellt återkomma till några av de punkter som han tog upp."
"A number of Heads of State or Government have already taken initiatives, and other proposals will need to be put forward at the G8 summit.", "Det är därför över 100 organisationer, icke-statliga organisationer, föreningar och arbetstagarorganisationer kommer att ha en mobiliserings- och utfrågningskampanj på global och europeisk nivå i år."
