//Sentences
"H0025N A History, From peasant to service society: Swedish social and economic history Sp3 VT", "H0025N Historia A, Från bonde- till tjänstesamhälle: Svensk social och ekonomisk historia Lp3 VT"
"The reactors at Temelín are a Soviet design, VVER1000, and there is nothing Westinghouse can do about that.", "Reaktorerna i Temelin är nu en gång för alla, det kan inte ens Westinghouse ändra på, sovjetiska konstruktioner av typen VVER1000."
"It is well known that the first generation RBMK and VVER 440/230 Soviet reactors are dangerous, since they are unable to withstand accidents.", "Vi känner till riskerna med de sovjetiska reaktorerna RBMK och VVER 440/230 av första generationen, som har brister i systemen för tillbudshantering."
"It is well known that the first generation RBMK and VVER 440/ 230 Soviet reactors are dangerous, since they are unable to withstand accidents.", "Vi känner till riskerna med de sovjetiska reaktorerna RBMK och VVER 440 / 230 av första generationen, som har brister i systemen för tillbudshantering."
"There has been undisputed progress in improving the operational safety of nuclear power stations, including the first generation reactors of the RBMK1000 and the VVER230 types.", "Det har bevisligen skett framsteg vad gäller förbättringen av driftsäkerheten vid kärnkraftverken, även när det rör den första generationen reaktorer av typen RBMK1000 och VVER230."
"That, however, is not a solution to VW's problems or those of other car factories.", "Detta är dock ingen lösning på Volkswagens problem eller på andra biltillverkares problem."
"VW should be aware that we will be watching developments very closely in the months ahead.", "VW ska veta att vi kommer att följa utvecklingen mycket ingående under de kommande månaderna."
"Well, let us seize the social tragedy at VW Vorst to make the necessary changes to the directive.", "Låt oss se den sociala tragedin vid Volkswagen i Vorst som en anledning att göra nödvändiga ändringar av direktivet."
"Only yesterday, VW presented its 1 litre car at the Detroit Motor Show, which shows just what is possible.", "Så sent som igår presenterade Volkswagen sin 1-litersbil på Detroit Motor Show, vilket är ett tydligt exempel på vad som är möjligt."
"One question is obviously on all of our minds: will the employees of VW Forest be able to rely on this European solidarity?", "En fråga är uppenbar för oss alla. Kommer de anställda vid VW Vorst att kunna förlita sig på den europeiska solidariteten?"
"In recent years, the Commission, represented by Commissioner Bolkestein, has repeatedly attacked the VW Act, under which Volkswagen operates.", "Kommissionen, företrädd av kommissionär Frits Bolkestein, har upprepade gånger under de senaste åren angripit VW-akten, som Volkswagen verkar i enlighet med."
"What the future of co-determination will be like, we see – thanks to the VW Act, at VW, with its jobshares, its wage renunciation, its 5 000 times 5 000.", "Hur framtiden kommer att se ut för medbestämmanderätten kan vi – tack vare VW-akten – se hos Volkswagen som tillämpar arbetsdelning, avstående från lön och systemet med 5 000 gånger 5 000."
"more_vert open_in_new Link to European Parliament warning Request revision Punkten fotbollshuliganism var uppförd under punkterna om mänskliga rättigheter.", "expand_more The matter of football hooliganism was under the human rights matters."
"more_vert open_in_new Link to statmt.org warning Request revision Var är vår gemensamma övervakning, och var är vår gemensamma budgetkontroll?", "expand_more Where then is our joint monitoring and where is our joint budgetary control?"
"more_vert open_in_new Link to European Parliament warning Request revision 1.Kan kommissionen säga om förbudet var en tillfällig åtgärd?", "expand_more 1.Was that ban a temporary measure?"
"more_vert open_in_new Link to TED warning Request revision Och de bästa lärarna var flickorna, inte pojkarna. ~~~ Och de var fantastiska.", "expand_more And the best teachers were the girls, not the boys, and they were terrific."
"more_vert open_in_new Link to OpenSubtitles warning Request revision Jag hade ingen aning om att du och Walt var tillsammans.", "expand_more So, Tanya, I had no idea that you and Walt were, you know, seeing each other."
"more_vert open_in_new Link to European Parliament warning Request revision Avfall är ingen förnybar naturresurs, trots att det produceras i allt större mängder för var dag som går.", "expand_more Waste is not a renewable natural resource, although there is more and more of it produced every day."
"more_vert open_in_new Link to statmt.org warning Request revision Artikel 5 i konstitutionen för republiken Portugal kunde inte vara tydligare.", "expand_more Article 5 of the Constitution of the Portuguese Republic could not be clearer."
"more_vert open_in_new Link to European Parliament warning Request revision Efterfrågan på elektricitet - en vara som inte kan lagras - når sin höjdpunkt.", "expand_more The demand for electricity - a commodity that cannot be stored - peaks."
"more_vert open_in_new Link to statmt.org warning Request revision Det borde vara vår ledstjärna i tillämpningen av politiken på detta område.", "expand_more That should be the leading line in our implementation of policies in this area."
"more_vert open_in_new Link to European Parliament warning Request revision Produktmärkning skall vara obligatoriskt och gälla för alla ingredienser i en vara.", "expand_more Product labelling should be obligatory and apply to all the ingredients in a product."
"more_vert open_in_new Link to European Parliament warning Request revision Att vara man skulle alltså vara lika med att vara mest kompetent.", "expand_more Being a man therefore seems, in itself, to be synonymous with maximum competence."
"more_vert open_in_new Link to European Parliament warning Request revision Vi kan ge ett verkligt bidrag, och vi får inte vara rädda att göra det.", "expand_more We have a real contribution to make and we must not be afraid to make it."
"more_vert open_in_new Link to statmt.org warning Request revision Jag skulle vara tacksam om ni ville vara vänlig att snabbt svara parlamentet.", "expand_more I would be grateful if you would kindly respond to Parliament as a matter of urgency."
"more_vert open_in_new Link to TED warning Request revision Vi kör gigantiska modeller i superdatorer; det råkar vara vad jag gör.", "expand_more We run enormous models on supercomputers; this is what I happen to do."
"This either can no longer be changed (Date fix) or it is updated automatically (Date var.).", "Datumet kan antingen inte ändras längre (datum fast) eller uppdateras automatiskt (datum var.)."
"Learn more about how to implement _setVar( ); on your site.", "Läs mer om hur du implementerar _setVar( ) på din webbplats."
"For example, when the camp was closed by the prefect of Var, on 1 March, 449 people were supposed to have been taken into custody.", "När prefekten i Var stängde lägret den 1 mars, skulle exempelvis 449 personer tas om hand."
"Regarding the fires, which have particularly affected the Var region of France and, even more so, other European countries, we are faced with a certain number of questions.", "Vad beträffar de bränder som särskilt har drabbat Var-regionen i Frankrike, och i ännu högre grad andra europeiska länder, står vi inför ett antal frågor."
"Hence we will support a number of amendments tabled by Mr Vachetta.", "Därför skall vi stödja några ändringsförslag från min kollega Vachetta."
"The prices of gas and electricity have sunk as the result of competition, Mrs Vachetta, including to consumers.", "Priserna på el och gas har sjunkit betydligt i och med konkurrensen, fru Vachetta, även för konsumenterna!"
"It is significant that Mrs Vachetta has proposed that the level of manpower, the working hours, the pay levels and the training of sailors should be improved.", "Det är viktigt att Vachetta föreslår att förbättra besättningsstorleken, arbetstiderna, lönenivån och sjömännens utbildning."
"Mr President, I have stood in at the last moment for my colleague Mrs Vachetta, whose take on this is the same as that which I am about to present to you.", "Herr talman! Jag har i sista stund ersatt min kollega Vachetta, med vem vi i alla händelser delar den analys som jag skall redogöra för."
"I therefore welcome the fact that the rapporteurs Watts, Vachetta and Piétrasanta have endeavoured to close the gaps still present in the Commission proposal.", "Därför är det bra att föredragandena Watts, Vachetta och Piétrasanta har försökt täta de luckor som fortfarande finns i kommissionens förslag."
"We should be grateful that there are Heads of State like Vaclav Havel in our Europe.", "Vi skall vara tacksamma för att det finns statschefer som Vaclav Havel i vårt Europa."
"Václav Havel told us today that Europe is a homeland of our homelands.", "I dag sade Václav Havel till oss att EU är våra hemländers hemland."
"I mention this specifically in view of our celebratory sitting today and Václav Havel's speech.", "Jag nämner det särskilt med tanke på vårt högtidliga möte i dag och Václav Havels anförande."
"He was my predecessor in the role, Václav Havel, and it was four years before our accession to the EU.", "Det var min föregångare, Václav Havel, och det var fyra år innan vi anslöt oss till EU."
"His name was Václav Havel.", "Några månader senare var medborgarrättskämpen statschef, nämligen Václav Havel."
"As Václav Havel said this morning, we cannot have double standards.", "Som Václav Havel sade i morse kan vi inte ställa olika krav."
"Vaclav Havel once said 'what use are the most beautiful of buildings if they serve no purpose?'", "Vaclav Havel sade en gång: vilken nytta har den vackraste arkitekturen om den inte har någon själ?"
"Vaclav Havel once said 'what use are the most beautiful of buildings if they serve no purpose?", "Vaclav Havel sade en gång: vilken nytta har den vackraste arkitekturen om den inte har någon själ?"
"These were the words spoken three hours ago in this Chamber by the President of the Czech Republic, Vaclav Havel.", "Så sade för tre timmar sedan Tjeckiens president Vaclav Havel i denna kammare."
"And finally I would like to wish President Vaclav Havel a rapid recovery from his recent operation.", "Och slutligen vill jag önska president Vaclav Havel ett snabbt tillfrisknande efter operationen nyligen."
"Václav Havel is gravely ill and has been hospitalised.", "Václav Havel är allvarligt sjuk och har lagts in på sjukhus."
"We have heard today the extraordinary plea made by Václav Havel.", "I dag har vi hört Václav Havels enastående inlägg."
"Most of us have seen the recent report, endorsed by Vaclav Havel and Archbishop Desmond Tutu.", "De flesta av oss har sett den senaste rapporten som skrevs på uppdrag av Vaclav Havel och ärkebiskop Desmond Tutu."
"I am of course talking about President Václav Havel.", "Jag talar naturligtvis om president Václav Havel."
"However, as Václav Havel said earlier today, partnership also requires us to tell each other the whole truth.", "Som Václav Havel sade tidigare i dag innebär ett partnerskap att vi måste tala om hela sanningen för varandra."
"Address by Mr Vaclav Havel, President of the Czech Republic", "Tal av Tjeckiens president Vaclav Havel"
"To sum up: Václav Havel and Slobodan Milošević.", "Kort sagt: Václav Havel och Slobodan Milošević."
"And, quite aptly, it was recently invoked in Washington by the President of the Czech Republic, Vaclav Havel.", "För inte så länge sedan framförde också i Washington den Tjeckiska republikens president, Vaclav Havel, samma anklagelse."
"President Vaclav Havel, who made a memorable speech to this House in 1994, had also identified this problem.", "President Václav Havel, som 1994 höll ett imponerande anförande i denna kammare, hade också uppmärksammat denna problematik."
"(FR) Mr President, Minister, on 11 November, Václav Havel said to us, 'Europe is the homeland of our homelands'.", "(FR) Herr talman, fru minister! Den 11 november sade Václav Havel till oss att ”Europa är ett hemland för våra hemländer”."
"Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li", "Ministry of Public Health PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li"
"Florinsgasse 3 LI - 9490 Vaduz Tel.: +423 236 69 26 E-Mail Website", "Florinsgasse 3 LI - 9490 Vaduz Tel.: +423 236 69 26 E-Mail Website"
"Ministry of Foreign Affairs Government Spokesperson’s Office PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li", "Ministry of Foreign Affairs Government Spokesperson’s Office PO box 684 LI - 9490 Vaduz E-mail: info[at]liechtenstein.li"
"Amt für Volkswirtschaft (AVW) Office for the National Economy Gerberweg 5 LI - FL 9490 Vaduz Tel.: +423 236 68 71 E-mail Website", "Amt für Volkswirtschaft (AVW) Office for the National Economy Gerberweg 5 LI - FL 9490 Vaduz Tel.: +423 236 68 71 E-mail Website"
"Ressort Bildungswesen der Regierung Ministry of Education Peter-Kaiser-Platz 1 LI - 9490 Vaduz Tel.: +423 236 61 11 Email Website", "Ressort Bildungswesen der Regierung Ministry of Education Peter-Kaiser-Platz 1 LI - 9490 Vaduz Tel.: +423 236 61 11 Email Website"
"Schulamt Office of Education Europark / Austrasse 79 LI - 9490 Vaduz Tel.: +423 236 67 70 Fax: +423 236 67 71 Email: info[at]sa.llv.li", "Schulamt Office of Education Europark / Austrasse 79 LI - 9490 Vaduz Tel.: +423 236 67 70 Fax: +423 236 67 71 Email: info[at]sa.llv.li"
"Liechtensteinische Motorfahrzeugkontrolle (MFK) Liechtenstein motor vehicle testing Gewerbeweg, 4 LI - 9490 Vaduz Tel: +423 236 75 08 E-mail Website", "Liechtensteinische Motorfahrzeugkontrolle (MFK) Liechtenstein motor vehicle testing Gewerbeweg, 4 LI - 9490 Vaduz Tel: +423 236 75 08 E-mail Website"
"Amt für Handel und Transport Ministry of Trade and Transport Austrasse 15 Postfach 684 FL - 9490 Vaduz Tel.: +423 236 69 04 E-mail: info[at]aht.llv.li", "Amt für Handel und Transport Ministry of Trade and Transport Austrasse 15 Postfach 684 FL - 9490 Vaduz Tel.: +423 236 69 04 E-mail: info[at]aht.llv.li"
"Liechtensteinischer Bankenombudsmann Bank Ombudsman Mitteldorf 1, PO Box 343 FL - 9490 Vaduz Tel.: +423 238 10 30 E-mail: info[at]schlichtungsstelle.li", "Liechtensteinischer Bankenombudsmann Bank Ombudsman Mitteldorf 1, PO Box 343 FL - 9490 Vaduz Tel.: +423 238 10 30 E-mail: info[at]schlichtungsstelle.li"
"Amt für Auswärtige Angelegenheiten Office for Foreign Affairs Heiligkreuz 14 Postfach 684 LI - 9490 Vaduz Tel: +423 236 60 57 Email: N.A - not available Website", "Amt für Auswärtige Angelegenheiten Office for Foreign Affairs Heiligkreuz 14 Postfach 684 LI - 9490 Vaduz Tel: +423 236 60 57 Email: N.A - not available Website"
"Einheitlicher Ansprechpartner - Stabsstelle EWR Point of Single Contact - EEA Coordination Unit Austrasse 79 / Europark FL - 9490 Vaduz Tel.: +423 236 60 37 E-mail: info[at]sewr.llv.li", "Einheitlicher Ansprechpartner - Stabsstelle EWR Point of Single Contact - EEA Coordination Unit Austrasse 79 / Europark FL - 9490 Vaduz Tel.: +423 236 60 37 E-mail: info[at]sewr.llv.li"
"Even the headquarters of the Bloc Nacionalista Valencià party has been attacked.", "Till och med huvudkontoret för partiet Bloc Nacionalista Valencià har attackerats."
"The Partido Popular politicians say that the petitions in Valencia have been imagined.", "Politikerna i Partido Popular säger att framställningarna i Valencia är inbillade."
"Mr President, the Valencia Summit is most likely to be remembered just for having been held.", "Herr talman! Förmodligen är det viktigaste med Valenciamötet att det kan hållas."
"Fact-finding mission to the regions of Andalusia, Valencia and Madrid (vote)", "Studieresa till regionerna Andalusien, Valencia och Madrid (omröstning)"
"Libya participated in the ministerial conference in Valencia as the Presidency's guest.", "Libyen deltog i ministerkonferensen i Valencia som ordförandeskapets gäst."
"Fact-finding mission to the regions of Andalusia, Valencia and Madrid (debate)", "Studieresa till regionerna Andalusien, Valencia och Madrid (debatt)"
"This subject will certainly be at the centre of the discussions in Valencia.", "Den kommer säkert att stå i centrum för diskussionerna i Valencia."
"This is happening in Valencia and it is happening in Madrid, which is my autonomous community.", "Detta sker i Valencia och i Madrid, som är den självständiga provins jag kommer ifrån."
"Ladies and gentlemen, our aim is that Valencia should adopt a new law.", "Mina damer och herrar! Vårt mål är att en ny lag ska antas i Valencia."
"The EU and Algeria sign an Association Agreement in Valencia, Spain.", "EU och Algeriet undertecknar ett associationsavtal i Valencia, Spanien."
"These TV repeaters allow the reception of Catalan television in the Valencia region.", "Signalförstärkarna gör att man kan se katalansk tv i Valencia."
"It is the feast of Saint Vicent Ferrer, which is cause for much celebration in my home region of Valencia.", "Det är högtiden för Sankt Vicent Ferrer, som firas stort i min hemregion Valencia."
"Valencia is a unique opportunity and it must not be wasted.", "Det rör sig i Valencia om ett gyllene tillfälle som inte får gå förlorat."
"I come from a European region – Valencia – which has not seen neutrality in the public media.", "Jag kommer från en europeisk region – Valencia – som inte har sett neutralitet i offentliga medier."
"Mr President, Commissioner, last weekend, one of the biggest ships in the world docked at the port of Valencia.", "Jag anser att detta är den stora möjlighet som vi ställs inför som européer."
"But you know that the entire area - Valencia and Asturias - belongs to Objective 1 of the framework support.", "Men ni känner till att hela området - Valencia och Asturien - tillhör mål 1 för ramstödet."
"The Valencia Summit was a success in that it took place.", "Toppmötet i Valencia var en framgång därför att det genomfördes."
"European Globalisation Adjustment Fund: ES/Region of Valencia (", "Utnyttjande av Europeiska fonden för justering för globaliseringseffekter: Spanien/Comunidad Valenciana ("
"It is the feast of Saint Vicent Ferrer, which is cause for much celebration in my home region of Valencia.", "Klausuler av en annan karaktär vore lämpligt för andra sektorer, som till exempel textilsektorn."
"Recently in Spain, the Valencia regional government decided to include a subject for the next academic year.", "Nyligen beslutade den regionala regeringen i Valencia i Spanien att införa ett ämne nästa läsår."
