//Sentences
"The only GMO crop currently cultivated in the European Union is Bt-maize MON 810.", "Den enda genmodifierade gröda som för närvarande odlas i EU är Bt-majsen MON 810."
"The PPE and PSE refuse to acknowledge a link with the BNFL MOX shipments to Japan.", "PPE och PSE vägrar att tillstå ett samband med BNFL: s MOX-transporter till Japan."
"There is a link - MOX shipments to Japan are under EU safeguards controls.", "Det finns ett samband - MOX-transporter till Japan omfattas av EU:s säkerhetskontroller."
"There is a link - MOX shipments to Japan are under EU safeguards controls.", "Det finns ett samband - MOX-transporter till Japan omfattas av EU: s säkerhetskontroller."
"It is called "The comprehensive social impact assessment of MOX use in light water reactors' .", "Den heter The comprehensive social impact assessment of MOX use in Light water reactors."
"To this the Commission says: we want to process it into MOX fuel.", "På detta svarar kommissionen: det skall vi upparbeta till MOX-bränslen."
"It is called " The comprehensive social impact assessment of MOX use in light water reactors '.", "Jag skulle vilja upprepa att rådet hittills inte har fått något förslag från kommissionen om detta."
"Is the recent decision giving the go-ahead to the MOX plant at Sellafield not unacceptable?", "Är inte det senaste beslutet att ge tillstånd till en anläggning för MOX-bränsle i Sellafield oacceptabelt?"
"Secondly, nuclear MOX fuel is shipped from Europe, for example from Cherbourg and Sellafield, to Japan.", "För det andra överskeppas nukleärt MOX-bränsle från Europa, tänk på Cherbourg och Sellafield, till Japan."
"BNFL was determined to press ahead with the Sellafield MOX plant to keep reprocessing going.", "BNFL var fast beslutet att driva igenom anläggningen för blandoxidbränsle i Sellafield för att hålla upparbetningen igång."
"EURATOM carries out routine measurements of all fuel elements produced at the MOX demonstration plant of Sellafield.", "Euratom fortsätter med rutinmätningar av alla bränsleämnen som produceras i försöksanläggningen i Sellafield."
"B5-0165/99 by Ms Ahern and others, on behalf of the Greens/EFA Group, on the major nuclear accident in Japan and MOX shipments;", "B5-0165/99 av Ahern m.fl. för V/ALE-gruppen om den stora kärnkraftsolyckan i Japan och MOX-transporter,"
"It exposed a poor safety culture and an inadequate secondary control procedure in the manufacture of MOX fuel.", "Den avslöjade en dålig säkerhetskultur och otillräckliga sekundära kontrollförfaranden i tillverkningen av blandoxidbränslen."
"B5-0165/ 99 by Ms Ahern and others, on behalf of the Greens/ EFA Group, on the major nuclear accident in Japan and MOX shipments;", "B5-0165 / 99 av Ahern m.fl. för V / ALE-gruppen om den stora kärnkraftsolyckan i Japan och MOX-transporter,"
"I do not want to talk at this stage about the viability or wisdom of reprocessing nor about the economics of MOX.", "I detta skede vill jag inte diskutera genomförbarheten av eller visdomen i upparbetning eller hushållningen med blandoxidbränslena."
"The reason I raised this question is that MOX fabrication and use is currently expanding significantly all over Western Europe.", "Skälet till att jag tog upp frågan är att MOX-tillverkning och -användning för närvarande ökar betydligt över hela Västeuropa."
"The use of plutonium/mox' or other nuclear waste to replace depleted uranium, should indeed be subject to careful scrutiny.", "Användningen av plutonium för att tillverka så kallat MOX-bränsle eller annat kärnavfall för att ersätta utarmat uran bör undersökas mycket noggrant."
"Why maintain and facilitate the manufacturing of MOX fuel and the reprocessing in La Hague and Sellafield which are part and parcel of this plutonium economy?", "Varför fortsätta och underlätta produktionen av blandoxidbränsle (MOX) och upparbetningen i La Hague och Sellafield?"
"The use of plutonium/ mox ' or other nuclear waste to replace depleted uranium, should indeed be subject to careful scrutiny.", "Användningen av plutonium för att tillverka så kallat MOX-bränsle eller annat kärnavfall för att ersätta utarmat uran bör undersökas mycket noggrant."
"Their order books are full for a few more years, but no new orders are coming in due to the quality of control lapse at the MOX plant.", "Deras orderböcker är fulla för ett par år till, men inga nya order har kommit in på grund av kontrollmisstagen i blandoxidbränsleanläggningen."
"more_vert open_in_new Link to statmt.org warning Request revision An attack on an MP anywhere amounts to an attack on democracy.", "expand_more Ett angrepp mot en parlamentsledamot var det än må vara är ett angrepp på demokratin."
"In fact, talking about it now, we can't even imagine buying an MP3 player from Dell.", "Faktum är att berätta om det nu, vi kan inte ens föreställa oss köpa en MP3 spelare från Dell."
"Now when this law first passed, the world's hottest MP3 player could hold just 10 songs.", "När den här lagen först gick igenom, kunde världens bästa MP3-spelare bara rymma tio låtar."
"Search LUCIA for: Book on CD book on Mp3 music recording Video recording", "Sök i LUCIA på: bok på CD bok på Mp3 musikupptagning videoupptagning"
"My favorite is the middle one -- the MP3 player, nose hair trimmer, and creme brulee torch.", "Min favorit är den i mitten -- med MP3-spelare, näshårstrimmer och crème brulée-brännare."
"Is it, then, necessary to prove, before they go on sale, that MP3 players cannot be used to break the law?", "Skall man då bevisa att dessa inte kan användas kriminellt innan man säljer?"
"I need only remind the House of inventions such as laser technology or X-rays or the MP3 player.", "Jag kan bara erinra parlamentet om uppfinningar som lasertekniken, röntgen eller MP3-spelaren."
"Paradoxically, this MP has a friend who is disabled.", "Paradoxalt nog har parlamentsledamoten en god vän som är funktionshindrad."
"Some government opponents, like M.P. Sukatnu who recently died, have spent nearly 30 years in prison.", "Vissa oppositionella, som Sukatnu, som nyligen avled, har suttit nästan trettio år i fängelse."
"Audiobooks on CD and MP3 are available for lending in the library.", "Ljudböcker på CD och Mp3 finns till utlån i biblioteket."
"Why would you buy an MP3 player from a computer company?", "Varför skulle du köpa en MP3 spelare från ett datorföretag?"
"Or that hot topic, MP3, a German invention, although 90% of sales are now made outwith the EU.", "Eller den rykande aktuella mp3-spelaren, en tysk uppfinning, trots att 90 procent av all försäljning nu sker utanför EU."
"Or that hot topic, MP3, a German invention, although 90 % of sales are now made outwith the EU.", "Eller den rykande aktuella mp3-spelaren, en tysk uppfinning, trots att 90 procent av all försäljning nu sker utanför EU."
"But we're also perfectly comfortable buying an MP3 player from Apple, or a phone from Apple, or a DVR from Apple.", "Men vi är också helt trygga att köpa en MP3-spelare från Apple, eller telefon från Apple, eller en DVR från Apple."
"There is justified concern - concern that the border control personnel will search everything from computers to MP3 players.", "Det skapas berättigad oro, alltifrån oro för att man i gränskontroller ska genomsöka datorer till MP3-spelare."
"MP3 players can now be used for copying.", "MP3-spelare kan idag användas för kopiering."
".: + 386 1 369 52 00 E-mail: pr.mp[at]gov.si", "Ministrstvo za pravosodje Ministry of Justice Župančičeva 3 SI - 1000 Ljubljana Tel.: + 386 1 369 52 00 E-mail: pr.mp[at]gov.si"
"In the MPs expenses scandal now engulfing the House of Commons, only one MP's expense records have unaccountably gone missing.", "I den skandal med parlamentsledamöternas utgifter som nu skakar underhuset har en enda ledamots utgiftsredovisning försvunnit spårlöst."
"Where is the progress in replacing a male MP from the upper middle classes with his privileged wife, sister or daughter?", "När rättvisan består i att ersätta en folkvald från den stora borgerligheten med hans fru, syster eller dotter med privilegier, vari består då framstegen?"
"Customs could search the MP3 players, mobile telephones and laptops of any citizen suspected of having illegally downloaded a file.", "Tullen skulle kunna genomsöka mp3-spelare, mobiltelefoner och bärbara datorer för vem som helst som misstänks för att ha laddat ned en fil olagligt."
"Mr President, on 12 February 2009, the Dutch MP, Geert Wilders, was refused entry to the United Kingdom by order of the Home Secretary.", "(EN) Herr talman! Den 12 februari 2009 nekades den nederländska parlamentsledamoten Geert Wilders inresa i Storbritannien på inrikesministerns order."
"In fact, talking about it now, we can't even imagine buying an MP3 player from Dell.", "Faktum är att berätta om det nu, vi kan inte ens föreställa oss köpa en MP3 spelare från Dell."
"Now when this law first passed, the world's hottest MP3 player could hold just 10 songs.", "När den här lagen först gick igenom, kunde världens bästa MP3-spelare bara rymma tio låtar."
"Search LUCIA for: Book on CD book on Mp3 music recording Video recording", "Sök i LUCIA på: bok på CD bok på Mp3 musikupptagning videoupptagning"
"My favorite is the middle one -- the MP3 player, nose hair trimmer, and creme brulee torch.", "Min favorit är den i mitten -- med MP3-spelare, näshårstrimmer och crème brulée-brännare."
"Is it, then, necessary to prove, before they go on sale, that MP3 players cannot be used to break the law?", "Skall man då bevisa att dessa inte kan användas kriminellt innan man säljer?"
"I need only remind the House of inventions such as laser technology or X-rays or the MP3 player.", "Jag kan bara erinra parlamentet om uppfinningar som lasertekniken, röntgen eller MP3-spelaren."
"Audiobooks on CD and MP3 are available for lending in the library.", "Ljudböcker på CD och Mp3 finns till utlån i biblioteket."
"Why would you buy an MP3 player from a computer company?", "Varför skulle du köpa en MP3 spelare från ett datorföretag?"
"Or that hot topic, MP3, a German invention, although 90% of sales are now made outwith the EU.", "Eller den rykande aktuella mp3-spelaren, en tysk uppfinning, trots att 90 procent av all försäljning nu sker utanför EU."
"Or that hot topic, MP3, a German invention, although 90 % of sales are now made outwith the EU.", "Eller den rykande aktuella mp3-spelaren, en tysk uppfinning, trots att 90 procent av all försäljning nu sker utanför EU."
"But we're also perfectly comfortable buying an MP3 player from Apple, or a phone from Apple, or a DVR from Apple.", "Men vi är också helt trygga att köpa en MP3-spelare från Apple, eller telefon från Apple, eller en DVR från Apple."
"There is justified concern - concern that the border control personnel will search everything from computers to MP3 players.", "Det skapas berättigad oro, alltifrån oro för att man i gränskontroller ska genomsöka datorer till MP3-spelare."
"MP3 players can now be used for copying.", "MP3-spelare kan idag användas för kopiering."
"Customs could search the MP3 players, mobile telephones and laptops of any citizen suspected of having illegally downloaded a file.", "Tullen skulle kunna genomsöka mp3-spelare, mobiltelefoner och bärbara datorer för vem som helst som misstänks för att ha laddat ned en fil olagligt."
"As from February, Belgian consumers will pay a levy on the purchase of digital media such as USB sticks, external hard drives and MP3 players.", "Från och med februari ska belgiska konsumenter betala en avgift när de köper digitala medier såsom USB-minnen, externa hårddiskar och MP3-spelare."
"Europeans are being assured that, given the negotiated ‘exemptions for personal baggage’, they need have no fear of their laptops or MP3 players being subjected to border checks.", "Det sägs att européerna inte behöver vara rädda för att deras bärbara dator eller mp3-spelare ska sökas igenom vid gränsen."
"The detector can also slow time down, which makes it easier to differentiate between the various species The detector is connected to an mp3 player to enable recording.", "Detektorn kan också expandera tiden vilket gör det lättare att skilja på de olika arterna, och kopplas till en mp3-spelare för inspelning."
"Does this mean that our mobile telephones, our MP3 players and our computers may be searched by customs authorities looking for illegally downloaded files?", "Innebär detta att våra mobiltelefoner, våra mp3-spelare och våra datorer kan komma att sökas igenom av tullmyndigheter på spaning efter olagligt nedladdade filer?"
"Dell came out with MP3 players and PDAs, and they make great quality products, and they can make perfectly well-designed products -- and nobody bought one.", "Dell kom ut med MP3 spelare och PDA:er. ~~~ Och alla de gör utmärkta kvalitetsprodukter. ~~~ Och det gör alla perfekt väldesignade produkter. ~~~ Och ingen köpte någon."
"But today the thief would not bother stealing a truck; he would simply illegally download it on to his laptop or MP3 player and carry it across the border.", "I dag skulle tjuven inte behöva stjäla någon lastbil. Istället skulle han bara ladda ned boken olagligt till sin bärbara dator eller MP3-spelare och ta den över gränsen."
"In fact, talking about it now, we can't even imagine buying an MP3 player from Dell.", "Faktum är att berätta om det nu, vi kan inte ens föreställa oss köpa en MP3 spelare från Dell."
"Now when this law first passed, the world's hottest MP3 player could hold just 10 songs.", "När den här lagen först gick igenom, kunde världens bästa MP3-spelare bara rymma tio låtar."
"My favorite is the middle one -- the MP3 player, nose hair trimmer, and creme brulee torch.", "Min favorit är den i mitten -- med MP3-spelare, näshårstrimmer och crème brulée-brännare."
"I need only remind the House of inventions such as laser technology or X-rays or the MP3 player.", "Jag kan bara erinra parlamentet om uppfinningar som lasertekniken, röntgen eller MP3-spelaren."
"Why would you buy an MP3 player from a computer company?", "Varför skulle du köpa en MP3 spelare från ett datorföretag?"
"But we're also perfectly comfortable buying an MP3 player from Apple, or a phone from Apple, or a DVR from Apple.", "Men vi är också helt trygga att köpa en MP3-spelare från Apple, eller telefon från Apple, eller en DVR från Apple."
"The detector can also slow time down, which makes it easier to differentiate between the various species The detector is connected to an mp3 player to enable recording.", "Detektorn kan också expandera tiden vilket gör det lättare att skilja på de olika arterna, och kopplas till en mp3-spelare för inspelning."
"But today the thief would not bother stealing a truck; he would simply illegally download it on to his laptop or MP3 player and carry it across the border.", "I dag skulle tjuven inte behöva stjäla någon lastbil. Istället skulle han bara ladda ned boken olagligt till sin bärbara dator eller MP3-spelare och ta den över gränsen."
"The sixth is the need for cooperation between national and regional authorities, as the MPA case has taught us.", "Den sjätte är behovet av samarbete mellan nationella och regionala myndigheter, som MPA-fallet har lärt oss."
"But pork was sold, was processed and has been eaten by humans and of course MPA in humans can cause infertility.", "Däremot har fläskkött hunnit säljas, bearbetas och ätas av människor, och onekligen kan MPA-hormon hos människor orsaka sterilitet."
"The same could be said of nitrofurans, dioxins, the hormone MPA (medroxy-progesterone acetate), or of antibiotics, with consequences, upstream, for human health.", "Detsamma kan sägas om nitrofuraner, hormonet MPA (medroxyprogesteronacetat) eller antibiotika som har fått konsekvenser för människors hälsa i nästa led."
"50 000 Dutch pigs condemned to be slaughtered because they were contaminated by illegal feedstuffs - illegal because of contamination by MPA hormones in feed additives.", "50 000 grisar i Nederländerna fördes till slakt eftersom de blivit smittade via olagligt foder - olagligt eftersom det förorenats av MPA-hormoner i fodertillsatser."
"more_vert open_in_new Link to statmt.org warning Request revision Patients have to wait six to eight weeks for CT and MRI scans and to commence treatment.", "magnetisk resonanstomografi och för att påbörja behandling."
"more_vert open_in_new Link to TED warning Request revision But what we saw -- this is an MRI image.", "expand_more Men vad vi såg -- här är bilden från magnetröntgen."
"The heart is pictured from the side in an MRI scanner, and arrows indicate the infarcted area.", "Hjärtat är avbildat från sidan i magnetkamera, och pilarna markerar infarktområdet."
"They get people into a fMRI scanner, and while they're lying there, through a tube, they get to sip wine.", "De lägger folk i en datortomograf, och medan de ligger där får de, genom ett rör, smutta på vin."
"MRI is using magnetic fields and radio frequencies to scan the brain, or any part of the body.", "MRI använder sig av magnetfält och radiofrekvenser för att scanna hjärnan, eller vilken kroppsdel som helst."
"And you just saw Motts the research engineer, there, going into the MRI system, and he was wearing goggles.", "Och ni såg precis forskningsingenjören Mats åka in i MRI-systemet, och han hade på sig ett par glasögon."
"But they found that -- this is after three and a half hours in an fMRI, it's like coming out of a space ship.", "Men dom har funnit – detta är efter tre och en halv timme i en MRI, det är som att komma ur en rymdfarkost."
"And in the MRI and MR spectroscopy here, the prostate tumor activity is shown in red -- you can see it diminishing after a year.", "I MRT- och MR-spektroskopin här, är tumören i prostatan röd -- man kan se den minska efter ett år."
"With a keen interest in anatomy and technique now works mainly with MRI to find various disease states.", "Med ett stort intresse för anatomi och teknik arbetar han idag främst med magnetkamera för att hitta olika sjukdomstillstånd."
"We're going to do it non-invasively using MRI.", "Vi kommer att göra det utan ingrepp med MRI."
"This is magnetic resonance imaging -- MRI.", "Detta är magnetic resonance imaging – MRI."
"When I put these people in the machine, before I put them in the MRI machine, I would ask them all kinds of questions.", "När jag satte de här människorna i maskinen, innan jag satt dem i MRI-maskinen, ställer jag alla möjliga frågor till dem."
"And we heard a little bit about functional MRI.", "Vi hörde lite om funktionell MRI."
"Uploaded by MRiOSdevices on 8 Jan 2012", "Uppladdad av MRiOSdevices den 8 jan 2012"
"In a recent experiment, a group of adults had their brains scanned in an MRI machine as they were listening to experts speak.", "I ett experiment nyligen, fick en grupp vuxna sina hjärnor skannade av en magnetkamera medan de lyssnade på experter som talade."
"Well you can see this on an MRI.", "Det kan man se på en MRI."
"Fast sequences with MRI", "Snabba sekvenser med magnetkamera"
"Synthetic MR Synthetic MR develops proprietary analytical and visualisation tools for synthetic magnetic resonance imaging (MRI).", "Synthetic MR Synthetic MR AB utvecklar patentskyddade analys- och visualiseringsverktyg för att möjliggöra syntetisk magnetresonanstomografi (MRT)."
"Synthetic MRI enables physicians to drastically reduce the time needed for an MRI examination, thus increasing the patient flow.", "Syftet med syntetisk MRT är att möjliggöra för läkare att drastiskt minska den tid som behövs för en MRT-undersökning, och därigenom öka patientgenomströmningen."
"When Spain and Portugal joined the Community, Parliament raised the ceilings for budgetary increases that were established in the MRI.", "När Spanien och Portugal inträdde i detta parlament fick det taken att lyfta på de budgetökningar som då var fastställda genom den maximala procentuella ökningen."
"At best, in France, a bone scintigram will be taken; MRI and above all PET scans, used for early metabolic diagnosis, are not performed.", "I Frankrike görs i bästa fall ett skelettscintigram. MRT och i synnerhet PET-scanning, som används för att tidigt kunna diagnostisera metabolisk sjukdom, utförs inte."
"(Laughter) In a related German study, researchers used fMRI imaging to measure brain activity before and after injecting Botox to suppress smiling muscles.", "(Skratt) I en liknande tysk studie, använde forskarna fMRT-bilder för att mäta hjärnaktivitet före och efter injektioner av Botox för att undertrycka leendemusklerna."
"This means that, if we do not set a specific Community MRL, we do not expect to see any residues.", "Detta innebär inte att allmänheten plötsligt blir mer exponerad för bekämpningsmedelsrester."
"The first of these is the notion of a default limit-of-determination MRL.", "Den första av dessa frågor är idén med en standardbestämningsgräns för gränsvärden för bekämpningsmedelsrester."
"We've examined it by every means from spectroscope to MRl.", "Vi har undersökt den på alla sätt från spektrograf till MRl."
"The current MRL Regulation does not require MRLs to be set for individual species.", "Enligt den nuvarande förordningen om högsta tillåtna restmängder behöver inte MRL-värden fastställas för enskilda djurarter."
"This MRL is valid for EU production, but also for imported food and feed.", "Detta gränsvärde för bekämpningsmedelsrester gäller för produktion inom EU, men också för livsmedel och foder som importeras."
"There will be clarity about how and to whom an MRL application should be made, and on the procedure to be followed.", "Vi sätter en mycket hög standard i hela EU, särskilt när det gäller hälsofrågor, och det med rätta."
"There will be clarity about how and to whom an MRL application should be made, and on the procedure to be followed.", "Det kommer att vara tydligt hur och för vem gränsvärdena skall tillämpas och vilket förfarande som skall användas."
"The lack of an MRL also prevents authorities from being able to establish a proper withdrawal period for a medicine.", "Avsaknaden av ett MRL-värde hindrar även myndigheterna från att fastställa en lämplig karensperiod för ett läkemedel."
"I often doze off while I'm getting an MRl.", "Jag slumrar ofta till när jag får en MRl."
"This means that, if we do not set a specific Community MRL, we do not expect to see any residues.", "Detta innebär att om vi inte fastställer ett specifikt gränsvärde för bekämpningsmedelsrester i gemenskapen, förväntar vi oss inte att upptäcka några restvärden."
"This describes a risk-based approach of extrapolation of an MRL for a substance from one or more species to additional species.", "I riktlinjen beskrivs en riskhantering med hjälp av extrapolering av ett ämnes MRL-värden från en eller flera djurarter till ytterligare djurarter."
"The establishing of an MRL for a pharmacologically active substance requires an expensive data package of toxicology and metabolism studies.", "Fastställandet av MRL-värdet för ett farmakologiskt verksamt ämne kräver ett dyrt datapaket av toxikologiska studier och metabolismstudier."
"The MRL regulation of 1990 came into force in 1992, and there was a derogation for many countries until 1 January 2000.", "1990 års förordning om gränsvärden för högsta tillåtna restmängder trädde i kraft 1992, och innehöll ett undantag för många länder till och med den 1 januari 2000."
"In a sense we are using this MRL review as a bit of a 'patch and mend' for a major problem that is under the radar but which we are all very aware of.", "På sätt och vis använder vi denna översyn av MRL-värden som en slags tillfällig lösning på ett större problem som vi undviker, men som vi alla är mycket medvetna om."
"The EFSA will take responsibility for risk assessment, based on its network of experts and institutions in the Member States, and will issue an expert opinion on the safety of each MRL.", "Liksom föredraganden anser jag att ekodesign skulle kunna inbegripa miljöhänsyn under den fas då de tekniska möjligheterna är som störst."
"Yesterday, the largest Bulgarian daily published photos of the leader of the Turkish ethnic party, MRL, Ahmed Dogan, who, three years ago, was granted a mandate to form the Bulgarian government.", "Igår publicerade Bulgariens största dagstidning bilder av ledaren för det turkiska etniska partiet, MRL, Ahmed Dogan, som för tre år sedan fick mandat att bilda regering i Bulgarien."
"Half of all meat products inspected in shops in the US contain dangerous bacteria (MRSA).", "Hälften av alla inspekterade köttprodukter i butikerna i USA innehåller farliga bakterier (MRSA)."
"Infections like MRSA are serious not only for hospital patients, but also for hospital workers.", "Infektioner som MRSA är inte bara allvarliga för sjukhuspatienter, utan också för sjukhuspersonal."
"Where appropriate, they also tested for MRSA.", "Vid behov ska de även testas för MRSA."
"Read more about the Board's recommendations for dealing with staff in nursing and care for MRSA on their website.", "Läs mer om Socialstyrelsens rekommendationer för handläggning av personal inom vård och omsorg avseende MRSA på deras hemsida."
"Then all students to be MRSA-free.", "Sedan ska alla studenter vara MRSA-fria."
"staphylococcus (MRSA) and Gram-negative bacteria but also against other microorganisms such as tuberculosis bacteria.", "Överanvändning av antibiotika har dock lett till utbredd resistens mot flera antibiotika, främst hos stafylokocker (MRSA) men också mot andra mikroorganismer som tuberkelbakterien."
"Multiresistant bacteria as methicillin-resistant staphylococci (MRSA) and vancomycin-resistant enterococci (VRE) cause severe problems in many hospitals outside Sweden.", "Multiresistenta bakterier som meticillinresistenta stafylokocker (MRSA) och vancomycinresistenta enterokocker (VRE) orsakar svåra problem på många sjukhus utanför Sverige."
