//Sentences
"The apparent choice for the West between Pakistan and India is also a false dichotomy.", "Västs skenbara val mellan Pakistan och Indien är också en falsk dikotomi."
"F is the due date of the payment at the beginning or end of each period.", "F (valfritt) är förfallotidpunkten."
"Type (optional) denotes due date for payments.", "F (valfritt) är förfallotidpunkten."
"F is the due date for the periodic payments.", "F (valfritt) är förfallotidpunkten."
"The due date is at the end of the period.", "Förfallodagen är i slutet av perioden."
"Type (optional) defines the due date.", "F (valfritt) är förfallotidpunkten."
"We believe that the Commission has taken the wrong path since it refused to implement the regulation of 1991 at its due date of 1996.", "Vi menar att kommissionen slagit in på fel väg alltsedan den vägrade att genomföra 1991 års förordning vid det beslutade datumet 1996."
"The elimination of political dissidents and summary executions have not stopped.", "Mord på politiska dissidenter och summariska avrättningar har ännu inte upphört."
"Lasting elimination of poverty requires environmentally sustainable solutions.", "Ett bestående undanröjande av fattigdomen kräver miljömässigt hållbara lösningar."
"Mr Secchi's report calls for the elimination of tax havens in the internal market.", "Secchis betänkande yrkar på elimineringen av skatteparadis inom den inre marknaden."
"International cooperation is the key to the efficient elimination of IUU fishing.", "Internationellt samarbete är nyckeln för att effektivt undanröja IUU-fiske."
"One of the important points in the report concerns the elimination of child poverty.", "En av de viktigaste punkterna i betänkandet handlar om att utrota barnfattigdomen."
"The same goes for regional policy, for the elimination of regional differences.", "Detsamma gäller regionalpolitiken, för att undanröja regionala skillnader."
"Elimination of the comprehensive network would therefore have some perverse effects.", "Slopandet av det övergripande nätet skulle därför få vissa störande effekter."
"This is why monitoring and the elimination of deviations is the goal of numerous actions.", "Därför är övervakning och undanröjande av avvikelser målet för ett antal åtgärder."
"The harmonisation of legislation must be accompanied by the elimination of redundancy.", "Parallellt med samordningen av lagstiftningen måste redundansen avskaffas."
"The elimination of transaction costs and the lowering of interest rates is good news.", "Att transaktionskostnader skall tas bort och att räntorna skall sänkas är goda nyheter."
"The elimination of Article 4 is the core of or basis for these changes.", "Borttagandet av artikel 4 är själva kärnan i grunden för dessa förändringar."
"Subject: EU support for the ILO's International Programme on the Elimination of Child Labour", "Angående: EU-stöd till ILO:s internationella program om avskaffande av barnarbete"
"It is important to insist on the elimination of unilateral and unreasonable trade barriers.", "Det är viktigt att stå fast vid att ensidiga och orimliga handelshinder avskaffas."
"The elimination of Papadopoulos in Cyprus is very good news in our view.", "Avsättandet av Tassos Papadopoulos på Cypern är enligt vår mening en mycket god nyhet."
"Last week we observed the International Day for the Elimination of Violence against Women.", "Förra veckan var det den internationella dagen för avskaffandet av våld mot kvinnor."
"Subject: Elimination of barriers to the free movement of labour between Member States", "Angående: Avskaffande av hindren för arbetstagarnas fria rörlighet mellan medlemsstaterna"
"Subject: EU support for the ILO's International Programme on the Elimination of Child Labour", "Angående: EU-stöd till ILO: s internationella program om avskaffande av barnarbete"
"Why, therefore, ask for the elimination of the public character of energy operators?", "Varför då be om att energioperatörernas offentliga karaktär tas bort?"
"I am referring to peace, stability, the elimination of poverty and development of the country.", "Jag syftar här på fred, stabilitet, fattigdomsbekämpning och utveckling i landet."
"The first is the protection of victims, and the second the elimination of demand.", "Den första punkten gäller skyddet av offren och den andra handlar om att undanröja efterfrågan."
"The negative impact is multiplied exponentially on the fringes of Europe and society.", "Den negativa inverkan ökar exponentiellt i utkanterna av Europa och av samhället."
"Gary Titley said that I was a paranoid reactionary living on the fringes of society.", "Gary Titley sa att jag var en paranoid reaktionär som lever i samhällets utkanter."
"That people on the fringes can find each other, connect and go somewhere.", "Att människor i utkanterna kan hitta varandra, kontakta varandra och ta vägen någonstans."
"The safe thing to do now is to be at the fringes, be remarkable.", "Den säkra vägen idag är att hålla sig till kanterna. att vara anmärkningsvärd."
"These were not people who were denied opportunities by being on the fringes of our society.", "Detta var inte människor som berövades några möjligheter för att de levde i utkanten av samhället."
"These were not people who were denied opportunities by being on the fringes of our society.", "Några av dem hade levt mitt ibland oss, som våra grannar, i flera år eller till och med tiotals år."
"I welcome in particular the decision hold a seminar on the fringes involving the tourism stakeholders.", "Jag välkomnar i synnerhet beslutet om att hålla ett seminarium om frågor som rör dem som har intressen inom turismen."
"Is the Commission contributing to the G20 proposal or has it remained entirely on the fringes of this type of negotiation?", "Bidrar kommissionen till G20-förslaget eller har man helt hållit sig i utkanten av dessa förhandlingar?"
"Because he did something that was at the fringes.", "För han gjorde något som var i ytterkanten."
"The amendments also emphasised the pivotal role of the urban dimension in developing the immediately adjacent rural fringes.", "I ändringsförslagen betonas också stadsdimensionens avgörande roll för utvecklingen av direkt intilliggande landsbygdsområden."
"However, to those on the fringes we will have to say from time to time: consider what you say, but above all read the history books!", "Men till de politiska yttergrupperna måste vi då och då säga: tänk på vad ni säger, men framför allt läs historieböckerna!"
"Bulgaria, which is on the fringes of the EU, is often under threat from the import of dangerous or potentially dangerous counterfeit goods.", "Bulgarien, som befinner sig i utkanten av EU, hotas ofta av importen av farligt eller potentiellt farliga förfalskade varor."
"Many of the survivors remained silent out of shame about their past and were stigmatised and relegated to the fringes of society.", "Många av de överlevande förblev tysta, eftersom de skämdes över sitt förflutna och stigmatiserades och förvisades till samhällets utkanter."
"When fringes are projected on an object their appearance, as seen from an angle, will change according to the shape of the object.", "När fransar projiceras på ett objekt, och man tittar på dessa från en vinkel, så förändras fransarnas utseende beroende på objektets form."
"It is of course also true that on the fringes of international adoption we are seeing methods and policies that are dangerous and despicable.", "Det är naturligtvis också riktigt att i utkanterna av internationell adaption ser vi metoder och politik som är farlig och föraktlig."
"Intelligence activities, special units and, in many cases, operations on the fringes of the law play a key role in the fight against terrorism.", "Underrättelseverksamhet, särskilda enheter och, i många fall, operationer i lagens utkant spelar en nyckelroll i kampen mot terrorismen."
"I believe that in view of this impasse the extremist and intransigent fringes on both sides will inevitably grow and propose military solutions.", "I det dödläge som råder kan man inte undvika att extremisterna på båda sidor växer sig starkare och därmed risken för militära lösningar."
"To the politicians in the capital cities, these people are often treated as a marginal issue that takes place at the national fringes, away from the hub.", "För politikerna i huvudstäderna behandlas dessa människor ofta som ett marginellt problem i landets utkanter, långt ifrån centrum."
"Some countries are lagging behind, others are further ahead, some are on the fringes, some have larger populations: we need to bear all that in mind.", "Vissa länder ligger efter, andra har kommit längre, några är på gränsen, vissa har större befolkning: vi måste ha allt detta i åtanke."
"We cannot tolerate that the post-electoral need to reassure the discontented fringes of the majority should compromise 60 years of constitutional freedom.", "Vi kan inte tolerera att behovet efter valet att lugna majoritetens missbelåtna yttergrupper äventyrar 60 års konstitutionell frihet."
"You are giving the game away there, because what you are talking about is world governments, politicians.", "(EN) Du försade dig där. Vad du talar om är världens regeringar, politiker."
"They gave the game away in their interventions.", "De avslöjade alltihop i sina inlägg."
"That is why we gave the game away.", "Därför lät vi er vinna."
"The PS, PSD and CDS-PP can try all they like to deflect attention from, or hide, their broad understanding, yet reality is giving the game away.", "PS, PSD och CDS-PP kan försöka avleda uppmärksamheten från, eller gömma, sitt breda samförstånd så mycket de vill men verkligheten avslöjar alltihop."
"The rapporteur gives the game away when she argues that in the long term it would be of great advantage to approximate the ACT rates – meaning the same rates of road tax in all countries.", "Föredraganden avslöjar sig när hon hävdar att det på lång sikt vore mycket fördelaktigt att närma oss nivån för den årliga vägtrafikskatten – det vill säga samma nivå för vägskatten i alla länder."
"It is a notion from the good old days, from the Club of Rome, from zero growth.", "Det är ett begrepp från gamla goda tider, från Romklubben, från nolltillväxten."
"So human history is viewed as sort of this downhill slide from the good old days.", "Så mänsklighetens historia ses som en sorts utförsåkning från den gamla goda tiden."
"In the good old days, the impression was that everything in the EU was peachy.", "Under de goda åren gav man EU intryck av att allt var i sin ordning."
"We cannot turn back the clock and dwell on the good old days.", "Vi kan inte vrida tillbaka tiden och tänka på de gamla goda tiderna."
"Hoping for a return of the good old days is no option.", "Att hoppas på en återgång till den gamla goda tiden är inget alternativ."
"Well, then I guess we're going to miss the " good old days "", "Tja, då antar jag att vi kommer sakna den gamla goda tiden."
"To listen to Mr Bonde, one wonders if he is not dreaming that he is back in the 'good old days' of the GDR.", "När man lyssnar på Jens-Peter Bonde undrar man om han inte drömmer sig tillbaka till den gamla goda tiden då DDR fanns."
"To listen to Mr Bonde, one wonders if he is not dreaming that he is back in the 'good old days ' of the GDR.", "När man lyssnar på Jens-Peter Bonde undrar man om han inte drömmer sig tillbaka till den gamla goda tiden då DDR fanns."
"But we have at least 10 communists in this Commission and it must feel like a return to the good old days.", "Men vi har åtminstone tio kommunister i den nya kommissionen, och det måste kännas som att återgå till den gamla goda tiden."
"What good old days?", "Vilken gamla goda tid?"
"Terrorists cannot succeed unless they have the financial means with which to do so.", "Terrorister lyckas inte såvida de inte har finansiella medel att tillgå."
"There are a number of ways and means in which the Council can and does act.", ", . – Det finns ett antal sätt och medel som rådet kan använda och använder för att agera."
"A 'used car' means one which is more than six months old and has travelled more than 6 000 km.", "En begagnad bil är en bil som är mer än sex månader och som har gått mer än 600 mil."
"Reform of the Pact may be one of the means by which we can get out of the slowdown.", "Reformeringen av pakten kan vara ett av de medel som hjälper oss ur den ekonomiska avmattningen."
"It seems to be thought of as just a means by which we look at the way in which the budget has gone.", "Det tycks anses utgöra enbart ett sätt varmed vi ser på hur budgeten har utfallit."
"After all, that is the route by means of which we should be able to improve the world situation.", "När allt kommer omkring är det på så sätt vi bör kunna förbättra situationen i världen."
"Subsidiarity means deciding which level of decision making is best.", "Subsidiaritet innebär att besluta vilken beslutsnivå som passar bäst."
"Those are the only means by which we can change people's mentality and attitude.", "De och endast de kan förändra mentalitet och attityder."
"This is the only means by which the objectives that we are proposing will be realised.", "Det är bara på detta sätt som de mål vi föreslår kan uppnås."
"It is a new means by which to organise the activities of mankind.", "Det är ett nytt medel för att organisera mänsklighetens aktiviteter."
"The problem we have is that of knowing whether you should be a means by which we express that objection.", "Det problem vi har är att veta om vi skall uttrycka den protesten genom er."
"They seem to think it means governance, which is defined as the action or manner of governing.", "De verkar tro att det betyder styrning, vilket definieras som handlingen eller sättet att styra."
"The Member States must supervise the facilities themselves and the means by which species are transported.", "Medlemsstaterna ska själva övervaka anläggningarna och de transportmedel som används."
"Syllabuses, or the means by which learning has so far been imparted, must be fundamentally altered.", "Läroplaner, det sätt på vilket kunskap hittills har förmedlats, måste förändras från grunden."
"This is the means by which we will achieve truly equal pay.", "Det är på så sätt vi kommer att uppnå en verklig likabehandling."
"Next, we should be defining the ways and means by which we can make their situation easier.", "Härnäst borde vi definiera de metoder och sätt, med vilka man kan underlätta situationen för sådana aktörer."
"Reform of the Pact may be one of the means by which we can get out of the slowdown.", "Kommissionens förslag, som har lagts fram i kammaren av Joaquín Almunia, är en bra utgångspunkt, men måste förbättras."
"Next month, the Commission will propose means by which the implementation of this Pact can be monitored.", "I nästa månad kommer kommissionen att föreslå metoder för att övervaka genomförandet av denna pakt."
"This is the policy by means of which we can fight BSE.", "Det här är den politik som måste föras för att bekämpa BSE."
"This is also why we are tabling this resolution, by means of which we want to speed up developments.", "Det är också därför vi lägger fram denna resolution. Vi önskar med denna resolution skynda på utvecklingen."
"Their experiences can encourage more tolerance, understanding and awareness of the needs of others besides their own capacities and abilities.", "Deras erfarenheter kan främja ökad tolerans, förståelse och medvetenhet om andra människors behov, utöver deras egna kapaciteter och förmågor."
"It is natural that if eleven billion ecus of German money goes on the needs of others, they should wish to make a smaller contribution to the EU budget.", "Det är naturligt att om elva miljarder ecu av tyskarnas pengar överförs till andra så vill de betala mindre medlemsavgifter till EU: s budget."
"You have to, of course, be aware of the needs of others, but you have to be aware in such a way that you can carry on with your life and be of help to people.", "Man måste givetvis vara uppmärksam på andras behov, men uppmärksam på ett sådant sätt att man kan gå vidare med sitt eget liv och vara människor till hjälp."
"We will need, at the appropriate time, to devote thought to a new articulation of the system of our own resources, one which would take into account the desiderata of some, and the needs of others.", "Vi måste, men bara vid rätt tidpunkt, tänka på en ny organisation av systemet med egna tillgångar som tar hänsyn till vissas önskemål och allas behov."
"We have reformed our common agricultural policy because it was right to do so for our own purposes and needs, as well as for the needs of others within the international trading system.", "Vi har reformerat vår gemensamma jordbrukspolitik eftersom det var riktigt att göra så för våra egna syften och behov, liksom för andras behov inom det internationella handelssystemet."
"I work in a neighborhood so bad, you can get shot while you're getting shot.", "Jag arbetar här, och här är det så tufft, att man kan bli skjuten när man blir skjuten."
"You give those hours in the afternoon to the students in the neighborhood.", "Och sen ägnar du dessa timmar på eftermiddagen åt eleverna i grannskapet."
"People are saying that it's moving from the idea of the dream home to the dream neighborhood.", "Folk säger att det handlar om att byta idén om drömhemmet mot idén om ett drömkvarter."
"Clean up a neighborhood park. Be a mentor.", "Servera mat åt de hemlösa, städa upp i en park, var en hjälplärare."
"Do you want every supervillain in the neighborhood to know we're here?", "Vill du att alla superskurkar i området ska få reda på att vi är här?"
"A bunch of happy families in a neighborhood is a happy community.", "Lyckliga familjer i ett grannskap bildar ett lyckligt grannskap."
"On his bed is a girl from the neighborhood named Sheila.", "Jag går in på rummet och på sängen ligger en granntjej som heter Sheila."
"The neighborhood's going to tell us, the parents are going to tell us.", "Grannskapet säger åt oss, föräldrarna säger åt oss."
"It's a notice of a zoning application change for a new office building so the neighborhood knows what's happening.", "Det är en kungörelse om ett företags bygglovsansökan för att informera om vad som sker."
"In fact, when there was a wedding in our neighborhood, all of us would paint our houses for the wedding.", "Faktum är, att när det var ett bröllop i våra kvarter målade vi allihopa våra hus inför bröllopet."
"My employer will seize what remains of this neighborhood.", "Min arbetsgivare tar över det som är kvar av distriktet."
"And the best part is all of those ingredients are available to every family at the neighborhood Walmart.", "Och det bästa är att alla de ingredienserna är tillgängliga. till varje familj vid grannområdet Walmart."
"Then we line all the sidewalks here all around the neighborhood.", "Vi sätter dem på trottoarerna i hela området."
"He took me to his neighborhood restaurant and he served me some of his foie gras, confit de foie gras.", "Han tog mig till en närliggande restaurang och han serverade mig lite av hans foie gras, confiterad foie gras."
"It was started with about 12 of my friends, people that I had known for years that were writers in the neighborhood.", "Det började med 12 av mina vänner, folk jag känt i flera år som var författare från grannskapet."
"You say, "OK, but walking around the neighborhood, I noticed that the house numbers don't go in order."", "Du frågar, "Okej. ~~~ Men jag har gått runt i området, och har upptäckt att husnumren inte har någon ordning.""
"Well, we're not like any other family in the neighborhood.", "Vi är inte som alla andra familjer i kvarteret"
"Got the whole neighborhood out to say good-bye, huh?", "Fick ut hela grannskapet för att säga adjö, huh"
"But a neighborhood, like everything else, has a soul.", "men ett område, har som allt annat, en själ."
"In my neighborhood, they say " The good get out. "", "I mitt kvarter säger man " de goda lämnar "."
