//Sentences
"It provides information and assistance on a wide range of issues, including:", "Företagen kan här få information och rådgivning om bland annat"
"Its Humanitarian Aid department provides relief assistance that goes directly to people in distress, irrespective of their nationality, religion, gender or ethnic origin.", "Kommissionens biståndsavdelning ger katastrofhjälp till nödlidande, oberoende av nationalitet, religion, kön och etniskt ursprung."
"The PEGI online version provides assistance to parents and minors, offering both tips on how to protect minors and miscellaneous information about online games.", "Versionen PEGI Online ger föräldrar och minderåriga vägledning i form av både tips på hur man skyddar minderåriga och diverse information om onlinespel."
"However, we believe that a common European aid system for medium-term financial assistance provides neither a guarantor nor a solution for that not being the case.", "Vi menar dock att ett gemensamt europeiskt biståndssystem för medelfristigt ekonomiskt stöd varken är en garant eller en lösning för om så inte är fallet."
"European businesses are investing in the region’s economy, and the European Union provides financial assistance with a view to solving social and economic problems.", "Europeiska företag investerar i regionens ekonomi, och Europeiska unionen tillhandahåller ekonomiskt stöd som syftar till att lösa sociala och ekonomiska problem."
"European businesses are investing in the region’ s economy, and the European Union provides financial assistance with a view to solving social and economic problems.", "Europeiska företag investerar i regionens ekonomi, och Europeiska unionen tillhandahåller ekonomiskt stöd som syftar till att lösa sociala och ekonomiska problem."
"Our presence on the ground through the EU Border Assistance Mission provides us with an excellent instrument for following the situation and giving advice and assistance to both sides.", "Vår närvaro på plats genom EU:s gränsövervakningsinsats ger oss ett utmärkt verktyg för att följa situationen och ge råd och hjälp åt båda sidor."
"We welcome the fact that in our food aid budget line we target food security issues and that budget provides financial assistance for food security.", "Vi välkomnar det faktum att vi i vår budgetpost för livsmedelsbistånd fokuserar på livsmedelssäkerhet och att vi genom budgeten tillhandahåller ekonomisk hjälp till livsmedelssäkerhet."
"I am afraid that, rather than providing comprehensive answers, I may have raised a number of new issues.", "Jag är rädd för jag i stället för att ge utförliga svar kan ha tagit upp en rad nya frågor."
"We need to restore their confidence in the future by providing adapted and ambitious answers.", "Vi måste ge dem deras framtidstro tillbaka genom att tillhandahålla anpassade och långtgående lösningar."
"They would then have no excuse for failing to respond or providing unsatisfactory answers.", "De skulle då inte ha någon ursäkt för att de inte svarat eller för att de gett oss otillfredsställande svar."
"We will move on to the second part of Question Time, during which the three Commissioners present will be providing answers.", "Vi går nu över till andra delen av frågestunden. De tre närvarande kommissionsledamöterna kommer att besvara dem."
"I would wish URBAN to be orientated mainly towards providing answers to those causes of urban deprivation.", "Jag skulle önska att man med Urban-initiativet först och främst riktade in sig på att försöka finna svar på dessa orsaker till tillbakagång i städerna."
"To connect the European Union with its citizens we must earn the confidence of Europeans every day by providing answers to their concerns.", "För att föra Europeiska unionen närmare medborgarna måste vi dagligen vinna européernas förtroende genom att ge svar på deras problem."
"I am in favour of a debate in which we, on the basis of those social values, can demonstrate that we are capable of providing answers, because they need to be given.", "Jag är för en debatt där vi på grundval av dessa sociala värderingar kan visa att vi är kapabla att ge svar, för svar måste ges."
"You are telling us things that have already been said in the newspapers many times and you are not providing answers to the very pointed questions that have been asked.", "Ni berättar saker som redan har stått i tidningarna många gånger och ger inga svar på de mycket tillspetsade frågor som har ställts."
"Instead of providing specific answers to questions relating to the further development of the continent, the peoples of Europe can instead look forward to another serving of newspeak.", "I stället för konkreta svar på frågor om kontinentens utveckling, kan EU:s befolkning se fram emot en ny portion nyspråk."
"Therefore, the environmental authorities have not yet had the chance to analyse and evaluate all the technical data necessary for providing answers to all the legitimate questions.", "Därför har miljömyndigheterna inte ännu haft tillfälle att analysera och utvärdera alla de tekniska uppgifter som krävs för att svara på alla befogade frågor."
"It is difficult to accept that in providing a full and factual answer on the whole procedure of state aids, the Commission should be accused of providing non-answers.", "Det är svårt att acceptera att kommissionen, när den skall ge ett fullständigt och sakligt svar om hela förfarandet när det gäller statligt bistånd, blir anklagad för att ge icke-svar."
"It deals with the psychological effects that has on those children as they grow older.", "Det berör vilka psykologiska effekter detta får på dessa barn när de blir äldre."
"I had emphasised the fact that this attitude has had devastating psychological effects.", "Jag har tidigare understrukit att denna inställning har haft förödande psykologiska konsekvenser."
"But the harmful psychological effects that abortions have on women are deliberately and constantly concealed.", "Dessa negativa psykologiska följder för kvinnor som har gjort abort förtigs dock alltid medvetet."
"This also leads to major family tragedies and has severe psychological effects on many children.", "Detta leder också till allvarliga familjetragedier och får allvarliga psykologiska konsekvenser för många barn."
"Moreover, the psychological after-effects on the population that first believed it to be a terrorist attack are also important.", "Dessutom är de psykologiska efterverkningarna för invånarna, som först trodde att det var en terroristattack, också viktiga."
"Examples of these are disturbed night rest or psychological effects of noise nuisance, which may be financially compensated.", "Exempel på detta är störd nattro eller psykiska effekter till följd av bullerstörningar, som visserligen eventuellt kan kompenseras med finansiella medel."
"As there is still a lack of information on the socio-psychological effects of advertising on the consumer, it is necessary to take action to research these effects.", "Eftersom det fortfarande råder brist på information om de sociopsykologiska effekterna av reklam på konsumenterna är det nödvändigt att vidta åtgärder för att undersöka dessa effekter."
"As Mr Blokland already indicated, night rest, psychological effects and some of the environmental effects are difficult to verify, and there is room for improvement in this respect.", "Liksom Blokland redan har påpekat är nattro, psykiska effekter, och vissa av miljöeffekterna är svåra att belägga, och i detta hänseende finns det utrymme för förbättringar."
"The last decades of the twentieth century have been punctuated by a series of food scares.", "De sista decennierna av nittonhundratalet har präglats av en rad livsmedelsrisker."
"In the Western Balkans, however, this period was not only punctuated by peace, but also by extremely cruel and destructive wars.", "På västra Balkan bröts dock denna period av fred, av extremt grymma och destruktiva krig."
"Ever since the Second World War, history has been punctuated by unilateral pre-emptive interventions by the great powers.", "Sedan andra världskriget har historien präglats av supermakternas ensidiga ingripanden i avskräckande syfte."
"We must, however, make sure that our common history is punctuated by more events like the recent Samara summit.", "Vi måste dock se till att vår gemensamma historia präglas av fler händelser som det toppmöte som nyligen ägde rum i Samara."
"The Swedish presidency will be marked mainly by the provocative police actions that punctuated the Gothenburg summit.", "Det svenska ordförandeskapet kommer framför allt att kännetecknas av polisprovokationerna som dekorerade toppmötet i Göteborg."
"The year since Parliament's last report on human rights has been punctuated with important institutional and policy developments.", "Det år som förflutit sedan parlamentets senaste betänkande om mänskliga rättigheter har betonats av en viktig institutionell och politisk utveckling."
"The year since Parliament' s last report on human rights has been punctuated with important institutional and policy developments.", "Det år som förflutit sedan parlamentets senaste betänkande om mänskliga rättigheter har betonats av en viktig institutionell och politisk utveckling."
"The alternative forum also encouraged interparliamentary contacts, punctuated by a meeting at the South Korean National Assembly on 18 October.", "Det alternativa forumet underlättade de interparlamentariska kontakterna, som betonades av ett möte i den sydkoreanska nationalförsamlingen den 18 oktober."
"It's punctuated by three quick anecdotes, which show how accidental encounters with strange noises gave us some of the most important information we have about space.", "Den understryks av tre korta anekdoter som visar hur oavsiktliga möten med konstiga ljud gav oss någon av den viktigaste informationen vi har om rymden."
"Mr President, the Laeken Declaration is punctuated by question marks: a sign of the ambiguity which currently exists in relation to the future of the European Union.", "Herr talman! Laekenförklaringen innehåller en hel del frågetecken: ett tecken på den otydlighet som redan finns när det gäller Europeiska unionens framtid."
"At the end of an eventful trial punctuated with incidents, the Court of First Instance in Tunis confirmed the original verdict and ordered the accused Hamma Hammami to be imprisoned.", "Mot slutet av en process som utmärktes av oväntade händelser hade Tunis förstainstansrätt avkunnat den första domen som innebär fängelsestraff för den åtalade."
"Our objective is to pave the way towards a European wide consensus on a social vision for the 21st century:", "Vårt mål är att bana vägen för ett samförstånd i hela Europa, ett samförstånd om en social vision för 2000-talet:"
"This is the only way to pave the way towards better, more realistic relations in the interests of both parties.", "Det är det enda sättet att bereda väg för bättre och mer realistiska relationer som ligger i båda parters intresse."
"The two-stage model will pave the way towards this new market.", "Denna modell i två etapper kommer att bereda vägen för en ny marknad."
"We must be fully aware that corruptible representatives always pave the way towards the destabilisation of a constitutional state.", "Vi bör vara medvetna om att destabiliseringen av rättsstaten alltid sker genom att dess representanter blir korrumperade."
"We will closely watch the steps that are taken and we hope they will pave the way towards democratic, free and fair elections later in the year.", "Vi kommer att noga följa de åtgärder som vidtas och hoppas att de bereder väg för demokratiska, fria och rättvisa val senare under året."
"He plays with dangerous notions such as the detection of possible racist, xenophobic or nationalist tendencies which could pave the way towards an implausible inquisition of thoughts.", "Han manipulerar farliga begrepp såsom att spåra eventuella rasistiska, främlingsfientliga eller nationalistiska tendenser, vilket kan öppna dörren för en osannolik rannsakning av tanken."
"Thus, I hope that both Korea and the EU will be able to overcome today's economic downturn through mutual cooperation and jointly pave the way towards a new and common prosperity.", "Jag hoppas således att både Korea och EU, genom ömsesidigt samarbete, skall kunna övervinna den ekonomiska nedgång vi just nu är med om och tillsammans bana väg för ett nytt och gemensamt välstånd."
"Using SSL provides greater privacy and security than an unencrypted web connection.", "SSL ger större sekretess och säkerhet än en okrypterad anslutning."
"As always, Google takes the protection of your privacy and security seriously.", "Google sätter alltid din integritet och säkerhet i första rummet."
"Although SSL offers clear privacy and security benefits, it does not protect against all attacks.", "SSL ger tydliga fördelar för sekretess och säkerhet men det skyddar inte mot alla attacker."
"Finally, we reiterate our concern to preserve a balance between the protection of privacy and security.", "Vi upprepar slutligen att vi är angelägna om att balansen mellan säkerhet och skydd av privatlivet behålls."
"Finally, we reiterate our concern to preserve a balance between the protection of privacy and security.", "Vi står eventuellt inför ett kränkande av avtalet mellan EU och Förenta staterna, så det brådskar med svaret."
"This is not a question between privacy against security.", "Det är inte en fråga om integritet mot säkerhet."
"The approach taken to weigh the two sometimes contradictory needs of privacy and security is essentially sound.", "Den strategi som valts att väga samman två på vissa sätt motstridiga behov, privatliv och säkerhet, är i grunden hälsosam."
"Improvement is therefore necessary, and we are also improving the protection of privacy and security, as in the case of junk mail.", "Det krävs förbättringar och vi håller också på att förbättra skyddet för personuppgifter och säkerheten, till exempel i fråga om skräppost."
"Read on to learn more about conversions, why you'd want to use conversion tracking, how it works, and how we protect your customers' privacy and security.", "Fortsätt att läsa mer om omvandlingar, varför det är bra att använda omvandlingsspårning, hur det fungerar och hur vi skyddar dina kunders sekretess."
"Our action must be founded on privacy and security, paying constant attention to the fundamental right to education and access to information systems.", "Våra åtgärder måste grundas på integritet och säkerhet, och vi måste ständigt vara uppmärksamma på den grundläggande rätten till utbildning och tillgång till informationssystem."
"This is also discussed by Mr Lambrinidis in his report, in which he states that our main task is to find a suitable balance between privacy and security.", "Detta diskuteras också av Stavros Lambrinidis i hans betänkande, där han konstaterar att vår huvuduppgift är att hitta en lämplig balans mellan personlig integritet och säkerhet."
". - Madam President, the Commission is concerned about privacy and security problems in the information society, in particular when these put consumers at risk.", "kommissionens vice ordförande. - (EN) Fru talman! Kommissionen är bekymrad över sekretess- och säkerhetsproblemen i informationssamhället, särskilt när konsumenternas säkerhet äventyras."
"These set out a principled position on a number of crucial issues in a clear and determined manner.", "I slutsatserna beskrivs en principiell ståndpunkt i ett antal viktiga frågor på ett tydligt och beslutsamt sätt."
"I think this is clearly a principled position.", "Jag anser att detta är en mycket tydlig principiell ståndpunkt."
"I would like to congratulate the governments of the United Kingdom and the Netherlands for their principled position.", "Jag vill gratulera de brittiska och nederländska regeringarna till deras principfasta ståndpunkt."
"When I received Dr Saeed Jalili, the Iranian chief negotiator, last week, I reminded him of our principled position.", "När jag i förra veckan tog emot Irans chefsförhandlare Dr Saeed Jalili påminde jag honom om vår principiella ståndpunkt."
"This is the principled position that the European Union adopted in Seattle with regard to its trading partners and competitors within the World Trade Organisation.", "Det är denna principinställning som antogs i Seattle av Europeiska unionen inför sina handelspartner och konkurrenter inom Världshandelsorganisationen."
"We are taking a real step forward and I hope that the parliamentary vote will not come to blows!", "Vi tar ett verkligt steg framåt och nu hoppas jag bara att det inte blir bråk under omröstningen!"
"Mr President, ladies and gentlemen, I am delighted with the result of the parliamentary vote.", "Jag gläder mig åt resultatet av parlamentets omröstning."
"A pro forma parliamentary vote was taken, but that was all.", "En parlamentarisk votering pro forma genomfördes, det var allt."
"Appointments to parliamentary committees (vote): see Minutes", "Utnämningar i parlamentsutskotten (omröstning): se protokollet"
"ACP-EU Joint Parliamentary Assembly (vote)", "Den gemensamma parlamentariska församlingens AVS-EU arbete (2006) (omröstning)"
"However, after today's parliamentary vote, we cannot fail to send a powerful signal to the Council and Commission.", "Efter dagens omröstning i parlamentet skickar vi dock en stark signal till rådet och kommissionen."
"Ratification procedure: Parliamentary vote", "Ratificeringsförfarande: Parlamentsomröstning"
"In the Solomon Islands, a sham parliamentary vote brought a new Prime Minister to power, elected by the power of the gun.", "På Salomonöarna har en låtsasomröstning i parlamentet fört en ny premiärminister till makten, som valdes med gevär."
"I shall therefore be calling on my parliamentary colleagues to vote in favour of the motion of censure against you and the Commission.", "Jag kommer att uppmana mina kollegor i parlamentet att rösta för en misstroendeförklaring mot er och kommissionen."
"In fact I hope tomorrow we can say we will have the revised Services Directive, to be approved by a parliamentary vote.", "Faktum är att jag hoppas att i morgon kunna säga att det reviderade tjänstedirektivet återstår, som ska godkännas genom omröstning i parlamentet."
"Proposal for a decision on the setting up and numerical strength of the Delegation to the CARIFORUM-EC Parliamentary Committee (vote)", "Förslag till beslut om inrättande av delegationen till parlamentarikerkommittén Cariforum-EG samt sammansättningen av denna (omröstning)"
"Normally, it is customary in parliamentary circles to vote on the most in-depth proposal first and then to move on to the less in-depth.", "I normalfallet är det brukligt i parlamentariska kretsar att först rösta om det förslag som är det mest långtgående och därefter om det som inte är lika långtgående."
"It is customary in parliamentary assemblies to vote first, as Mr Capoulas Santos requested, on the amendments furthest removed from the initial text.", "Det är i parlamentariska församlingar brukligt att, som Luis Manuel Capoulas Santos begärde, först rösta om de ändringsförslag som avviker mest från den ursprungliga texten."
"At a time when the draft constitutional treaty is being voted on by referendum or parliamentary vote, we know how essential this information for citizens is.", "När man nu röstar om utkastet till konstitutionsfördrag genom folkomröstning eller i de nationella parlamenten vet vi hur viktigt det är med information till medborgarna."
"It was up to each individual Member State to decide according to its own constitutional rules if this ratification would be done through a referendum or through a parliamentary vote.", "Om detta skulle göras genom en folkomröstning eller en parlamentsomröstning bestämde medlemsländerna själva i enlighet med sina konstitutionella bestämmelser."
"The Council maintained a provocative position, as we heard in this House earlier, by ignoring the parliamentary vote, which was then repeated at second reading, years later.", "Rådet agerade på ett provokativt sätt, vilket vi hörde i parlamentet tidigare, genom att ignorera den omröstning i parlamentet som sedan upprepades vid andra behandlingen flera år senare."
"We are coming to this parliamentary vote in the comforting position of having received very substantial support for the directive at the vote in the Committee on Legal Affairs.", "Vi befinner oss i den bekväma positionen under denna parlamentsomröstning att vi nyligen fått ett mycket betydelsefullt stöd för direktivet vid omröstningen i utskottet för rättsliga frågor."
"It has been killed off by this unbelievable procedure of having a treaty that affects the future of our peoples approved by means of a parliamentary vote, excluding the people and citizens.", "Allt detta beror på det otroliga förfarandet att ett fördrag som påverkar våra folks framtid ska godkännas genom en parlamentarisk omröstning, som utestänger folket och medborgarna."
"more_vert open_in_new Link to statmt.org warning Request revision We should be prudent with their money, and this is not a prudent budget.", "expand_more Vi borde vara försiktiga med deras pengar, och detta är inte en försiktig budget."
"more_vert open_in_new Link to statmt.org warning Request revision So I would have thought that a prudent Member State would have taken more stringent control measures.", "expand_more Därför hade jag trott att en förståndig medlemsstat skulle ha vidtagit strängare kontrollåtgärder."
"more_vert open_in_new Link to statmt.org warning Request revision We had agreed to develop another prudent procedure for licensing.", "expand_more Vi hade kommit överens om att ta fram ett annat välbetänkt tillståndsförfarande."
"more_vert open_in_new Link to statmt.org warning Request revision Consequently, a policy that is prudent with public finances is a good policy for people who are poor or living on small margins.", "aktsam om de offentliga finanserna en bra politik för människor som är fattiga eller som lever med små marginaler."
"more_vert open_in_new Link to statmt.org warning Request revision After the attempt to rely on a consortium of private companies had failed, a prudent solution was eventually reached.", "expand_more Efter att försöket med att förlita sig på ett konsortium av privata företag havererat nådde man till slut fram till en väl genomtänkt lösning."
"I think that we will need to be very prudent in the management of some dossiers.", "Jag tror att vi får vara mycket försiktiga vid handläggningen av vissa ärenden."
"We must therefore be prudent and fair and try to treat everyone as they deserve.", "Därför måste vi vara försiktiga och rättvisa och behandla var och en för det den är."
"Given the uncertainties that remain in this area, we must be as prudent as we can!", "Den osäkerhet som kvarstår på området tvingar oss till största möjligt försiktighet!"
"We need, however, to be prudent, since it would need the support of the Member States.", "Vi måste dock vara försiktiga eftersom det skulle behöva medlemsstaternas stöd."
"We consider it to be a prudent budget; we consider it to be a reasonable budget.", "Vi anser det vara en klok budget; vi anser det vara en förnuftig budget."
"I call on you at a time of economic crisis to ensure that we remain prudent and wise.", "I en tid med ekonomisk kris uppmanar jag er att se till att vi bevarar vårt förnuft."
"We have to be more prudent with our responsibilities for the Community budget.", "Vi måste vara mer förtänksamma med vårt ansvar för gemenskapens budget."
"When possible and prudent, we stand ready to continue and expand cooperation in the future.", "När det är möjligt och tillrådligt är vi redo att utöka samarbetet i framtiden."
"We are prudent and we are restrained but, above all, we are objective and dispassionate.", "Vi är försiktiga och vi är behärskade, men framför allt är vi objektiva och opartiska."
"This is something we should appreciate, and we should offer prudent support for this process.", "Ett sådant klimat kan man inte ha i en demokrati, och vi måste vara uppmärksamma."
"The Community’s expansion in that direction should therefore be prudent and responsible.", "Unionens utvidgning i denna riktning bör därför vara klok och ansvarsfull."
"Mr President, as in other areas of human immigration, we must always be prudent.", "Herr talman! Som när det gäller andra frågor om människors invandring måste vi vara försiktiga."
"The Community’ s expansion in that direction should therefore be prudent and responsible.", "Unionens utvidgning i denna riktning bör därför vara klok och ansvarsfull."
"Would it not be prudent to see how it works before we use a sledgehammer to crack a nut?", "Är det inte bäst att vänta och se hur det fungerar innan vi slår på stora krigstrumman?"
"This also depends on our actions, which are not always very coherent or prudent.", "Detta beror också på våra handlingar, som inte alltid är så väldigt sammanhängande och välbetänkta."
"If that is the case I believe it would be prudent and logical for us to await the final result.", "Om det är så anser jag i stället att det är logiskt att vi väntar på slutresultatet."
"I hope that the European Central Bank will act in a balanced, prudent manner for our economy.", "Jag hoppas att centralbanken kommer att agera balanserat och försiktigt för vår ekonomi."
"It was, however, a prudent decision that was taken on Turkey last week in the European Council.", "Men det var ett klokt beslut Europeiska rådet fattade i förra veckan angående Turkiet."
"Let us therefore be prudent, rather than naive or complicit in a further genocide.", "Låt oss därför vara försiktiga, snarare än naiva eller medbrottslingar vid ytterligare ett folkmord."
"The most effective intervention arises only from the prudent use of the best information.", "Insatserna blir mest effektiva om man använder den bästa informationen på ett förnuftigt sätt."
"P. D. and get clearances.", "Ring L. A. P. D. och skaffa tillstånd."
"The local P. D. has been alerted.", "Den lokala polisen är informerad."
"<p> PhD Anne Engström p>", "Fil. dr Anne Engström"
"The local P. D. has our man.", "Polisen har vår man."
"P. D. Aviation.", "Detta är polisen!"
"Bay City P. D.!", "Bay City-polisen!"
