//Sentences
"All the Commission's DGs are involved, all the various EP Committees are involved ...", "Alla generaldirektorat från kommissionen är inblandade, och alla utskott i parlamentet ..."
"I think we must look in detail at that problem, and we need also better coordination between DGs on this issue.", "Jag tror att vi måste se detaljerat på problemet och vi behöver också bättre samordning mellan generaldirektoraten i denna fråga."
"Areas of special consideration under Natura 2000 fall under the competences of various DGs in the Commission.", "Områden som kräver särskild uppmärksamhet inom ramen för Natura 2000 tillhör befogenheterna hos olika generaldirektorat i kommissionen."
"The consequences only for the Commission will be a loss of close to 2000 posts, which means close to four DGs.", "Detta kommer enbart för kommissionens del att innebära att närmare 2 000 tjänster, vilket motsvarar fyra generaldirektorat, försvinner."
"Will we see significantly more resources for auditing within the DGs in cooperation with the internal audit service?", "Kommer vi att få se betydligt mer resurser till revisionen inom generaldirektoraten i samarbete med den interna revisionstjänsten?"
"The Commission proposes the redeployment of about 600 staff between its DGs to serve priorities other than enlargement-related needs.", "Kommissionen föreslår att 600 anställda omplaceras mellan generaldirektoraten för att arbeta med andra prioriteringar än utvidgningen."
"I think it is very healthy that individual DGs report to the various committees on their expected expenses for a given year.", "Jag tycker att det är mycket bra att enskilda generaldirektorat rapporterar till de olika utskotten om sina förväntade utgifter för ett visst år."
"The Commission proposes the redeployment of about 600 staff between its DGs to serve priorities other than enlargement-related needs.", "När det gäller valuta för pengarna är jag för en bredare, mer makroekonomisk syn på bedömningen av hur gemenskapens finansiella medel används."
"I am disappointed that there appears to be a dispute between two Commission DGs as to who should fund this programme in the future.", "Jag är besviken över att det verkar råda en konflikt mellan två av kommissionens generaldirektorat om vem som bör finansiera programmet i framtiden."
"First, there is a difference between synthetic DHA and DHA in breast milk.", "För det första är det skillnad på syntetisk DHA och den DHA som finns i bröstmjölk."
"However, the synthesised DHA which is added to formula milk is different.", "Den syntetiserade DHA som tillsätts i mjölkersättning är dock annorlunda."
"DHA is naturally found in breast milk, and it helps the development of children's eyes.", "DHA finns naturligt i bröstmjölk och bidrar till att utveckla barns syn."
"But the synthesised DHA added to formula milk is different.", "Den syntetiserade DHA som tillsätts i mjölkersättning är dock annorlunda."
"It is not about claiming superiority for formula enriched with DHA over breast milk.", "Det handlar inte om att hävda att ersättningar som berikats med DHA är bättre än bröstmjölk, inte alls."
"This motion for a resolution questioned the importance of the ingredient known as DHA for children and their development.", "Detta förslag om en resolution ifrågasatte hur viktig en ingrediens som kallas DHA är för barn och deras utveckling."
"Is dhá chóras pholaitiúla sinn, le haidhm láidir a chinntíonn caomhnú agus cur chun cinn an daonlathais ar fud an domhain.", "Is dhá chóras pholaitiúla sinn, le haidhm láidir a chinntíonn caomhnú agus cur chun cinn an daonlathais ar fud an domhain."
"I want to mention here that DHA is an omega 3 fatty acid which is present in breast milk and has a positive effect on children's eyesight.", "Här vill jag nämna att DHA är en omega 3-fettsyra som finns i bröstmjölk och har en positiv effekt på barns syn."
"In breast milk, DHA is accompanied by other co-enzymes and co-factors, which jointly produce this effect on visual development.", "I bröstmjölk finns DHA jämte andra koenzymer och kofaktorer, och gemensamt åstadkommer de denna påverkan på synutvecklingen."
"It is certainly true that the presence of DHA in breast milk has a positive impact on the visual development of infants up to 12 months.", "Det är sant att DHA i bröstmjölk har en positiv påverkan på synutvecklingen hos spädbarn upp till 12 månaders ålder."
"Docosahexaenoic acid (DHA) is found in breast milk, where it contributes to normal visual development in children aged up to 12 months.", "Dokosahexaensyra (DHA) förekommer i bröstmjölk och bidrar till normal synutveckling hos spädbarn upp till 12 månaders ålder."
"However, this does not automatically mean that synthesised DHA, included in other forms of milk for infants, has the same effect.", "Hur som helst innebär detta inte automatiskt att syntetiserad DHA, som ingår i andra sorters mjölk för spädbarn, har samma effekt."
"This motion aimed, in particular, to deny the fact that the consumer would be informed about DHA, on the product label, for example.", "Detta förslag syftade specifikt till att förneka det faktum att konsumenten skulle få information om DHA, till exempel på produktetiketten."
"At the moment, there is no consensus among the scientific community on the positive effects that DHA fortified milk formulae have on infants.", "I dagsläget finns ingen enighet i forskningsvärlden om de positiva effekter som DHA-berikade mjölkersättningsprodukter har på spädbarn."
"The delegation of the Dutch Party for Freedom (PVV) voted in favour of this resolution, because there are clear doubts about the health claims made for DHA.", "Nederländska Partij voor de Vrijheid (PVV) röstade för denna resolution, eftersom det finns tydliga tvivel kring hälsopåståendena om DHA."
"In fact, there is no scientific evidence to show that adding docosahexaenoic acid (DHA) to milk substitutes improves visual development.", "I själva verket finns det ingen vetenskaplig bevisning för att tillsats av dokosahexaensyra (DHA) i mjölkersättningsprodukter hjälper till att förbättra synen."
"There is no clear scientific consensus on the effects of formula fortified with DHA on infants, which runs contrary to Articles 5 and 6 of the regulation in question.", "Det finns ingen vetenskaplig enighet om effekterna av mjölkersättning som har berikats med DHA på spädbarn, vilket motsäger artiklarna 5 och 6 i förordningen i fråga."
"The authorised claim is about DHA, a fatty acid found naturally in breast milk, which, in breast milk, is known to be important in the development of babies' vision.", "Det godkända påståendet handlar om DHA, en fettsyra som finns naturligt i bröstmjölk, och som i bröstmjölk har bekräftats vara viktigt för utvecklingen av synförmågan hos spädbarn."
"DHA seeks to replace the fatty acids in breast milk, which have been found to help the child's eyes develop and which at least some manufacturers of the substitute have added to their products.", "DHA ska ersätta de fettsyror i bröstmjölk som har visat sig hjälpa barns ögon att utvecklas, och som åtminstone vissa tillverkare har tillsatt i sina produkter."
"However, the generally accepted scientific evidence show that the effects of this same synthesised DHA added to formula milk and other foods for infants are not clear.", "Dock visar den allmänt godtagna vetenskapliga bevisningen att det är oklart vilken påverkan detta syntetiserade DHA har när det tillsätts i mjölkersättning och andra livsmedel för spädbarn."
"But do you agree with the DHS assessment?", "Men håller ni med om den bedömning som ministeriet för inre säkerhet gör?"
"And it is the DHS that makes it possible to know this. ~~~ And we had an increase in income.", "Sedan 1950, under de senaste femtio åren, har vi haft ett fall i barnadödlighet, och det är DHS som gör det möjligt att veta detta."
"Finally, I checked the DHS [Department of Homeland Security] website today for redress inquiries.", "Förenta staternas Department of Homeland Security (DHS) har en webbplats och där letade jag tidigare i dag efter information om hur man överklagar."
"This relies specifically on the notion that the DHS will continue to comply with its commitments made in 2004.", "Detta bygger på den uttalade förutsättningen att departementet för inrikes säkerhet ska fortsätta att iaktta de förpliktelser som ingicks 2004."
"more_vert open_in_new Link to TED warning Request revision Then we set out to create an open source, DIY, do it yourself version that anyone can build and maintain at a fraction of the cost.", "DIY, gör-det-själv versioner som vem som helst kan bygga och upprätthålla för en bråkdel av kostnaden."
"more_vert open_in_new Link to TED warning Request revision Then we set out to create an open source, DIY, do it yourself version that anyone can build and maintain at a fraction of the cost.", "DIY, gör-det-själv versioner som vem som helst kan bygga och upprätthålla för en bråkdel av kostnaden."
"OLAF is not one of your broadcasts for DIY enthusiasts, along the lines of "How can we build a model railway?"", "OLAF är inte någon hobbyförsändelse enligt mottot "Hur bygger jag en modelljärnväg?""
"OLAF is not one of your broadcasts for DIY enthusiasts, along the lines of " How can we build a model railway?", "OLAF är inte någon hobbyförsändelse enligt mottot " Hur bygger jag en modelljärnväg? ""
"Amendment No 4 calls for solvents used by painters in the building trade or for DIY to be included since these solvents account for 30 % of total emissions.", "I ändringsförslag 4 krävs att lösningsmedel som används av målare och enskilda för hobbybruk skall omfattas, dessa motsvarar nämligen 30 procent av utsläppen."
"A greater distribution of the means of production, environmentally sound supply chains, and a newly relevant DIY maker culture can hope to transcend artificial scarcity.", "En större distribution av produktionsmedel, miljövänliga leveranskedjor, och en växande DIY-kultur kan förhoppningsvis besegra den konstlade resursbristen."
"As every DIY enthusiast knows, though, IKEA's blueprints are hopelessly crude: the IKEA method, applied to international finance, runs the risk of being inadequate.", "Men som varje hemmafixare vet är IKEA:s planskisser hopplöst obearbetade: det finns risk för att IKEA-metoden är otillräcklig för användning på den internationella ekonomin."
"Box 744 Ellebjergvej 50 DK – 2450 Copenhagen Tel: +45-3618.60.00", "Box 744 Ellebjergvej 50 DK – 2450 Copenhagen Tel: +45-3618.60.00"
"DT-350, DK-400 heavy water pressure vessel reactors;", "tungvattenreaktorer med tryckbehållare DT-350 och DK-400,"
"Mobilisation of the European Globalisation Adjustment Fund (application EGF/2010/017 DK/Midtjylland Machinery from Denmark) (", "Utnyttjande av Europeiska fonden för justering för globaliseringseffekter (ansökan EGF/2010/017 DK/Midtjylland Machinery från Danmark) ("
"Udenrigsministeriet Danish Ministry of Foreign Affairs Asiatisk Plads 2 DK - 1448 København K Tel.: +45 33 92 00 00 E-mail: um[at]um.dk", "Udenrigsministeriet Danish Ministry of Foreign Affairs Asiatisk Plads 2 DK - 1448 København K Tel.: +45 33 92 00 00 E-mail: um[at]um.dk"
"Skatteministeriet Danish ministry of taxation Nicolai Eigtveds Gade 28 DK - 1402 København K Tel.: + 45 33 92 33 92 E-mail: skm[at]skm.dk", "Skatteministeriet Danish ministry of taxation Nicolai Eigtveds Gade 28 DK - 1402 København K Tel.: + 45 33 92 33 92 E-mail: skm[at]skm.dk"
"Email: dcaa[at]slv.dk", "Email: dcaa[at]slv.dk"
"Contact points Pensionsstyrelsen The Danish Pensions Agency Njalsgade 72 C DK-2300 København S Tel.: +45 33 95 50 00 E-mail Website", "Språkval"
"Dansk Forening for International Motorkøretøjsforsikring Danish Motor Insurers' Bureau Amaliegade 10 DK - 1256 Kobenhavn K Tel.: + 420 221 413 111 E-mail: dfim[at]forsikringogpension.dk", "Dansk Forening for International Motorkøretøjsforsikring Danish Motor Insurers' Bureau Amaliegade 10 DK - 1256 Kobenhavn K Tel.: + 420 221 413 111 E-mail: dfim[at]forsikringogpension.dk"
"My little country, Denmark, will be paying almost DKK 20 billion to the EU this year.", "Mitt lilla land, Danmark, betalar i år närmare 20 miljarder danska kronor till EU."
"He received DKK 1.3 billion and was the biggest Danish beneficiary of EU funds.", "Han mottog 1,3 miljarder danska kronor och var den störste danske mottagaren av EU-medel."
"The Danish contribution will top DKK 15 billion by the turn of the millennium.", "Den danska andelen kommer att ligga omkring 15 miljarder kronor vid ingången till det nya årtusendet."
"A typical family with a father, mother and two children will be paying DKK 11 000 on an annual basis.", "En typisk familj med far, mor och två barn skall betala 11 000 kronor i årsavgift."
"We want to know how DKK 4 to 5 billion can disappear in the accounts.", "Vi vill veta hur 4-5 miljarder kronor kan försvinna i räkenskaperna."
"Finally, the Danish Liberal Party voted against allocating DKK 300 million to a European dairy fund.", "Slutligen röstade Danmarks liberala parti emot att anslå 300 miljoner danska kronor till en europeisk mejerifond."
"Jabra generated revenue of over DKK 2 billion, a far cry from the DKK 100 million revenue the company had in 1987.", "Jabra genererade intäkter på över 2 miljarder DKK, långt ifrån de 100 miljoner DKK i intäkter företaget hade1987."
"East European building firms currently owe some DKK 15.5 million to workers they employed in Denmark.", "Östeuropeiska byggföretag är för närvarande skyldiga arbetstagare som har varit anställda i Danmark uppemot 15,5 miljoner danska kronor."
"The total annual turnover is around EUR 42 billion, or DKK 300 billion, according to the Commission's estimates.", "Den totala årliga omsättningen är på ungefär 42 miljarder euro, eller 300 miljarder danska kronor, enligt kommissionens uppskattningar."
"The project is an expensive business, costing around DKK 30 billion, but one that Denmark could not have carried off alone.", "Med en kostnad på omkring 30 miljarder danska kronor är projektet är en dyr affär som Danmark inte skulle ha kunnat klara av självt."
"The Development Fund has a surplus of DKK 7 500 million, so why does the EU hesitate to act while the coffee growers go hungry?", "Utvecklingsfonden har 7,5 miljarder danska kronor i överskott, så varför tvekar Europeiska unionen att agera, när kaffeodlarna svälter?"
"Funds of up to DKK 1 million can be awarded.", "Programmet ska vara attraktivt både för nordiska och icke-nordiska studenter. Medel upp till 1 miljon DKK kan beviljas. Sista ansökningsdag: 2012-03-01"
"- and for the reimbursement of general expenses (at present approximately DKK 26 000 per month) still to be paid out tax-free without having to be accounted for.", "- ersättning för allmänna omkostnader (för närvarande cirka 26 000 danska kronor per månad) fortfarande skall betalas ut skattefritt och utan redovisning."
"- and for the reimbursement of general expenses (at present approximately DKK 26 000 per month) still to be paid out tax-free without having to be accounted for.", "- ersättning för allmänna omkostnader (för närvarande cirka 26 000 danska kronor per månad) fortfarande skall betalas ut skattefritt och utan redovisning."
"Since 2008 alone, organised gangs and criminal networks have fraudulently obtained more than DKK 37 billion on the European market in CO2 quota trading.", "Bara sedan 2008 har organiserade ligor och kriminella nätverk förskingrat över 37 miljarder kronor på den europeiska klimatmarknaden för handel med CO2-kvoter."
"Monnet spoke, for example, of a small, practical Commission and not of an uncontrolled democratic monster with fraud and misappropriation amounting to perhaps DKK 60 billion per year.", "Monnet beskrev till exempel en liten praktisk kommission och inte ett okontrollerat demokratiskt monster med bedrägeri och förskingring som kanske uppgår till 60 miljarder danska kronor per år."
"The situation was particularly bad in connection with the Commission's management of the money in the Structural Funds, where nearly EUR 4 billion (almost DKK 30 million) was paid out incorrectly.", "Situationen var särskilt dålig när det gäller kommissionens hantering av pengarna i strukturfonderna, där nästan 4 miljarder euro (nästan 30 miljoner danska kronor) utbetalades felaktigt."
"And the DMCA goes back to the Audio Home Recording Act, which horrified those industries.", "Och DMCA går tillbaka till Audio Home Recording Act, vilket skrämde den här branschen."
"For more information or to file a DMCA request, please visit our copyright procedure.", "Om du vill ha mer information eller skicka en DMCA-begäran besöker du vår sida för upphovsrättsprocesser."
"Unlike requests to remove spam or personal information, DMCA requests must come from the content owner.", "Till skillnad från en begäran om att ta bort skräppost eller personlig information måste en DMCA-anmälan komma från innehållsägaren själv."
"If you believe the content should be removed from Google's index because of a copyright infringement, you should file a DMCA takedown request.", "Om du anser att innehållet ska tas bort från Googles index på grund av ett upphovsrättsintrång gör du en DMCA-anmälan om borttagning."
"But the main thrust of the DMCA was that it was legal to sell you uncopyable digital material -- except that there's no such things as uncopyable digital material.", "Men huvuddelen av DMCA var att det var lagligt att sälja okopierbart material - bara det att det inte finns något okopierbart material."
"Now the DMCA had, and is continuing to have, a lot of complicated effects, but in this one domain, limiting sharing, it has mostly not worked.", "Men DMCA hade och fortsätter att ha flera komplicerade sidoeffekter, men i förhållande till sitt huvudmål, att begränsa kopiering och delning, har det till stor del inte fungerat."
"So in order to fake the ability to sell uncopyable bits, the DMCA also made it legal to force you to use systems that broke the copying function of your devices.", "Så för att bluffa förmågan att kunna sälja okopierbara bits så gjorde DMCA det också lagligt att kräva att du använder system som förstörde kopieringsfunktionen i dina apparater."
"The DMCA marks the moment when the media industries gave up on the legal system of distinguishing between legal and illegal copying and simply tried to prevent copying through technical means.", "DMCA är punkten då mediabranschen gav upp rättssystemet av att särskilja mellan laglig och olaglig kopiering och helt enkelt försökte förhindra all kopiering genom tekniska lösningar."
"Turns out the secret has to do with a form at the DMV.", "Det visar sig att hemligheten ligger i formuläret på trafikverket."
"When you walk into the DMV, the person who designed the form will have a huge influence on what you'll end up doing.", "När du går in på trafikverket, så har människan som designat formuläret stort inflytande på vad du slutligen kommer göra."
"This is not the DMV, all right?", "Vi har inte hela dan på oss."
"I'm the messiah of the DMV.", "Är jag Vägverkets Messias."
"How many of you believe that if you went to renew your license tomorrow, and you went to the DMV, and you would encounter one of these forms, that it would actually change your own behavior?", "Hur många av er tänker att om du gick och förnyade ditt körkort imorgon, och gick till trafikverket, och du fyllde i ett formulär, att det faktiskt skulle förändra ditt eget beteende?"
"more_vert open_in_new Link to TED warning Request revision So we have discovered that dinosaur DNA, and all DNA, just breaks down too fast.", "expand_more Så vi har upptäckt att dinosaurie-DNA, och all DNA, helt enkelt bryts ner för snabbt."
"more_vert open_in_new Link to TED warning Request revision Så vi har upptäckt att dinosaurie-DNA, och all DNA, helt enkelt bryts ner för snabbt.", "expand_more So we have discovered that dinosaur DNA, and all DNA, just breaks down too fast."
"Fortunately there is one free nation that has a sense of its own freedom in its DNA.", "Som tur är finns det en fri nation som har en verklig frihetskänsla i venerna."
"The essence of this is not just about the use of DNA databases.", "Mina kolleger har uttryckligen undvikit att nämna detta."
"We are told pesticides might disrupt DNA.", "Det brukar heta att bekämpningsmedel kan skada arvsmassan."
"GM is based on disrupting DNA.", "Vid genmodifiering är själva principen att arvsmassan skadas."
". ~~~ So I've joined a growing band of people that try to make molecular spells using DNA.", "Men problemet är att vi inte kan det maskinnära språket för proteiner; vi har inte någon kompilator för proteiner."
"On one body, which was found disfigured – allegedly one of the victims – no DNA test was carried out.", "I sin strävan att avlägsna så många människor som möjligt försätter regeringen offren i isolering, torterar dem och förvägrar dem rättshjälp."
"Since the advent of DNA testing and mobile communications of a world nature, we have available to us tools for good and for bad.", "En av mina sista uppgifter på inrikesdepartementet under 1990-talet var att tillsätta en granskningskommission för brottmål."
"And of course it's the DNA that counts, so here's all the A, T, Gs and Cs that make up your genetic code, and give you all your charming characteristics.", "Så här har du alla A,T, G och C som utgör din genetiska kod och som ger dig alla dina charmiga drag."
"The ultimate goal will become – or is already – the linking-up of the whole series of EU and national databases on personal habits, biometric information and probably, eventually, DNA.", "Men vad vi ser nu är osthyvelsmetoden, där varje nytt förslag tar bort lite mer av skyddet mot intrång i den personliga integriteten."
