//Sentences
"I always thought you had a little yen for your dad.", "Jag har alltid trott att du haft lite begär för din pappa."
"I cannot remember who voiced this opinion but I believe you noticed it, too.", "Jag kan inte minnas vem som gav röst åt åsikten, men jag tror att ni också lade märke till den."
"I cannot remember how big it was supposed to be, but it would be a certain percentage of the funds.", "Jag skulle vilja rikta er uppmärksamhet mot två punkter som ni kan reflektera över."
"This is probably my fault because I cannot remember whether I signed or not, but I was indeed present.", "Det var troligtvis mitt fel, jag minns inte om jag skrev på listan, men jag var här."
"I cannot remember how big it was supposed to be, but it would be a certain percentage of the funds.", "Jag kan inte minnas hur stor den skulle vara, men det skulle vara en viss andel av medlen."
"I cannot remember a time before you started telling that story.", "Jag kan inte minnas tiden före du började berätta."
"I cannot remember who gave the example of the head cook.", "Jag vet inte vem som tog upp exemplet med köksmästaren."
"I cannot remember even one case over recent years when aircraft were not delayed by a half-hour or an hour.", "Jag kan inte minnas ett enda tillfälle de senaste åren då flygavgången inte var en halvtimme eller en timme försenad."
"I cannot remember the address now, but it is a well-known public fact that that Office has been in existence for a year.", "Jag minns inte adressen nu, men det är offentligt och allmänt känt att detta kontor finns sedan ett år tillbaka."
"I cannot remember Mr Dell'Alba's question.", "Jag kommer inte ihåg Dell&#x02BC;Albas fråga."
"I cannot remember Mr Dell'Alba's question.", "Jag kommer inte ihåg DellʼAlbas fråga."
"I cannot remember.", "Jag kommer inte ihåg."
"I cannot remember ever, in all my years as a parliamentarian, seeing as abhorrent a text as that presented to us today by Mrs Swiebel.", "Under hela min tid som parlamentsledamot kan jag inte minnas att jag någonsin läst en lika befängd text som den som i dag föreläggs oss av Swiebel."
"(FR) I cannot remember ever, in all my years as a parliamentarian, seeing as abhorrent a text as that presented to us today by Mrs Swiebel.", "Under hela min tid som parlamentsledamot kan jag inte minnas att jag någonsin läst en lika befängd text som den som i dag föreläggs oss av Swiebel."
"In fact, in my 14 years in this House, I cannot remember a time when the groups spoke before the rapporteurs on any budget report.", "Jag kan inte under 14 år i kammaren - för att vara exakt - komma ihåg att grupperna vid något betänkande om budgeten har talat först och därefter föredraganden."
"However, recently in Ireland an Irish citizen won an international lottery of some EUR 100 million – I cannot remember the exact figure.", "Jag vill dock berätta om en irländsk medborgare på Irland som nyligen vann omkring 100 miljoner euro – jag minns inte den exakta summan – på ett internationellt lotteri."
"Mr Lange is right that the matter has simply been ignored for a long time, by all of us; I cannot remember Parliament ever urging us to make progress in the area.", "Vi har under lång tid helt enkelt blundat för denna fråga, det har för övrigt alla gjort. Jag kan inte erinra mig att parlamentet har satt press på oss här för att vi skall skynda oss."
"* I love to swim *", "Jag älskar att simma."
"I meet all kinds of people who don't think they're really good at anything.", "Jag träffar alla sorters människor som inte tror att de är riktigt bra på nåt."
"Mr President, in my profession, I meet people with health problems caused by noise.", "Herr talman! I mitt yrke träffar jag personer med hälsoproblem som orsakats av buller."
"I can also meet with you to discuss this so that I have an understanding of this matter.", "Jag kan även träffa er för att diskutera detta så att jag får ökad kunskap om frågan."
"On the second occasion I was able to meet with Aung San Suu Kyi clandestinely.", "Vid det andra tillfället kunde jag möta Aung San Suu Kyi i hemlighet."
"I hope we shall meet on numerous occasions when you have left Parliament.", "Jag hoppas att vi träffas vid många evenemang även efter det att du lämnat parlamentet."
"Whenever I meet the young and experienced in my country, I narrate these two experiences.", "Närhelst jag möter unga och erfarna i mitt land berättar jag om dessa två erfarenheter."
"In a few days, I will meet with Prime Minister Filat, in Luxembourg.", "Om några dagar kommer jag att träffa premiärminister Vlad Filat i Luxemburg."
"Every weekend, I meet business people who cannot get credit, particularly in my country.", "Varje helg träffar jag företagare som inte kan få kredit, framför allt inte i mitt land."
"President Barroso and I will meet with the Chinese Prime Minister.", "Ordförande Barroso och jag kommer att möta den kinesiska premiärministern."
"Women I meet throughout the Member States are also extremely weary.", "Kvinnor som jag träffar runtom i medlemsstaterna är också väldigt trötta."
"And I'm honored to meet you, the future leaders of Great Britain and this world.", "Under mitt besök har jag haft den stora äran att träffa några av Britanniens mest enastående kvinnor."
"(Laughter) I meet all kinds of people who don't enjoy what they do.", "(Skratt) Jag träffar alla sorters människor som inte gillar det de gör."
"(DE) It really is very good that we should meet again; I well remember our previous meetings.", "(DE) Det var verkligen mycket bra att vi träffades igen, jag minns våra tidigare möten väl."
"But I also meet people who love what they do and couldn't imagine doing anything else.", "Men jag träffar också folk som älskar det de gör och skulle inte kunna tänka sig göra något annat."
"I'll meet you in Elysium...... where an age of years is just a wink of time.", "Vi möts i Elysium...... där evigheten är ett kort ögonblick."
"Boy, if I could meet a hostess, we could open up our own place.", "Om jag bara kunde träffa en värdinna, så kunde vi öppnat ett eget ställe."
"I then called the reporter and told him I wanted to meet the mullahs.", "Jag ringde sedan reportern och sa att jag ville träffa mullorna."
"One has only to read the plan of the new team I was able to meet at the conclusion of our mission.", "Det räcker med att läsa planen från den nya grupp som jag träffade i slutet av vårt uppdrag."
"Many that I studied with and who are interested in skiing, I meet still several times a year.", "Många som jag läste med och som är skidintresserade, träffar jag fortfarande flera gånger per år."
"That is why I am very glad that one has been found, and I hope it will meet with your definitive agreement.", "Därför är jag mycket glad och hoppas att lösningen kommer att röstas igenom för gott."
"I reaffirm my belief that Bulgaria and Romania should become members of the EU.", ".– Jag upprepar min åsikt att Bulgarien och Rumänien bör bli medlemmar i EU."
"I therefore reaffirm everything I have said and I do not withdraw a single word.", "Därför står jag för allt jag har sagt, och tar inte tillbaka ett enda ord."
"I must reaffirm, with some force, that they have always had complete freedom.", "Jag vill med eftertryck än en gång bekräfta att dessa alltid har arbetat i full frihet."
"In this connection I reaffirm that border checks must be made stricter.", "I detta sammanhang vill jag ånyo bekräfta att gränskontrollerna måste skärpas."
"I can only reaffirm that this neither has been, nor will it be, discussed within the Council.", "Jag kan endast bekräfta att detta varken har eller kommer att diskuteras i rådet."
"To conclude, I would like to reaffirm that we need a common agricultural policy for Europe.", "Avslutningsvis vill jag återigen framhålla att vi behöver en gemensam jordbrukspolitik för EU."
"In conclusion, I reaffirm the need to strike at the root of these cases.", "Avslutningsvis vill jag återigen framhålla att det är nödvändigt att angripa dessa fall vid roten."
"I would like to reaffirm that this is high on the Slovenian Presidency's list of priorities.", "Jag vill återigen bekräfta att denna fråga är högt prioriterad av det slovenska ordförandeskapet."
"I reaffirm these commitments today, adjusted of course only to the time that has elapsed since then.", "Jag bekräftar i dag åter dessa åtaganden, med anpassning till den tid som förflutit sedan dess naturligtvis."
"This one might even be higher than 40%, but I must reaffirm that the figure 80 did not pass my lips.", "Denna siffra kan måhända vara högre än 40 procent, men jag måste återigen bekräfta att jag aldrig nämnde siffran 80."
". - (FR) I reaffirm that I attach great importance to freedom of expression and media pluralism.", "skriftlig. - (FR) Jag bekräftar på nytt att jag anser att yttrandefrihet och medial mångfald är mycket viktigt."
"I should like to reaffirm the importance of social dialogue when preparing for and managing restructuring.", "Jag skulle vilja bekräfta hur viktig den sociala dialogen är vid förberedelserna inför och styrningen av omstruktureringar."
"I said it yesterday, I reaffirm it today.", "Jag påpekade det i går och jag upprepar det i dag."
"I would like to reaffirm my personal commitment to keeping this objective high on the Commission agenda.", "Jag vill bekräfta mitt personliga engagemang för att detta mål även i fortsättningen ska stå högt på kommissionens dagordning."
"I should like to reaffirm that, Mr Posselt.", "Jag vill bekräfta detta, herr Posselt."
"I reaffirm that call and let me echo the comments made by Commissioner Figel’, Mr Howitt and others on Mr Soltani.", "Jag upprepar på nytt det kravet och jag håller med om vad kommissionsledamot Ján Figeľ, Richard Howitt m.fl. har sagt om Abdolfattah Soltani."
"I reaffirm that call and let me echo the comments made by Commissioner Figel ’, Mr Howitt and others on Mr Soltani.", "Jag upprepar på nytt det kravet och jag håller med om vad kommissionsledamot Ján Figeľ, Richard Howitt m.fl. har sagt om Abdolfattah Soltani."
"Mr President, ladies and gentlemen, I shall keep this very brief as I only wish to reaffirm some of the ideas already present in the resolution.", "Vid början av 1980-talet höll detta parlament – en annan torsdagseftermiddag – en brådskande debatt om Nordafrika."
". - (RO) I reaffirm the importance of developing as soon as possible all the technical aspects for the 'Youth on the Move' initiative.", "skriftlig. - (RO) Jag bekräftar vikten av att så snart som möjligt utveckla de tekniska aspekterna av initiativet ”Unga på väg”."
"Finally, I want to reaffirm the need to support, through a range of measures, the production of traditional cheeses from the milk of these animals.", "Till sist skulle jag vilja bekräfta behovet av stöd, via en rad åtgärder, till produktion av traditionell ost från dessa djurs mjölk."
"I smell a rat.", "Det luktar råtta."
"That's routinely translated as, "I think, therefore I am."", "Traditionellt översatt till "Jag tänker, alltså finns jag.""
"When we say "I," -- as when Rene Descartes said, "I think therefore I am," -- we mean the head.", "Och när vi säger "jag" -- som när Rene Descartes sa "Jag tänker, därför finns jag" -- så menar vi intellektet."
"It seems that the motto of Descartes: "I think, therefore I am' has been transformed into "I spend, therefore I am.'", "Här visar det sig att Descartes devis: " Je pense, donc je suis" ändrats till: " Je dépense, donc je suis" ."
"It seems that the motto of Descartes: " I think, therefore I am ' has been transformed into " I spend, therefore I am", "Här visar det sig att Descartes devis: " Je pense, donc je suis " ändrats till: " Je dépense, donc je suis "."
"Furthermore, I would like to suggest the creation of an impact assessment board.", "Dessutom skulle jag vilja föreslå att man inrättar en konsekvensbedömningsnämnd."
"However, I would like to draw your attention to and focus on a different matter.", "Men det är en annan fråga jag skulle vilja ta upp och rikta er uppmärksamhet på."
"Finally, President-in-Office, I would like to mention the data protection issue.", "Slutligen, herr rådsordförande, skulle jag vilja nämna frågan om uppgiftsskydd."
"I would like to congratulate my colleague Mr Albertini and make a few comments.", "Jag vill gratulera min kollega Gabriele Albertini och framföra några synpunkter."
"I would like to thank Mr Lewandowski for having approached this subject as well.", "Jag skulle vilja tacka Janusz Lewandowski för att ha tagit upp även detta ämne."
"(HU) Mr President, I would like to congratulate Mr Kuhne on his excellent report.", "(HU) Herr talman! Jag vill gratulera Helmut Kuhne till hans utmärkta betänkande."
"I would, however, just like to add that this must be the gist of our resolution.", "Jag vill emellertid bara tillägga att detta måste vara kärnan i vår resolution."
"(PL) Mr President, I would like to draw attention to three issues in this debate.", "(PL) Herr talman! Jag skulle vilja uppmärksamma er på tre frågor i denna debatt."
"I would therefore argue in favour of an integrated way of addressing the problem.", "Jag vill därför förespråka att man tar itu med problemet på ett integrerat sätt."
"Indeed, I would like to express my sincere appreciation to the shadow rapporteur.", "Jag vill verkligen uttrycka min uppriktiga uppskattning till skuggföredraganden."
"Today’s statement by the Commission is what I would describe as a ‘yellow card’.", "Dagens uttalande av kommissionen är vad jag skulle vilja kalla ett ”gult kort”."
"I would like a clarification please, and I hope other colleagues will support me.", "Jag vill gärna ha ett klargörande, och jag hoppas att andra kolleger stöder mig."
"I would therefore be extremely interested to hear the Commission’s views on this.", "Jag är därför synnerligen intresserad av att få höra kommissionens syn på detta."
"I would like to draw attention to certain key aspects of your report, Mr Navarro.", "Jag vill uppmärksamma ett antal viktiga aspekter i ert betänkande, herr Navarro."
"I would like us to have such a statement this week at the EU summit in Brussels.", "Jag skulle vilja få ett sådant uttalande denna vecka vid EU:s toppmöte i Bryssel."
"I would also like to congratulate our new Commissioner on his debut this evening.", "Jag vill också gratulera vår nya kommissionsledamot till hans debut här i kväll."
"To finish, I would like to say that I admire the founding fathers more and more.", "Avslutningsvis vill jag säga att jag känner allt större beundran för grundarna."
"I would ask you to give Mrs Roth-Behrendt our best wishes for a speedy recovery.", "Jag ber att ni till Roth-Behrendt framför våra önskningar om en snar förbättring."
"Mr President, I would like to propose an oral amendment concerning paragraph 34.", "Herr talman! Jag skulle vilja föreslå ett muntligt ändringsförslag till punkt 34."
"Mr President, ladies and gentlemen, I would like to clarify something here.", ". – Herr talman, mina damer och herrar! Jag skulle vilja göra en sak klar här."
"I would like to inform the House that this project has been endorsed by an ethical review.", "Jag kan meddela parlamentet att detta projekt har godkänts i en etisk granskning."
"(SL) I would like to inform you of certain events on the Croatian-Slovenian border.", "(SL) Jag skulle vilja upplysa er om vissa händelser vid gränsen mellan Kroatien och Slovenien."
"I would like to inform Parliament of a concrete case in Denmark.", "Jag vill gärna få lov att informera församlingen om ett konkret fall i Danmark."
"Mr President, I would like to inform the House of the problem that I came across yesterday.", "– Herr talman! Jag vill informera kammaren om det problem som jag stötte på i går."
"I would like to inform the House that I have received the motion for a resolution(1).", "– Jag skulle vilja informera parlamentet om att jag har mottagit resolutionsförslaget(1)."
"To begin with, I would like to inform you briefly of four matters.", "Till att börja med skulle jag kort vilja informera er om fyra saker."
"Mr President, I would like to inform the House of the problem that I came across yesterday.", "Jag kan inte avbryta omröstningen för en förklaring av denna typ."
"Before proceeding to the vote, I would like to inform you of the request for two oral amendments.", "Innan vi övergår till omröstningen vill jag meddela en begäran om två muntliga ändringsförslag."
"I would like to inform you that I have made this issue a priority in order not to lose any more time.", "Jag har prioriterat denna fråga för att inte förlora ytterligare tid."
"I would like to inform you that we have a new rule of procedure.", "Jag vill informera er om att vi har en ny arbetsordning."
"Mr President, I would like to inform Mrs Ewing that we have withdrawn Amendments Nos 3, 4 and 5.", "Herr ordförande! Jag skulle vilja informera fru Ewing om att vi har dragit tillbaka ändringsförslag 3, 4 och 5."
"I would like to inform you that at voting time:", "Jag vill informera er om följande när det gäller omröstningen:"
"I would like to inform you that the sisters of Robert McCartney are in the gallery, together with Mr Niall O'Neill.", "Jag vill meddela er att Robert McCartneys systrar sitter på åhörarläktaren tillsammans med Niall O’Neill."
"I would like to inform the Members of the House that more than 1 300 responses to the online questionnaire were received.", "Jag vill gärna upplysa parlamentets ledamöter om att vi fick in mer än 1 300 svar på webbformuläret."
"I would like to inform the House that an enormous demonstration is currently taking place outside this building.", "– Jag vill meddela parlamentets ledamöter att en enorm demonstration just nu äger rum utanför byggnaden."
"I would like to inform you that the sisters of Robert McCartney are in the gallery, together with Mr Niall O'Neill.", "Jag vill meddela er att Robert McCartneys systrar sitter på åhörarläktaren tillsammans med Niall O ’ Neill."
"I would like to inform you that I have received six motions for resolutions pursuant to Article 37 paragraph 2 of the Rules of Procedure.", "Jag har i enlighet med artikel 37.2 i arbetsordningen mottagit sex resolutionsförslag."
"I would like to inform and at the same time reassure the Members who have just spoken on this important and serious matter.", "Jag vill informera och samtidigt lugna de kolleger som nyss yttrat sig i denna viktiga och allvarliga fråga."
"Lastly, I would like to inform you of the following.", "Slutligen vill jag framföra följande."
"(PL) Madam President, I would like to inform you that a Polish trade union delegation is seated in the gallery.", "(PL) Fru talman! Jag vill informera er om att en delegation från en polsk fackförening har tagit plats på åhörarläktaren."
