//Sentences
"This programme is financed under the Competitiveness and Innovation Framework Programme (CIP).", "Detta program finansieras enligt ramprogrammet för konkurrenskraft och innovation."
"That is a reduction of 3¾ % compared with the previous CIs.", "Det är en minskning med 3 3 / 4 procent mot hittillsvarande gemenskapsinitiativ."
"That is a reduction of 3¾ % compared with the previous CIs.", "Det är en minskning med 3 3/4 procent mot hittillsvarande gemenskapsinitiativ."
"The Baltic States have been part of the CIS electricity link.", "De baltiska staterna ingick i elnätsförbindelsen inom Oberoende staters samvälde (OSS)."
"Currently the EU is the region's most important market outside the CIS.", "För närvarande är EU områdets viktigaste marknad utanför CIS."
"Clearly, therefore, the CIS under the convention is complementary to the CIS under the regulation.", "Därför utgör naturligtvis CIS under konventionen ett komplement till CIS under förordningen."
"But at least it is the first ombudsman system in a CIS country.", "Det är i alla fall det första ombudsmannasystemet i ett OSS-land."
"This report deals with the Customs Information System, or CIS.", "I denna rapport handlar det om tullinformationssystemet inom DIS."
"39 % of the gas we use has to be imported and 41 % of this comes from the CIS States.", "När det gäller de politiska klimatförändringarna vill jag påpeka att vi är särskilt beroende av vissa områden."
"39% of the gas we use has to be imported and 41% of this comes from the CIS States.", "39 procent av den gas som används måste importeras, och 41 procent av den kommer från de oberoende staterna i f.d."
"Stability in the CIS is very much in the Union's interest.", "Unionen har stort intresse av stabiliteten i OSS-länderna."
"The SIS-CIS can be searched by police officers of all the countries taking part in the implementation of the Schengen .", "Polis i alla de stater som har genomfört Schengenavtalet kan göra sökningar i SIS och TIS."
"The CIS convention obviously falls within this framework.", "CIS-konventionen faller uppenbarligen inom denna ram."
"Nor should the EU be in the business of signing military cooperation agreements with Russia and the CIS countries.", "Inte heller bör EU inlåta sig i att skriva under militära samarbetsavtal med Ryssland och OSS-länderna."
"Mr President, we had a welcome visit yesterday to this Parliament from a delegation from the CIS Parliamentary Assembly.", "Herr talman! Igår hade vi besök här i parlamentet av en delegation från OSS parlamentariska församling."
"Particularly in Central and Eastern Europe and the CIS States, energy savings of as much as 30-40 % could be achieved.", "Speciellt i länderna i Central- och Östeuropa samt i OSS skulle man kunna spara upp till 30-40 procent energi."
"In addition essential data in the CIS is omitted.", "Vidare ströks väsentliga uppgifter i TIS."
"That is true of the Kurdish problem, it is equally true of the problems in Kosovo or the trouble spots in the CIS states.", "Det gäller kurdproblemet, det gäller också problemen i Kosovo eller i oroshärdarna i de oberoende staterna CIS."
"Several other groups from Belgium, France, the CIS, the USA and Indonesia came to the same conclusion.", "Flera andra grupper från Belgien, Frankrike, Oberoende staters samvälde, Förenta staterna och Indonesien kom fram till samma slutsats."
"And we must not lose sight of the fact that there is a long incubation period for CJD.", "Man får inte heller glömma att inkubationstiden för Creutzfeld-Jacobs sjukdom är lång."
"I should like to draw the lessons which we should already have drawn from the CJD and BSE crises.", "Jag skulle vilja dra lärdomarna som redan borde ha dragits från CJS- och BSE-kriserna."
"In the UK we have had over a hundred cases of the human form of CJD.", "I Förenade kungariket har vi haft över hundra fall av den mänskliga formen av sjukdomen, dvs."
"Mr and Mrs Sinnott lost their 23-year-old daughter, Nina, to new variant CJD last May.", "Herr och fru Sinnott förlorade sin dotter Nina i en ny variant av Creutzfeldts Jacobs-syndromet i maj."
"In Scotland and the UK we have a specific issue with CJD.", "I Skottland och England har vi ett specifikt förhållande med Creutzfeldt-Jakobs sjukdom."
"Are we going to wait yet again for another CJD-type outbreak and take all the consequences again?", "Ska vi då få vänta till ett utbrott av en annan CJS-liknande sjukdom och ta alla konsekvenser igen?"
"Young people die of new variant CJD, and there is silence.", "Ungdomar dör av Creutzfeldt-Jakobs sjukdom men man håller tyst!"
"BSE and CJD have been a nightmare for Europe for some years.", "BSE och CJS har varit en mardröm för Europa i ett par år."
"We still do not know the final death toll of variant CJD.", "Vi känner fortfarande inte till den slutliga dödssiffran för varianter av Creutzfeldt-Jakobs sjukdom."
"My information is that there have been more than forty cases diagnosed of new variant CJD.", "Jag har hört att det har varit mer än fyrtio fall med diagnos av den nya varianten av Creutzfeld-Jacobs sjukdom (CJD)."
"There was every reason for that, considering the recently proved link between BSE and CJD.", "Det finns också all anledning till detta med tanke på det nyligen påvisade sambandet mellan BSE och Creutzfeldt-Jacob."
"In the UK we have had over a hundred cases of the human form of CJD.", "I Förenade kungariket har vi haft över hundra fall av den mänskliga formen av sjukdomen, dvs. Creutzfeldt-Jakobs sjukdom."
"We live daily with the problem of the victims of new variant CJD, to which the rapporteurs refer.", "Vi lever dagligen med problemen i samband med den nya varianten av Creutzfeldt-Jakobs sjukdom, till vilken föredragandena hänvisar."
"Mr President, on this very day the Phillips inquiry into BSE and its relation with CJD opens in London, in my country.", "Herr ordförande! Just i dag inleds i London, i mitt land, Phillips-utredningen om BSE och dess förhållande till CJS."
"Twenty-one people have died of the new variant of CJD, the human form of BSE, in Britain since 1995.", "I Storbritannien har tjugoen personer dött av den nya varianten av Creutzfeldts Jacobs-syndrom, den mänskliga formen av BSE, sedan 1995."
"Finally, the financial assistance to victims of CJD is, in my view, utterly inadequate, not to mention insulting.", "Slutligen, den ekonomiska hjälp som går till offren för Creutzfeld-Jakobs sjukdom tycks mig alldeles otillräcklig, rentav oanständig."
"This arose, as tragically, a small number of younger people had contracted CJD - normally a disease of old age.", "Detta blev aktuellt när det tragiskt nog visade sig att ett antal yngre människor hade fått CJS, som normalt är en sjukdom hos åldringar."
"The fight against BSE and against CJD requires guaranteed safety of animal materials intended for human consumption.", "Bekämpandet av BSE och Creutzfeldt-Jakobs sjukdom kräver att säkerheten garanteras för animaliskt material som är avsett för konsumtion."
"In the United Kingdom a risk assessment has been initiated to ascertain the possible transmission of nvCJD through blood transfusion.", "I Förenade kungariket har man börjat genomföra riskbedömingar för att utröna möjlig överföring av nvCJD genom blodtransfusioner."
"Due to the impact of CJD, known as mad cow disease, we have to import our plasma products from outside the Member State.", "På grund av effekterna av Creutzfeldt-Jakobs sjukdom, känd som Galna ko-sjukan, måste vi importera våra plasmaprodukter från länder utanför vår medlemsstat."
"We will make the kind of response to this problem that we have presented for the CLONG so far.", "Vi kommer att ge det slags svar på detta problem som vi har lagt fram för CLONG hittills."
"We will make the kind of response to this problem that we have presented for the CLONG so far.", ". (EN) Vi kommer att ge det slags svar på detta problem som vi har lagt fram för CLONG hittills."
"However, it should be mentioned that the dialogue between the Commission and the CLONG is not and will not be interrupted.", "Det bör emellertid nämnas att dialogen mellan kommissionen och CLONG inte har avbrutits och inte heller kommer att avbrytas."
"The Commission will draw the consequences of this audit in order to put its relationship with the CLONG on a sound basis.", "Kommissionen kommer att handla på grundval av denna revision, i syfte att upprätta en sund ekonomisk grund för sitt förhållande med CLONG."
"As far as the European NGO Liaison Committee (CLONG) is concerned, our relationship with it has always been active and fruitful.", "När det gäller Sambandskommittén för icke-statliga biståndsorganisationer vid Europeiska gemenskaperna (CLONG), har vårt förhållande med dem alltid varit aktivt och givande."
"In addition to contributions to NGO projects, projects that actually reach people in the developing countries, the CLONG is also financially assisted by the Commission.", "Utöver bidrag till icke-statliga organisationers projekt - projekt som faktiskt når människor i utvecklingsländerna -, erhåller CLONG även ekonomiskt stöd av kommissionen."
"In accordance with its financial rules the Commission received the preliminary results of an audit of the CLONG in December 2000, which shows poor financial management within the CLONG.", "I enlighet med sina redovisningsregler tog kommissionen i december 2000 emot de preliminära resultaten av en revision av CLONG, vilka visar på dålig ekonomisk förvaltning inom CLONG."
"more_vert open_in_new Link to European Parliament warning Request revision Using nets with 70 mm mesh, hake of around 25 cm and upwards in length are caught.", "expand_more Med en maskstorlek om 70 mm fångas kummel från och med cirka 25 cm längd."
"more_vert open_in_new Link to European Parliament warning Request revision Med en maskstorlek om 70 mm fångas kummel från och med cirka 25 cm längd.", "expand_more Using nets with 70 mm mesh, hake of around 25 cm and upwards in length are caught."
"However, if you want a space of exactly 1cm, then enter 1cm.", "Om du vill att avståndet t.ex. ska vara exakt 1 tum skriver du " 1 "."
"In the USA, a major exporter to Europe, the area for laying hens is 350 cm2 .", "Det är att i ett land som är en viktig exportör till Europa, Förenta staterna, är värphönsens utrymme 350 kvadratcentimeter."
"Upon closer inspection, the word ‘ dead’ was written on the door in red, Cyrillic letters, and a 35 cm knife had been stuck in the middle of the door.", "Europaparlamentet är också för en positiv tolkning av de nationella minoriteternas rättigheter."
"For the commercial service, this will mean precision to within 3 mm, whereas GPS provides precision to within approximately 2 to 3 cm.", "För den kommersiella tjänsten kommer detta att innebära en precision på mindre än 3 millimeter, medan GPS ger en precision på mindre än ca 2 – 3 centimeter."
"In this respect, we therefore support the Kindermann report's advocacy of 800 cm2, rather than the 450 cm2 which are the rule at present.", "Vi stöder sålunda också ur den synvinkeln i stora drag Kindermannbetänkandet om att ändra de aktuella 450 kvadratcentimetrarna till 800 kvadratcentimeter."
"In this respect, we therefore support the Kindermann report's advocacy of 800 cm2 , rather than the 450 cm2 which are the rule at present.", "Vi stöder sålunda också ur den synvinkeln i stora drag Kindermannbetänkandet om att ändra de aktuella 450 kvadratcentimetrarna till 800 kvadratcentimeter."
"To outsiders, this is an impenetrable technical dossier with no fewer than 800 amendments or thereabouts; a document at least 10 cm thick.", "För en utomstående är detta en ogenomtränglig teknisk akt med inte mindre än 800 ändringsförslag eller något liknande, ett dokument som är minst 10 centimeter tjockt."
"Regulation No 622/ 2003, as modified by Regulation No 68/ 2004, does not ban knives or scissors unless the blade is longer than 6 cm.", "Tack för att ni tog upp detta problem, som är betydelsefullt, så att flygpassagerare i EU naturligtvis kan åtnjuta den säkerhet som krävs, men samtidigt skyddas mot meningslösa olägenheter."
