//Sentences
"I referred to it again a couple of times last night and again this morning.", "Jag hänvisade åter till den några gånger i går kväll och på nytt denna morgon."
"A couple of weeks ago I visited one of the largest consumers in my constituency.", "För några veckor sedan besökte jag en av de största förbrukarna i min valkrets."
"And here's an example of a file we found from a server a couple of weeks ago.", "Här är ett exempel på en fil som vi hittade på en server för ett par veckor sedan."
"Furthermore, a regular follow-up every couple of weeks has been announced.", "Dessutom har en regelbunden fortsättning varannan vecka tillkännagivits."
"We still await the final results, which will be out in the next couple of weeks.", "Vi väntar fortfarande på slutresultatet, som kommer att presenteras under de kommande veckorna."
"(ET) A couple of weeks ago the entire world was shocked by the murder of Anna Politkovskaya.", "(ET) För ett par veckor sedan chockerades hela världen av mordet på Anna Politkovskaja."
"More grain in a couple of weeks than it would ever get in a lifetime.", "Mer korn under ett par veckor än vad den skulle få på en hel livstid."
"That is what Parliament declared unanimously a couple of weeks ago.", "Detta är vad parlamentet enhälligt förklarade för några veckor sedan."
"We have been discussing the Erika disaster here for the past couple of weeks.", "De senaste veckorna har vi talat om katastrofen med Erika."
"I asked Commission President Barroso a couple of weeks ago whether we can do it.", "Jag frågade kommissionens ordförande José Manuel Barroso för ett par veckor sedan om vi skulle klara det."
"We have heard that this idea was presented at an informal meeting in London a couple of weeks ago.", "Vi har hört att idén lades fram vid ett informellt möte i London för några veckor sedan."
"We congratulate the presidency on all its efforts in the last couple of weeks.", "Vi gratulerar ordförandeskapet till alla dess ansträngningar som under se senaste veckorna har burit frukt."
"The Commission's answers to the request for information reached Italy just a couple of weeks ago.", "Kommissionens svar på denna begäran om information nådde Italien för bara några veckor sedan."
"I would love to be able to clear the Danube in a couple of weeks time but it is not possible.", "Det skulle vara underbart att kunna göra Donau farbar inom några veckor, men det är inte möjligt."
"It is a country of paradoxes, as I was able to observe during the couple of weeks I spent there.", "Det är ett paradoxernas land, vilket jag kunde konstatera under de veckor jag tillbringade där."
"We had a great march of the farmers a couple of weeks ago in London.", "För några veckor sedan höll bönderna en stor marsch i London."
"I had the dubious privilege to fly over Haiti and Chile, within a couple of weeks of each other.", "Jag hade det tvivelaktiga privilegiet att flyga över Haiti och Chile med några veckors mellanrum."
"And I spent a couple of weeks going around with a social work agency that ministered to the homeless.", "Och jag tillbringade några veckor med att gå omkring med socialarbetare som arbetade med de hemlösa."
"Everyone has had the amendments agreed in committee for a couple of weeks now in translation.", "Sedan ett par veckor tillbaka har alla fått översättningen av de ändringsförslag som man enats om i utskottet."
"We hope it will bear fruit in a couple of weeks ' time.", "Vi hoppas att detta kommer att bära frukt om ett par veckor."
"We hope it will bear fruit in a couple of weeks' time.", "Vi hoppas att detta kommer att bära frukt om ett par veckor."
"A couple of weeks ago I visited one of the largest consumers in my constituency.", "För några veckor sedan besökte jag en av de största förbrukarna i min valkrets."
"And here's an example of a file we found from a server a couple of weeks ago.", "Här är ett exempel på en fil som vi hittade på en server för ett par veckor sedan."
"(ET) A couple of weeks ago the entire world was shocked by the murder of Anna Politkovskaya.", "(ET) För ett par veckor sedan chockerades hela världen av mordet på Anna Politkovskaja."
"That is what Parliament declared unanimously a couple of weeks ago.", "Detta är vad parlamentet enhälligt förklarade för några veckor sedan."
"I asked Commission President Barroso a couple of weeks ago whether we can do it.", "Jag frågade kommissionens ordförande José Manuel Barroso för ett par veckor sedan om vi skulle klara det."
"We have heard that this idea was presented at an informal meeting in London a couple of weeks ago.", "Vi har hört att idén lades fram vid ett informellt möte i London för några veckor sedan."
"The Commission's answers to the request for information reached Italy just a couple of weeks ago.", "Kommissionens svar på denna begäran om information nådde Italien för bara några veckor sedan."
"We had a great march of the farmers a couple of weeks ago in London.", "För några veckor sedan höll bönderna en stor marsch i London."
"A couple of weeks ago we had one opinion, and now we intend to change our minds.", "Jag vill lägga till att vi även behöver se efter hur vi skall skydda EU:s yrkesfiskare."
"These two were approved a couple of weeks ago.", "Bägge delar antogs för ett par veckor sedan."
"I was in Chad a couple of weeks ago.", "Jag var i Tchad för några veckor sedan."
"A couple of weeks ago we had a debate in Parliament on the nuclear safety issue with special regard to the candidate countries.", "För några veckor sedan hade vi en debatt i parlamentet om kärnenergiäkerhet med speciell inriktning på kandidatländerna."
"A couple of weeks ago we had a debate in Parliament on the nuclear safety issue with special regard to the candidate countries.", ". (EN) För några veckor sedan hade vi en debatt i parlamentet om kärnenergiäkerhet med speciell inriktning på kandidatländerna."
"I called a couple of weeks ago.", "Jag ringde för ett tag sen."
"I experienced this myself a couple of weeks ago when I tried to attend a few conferences of opposition parties in Serbia.", "Det blev jag själv också offer för när jag för några veckor sedan försökte besöka kongresser som arrangerades av oppositionspartier i Serbien."
"We were able, at the Istanbul Summit a couple of weeks ago, to meet and have discussions with some of the Central Asian republics.", "Under toppmötet i Istanbul för några veckor sedan hade vi tillfälle att träffa och föra diskussioner med några av de Centralasiatiska republikerna."
"We were able, at the Istanbul Summit a couple of weeks ago, to meet and have discussions with some of the Central Asian republics.", ". (EN) Under toppmötet i Istanbul för några veckor sedan hade vi tillfälle att träffa och föra diskussioner med några av de Centralasiatiska republikerna."
"I hope that the Stability Pact conference a couple of weeks ago was a help along that road but we will certainly continue to pursue that issue.", "Jag hoppas att stabilitetspaktens konferens för ett par veckor sedan hjälpte till på vägen, men vi kommer säkerligen att fullfölja denna fråga."
"Mr President, the Commissioner will doubtless be aware that a couple of weeks ago the McCann family from my constituency came to the European Parliament.", "(EN) Herr talman! Kommissionsledamoten vet säkert att familjen McCann från min valkrets besökte Europaparlamentet för ett par veckor sedan."
"A couple of weeks ago we had to make a political judgement as to whether our support for the Commission would help or hinder future reform.", "För ett par veckor sedan var vi tvungna att göra en politisk bedömning av om vårt stöd för kommissionen skulle underlätta eller försvåra framtida reformer."
"A couple of years ago, we were told that our children would not know what snow was.", "För ett par år sedan fick vi höra att våra barn inte skulle veta vad snö var."
"Crashes and anxiety - so that it is starting to look like Mexico a couple of years ago.", "Krascherna, oron för att det kommer att bli som i Mexiko för några år sedan."
"But an incident that happened a couple of years ago gave me a new perspective.", "Men något som hände för ett par år sedan gav mig ett nytt perspektiv."
"This is certainly evident if we compare the present debate and text with those of a couple of years ago.", "Det visar sig tydligt när vi jämför dagens debatt och text med den för några år sedan."
"A couple of years ago I was the rapporteur for access for disabled passengers to aeroplanes.", "För ett par år sedan var jag föredragande för frågan om flygplans tillgänglighet för funktionshindrade."
"It all began in Ireland a couple of years ago, when a supertrawler, the , had to be decommissioned.", "Det hela började i Irland för några år sedan, när det var nödvändigt att ta supertrålaren ur drift."
"It is also appropriate that we in Europe go beyond the recommendation from a couple of years ago.", "Det är också lämpligt att vi i EU går längre än vad som angavs i rekommendationerna för ett par år sedan."
"That Agreement was approved by this Parliament and I reported on it a couple of years ago.", "Avtalet godkändes av detta parlament och jag själv var föredragande vid tillfället i fråga för ett par år sedan."
"The President of this Parliament, Mr Cox, actually attended one of these meetings in Sweden a couple of years ago.", "Detta parlaments talman, Cox, deltog faktiskt i ett av dessa möten i Sverige för ett par år sedan."
"It all began in Ireland a couple of years ago, when a supertrawler, the, had to be decommissioned.", "Det fiskas slut i världens hav och vi borrar ned våra huvuden i sanden: jag vet inget annat sätt att summera detta på."
"Well a couple of years ago, a friend of mine emailed me a link, a YouTube link, and said, "You have got to see this."", "Nåväl för ett par år sedan mejlade en vän till mig en länk, från YouTube, och sa: "Du måste se det här.""
"A couple of years ago the share was only 6 %.", "Syftet är att erbjuda riskkapital till rimligt pris."
"I should say that the suicide bombers who attacked London a couple of years ago all came from my constituency.", "Jag borde tala om att alla de självmordsbombare som attackerade London för ett par år sedan kom från min valkrets."
"A couple of years ago the share was only 6%.", "För ett par år sedan var andelen blott 6 procent."
"It represents a delicate and hard-fought compromise, which would not have been achievable only a couple of years ago.", "Den utgör en ömtålig och hårdnackad kompromiss, som inte hade varit möjlig att uppnå för bara ett par år sedan."
"Spain, which legalised one million illegal immigrants a couple of years ago, is now left with a 20% unemployment rate.", "Spanien legaliserade en miljon olagliga invandrare för några år sedan och har nu en arbetslöshet på 20 procent."
"I had a broken ankle a couple of years ago.", "Jag hade en bruten fotled för ett par år sedan."
"That was already a couple of years ago and this has not been raised any more, so probably this process is ongoing.", "Det här skedde redan för några år sedan och frågan har inte tagits upp igen, så förmodligen är processen i full gång."
"Who, a couple of years ago, would have foreseen the extent of the damage caused by the credit crunch and its consequences?", "Vem hade för några år sedan kunnat ana den förödelse och de följder som kreditåtstramningen lämnat efter sig?"
"When the Drinking Water Directive was reviewed a couple of years ago, the European Parliament insisted on a tough limit for radioactive substances.", "Låt oss i Europaparlamentet också ha modet att uttryckligen ta med radioaktivitet i texten."
"His detention is part of the most severe police crackdown in China in decades.", "Arresteringen av honom är en del av de hårdaste kraftåtgärderna i Kina på årtionden."
"We have seen the crackdown on Mr Maguwu and on other human rights defenders.", "Vi har sett kraftåtgärderna mot Farai Maguwu och mot andra personer som försvarar de mänskliga rättigheterna."
"The current crackdown on political opponents, as well as human rights defenders, in Chad must end.", "De aktuella tillslagen mot politiska motståndare och människorättsförsvarare i Tchad måste upphöra."
". – Mr President, the Government of Azerbaijan is continuing its crackdown on opposition political groups.", ".– Herr talman! Azerbajdzjans regering fortsätter att bekämpa politiska oppositionsgrupper."
"A crackdown of this nature will therefore also have to be reported.", "Sådana kraftåtgärder måste således också anmälas."
". - I support this report which will crackdown on employers of illegal immigrants within Europe.", "skriftlig. - (EN) Jag stöder detta betänkande som slår ned på arbetsgivare för illegala invandrare i EU."
"Direct returns and a crackdown on the countries that make this immigration possible is the only solution.", "Den enda lösningen är ett direkt återsändande och kraftåtgärder mot de länder som möjliggör denna invandring."
"We do not agree to Europe’s subcontracting the crackdown on illegal immigration to third countries.", "Vi håller inte med om att Europa skall lägga ut åtgärderna mot olaglig invandring på entreprenad till tredje länder."
"It cannot be denied that there has been a crackdown on non-governmental media and opposition in Kazakhstan.", "Det kan inte förnekas att icke-statliga medier och oppositionen i Kazakstan nu utsätts för hårdare kontroll."
"We must have a global crackdown on this illegal trade.", "Vi måste slå ner globalt på denna olagliga handel."
"Furthermore, a crackdown on legal immigration could have the effect of diverting flows to another Member State.", "Kraftåtgärder mot laglig invandring skulle dessutom kunna leda till att migrationsströmmarna flyttar till en annan medlemsstat."
"Is the Commission also aware of similar anti-gay sentiments — and a government crackdown — in Malawi?", "Känner kommissionen också till att det förekommer liknande homofientliga attityder – och att regeringen slagit till mot de homosexuella – i Malawi?"
"Secondly, let there be a more effective crackdown on traffickers in human beings and on undeclared work in all the Member States.", "Låt oss för det andra vidta effektivare kraftåtgärder mot människosmugglare och mot odeklarerat arbete i alla medlemsstater."
"The situation came about as a result of the EU pursuing sanctions against Cuba for a crackdown on dissidents in 2003.", "Denna situation uppkom som ett resultat av att EU utövade sanktioner mot Kuba på grund av att dissidenter utsattes för förtryck under 2003."
"I am sure the House would wish to express its regret at that news, part of a continued crackdown on human rights activists in China.", "Jag är säker på att parlamentet beklagar dessa nyheter, som har att göra med de fortsatta kraftåtgärderna mot människorättsaktivister i Kina."
"It is also clear that the Government is using the pretext of the crackdown on terrorism as a means of suppressing Government opponents and critics.", "Det är också tydligt att regeringen använder kampen mot terrorismen som en förevändning för att slå ned regeringens motståndare och kritiker."
"Pictures have been flashed around the world of injured monks, smoke-filled pagodas and battered civilians as the security forces begin their crackdown.", "Bilder av skadade munkar, rökfyllda tempel och misshandlade medborgare i spåren av säkerhetsstyrkornas framfart har kablats ut över världen."
"The fact that President Mikhail Saakashvili declared a state of emergency to overcome the riots and conducted a violent crackdown is highly alarming.", "Det är ytterst oroväckande att president Michail Saakashvili utlyste undantagstillstånd för att få bukt med upploppen och slog ned dem med våld."
"The recent crackdown on peaceful protesters, who were demonstrating their right to associate, has merited yet another condemnation by the European Parliament.", "Angreppen nyligen på fredliga demonstranter som demonstrerade för sin associeringsrätt förtjänar ytterligare ett fördömande från Europaparlamentet."
"Once considered one of the 'hopefuls' in the region, the past two years have seen a crackdown on political opposition and critical media.", "En gång betraktades landet som ett av de ?hoppfullaste? i området, men de två senaste åren har vi sett en hårdare kontroll av den politiska oppositionen och kritiska medier."
"In the Middle Ages, however, they respected Sunday as a day off.", "Men på medeltiden respekterade man söndagen som en vilodag."
"Isn't it your day off?", "Är det inte din lediga dag?"
"A day off?", "Lediga dag."
"Take a deep breath, and then notify us through our contact form.", "Ta ett djupt andetag och meddela oss via vårt kontaktformulär."
"Neither should we make little of this success; on the contrary, we should pause for a while and take a deep breath.", "Vi bör inte heller förminska denna framgång. Vi borde tvärtom stanna upp en stund och dra ett djupt andetag."
"Take a deep breath, I won't kill you.", "Andas djupt, jag ska inte döda dig."
"It's the deep breath before the plunge.", "Det är lugnet före stormen."
"I have to take a deep breath!", "Jag måste ta ett djupt andetag!"
"Take a deep breath, Hartigan", "Ta ett djupt andetag, Hartigan."
"Take a deep breath, relax.", "Ta ett djupt andetag, slappna av."
"It is quite clear that the original Ahtisaari plan will not happen, and everyone needs to take a deep breath and accept that.", "Det är tämligen tydligt att Ahtisaaris ursprungliga plan inte kommer att genomföras, och alla måste dra ett djupt andetag och acceptera det."
"Calm, now, Take a deep breath.", "Ta ett djupt andetag."
"Just take a deep breath.", "Kan jag göra det bra igen?"
"So now is the time for us to take a deep breath and make a new start together, doing our best in the region's interests and in our own.", "Låt oss därför ta ett djupt andetag och tillsammans börja om från början för att göra vårt bästa både i regionens och i vårt eget intresse."
"to take a deep breath", "ta ett djupt andetag"
"Take a deep breath.", "Ta ett djupt andetag."
"A deep breath...", "Ta ett djupt andetag."
"Deep breath.", "Lugn och fin."
"Deer farming, fox farming and mink farming are totally different issues.", "Hjortuppfödning, rävuppfödning och minkuppfödning är helt skilda frågor."
"The land use on the west coast is predominantly livestock: sheep and cattle and wild deer.", "Marken på västkusten används framför allt för boskap, det vill säga får, nötkreatur och vildhjort."
"A deer freezes very, very still, poised to run away.", "En hjort fryser till och blir väldigt, väldigt stilla, för förstenad för flykt."
"Of course, we are unable to stop deer running around in the fog but we have to decide what to do about pensions.", "Vi lyckas inte fånga in hjortarna i dimman, men vi måste besluta om pensionerna."
"It's part of the fight and flight mechanism, that when an animal is frightened -- think of a deer.", "Det är en del av strid eller flykt-mekanismen, som gör att när ett djur är skrämt -- tänk på en hjort."
"What will happen if deer, wild boar or goats are affected?", "Vad kommer att hända om hjortar, vildsvin och getter drabbas?"
"Like a tiger on a deer, with a cloven hoof and with a broken arm!", "Som en tiger på en hjort med en klöv och bruten arm."
"No like a deer listening in the wind,", "Nej, du är som en hjort som lyssnar i vinden."
"Well, it was the deer's fault, mostly.", "Det var mest hjortens fel."
"I thank Mr De Rossa for his assurance that this report does not and cannot refer to deer and elk management in Europe.", "Vi kommer inte att stödja något av de tre ändringsförslagen, som vi anser bygger på missuppfattningar och – avsiktligt eller inte – är skadliga."
"The latest theory is that it came from deer; but it could have been a mutation or it could have been around for years.", "Den senaste teorin är att sjukdomen härrör från hjort; men den kunde ha uppstått till följd av en mutation eller så kunde den ha funnits där i många år."
"If all plant protection products were concerned, we could just as easily include fences in the legislation because they offer protection against roe deer.", "Om det gällde alla växtskyddsmedel skulle vi precis lika gärna kunna lägga in staket i lagstiftningen för att de skyddar mot rådjur."
"Even the smallest dose of alcohol and narcotics given to a child is extremely harmful.", "Även den minsta mängd alkohol och narkotika som ges till barn är ytterst skadlig."
"We still wish for strong industry leadership and an appropriate dose of ethics.", "Vi önskar oss fortfarande ett starkt ledarskap inom näringslivet och en skälig dos etik."
"A dose of ambition is now called for, and we need to make more of the successes.", "Vad som krävs nu är ambitioner, och vi måste göra mer av framgångarna."
"You can give the competing drug in too high a dose, so that people get side effects.", "Du kan ge det konkurrerande läkemedlet i en för hög dos, så människorna får biverkningar."
"Such a dose leads to feelings of euphoria followed by extreme fatigue.", "En sån dos ger en euforisk känsla av välbehag följd av en oerhörd trötthet."
"Only latterly has the market grown and do high-dose tablets appear in the shops.", "Först på senare tid har marknaden börjat växa och tabletter med hög dosering hamnar i butikerna."
"In contrast, a dose of genuine deregulation would bring wondrous results.", "Däremot skulle en dos äkta avreglering åstadkomma fantastiska resultat."
"With plant protection, as with many other things in life, it is the dose that makes the poison.", "Med växtskydd, som med många andra saker i livet, är det dosen som gör det giftigt."
"Mr President, that is another dose of the medicine that caused the illness in the first place.", "Det är ytterligare en dos av den medicin som orsakade sjukdomen från början."
"I wish the Dutch Presidency a great deal of strength, wisdom and a dose of good luck.", "Jag önskar det nederländska ordförandeskapet mycket lycka till och också en stor portion tur."
"The introduction of one system would give the currently ambiguous system a dose of clarity.", "Att införa ett enda system förtydligar den nuvarande, oklara situationen."
"I find the Commission's dose of sugar market reforms much sweeter to swallow.", "Jag tycker att kommissionens dos av reform för sockermarknaden är mycket behagligare att svälja."
"Finally, I would like to point out that the dose makes the poison.", "Till sist skulle jag vilja påpeka att det är mängden av ett ämne som gör det skadligt."
"Does the world really need an extra dose of free trade or a new approach to development?", "Behöver världen verkligen en extra dos frihandel, eller behöver den en ny utvecklingsstrategi?"
"It is therefore a good thing that the maximum dose of cyclamate has been reduced.", "Därför är det bra att maximihalten av cyklamat har sänkts."
"The student should have received their dose 6 weeks before the start of practice to be protected.", "Studenten ska ha erhållit sin dos 6 veckor innan påbörjad praktik för att vara skyddad."
"In fact the dose could be 12 times more dangerous for children according to the recent study.", "Faktum är att dosen kan vara 12 gånger farligare för barn enligt den färska undersökningen."
"“We decided to try a small dose of acetylsalicylic acid, another world first.", "– Vi beslöt då att pröva med den lilla dosen acetylsalicylsyra, också det för första gången i världen."
"The dose from technetium 99 was 0.018 mSv in 1995 and 0.042 mSv in 1996.", "Dosen för teknetium 99 var 0, 018 mSv 1995 och 0, 042 mSv 1996."
"The reasons for reducing the dose still further are inconsistent.", "Skälen till att sänka dosen ännu mer är fullständigt ogrundade."
"The biggest drawback about the Cologne conclusions is that they made a huge omission.", "Men framför allt påverkas slutsatserna från Köln av ett gigantiskt förbiseende."
"However, there is one very serious drawback in the report, which cannot be overlooked.", "Det finns emellertid ett allvarligt fel i betänkandet som man inte kan bortse från."
"Its only drawback is that the production of nuclear energy has somehow crept in.", "Den enda nackdelen är att kärnkraften på något vis har smugit sig in."
"A major drawback, however, is the long list of exclusions, including photovoltaic panels.", "Ett stort bakslag är dock den långa listan av undantag, inklusive solcellspaneler."
"Another drawback is that the premium is based on deficiency payments.", "En annan nackdel är att bidraget är baserat på kompensationsbetalningar."
"To what extent does this drawback apply to South African products too?", "I vilken mån gäller detta hinder även för produkter från Sydafrika?"
"And that is the greatest drawback, the biggest problem we in Austria have with this system.", "Man hänvisar alltid till direktivet om avgifter på infrastrukturen."
"A drawback is that EIB bonds are not always freely accessible.", "Ett problem är att EIB: s obligationer inte alltid är fritt tillgängliga."
"A drawback is that EIB bonds are not always freely accessible.", "Ett problem är att EIB:s obligationer inte alltid är fritt tillgängliga."
"The lack of European Parliament participation in this dialogue is more than just a slight drawback.", "Att inte låta Europaparlamentet bli delaktigt i denna dialog är mer än ett skönhetsfel!"
"And that is the greatest drawback, the biggest problem we in Austria have with this system.", "Och det är den största nackdelen, det största problemet som vi har i Österrike med detta system."
"A drawback of the proposal was the risk of social dumping arising.", "Jag frågade mig därför om jag skulle stödja resultatet eller inte."
"Duty drawback is designed so that our response to it will prevent a particular problem.", "Tullrestitutionen är utformad på så sätt att vårt svar på den kommer att förhindra ett särskilt problem."
"A drawback of the proposal was the risk of social dumping arising.", "En negativ effekt av förslaget var risken för social dumpning."
"The inclusion of duty drawback clauses has been a concern for many of us, as I mentioned.", "Införlivandet av klausuler om tullrestitution har varit en viktig fråga för många av oss, som jag nämnde."
"The level of duties that Korea can refund under the duty drawback are gradually being reduced.", "Den andel tullmedel som Korea kan återbetala enligt tullrestitutionen håller gradvis på att minskas."
"However, the drawback is that it vaporises when it explodes.", "Det har emellertid den nackdelen att det förgasas vid explosionen."
"On duty drawback, my final point, this is nothing new.", "I fråga om tullrestitution, min sista punkt, är detta ingenting nytt."
"The only drawback is that they will not be compulsory.", "Den enda nackdelen är att de inte kommer att vara obligatoriska."
"The drawback of this is a low “impact factor” of 2.2 (the New England Journal of Medicine has a factor of 53.5).", "Baksidan är en låg så kallad ”impact factor”, 2,2 (New England Journal of Medicine har 53,5)."
